G1	G2	Consistency
NefNPC	NefMES	0.04086167190200353
NefNPC	VerPN	0.006127950995808144
NefNPC	VerMES	0.03234651870992869
NefMES	VerPN	0.03674755273209279
NefMES	VerMES	0.005212733412601565
VerPN	VerMES	0.028475066302869386
