""	PTPRZ1	EGFR	NRCAM	PTPRS	NCAM2	FGFR1	APLP1	GFRA1	ROBO1	GPC1	NLGN1	NLGN2	LRP6	NLGN3	NRXN1	CHL1	TNFRSF21	NRXN2	NOTCH1	PDGFRA	THY1	SDC3	NOTCH2	LRP1	RGMB	CADM1	CDH2	BMPR2	ADCYAP1R1	RPSA	LINGO1	PTPRA	PTPRD	PLXNB2	CNTN1	NCL	CDH10	TSPAN15	TRPC3	NCSTN	NOTCH4	PLXNA3	APLP2	TSHR	NRXN3	LIFR	UNC5A	PTPRK	LRRC4C	SLC16A7	ITGB1	NEO1	RTN4R	PLXNA1	GP1BB	INSR	LDLR	LRRN3	ATP5F1B	FLRT3	EPHB1	SLC16A1	DDR1	VLDLR	NECTIN1	TFRC	IGF1R	LRP8	GPR19	ACTR2	ITGAV	ANTXR1	CD47	MCFD2	TSPAN5	EPHB3	LRRTM2	ACVR1B	CD46	SMAP1	ADAM22	LRP4	LAMP1	ATP1A3	ADAM23	DSCAM	GPC2	PTPRG	ERBB3	DAG1	RTN4RL2	LRRC4	BMPR1A	ITGA6	TYRO3	ERBB4	GPR37L1	CD9	FLOT1	AMFR	CHRNA4	TMED5	SCARB1	F2R	NRP2	CD82	SIRPA	KLRC2	ABCA1	STX4	JMJD6	SORT1	SORL1	CANX	CD99L2	CD74	TSPAN14	CD81	C1QBP	PILRB
PTPRZ1	1	0.773630641199138	0.980253165803227	0.928451739057928	0.922958306460365	0.956838894290511	0.87409429408841	0.969918026225116	0.987886371345312	0.922473472626478	0.977535267808337	0.937619430911324	0.978605844211044	0.952386225799284	0.923787954104615	0.974873775700017	0.899784549046395	0.974982377007083	0.967394268101849	0.945193046238344	0.89209837896276	0.946527427273116	0.883210483955046	0.96223536562297	0.973589344795317	0.959811092427335	0.973580534974898	0.977338119634476	0.833094444745706	0.912794194104861	0.93850015537188	0.978087171293646	0.588684252932399	0.919602011037065	0.985907439330625	0.975601261102404	0.870981700666944	0.884533303576925	0.9315108212388	0.916585851008669	0.746782136060677	0.913804030176634	0.983324372926686	0.676696875034555	0.727680410340675	0.786114792188578	0.873223819405268	0.962981949696407	0.968506380065349	0.926692972750711	0.961018506945386	0.93041056846988	0.877769211236868	0.905844814731229	0.875941117001902	0.942122249331694	0.910040558599014	0.954185794190361	0.890513034514344	0.952437652919821	0.925935493825877	0.943319242006268	0.93421223602876	0.873821735635524	0.935443640755742	0.920090913134139	0.961453656632077	0.944883125652419	0.921796571249277	0.96560098910239	0.967566353946589	0.945963638681191	0.964250268897237	0.957861010676744	0.930576079467324	0.893182093893925	0.875906707203892	0.948067198765796	0.964980816612278	0.953165959719309	0.948431427954297	0.935302436704415	0.938226868344502	0.932428133906269	0.955728293918359	0.943077217994444	0.943732839166252	0.881381081401158	0.925006716857196	0.952748595503005	0.906063043815461	0.96356972169852	0.912219776509131	0.918930955910677	0.92802248620245	0.934345327130349	0.89357937810974	0.815642262974455	0.918333773072541	0.939202626246765	0.883860890780996	0.917143514886895	0.877527421242034	0.965575525300608	0.790964716135257	0.872835049232582	0.86576821673971	0.93900879380796	0.620414193697652	0.898673952527668	0.928266468213621	0.760179381478547	0.257957528254365	0.983116711310561	0.923101863316624	0.134904931394822	0.842930778724818	0.932425890562201	0.895113890476194	0.892591023104009
EGFR	0.773630641199138	1	0.809899079577437	0.827240243266173	0.927941600656648	0.816961073578757	0.548657745595732	0.792634267147156	0.74516888161624	0.616857019223475	0.833343334751628	0.601446553004219	0.757534096763654	0.655063894050845	0.933093804749507	0.802155837587041	0.529019226047173	0.789415034118667	0.700745467782685	0.863390705707745	0.521245071452969	0.784264303555725	0.854730096948148	0.765758590664106	0.720247007270997	0.693074337762948	0.768050090291088	0.832168834751112	0.876309049219791	0.625488499841926	0.763541972145375	0.826283744365953	0.888746436815949	0.732597973401175	0.755507646817825	0.796978110792536	0.847650230187081	0.647901391160673	0.746804864526091	0.78383404099193	0.603741725176014	0.650071990716324	0.794196887029678	0.781441382161994	0.806200968140598	0.961235051487893	0.775577439049084	0.770713613354705	0.825258645463507	0.869667522927598	0.721116041031785	0.758342106615337	0.56934516987935	0.736642861680777	0.619430047203233	0.783399395861141	0.605288280489181	0.674176502544371	0.59286665197361	0.778851387328051	0.635243774319998	0.676231168276929	0.628707200061395	0.63040276172601	0.688851360232964	0.785184472070319	0.82644018947313	0.803404642338604	0.771152199605742	0.780294280698019	0.811720634301995	0.825408778541954	0.830216828623677	0.787645378884615	0.840461597225148	0.652014298538499	0.924903558234342	0.715410787268169	0.831467897992054	0.726361282020706	0.895303748340464	0.884395283309944	0.668894229659438	0.756321068107561	0.735370221552798	0.756065175108242	0.662159738011814	0.936746567314714	0.618707450234407	0.781692925550498	0.609718626491069	0.812505524069053	0.830769198920093	0.778782509262371	0.726817189042895	0.816443258219458	0.569674516889112	0.761539114520503	0.691593993358179	0.753710178044999	0.621683804790091	0.801965561766552	0.51989876619231	0.743294952126128	0.831736026761488	0.853655122549085	0.774712360328507	0.757125666234813	0.831155579559358	0.680402440782192	0.777174451894594	0.775112820285124	0.512346901479625	0.779157098608906	0.752206399092688	0.19153041021555	0.763734821271678	0.730412576484958	0.580483934034173	0.792895047012455
NRCAM	0.980253165803227	0.809899079577437	1	0.941525360832527	0.943378212406372	0.947008501637443	0.872729578274987	0.959080776200322	0.97825182043429	0.905335030375619	0.984778273753766	0.923603877287617	0.969698774972678	0.93435070264793	0.930776499758817	0.968358332638094	0.88135854957093	0.974888161121088	0.959583890939172	0.928468084404724	0.871173642333401	0.939256922768944	0.884570093680121	0.955490373219201	0.973248233469339	0.953222902617459	0.974654357103865	0.979856883856837	0.851142929596139	0.906936761360682	0.933908386257707	0.981749978637734	0.624174029060151	0.919437092151641	0.97088069651586	0.977509228120833	0.868680887118022	0.881188408419451	0.930681326435105	0.933242029828088	0.760988503242293	0.910950375339937	0.98183626291522	0.69376981018364	0.726948165271135	0.816939799814927	0.895501228205866	0.965274216004549	0.959223510811889	0.934756092148252	0.962570887651693	0.933133505729178	0.869730979397538	0.909772104142885	0.884099524749047	0.947653480445185	0.890251547950004	0.952534533547695	0.889003997552139	0.946501624462388	0.911640748244341	0.937881594989828	0.916298959605215	0.874367464672567	0.932896310667124	0.926082291682126	0.971441152052354	0.965510123306317	0.926083832916535	0.974097862462589	0.969114043778086	0.956745374989521	0.973771902447382	0.957979111133238	0.944362746803123	0.897871827292549	0.901728571862042	0.947446694082504	0.969832405306	0.947649504560572	0.960533696134876	0.938048272515662	0.925537439241284	0.937584572149029	0.950897182153933	0.952347841366513	0.927921282677298	0.903299091778871	0.911439249151575	0.940209989811976	0.877758346495527	0.972613223899226	0.927412477051511	0.919935706411015	0.919231492145579	0.93859744150896	0.8795664283741	0.812368243268797	0.91874077560891	0.949104640603113	0.881983395724492	0.91739254563305	0.861228881358039	0.965520105653611	0.82816720628462	0.885264541926255	0.893370619418078	0.922077632111297	0.668348428123332	0.896453419934724	0.932655075694277	0.792030904631866	0.312137876583002	0.977556119825621	0.928053903323203	0.160710779584389	0.875510901272417	0.931958630515553	0.889643746127297	0.913927839052859
PTPRS	0.928451739057928	0.827240243266173	0.941525360832527	1	0.926772370667736	0.887755474093848	0.788746696782414	0.908996889943171	0.913112958349082	0.813691267047159	0.944125255939758	0.831388062125925	0.919564545731088	0.844466030972876	0.906169298917307	0.924757268411348	0.774406531311327	0.915117216019262	0.894716134619337	0.883777865212939	0.760536045625244	0.879451768725819	0.86322840544368	0.879007451421607	0.9070120136764	0.875643719128973	0.905952440285488	0.930347635876224	0.8157807880673	0.80356860589086	0.862163402946725	0.934553011585405	0.686572746621388	0.841623932817338	0.91008661292786	0.931878812048405	0.821155289652242	0.799960647480558	0.893728392607559	0.859516328534966	0.666992553341831	0.831377273105111	0.935176788511514	0.682545146379597	0.735939076605146	0.828156043754979	0.853663906260522	0.921248347438558	0.909826157524788	0.908886550829706	0.909922052381221	0.891636403597055	0.782413950135626	0.861112215961612	0.781353159737378	0.898784793248379	0.816451226974232	0.87253528143453	0.780460049212335	0.889379595908619	0.827072219750887	0.874166263289846	0.830148083679951	0.816456759540376	0.846503032810156	0.881859847941393	0.92807666167409	0.928625955615156	0.885575500319445	0.914889001454816	0.93221401245561	0.953150856833097	0.932254302509963	0.903069907770614	0.896340170046737	0.792583747428893	0.903988766491405	0.891576058297925	0.946684656963318	0.86992809293214	0.929273791759599	0.905947218115473	0.84504823489865	0.883139566421782	0.895089216205588	0.887250965072883	0.862048957639874	0.894097241067756	0.834480222150603	0.877800873083896	0.789818280810542	0.918659740839677	0.879938270046932	0.888865351712636	0.844155058116364	0.934874218941693	0.77295917374371	0.774234472844425	0.852662870435076	0.896600668302092	0.77911340850327	0.912613966677288	0.777584975806047	0.919620271921803	0.831054005744832	0.836192047206666	0.842908324131971	0.842013073823964	0.721104756270989	0.799651967093847	0.857713085337588	0.821303417092637	0.388903690432114	0.924248733997416	0.868992413614241	0.183149898457232	0.846433016447171	0.849160505805574	0.784883086867558	0.874373405086988
NCAM2	0.922958306460365	0.927941600656648	0.943378212406372	0.926772370667736	1	0.925668511374764	0.759450901153957	0.931482910329074	0.909119825964754	0.808538438274589	0.956769098809376	0.805825936790331	0.913414569207907	0.841683992499216	0.969906159102826	0.926361209053409	0.753124233140733	0.929384055604026	0.87843595952003	0.935526228078814	0.74326534803032	0.909026995705337	0.907315525173252	0.904868751157624	0.891440611580795	0.870972617491973	0.921490700833935	0.952554321456714	0.904343154578538	0.815214351808042	0.892190308033548	0.954935397052955	0.789021922048592	0.872834121503105	0.906910013124636	0.943113202002822	0.882234516973668	0.814044436516457	0.886051051859927	0.901618211645352	0.708472690524116	0.825082622230969	0.939809257380957	0.77898295506633	0.817630357452899	0.919122076616375	0.881133105255402	0.920970281740713	0.938167278752368	0.940953434663447	0.888447298229512	0.894350257962882	0.761047250685475	0.864362397701432	0.796554691999529	0.910296656387821	0.800601611256077	0.865322525926619	0.787911026540921	0.912596283818898	0.823497631939618	0.853836692014228	0.817577330350398	0.797770786113907	0.856831014547846	0.894739712054507	0.943659596162002	0.928513408887596	0.88694023200596	0.927967401358648	0.939131034196201	0.93886179573688	0.952343695274367	0.919286009681276	0.937631572842903	0.812501067226244	0.953612026410682	0.876419199054083	0.944265678015452	0.888692464715977	0.964672242024481	0.95269801143176	0.8481429186141	0.903773204063637	0.896346964888286	0.900319844812071	0.843494468765208	0.95060891694897	0.816462347747545	0.906242420970209	0.790763790716937	0.936140561722198	0.92767860035015	0.889231557644999	0.869117983643142	0.917747168204162	0.766433057599996	0.836853623853149	0.857363549901253	0.896278590503113	0.794397696146377	0.904759388853052	0.740159962909662	0.901152093555658	0.866343191927001	0.90736586516142	0.883123353957088	0.872644271393476	0.775722618385999	0.833901167234918	0.907645220773728	0.821629106123206	0.426094631587863	0.931399428033798	0.886230902991356	0.180319972574324	0.859113622137036	0.880567502423431	0.780649604889711	0.899771974525875
FGFR1	0.956838894290511	0.816961073578757	0.947008501637443	0.887755474093848	0.925668511374764	1	0.813904822563872	0.951668918387309	0.957392481249265	0.890917278437619	0.956081449622423	0.893244858058568	0.944970244850622	0.919331991096399	0.93896651379037	0.941818304583159	0.856802114106708	0.958358932092295	0.938586454751917	0.949229598435098	0.840840562251097	0.953276993162527	0.92501272138709	0.968746014806267	0.931209506976773	0.91563158699814	0.94953500964041	0.956523970611918	0.866148831628559	0.881969151239563	0.924376019595933	0.953687594162083	0.653844106266129	0.904952373194957	0.962112742555492	0.932326166003408	0.871061469503935	0.843642223299295	0.909255871793737	0.907033685270341	0.711929435395789	0.90916736103557	0.944346367768663	0.728742121788879	0.786339705788357	0.828567927197552	0.883454620091938	0.919712371736089	0.958387247736334	0.911132600383737	0.909026674841157	0.914451529980889	0.842629855178493	0.891974244971126	0.859483956156921	0.930929248226823	0.886154160951307	0.913049997080965	0.857737368997394	0.919497653054118	0.912700621866302	0.907252542487453	0.894433693650953	0.858959757085569	0.9219700129115	0.910584102238318	0.945097627149415	0.911894519530959	0.886452712310942	0.939132278585862	0.940942716244792	0.920769189416416	0.939423059396681	0.9269573973272	0.926405996239614	0.880133959292582	0.86458459234372	0.896798966750115	0.927911425794	0.934647899413384	0.942110600873935	0.951145455095294	0.896045365237569	0.908617453157517	0.921165774811734	0.933566914877163	0.896319598221264	0.896302144313555	0.892266450947522	0.9520694154268	0.87437195628932	0.942844653803613	0.900250215382119	0.914349653068997	0.915783476981208	0.900871363764294	0.862836623261703	0.824967230602957	0.884489662816428	0.926470944966577	0.871671047068254	0.889586369819923	0.831428823034338	0.920344347057347	0.797026193598867	0.900070148832452	0.853492791072836	0.918345734403342	0.642062020043351	0.872738276401029	0.924715291263468	0.752313362831895	0.29372066959924	0.953108016425937	0.908968907923533	0.151224048133077	0.845355865133819	0.908593825384966	0.852971393966393	0.900324885357088
APLP1	0.87409429408841	0.548657745595732	0.872729578274987	0.788746696782414	0.759450901153957	0.813904822563872	1	0.867534945022248	0.906178656157439	0.936347948048902	0.856781610144233	0.945782499843786	0.870254684214225	0.946047719743447	0.73099800454007	0.846758830621522	0.945698923629835	0.901996261065752	0.909833125895938	0.733896521202831	0.95051477868961	0.879007224292287	0.704770903154834	0.892688558150819	0.91771511387566	0.951261450120764	0.910322535237159	0.866506774577367	0.722177180655598	0.935753374221292	0.866963359717588	0.874296008876483	0.398468778559186	0.857736406771924	0.877404356302547	0.869863988795499	0.656393692048431	0.911412228462761	0.845055607964114	0.872349516074717	0.717106396892557	0.893719304945664	0.898555016797976	0.550596792202197	0.536428011641309	0.561004279176723	0.812679830777142	0.89330395167314	0.833147892974414	0.762153537847397	0.924832971092795	0.89462403328766	0.931677924469168	0.85815953609752	0.914777171061932	0.868411263293358	0.910094853342486	0.927714132406717	0.94580701127676	0.828887391177235	0.928050603395395	0.918711394476392	0.9569418460272	0.900640170937381	0.912799126613763	0.810161264624485	0.863412948654037	0.861157189771964	0.864379958337135	0.914476020142762	0.853256204982447	0.803167604938852	0.862406813995817	0.882321133155838	0.868246882091464	0.878430263145637	0.708025014231886	0.882824429320674	0.836502572066417	0.908349039963762	0.792951932184863	0.796399914418898	0.953222950708952	0.890258142054249	0.878432461628102	0.909422086459783	0.915551351859612	0.680813296941379	0.924743734068123	0.880411020403462	0.909526766226868	0.870008424553928	0.814396969898817	0.807612889071724	0.897760930807996	0.797159554232404	0.934690505806726	0.813763765138478	0.907083754290841	0.882645904259368	0.917006993667104	0.800056726284156	0.935687982749965	0.902642751413061	0.656312441736062	0.759179398302422	0.810156124633941	0.831150252319032	0.451025191336768	0.894892629256421	0.844174361493667	0.697792085868086	0.144114683890396	0.91302074710766	0.882864606926459	0.107406557382932	0.782024229650108	0.930116799734877	0.9474986136511	0.816597794664028
GFRA1	0.969918026225116	0.792634267147156	0.959080776200322	0.908996889943171	0.931482910329074	0.951668918387309	0.867534945022248	1	0.969056834293014	0.924285913600987	0.970055862248775	0.918564017228735	0.956712642849758	0.939564159567835	0.924588495227282	0.958570431083387	0.894868424391768	0.965739394021308	0.953607296619338	0.933853954188752	0.883919349736112	0.956740155134533	0.871992882016497	0.959129401449525	0.956257840114399	0.952258710354866	0.972441883105467	0.971374301325392	0.871417815513484	0.915489809915918	0.938933093155132	0.971126354181122	0.620237782567954	0.926042475974523	0.964000891484063	0.961782075295209	0.842881299679796	0.879745388400529	0.929764456452053	0.93046651103413	0.735175011266409	0.913806389256942	0.969687036782073	0.692474845252737	0.739381327634268	0.794813471417239	0.887238156730721	0.950173702560005	0.960714876342752	0.910394450724053	0.943272137764903	0.920210758324706	0.873228085282884	0.902601107530941	0.892520262512812	0.940959196473352	0.898148120258785	0.946332152495411	0.898941057905102	0.931943814201512	0.930808546925082	0.929870704818181	0.923834634205356	0.867777963142429	0.933700652665611	0.911244005333441	0.956731696171908	0.934665960748685	0.912634100561004	0.970469348155987	0.962815962495014	0.927864334429336	0.962823282919959	0.952750491553419	0.942967421569226	0.893011444677764	0.880249737781837	0.928722939242412	0.940167471407635	0.957925156110681	0.93951497609404	0.93740266554165	0.930260154168751	0.947596304979045	0.946174968063458	0.95184784040852	0.932191257808284	0.877112007981852	0.908693705590528	0.953796122370772	0.897381418451982	0.95879312432943	0.924710040033123	0.906643846228461	0.929148039924307	0.911719700529509	0.877054531163051	0.8257557046573	0.932008423476187	0.935351422487819	0.895516947903167	0.90579010398237	0.866143813069901	0.9559538913322	0.794203170193334	0.887842096364637	0.860423186820098	0.919681966612722	0.640565821831271	0.902859294661798	0.928230336062215	0.756036102657869	0.282381810221978	0.975968123652265	0.916543816448862	0.141217132749417	0.849808588781873	0.938320832044829	0.893682815308584	0.922555391489042
ROBO1	0.987886371345312	0.74516888161624	0.97825182043429	0.913112958349082	0.909119825964754	0.957392481249265	0.906178656157439	0.969056834293014	1	0.943739389979046	0.974109276732634	0.958782787338384	0.974078788414429	0.972095123352368	0.900736656260569	0.964880378537318	0.932731101830309	0.981739378622417	0.982738860913962	0.919265214206362	0.921445215811618	0.953404608236637	0.871989532231359	0.973648031321339	0.986578627416668	0.976221102436072	0.984433718909615	0.975665589092306	0.827651916425671	0.942503928961185	0.941952488035481	0.976793121182096	0.551516680656795	0.929477583212489	0.985383513490054	0.967623584146709	0.843300315424721	0.897283468601774	0.936792144122121	0.934307807296233	0.748577961002826	0.942676258841537	0.981721146871064	0.661594670315986	0.702308972738721	0.751172851535254	0.894896358896938	0.967775820939402	0.960941254932562	0.908931037544031	0.970417225074997	0.933061229977005	0.911042117838793	0.917916740002324	0.918095503201012	0.955949088553392	0.931036494592316	0.970384734798503	0.925607095294855	0.942791554226075	0.95543751648928	0.963262946137936	0.956237145386088	0.903041914222168	0.95590266483704	0.912328925060712	0.966378559565848	0.950660750965168	0.922598668105032	0.975740302350173	0.962033925796501	0.933703385063757	0.962647723458558	0.962034246131094	0.941581546099733	0.921221453909896	0.852447443006114	0.953349756589886	0.950902328882179	0.969301751434461	0.935907709813674	0.926999994696127	0.953880337167952	0.951632113200893	0.963725820332079	0.963859545058952	0.955706720516312	0.857945197771165	0.945932034901548	0.95734110984405	0.924745272308661	0.968897068870369	0.910493587141552	0.917846737183341	0.943021486782659	0.921341316954559	0.924086253701432	0.81340234587317	0.933447507224393	0.957162395763113	0.92142315264169	0.905092066966675	0.913322970777372	0.968296539929551	0.780684476243567	0.872071696517367	0.868402932103286	0.933625537944116	0.597151611066858	0.912718091870129	0.933767170235338	0.750719513038339	0.236317644218974	0.987139633919258	0.939053297486779	0.136767793464	0.860962796587461	0.947800794060594	0.92736189518721	0.913884326312726
GPC1	0.922473472626478	0.616857019223475	0.905335030375619	0.813691267047159	0.808538438274589	0.890917278437619	0.936347948048902	0.924285913600987	0.943739389979046	1	0.900687949416352	0.97180799391861	0.90541334824261	0.973066862846512	0.800048810195416	0.89584779130188	0.961204081978005	0.943200186833755	0.955857143481873	0.826591697192722	0.969226977854267	0.929793263037156	0.783281566274474	0.953010785627261	0.942781422015851	0.959058563925457	0.952544321096605	0.904025956951755	0.786202028004012	0.971775712295193	0.931938047743368	0.911539722910291	0.425075413723463	0.916919596647369	0.932914952950158	0.888226899034108	0.738297562668778	0.90661045767536	0.886624656197396	0.905949085426682	0.749819786184949	0.92666693175832	0.919831065870107	0.597322704799445	0.620999651143452	0.623584899544479	0.847882520516216	0.912343431611772	0.905824660936116	0.808792323408491	0.918715990102839	0.887121076718542	0.948166805059911	0.888284321705063	0.948473037550906	0.892534440825036	0.925842838852027	0.956265178915359	0.968434672149073	0.89471175571396	0.95254365731336	0.936471886579566	0.978093663163143	0.890256577830548	0.945672059369442	0.839763784015431	0.886941822518635	0.875008968081601	0.875652030245832	0.929373826877812	0.882478375448441	0.85396750731463	0.890830323818362	0.913909657703692	0.8855508071022	0.915588052779141	0.743587877199027	0.919650883686237	0.854601865227186	0.952549730688679	0.84146860724732	0.860304361974527	0.961764457797956	0.922884257707426	0.903988433340615	0.933788384267556	0.94978767499605	0.736597843162223	0.933413446333638	0.918223464464729	0.948884025742417	0.909774273308492	0.847123802654959	0.842356937713973	0.931920966364451	0.827202095069734	0.947268160403457	0.799977499214963	0.92932339748235	0.906614773786472	0.944749718595956	0.81701728055702	0.916225659121529	0.923601004663168	0.677945262581839	0.823357317196513	0.842739200809598	0.904378111707277	0.455953993595488	0.931270076405038	0.902148909202689	0.644823711510685	0.12715408872185	0.940063983245216	0.89247923212091	0.0953051774826331	0.789602654348377	0.964519812028432	0.968121210651707	0.847255223915326
