""	CD3D	CD3G	CD247	CD8A	CD44	CD8B	CD2	KLRD1	KLRK1	CXCR4	F2R	PTPRC	ITGAL	CD69	ADGRE5	ERBB3	CANX	ITGB1	HLA.DPA1	TNFRSF14	S1PR4	TSPAN5	LPP	GPR171	ITGA4	SMAP1	PTGER4	SORL1	PTPRA	THY1	CD81	HAVCR2	ITGAV	CD74	NCL	PTPRZ1	NOTCH1	LRP1	ROBO1	C1QBP
CD3D	1	0.994232922855002	0.987051178237412	0.986373628458156	0.995586233237722	0.988552849223562	0.993274557234337	0.968193848480617	0.946068858574039	0.955155057324645	0.884691142559396	0.975164609370554	0.971661612968113	0.983909870897563	0.992097343132938	0.0363677584891219	-0.314855237669672	0.6164896966137	0.114106680541921	0.940545691630135	0.990925811840991	0.419199324117003	-0.234654809975369	0.993583078946807	0.961927461796304	0.163985071487122	0.921715635088746	-0.177929340744652	-0.0396992985155431	-0.384524138152441	-0.192199642167329	-0.0407899703336882	-0.286572735786407	-0.0657028805178235	-0.0258957646550907	-0.328188658849888	-0.45949601695877	-0.45235943544692	-0.303527822000459	0.0867715914912784
CD3G	0.994232922855002	1	0.979390800477624	0.989011184740379	0.995099106672425	0.991498565861551	0.995452130100644	0.960902588847902	0.951440185969576	0.955947540009043	0.865910558476417	0.979059123198656	0.980868854628265	0.985406815199394	0.99451110501973	0.0357036958602715	-0.342703348779646	0.600309867547923	0.125587917317632	0.933432470035329	0.987057928175284	0.384865868795978	-0.253940209288539	0.996539510498494	0.967415709139759	0.119124203051313	0.922084606519257	-0.168502936001737	-0.0819725250860045	-0.409726354116812	-0.212138249967182	-0.0371943335143828	-0.322282222881589	-0.0519685464372423	-0.0644057856917324	-0.365621923980494	-0.486503506256468	-0.476527544700155	-0.341912960832258	0.0616922591378496
CD247	0.987051178237412	0.979390800477624	1	0.976107222451239	0.977712981197736	0.979200954135534	0.983015590294539	0.988270219420933	0.952045031807739	0.942252667885504	0.87602117092968	0.961644498885003	0.966678122455722	0.981913103359796	0.984199364802264	0.017802436753095	-0.339450509697095	0.585411228768789	0.0742729218783361	0.920303483889377	0.992582028730691	0.384505894430038	-0.264337141313677	0.984342245284676	0.959188442298623	0.149608697605916	0.912009974369201	-0.21503363660396	-0.0600025892719473	-0.407184783110767	-0.226011776064214	-0.0564850258058214	-0.308656302969999	-0.101835330521062	-0.0463520791689001	-0.337409496260474	-0.48125081071351	-0.470771318357012	-0.311647558778253	0.0519199622549938
CD8A	0.986373628458156	0.989011184740379	0.976107222451239	1	0.983284255579029	0.994843162250999	0.992442148714302	0.969056486231718	0.962445030406111	0.925480645324401	0.855533106985535	0.951154024419846	0.972935301636756	0.971381024891948	0.985338388362544	0.0105075774366199	-0.393282571820713	0.528723445343844	0.0423319485084191	0.894440609486786	0.982808468046096	0.323393288329741	-0.326923474276026	0.986586485638103	0.9446912405053	0.0883369399538751	0.887589984557773	-0.253053458458773	-0.130596060571923	-0.446517504853458	-0.282002163213009	-0.117981006610846	-0.367900281847877	-0.135347060029108	-0.116239819167208	-0.394254298899442	-0.528578248051034	-0.518353369002403	-0.366279566944613	-0.0036774082276822
CD44	0.995586233237722	0.995099106672425	0.977712981197736	0.983284255579029	1	0.983230335927314	0.993318138304058	0.950328019907484	0.935332258313959	0.96418272548813	0.88511337475607	0.982362597744967	0.969139343514813	0.986705835102689	0.9887623582381	0.0753618086000469	-0.29172557153378	0.640470648508341	0.135082047334246	0.938361993871861	0.987215669621648	0.438214902851456	-0.193119610698726	0.993994285063238	0.971469117254103	0.167668024750715	0.925791424823657	-0.146533118313821	-0.021173742906884	-0.363819716354671	-0.16829540683035	-0.0183290381584682	-0.2602318489153	-0.0425526504948533	-0.0102750184517833	-0.310624120037412	-0.423845000414082	-0.427620695337778	-0.285257895038278	0.110480323467108
CD8B	0.988552849223562	0.991498565861551	0.979200954135534	0.994843162250999	0.983230335927314	1	0.987942577151124	0.974713564325076	0.976870753955509	0.917426537316428	0.857815117078738	0.948516863998028	0.976599106913508	0.965789480446757	0.991985983869246	0.0191517564113378	-0.40812994424062	0.524766150572804	0.0212124289983362	0.900921480738291	0.983503804060965	0.324454454423196	-0.339943954535823	0.989781682449494	0.938518369302401	0.0816128058151144	0.896065430485847	-0.270978093201092	-0.142458455549798	-0.459773123302104	-0.30106236290046	-0.145790399519747	-0.375728818161131	-0.158898562534438	-0.128008470850381	-0.399893021895279	-0.53532741390686	-0.533188346528694	-0.37652129996884	-0.0148032196981904
CD2	0.993274557234337	0.995452130100644	0.983015590294539	0.992442148714302	0.993318138304058	0.987942577151124	1	0.965456574532929	0.945900278325972	0.959067201955481	0.86250038456401	0.977429520628539	0.975338506968141	0.989484725505533	0.987376528357055	0.0169176109045912	-0.3473881187429	0.586086409074828	0.120772476057349	0.922099357710546	0.988646645542801	0.37398291908267	-0.254646531314962	0.992204715469057	0.969752718821096	0.115639808201315	0.914930924076571	-0.177672133573724	-0.0812177705084764	-0.414582903544915	-0.218045449476055	-0.0328567754548255	-0.329822453828572	-0.0549573531572887	-0.0673902473027752	-0.370600982934447	-0.49070285947786	-0.477961407294363	-0.342194947461105	0.051060897882519
KLRD1	0.968193848480617	0.960902588847902	0.988270219420933	0.969056486231718	0.950328019907484	0.974713564325076	0.965456574532929	1	0.966732893170598	0.895265700421587	0.849560414815728	0.923627761866737	0.963204707747736	0.951166912335133	0.971762564596642	-0.00249011951535906	-0.413109703223255	0.493416099933061	0.0096216013520302	0.888049744811075	0.973544585649603	0.29252351919759	-0.362695304783333	0.964052058536047	0.922958424003126	0.0794118500740114	0.872250144554545	-0.303799113743197	-0.147576385443692	-0.462018426488049	-0.311621541859711	-0.159039569660676	-0.383337378961294	-0.173081650939045	-0.133147901509878	-0.393446304890276	-0.541208929356833	-0.526395713872622	-0.370171269631707	-0.030976637533806
KLRK1	0.946068858574039	0.951440185969576	0.952045031807739	0.962445030406111	0.935332258313959	0.976870753955509	0.945900278325972	0.966732893170598	1	0.853880303345997	0.834586529663568	0.887720184572534	0.962768624079353	0.911238884359081	0.964902558893554	0.0706943090033687	-0.448517556944311	0.451689084308851	-0.0714364536293878	0.850064287066104	0.940303148255194	0.272706748463003	-0.381772987126162	0.949858685597968	0.87088142297304	0.057486999123669	0.879529604763955	-0.355712777498542	-0.181988674925335	-0.471778741740595	-0.371338936650925	-0.26039653051924	-0.402158076181884	-0.246364243213278	-0.176815668462287	-0.410254664894208	-0.548214566344733	-0.553895582152674	-0.379339945951382	-0.0721295836060201
CXCR4	0.955155057324645	0.955947540009043	0.942252667885504	0.925480645324401	0.96418272548813	0.917426537316428	0.959067201955481	0.895265700421587	0.853880303345997	1	0.848243773231745	0.990476509581926	0.941993090043608	0.978326359180381	0.944868033960459	0.0887564422475549	-0.154526410685151	0.759303342146838	0.351713825425781	0.955096609523291	0.945630547683541	0.523031123143904	-0.010616918796952	0.953853416958751	0.975274078216148	0.243624529686809	0.952833293023004	0.0641344105506114	0.104436267255532	-0.25055549516279	0.0140782634757301	0.223097604884725	-0.158090244584457	0.194305088513225	0.116057598729069	-0.244950833029798	-0.330901567692153	-0.300445189260178	-0.206175240607255	0.242019993644726
