""	CXCR4	CD44	ITGA4	GPR171	CD3D	CD3G	ITGA1	CD69	CLEC2D	NCL	CD2	PTGER2	RPSA	JAML	CD6	CD96	CD247	CD47	TNFRSF14	LAG3	PDCD1	CD8A	S1PR4	CD8B	ITGB1	CCR5	EPHA1	CD46	PTPRC	CD74	CXCR3	TSPAN5	SIRPG	LRP10	SORL1	F2R	ACTR2	CXCR6	DIP2A	IL2RG	TRADD	PTPRA	SPN	JMJD6	PTPRZ1	PILRB	LAMP1	PTGER4	CD63	STX4	TSPAN14	RACK1	KLRB1	ITGAL	IGF2R	IFITM1	SMAP1	ATP5F1B	TNFRSF1B	CD81	APLP2	TNFRSF1A	ITGB2	CANX	C1QBP	CD4
CXCR4	1	0.961997321197764	0.56269950630011	0.846142363369265	0.902166577381653	0.879432898913327	0.609813283331943	0.933109023246037	0.859166095879543	0.301707076696267	0.875147035461879	0.638072877358954	0.787444321611585	0.768405538065448	0.822402759869988	0.785613926524392	0.939456613345256	0.745901784000384	0.843292856242914	0.758004757504502	0.818647814916431	0.759070078178892	0.872052101355711	0.68570237686433	0.693764224484632	0.517888098848483	0.819193770419118	0.614434694532046	0.685614925288093	0.566659747654248	0.808143024693665	0.685347630036048	0.726549190379701	0.716304787111759	0.407978006449059	0.708699565375638	0.703378872431357	0.707536623085488	0.249979642374333	0.770072595450403	0.739509675818204	-0.0619738372950975	0.838571959269758	0.714128008219099	-0.442029982731927	0.549238853892155	0.285451341405553	0.664270887258394	-0.204636780262419	0.51511875295163	0.64015408005616	0.772027038409104	0.630125177267306	0.722014222654929	0.428969996670034	0.805399540912719	0.493505553912761	0.444068456662786	0.738655527766006	0.380788744022082	-0.157231498379797	0.470004639691506	0.808103230094538	-0.0538882385247655	0.245868050069009	0.571275733145568
CD44	0.961997321197764	1	0.585448743866422	0.831741455976402	0.914353783916262	0.854048711614815	0.583819153193142	0.915879078526777	0.872530042137043	0.371342730639197	0.876696897065314	0.675097909614618	0.825023054738977	0.750874641868144	0.85096157695617	0.823725273604203	0.909092451162773	0.782916623307109	0.81092001450219	0.73993425096793	0.79032192860145	0.671700641357662	0.826334614404402	0.579257535662259	0.742582929004188	0.497962110719007	0.795575706279357	0.573878311359917	0.691017071463762	0.554314437626819	0.85005115167362	0.652020472293083	0.594213007437826	0.693283292145365	0.42723991808723	0.656990193158113	0.732010789558809	0.69508635180976	0.283012277342921	0.821095764597118	0.805866588515679	0.0157320459796976	0.8917739443925	0.671429313304038	-0.406181950659159	0.619138088900713	0.373724740560063	0.668148388992584	-0.160743705774829	0.484801419426059	0.670660168894472	0.797461383286959	0.663018258319628	0.6922108792212	0.48856593223781	0.81026450963916	0.557057561395714	0.468829270972874	0.7540929542877	0.42126010790421	-0.14583630697755	0.449143478533566	0.782244174666489	-0.0131807097415386	0.268702753985833	0.609261432475148
ITGA4	0.56269950630011	0.585448743866422	1	0.553294083376024	0.821470169195834	0.826003688652717	0.771263192779536	0.711908171735967	0.641945946271073	0.558699808657634	0.81263956994422	0.686430691551923	0.474486736586111	0.77279350323035	0.630321624559092	0.849513106039587	0.673529768071694	0.593618584180763	0.735934477952867	0.5850922047156	0.265533381818204	0.576678776738019	0.586978290066735	0.69926331946726	0.78847253027128	0.689221027530463	0.365549882588746	0.759686366525181	0.90398299586632	0.109646259379724	0.569226215100476	0.54920531444178	0.480708004209138	0.611860358835838	0.588636377511679	0.517428661282821	0.73132999021399	0.892214543968195	0.589665116469511	0.770933000770686	0.603317679060605	0.274011237308232	0.645841477399924	0.636364316977138	-0.25236264436874	0.35613730933567	0.685708888397697	0.948045639016268	-0.017603396151509	0.413039658708173	0.886035463966868	0.492745746744097	0.618010584954386	0.870883476226038	0.83998115541675	0.505309217900754	0.628461910250833	0.151477957464568	0.850157769905601	0.304410957488865	-0.0374179608756308	0.1651073570058	0.528461274423024	0.104848839379337	0.280319114329216	0.483873732405053
GPR171	0.846142363369265	0.831741455976402	0.553294083376024	1	0.796827627734729	0.786558489792918	0.302955905928403	0.850270344285701	0.940858068534237	0.485471795015443	0.840195104989871	0.853959527277537	0.904364305144206	0.555167088914463	0.88542050174907	0.60878940716553	0.77123338307376	0.829717410162633	0.866954535478241	0.426386466305953	0.60202825550918	0.442779979814041	0.934116687903574	0.425427668809496	0.751900802438098	0.269846128566747	0.583268296112544	0.726222615245725	0.518837441079248	0.582767028363815	0.597304874391222	0.480918880827015	0.546322937047007	0.866249511172475	0.501620283773807	0.421419068551913	0.846880317646393	0.684721866636842	0.253008392339867	0.872489119528878	0.894076783994752	0.00379235763690602	0.834638691010536	0.776022316238203	-0.230040360474927	0.371467470796606	0.451281226559098	0.706722535898026	0.0429849959417069	0.479950684059783	0.684916702639094	0.874180368093169	0.876572877260029	0.626250642421687	0.523049738411395	0.877108494941994	0.65480243258461	0.609873102691881	0.803509989921726	0.42535684668054	0.0710359550354078	0.475456995189497	0.873739859158448	0.175659686458111	0.390660495758309	0.798333821042217
CD3D	0.902166577381653	0.914353783916262	0.821470169195834	0.796827627734729	1	0.95269898467016	0.759844613003932	0.922862465473646	0.865544937686193	0.454597719927001	0.95996878001675	0.721614887994083	0.739267069767407	0.853931648402965	0.848173543796592	0.935917910020014	0.923170109396525	0.764927626432376	0.878548422521597	0.790419947060131	0.660063937025046	0.726756787962048	0.832114344985042	0.75506740096121	0.813511611986133	0.709878314500757	0.712190359270631	0.709407482578242	0.872970609545245	0.373656890111934	0.844949997815263	0.717806316481377	0.646326185855282	0.739559539147563	0.505247457839018	0.697762247048245	0.774855521250778	0.87657979384999	0.393916810040189	0.871786466640178	0.785847731006028	0.096874840223736	0.889614054978411	0.749218020985142	-0.409787436452682	0.562860763490288	0.483597395489676	0.853837589418875	-0.156448781447492	0.494858716904009	0.820355911996821	0.732216421763264	0.687062175418104	0.85777068334988	0.665415849694332	0.757952646861259	0.631999226859149	0.359269087309517	0.854024305226371	0.379686225402495	-0.168379043439003	0.346072740544318	0.738708193644041	-0.00649057770587131	0.284900920915559	0.579908551111021
CD3G	0.879432898913327	0.854048711614815	0.826003688652717	0.786558489792918	0.95269898467016	1	0.73906887254851	0.918598408711816	0.864139544225219	0.453626185419993	0.968265525215881	0.714654303882802	0.706483492533245	0.826371716071948	0.869448222746763	0.872954611567992	0.939290262407317	0.74585629030818	0.88524469670312	0.743208564131358	0.625322091680257	0.742337354933422	0.794550278007916	0.766042335440013	0.766260405816587	0.667240444469377	0.726944112561299	0.753969110383315	0.841783703202528	0.331393628774902	0.72966028008893	0.746752279513348	0.657122095512645	0.7629900257245	0.492742406405851	0.659102478727503	0.78363330572239	0.85379786900465	0.471099117327125	0.857045904946697	0.746792330267432	0.0666285621679629	0.848994278310002	0.825426656486228	-0.409427764356652	0.489680416800745	0.455220030295921	0.880435464479588	-0.166195655909573	0.523638210742237	0.776030185001006	0.707104211681172	0.708643293742875	0.855746677999024	0.721821220618459	0.684686941669225	0.602571030493269	0.305417365160065	0.885120590427638	0.314774619694063	-0.170174182243528	0.270118252596381	0.761147784019788	0.00265457424037668	0.263703820535173	0.617757383441491
ITGA1	0.609813283331943	0.583819153193142	0.771263192779536	0.302955905928403	0.759844613003932	0.73906887254851	1	0.67937010029646	0.395191250413843	0.190396538460254	0.659550503432455	0.249380559485732	0.209240900451702	0.798746249084734	0.407562976094117	0.86966937546873	0.712682796483765	0.342100363267938	0.550018449860747	0.859067984740265	0.497828166330465	0.855206168556154	0.41517635398723	0.896428040105304	0.526178860203365	0.816622099766511	0.503319008686573	0.461914326077207	0.866049490964688	-0.0383277232613246	0.69717855281977	0.71221149785183	0.616503400457478	0.296694643251575	0.23143390127322	0.730635208655595	0.364887317362141	0.777099890156812	0.387546973012106	0.443730556080628	0.261471903037625	0.128963778534211	0.463493777078026	0.383451590694403	-0.418138328386672	0.490803477780077	0.318621697547743	0.663781087072335	-0.301373713252674	0.322065148713474	0.627398012842623	0.237214577896571	0.158890467292653	0.794715396514886	0.50478800428847	0.370680356903924	0.264632970072514	-0.0601019294640571	0.558353573345436	0.168490435946866	-0.35596264512943	0.117013388960868	0.284448492883952	-0.201100433048355	0.0495529337410261	0.0439324570869905
CD69	0.933109023246037	0.915879078526777	0.711908171735967	0.850270344285701	0.922862465473646	0.918598408711816	0.67937010029646	1	0.856415775331768	0.37952811854022	0.894354685392085	0.69888251234209	0.770974167522165	0.807381940758874	0.819442593866583	0.845472477030659	0.918987897378605	0.768529084788031	0.913918373445478	0.767757546541837	0.682145291826905	0.715771243273839	0.855175904266064	0.714030930324702	0.775673486887955	0.541244503310644	0.776838063627725	0.650409395031376	0.766742927495263	0.467648925057653	0.824199737700992	0.693145094561363	0.646277950968661	0.73356796924801	0.457867548800981	0.602721941784096	0.753108359596757	0.810561171469302	0.331695059786916	0.833961859302431	0.778279477963352	0.0172400713598252	0.843503429787031	0.729462399364553	-0.413744223849595	0.589643884784914	0.414469598299812	0.76593204057821	-0.168866522631603	0.465311143930081	0.728073067344632	0.759806866467662	0.69316100554232	0.79621836531551	0.575474463696396	0.801606870235536	0.577244302117465	0.407446008267651	0.794210025826859	0.370546683746476	-0.165571448976138	0.432986080134959	0.778320634546801	-0.0308413190548552	0.247057136261994	0.568064101061584
CLEC2D	0.859166095879543	0.872530042137043	0.641945946271073	0.940858068534237	0.865544937686193	0.864139544225219	0.395191250413843	0.856415775331768	1	0.568628977678158	0.921611012941846	0.839019636420428	0.902178588250721	0.621395834646406	0.941964294710137	0.697702282528802	0.838273210511012	0.887305742426691	0.878894249011171	0.529402720808716	0.599727841651049	0.456766015032009	0.89535991802539	0.457706272798018	0.807569976114166	0.412865897293264	0.686925055675907	0.760867495335211	0.624300335223775	0.541033599319494	0.644329906202042	0.582262311252352	0.511110379332724	0.86659493815913	0.564530807795629	0.509219329042249	0.883574144457614	0.704338614644336	0.420925330542522	0.911560049921319	0.920924542211965	0.100701734036997	0.920597570991522	0.844328681992995	-0.233092878202672	0.467388267820912	0.500667726779234	0.768571798516496	0.0351995276908305	0.518905622265087	0.734755098307233	0.875484332297436	0.868403082368472	0.678152168908804	0.621853869291745	0.813690614128774	0.700118736398224	0.580701117177993	0.877625348124886	0.451971178069764	0.0815026149378588	0.450169906536186	0.869354531616346	0.193819234724202	0.389886278082576	0.819822831313297
NCL	0.301707076696267	0.371342730639197	0.558699808657634	0.485471795015443	0.454597719927001	0.453626185419993	0.190396538460254	0.37952811854022	0.568628977678158	1	0.513903014354019	0.621586778009179	0.667479951160244	0.340142610684221	0.521593887205089	0.401546517323753	0.356884385066938	0.762176915160889	0.481057665292275	0.118321291094375	0.0501538424978892	0.0724972836544495	0.397238446854429	0.140665368532114	0.718411281488027	0.23255511625329	0.185345463995871	0.686371440480074	0.429712079486927	0.181611122242143	0.247473524572886	0.418845212314572	0.106067456051571	0.647781525111102	0.456992858263592	0.318373687701289	0.81125437134293	0.443004350143522	0.662933521397262	0.612064985279204	0.573527990129333	0.783812119806453	0.491316089295672	0.653616500833382	0.43346056822303	0.281686541031856	0.810980830930341	0.591828174513258	0.745454521571659	0.488394774855086	0.585619511501961	0.714469241776501	0.610915701180224	0.403679670993752	0.64391247235377	0.360901702230997	0.870952477364884	0.757338584331853	0.599819638454049	0.813919404218806	0.5853865784292	0.502734294015471	0.405395798673528	0.749830214407633	0.885361913066598	0.539016365910321
