""	PTPRZ1	SDC2	SDC3	NRCAM	EGFR	PTPRS	RPSA	NLGN1	NLGN3	FZD3	FGFR1	DDR1	PTPRA	ADORA1	CDH2	LRP1	TSPAN12	SLC16A1	NRXN1	FGFR3	TNFRSF12A	NCL	NOTCH2	LRP6	APLP1	GPC1	NRP2	NRXN2	NCSTN	PTPRF	ITGA7	NOTCH3	ITGA2	DAG1	LIFR	CAV1	EPHB4	AQP1	LRP10	APLP2	NEO1	NCAM2	MCAM	FZD6	PTK7	ROBO2	ADAM23	RAMP1	CSPG4	MYLK	FGFRL1	TFRC	TRAF2	LRP4	CD63	NOTCH1	ROBO3	PTPRK	MCFD2	CD99L2	PLSCR4	PILRB	EPHB2	NOTCH4	LRRN3	EPHB3	BMPR1B	ADCYAP1R1	TFR2	PLXNB2	CD44	ADGRL1	LSR	TMEM67	CDH11	NETO2	CHL1	ADAM22	STX4	PLXNA2	DCBLD2	NECTIN1	BCAM	KCNN4	CD47	ITGA6	PLXNA3	FZD5	PLXNA1	IGF1R	BMPR2	ITGAV	F3	SORT1	DIP2A	TNFRSF11B	CD46	CADM1	NRP1	LDLR	TNFRSF19	THY1	ACVR2A	RAMP2	BMPR1A	ACVR2B	CD81	MTTP	ERBB4	ANTXR1	INSR	ACVR1B	CNR1	FZD8	EDNRB	ITGB5	ITGB1	GPR37	GPR37L1	SIRPA	LRP8	SMAD3	ACTR2	NECTIN2	LRP5	RACK1	SCARB1	LAMP1	ATP5F1B	AMFR	TSPAN5	SLC16A7	RXRA	VASN	JMJD6	ITGB8	ERAP1	SMAP1	ABCA1	F2R	TRADD	PTPRJ	TNFRSF14	CANX	TNFRSF1A	SORL1	GPNMB	LPP	CD74	TSPAN14	C1QBP
PTPRZ1	1	0.711979437000576	0.914750344396379	0.906681653707069	0.912503207510036	0.875281288737538	0.696835930644447	0.91765239032202	0.858277522803484	0.882488680284122	0.84778502827329	0.921259388381168	0.932697295919762	0.886079021381879	0.900435677181655	0.910401868189002	0.916333570233775	0.722103524341965	0.874738586388157	0.876481265487733	0.69482449871775	0.852842762313086	0.857688842399855	0.897219472458245	0.782041321073724	0.837915485253406	0.906427373438348	0.88948875007428	0.830470745007798	0.694856028671806	0.883524771507268	0.723895807370167	0.81898221751731	0.912619590767166	0.920855873596946	0.483283691414026	0.897838223334303	0.681004804176378	0.858044753015261	0.839919137441406	0.909769765057784	0.9177637263456	0.799249194761528	0.868436813303581	0.798546530721459	0.955935390544816	0.929068053410418	0.830635146964301	0.830065879867209	0.748100483669566	0.878532544964426	0.854575613594434	0.808179620317752	0.532371630835291	0.848926254817459	0.87807723000134	0.832065747973541	0.84677046388196	0.83949133337044	0.857036510463476	0.86942992159131	0.814227027339611	0.785221661604957	0.845033677003708	0.867046216998578	0.830151319799505	0.898077205729253	0.787950301877544	0.846914009864266	0.833173028709116	0.739283891089671	0.824704115559652	0.744649321454243	0.855232918253239	0.789490034463831	0.817998353943938	0.957385395077113	0.871139594244083	0.822739130109151	0.77870862260445	0.872287523353323	0.728614741966764	0.78190180775004	0.84633326154776	0.811570526441748	0.854125567808808	0.75484216146269	0.90966771885001	0.831065963336411	0.62408019032767	0.818267295574012	0.902415849673987	0.957257177397127	0.827189340025045	0.872488571331688	0.885491989169761	0.918147506953279	0.839229043194817	0.839526800347181	0.757170760878221	0.915667156894737	0.795644473805335	0.74727505187345	0.790388414510331	0.934127684881984	0.73031535893442	0.847930552161621	0.886906859309329	0.912313952951104	0.800449047871092	0.418259473415508	0.801274212960644	0.767659376709735	0.737477046417247	0.878536091614857	0.803428922186043	0.860227278572615	0.867778954873052	0.922070477450204	0.785539129484011	0.864732036351328	0.853488581467407	0.834243825557263	0.758591857680973	0.790970498514008	0.734626670735031	0.737423379013214	0.848212748867316	0.757434085222482	0.84513630916565	0.843909120110145	0.82742767413306	0.758238730246626	0.486504959757761	0.821210192197473	0.899055048083938	0.879186625373665	0.866319740132325	0.425029752379833	0.738589330125521	0.713271024941031	0.737711523241806	0.810317087741975	0.868075388596028	0.910161537827361	0.621457862285738	0.349477002438203	0.831450752566328	0.267953422497022	0.790815848629143	0.798054296484425
SDC2	0.711979437000576	1	0.817824079987097	0.858414348431226	0.812935809155665	0.765911351820417	0.796811977941687	0.835341583301736	0.758518943748355	0.904351724129634	0.93694643469417	0.861865867798079	0.877396097313535	0.733438748108445	0.906424545434829	0.869848575945005	0.84633599644618	0.905005877359692	0.759339127754569	0.835448331715052	0.879849025018899	0.893333812883276	0.906252810505934	0.865152312292834	0.8632367125832	0.808667592035363	0.840466568938309	0.807304860141827	0.919951147378443	0.86323422074804	0.862826142518088	0.896568750538999	0.867823159427187	0.866229362236987	0.86665086586627	0.798862495028303	0.844792672209914	0.905102833791951	0.915874500402189	0.927140094122549	0.860297644427774	0.694754130568996	0.859522486340176	0.87970922504025	0.796184990595152	0.765412688912004	0.662113075321727	0.773643865981114	0.481601842249854	0.859643124989669	0.891498632519556	0.883456882698809	0.756583779486202	0.721526160194376	0.859724416512458	0.88089561536132	0.778766561222602	0.727929601106585	0.900721723499343	0.897953069160744	0.829782718020241	0.78781970535789	0.830300449277664	0.768982978775859	0.871596801858704	0.814661631635654	0.739990358979541	0.759014989919214	0.798907235266654	0.873197778874398	0.885700463600309	0.8507643411703	0.776472280610611	0.855275132726946	0.88716740315793	0.727280179573463	0.736508811413043	0.842446711568009	0.806870983773771	0.815771600817888	0.857109614709505	0.876468080259182	0.814807188623142	0.80624212659543	0.890130959081611	0.819537463873431	0.888766284961557	0.871508237287475	0.812087857182237	0.801551971841767	0.927281132336896	0.870977752443165	0.751426048576836	0.827521120650397	0.844253733933444	0.865361455556933	0.716369036218099	0.894853760638454	0.862496399906821	0.844757694574383	0.821862627780726	0.841315263859918	0.839391727127862	0.74760431687756	0.839712940722135	0.722457291726952	0.872725199184607	0.873612325562027	0.829367438605573	0.901998259056364	0.458594029129656	0.834076646479503	0.897353937353826	0.815515968780423	0.862125420500268	0.8321995511591	0.884495417794059	0.878599123488888	0.693145063381098	0.930725627321636	0.77662450467287	0.842091546904781	0.843788631101458	0.914596173183646	0.826624640032022	0.827003799588944	0.890065811805447	0.883123292530323	0.784504410122257	0.900376631022032	0.907451340572687	0.866703302990936	0.741220384808828	0.674204998621502	0.827737023098165	0.900550007011797	0.692390757804175	0.856907501457224	0.618886096827477	0.868568872681334	0.778484358848185	0.755195140802296	0.627658933497685	0.931959483681829	0.857136337826454	0.632450237211337	0.593191164334024	0.882823811946642	0.259770700343324	0.774621849423329	0.748424631753442
SDC3	0.914750344396379	0.817824079987097	1	0.908123187417084	0.929240842156733	0.846871394098065	0.790158398995006	0.920786724154249	0.934897190600455	0.944747794332644	0.903805177551452	0.971050845463285	0.947463378163864	0.890458611517961	0.949725610323813	0.924205570233258	0.955262571504449	0.746561389271534	0.848561024972188	0.937547373300067	0.718078884809806	0.897375189989368	0.910292599511627	0.891096354568997	0.900679630128017	0.863128262876846	0.917983323060853	0.909692975739136	0.916696068454086	0.709185808392185	0.921286628757215	0.755103205287332	0.866919418199682	0.957694558967531	0.949694033276308	0.521832485989755	0.926222870435452	0.738323160898301	0.925731107373897	0.932963183545704	0.920155747423764	0.857558518595239	0.868756617368984	0.892490726510038	0.795724645118104	0.906696106809169	0.841865756878014	0.896277096266906	0.747953668711484	0.811846720945101	0.930226911770108	0.863753167405776	0.841977901947623	0.525181636204747	0.911753086138431	0.933889772055969	0.866469352488589	0.759894584650385	0.898831641088316	0.923792957054711	0.829262467919479	0.832758405018007	0.87971631168093	0.81619848789179	0.917196485742035	0.90585536546284	0.828724346985039	0.833000043782197	0.84305184536155	0.862451395654666	0.775149498241103	0.908466521221699	0.810009804855389	0.868538751488775	0.858461296239524	0.857244007058592	0.91447387330931	0.907184133759291	0.823589083973269	0.779519805873402	0.858857940670025	0.845503863752303	0.817184958131344	0.871411012510054	0.887550836580088	0.879316607513101	0.815697441494721	0.91894682272133	0.86960553533753	0.618806012130362	0.868814722173909	0.935884313707019	0.914963447626401	0.905538216558603	0.867462526027254	0.90900655548254	0.786268865452507	0.939315342829653	0.863808101507006	0.85327042834921	0.927446522749938	0.900587325282172	0.767875934024679	0.832456181834412	0.936087747121133	0.701693932622107	0.911091318889429	0.943648421956384	0.917242431919991	0.872755203150632	0.359885365481961	0.827891486935608	0.796096753090459	0.746967846383686	0.928606156787369	0.866468796098931	0.906356007767149	0.906300496027309	0.930510179242898	0.842659603520661	0.91490175009502	0.86988652415514	0.884120813120414	0.823062335336221	0.874298547848456	0.780331675222516	0.81422109503797	0.908970939244325	0.835438265373413	0.919959553457035	0.933464169464954	0.857034154829063	0.764623638215378	0.598586278120365	0.848801466759023	0.950835947071695	0.814174477554544	0.91295180162024	0.380451868904846	0.79070099873021	0.767131706709632	0.781148326253983	0.73170055640395	0.933248323852181	0.917177394557596	0.628398956059286	0.347547841117954	0.872556720385608	0.232151371661861	0.837545093279515	0.838620668454716
NRCAM	0.906681653707069	0.858414348431226	0.908123187417084	1	0.850070470708899	0.86955602187991	0.722042814532255	0.930327589883512	0.79484561965116	0.907044746144248	0.95182136289815	0.916605604223193	0.950782479750007	0.870614751031595	0.919182695051454	0.899477274757943	0.877496105307902	0.782545208082888	0.810330995831204	0.888007632915231	0.778555963963351	0.896346580740469	0.9211077045272	0.943678917170638	0.885889792961456	0.868737765426798	0.924569414280368	0.885940394791689	0.903148835903085	0.766239941388534	0.919681610893191	0.785114885047135	0.946635784144068	0.904438824715096	0.941183987591244	0.66998952683519	0.901057107779301	0.839142835577793	0.934762392446564	0.927809367745004	0.951093164859242	0.864637969052355	0.888952235956099	0.961283287946469	0.831151957861754	0.902515243275166	0.903737796397208	0.864729317866948	0.702070515883636	0.87827689626064	0.918058537622355	0.847719159726829	0.827474527650792	0.534209786885096	0.870402077567591	0.901418588559906	0.858355735883498	0.861386903618893	0.922807191032205	0.940853996223893	0.886135072263348	0.8798018989099	0.837999595539861	0.845871258664083	0.887386800183628	0.831320327885096	0.921474321260795	0.739332013113216	0.844910250824574	0.933179080000728	0.899219965378959	0.846990674605107	0.818539076448321	0.920426315191799	0.868554135117599	0.79844224966038	0.945925375798023	0.891325890974398	0.848304328412483	0.844396963913394	0.934824095963885	0.817870316389498	0.870246512223052	0.787386240760383	0.917235963175798	0.917139087523384	0.813516367005258	0.938651242733829	0.847159033001571	0.676845842214385	0.896371858619395	0.950157802386557	0.920374839130147	0.946825322532706	0.898788227494674	0.86440624870141	0.900637720232865	0.923149219662755	0.948634951287151	0.77603077689755	0.915536424773572	0.852035180143025	0.805832385242243	0.75830003437835	0.943011581366309	0.746282603117405	0.899800408620049	0.92289846155267	0.919998067258974	0.830063100406903	0.456325299509839	0.812780057631009	0.857180232735441	0.852767194201056	0.882239938297649	0.873904492278542	0.926648001470188	0.922160537547185	0.823759113846881	0.857916340497111	0.841170870795549	0.87029519325392	0.897100281773969	0.85643525191401	0.815312933463805	0.758328212405376	0.788224065240669	0.919167060242969	0.792680952299485	0.896772404339078	0.913604155300512	0.847008439481312	0.751650261922608	0.689264944261838	0.836822037863415	0.947321374929689	0.879220486369108	0.884222004432682	0.53199881134546	0.816022306951845	0.788696654320388	0.77000220352677	0.826838254447517	0.931179549370752	0.930412886890772	0.699734730731396	0.484254561114481	0.920218794112328	0.33308473885796	0.823741839857665	0.78251346879168
EGFR	0.912503207510036	0.812935809155665	0.929240842156733	0.850070470708899	1	0.864285772356648	0.802257990920849	0.934934452663127	0.913810038081956	0.945309499985494	0.862732817022793	0.923350069635313	0.936287067725326	0.822366575124724	0.945390964632992	0.940670109821392	0.949036517614752	0.851781260713682	0.928107954719929	0.881599637128422	0.759835995775894	0.904240625229593	0.900276116523396	0.895477423783969	0.799055931679482	0.841149501833767	0.886108254183968	0.908544007219951	0.898212128792379	0.767677378645162	0.872075467094022	0.817146971592652	0.824908492557777	0.957880242119749	0.913175865610992	0.570077746755033	0.935548546100259	0.706024849046217	0.889341146371075	0.878721429699734	0.893118345065126	0.883943750706058	0.837077551562778	0.869647465609328	0.81172742255182	0.927845921569005	0.798322497121577	0.810952206395012	0.785085846893879	0.734165613444302	0.892643614811393	0.931850775021626	0.806737052543614	0.703113656460137	0.877486928771813	0.938408557885231	0.819210627014179	0.797645938441138	0.869626660080676	0.865330327889119	0.82985257017767	0.842035283858683	0.791299942404586	0.848977147646216	0.911627570245614	0.897442255569345	0.821947996622958	0.809212765205549	0.859626423444534	0.836471305912259	0.710002018929018	0.878719237026137	0.792125517738583	0.891275508002343	0.867107952430672	0.826473920155672	0.857629596470741	0.920194769708201	0.843300570823516	0.783114655593179	0.858450979467994	0.778227218923877	0.776272569435156	0.896318021257492	0.833285914805851	0.802688243864004	0.85624308743137	0.932530488434189	0.841058837101978	0.732235905947004	0.890925792007477	0.891722862474927	0.887920524274937	0.813942019068241	0.901954466186569	0.944182806754214	0.820148494160289	0.875581001487833	0.81881253939608	0.851627784410794	0.92748773525009	0.814451313424392	0.844954577478207	0.835357447255599	0.909349538175845	0.783601005681077	0.867648449531623	0.917260738302572	0.914437400781437	0.914064507243158	0.425289538259026	0.886321694782534	0.805327363844031	0.725598513237502	0.935456508282342	0.77422967235194	0.877282976736493	0.854166550941456	0.909788647985257	0.868407884776031	0.879861049741496	0.880434478371731	0.874274843184222	0.830683971690775	0.878603722123255	0.844497943510124	0.853229298225841	0.866272730145043	0.814784244890498	0.90846568938511	0.905719642256285	0.884346533463438	0.844644997547001	0.505992965645326	0.888318090159153	0.93817971411896	0.80513437561392	0.914454057811294	0.512602434930225	0.786470450915796	0.740773857654403	0.741153157918384	0.696095897188863	0.915966446570462	0.902015347242289	0.58173280058388	0.42440118257472	0.858056646495333	0.248397047004999	0.845093860708321	0.830761729325746
PTPRS	0.875281288737538	0.765911351820417	0.846871394098065	0.86955602187991	0.864285772356648	1	0.695379433351894	0.890441227480059	0.786477185838067	0.850847456365195	0.828524169641686	0.844900777917358	0.891427547402511	0.76747113800076	0.84960868522231	0.870802286424229	0.852861187520411	0.776856814422311	0.865164048500898	0.81624013670576	0.689438297947424	0.840433817754819	0.869263875929905	0.878509294529662	0.759464309078183	0.788400072086803	0.812137305970196	0.870315321877179	0.833195841520695	0.712821287653743	0.815003662634885	0.734316711284257	0.807656930987343	0.865872948279173	0.867965914317203	0.536871946752898	0.856172915824924	0.678853303405132	0.839926126374138	0.84150208505657	0.847896319662883	0.886478629718529	0.821195403842838	0.88054284565058	0.755731052899158	0.889783042826986	0.834749028317811	0.760475441718921	0.79513247690291	0.718421752500501	0.835946025993014	0.852473228427447	0.739837532871402	0.579400365677313	0.793399546311535	0.877064487299451	0.754159826730497	0.823667752296119	0.823247689537125	0.856349034937467	0.832539646495925	0.842775358017947	0.751080786910581	0.812046002423731	0.825304112889197	0.81563717372417	0.857974967113542	0.67621286401047	0.782748232165745	0.839098604275018	0.701031361362172	0.775431370466622	0.723070642130054	0.876016291378001	0.826950177796513	0.746389049932285	0.841547027396578	0.869702299602225	0.796105080810976	0.797523378017811	0.846677060303004	0.695286037010999	0.817121949297723	0.755627952199285	0.77852943058002	0.778490348834394	0.780276520554189	0.874431580402965	0.766812825560265	0.668756144111452	0.852468644152214	0.854407230339772	0.839557237742811	0.841471702513018	0.869058219529922	0.825032910987318	0.845337106938821	0.807104000571724	0.805226135798844	0.716858317417516	0.854887369630107	0.735783628912551	0.809748088883463	0.754282069027732	0.867598956257307	0.777101042988755	0.804235000518534	0.822669493988278	0.825260515294423	0.813539953711362	0.513656800970647	0.781434613264116	0.754332708747265	0.695876637842757	0.822722760710286	0.76066880385474	0.859286018620017	0.779472890706059	0.817237398423914	0.7958676716276	0.798075740929011	0.8266931190864	0.852572711558537	0.818094347068614	0.771273449648693	0.745121834551042	0.760705157851638	0.841353779965022	0.750452811596571	0.815449961910221	0.809049321914913	0.817166788125604	0.801936108818237	0.561853337272699	0.796951791418758	0.885902358419766	0.803356108138426	0.83841865905494	0.558665987257377	0.753506310828876	0.677691117964606	0.679659648124138	0.735684212689663	0.866098072283792	0.837329311711373	0.618067063443677	0.445208598033541	0.821229838038734	0.341839177992351	0.831561636272258	0.737157466976707
RPSA	0.696835930644447	0.796811977941687	0.790158398995006	0.722042814532255	0.802257990920849	0.695379433351894	1	0.745399741526892	0.809815678018313	0.820915251212643	0.806285511008981	0.808407402183425	0.829187587126146	0.792213416404773	0.823396588944927	0.748430837573695	0.841451745759821	0.75831174720013	0.665325776524635	0.796903563147359	0.834099463013984	0.919528917269377	0.773483297937544	0.725825132449708	0.860534881305938	0.819434675634568	0.770789065424757	0.767998357380811	0.845960471527199	0.672957180768552	0.7507409689094	0.748168548811808	0.761638334231313	0.818483996197065	0.769398861248582	0.7356760831879	0.847943635099274	0.645952248645153	0.827074134284742	0.778730410199996	0.742660813734169	0.718230609259891	0.805594707847791	0.758111421655844	0.73915467699985	0.677440304554977	0.611785705617182	0.903002153038524	0.608189304989549	0.72379152938897	0.827010598219949	0.805607123835808	0.870048693135655	0.543717702348497	0.942050808879965	0.769632066990926	0.85742845185056	0.579863074277317	0.893407641632124	0.766900132345892	0.669127518014488	0.645617874534228	0.748200495923729	0.742812605865046	0.719337374531883	0.787960791709524	0.686877460577761	0.705320551516111	0.811804450421566	0.737336103191882	0.639084433150198	0.835919276949363	0.880298293740065	0.762293051172746	0.793638021991941	0.858861098689556	0.720182424322265	0.742076924946647	0.9081837759401	0.648340204013693	0.787036137840951	0.711189832289056	0.77737713852174	0.84481819723026	0.876188536334129	0.739281954965846	0.729507262198274	0.786651585416212	0.710170397193275	0.529235136018958	0.770427806007026	0.759882293991758	0.757293409550834	0.753938322423682	0.698828285225101	0.856848108810004	0.63702646215064	0.830858979442045	0.723823651871192	0.640776653047978	0.774754094118466	0.878843817070412	0.719651565823022	0.919098370994521	0.738524790819183	0.568192101293139	0.915603363147408	0.797927669498067	0.755410268365175	0.784835811480676	0.282788923506725	0.682125760000546	0.713151140126307	0.660091416996496	0.842833890393071	0.730668024822384	0.845880363961811	0.741599836024042	0.788924569390579	0.72150178707021	0.824864178458891	0.753036981429206	0.856601928735951	0.803832987235333	0.779217951981459	0.958240533623272	0.796673459809197	0.847944837750339	0.955097662844652	0.871333938496848	0.86465137068212	0.784170477874975	0.73609404647011	0.634678664160483	0.90162168192472	0.80862625683807	0.561298471011919	0.925173182455131	0.365825315794929	0.691106306210481	0.898283678920164	0.538491650819892	0.599663879834671	0.813039912626377	0.841279652627321	0.471392875799461	0.262106890818888	0.738983707458865	0.142167689225006	0.745857316700187	0.959604058249288
NLGN1	0.91765239032202	0.835341583301736	0.920786724154249	0.930327589883512	0.934934452663127	0.890441227480059	0.745399741526892	1	0.841987625707746	0.940223682246163	0.916291362032459	0.905303848807909	0.955090265682559	0.840660490167208	0.929741387086482	0.920730282746854	0.916493835502071	0.834423543973705	0.910206710384147	0.871212236616389	0.763963973356152	0.90891320616238	0.923734767303338	0.940315633652191	0.827197490442406	0.828087616612435	0.881131073024445	0.931438002786598	0.909595200969592	0.759090993898421	0.910324764865532	0.7986411169198	0.880901793554204	0.92497753739034	0.939730733435626	0.608564775103602	0.908551585825553	0.760167385149931	0.907776022336121	0.902728816218879	0.926855374657977	0.921156778106239	0.879103726551676	0.931313826616071	0.80763993136396	0.952077722562559	0.873758812898707	0.820405739683343	0.781099988120809	0.794797218870518	0.915735221355335	0.892103908898703	0.828417130556812	0.633509860428303	0.860359025845136	0.930074027059748	0.820748896857787	0.85060650258175	0.892911357549652	0.89329913319386	0.845826588640183	0.921456070319361	0.802018412567066	0.848691772423412	0.917011790701117	0.875396843790444	0.891710060476479	0.761249298879528	0.85363008050195	0.893463019406706	0.81630756178879	0.853901223472613	0.813888947003507	0.914364364897286	0.87674660426119	0.804234492603773	0.901393288761652	0.940654421354005	0.846512755074638	0.833024104986849	0.924234594809679	0.791811179609392	0.805841276363903	0.832105885608284	0.86945407163938	0.857163224702748	0.830059690574093	0.947305243386273	0.828808497541882	0.708232725574346	0.907877113434651	0.929110822203191	0.912981636377621	0.899606448377094	0.938043672619379	0.898654598825745	0.869471231756648	0.904940982096669	0.897610600254257	0.812114004181168	0.923824114826839	0.810098701139852	0.823710986226581	0.78074337116252	0.948859771433931	0.793327877961114	0.872051391670338	0.912980944326569	0.935351809467793	0.872454113103321	0.49330937818767	0.882639346758514	0.843596672040594	0.773507357278455	0.907035227900152	0.832868319921317	0.906339419928078	0.866350653256548	0.879788712424377	0.887376805146203	0.866388470673092	0.874732308884079	0.905755132315789	0.856579711604603	0.857171474675295	0.797353127340561	0.824283342801998	0.899836383556007	0.804486305686436	0.897942231069044	0.92047600566536	0.874646348070531	0.829653263224292	0.562434746104651	0.866072184794751	0.960338961821521	0.86670005503439	0.916327328649747	0.553492683493718	0.818993885911614	0.754321232925005	0.780145149558047	0.785379063996209	0.935605209650635	0.910297390652475	0.683521431456702	0.492516288384998	0.915660714320664	0.365779270288455	0.868354560896506	0.798306086753836
NLGN3	0.858277522803484	0.758518943748355	0.934897190600455	0.79484561965116	0.913810038081956	0.786477185838067	0.809815678018313	0.841987625707746	1	0.902368078475523	0.817003353482947	0.922576919136207	0.883081784206494	0.836563483032024	0.906194110891327	0.866855913002946	0.928536817478264	0.719549535687189	0.813493619744896	0.879748850490334	0.687676814048506	0.855931362505619	0.837019263189603	0.813155594761467	0.834340486360562	0.805775775318281	0.854695445806555	0.863750431660108	0.866355381063139	0.65142579583061	0.84873962767101	0.73623648561451	0.753042664763931	0.920554843208577	0.883296929022204	0.466006929555181	0.887028089525729	0.651690988794685	0.850433093188551	0.855109376852351	0.828783765871648	0.796180033878287	0.805557463667681	0.796961922695419	0.73354264852058	0.849335799856075	0.726843655284507	0.849536545642766	0.714229532626594	0.708478020449319	0.862064872102169	0.842976976631008	0.783293906881829	0.542785917548963	0.884089399627796	0.885843765392094	0.827338510515961	0.664581571010005	0.843081813708606	0.845048667684827	0.780892296954081	0.738674366717776	0.817385485647013	0.761161835059859	0.84940215608058	0.863112992432241	0.735846299526507	0.810172365941418	0.802415053914569	0.771182344488668	0.648998978756021	0.868945898512579	0.762989605892164	0.802226983973019	0.821015670822229	0.834824773383762	0.830672026999314	0.843463469486172	0.778578102453468	0.695075945985715	0.769284465471391	0.800282513220404	0.763217688293918	0.881152294966184	0.815604033417447	0.785338930804184	0.779576956081537	0.860120508754049	0.799789552683377	0.586216779631409	0.810515115878581	0.850844796134059	0.85282211774548	0.796985443791638	0.807545607712153	0.889680726819026	0.703532799479374	0.864649308721797	0.749942614499425	0.818417189152945	0.88286537651522	0.865577852141205	0.716470675092722	0.840545045481334	0.867203639160074	0.637277344286653	0.856454931788469	0.883975092004496	0.83419540896592	0.844050009537819	0.301380988327665	0.776669058981395	0.724118343604067	0.641107885896428	0.902176604069441	0.783845973971318	0.834842465363047	0.825219138732482	0.91606126810646	0.777257741248989	0.872018825215417	0.804601040059367	0.818145036056983	0.761205289655368	0.842602411124115	0.779129958797235	0.799870679866849	0.843344272029284	0.826578651156783	0.866489229811248	0.874548189992044	0.822019875567535	0.760187212400476	0.535655412191725	0.83856347051047	0.881341299656448	0.720993522524238	0.881744770980356	0.321486291158992	0.727053157983133	0.726570272192905	0.700839513487032	0.615626222351731	0.865793316648601	0.858125912664906	0.537982712880321	0.272156764062892	0.783991638706357	0.147346746978314	0.784096393904643	0.840001113706003
FZD3	0.882488680284122	0.904351724129634	0.944747794332644	0.907044746144248	0.945309499985494	0.850847456365195	0.820915251212643	0.940223682246163	0.902368078475523	1	0.94694126168119	0.957429896812262	0.961459838073351	0.847234833325463	0.986425577972059	0.954580341953337	0.954415123629071	0.8656233242272	0.877583726401038	0.904160175406519	0.814962730486875	0.937858093534111	0.95971994734667	0.945303209008211	0.880449939176514	0.855660222340315	0.933324102364379	0.91058443080285	0.961528084704311	0.812859846610018	0.936343601767516	0.86924082252206	0.900391512246246	0.968750943533414	0.951343354432692	0.646161324148982	0.93195653521104	0.828692823854111	0.96589895284084	0.955240455564497	0.934671785175101	0.838611198301371	0.910820838777614	0.919709220048298	0.826698524267125	0.906619865130252	0.797670829502904	0.851691508410923	0.673378575740372	0.858235540118348	0.951434195987172	0.938463063684461	0.835637540918483	0.67324116844534	0.917037124334497	0.96995163500345	0.851249810763372	0.805837226405069	0.928533934665026	0.922223808502748	0.869246695355603	0.875752744800652	0.872417658179253	0.853950486154126	0.941591485998911	0.895818950524644	0.858699491593337	0.83170017529729	0.880279547895649	0.904509158622706	0.840036958541796	0.929361103676357	0.827263962708105	0.903788970482925	0.912786929266902	0.824165695086158	0.874248832549199	0.931919200890089	0.851811140055309	0.851919808438282	0.911193376221089	0.891096019201553	0.843364830566108	0.915490759618775	0.914161887122825	0.869815042941127	0.913182617859693	0.95970125469206	0.878345211254747	0.762964669960109	0.942947659473691	0.957730906374853	0.894999280713038	0.870033462527419	0.93270957544766	0.959053786553151	0.814307799720258	0.951782454690879	0.891252224473475	0.900002205756996	0.93387777910561	0.882033670150604	0.873732355244067	0.843835964913021	0.944694527676704	0.769557937281045	0.9202720124225	0.955803089585901	0.927795641351847	0.949918458767755	0.460094109348134	0.911977439154254	0.893509413193704	0.819163116774966	0.965357258392341	0.870383686282412	0.940611437616745	0.93782264231592	0.878419433053327	0.927839643427134	0.913392067392751	0.916679293044195	0.907436634228557	0.89304919886097	0.926342132742216	0.85040319918535	0.910864436843372	0.927046491386254	0.834417248299124	0.952650801196545	0.965465066246924	0.928336192969035	0.822208800961046	0.575790012102272	0.898369167326114	0.980866540657438	0.815104524026158	0.934084391156143	0.559311726525564	0.871167669839628	0.806227867108818	0.817359685510129	0.739374886240842	0.970617582841433	0.943822071670061	0.677280541025922	0.486972143821859	0.937560079139628	0.299430095803697	0.870087094660825	0.837618163418201
