""	PTPRZ1	NRCAM	SDC3	EPHA4	PTPRF	TSPAN12	NLGN1	NLGN2	NLGN3	EPHB3	THY1	VLDLR	PTPRD	NOTCH1	GPC1	APLP2	NCL	EPHB1	LRP1	NRXN1	APLP1	ITGB1	CD63	LRP6	PTPRA	NRXN2	LINGO1	RPSA	TNFRSF21	PDGFRA	CNTN1	CHL1	NCAM2	SLC16A1	ANTXR1	DCC	DAG1	RAMP1	GPC2	PLXNB2	CAV1	NOTCH2	BMPR2	CD81	ROBO1	DDR1	ADAM23	LIFR	LRP10	NCSTN	TYRO3	MYLK	FGFR1	INSR	FLRT3	ATP1A3	TMEM67	CD99L2	PILRB	ADAM22	ACKR3	EPHB2	PLXNA3	LAMP1	F3	S1PR2	PDE1C	TRAF2	PLXNA1	ITGAV	MCFD2	ADORA1	CADM1	CD47	SORT1	SLC16A7	RXRA	MCAM	AR	CANX	GRIN2B	AMFR	CALCRL	ATP5F1B	DCBLD2	RAMP2	IGF1R	LRP8	ITGB5	NEO1	SCARB1	KLRC2	JMJD6	DIP2A	GPR37L1	ACTR2	TSPAN5	STX4	ABCA1	CD46	TFRC	PLSCR1	TSPAN17	TNFRSF12A	EDNRB	CLEC2D	CD44	LY96	GPNMB	RACK1	SMAP1	TNFRSF1A	TRADD	TSPAN14	CD74	HLA.DPB1
PTPRZ1	1	0.870812860101656	0.907659024966014	0.652754022740565	0.716556479554386	0.910146590313317	0.959513671469927	0.935079871779852	0.970679200890504	0.896941714475899	0.930583698213105	0.872612207854238	0.71949028569701	0.936588021915166	0.888285432964059	0.913711605679	0.901843030228951	0.918778816804413	0.928502944780223	0.962187162890179	0.923606479346293	0.867982439788036	0.841784041161416	0.952704727218435	0.905504284882525	0.966777646399766	0.941660430790471	0.854152585294207	0.883080462983403	0.962656037705452	0.957053569372482	0.762220009825128	0.937952764351891	0.72519619663124	0.911628875510133	0.930051120834985	0.921543811653848	0.876693411242402	0.892629966154231	0.785038230395202	0.822923785242379	0.804820169783683	0.932434866521834	0.910468915331311	0.852367356897339	0.795498274349597	0.879671919974171	0.857598639328459	0.709636940958275	0.837125160520186	0.947720541374291	0.300451893696173	0.854581910207806	0.720659885957441	0.73111390571359	0.723753349523663	0.795443238447786	0.930750943888805	0.726824827841656	0.90494549110223	0.841139092199453	0.861005522289121	0.748698707607276	0.875537268024722	0.317926354811849	0.892523159949149	0.87894510352511	0.747262761514086	0.874686330651586	0.856249447273203	0.840291356100504	0.860993528332869	0.886571999364364	0.899193953550816	0.911318143069167	0.68432147542122	0.591296263773312	0.93499855790886	0.866093164126342	0.82962019606229	0.914056590840297	0.856223687217397	0.939340703470073	0.873801316859093	0.821692225270343	0.900460377309922	0.637135196265625	0.885692824660929	0.906274312554426	0.85943009618737	0.455852967384166	0.912544775601071	0.740880688404878	0.903321047675142	0.872976630148422	0.928102781203901	0.858384581780568	0.855544357394299	0.334477515795046	0.841340946009968	0.838611627882471	0.774804924120795	0.899128752041867	0.816836918722664	0.890390971076288	0.826534137074594	0.152067931683607	-0.0185823509421182	0.320138393029226	0.752174428630341	0.909156282465213	0.75073110470726	0.600846884323767	0.858545920653168	0.156762480329755	0.57702021734231
NRCAM	0.870812860101656	1	0.942404911897577	0.878885521215827	0.885497656295267	0.74654742732481	0.931273120456065	0.874116217571987	0.868468746049423	0.744932661055396	0.730202569135319	0.824385984947001	0.709513832908071	0.888796505986627	0.950433272048075	0.938725478002683	0.754143464373521	0.887226680522652	0.947879575337495	0.834613698015503	0.895298686665059	0.928243584177036	0.926439520452452	0.884423143380189	0.951685999962273	0.891530591593917	0.880737046760627	0.761834878772937	0.893745533303096	0.881902789967095	0.831334707177034	0.931830957274323	0.926730710534324	0.766989784968637	0.903081597865286	0.800346230780997	0.929072512403664	0.940458027120379	0.712540431116083	0.88302622985326	0.883962416894315	0.924055401760179	0.932177125027157	0.944873319777378	0.952826063939714	0.94227077669375	0.924638747568359	0.911872888989032	0.850456284308283	0.902452017530038	0.930072024266788	0.567269173492959	0.888279446898595	0.813503225825471	0.669322065299324	0.530847505038838	0.893268931334871	0.912789979607071	0.850260891913755	0.837025489462387	0.863312075947591	0.828699607102671	0.867574958111255	0.912218317764608	0.606529769491029	0.818691412359415	0.880715913967896	0.69506668491579	0.868830026288043	0.964980595165589	0.887814795212737	0.815483244331719	0.882309032276199	0.91964484961512	0.932529478104156	0.860468448429031	0.788961471395086	0.812626165774779	0.89709186695747	0.871836732373166	0.911099122529382	0.906267733833863	0.869370098271636	0.739412287348065	0.906317331553688	0.804367415024704	0.850029568216393	0.84086327259171	0.80611816344629	0.885955437950456	0.497674494667555	0.753685321083265	0.724731169177729	0.883559535597292	0.753931941723446	0.885435124653731	0.905453940247905	0.853639926062753	0.682871694331222	0.872128937112196	0.811991291717773	0.788597802951601	0.776114262169536	0.818085085172135	0.858516511426736	0.85718065515847	0.471710138934773	0.335964000294538	0.49952484945488	0.757040683040054	0.867260581438815	0.914457359994217	0.794635523997932	0.869885894896948	0.418179596275522	0.709519296281332
SDC3	0.907659024966014	0.942404911897577	1	0.795807988130424	0.868764134064472	0.822210655389696	0.934838410593022	0.941556039644984	0.927384277369453	0.83021497347238	0.809786714647416	0.870913725593429	0.771385846075771	0.945442805946385	0.966029521202268	0.956286144316473	0.828543934671159	0.911624851235237	0.963129940932375	0.882386473950066	0.933491941227287	0.941952659027513	0.945976136739429	0.902659534734461	0.954817962356687	0.929363326168557	0.937486273541059	0.858676298232257	0.917650309120604	0.911663534212038	0.891077073927808	0.883589607319179	0.938896699391613	0.798713726608262	0.931447169681198	0.853565080137886	0.963600568902884	0.923478766606098	0.785245477092271	0.881442978293229	0.923187416072398	0.897317799926512	0.953689319587573	0.977353513628761	0.934839014715841	0.89892330375978	0.916228343274928	0.937210948030187	0.802529310262654	0.906947445390409	0.926074752727382	0.543523944925522	0.907967022794521	0.795353312800223	0.738327310641493	0.655604057097332	0.871674954903144	0.940101172482387	0.826182030768371	0.873567771608879	0.870044757701608	0.881124116430066	0.89547844142069	0.920731692947333	0.520179555816904	0.862498855815528	0.911923719927365	0.731579042379068	0.898859203434138	0.947304973715223	0.925961300734058	0.845019791871105	0.92152571577046	0.937246742193624	0.948591364370413	0.801309832935486	0.798230835477459	0.876844215924583	0.911296751257308	0.90230545288939	0.928204048103904	0.932619634599762	0.89735164556616	0.830443347367605	0.905418949437749	0.891905026530829	0.814912938846111	0.885222295874835	0.867831325043051	0.903586334626656	0.577856718127412	0.810364752137693	0.799495859427858	0.906772155445695	0.781520380205111	0.937688003329409	0.888565303988898	0.909957303076661	0.58917166572286	0.888419524737755	0.888150573221554	0.813514424532108	0.847357908519549	0.853465841637339	0.844531798643891	0.851209771496857	0.386068970333869	0.273782709235469	0.450424534589508	0.829079392437008	0.922676898723844	0.89372731112587	0.761573314545019	0.893774076541369	0.346200820781341	0.690003061014727
EPHA4	0.652754022740565	0.878885521215827	0.795807988130424	1	0.81457465236381	0.556311536161569	0.769761107347616	0.688433250535509	0.641994856761311	0.520158839832973	0.481481176822777	0.654196103288164	0.538672579745723	0.698684625134267	0.796669222991495	0.781798282842653	0.538198553598014	0.749919465843249	0.77714105511635	0.61311959483457	0.692499789137449	0.782155759744068	0.803968116169773	0.711707985776431	0.79853421461842	0.687657899159911	0.652642408940633	0.571204629418687	0.714905690475091	0.660785525631316	0.626944357214416	0.908420392424195	0.77855599940489	0.604695143558525	0.777716459056458	0.578211817210393	0.773879270712486	0.86185427819809	0.448904081793939	0.777355295086929	0.760071577995372	0.874325792728656	0.775599306305154	0.803195315894296	0.893327191709411	0.927491498421112	0.843824554063351	0.784106438404169	0.864260025555361	0.77336858424079	0.759418120386362	0.650093190501304	0.724332918341334	0.687322136993287	0.432250725835875	0.272938797162485	0.79445162349177	0.755253612998075	0.786374840657026	0.664022151645123	0.767562262603926	0.631947151761918	0.7480797358708	0.796566182232588	0.776155370533727	0.608743800993998	0.755166872631079	0.472116475211521	0.683637585925283	0.907847677187812	0.731727427266137	0.680365521524883	0.734383353561508	0.788951902308641	0.797214045414902	0.825614074546437	0.728340701897249	0.611055796858839	0.791121390856033	0.707298005936333	0.740619799924077	0.784867952538503	0.699678126812604	0.521074078693466	0.789798505421221	0.584832105057157	0.829886186658344	0.655874100493635	0.578122456979743	0.726071785238016	0.347683643601191	0.521838656670442	0.558625329902495	0.721713033601196	0.53268320548404	0.724905813294259	0.812757035194177	0.680363561249869	0.75305580877613	0.731876214979031	0.637836193378215	0.617918640781608	0.541155426372472	0.639565049967384	0.695176445704954	0.747224175816383	0.692456321847441	0.43155951819372	0.477048924229061	0.59053124071362	0.692469671923168	0.868857759076514	0.727499189356034	0.73048560401105	0.628878804214501	0.750380665799083
PTPRF	0.716556479554386	0.885497656295267	0.868764134064472	0.81457465236381	1	0.604458038298366	0.813768271048981	0.791040429107373	0.738860446821115	0.635632806785021	0.580686471231672	0.75793694647922	0.764631953881327	0.800414029780517	0.872497132237957	0.864064783988365	0.676285976073739	0.77335512534627	0.877362713350453	0.692327532025939	0.792044713843291	0.883151700161677	0.876314537416418	0.755831039322591	0.884750691861292	0.777382935754774	0.776389512202231	0.727146358934274	0.777474405571584	0.730257025382688	0.723917303903998	0.840277893774724	0.800318593675583	0.860812632882332	0.80674458502133	0.696880223077447	0.836937170928557	0.806530986631591	0.605892889826428	0.874749395353361	0.888507703016671	0.887576633074075	0.848658212867976	0.872756952392795	0.88383045454527	0.861435316053703	0.801361290862916	0.853209401991603	0.778345649806997	0.844670504766869	0.786673567715701	0.659048126701046	0.876434201233049	0.838591002341545	0.661919130112042	0.517515157514966	0.865667821592725	0.802311948367505	0.857416831870237	0.740757166170564	0.726606827158211	0.78142715969216	0.896665971899174	0.825149013041593	0.626611375623966	0.717933224085523	0.775918906929244	0.653731035643152	0.797251636884677	0.893963546849218	0.895965993191204	0.668600537332256	0.834678395213591	0.827036671138263	0.834980847221493	0.875677738104311	0.894919468158858	0.680461266034784	0.818686629303142	0.894727375867146	0.794119844718594	0.873648302311453	0.761525841916057	0.659299275211235	0.893191839468818	0.715418312164222	0.914549654324334	0.777054176302956	0.714476721270687	0.817216671381542	0.681930989661809	0.593133107777888	0.73679756823964	0.812677038896194	0.541185294050833	0.786264925977272	0.814025794263163	0.79929970182237	0.802691072984564	0.837249347024189	0.778093518133343	0.736591693539824	0.673035867935932	0.72557650947148	0.663383533560811	0.840248400355981	0.553550620892924	0.564274225878246	0.591822106044264	0.834444898213117	0.802828777348029	0.881017320442058	0.834725528722486	0.802578570396622	0.438455657102531	0.710467182958021
TSPAN12	0.910146590313317	0.74654742732481	0.822210655389696	0.556311536161569	0.604458038298366	1	0.858864543051035	0.883701895499205	0.917443472956297	0.905868050813548	0.941499188759271	0.7765639517903	0.627062692236611	0.902235686027867	0.790444405436894	0.849552462173716	0.905437351129991	0.865599455818815	0.821207541262945	0.913949638653577	0.848472922692442	0.787449462374518	0.786146021333547	0.89517965576624	0.816680571975073	0.900466971687949	0.876318901093261	0.886089378913939	0.798814015970088	0.90038742574718	0.922247833459965	0.638469728391279	0.861241072579571	0.644818796432609	0.877730970865152	0.872945048876744	0.866193654243027	0.814806076067218	0.85346853125118	0.692372183638888	0.75295687386441	0.699776264698557	0.863389624642993	0.848562428021074	0.744544247308254	0.708338263471058	0.806578718740515	0.818595017960683	0.625492242420126	0.756692786870205	0.852412967314817	0.215590481642745	0.772330068566886	0.59488784191368	0.668993368448859	0.766268490718158	0.652304388950089	0.880985748165826	0.623094044239189	0.8412463513084	0.820342320641093	0.808786114132118	0.637110030699124	0.837815441047779	0.293121268795902	0.830979936292846	0.80382698101625	0.744410750576738	0.76523444575421	0.768499611232533	0.774241012515148	0.787087804616656	0.858851410133528	0.873916500463731	0.866770324886867	0.561567379032904	0.458652420419373	0.927583401897596	0.82614719351933	0.75776579486915	0.828570777467067	0.814202034986707	0.907707488476174	0.918968597563463	0.748143869954394	0.884795369515176	0.538167808513675	0.833706849783369	0.889716339623854	0.77637032902166	0.43971179678192	0.911416894171917	0.741287400581036	0.831198480082108	0.786142471301254	0.900430208605699	0.778251801076381	0.813682955769585	0.19127345813341	0.737354134482362	0.825876278751142	0.767775441855091	0.881098891314405	0.713325498569104	0.80658096041119	0.701933813876149	0.15568031258303	-0.0853180919442887	0.19657451948364	0.721333533719013	0.88940153173121	0.662849530445558	0.465936108675226	0.780873162124637	0.187575221221184	0.603881182356571
NLGN1	0.959513671469927	0.931273120456065	0.934838410593022	0.769761107347616	0.813768271048981	0.858864543051035	1	0.935105875863277	0.940325368168957	0.842225868328608	0.853190893044221	0.877585144983374	0.749400352395123	0.942238513371509	0.923390639300188	0.945582447310999	0.870285899270702	0.921014362694897	0.956550984562034	0.933483940698828	0.926977905182778	0.917053412212547	0.882062482659893	0.945620757992918	0.948647290402944	0.957695226299858	0.93158803555139	0.835205465934394	0.883314979247601	0.937482627443748	0.924930694972404	0.839059864086318	0.940979293806537	0.787273357745394	0.932021364838872	0.900287139778436	0.947605009457682	0.909138537600174	0.817864697154707	0.844707250583715	0.861537437209735	0.888146143471947	0.957037466780962	0.940976004195466	0.91514484349665	0.871133841340103	0.90117696625023	0.886041811560539	0.780367970965356	0.886671493861829	0.952927025721205	0.42906327099585	0.884769828499601	0.804981114985481	0.713568876302112	0.668381682817855	0.874691947502851	0.941876868250404	0.81285468468418	0.90063841181761	0.873095433125867	0.880007241526606	0.81687573551536	0.904442669589882	0.438834979797903	0.876519993982603	0.898960163488383	0.763230155775786	0.882096962270744	0.921559837246203	0.886375873635003	0.847256702824589	0.916596653305971	0.92049274700964	0.937655207748306	0.790741017776762	0.707414568154263	0.896400195223897	0.904563882765221	0.874329405216382	0.935663750537787	0.903001910887819	0.936779882761845	0.833507695173797	0.890869093144407	0.858762573063392	0.746471803074457	0.886888951279381	0.869679126087096	0.89341280190696	0.508178029487728	0.855370227810904	0.757411206329354	0.918294800257331	0.810000913403981	0.92963786189394	0.913367392946034	0.876059374840285	0.513505517624216	0.886850518895131	0.844814970128063	0.789445488645199	0.852792325408308	0.821991610333871	0.878243917401826	0.884007140281512	0.292451261235463	0.152872146522754	0.423670515306533	0.78608630157298	0.919026397918805	0.831106067482174	0.700950282044483	0.887782624275418	0.264539797039857	0.64919687622195
NLGN2	0.935079871779852	0.874116217571987	0.941556039644984	0.688433250535509	0.791040429107373	0.883701895499205	0.935105875863277	1	0.955346252805519	0.871997450349788	0.869864834001837	0.863368657244363	0.748048073262664	0.963608311293086	0.899776408706893	0.923338300389127	0.876796443334582	0.920696777118337	0.935812816874158	0.906373074945555	0.923137245926341	0.891267761638042	0.876387408076953	0.933100383301535	0.92457682591696	0.953795319141423	0.956302798340662	0.896973853445797	0.898132638430101	0.924759654909236	0.945659777410363	0.777126622535496	0.92565721831059	0.763554916079014	0.931654446653228	0.916075390062084	0.949381277341302	0.87584549475019	0.849546818147624	0.819798356821901	0.862847793740872	0.843636819399231	0.934285831938981	0.952680929606571	0.883798946779747	0.821642744562762	0.892148817712252	0.894491429270068	0.711203835073299	0.860103100973257	0.922086434853313	0.420023112243886	0.88234939283163	0.770281302258622	0.729734949019124	0.734624831791333	0.797879157123892	0.924506211707425	0.761300003156028	0.892313625891121	0.837111956834794	0.89158128636325	0.834042359758884	0.875445568736472	0.38739806860923	0.864201062585881	0.895539046554285	0.737033189653608	0.892222327774764	0.886371782667455	0.883065237545758	0.841893448501984	0.926257392719547	0.906247122298595	0.927273217530058	0.706317222433905	0.696891697437068	0.928626762855104	0.894669989654528	0.868285651797049	0.900680376919756	0.914984404474929	0.923163537059057	0.868753901956878	0.863045858793942	0.908968811729641	0.722880725026422	0.906040751422223	0.920817784770084	0.890991954713764	0.580494663869713	0.867775540759238	0.788847755534702	0.89645374834496	0.777864136144558	0.943119314037902	0.850573967759209	0.912412980859348	0.442245156910667	0.858362969110356	0.880029483056352	0.766464584302793	0.891572390548652	0.776781128105611	0.819157027354123	0.838591682483166	0.253190585695685	0.136470149572646	0.355922099150735	0.83069047560702	0.92240724335601	0.788988765828973	0.65275663175422	0.870143775541178	0.239567598792419	0.629993698344539
NLGN3	0.970679200890504	0.868468746049423	0.927384277369453	0.641994856761311	0.738860446821115	0.917443472956297	0.940325368168957	0.955346252805519	1	0.911314784204649	0.937373725039279	0.866140790431818	0.73028855883758	0.95926275644607	0.901124876278551	0.931527788484795	0.917559458354129	0.917809806264779	0.932438144368712	0.953770993193113	0.946427500106922	0.889349137100269	0.876295907700854	0.93748034399494	0.919104722155658	0.971016910085928	0.965863885349291	0.902090813459966	0.89208297196473	0.958538484598645	0.957777437351908	0.750643720222988	0.931893162219785	0.754112439187133	0.916865256653606	0.93773421965315	0.945827826171118	0.879477797325891	0.900710216465672	0.806526064314516	0.835171209851638	0.806510182658666	0.93295621058996	0.943657537354254	0.853145219487769	0.797582057145067	0.878973532888873	0.871394345901853	0.708155419454046	0.839976776164507	0.937694746886052	0.323587774439252	0.879826832968252	0.742409955747875	0.750907613634072	0.768916837561056	0.776664465223062	0.938617952701124	0.728588708623723	0.904132742621006	0.852685106269504	0.890867104318927	0.786995174119377	0.88364962150256	0.32050040321344	0.906603933108359	0.890981688559464	0.785271435074927	0.8948083273993	0.855534720517771	0.874626752812453	0.868877081926774	0.909806635745339	0.920510669364772	0.93084859669844	0.681152433092628	0.624645910492113	0.947579509545875	0.874362006987233	0.863705981128296	0.917952827055964	0.8953953834657	0.933080035315824	0.913306954860287	0.841947777640338	0.922099715027244	0.658031434875262	0.915580953980828	0.937274681502239	0.887360367782707	0.52876453225611	0.9182860467557	0.805909929921069	0.897453857786141	0.864135550565253	0.952545118033892	0.855306918608589	0.90608871094889	0.35694850801506	0.842329756529711	0.866535616183422	0.813113158342241	0.923048503801485	0.813017220727442	0.872691266643534	0.807763594511626	0.171945541557744	0.043358266695031	0.340729274346573	0.807254250786615	0.942056099529291	0.761383387786159	0.626654118425947	0.876656696369114	0.179188678255575	0.609569340118483
EPHB3	0.896941714475899	0.744932661055396	0.83021497347238	0.520158839832973	0.635632806785021	0.905868050813548	0.842225868328608	0.871997450349788	0.911314784204649	1	0.934759646601644	0.78739325236716	0.682519315123495	0.893379672846328	0.810261489969685	0.858324863482341	0.913536762252094	0.836279459505139	0.834428108780256	0.9111154061796	0.856351821534099	0.82120082255301	0.7944299721674	0.889186045868316	0.824602373473379	0.871025260459071	0.885169759584813	0.899295194722228	0.814868734363561	0.893960925293012	0.913291680027803	0.616702011620459	0.864943095588703	0.707312130678077	0.872886896819068	0.862233968770043	0.860068757125338	0.779105120355385	0.855070599127287	0.706004122936033	0.774616630817028	0.710226162410275	0.858091696438971	0.842011220283382	0.732188778400792	0.690079565713162	0.758431118941837	0.806816665368377	0.602272597174479	0.767677521836616	0.825684365266512	0.21552812991933	0.813146619447718	0.658875328142847	0.750655428631296	0.766592363106796	0.683221750892481	0.848496098018962	0.641031129781131	0.844455745607765	0.780409575031164	0.831488984646762	0.679609256246743	0.826866786796664	0.255822659522318	0.843634874477506	0.764493441803056	0.763478114851566	0.812841751871691	0.76010609834708	0.807713989085729	0.775516818021918	0.846555978735398	0.856514163625475	0.859698441987415	0.567319975028041	0.522520101207654	0.892653960967273	0.820651124712768	0.807696636056834	0.820377210543357	0.813209530229013	0.869300479245274	0.917939059904378	0.767167302660943	0.870711427569763	0.56109194322229	0.837605493422863	0.889585345269841	0.795154291198252	0.485431762315733	0.8778029455245	0.768398919883951	0.833120708232969	0.748332532199577	0.896157102432326	0.789130031939352	0.835762917372659	0.237267888269468	0.746549266187209	0.814916206732416	0.78604376718832	0.885887446904489	0.749815503614569	0.768748643322097	0.724756762512211	0.119282037330472	-0.0220509578270665	0.23631671426549	0.777080633789183	0.881197126434381	0.680258352708419	0.541209627334782	0.821833883298101	0.133950226029815	0.57873389990864
