""	SIGLEC10	CCR1	CD40	TNFRSF1A	C5AR1	CCRL2	LILRB1	FPR1	CD53	LILRB2	PILRA	ADGRE2	LTBR	KCNQ3	ITGB1	CD163	TNFRSF1B	VSIR	LILRA1	TLR2	CD74	ITGAL	SIRPA	ITGB2	ITGAM	PLXNB2	KCNQ1	CD4	TREM2	HAVCR2	AXL	ENG	PDE1B	INSR	GPNMB	KCNN4	CD9	CD81	ADRB2	RXRA	TREM1	TLR4	THBD	ADCY7	P2RY12	SIGLEC1	CANX	APLP2	SMAP1	ABCA1	UNC5B	NECTIN2	CADM1	ADGRE5	CXCR4	TNFRSF10D	CD47	IL6R	IGF2R	TRPM2	SEMA4C	TLR7	CXADR	TLR6	TNFRSF11B	CD300LF	TNFRSF14	TRAF3	TNFRSF10B	LILRA4	SELL	P2RY6	RYR1	TSPAN15	ACKR3	NOTCH1	PLD2	TLR1	SDC2	ASGR1	RIPK1	TRADD	SORL1	LPP	TSPAN14	NOTCH2	TFRC	ITGB5	TNFRSF12A	CD226	PTPRC	RACK1	SORT1	LRP1	PILRB	PTPRA	ITGAV	MCFD2	AMFR	NRP1	CD44	TSPAN17	ERAP1	CD69	CD63	SCARB1	SLC16A1	EGFR	PTGER4	NCL	SDC3	PTPRZ1
SIGLEC10	1	0.680929654153259	0.74058573030178	0.724758254094941	0.283030269484719	0.449226375031264	0.900871624988704	0.719379227449898	0.776631365830821	0.518769735176832	0.612910928063559	0.779129402332802	0.754417537667396	0.80024546340777	0.731863115387084	0.754926946871801	0.669531724626964	0.805143968517958	0.729153054205733	0.774168545116439	0.866600573772406	0.789611056968765	0.687269720320347	0.770921839377991	0.577755529577536	0.759842386937907	0.743180305015074	0.849606764928257	0.742077641791383	0.722253862947528	0.838708145477834	0.566282659509644	0.725774103030842	0.477868964395876	0.15643547893454	0.591683344673701	0.689826357270851	0.778699516693299	0.812419796099127	0.489557828913235	0.362414686251401	0.743763015434841	0.234939420683598	0.813988968331425	0.605705649454855	0.814243403438508	0.554739271912795	0.626414896413906	0.757469318106588	0.145282495322909	0.81461080274047	0.412732266071876	0.820375803245291	0.590428537541906	0.538610567408625	0.395306434027321	0.7735261624781	0.737021220476341	0.377120561565523	0.890308294662984	0.698636479934356	0.816289197987552	0.362771115564986	0.767743577309872	0.719025161843888	0.7423294585806	0.607120040007495	0.564043192974588	0.609121811781465	0.490798051861015	0.681755238062928	0.640564340744083	0.768553605868489	0.429700410938711	0.0847596633199263	0.70235822266176	0.592048162148341	0.767713167610055	-0.130124816931694	0.381609412002241	0.755663264006965	0.673033366566308	0.863449843283634	0.787970460767979	0.866838116160847	0.428373032746626	0.659567345896301	0.412574184749459	0.699517950495124	0.577388221108451	0.866524968370071	0.730942919021189	0.80738848830591	0.622003769133623	0.560147395307941	0.702981633051769	0.80693577110684	0.502338608021185	0.433288449924405	0.169717444580788	0.245082734690473	0.732892092091283	0.752282963985766	0.759723041942115	0.607964882141714	0.782862057253246	0.427385913201264	0.127705439707687	0.727134109532729	0.778308868846794	0.0417843464500367	-0.0391639569853736
CCR1	0.680929654153259	1	0.852631987744856	0.896990614756388	0.614181135061324	0.788752426798497	0.741545796509932	0.910016882101515	0.887524723078836	0.642289455967131	0.762671319962978	0.836087324663472	0.889740819723185	0.632227931149326	0.864010636332905	0.673127145445858	0.817328532049287	0.666229728326067	0.583836389701725	0.873706846751785	0.577916770237937	0.841011492671289	0.875174492146617	0.91276686379303	0.88707694007797	0.88881420333198	0.871377360185556	0.859125212760666	0.862684880521094	0.897690602245156	0.685624033708563	0.862513315230065	0.716634684261957	0.0748882514009158	0.565771785818502	0.891882983637366	0.831696980671821	0.839226314520556	0.703623437962378	0.779045238938758	0.722950153377632	0.768021683811755	0.554967358512291	0.69639827555107	0.50542952157539	0.743727864645602	0.788748193186817	0.855391872453552	0.766886451048296	0.472015249881568	0.679270565442526	0.726080529528716	0.555457462155664	0.770403616690218	0.0917093024199077	0.652367005377006	0.85442590163212	0.800915889009326	0.635859435370661	0.701117333716367	0.354322375596972	0.469037857810248	0.705422905491472	0.790460084874655	0.758543400460883	0.721742352657134	0.723271895700614	0.823026570058417	0.763332567441676	0.622748998166752	0.759920653617837	0.678990647086029	0.451608626670236	0.496728297382505	0.241061663047225	0.708711839702156	0.594292545378862	0.755290478746355	0.299407674491673	0.301069511135282	0.809218352382515	0.81400326594126	0.594904607090583	0.693283074739677	0.800585335865817	0.593797129712439	0.761253487743384	0.712731994556905	0.862094738807207	0.691464316439704	0.820215767577899	0.795561766272974	0.730914117821402	0.811862142925904	0.567762699707332	0.696774937531064	0.808874687305125	0.81666671039251	0.548255698277504	0.643398445068029	0.532505099087072	0.463094093683269	0.589212311070127	0.735083018601431	0.873104050003095	0.709308871415695	0.641736514612182	0.0716293938881607	0.70869383083711	0.865197420809655	0.110787316117038	-0.0633869330776817
CD40	0.74058573030178	0.852631987744856	1	0.835594448049312	0.336775761351637	0.633002633946549	0.80792391224265	0.816986782956414	0.899266053560898	0.52172361628699	0.702392577026088	0.768376527157904	0.814642684197623	0.6497365202691	0.756438312085134	0.53737958357096	0.642341147509053	0.790407583493255	0.720288436399356	0.793066418965383	0.713733083079356	0.834982931179778	0.764770644408527	0.841894378796314	0.729542314141272	0.851810939367625	0.821255815318045	0.883292571018617	0.891150322736739	0.852826473009946	0.764479126956865	0.714448063574923	0.701242775366783	0.15087830873739	0.283691115824105	0.79902136475294	0.80320248837153	0.90195697301453	0.819607649062487	0.585671141666028	0.469889624506442	0.700002564128513	0.296408189338375	0.777729288002956	0.723888659867183	0.768647752684505	0.609108420054911	0.672237840798168	0.738022887377108	0.161341999881371	0.798634957204491	0.59466351134088	0.606591699431114	0.730782581955083	0.189397385363337	0.47036468645279	0.806186365977318	0.698608617927244	0.352295359509214	0.798959638336062	0.508133066444043	0.61740144770998	0.49178649890636	0.792422868557793	0.80252936167669	0.706421151211445	0.600143926369685	0.684817164519798	0.753940994202976	0.66185515486993	0.869595099775593	0.811835507867089	0.529194442795878	0.605075245863128	0.0436135792722053	0.671790042022157	0.5877800703985	0.652905425350731	-0.0329792453936975	0.336675109913226	0.756509017707777	0.718409640751642	0.741723975623104	0.640500074916635	0.821501874420745	0.374558014502383	0.66436431749725	0.521222930750886	0.795268034418645	0.670073162511128	0.81902822006527	0.82316361764894	0.773729027905004	0.644423945884153	0.52522660787033	0.648847359505918	0.795944375967622	0.695308050538761	0.377286850961662	0.330058378174911	0.26250529036387	0.503125991890979	0.535205778833625	0.790248175051132	0.767009570543176	0.680565871212698	0.549298141790966	0.040635444948235	0.666000446418174	0.850596306064649	-0.0106330926943374	-0.115969205963082
TNFRSF1A	0.724758254094941	0.896990614756388	0.835594448049312	1	0.585349083079661	0.685207789117317	0.735513028539552	0.926628440111074	0.893505403450596	0.715644707390335	0.700623339859789	0.807374788660184	0.891101490182092	0.63720342779106	0.832294608481809	0.73087041902357	0.806315442162404	0.763678433833972	0.608650487353214	0.848097306616907	0.694387976289936	0.79995966209109	0.868966726505465	0.936419997661773	0.850072214250687	0.890351838934083	0.883530320710601	0.86957987714662	0.834380000864182	0.825458861912038	0.769381904998189	0.859456824128285	0.66937916175207	0.195796703025253	0.507750229835638	0.88642873877704	0.840963072154441	0.869015824419913	0.668393149093109	0.773762947102683	0.612438813108541	0.725669622695437	0.602808910968077	0.644759705383532	0.444526786968293	0.742325833387439	0.797277034421359	0.824393646739549	0.859561365457773	0.435940079825267	0.682964573963876	0.824571333691877	0.624661969053942	0.698670040141316	0.20918406125521	0.576943508406305	0.864858464601692	0.813891353112647	0.548152302684047	0.722196586030926	0.377205001096546	0.529540022764049	0.582296698996169	0.727320098901019	0.770315455557979	0.8010763741024	0.77784187484879	0.739182556409305	0.673357047802427	0.55922083484012	0.720618483169599	0.69142854092606	0.43280431389508	0.520848244138478	0.347444467768983	0.714902767188926	0.620455038101121	0.734961083995912	0.277493199696696	0.434949040658278	0.723206295242759	0.811844952775722	0.541286026329773	0.669929156482264	0.773446840106339	0.613272958922893	0.724818849936587	0.699513857737203	0.880272336929023	0.584249378962982	0.778994672765169	0.888736623101775	0.703282156709128	0.780208030523331	0.625673030061278	0.724532328182653	0.740355472408792	0.82306887952643	0.593610340666967	0.590167966426385	0.588806987241886	0.531853042874022	0.597454494772362	0.68943189775008	0.88886654801441	0.753725521682864	0.627576899250026	0.132845566064133	0.680481605178327	0.84417574927892	0.142718202662241	-0.0559496281268729
C5AR1	0.283030269484719	0.614181135061324	0.336775761351637	0.585349083079661	1	0.790283800094958	0.300251610521349	0.662948105893392	0.477582035000026	0.75707038185661	0.591748522611408	0.637973172902034	0.687009730833271	0.390458249089503	0.748275152458619	0.728248708385916	0.851404636734575	0.15802854131418	0.127149209537773	0.673361757169203	0.132569638150744	0.425641469831839	0.791888923420171	0.665737100127554	0.751357338293549	0.59067777714395	0.487842584410045	0.445075703987515	0.397782733848827	0.581757706309543	0.320421433667358	0.749787809435566	0.363517991894917	-0.00841954062663844	0.947205303111777	0.598920478578999	0.564181481108162	0.339053379412116	0.193753863028464	0.910777083079369	0.797752010876134	0.632838507408242	0.912670957235611	0.262987994555287	-0.127117442120041	0.36122229555291	0.871423334690835	0.842393926992891	0.61378256752952	0.915263942024614	0.176643140301683	0.711041583285574	0.27241746473346	0.555477061741903	-0.0667464043110501	0.740084638601802	0.500589148716051	0.607817174671572	0.914606258457058	0.265545636048114	-0.0723330074564012	-0.00773991992115264	0.688947089015057	0.472494715524024	0.294578384566988	0.288048294681226	0.716423554046659	0.725877988390121	0.457873390463746	0.30714861229679	0.203456106454589	0.147737178903681	0.153601203688006	0.151637414121881	0.693881248893449	0.509396263180811	0.492469789373096	0.673990586069488	0.838811311759267	0.215337737550166	0.524989703233718	0.670181863515518	0.0582911668280937	0.477236204359028	0.433542647274177	0.797788039507343	0.693135803597105	0.827060875959258	0.484621478048493	0.386597788509213	0.470508563053049	0.46706810269973	0.35712048806785	0.797025016301782	0.325937939329755	0.489498023621488	0.513946350971944	0.812811010748767	0.788688858403933	0.894344026004887	0.922162932921004	0.224326546075376	0.5461395382064	0.30142825936281	0.71648531240067	0.549426698465716	0.464705777449928	0.018061543039115	0.516327959831272	0.538502900072529	0.185522485864304	-0.0102458484415612
CCRL2	0.449226375031264	0.788752426798497	0.633002633946549	0.685207789117317	0.790283800094958	1	0.481301179807859	0.755052463556916	0.737382528084206	0.58560446098671	0.770684966589619	0.711984886841665	0.80847379000363	0.422200187391611	0.857689443487567	0.607685251163954	0.817694508675198	0.34571737827052	0.352005312135298	0.742155340825155	0.300136698909923	0.665778579217411	0.838515614010346	0.777397325796675	0.821935133264809	0.753166633499901	0.652818668253579	0.611188397378433	0.729663574432792	0.839237053276729	0.469138473130055	0.74478404575714	0.487143304284014	-0.07997369343978	0.802657839314042	0.778372354515187	0.766435656041779	0.639077864076211	0.525279461071018	0.840404034337665	0.817682235323568	0.661089414364679	0.627715544086494	0.465601211402124	0.258723975058699	0.49924209671897	0.820078902813389	0.845187362271561	0.647248265412515	0.65227485720873	0.401943381011682	0.670465621622391	0.335693467328857	0.77862369677442	-0.135932948809711	0.726355519107454	0.665612051841524	0.631048929325976	0.800548603972217	0.443728084561134	0.050077698900534	0.16764337538916	0.781687678408742	0.70909528056988	0.552098919311627	0.51834870712359	0.656810460905639	0.802093181113072	0.727749419297782	0.681226954178891	0.586533252817532	0.500657717583859	0.294429675244191	0.323420699173878	0.348883709987032	0.6016318863793	0.51318481047065	0.667344811719623	0.518525740107732	0.071408485428594	0.728333850116652	0.782218698717083	0.373453267272668	0.594867106238629	0.650248020241984	0.677439708792408	0.714961987006703	0.721256962119497	0.721555274857316	0.64184367492726	0.670748664897006	0.602201831528858	0.589532304631736	0.784960655176743	0.373585284804063	0.601196307964174	0.723650668848802	0.865351957473668	0.628405012004811	0.754036158107038	0.659701318539946	0.316799201604729	0.53108339752287	0.535680676546275	0.828737417224427	0.603072884429207	0.519732282713084	0.0113404003451255	0.581477252917731	0.722482149024026	0.0952822049157125	-0.0351483277328372
LILRB1	0.900871624988704	0.741545796509932	0.80792391224265	0.735513028539552	0.300251610521349	0.481301179807859	1	0.721386178589733	0.823144225967757	0.486231669953677	0.663584318519813	0.815497331969673	0.750441417051223	0.825933185563539	0.757509421837986	0.679651965100488	0.661670404158056	0.843451230160065	0.81102244285319	0.821786856959381	0.857049020485691	0.809501327782451	0.705257318405604	0.785381095002274	0.603283899721508	0.784812487794226	0.772967950473816	0.89833978978176	0.757599989017454	0.756290291946766	0.850055597630814	0.578459524975352	0.783924745913016	0.447911743223113	0.172148887628418	0.589381935172943	0.689483925140769	0.795058087382324	0.877159852964469	0.494367130054237	0.389223971638185	0.797002219849864	0.216956789095553	0.875617545115743	0.693858298824087	0.850269115308501	0.56628086957682	0.63792261310506	0.791565643280102	0.165065457052038	0.852943177917022	0.357816841022064	0.801682147877561	0.637464579234324	0.543836763569715	0.452149595821739	0.775186907744506	0.789745076693933	0.369462585460616	0.914975063722003	0.745016731034214	0.78287227434754	0.379734944871969	0.787171384354979	0.747085702561301	0.728964334703452	0.661386685020841	0.589506827723533	0.712543726431813	0.484282567146583	0.746582933836446	0.673020270075396	0.806163841171585	0.530013671982428	0.0856431394213189	0.62319779216876	0.661432621810422	0.764365684167346	-0.107513948486229	0.398014534372147	0.803867509052152	0.704558780821223	0.863341578296887	0.756522396011927	0.874922909789911	0.417560623316905	0.686833552956717	0.446859028328308	0.68281417291126	0.612723951507529	0.890690759009879	0.78568661741039	0.817902751500515	0.623059714021823	0.557211070356293	0.681622152441821	0.807919643020275	0.562716143944678	0.43704904042134	0.193917477305792	0.235952400176961	0.668501845038452	0.712896262173417	0.85959384540469	0.61267878131002	0.741502767304534	0.468794879164313	0.0666117926991111	0.814852658532433	0.821610057778359	-0.0416655351667244	-0.0964104733837142
FPR1	0.719379227449898	0.910016882101515	0.816986782956414	0.926628440111074	0.662948105893392	0.755052463556916	0.721386178589733	1	0.889500048258079	0.703384674339958	0.782069992116878	0.836977546901624	0.892629194578443	0.588083146743696	0.8928908533434	0.774516651441716	0.844804377263866	0.689077259932425	0.555499104930479	0.880280580467366	0.621178580522955	0.814213237161439	0.886541174792557	0.955546680296307	0.925353050022307	0.863022860207008	0.905884765772548	0.850028599233471	0.86890732071515	0.903592706684627	0.7411137272335	0.911796803465414	0.677064212851038	0.108871379036113	0.606310564499604	0.898885427625231	0.890353085460682	0.857886347094532	0.643099139414174	0.829029404815484	0.771932263106416	0.738175081030134	0.616824464400614	0.681305511800107	0.383601532196952	0.756786455958254	0.801115882493586	0.894266515775093	0.806886202889324	0.458321207005649	0.618225948451075	0.804628972256754	0.570014404371149	0.758957513118368	0.172108143921973	0.712492896683923	0.899027097133067	0.789356734237032	0.623835352341949	0.708563114952875	0.309199481463863	0.48209376591823	0.736198732291056	0.72474465801117	0.704314082634848	0.749098765400894	0.769088117611394	0.770793732741636	0.712250635210896	0.620008652513091	0.725025457608402	0.651336606169197	0.433299428835559	0.480004648632156	0.263922278567297	0.694751958014345	0.588781384838577	0.758942835398485	0.298186900768846	0.440697135338153	0.774152768181737	0.875921915842796	0.55232451213227	0.655408956649726	0.759908687037008	0.590911328316314	0.733216867833612	0.738140110346351	0.863903410688466	0.580731960542233	0.782572855575355	0.859032031077855	0.678452120861526	0.809404293261295	0.551816062778439	0.679898328487986	0.772442104583172	0.843022401321969	0.557919021996447	0.63434560636312	0.587024910790738	0.447868991117109	0.596166683276722	0.688653323984307	0.937651654594955	0.783731230693602	0.616489971401041	0.0336187028855065	0.738819160682586	0.861556212054604	0.0669774956897141	-0.113168407485084
CD53	0.776631365830821	0.887524723078836	0.899266053560898	0.893505403450596	0.477582035000026	0.737382528084206	0.823144225967757	0.889500048258079	1	0.566726810264173	0.826268484822824	0.824262273038212	0.862863326690319	0.649622046217957	0.888633240423417	0.669155998172793	0.747696346599388	0.838543729081651	0.677494670668424	0.859559341537564	0.779456585829139	0.863189412578038	0.84874952093862	0.936417159135187	0.833049188643917	0.864991948604704	0.879411645993604	0.917867881010469	0.956542278194274	0.928737777181265	0.855011211878851	0.775011486290438	0.697393811144088	0.178086871503464	0.444404871479006	0.844920419118984	0.925004524036312	0.964964497050227	0.81351257381874	0.702091126446903	0.625373693567158	0.723952182942898	0.380799968482874	0.766637642993502	0.612555287294148	0.797187389932703	0.728439553262101	0.798809892183997	0.839651751196609	0.318314814356915	0.76185395519242	0.66186428080806	0.668343467742315	0.788306820111776	0.274863364343841	0.575232892803715	0.88882062594206	0.789184640129946	0.485801937179833	0.824583711790302	0.489292772477137	0.641965765730243	0.612185643342775	0.805736568018512	0.782406903384942	0.811095338734479	0.756563462107394	0.741696666897536	0.760508399655845	0.736374644869916	0.86203124961663	0.809333007878967	0.567050938585074	0.620704982942066	0.148065857310013	0.676302857017633	0.647561275290871	0.752919687793277	0.104722623363643	0.405981873422193	0.809759464412539	0.855305498067545	0.70807111855375	0.697590693288795	0.858514723209673	0.481107912077501	0.709600348771793	0.597781404799622	0.86990472086474	0.659874422854894	0.860407284403909	0.929145961902315	0.779935920965287	0.726870492511079	0.555183343320633	0.701428146755754	0.815278323847215	0.807096146688934	0.454862845036769	0.455507940829367	0.415568562697693	0.596446135276156	0.594772580642959	0.791809339042246	0.8885195354834	0.760890377772686	0.509961136704768	0.0271595158261188	0.777721930053155	0.885748009717678	-0.0104336567976868	-0.140412541663048
LILRB2	0.518769735176832	0.642289455967131	0.52172361628699	0.715644707390335	0.75707038185661	0.58560446098671	0.486231669953677	0.703384674339958	0.566726810264173	1	0.486736847657016	0.693303350254382	0.742583911907324	0.639987821579446	0.677367277330125	0.791207875721666	0.799152748093611	0.450804334889514	0.431953026458017	0.710659169406916	0.459414354199038	0.566988114923039	0.801906603849937	0.729520409784015	0.643844950328386	0.67831726958778	0.527284280830517	0.593365000481867	0.449203337378057	0.554081763006448	0.560419409364076	0.715529255563551	0.508748085350855	0.165211662713418	0.634648254925822	0.571159508678099	0.568441416785759	0.479457794289263	0.355637253578143	0.786051236411237	0.488859044306972	0.711670298983303	0.827398067743023	0.421461874673867	0.08308065931603	0.54522400192666	0.787292349377046	0.732152045675818	0.754216674793371	0.677888344065921	0.463506117028051	0.745753909284295	0.56752779623458	0.516055064457142	0.22839222547817	0.448396773578176	0.551207274676987	0.703863569066118	0.657279744779836	0.510495825474458	0.216952734544392	0.301778985193459	0.363731066017617	0.540220860382018	0.505758495997184	0.451106547472621	0.776588205163342	0.657843796755193	0.456324553610897	0.262552261329564	0.310808051075834	0.298163712034675	0.350669662557014	0.34518468218802	0.708406616356401	0.608497600243735	0.629890552345285	0.71073331096506	0.558854687177801	0.475053225380002	0.531258376138873	0.604529174549586	0.237773646989874	0.577385037683596	0.608151406946809	0.689232449266418	0.775903172284182	0.671829551563245	0.531273719389568	0.430485555328945	0.577710883996069	0.638576394543676	0.478313748482436	0.732107159163568	0.567399543927502	0.579594917264764	0.554674274534448	0.744157008100295	0.815482175247771	0.636723394437962	0.789465403552494	0.435797425824604	0.616105659540814	0.470997055746549	0.671553647634157	0.674052610430897	0.473404596074902	0.0728748470803205	0.584651801573158	0.625662344927017	0.174743588585077	-0.0418049369408658
