""	C3AR1	PLXDC2	CD68	TREM2	CD4	ITGAX	ITGB2	PLAUR	CD44	PTGER4	LAIR1	TMIGD3	CCR1	PTPRC	TLR6	TLR1	SORL1	ITGB1	HAVCR2	C5AR2	LRP1	TFRC	CD33	CD81	ABCA1	HLA.DPB1	CD180	ITGAM	CD93	CD74	TLR4	CD47	ADORA3	RHBDF2	VSIR	ADRB2	MRC2	ALOX5	CD163	NRP1	IL6R	SIGIRR	AXL	TNFRSF1B	SCARB1	NOTCH2	ITGB5	SDC2	TNFRSF1A	C5AR1	GPNMB	CD46	C1QBP	TRPM2	SORT1	FPR1	LILRB1	SLC1A5	MERTK	ENG	PECAM1	SPN	TLR2	STAB1	ST14	ITGA6	ADGRE2	SDC3	PTPRJ	ITGAV	CXCR4	TSPAN14	ADCY7	CD82	PILRA	P2RY12	UNC5B	TNFRSF10B	CD300LF	ITGAL	ITGA5	SIRPA	CCRL2	CD40	PLXND1	CD9	PLXNB2	CD69	SDC4	LILRA4	LPP	GPR84	FPR3	IGF2R	KCNQ3	TLR7	PDE1B	TREM1	PLD1	CD72	SCARF1	NRP2	JMJD6	RAMP1	RACK1	CADM1	RXRA	APLP2	NCSTN	CANX	TNFRSF14	MCFD2	CD63	SMAP1	LRP10	AMFR	LAMP1	SIGLEC10	RPSA	PTPRA	CLEC2D	NCL
C3AR1	1	0.878063095258615	0.856250458780462	0.884591647941858	0.797569215169556	0.655556890145839	0.900741268380663	0.632310226086096	0.412643303207257	0.51291950674071	0.852095362097841	0.7437833961825	0.727460760877808	0.53121559250484	0.580704878723684	0.673722499973439	0.674449391501636	0.769096390801524	0.750166164921562	0.164868794151784	0.709826843117172	0.247140489520158	0.647320569879668	0.842757737439627	0.624878259269423	0.232264093658932	0.856690341599783	0.631615901816866	-0.0394524348572934	0.63441480806678	0.595287719141765	0.768163819623673	0.812652094600834	0.472979105224033	0.0625798415051904	0.490398936185844	0.357963664462883	0.802136800689475	0.48680611873572	0.538416634725096	0.713107775952422	0.56678757754367	0.805614614659155	0.468555512952404	0.572430865372202	0.56304807933389	0.705344831545559	0.352463113206069	0.6861869643339	0.593631757802007	0.741257469488154	0.660063536787509	0.565057317195495	0.664288143342851	0.78919200452457	0.529457153960714	0.69599546646784	0.682825983664783	0.577760935658738	0.782500187102084	0.654539311220218	0.727115848274512	0.605443358808478	0.418991841240468	0.627376674823038	0.779666154833769	0.151636194541598	0.488135108596998	0.805874497286248	0.608231058329194	0.421307203971852	0.644869871198116	0.752676042958723	0.789997461607549	0.823425423378022	0.379987898130449	0.489015446765974	0.43073429474883	0.729226836246582	0.602234619086607	0.497735313133702	0.835136385619374	0.630170035162276	0.581199042931031	0.627775483309569	0.80476111935531	0.487680809783188	0.0330654385835082	0.447134728656915	0.623939971489266	0.467034328497241	0.105954385744366	0.529681328653938	0.673140883923722	0.278582936568239	0.638912091863094	0.582289941451839	0.576591093708862	0.703273855066653	0.533921099745326	0.521582275316627	0.488984852088708	0.238688480196638	0.670373714972915	0.667722431295965	0.645233163439933	0.653742061599875	0.761641638152101	0.698138178011727	0.7180907664736	0.6854240154094	0.725868685479485	0.856670491241382	0.700457473072906	0.767186850982032	0.531060622300222	0.79773439492395	0.520351926216303	0.664360289517413	0.474844033924752	0.0212511844819616	0.658299802619779
PLXDC2	0.878063095258615	1	0.834007021294452	0.904980572056437	0.892494255614876	0.85071493532203	0.929246334634009	0.694437331997784	0.424879224582576	0.698473217586563	0.886387309226666	0.824967868523037	0.791058251277825	0.605828143269705	0.595010850607571	0.772392933659221	0.744313557596807	0.880079908444695	0.87433188876905	0.307792740435167	0.810924941022382	0.472609067161669	0.703296018134417	0.902030333206955	0.630065132949237	0.186386093922234	0.798817650342117	0.730920605030177	0.0213541450560859	0.624566465810732	0.584852884101517	0.705775899059239	0.857004316987991	0.626157193025318	0.0869488301520535	0.575912615456477	0.589652368530821	0.813806832903102	0.52153013444185	0.678209752453399	0.824994086591699	0.633314517459625	0.88766423704646	0.573985310582856	0.656623661703981	0.561478961014837	0.865505983930232	0.464562648417779	0.802554357891334	0.635681258171765	0.664152031758672	0.626523609140184	0.610566688009318	0.800746892085843	0.856886559039099	0.65831736483542	0.836572907621564	0.799964864042047	0.657387842480039	0.92059221473958	0.603317173164521	0.717082807711484	0.700162820029584	0.538925025270548	0.740585919951531	0.853298094467084	0.40001455883118	0.521218991059425	0.889915611811821	0.816642375083221	0.498412150930601	0.767436881124148	0.810884534902582	0.84481131513872	0.912049685569739	0.385677743649604	0.675782979305855	0.58352094476418	0.624640198288586	0.755044133743654	0.627618031329409	0.893188748365176	0.750033145518633	0.762603116933868	0.691971064042363	0.714603849647933	0.6231261543502	0.260124083025154	0.355589979359974	0.730854453026227	0.585970412470447	0.328808767305945	0.412093098419817	0.738586357854922	0.468274501671586	0.742417557464117	0.765521092298143	0.646497331467669	0.825495045983955	0.418758162805462	0.699978089616738	0.683863473304275	0.461618449889951	0.793818842872042	0.714553985354248	0.58294184233444	0.714844854001053	0.74945515607543	0.748788258835175	0.732914282439274	0.693335601145793	0.751169270702332	0.802654241673904	0.715733814609824	0.844198068054124	0.524821916891806	0.778274000804353	0.666831642126185	0.683900598764544	0.618789387820743	0.139616835311025	0.744620398786221
CD68	0.856250458780462	0.834007021294452	1	0.78790063477009	0.889311457228943	0.638712112407111	0.917183448345414	0.787281473911826	0.6460537802945	0.586209322599812	0.939622760393139	0.720797800660794	0.829946139104534	0.501886827555263	0.45032808408098	0.59503869355283	0.458834098608409	0.787744811294941	0.607307499168294	0.182236818330704	0.820273454638001	0.275340641304006	0.677877596454725	0.950420907299751	0.824812618123256	0.323804421893786	0.819807530476759	0.770217206911923	0.0361840755141017	0.679798781163964	0.768674349336652	0.779458368497228	0.871611016000669	0.282072534034433	-0.0934257236890609	0.39748609907429	0.285242597666031	0.838686218621739	0.702968017656545	0.555824278745927	0.645869653296028	0.639384454033851	0.758998944728947	0.576533117169354	0.727035074196688	0.746904995180167	0.698667889592977	0.487161666136793	0.689514229172997	0.804722507472802	0.925240522265834	0.76704329898282	0.586859841071879	0.652497601475248	0.850441827270629	0.319707376382432	0.6514052880657	0.693579017315807	0.709787665929656	0.806696836486278	0.798395668342715	0.819455124416905	0.542977811613297	0.602889390928231	0.822984320575597	0.800369212839527	0.137810470934463	0.719212474333085	0.753580764259389	0.523261147350072	0.496766987072919	0.763391727432796	0.773562112997906	0.901646016368571	0.791741400769118	0.0878017696760445	0.465034494123331	0.512598542056914	0.866225621102394	0.519398521774803	0.573665727458428	0.918085403872142	0.741522487833078	0.484517826217492	0.790142560451513	0.82416124023712	0.643859327454988	-0.0508687946522303	0.684004977787947	0.45747265143884	0.477971591680409	0.106464511556258	0.765469131825749	0.839495870263228	0.144943016963622	0.673853769371919	0.579354918637579	0.684325742193353	0.655432208618065	0.698856474342781	0.420119569333818	0.544683873765101	0.228650009766991	0.541344835545381	0.792971854986301	0.801456385758964	0.799604752446925	0.935814885076553	0.773761491232757	0.860124800337901	0.87346697081177	0.81624377051072	0.879852550016439	0.824210325831148	0.810679635936826	0.717541775628482	0.95295799401749	0.382332789422362	0.747731124247108	0.499889275120292	-0.0413091487029906	0.727015889627872
TREM2	0.884591647941858	0.904980572056437	0.78790063477009	1	0.782007628954555	0.779328811941833	0.911997061169638	0.481620066733922	0.221674074192415	0.48139827440726	0.802271052867342	0.78160199391833	0.681347732841764	0.496469129251232	0.605175568436561	0.644395843296728	0.819338620168696	0.836836596094748	0.850548290892643	0.0691958929778707	0.636485409675204	0.238351255055589	0.612023744995883	0.805316186054861	0.426299722207317	0.0702046351198974	0.854947348791265	0.577876814618836	-0.0839355786444113	0.485363921517839	0.45577221356076	0.762139237033786	0.789454393782965	0.530742513789638	-0.0348640795830265	0.46266303793173	0.565353346556406	0.793969155083871	0.300273346572952	0.487682443951003	0.785157327759609	0.531760468982101	0.838233094791255	0.330816397230525	0.467596183893723	0.404086889555271	0.80443361741713	0.340682559525839	0.654284077791064	0.417517708330451	0.616503641093648	0.493403609518721	0.5887720471701	0.720456244608702	0.77698726730186	0.637244180259053	0.689059455088533	0.684891423372261	0.414565764999594	0.839043291417559	0.435654552332818	0.741117196234003	0.666872612408699	0.314754085325896	0.585825556361637	0.832472007227377	0.206970824584921	0.354794341022631	0.818813038935716	0.717880754941947	0.264752650119763	0.545028441591997	0.726507608582739	0.743068200555802	0.843603340018352	0.480079810526181	0.531775781425781	0.345285745391637	0.596459067861508	0.700843465629058	0.53118668250896	0.813741409237383	0.548212591234542	0.694560364120542	0.494815932856725	0.787254859450363	0.448119912258642	0.13378455857392	0.214105338032184	0.839770917049079	0.489557127262818	0.141950591914608	0.309635364178043	0.663349157179682	0.41267535984281	0.555000186734693	0.593226328972231	0.583487220223923	0.849473946819882	0.335593146169551	0.600068582660808	0.475410096858662	0.266954960800749	0.867299377018887	0.55795208319018	0.492515172167987	0.574028681552061	0.634291666071933	0.731961887315085	0.639205939623002	0.583607387939556	0.687773383418453	0.877259816502218	0.62609894553229	0.733816335235002	0.395882192569852	0.682368136111243	0.580592164829922	0.593959199879642	0.507825809075823	0.0571086954385978	0.598184611104519
CD4	0.797569215169556	0.892494255614876	0.889311457228943	0.782007628954555	1	0.774587244279095	0.896817677626297	0.771447498163916	0.562923288728633	0.749002153876024	0.917156476659798	0.789595741775159	0.831955057749821	0.607249869586276	0.499101436904037	0.697275414078685	0.583739303631455	0.865775371506994	0.747186094097746	0.347738207169545	0.853602977183776	0.509516291183218	0.720713098855147	0.918454444273801	0.748148643039267	0.254711866027821	0.728158767641302	0.809077947597214	0.140626124903286	0.651736348156023	0.70214913346185	0.681818450619746	0.859835378957633	0.522353686350986	0.105429448697653	0.541033979055081	0.465889676722417	0.839250304903061	0.685111088485393	0.700544392797416	0.764935845478315	0.6749317819826	0.826260644797542	0.698300871914403	0.739206565153046	0.659039877055894	0.832700682626973	0.560712039284746	0.799437701467058	0.7647283951046	0.737129582625702	0.629638530124349	0.602010912763611	0.74297140292108	0.840191160050993	0.507155617191072	0.795201714022257	0.775138785494836	0.73575204126188	0.884934087462639	0.693470765672983	0.745864289842846	0.696753187939911	0.695286251246446	0.831008978446757	0.842642011939148	0.36825693707371	0.654867109489345	0.796367160043617	0.717902609447269	0.524067994924412	0.798728732504269	0.78657887405754	0.888560962758301	0.87063725688968	0.187567337295817	0.682450493900791	0.660948828071844	0.676662037874671	0.682090514601306	0.614557907750325	0.914771759354781	0.835180645160398	0.662667008476751	0.794401564891114	0.694473426577818	0.71450150284329	0.179919168966912	0.467820786120051	0.555335687146252	0.580638851695648	0.348118118781523	0.553495238803677	0.800817106800817	0.410715767895009	0.745729069277151	0.723429018728649	0.697980945985761	0.715271104788445	0.506397015935133	0.612296345527915	0.731908416317608	0.445679627887265	0.656251015018292	0.77099495277473	0.632509661060534	0.773069213239682	0.838397015064151	0.769807441423212	0.804108130737833	0.771109781366273	0.807336679315299	0.787464287855271	0.763033900073839	0.865728140979327	0.634156177810482	0.841971726976779	0.597885658482627	0.723316426038652	0.619149648956751	0.113473701202887	0.778179684049503
ITGAX	0.655556890145839	0.85071493532203	0.638712112407111	0.779328811941833	0.774587244279095	1	0.779705872751064	0.570076258620732	0.230309610052849	0.677240429618514	0.73597052312318	0.693412110341495	0.661971944101366	0.47401770414573	0.497556369526892	0.593244650749675	0.672242260008502	0.825036277496068	0.826639661696459	0.408318882752425	0.712307792318531	0.578435023036527	0.542330569956329	0.767269181371134	0.447091400720161	-0.101984040243517	0.614467625345438	0.728745884254291	-0.0582909667445618	0.29993686158792	0.403137488002809	0.530568742845339	0.645067934881064	0.621271897531517	-0.0475696295292452	0.520477804750298	0.776310549730145	0.645169357537464	0.318777924633377	0.544478166398552	0.810115050408534	0.498957120240578	0.725830267197977	0.493856380739636	0.538790400126108	0.398699675654456	0.84935753588151	0.470164894574416	0.704971847610844	0.508770790470016	0.476716981970105	0.412355230211321	0.480268991911477	0.745768207975018	0.7750540895287	0.650733249505223	0.741517529430869	0.730264145102615	0.509181024815445	0.865256499986651	0.337599816679002	0.612112174254619	0.625295263821664	0.353199684834237	0.651160564901354	0.77632801425492	0.531458686650113	0.445711388873689	0.825670555887871	0.799663132543947	0.32342226444235	0.657545775033538	0.63387735993521	0.745711622340533	0.769052852029937	0.408691266582505	0.652819999807062	0.570394437777523	0.400979822027922	0.80643859450103	0.535696738135027	0.74754767694317	0.687625298119757	0.75504921876515	0.499373829276856	0.553648529752952	0.563135724994666	0.403152356172636	0.143799782123734	0.751483919679577	0.601570031695197	0.471662226700186	0.158718158216259	0.665009936567924	0.468849042321498	0.517671632933963	0.747104024100433	0.652062236455179	0.833578447663797	0.146865592226724	0.73601137395568	0.732708211778569	0.585485935278267	0.827750036716964	0.472120821377275	0.320493470796175	0.577177587488381	0.585293199439951	0.708414531627389	0.57354080105066	0.507482157951252	0.632114189194761	0.631906911611544	0.494640946921596	0.75854094036362	0.359592947291208	0.592672274738214	0.601102423624147	0.456437978541603	0.644869428511688	0.172478076787993	0.627683430174266
ITGB2	0.900741268380663	0.929246334634009	0.917183448345414	0.911997061169638	0.896817677626297	0.779705872751064	1	0.701687978677921	0.515270611157602	0.620627956962556	0.92706664857324	0.758582063104574	0.790026087831652	0.603961900233127	0.543316261801664	0.682640122121379	0.665624362165871	0.880808151578195	0.778130368847395	0.206360400795309	0.798132334956135	0.307599863897773	0.719548273148052	0.930376255867732	0.674032660101388	0.259801719725222	0.856721232552308	0.773643749885616	0.0819199512733391	0.645199379865145	0.676269279064736	0.803605830795278	0.858763845053242	0.448771752726768	-0.0244644085144906	0.455279813157327	0.488536870116728	0.870717237329718	0.560726731803822	0.585956291051958	0.785288848199914	0.670937744995447	0.821142601143959	0.556849450208513	0.6397870285552	0.643095531556801	0.804022573205669	0.445813813200243	0.73988302725903	0.677420419254528	0.794357847076782	0.672719385192821	0.664487398595133	0.736498835226267	0.858840962297785	0.53401117813886	0.730601995379706	0.734915009706511	0.610627985388473	0.893020798658702	0.68127527808408	0.838058642991198	0.678586928796629	0.515619320472729	0.768024349142202	0.873519329178978	0.259723025535533	0.576138297084317	0.843654942888168	0.665779435870797	0.459104876789638	0.732493880745985	0.813202442934649	0.863486940993814	0.862346979992955	0.281192352546606	0.567225630913635	0.52124299885708	0.755916054627094	0.69163602086012	0.631757644027563	0.917541683362776	0.719235276012406	0.646079191204391	0.698037124569637	0.828266667023683	0.629842279471766	0.102734690413407	0.486496504534069	0.693940301671106	0.551809518215683	0.17019223232955	0.54343502499986	0.803905319915815	0.320480553979031	0.650584602700229	0.676192891404485	0.665506472842066	0.797469422354473	0.542739897072454	0.557969560576243	0.580423674770092	0.303284925140921	0.737381026439691	0.75918681330457	0.680380609599048	0.755716468172487	0.835805477562444	0.778573536501931	0.802039222339245	0.789049203762802	0.819230859588383	0.894146003570729	0.769068386896058	0.84188043004246	0.614053204669683	0.853754555105459	0.52964245446455	0.748442121014661	0.584624286424449	0.0787435718505665	0.750764486923923
PLAUR	0.632310226086096	0.694437331997784	0.787281473911826	0.481620066733922	0.771447498163916	0.570076258620732	0.701687978677921	1	0.805026214288806	0.772740487021339	0.760784052038889	0.554076426429572	0.728299129008962	0.39975361873579	0.162427274293696	0.524939227964654	0.135648414450121	0.621294640690727	0.420756506342064	0.459764844493813	0.79669346586164	0.57834806005365	0.555732576949887	0.800586223174752	0.878554550828091	0.341915190755659	0.486887829756227	0.729785535655849	0.123472603767431	0.606189126701839	0.715473376429043	0.520234673654325	0.646157529425528	0.318354262903477	-0.0379498716582737	0.428390600001219	0.22684046444072	0.661516982037568	0.699908106889057	0.559328450162692	0.47134355973763	0.609908310431642	0.612794487533985	0.708817066208419	0.740074020870512	0.742573004274398	0.57795044098047	0.510903851440502	0.613705641969292	0.951712978464689	0.773236675950622	0.655951932007105	0.422502612025876	0.581788749368785	0.680507615691974	0.240901529032239	0.637369906529483	0.642271335495017	0.791154525276877	0.707539030378159	0.798036333043264	0.617543501093534	0.360916991577247	0.619281211681146	0.750239466923116	0.638198224405578	0.427877562554869	0.691227338887958	0.609060633126663	0.486450873916624	0.708362717772382	0.854594322354124	0.631994228054081	0.84277840555596	0.656677494687263	-0.149886732164383	0.523276937352001	0.692548414033831	0.717953807860551	0.46300588290814	0.605172099277039	0.785156212363476	0.90019891526536	0.448914838246552	0.802943874709471	0.567231679634475	0.618665828619466	0.213485420483402	0.708429219721494	0.168863584818435	0.410902278055699	0.444108305124248	0.706271377767175	0.685047933386443	0.0204526163159747	0.649628070210699	0.562845843179514	0.727691465925477	0.476793600322102	0.693792375758882	0.464275026766307	0.738664094748513	0.486974012116886	0.303870165538567	0.750898930184953	0.705041007309022	0.749062273865547	0.832859472219535	0.616820425782852	0.711076142576246	0.751426175735878	0.668257753690297	0.565545949994487	0.661979296390785	0.70416532777761	0.645663627071339	0.781353814084006	0.346753098662561	0.635340694411708	0.459395785939913	-0.0309828484592303	0.719404883247811
CD44	0.412643303207257	0.424879224582576	0.6460537802945	0.221674074192415	0.562923288728633	0.230309610052849	0.515270611157602	0.805026214288806	1	0.568253080848414	0.595769757264281	0.303105842480626	0.530868390548392	0.4329693044205	0.0131733212742049	0.379580647546562	-0.123611908318128	0.482078907761368	0.113318977613452	0.250763199266568	0.633852042437832	0.242860397857173	0.55870118599358	0.605591607259624	0.802022487197284	0.601996250479848	0.359539679133209	0.586384070484576	0.392845575127844	0.628125790051626	0.746047307355903	0.502251226545592	0.47905748270279	-0.0196218392294227	-0.0446508683872318	0.159408371153738	-0.03578774352802	0.541762450268769	0.720822347085824	0.467670583556295	0.237861505868603	0.625981586594279	0.357184826709344	0.631163585389916	0.59224015300232	0.799160045367603	0.286695375109287	0.471772455159958	0.477209935752914	0.835289088821097	0.690927695190041	0.666168233923786	0.50277376760765	0.286218296679803	0.509617961973958	-0.0383572971486054	0.380263275672119	0.383523783860154	0.634602335580499	0.471607345835556	0.816711051684635	0.541254077673233	0.242103369643945	0.573947906989542	0.626061056520288	0.435635265711495	0.195936949696004	0.653946174379282	0.346835692496541	0.183864145928224	0.721596958951285	0.688164454344728	0.47053185496668	0.650231876850034	0.435412704444745	-0.404168843216349	0.291998741606967	0.565868432834206	0.678693028220601	0.243465398023338	0.570490430606633	0.598228759511476	0.676161909793678	0.166477892517258	0.7061889248574	0.479864701310569	0.577645291427292	0.0377631303735266	0.781673344371635	-0.0790598426690323	0.375031829927569	0.133172436135908	0.747147822861106	0.616919974229043	-0.194909529188295	0.47151140392467	0.308771636734982	0.454475914897761	0.184891831050867	0.758355188013262	0.161723240484094	0.414677444018983	0.197191946220554	0.0431812334348177	0.833952876779604	0.737950844228434	0.681248611398826	0.75446281264464	0.465712467331908	0.71437030177369	0.75991659658453	0.621405578710559	0.451643936057197	0.679796358411835	0.539853861690018	0.674976000742638	0.692560660299539	0.0817812012481778	0.736546559311678	0.38652160511611	0.0842239156272619	0.683804008723198
PTGER4	0.51291950674071	0.698473217586563	0.586209322599812	0.48139827440726	0.749002153876024	0.677240429618514	0.620627956962556	0.772740487021339	0.568253080848414	1	0.646963096284017	0.673890190038525	0.677071352296308	0.594938654593998	0.261243023122913	0.626268772162365	0.34421665271987	0.678038021539912	0.600176783580467	0.598430888368653	0.689801341674126	0.760578660540853	0.608908177153724	0.651082063447191	0.602933149351249	0.251658418241063	0.37569893143035	0.638674706187615	0.205109453682206	0.49269121362532	0.508067666403197	0.403378451715641	0.608707208812958	0.608305001030253	0.238184823490901	0.562378689320345	0.423232418273062	0.558632075541511	0.55724655787241	0.660368397257985	0.581006316288514	0.631747452960719	0.701141594751572	0.718787786260803	0.622710140882181	0.497578917762882	0.645965474940591	0.607623848752117	0.707327432789648	0.704676331217985	0.420993822875588	0.435669976664861	0.464880789508184	0.624859944397022	0.63511935356739	0.498725911264098	0.73599760150236	0.706309306647986	0.679843032176644	0.710876552588898	0.549642228821892	0.518225850812359	0.506434913335652	0.589201312637672	0.650153768170902	0.613707397220228	0.6160814892343	0.50684163549295	0.590447742285938	0.708478648836263	0.737567819028122	0.760466846322777	0.602904188713468	0.695568881627082	0.706856185712097	0.073293504791105	0.717385864847887	0.824800385035706	0.428506174999015	0.644456731375822	0.582836545350107	0.680605158758988	0.854229115844999	0.674143477045817	0.626392036270008	0.346632358243473	0.616960132631383	0.549051489780136	0.289144360548975	0.31751356059658	0.504989677696148	0.645918847807263	0.272663547118677	0.535527277075099	0.327872207096591	0.636336821039229	0.67908975636047	0.665797340651199	0.503129462503138	0.293665849462317	0.589420015916709	0.844794987257634	0.733623601646635	0.484068114594851	0.671786453375337	0.342209517933115	0.621831657311581	0.580068787754716	0.539536623762269	0.560811019263694	0.499204062391968	0.586875024367371	0.429436836721045	0.529588857666104	0.69959232256469	0.404766787166518	0.551704792184359	0.614765052236573	0.606668450566911	0.556228975793605	0.212641300626572	0.700707080536833
