""	C3AR1	ITGAX	CD68	CD4	PLXDC2	ITGAM	TREM2	CCR1	CD33	HLA.DPB1	TMIGD3	ITGB2	LAIR1	SORL1	TLR1	ST14	HAVCR2	TLR4	TLR6	NRP1	ITGB1	PTGER4	CD81	TNFRSF1B	CD93	PTPRC	MRC2	IL6R	AXL	LRP1	VSIR	LILRB2	LILRB1	P2RY12	FPR1	C5AR2	TLR2	C5AR1	PILRA	CD163	SORT1	LILRA1	TFRC	ADRB2	SCARB1	RHBDF2	ADORA3	TNFRSF1A	CD74	MERTK	CD180	ENG	CD46	ITGAV	ABCA1	SIGIRR	CD226	GPNMB	TSPAN14	IL18BP	RXRA	UNC5B	ADCY7	SLC1A5	CD69	RIPK1	RYR1	STAB1	TLR7	LPP	ITGA6	CD44	PLAUR	CD40	C1QBP	LILRA4	FAS	ADGRE2	CD47	CD300LF	APLP2	TNFRSF10B	ITGB5	TNFRSF11B	SEMA4C	TNFRSF10D	ALOX5	CXCR4	KCNQ3	SMAD3	CADM1	PECAM1	LTBR	ITGAL	IFNLR1	IGF2R	SIRPA	CANX	TSPAN15	NOTCH1	NOTCH2	TRPM2	PLXNB2	MILR1	FZD2	PLD2	SPN	P2RY6	TREM1	GPR84	OPRL1	KCNQ1	FPR3	PDE1B	ITGA5	PLD1	TRADD	RYK	JMJD6	CD9	STX3	NCSTN	TNFRSF12A	ATP5F1B	PLXNA1	STX4	TNFRSF14	SDC3	RACK1	EPHB2	ADGRE5	MCFD2	PLXNA3	CCRL2	AMFR	CD63	LAMP1	PILRB	SMAP1	CD82	ERAP1	EDNRB	PTPRA	LRP10	NRP2	EGFR	SLC16A1	RPSA	CLEC2D
C3AR1	1	0.884477817115283	0.748520784138785	0.954581944856812	0.927626441858071	0.917506507262221	0.914556150468442	0.832438166070425	0.881998830078548	0.812361794016207	0.929134377342274	0.94253532678639	0.947450451890334	0.859760220586961	0.903847457183595	0.388470717604702	0.946502212549575	0.761657444987931	0.800668296137108	0.670396553635839	0.824430994055303	0.879263284160994	0.940794286276585	0.759345768590671	0.202721765889924	0.912274543646897	0.861746185829807	0.854635974637051	0.953759325686083	0.913230821588677	0.69489413953035	0.370812459755354	0.925838980712745	0.694292519199694	0.948816906346078	0.700181299560507	0.855599361815562	0.64392617503016	0.851787662367111	0.545841660540796	0.925193503081539	0.609529373269875	0.78355487575034	0.899589335869036	0.863127388892865	0.920117537737558	0.941996791669965	0.946702357670146	0.896329595996526	0.884714032850242	0.842121936948072	0.882092359309183	0.819719627435369	0.884835833719718	0.561070174543701	0.788579704522004	0.68387768171811	0.443240218234638	0.924552752314137	0.814886489379642	0.762555206021362	0.888685556395311	0.890431962118156	0.919448954355039	0.823050853669074	0.837248091235677	0.674700588918423	0.803327181280887	0.8752447345513	0.882399178959921	0.865056659995055	0.0821489387306625	0.597032244048161	0.923429266460512	0.912211283236809	0.572272605657612	0.866510743176369	0.838883320572614	0.899608563048556	0.777268526288078	0.75647963538045	0.896528047229995	0.767846495193741	0.850369984461658	0.775442386934767	0.702157713056636	0.91492772854412	0.411430288275868	0.826727107205556	0.708068610928436	0.683079620969903	0.577823918329558	0.877516654289722	0.820844443243035	0.727498491172179	0.59370124303345	0.87376495176309	0.883151896527922	0.874753089056292	0.782608392144265	0.283507393457596	0.920160254587712	0.883748965960721	0.854255073029253	0.627715966659716	0.891020460043601	0.822128726785596	0.877460994414592	0.691107412917877	0.836472489957044	0.711521181231013	0.910013527878697	0.753657372187704	0.886127655498694	0.625689671144305	0.896221348181467	0.832758719337068	0.807412709404706	0.847773172291542	0.672442848753676	0.685057937936647	0.827205770169675	0.649006999983323	0.883784167874604	0.739268043066853	0.891801721317654	0.64860001799108	0.735656133955885	0.906027538865345	0.865596096469815	0.715766295824222	0.777619591420099	0.700873525174442	0.732132048696118	0.769182895037636	0.756049919696164	0.780518723841579	0.739869303331634	0.783348477129136	0.722849858827706	0.689368724706498	0.671335632864283	0.827719740468806	0.899107981185995	0.680018844592697	0.20762453831673	0.835760591025733	0.901453473103246	0.543357422108758
ITGAX	0.884477817115283	1	0.806998762942103	0.790250981917332	0.911107999585134	0.884055120698945	0.878854970999051	0.924954157318163	0.749710767258483	0.550768817735783	0.849797893526395	0.912846906725454	0.888823774729368	0.745327182780418	0.855310253322027	0.524659534374856	0.925967555982426	0.789603346128903	0.778329097732095	0.788689273862101	0.94195962424951	0.936499593175317	0.852016684314398	0.831557863088379	0.198593438667932	0.873818193690521	0.793343108597347	0.917729633650738	0.851576619894897	0.947626828738482	0.378284890330054	0.375498802013803	0.859123062800172	0.486380467782993	0.828327454098775	0.679235178258622	0.826965350356055	0.775447718442828	0.8187896612755	0.600101250159089	0.876570130683398	0.457106788724757	0.795748596013432	0.715994291094264	0.879397418438952	0.81013892558285	0.865440453350376	0.871315510731059	0.690091368031822	0.939969000539638	0.867438583756133	0.879309710827915	0.876593450201481	0.868449800911672	0.767537580337952	0.766664344896378	0.752842534770002	0.67809471786857	0.927688719664618	0.800143315311291	0.871811970094601	0.841801351294143	0.78551618652333	0.851938320412108	0.756439899500053	0.894714906390144	0.547439243571673	0.730420349114273	0.728566763514213	0.953683642861959	0.829444522897517	0.29978794159898	0.764969401801536	0.780961961391102	0.824869589017198	0.59367292830658	0.787962337116294	0.877707266200577	0.881490472415918	0.743380757383932	0.865280587250995	0.82589331144917	0.835667720504666	0.857850776709995	0.729106990889977	0.646456934823311	0.825974229040722	0.478444196555042	0.774460089938066	0.718123991415364	0.841685030894712	0.536953986509421	0.833923602588004	0.842279986579893	0.868637101482661	0.773862958443409	0.945207974974169	0.947323812244167	0.692744992810752	0.82850667709637	0.390489110236838	0.911169011834	0.843847233996685	0.833232742944376	0.394618497815207	0.883357303022949	0.847486977324508	0.732968760523482	0.810557816528671	0.818200088180092	0.516107631718838	0.776416982848684	0.809589620635196	0.83953008734296	0.769920376206813	0.894297560221084	0.84103779671342	0.822976401564907	0.840887457600589	0.852591854163174	0.781525784900265	0.753650194064983	0.794240104081672	0.817616587442304	0.791195548599539	0.912110090221181	0.795220781709884	0.813734845198949	0.783370431674708	0.843661440835356	0.772252719526012	0.863274341828635	0.832886871516821	0.860135917417473	0.752658597039767	0.83581807852822	0.818317035315462	0.686948213404485	0.844376808249919	0.852610818639316	0.628393243130147	0.861769171746615	0.894456212841246	0.865751312989645	0.856961320993783	0.358753604154269	0.831607416073903	0.794446565433202	0.451345860353839
CD68	0.748520784138785	0.806998762942103	1	0.636562682538315	0.648183074674081	0.775094182381323	0.846158144717347	0.908188965584864	0.747345199979495	0.441714644278956	0.87818951989266	0.864935810197375	0.856530812061266	0.448902766689399	0.668397089380391	0.814228578720393	0.878947227074939	0.536539485564337	0.464434974094701	0.871037477573428	0.894829165030245	0.709676847536894	0.861820987586613	0.785584275543862	0.200719058927398	0.636176178830887	0.483573187238575	0.696052842710206	0.7568505208665	0.865562979545066	0.232022724712171	0.382077053147914	0.606902625625174	0.187792165122273	0.733163647972859	0.465486600165563	0.639504255575531	0.752568825639159	0.845383940785738	0.735946685041924	0.697607046428221	0.392815294317452	0.576330860696656	0.531616307521008	0.725602793677679	0.555537109924853	0.772873446617605	0.78741777637138	0.480316904095443	0.751575386076464	0.907109505154496	0.818669694956834	0.712912472084332	0.629982210025468	0.87912862218084	0.869466748835281	0.422953019211844	0.874221403368974	0.720315361267262	0.777722343701486	0.822284316212015	0.656740934940292	0.613638957719766	0.784277958341925	0.427992162168041	0.678102692495562	0.177166019912042	0.68757087600237	0.45999912624911	0.721648990607856	0.635809159130828	0.552591107127651	0.917972855919747	0.776364256429535	0.846383393143058	0.725730045858061	0.639772641378987	0.629505159295394	0.778434564690637	0.718947698868146	0.910334706151797	0.555221906797418	0.837784836680537	0.664258808340967	0.440873657498344	0.372490297012149	0.80778271242907	0.384061635516258	0.42452275400999	0.400654200861719	0.898353645708657	0.453657973969752	0.739136473224004	0.572121053069753	0.822510079932532	0.874056586929714	0.874172619377104	0.879375071892621	0.740996166933505	0.579608252106206	0.371943370791115	0.754760038249339	0.676154027946104	0.720343479868664	0.203191948284801	0.771738718380242	0.776840976098214	0.581135065290469	0.845855686598886	0.772426253152845	0.266258324106565	0.672236322934186	0.910500397389537	0.643556757871106	0.836685702120461	0.706607406754913	0.917666986554517	0.578544098063168	0.596184914072174	0.864755119693314	0.858106345738788	0.695883026567125	0.901160974247506	0.883211312874694	0.706974509044116	0.752187405737831	0.894041180331664	0.655283797443651	0.822217779482222	0.695043756930684	0.554710781726142	0.890377012551689	0.666269717708317	0.907321713197722	0.659348189369699	0.985611730794533	0.964694723712937	0.401085075501184	0.905897549705721	0.755086250777327	0.497640508365704	0.807293963945175	0.741221836169133	0.829832001707733	0.8526077887009	0.12945492218369	0.610328121660703	0.86849141989943	0.147296901282881
CD4	0.954581944856812	0.790250981917332	0.636562682538315	1	0.884153237802562	0.886535585683924	0.841512178115769	0.738731913355075	0.860976613278958	0.795927808861089	0.872976445426081	0.890749988874034	0.898147149737364	0.86150816847006	0.878873839557949	0.268493951126292	0.887201072292723	0.733467698877117	0.779763307247397	0.602882396112004	0.725934013775086	0.803623801251321	0.891260404345101	0.695232901396816	0.241114852397022	0.900090041304478	0.845214555245093	0.805794458637867	0.906260641320251	0.847293309386	0.730770901303469	0.375263415218178	0.929103127113956	0.745127694974011	0.927645833259081	0.683964717157003	0.835742960538661	0.549282867652986	0.748922697295532	0.539142746590984	0.893128889573936	0.654645092286692	0.7841791894012	0.914834374381433	0.804296080074874	0.919015983643372	0.881063190278388	0.905028148535788	0.889915278387981	0.83569446348497	0.769489058837456	0.856250119119084	0.773971600882901	0.867520657495723	0.425712914555526	0.702264229236949	0.667334728300535	0.27807008367737	0.898244255491679	0.748955724528479	0.67821286722932	0.886253317057288	0.914731774400547	0.875708784824192	0.803237347775106	0.757630483422471	0.684887873784402	0.841752784907342	0.888703580606331	0.829187332379109	0.834036512852286	-0.0278426667053222	0.481595885227088	0.895073405862063	0.878334813665028	0.475428481731187	0.859194185240171	0.80571044981777	0.865916031676966	0.702235607779541	0.660631662327603	0.883134051739143	0.657719154806845	0.805348422912569	0.776720929714126	0.697664647260272	0.901852676365717	0.358465504702251	0.807622445789457	0.656845346702502	0.542155683457268	0.582472608357583	0.83267657253115	0.789264192186578	0.648893977863474	0.513646074507497	0.77740738536966	0.80369665767739	0.872178055749426	0.750366434849858	0.244299483940961	0.885940207009471	0.832812633611491	0.80428540921795	0.666510195054018	0.801970811412512	0.755213535397424	0.87569873974078	0.62335129418832	0.794642246674232	0.751278491954318	0.93476974227703	0.679055470883097	0.871958208703415	0.528644200309511	0.864659204334972	0.733335270510573	0.763861654866872	0.823916121195691	0.518532889616691	0.602962004242351	0.805365907895166	0.511849929789437	0.825711564255426	0.67077219493591	0.833834074530442	0.502384114157259	0.657780985335016	0.837308615702903	0.814335183276173	0.652132100628808	0.68097731548867	0.631897750417144	0.598055088854316	0.729537529919294	0.647864817569012	0.685069868178654	0.748192413218516	0.698137869912424	0.63939545959046	0.682934093744473	0.563788391242396	0.770381623106114	0.837579688221311	0.560981022432462	0.170442582200644	0.812767545261749	0.843690057846975	0.536275192030966
PLXDC2	0.927626441858071	0.911107999585134	0.648183074674081	0.884153237802562	1	0.83215329161864	0.881864164256541	0.809507750202537	0.804469795126246	0.747781814038649	0.826728003716896	0.883582175081874	0.861107809018457	0.931113253489948	0.927072516178091	0.269200186499776	0.885637028823479	0.801433440837556	0.893203753435468	0.618355988721137	0.814307993584677	0.887393362167311	0.862874540940736	0.723384199446797	0.105825619019424	0.934564138340619	0.92991583416403	0.907612763705601	0.908581427934308	0.867957403690635	0.598396164545503	0.262019730770796	0.920013164984604	0.759222416280649	0.881978242194854	0.688076171678861	0.88789878421383	0.571322557635563	0.774470608230139	0.409603879762411	0.939477000654699	0.569898168816348	0.744206128908223	0.866187915264222	0.886057557546641	0.935872699403992	0.914476443561323	0.890037973192588	0.877403783634374	0.920812262024497	0.769465659522875	0.804039442495962	0.872604037067483	0.954711391552832	0.525745892534254	0.705381018011463	0.833800714368238	0.414066744877315	0.919474809483602	0.775556089474339	0.741351301064538	0.896203258323325	0.861617121783641	0.8843281937476	0.828133685396326	0.871403060510761	0.775385897824187	0.693299102665604	0.916837258113379	0.923399803191907	0.916841424589547	-0.000317903863269645	0.51738699345232	0.808257910994966	0.80045765700802	0.569956628497705	0.871405097035304	0.85611874514383	0.861165994275622	0.711573166126033	0.687277707036941	0.870608872267422	0.746162170973673	0.846521889733804	0.843795262302565	0.684670544685784	0.825219177580467	0.420086963892348	0.915975089267716	0.830334214108945	0.673626376259009	0.582001001173391	0.859303486817657	0.873267804469976	0.729623130953354	0.572241819672837	0.873625571512408	0.866837889983111	0.73471674962791	0.860499308760741	0.26923301027643	0.903869598585862	0.867933594435721	0.910514889049272	0.593838103301226	0.840735016564122	0.792557114218305	0.823877736264515	0.603210340854627	0.741638199684579	0.676291573101133	0.845665644439521	0.656428133138143	0.876728666112366	0.57698959071667	0.882610143805677	0.745371753740936	0.856135446281412	0.799966732556898	0.687283399816017	0.68575106061947	0.807140810208705	0.589737616929761	0.769168473365632	0.752259122446688	0.85654261276552	0.60235945022507	0.774050341910596	0.790818611638376	0.852325015209729	0.747579106553686	0.754883299955188	0.752725076040446	0.682969175191577	0.729234261856924	0.663556861223567	0.693671348315307	0.761313257340689	0.713291322324894	0.708636546406025	0.722587934111928	0.680902817941869	0.852412469899343	0.84534714935069	0.647825337371697	0.302408780024706	0.863533158344568	0.781449021006344	0.613599710425496
ITGAM	0.917506507262221	0.884055120698945	0.775094182381323	0.886535585683924	0.83215329161864	1	0.836499349126429	0.846402776488006	0.829290043673048	0.606473335286192	0.875911010072807	0.929940354089072	0.93714293414905	0.699919050587796	0.851630461379679	0.526299923608866	0.921281074958818	0.774442230783756	0.716734459861204	0.756956012369153	0.869823922715129	0.864037156082224	0.864807607136595	0.845808768928283	0.427573205520855	0.897205900064073	0.733059329199605	0.826664102638173	0.845663713732914	0.916025595861247	0.53997391020024	0.583707764982896	0.887330540852647	0.50741672567748	0.882047867995816	0.66330221955912	0.827159346954393	0.793836505720677	0.801561350030205	0.730831804899366	0.865967813010047	0.590567842724597	0.812910714259788	0.744193976848553	0.795221349523058	0.792716435615947	0.82649108942826	0.880664829185691	0.725108137617151	0.867381034425396	0.872619233989678	0.926931269550243	0.801178991738524	0.786331226455801	0.65532036233993	0.778930429670563	0.611984141518866	0.539786307509059	0.908303470795737	0.734250276087433	0.844200171478452	0.854799696275048	0.840317986910707	0.852292763044315	0.714865403300882	0.81145758239271	0.488432879809498	0.861796347520957	0.695980953043926	0.888573393758923	0.761723337176566	0.306726308868015	0.734479096153503	0.856136952102705	0.885227156580132	0.46004578186896	0.750866645151777	0.863103261981718	0.882974482371072	0.759694727001524	0.853178584136149	0.839700944728408	0.742756665433505	0.836583685851695	0.682234436552478	0.652579788857661	0.898812650364583	0.470539281381703	0.713095870804835	0.629882285865127	0.709471429906501	0.609394804687264	0.847676805618912	0.78346372110618	0.779346582838183	0.721963309830226	0.87108267883727	0.892509526163572	0.80264072993708	0.70374257784659	0.452079307925674	0.891796209701082	0.854723888735899	0.744767915833203	0.431242628025677	0.840738244542406	0.854520528814112	0.769420692443427	0.84739051587565	0.862029480988697	0.591991858849997	0.879894057739665	0.823207106372922	0.840154563270456	0.762354954752515	0.898274160456381	0.820446994016578	0.751761317039858	0.863142322348331	0.71300323366486	0.686899495154746	0.750774313080288	0.728380874438758	0.871180145180512	0.708176792026634	0.876779078327593	0.714079956183812	0.676330052653055	0.818443073734603	0.814228848061564	0.760607324583155	0.786182830120284	0.682759016047198	0.770839269002109	0.739963469269497	0.806438093793742	0.802513334444772	0.699972494172084	0.838369392245993	0.764047268410093	0.644531117132863	0.728904119635761	0.824354226773556	0.829461141886704	0.756680920163407	0.183658290867017	0.759113832182958	0.837764458836802	0.385547589048091
TREM2	0.914556150468442	0.878854970999051	0.846158144717347	0.841512178115769	0.881864164256541	0.836499349126429	1	0.849209389305783	0.845974580306799	0.707348744369331	0.959385927027468	0.96093032664753	0.895616448179735	0.748241553149828	0.838056518064635	0.429583161025693	0.928557951668923	0.627839231111055	0.695798680614075	0.665280530326742	0.887464831866844	0.819773846663126	0.97425126340535	0.743943805218451	0.115931273734891	0.816692701724301	0.794634924383113	0.798245947196217	0.934437685140807	0.887873040528734	0.497358812563819	0.299543128224645	0.824103249376544	0.548725515990427	0.932940120289139	0.528062605272146	0.751768586857812	0.581162529545802	0.834693428882781	0.515105243062136	0.88378575443422	0.551428184534457	0.64308688084937	0.786137246813388	0.843027829792802	0.814790840137875	0.943642339545593	0.908729656073516	0.788924764190478	0.872102026417491	0.901034115794368	0.85260585831855	0.784824919983259	0.876965830759721	0.621928590893094	0.829425048735672	0.659390981034155	0.596155256318431	0.847355549413769	0.889799980589874	0.782285155302871	0.828334758397735	0.768156228033876	0.890063073362521	0.708054768543585	0.783929862568436	0.530185839970141	0.721101058509696	0.777874635820434	0.846387097659248	0.847428665193643	0.128262218196829	0.676323835715328	0.882303871859924	0.906735275445224	0.782221764776795	0.855844889553013	0.780551218240988	0.868766907096754	0.770070097982763	0.742066725513509	0.748335651141196	0.765617038833634	0.837507924691883	0.70681101283329	0.494288913526348	0.852765161052828	0.398793813543936	0.697273749452677	0.696516330345378	0.769894298535499	0.574300838690602	0.874196364192613	0.75886729780196	0.771126694832072	0.685726964495055	0.924208679169602	0.880532345685523	0.807292868137841	0.785828181787556	0.265053301999068	0.891262186091367	0.803367801792928	0.900108298758991	0.442913126816272	0.868486059660901	0.833055319301811	0.836382576221009	0.710174022530204	0.827027028701695	0.527976408348471	0.852970589927594	0.791884066254892	0.807308564842805	0.661353626584939	0.851889368978211	0.89507019254905	0.714434623893456	0.678974497424601	0.828141141330068	0.763508008318813	0.802354690977245	0.746696033692304	0.914784296399849	0.719600865810168	0.822128875283556	0.709670504296721	0.74813033853189	0.893626306498472	0.837449013374746	0.669996941389362	0.815430684470249	0.663557755406312	0.797109813067156	0.705828782995591	0.850828298737029	0.815279935710669	0.570599772961805	0.778436820899389	0.712868715052382	0.642357774710917	0.708286230687159	0.79769778685874	0.87628558390037	0.677859772871732	0.188587186970935	0.782203806999897	0.916311039654952	0.381025906647251
CCR1	0.832438166070425	0.924954157318163	0.908188965584864	0.738731913355075	0.809507750202537	0.846402776488006	0.849209389305783	1	0.767531627888532	0.505399503364787	0.853811602029668	0.88871566685741	0.893841980772139	0.64591153387292	0.80135120804719	0.712291510601958	0.922415476526998	0.718070509795902	0.663101710820096	0.893493546596244	0.917433476580514	0.855131767168275	0.853025765347642	0.853282065177188	0.192058997487373	0.793177821275961	0.661309591975316	0.859660374685408	0.823567480447014	0.928445757827039	0.32129716782375	0.38699805453526	0.745596346155871	0.383451938315173	0.773164726566466	0.63109243995573	0.794393669255383	0.803280628128582	0.868805145975629	0.695338012158635	0.79682213719207	0.418910336070492	0.743317306341029	0.659559000645821	0.830331584937741	0.722572198499408	0.832591369923158	0.847171219049223	0.605232957270989	0.878866036195634	0.885256057303217	0.857334111410306	0.842490216959573	0.767099649567624	0.865678442326597	0.828514184225823	0.650904316256397	0.798579514082507	0.857490823631687	0.786906087190608	0.864681249213462	0.771854079724646	0.753488246069591	0.858355014038502	0.61980192011916	0.84333840625704	0.417012121044947	0.734832606442587	0.619699971001559	0.87243810196746	0.745343754462669	0.466074496082974	0.850759613420521	0.77503157479082	0.846195561657543	0.640914337256387	0.719945298320348	0.763614820688316	0.856155475270364	0.731326500921104	0.933845506649012	0.735708104631871	0.897701080834956	0.725848853168048	0.595556279328158	0.575101994652095	0.847307264370449	0.47558392275691	0.646956866667345	0.567538073324701	0.895550742428717	0.531331743926935	0.793829095801556	0.760943740673558	0.858578154383262	0.864402821896628	0.923751410339872	0.933512028051367	0.736294803551604	0.740402404867294	0.404395640737756	0.845351560592727	0.791136917543462	0.783843595706908	0.338248562804367	0.830371742538225	0.803957458381651	0.65934074399338	0.834040925494223	0.775347474055425	0.417698468935579	0.723591105584839	0.863967188611786	0.770626203086486	0.825193650460125	0.80549987455744	0.879330720409278	0.743171248132957	0.749831637308682	0.83822842215977	0.869012084103814	0.765828656740404	0.86235596675829	0.831972329465637	0.829103239736272	0.868563048096169	0.865375399346212	0.765200345263119	0.800425957982211	0.795758833510212	0.662802023354601	0.916981247026928	0.80085100877867	0.908424913279845	0.763038797533347	0.909553591862646	0.92029030948911	0.617063550129619	0.898719133602998	0.807905647115416	0.591243368370745	0.892975474164142	0.869962432896186	0.889330531637776	0.894478220516083	0.253079677063681	0.753797477316529	0.830759758268052	0.345688497617391
CD33	0.881998830078548	0.749710767258483	0.747345199979495	0.860976613278958	0.804469795126246	0.829290043673048	0.845974580306799	0.767531627888532	1	0.751888138381874	0.862232106517972	0.872450362301789	0.888974055318806	0.765071109157925	0.834073402982661	0.455899171246675	0.862141517713556	0.708102061531295	0.73960812364445	0.672593151447057	0.745708223395161	0.683872443182522	0.89405953488561	0.741297629266895	0.331507805566031	0.855085343083366	0.71051800967573	0.756858314284752	0.868208170487578	0.817533848362191	0.668809444586049	0.461891057148453	0.811876122079697	0.626436478007401	0.867314886781534	0.56702447176911	0.828404402870647	0.590639715693629	0.802104081759804	0.588775738336457	0.847495119376147	0.663772137860208	0.5985982854505	0.799443156457558	0.767200153995293	0.790675445352899	0.846777419858057	0.890243865416832	0.797501737457602	0.798881647298886	0.825763116023414	0.807487702214082	0.793599173285815	0.782013994092574	0.536337740463056	0.794634901585144	0.609111340074923	0.439856339662042	0.828643921191344	0.741118893151821	0.746207528398123	0.80420388961479	0.813825599585904	0.872322184650669	0.586756764458224	0.711463340308374	0.580075835110232	0.72927521638758	0.774473263843875	0.781946645953652	0.807066444938187	0.181437147504915	0.587914441489729	0.843138254814928	0.857249819914844	0.574566251209994	0.771605460934663	0.705401354351368	0.8304672521032	0.778028099383785	0.719746271843803	0.708440849606492	0.670505276037732	0.702173184573366	0.676830234119613	0.540426461170298	0.880862682134153	0.449672796055108	0.691939090656284	0.624551115142707	0.64228752825835	0.66238537600276	0.856021143809001	0.680017714297983	0.601556839404401	0.644630930895196	0.817988646986592	0.810831502251734	0.837832312183258	0.643112991210798	0.403318005701014	0.810884595870754	0.830366022076691	0.81854741415426	0.569579230288846	0.766849729206598	0.773056243180467	0.775119216218186	0.630771425001891	0.726071093576083	0.583360138087958	0.822798351326128	0.746101682869001	0.751097720190039	0.645406666400361	0.764134319879764	0.788624705619482	0.712989699260327	0.678091157586541	0.608862906722778	0.67270440461293	0.856774636780812	0.618078053707326	0.878214386682837	0.678900496303859	0.735265418967723	0.646876106691718	0.637336363271189	0.847752115243496	0.761749631987069	0.673517718172894	0.707346721149636	0.593637162763661	0.646673631954561	0.728081377155857	0.727944810971309	0.792316136130152	0.652481579199988	0.744879960432573	0.621479048299403	0.75610474458638	0.585295829344497	0.75927299624019	0.839179844542723	0.592336643027118	0.12888004047814	0.703451012360113	0.854352333304389	0.446101000800597
HLA-DPB1	0.812361794016207	0.550768817735783	0.441714644278956	0.795927808861089	0.747781814038649	0.606473335286192	0.707348744369331	0.505399503364787	0.751888138381874	1	0.705186275289903	0.654407164790813	0.688736753173068	0.82702861378504	0.735461890776016	0.0649372764632259	0.65893278861268	0.5548453359275	0.688120847438097	0.289610478276577	0.437910290035376	0.590528356146489	0.748000406757102	0.443574795125039	-0.00617779902336391	0.711083781980618	0.761698057377285	0.594218244092241	0.832618695378102	0.576163235775584	0.881650940332685	0.142630424697651	0.724797519219592	0.826953467465075	0.767715452731704	0.548848571480404	0.677433208396346	0.270332980105573	0.724421059963385	0.112992774700605	0.712988070139073	0.60380140335104	0.475052029182045	0.869023588227849	0.636407926744344	0.816622939279629	0.812032915451486	0.760690927657159	0.956577200050486	0.603583010001771	0.509275026346952	0.525038904495471	0.556893755447741	0.674581531189728	0.170842894943712	0.594347670819308	0.526456160504799	0.0859843559169279	0.655906219108574	0.651172162374227	0.404112087383035	0.649932643064725	0.701110613141187	0.733096586412236	0.719038622415454	0.618083410350945	0.733979552438402	0.449059115408965	0.856249753329649	0.565987918470515	0.705093909372032	-0.229610481464722	0.158492921808386	0.770993776056363	0.700317685726445	0.484806542278558	0.710199371258243	0.517320418991989	0.637315482512439	0.58656263944915	0.380163728421317	0.681147213451644	0.485508819242519	0.555910309869877	0.625346410006433	0.605023643461289	0.680286581042768	0.32962549130794	0.758876057243302	0.619047837128561	0.36429533691874	0.484816359988681	0.707696800019824	0.607388652349753	0.320414993007007	0.18092044495782	0.566274152519725	0.553082676613719	0.729278666840153	0.581286301362834	0.0765862528075119	0.646615558246352	0.684719909608007	0.687909533669383	0.826840024452694	0.638265009779735	0.541671667630184	0.76006300395474	0.242919347151812	0.468418765959101	0.734473753826128	0.721372815475027	0.359827248500233	0.674937920229914	0.246488984083761	0.601225235084425	0.599172897436778	0.636381458391504	0.580403113775574	0.338632762861489	0.380324106072171	0.693298414530664	0.278483393646415	0.659201286351826	0.529365386136122	0.599973024993463	0.344551740386472	0.499650180226391	0.822197380034516	0.679759310034967	0.463475466705592	0.439259253857426	0.429894527418074	0.412655328133777	0.608021882838362	0.399185052471929	0.485195616980642	0.638331888225851	0.489786300005041	0.34288097484535	0.60236443850012	0.301031118772536	0.527548105238181	0.721998915483417	0.287580868922518	0.0419508084888219	0.643682746702434	0.76322945359971	0.647560789126722
