""	PTPRZ1	CDH2	PTPRS	NRXN1	ALK	NLGN1	NRCAM	NCL	PDGFRA	NRXN2	SDC3	NCAM2	DCC	NLGN3	GFRA1	PLXNB2	ROBO1	NLGN2	PTPRF	CAV1	PLXNA4	CNTN1	DAG1	GPC1	LRP1	THY1	ITGA7	OPRD1	IGF1R	MYLK	EDNRB	ADAM22	PTPRA	DDR1	ITGB1	CHRM3	RPSA	ITGA3	SORT1	LIFR	LINGO1	PLXNA2	FGFR1	LRP6	FZD3	ITGB5	CD63	MCAM	PTK7	FZD5	APLP2	SLC16A1	TYRO3	MCFD2	LAMP1	APLP1	NOTCH1	TSPAN15	PLXNA3	PLXNA1	NOTCH2	DCBLD2	F2R	NCSTN	ANTXR1	TRAF2	TMEM67	EPHA4	ATP1A3	SORL1	BMPR1A	CADM1	ITGAV	CD47	ACVR1B	CHL1	LRP8	ABCA1	GPR37L1	BMPR2	CELSR3	ACTR2	DIP2A	AMFR	CD81	CD74	CD69	CD44	JMJD6	CLEC2D	CD46	RACK1	TRADD	STX4	ERBB3	HLA.DPB1	TNFRSF1A	PILRB	PLXNB1	TFRC	C1QBP	TSPAN5	ITGB8	SMAP1	LAG3	CD9	CANX	LPP	PTGER4	CXCR4	TSPAN14	PTPRJ
PTPRZ1	1	0.973391483036032	0.946048672503759	0.993325538710384	0.986381397789401	0.998026992485419	0.936871834636938	0.898520463891246	0.978656492083016	0.981374102172701	0.992851380158444	0.99142906086093	0.982874168247178	0.98870799288	0.915879904356916	0.878164515480276	0.956021212167811	0.855057849638272	0.946254367316061	0.621929560582901	0.866569285054326	0.992310769833729	0.970061583632574	0.919931866262582	0.98954998059791	0.819587444731066	0.952135734229692	0.8776740221479	0.921063016860018	0.834222816449083	0.981057200752225	0.976512378355979	0.899471947214235	0.987642798548512	0.898108534548677	0.985742717800819	0.707048225327184	0.812889630596137	0.972551767739987	0.946429900488044	0.948481040483739	0.84017502436535	0.811812310980568	0.980320999231202	0.966557004062471	0.877604959265781	0.910965435637281	0.879675030897635	0.930783016600175	0.919768127880266	0.94607393178022	0.925828189209169	0.98975615479867	0.867420999222426	0.89932755065349	0.900875367125018	0.948712240685728	0.677051362603146	0.933966962391511	0.794451689333763	0.946481464053504	0.788596652967359	0.872623481838657	0.90287571389177	0.985076875525204	0.845760333323521	0.989266866047639	0.964750179410228	0.903114372510036	0.85726345256544	0.971118134204353	0.941356552878161	0.954070687775929	0.892526246916934	0.973380628769928	0.987939942928632	0.802861770884516	0.964390520648346	0.973294252606751	0.856365078851656	0.983459068735073	0.857645963492175	0.914349644702791	0.938376364792743	0.861341629497752	0.77771377177436	0.439575340255035	0.86261075674096	0.969763251989555	0.705182834257805	0.955513562156539	0.694367228568917	0.713662632527547	0.904092613360213	0.988169599098322	0.712797249129193	0.883163491641789	0.934499770046117	0.962412241222648	0.854451581393313	0.691635184448477	0.939988259842309	0.985592224333798	0.935165688618041	0.685073065623654	0.946064852219189	0.874391348254532	0.942023699601244	0.616622123758562	0.642326481554821	0.921081704660535	0.915635579297852
CDH2	0.973391483036032	1	0.947074144839862	0.961527993299184	0.968345737238462	0.98293266593343	0.981724284851378	0.95234506541413	0.960395973784356	0.957502063343281	0.988091533461783	0.961650514928566	0.976673065060212	0.980054911622154	0.966811738433525	0.953944579967925	0.93416370865166	0.88804171634233	0.987422132248549	0.744363038170274	0.913698342671239	0.971040078759806	0.989130911060414	0.974418319027735	0.986573196428205	0.890731397127161	0.983142842804602	0.890190495011715	0.97767362270754	0.917894848152142	0.975654194011257	0.974617909710345	0.947965534208351	0.994930761864076	0.955087863582408	0.971392720246002	0.771457981699579	0.899404740809134	0.991842155101983	0.964380859077902	0.894231737590421	0.88673106657617	0.903432746161372	0.992644905922333	0.926037248870912	0.922981844928609	0.965624142428837	0.94127133475896	0.970643778808349	0.942981525203267	0.985262868325685	0.973968261816622	0.992604051339115	0.928889672872418	0.953239026579646	0.952550262322654	0.981955794658103	0.755978195168511	0.968969594603964	0.862930120561485	0.981867748933165	0.853034850012831	0.942180712816675	0.941377251743879	0.986620132275833	0.917532629195945	0.982721361302959	0.995699507092826	0.951730816183958	0.904068707124529	0.982199701121234	0.957261818055535	0.986305788662361	0.938569638129264	0.980837693958896	0.948116997195645	0.878300426136677	0.980383109462505	0.931261469216411	0.917214962278058	0.987212997594407	0.921392846930776	0.931769158209823	0.981332707470985	0.930784291265413	0.859327689497749	0.411061589193781	0.911952877298668	0.988893322894582	0.70384675863937	0.96103934042981	0.767913231455581	0.770728038926797	0.955666952862756	0.954653179309462	0.784041089217489	0.946612810660502	0.967247021387853	0.9370980985016	0.916642667091772	0.789623383011812	0.98012065328922	0.985204173587654	0.957511367402457	0.776804834488041	0.967056794073794	0.93550745376152	0.983994256351676	0.62498738995243	0.631440427816822	0.948468417076225	0.954634939676646
PTPRS	0.946048672503759	0.947074144839862	1	0.940480321436975	0.93825194451283	0.954946558608752	0.914725929400871	0.951464951423711	0.920342523251934	0.923501293674428	0.951092494462487	0.924473208555602	0.931114364513176	0.918139852806499	0.909384902551548	0.920933555375927	0.977437330415313	0.956058299591671	0.943522484648147	0.733067910878846	0.912054892653228	0.916641599899238	0.956432953219323	0.957052595095483	0.951195459290707	0.786782344738504	0.916862686593162	0.782954232755128	0.92448193367249	0.859141350897564	0.925172361750081	0.907721293855861	0.954109947196036	0.957613624350546	0.926189263121492	0.902938465958174	0.81562873956167	0.882954715737217	0.959988977360815	0.87005567587812	0.925656575479548	0.908568451536034	0.887560440435887	0.948769685688492	0.966400008614549	0.957301747133782	0.938088395536478	0.91184575564671	0.954339275771934	0.902300788465693	0.938356326036137	0.960126907603261	0.962736136000796	0.92282534327509	0.948993990192309	0.954538788222072	0.949046243849688	0.805846074599107	0.962390843552775	0.906508712697449	0.915466139619298	0.808166836094436	0.916445994319499	0.966889768372111	0.923575267909224	0.917597638579784	0.967401593137144	0.953508558435531	0.902203435034197	0.884426754508679	0.913574276330972	0.877369171927277	0.930885920031155	0.955083314562908	0.980625020809988	0.945460423320241	0.884410674023806	0.936874016943622	0.94766733865481	0.916170307042894	0.931452035414695	0.921913441824295	0.969155908269853	0.940573139027948	0.921625904229557	0.844482817407565	0.511021666973047	0.91328555488027	0.962343946984698	0.802636708301073	0.984113069097623	0.808738625446499	0.77239950588207	0.924981524282646	0.918466154741251	0.712823035725202	0.932002221458491	0.971215563049921	0.962894727124574	0.927810828393282	0.825419083768516	0.945432428181901	0.918762944915372	0.961776953240935	0.801068386846623	0.977643614987008	0.938724947181929	0.938197044711	0.676749549886336	0.678000018667562	0.971619361895567	0.933231865728347
NRXN1	0.993325538710384	0.961527993299184	0.940480321436975	1	0.995126503687708	0.991437039620685	0.910260492962071	0.888081411774928	0.987950566565191	0.989129288633311	0.990401122278641	0.982478119214508	0.986712536925127	0.979901674726451	0.890839525109163	0.858466538802959	0.964197655199338	0.860665067982673	0.924427946407152	0.601632525819341	0.872629722458866	0.98599919449798	0.947424514444346	0.899457340846416	0.982198531922047	0.779167976775424	0.922440323951651	0.832396423489009	0.900245985520344	0.8153691157402	0.987438605842241	0.956292664214113	0.891425303153025	0.975677277181212	0.875211374393982	0.967914848211105	0.693506016075928	0.788326038372638	0.960609795905568	0.918001722879841	0.966033640197849	0.842412370963441	0.78969615265709	0.966882892035565	0.963365971067861	0.869273331157466	0.888655877935988	0.873606590194017	0.907316164419466	0.928736385814199	0.92288816542545	0.914708233556926	0.979889236070925	0.85787289379483	0.884006204170943	0.888068386652728	0.927849543619384	0.67885945030676	0.911498341148898	0.782833731720153	0.92805654495902	0.771844131951764	0.854738755720229	0.893964409642977	0.969278826904432	0.83075794139849	0.979152925705046	0.949698398005251	0.908916732449609	0.834310219653851	0.949124398746472	0.90712869276065	0.931015081377336	0.878616940305941	0.966433168123317	0.976839486548195	0.793988741520203	0.944095902312045	0.983832384088554	0.851139774184254	0.971350625846438	0.844225063092167	0.917498320719192	0.913129540910033	0.841917846759655	0.752411348426646	0.439677270862447	0.838849262379851	0.958245808167492	0.721947396280874	0.952694309604927	0.679265072857246	0.686216805175054	0.884694490397579	0.995423820082334	0.68387711228049	0.865811985061515	0.922190983304628	0.974151138268137	0.845628570010983	0.673513038637808	0.921909417661802	0.969389098186477	0.935768077875882	0.663792999495667	0.931855179119487	0.862902234321917	0.925471528576515	0.610658177523469	0.63082929682533	0.915315103523361	0.885807723642799
ALK	0.986381397789401	0.968345737238462	0.93825194451283	0.995126503687708	1	0.986792659981495	0.914755530909936	0.90482112689994	0.992447721278686	0.989966335359107	0.990448284410919	0.973133492712041	0.993596550846414	0.979703067940086	0.901853113214201	0.877531071229611	0.965153246401913	0.877079742563682	0.930320085387416	0.632740388355035	0.898978795046305	0.979934865115855	0.945913796488466	0.910058298259987	0.980605689825774	0.784500305075774	0.920290876319961	0.820243994052649	0.90923479280553	0.837779000959194	0.995383555659135	0.947026128162873	0.905187248107101	0.974956199264149	0.886439946198955	0.959451496086516	0.71433992458439	0.805373145443579	0.966646191010905	0.914245425743809	0.961575670112268	0.868349860297954	0.81216949469597	0.970671833086566	0.953482105075281	0.883709916089624	0.899022286135125	0.899297771599896	0.913821963833048	0.947004584543171	0.928566749627991	0.927417992494961	0.978899363710404	0.879642068576798	0.898403244196569	0.896401680587378	0.933220443358087	0.71207871012473	0.908965373091893	0.796055784931085	0.932136217579366	0.78619872458678	0.870398494576946	0.904334584136825	0.966280032011064	0.851111794728585	0.975060281272682	0.956856078059376	0.935382958030304	0.840086252206211	0.947549181700934	0.896656507665277	0.933873969602084	0.887924183253778	0.970043392066921	0.959318323740008	0.823622334285522	0.939982745937131	0.974694781332247	0.875871859523971	0.972987458134993	0.861459274567375	0.917731222837132	0.917328784521273	0.860719339102646	0.771033826385848	0.42644036506631	0.840498167505648	0.962291028851488	0.710292290364349	0.955065530467442	0.701780500599071	0.693459566932334	0.895066186391941	0.993475542601978	0.700740246433533	0.883462559120788	0.927405581499582	0.973346496793303	0.862878106912784	0.701731579133382	0.926399024448788	0.964466703619823	0.950839670683575	0.678143724469254	0.934014079302411	0.881396193030705	0.935058731540458	0.609278945691583	0.617360340177257	0.923466358988808	0.883358272283695
NLGN1	0.998026992485419	0.98293266593343	0.954946558608752	0.991437039620685	0.986792659981495	1	0.948019487491177	0.916241475340705	0.977040227396767	0.978956373937167	0.995548057164082	0.989059166558614	0.984637685524665	0.989549274587344	0.931929959837866	0.898190877095763	0.958321544851584	0.870288581139761	0.958345157025019	0.648868439387529	0.882530395715215	0.990534091530064	0.978015231796995	0.936280900523809	0.991640259071828	0.834095603071093	0.960914074811733	0.880694315274905	0.935765507100461	0.853666375526281	0.983211208376485	0.976483278473043	0.916029212125016	0.993868935773224	0.912915458701675	0.985248502925374	0.726172674505754	0.832860188306896	0.981420932067067	0.950839922275493	0.943249453822652	0.853562010705412	0.836087224378606	0.985981941357722	0.965899059057711	0.893498207186951	0.9253140484951	0.896383504606836	0.943476678702626	0.927237548236574	0.957231805255151	0.941470743709433	0.994855309319651	0.884681541447644	0.915035189675538	0.917055118209377	0.960120920405986	0.704907554777318	0.947251308752538	0.813719705073981	0.955737821273455	0.801024906225578	0.889433649615777	0.916695795870602	0.987637117115385	0.867530220169155	0.993996690802395	0.974465366036466	0.917728793380049	0.871898372872275	0.976444116708844	0.947464105137569	0.962909205575525	0.909821284655276	0.979824836815993	0.98392001984765	0.825316989281569	0.970753412327824	0.969688759399345	0.872419904644822	0.987955628174839	0.876227966906369	0.926780886753681	0.951277934268861	0.880214554084753	0.800676793134463	0.440654602800798	0.878343578703067	0.978794103155594	0.718399878326914	0.962659747876338	0.7153997895025	0.729826413665245	0.918835632184249	0.984147761161316	0.729906868438992	0.900607846804751	0.947881218489308	0.963461587357937	0.873712224722904	0.719543804938731	0.952946358684646	0.98760447252485	0.946737477807585	0.715987426633752	0.955411192232436	0.89268690463719	0.954607004867637	0.624016236065951	0.645455064398286	0.933332169803329	0.929050810786955
NRCAM	0.936871834636938	0.981724284851378	0.914725929400871	0.910260492962071	0.914755530909936	0.948019487491177	1	0.949244359104958	0.917602375818346	0.916259030404399	0.953635206761504	0.926447975944761	0.933103297867837	0.957507204423237	0.983221744714789	0.969026923852163	0.88162435722128	0.851917730273067	0.992215981698405	0.800016519636931	0.899040290470717	0.94159833513931	0.985099380249058	0.976858007885045	0.967619603512538	0.943524107698928	0.992776209567869	0.917449406588675	0.993932195957724	0.951892398636746	0.934161576355423	0.972503244501832	0.945391496054984	0.970549649786151	0.979192618127562	0.949641959355176	0.783065478530778	0.939246738073943	0.978585147251226	0.980112403718176	0.819521931988494	0.881213797450399	0.932973698712329	0.98040251083218	0.866995405774529	0.920999386926679	0.984147036329722	0.942193461721068	0.979450190432281	0.924156593330654	0.995310295288606	0.970987009136877	0.963838228939338	0.939276432092695	0.960606182547229	0.944690162909366	0.986477728977428	0.74974273950276	0.971697026890619	0.869578864218144	0.99418937636462	0.907125502982618	0.964586584918607	0.928728699049307	0.974362735559935	0.929064080040241	0.951796361485448	0.987658232117115	0.926951697792543	0.919175134000019	0.982897762774997	0.97208950431274	0.997422659284225	0.937657136531037	0.951874067745271	0.910182715059258	0.889208197105021	0.986657150755534	0.866593534763693	0.921116260966529	0.965623673329144	0.933952027178284	0.898085659195535	0.991171031018039	0.949782950520368	0.895599976858801	0.384602521039013	0.935417640504604	0.977536629007821	0.654150497193305	0.936705684313364	0.784956196065657	0.797637801017363	0.976472219502225	0.907405576400214	0.826480793496238	0.958987518164778	0.960336343419145	0.87576999541995	0.92270618317104	0.814490006863618	0.987798429375571	0.97279341127149	0.928161492051883	0.797872467650936	0.953322350542593	0.94164587187773	0.989572745584895	0.616104996169306	0.622444009411817	0.934612323987317	0.976536949039641
NCL	0.898520463891246	0.95234506541413	0.951464951423711	0.888081411774928	0.90482112689994	0.916241475340705	0.949244359104958	1	0.893747204117597	0.894101041826961	0.921753172663178	0.875876087168765	0.910642448657387	0.903084185851684	0.961338568022187	0.985101860034237	0.929503175368714	0.954794702509235	0.973316310391563	0.866687659045954	0.970201560915149	0.8808578976172	0.954580187285124	0.98208122813421	0.935727486609692	0.862184152454043	0.926862635272412	0.777508117765861	0.967633110682973	0.953825568917187	0.912679565774683	0.893409857188944	0.996052946632989	0.938344385540144	0.982542119780535	0.869746625974312	0.907459320041359	0.96004192665755	0.968425668875195	0.884092132350453	0.847763598592362	0.963036500213678	0.975163185840159	0.948598000909423	0.883943969216139	0.985619654247392	0.982920931747511	0.97978051039182	0.982404352767796	0.933317084779534	0.96835298121084	0.992773944463542	0.93663571557349	0.986399501627916	0.994577737482691	0.968877150154236	0.974331187902356	0.899165186622459	0.964335977474235	0.954582665523226	0.949189047861662	0.895428688518579	0.979900364553002	0.98725995360353	0.910450219289435	0.989492037360277	0.933132694741208	0.96790228847212	0.94613786660477	0.939481361732863	0.918948061223655	0.874249627170389	0.953278365836022	0.991788434729122	0.966008362228806	0.870552274491251	0.969086609913784	0.942289943464462	0.868272187571029	0.978407928970596	0.922369008229759	0.991384764929058	0.948848780056027	0.969451991595011	0.990541666825045	0.944446282360191	0.508225962509466	0.960395405378424	0.973157401079547	0.761783481813548	0.972009769999317	0.911629074820999	0.863481197857197	0.983969208044122	0.874779759678925	0.835741676935719	0.995031618706631	0.980368036691377	0.906111511784399	0.985710028915136	0.9339087313569	0.976062713679924	0.902900050441772	0.982666955131009	0.886224288421722	0.974569455068947	0.996292075686389	0.977144654836482	0.720811266271628	0.688121233648098	0.988574813988355	0.957526871116706
PDGFRA	0.978656492083016	0.960395973784356	0.920342523251934	0.987950566565191	0.992447721278686	0.977040227396767	0.917602375818346	0.893747204117597	1	0.997009663133997	0.984905215280227	0.968792086580819	0.993410651020113	0.98195043961326	0.898070639555131	0.870415484875226	0.949118085604941	0.861770843304918	0.923860505421813	0.645134146051145	0.903521606457381	0.983019656793147	0.934482446898298	0.898819549134711	0.982174354739383	0.79641092800486	0.915159606905883	0.817820416240887	0.909531109588441	0.850510297616513	0.993416246211913	0.948731094382704	0.894418234983571	0.963262377612514	0.888578294669285	0.952168131816047	0.698955778362099	0.813160557002801	0.958664377224549	0.921323176186931	0.945002643746246	0.871749887350316	0.807788053286178	0.971621968755787	0.923027503946912	0.879853316112168	0.899699471691286	0.90108689098212	0.905403752855452	0.966890052418468	0.925210623692346	0.922171505549283	0.967637396049067	0.882149143967034	0.893569574063778	0.884941264094329	0.925304147823195	0.686905954614439	0.893718236471794	0.777835170880629	0.939700280558428	0.824598323244626	0.873745637661237	0.884876735237119	0.964682740041932	0.843591445625143	0.961648828078532	0.95058590292964	0.940728007705522	0.828491526488492	0.950468832857178	0.891951174335541	0.936077463650923	0.871881901894615	0.955289272351572	0.941516935430437	0.821917908380898	0.938781226322355	0.95701377502818	0.877520099037972	0.970855533573626	0.853997151503453	0.894313537858868	0.908312338967399	0.855526081593149	0.762973833341088	0.401770566175378	0.831950810619721	0.955535427876858	0.669703344268121	0.942722678836041	0.685404371124168	0.678699411412206	0.89580998443612	0.99288628356236	0.698780629459611	0.878689476432948	0.914338342237473	0.95148896050241	0.856517525881148	0.686269487552099	0.921722866457182	0.963676134773588	0.939722370463195	0.644331730253785	0.917552125988159	0.874578609805345	0.933378280639776	0.59068668989733	0.595610322085362	0.909422758391827	0.87372210712986
NRXN2	0.981374102172701	0.957502063343281	0.923501293674428	0.989129288633311	0.989966335359107	0.978956373937167	0.916259030404399	0.894101041826961	0.997009663133997	1	0.983516134665262	0.971827276668943	0.990638963307919	0.98124497624469	0.895825398656112	0.866132026594303	0.95005397033174	0.860010461647377	0.924532262586472	0.633231293080794	0.901335566309817	0.985839742846462	0.935919731126785	0.895381456932605	0.982454206142833	0.787903463243861	0.91634592899519	0.819000482127507	0.907045236000731	0.840461464452448	0.988958192891228	0.951637061576712	0.897784862733437	0.962345443564725	0.887559943546699	0.954894812472227	0.717118519880226	0.809886954048544	0.957135390803129	0.921622337505751	0.942588346219718	0.865237857082441	0.802556077758919	0.970306486182592	0.929172515667216	0.879867739577337	0.898633316671453	0.891855021213334	0.90570903426847	0.95986855778545	0.925218904146629	0.922271888477595	0.967269231956072	0.876832877568854	0.894268668890811	0.882565099495206	0.926023853587363	0.678962554540665	0.899527422854897	0.780479659312619	0.940524993966078	0.819254030669806	0.871296663067197	0.889483772542044	0.963643533812793	0.847062965663928	0.965340080353633	0.948389086429556	0.934427306407163	0.846093596496489	0.952306499734672	0.894897386539689	0.93530502084861	0.879726553546071	0.955163020060931	0.948541068398853	0.81603937409844	0.94308111902941	0.958441908526811	0.870249814222618	0.973196103393019	0.857065665376453	0.903392451185796	0.910891542035369	0.85485839091021	0.766917330715191	0.455257042738675	0.845910869167048	0.958368434987593	0.701595546476023	0.947804423685933	0.701383814665275	0.708037417876639	0.897744834712668	0.990933627399187	0.702706754825323	0.878098282377805	0.917103673732324	0.950583648375643	0.860368885798664	0.689130836053487	0.925420379575594	0.964248720416291	0.941377476049163	0.649874080818069	0.918349706555177	0.872686031846343	0.931478473026727	0.634063611698393	0.642133387110422	0.914678760229801	0.879974121809786
