""	CD74	TLR2	SORL1	ITGB1	ENG	TLR1	APLP2	SDC2	CD163	LAMP1	ACTR2	TLR4	HAVCR2	SIRPA	CXCR4	KCNQ1	ADRB2	PLXNB2	TREM2	TSPAN15	KCNQ3	ITGAV	VSIR	PLAUR	CMKLR1	PLXDC2	ADCY7	MERTK	FPR1	LRP1	AXL	ITGAM	GPNMB	CD63	STAB1	CD33	PDE1B	LRP10	CD93	CD46	ADORA3	TLR7	TREM1	CSF2RA	C5AR1	CSF3R	RHBDF2	RXRA	NRP1	CCRL2	NRP2	PLXNA1	ITGA6	IGF2R	ITGA5	ST14	TNFRSF21	ITGB5	STX4	NCSTN	TNFRSF14	NCL	ABCA1	SELL	IL6R	PILRA	FPR3	NOTCH2	CD81	PECAM1	AMFR	P2RY12	PTPRC	SDC3	TSPAN14	UNC5B	BMPR2	HFE	LILRB3	ASGR1	LILRB2	CD40	PLXNA3	ERAP1	LILRB1	MILR1	SCARB1	STX3	PLD2	EPOR	EPHB6	ACVR1B	LRP8	INSR	CD226	IL17RC	DIP2A	CD47	CADM1	EPHB2	RPSA	TLR6	PLD1	CD69	NECTIN2	PTPRA	TRADD	APP	JMJD6	SORT1	NOTCH1	FAS	MCFD2	JAML	ITGA4	CD44	RYR1	ATP5F1B	SLC16A1	RACK1	LILRA4	SMAP1	CD99L2	DAG1	TNFRSF1B	PTGER4	TSPAN17	CLEC2D	TNFRSF1A	DDR1	TFRC	ITGAL	EDNRB	CANX	PTPRZ1	PILRB	LPP	TNFRSF12A	CD4	C1QBP
CD74	1	0.583955429954284	0.32883796981409	0.631015478546092	0.414725526822622	0.453473770468257	0.83804422343127	0.393453224987908	0.680157171096355	0.895130784080779	0.861147954273794	0.845811986807169	0.564505768192451	0.763459792198286	0.732049623146122	0.210864106110843	0.323337673359337	0.395281537899851	0.585805711418263	0.17086385457703	0.258798192347136	0.264843952633761	-0.191138526561403	0.855937013820561	0.764295119904314	0.72746647205954	0.746334728250331	0.871359641039934	0.213082058364969	0.808921159615652	0.924522391039281	0.523291687619833	0.8691550683983	0.829446361572726	0.739342482308402	0.653660412374615	0.311471010001573	0.80109730247991	-0.0351110202428341	0.900978282674522	0.855767092796284	0.785227005736399	0.28475242547509	0.654087091267204	0.880596620757196	0.740319657859705	0.266863102943388	0.741603543506465	0.643200114101656	0.76108103531279	0.720951560170265	0.792298366500238	0.542360262219813	0.860657055629369	0.66328080217468	0.884264802519483	0.878351569378634	0.754035219187915	0.812892541492039	0.774540137285622	0.888767523146979	0.746174456045708	0.858360200841667	0.663111365244329	0.630485906981074	0.703591812471551	0.918705860642746	0.803501160959117	0.834449095907209	0.881098201241155	0.857347775187814	-0.0989480437382491	0.65823480772062	0.715494337842733	0.797948540657494	0.196024929832467	0.518322057402503	0.704705493263665	0.657517586260494	0.765485477927188	0.708255654160571	0.524895546877666	0.603955965572099	0.820840095844443	0.571357972825347	0.786275693004163	0.88386995364132	0.852118305492217	0.513777968949881	0.488574503837822	0.651124307590892	0.590694592786669	0.204802685274213	0.403839415284321	0.144815372326033	0.61651862310805	0.495901951697002	0.820323590788824	0.873639540835166	0.76555040059387	0.789200348626639	0.423880906995067	0.71174620121587	-0.0873192325459353	0.499950737197519	0.519281667052855	0.834077679298869	0.424809696860459	0.382397157861564	0.513645773109185	0.579750652697561	0.218779209197882	0.741775268870126	0.545172466780555	0.658936779838598	0.693426701244521	-0.165700867620455	0.814124235759434	0.494260234059634	0.844634965365806	0.88070343303072	0.894941770980204	0.654248591269768	0.231929604461414	0.766045925133304	0.878237620797197	0.737887914176905	0.218349532616208	0.683249802571866	0.128571865798252	0.716774105172281	0.386003002494147	0.483242031258164	0.807947801423875	0.00477377059696904	0.37666017436472	0.679938279879391	0.350675055403197	0.689955722004751	0.793459155978479
TLR2	0.583955429954284	1	0.873296959232511	0.859624361992405	0.817323392805116	0.852063979821931	0.750476712430163	0.799279240261521	0.877063087585097	0.568718387023086	0.806025835558302	0.461416653600907	0.919937880847312	0.807358258098428	0.333280264009268	0.784468598554161	0.721432488795108	0.776120561142435	0.894905697434717	0.78173705772817	0.837322925456546	0.860626724688513	0.220986576538919	0.49483173153639	0.615822083917849	0.895800190442888	0.852618514588413	0.753120013885368	0.826502682397426	0.749241787984254	0.577699583172377	0.871936354424675	0.320750650300567	0.729795020807214	0.79683516561687	0.839481915088969	0.40787859637364	0.787367289209058	0.386792222804091	0.697465146241048	0.751024931211436	0.778490677803789	0.790008297501607	0.882537296961387	0.675744243499138	0.851914568405763	0.8481377823474	0.785453127369166	0.763879871414964	0.796841421813645	0.813104319464945	0.623919991661273	0.865628799307666	0.603150400415176	0.791982765201764	0.532984238026099	0.362760510029207	0.707661339149154	0.802843417563258	0.76524125463842	0.404676361487927	0.851370717850481	0.5034623554117	0.481348801027954	0.804282593334702	0.850881365900925	0.500038230157153	0.485505157986197	0.809264724994293	0.345769695903627	0.421472759585503	0.645522333919433	0.928778328863095	0.360206889367814	0.829325034388915	0.797513047992472	0.788228290765078	0.630099096554747	0.130943604290827	0.0530727792735633	0.0649207702623526	0.807642321146787	0.717904285062895	0.685155759994064	0.804264920361974	0.752421227960102	0.560850258716427	0.61889315823066	0.824721097828878	0.749718160279726	0.651784815982789	0.777304736982009	0.770903104982857	-0.0320470367478579	0.716016398453873	0.629421802035901	0.764267627568448	0.723129650485464	0.542181036972894	0.690512069423078	0.810406876129148	0.827913489867976	0.78948399721072	0.476172401166264	0.811018480192798	0.688582629421838	0.742687751671533	0.448380394574627	0.819925587385068	0.867898584244643	0.51112663082631	0.722344039685486	0.81076633217202	-0.107846803725009	-0.0877202257957439	0.090382635176364	0.47137298670774	0.791952139854725	0.732456430873969	0.786511828132855	0.509762912314248	0.661427199373324	0.626872355755862	0.384632001256432	0.817702659632022	0.575771729162384	0.643445718212888	0.528950861051966	0.864345838173923	0.225580338491925	0.727020250392266	0.815665028908185	0.477524817466249	0.735891407818269	0.0808568048332651	0.610076742583779	0.823761485404175	0.760446842336808	0.881908891837112	0.784767385012803
SORL1	0.32883796981409	0.873296959232511	1	0.833873064504948	0.913315930529958	0.855308648816057	0.624158496504293	0.787677645502594	0.827276941236325	0.396584893611646	0.684747671728772	0.333439358958678	0.904028128187941	0.716644903538632	0.0355219359340488	0.920347030878908	0.729140330842764	0.870842757946314	0.889627431345372	0.86293546143797	0.964467678229507	0.953587642927389	0.340196604807129	0.299878216481018	0.501440586168129	0.83771832335516	0.761706020975174	0.608863762491977	0.948876620126354	0.643564452112639	0.382443715828443	0.896712350466953	0.0778451332946422	0.61897385132095	0.7383192178069	0.787347971001931	0.528694448590382	0.648464038282284	0.389916071747005	0.518485739278385	0.615032979643489	0.640703054670095	0.847162324579664	0.845282296826546	0.511179715731348	0.758602293181562	0.931359589453576	0.7084157488442	0.730041275032085	0.677478142297156	0.719600308381714	0.548154038727488	0.848552132434549	0.429409777934059	0.74224903631364	0.353133966613083	0.133404300314097	0.622793839279787	0.625446650375395	0.666034962502404	0.14412822289426	0.758581806081674	0.289127901688493	0.358824456776211	0.761016428395258	0.77461112502009	0.278789513648939	0.349167591744341	0.693443565923071	0.0887332338204715	0.241683101811817	0.842094454331578	0.883529474091164	0.211075692584668	0.681681886808209	0.926864909288318	0.820154550298197	0.494500903810815	-0.0734467584179661	-0.200716109603978	-0.21815706132075	0.836340445749761	0.713356102710194	0.51754344301866	0.763480663457172	0.667586709022036	0.36943454856045	0.470588544877573	0.837092225785026	0.666954260345405	0.605485829507293	0.749147149451171	0.87640837491597	-0.180434568788636	0.84725104464778	0.622765499827058	0.767943631599747	0.553000947789055	0.36030266747566	0.567080036395888	0.704929136036713	0.890687853850988	0.636379590964748	0.64226103353061	0.855991243610207	0.64742025271598	0.598900658305417	0.378851427197274	0.823636807671922	0.869126655516273	0.424010208300673	0.865152383223259	0.740063332929422	-0.369734303628015	-0.401469731240396	-0.172478827369771	0.610188917554963	0.659473130185503	0.742994450300636	0.642467403323704	0.284249574540742	0.475115859245551	0.538051195062477	0.423439819493192	0.697859020963915	0.382438796684301	0.502055178389632	0.515175666257638	0.824203530361029	0.231644267612437	0.617248342166877	0.848368442208995	0.431377999043265	0.635643509344157	0.126554835317121	0.615459610743921	0.767558110633267	0.852553961823075	0.805292547372688	0.674407198240572
ITGB1	0.631015478546092	0.859624361992405	0.833873064504948	1	0.914780975388041	0.801423498150929	0.896213973784289	0.810759223198791	0.949520356719655	0.738436887892997	0.910205312641685	0.643161000966012	0.957913394479095	0.923784372404382	0.148870432030793	0.74733712460213	0.497538842881846	0.844064687445182	0.972878857326699	0.715394239536264	0.825731231554149	0.830123075461954	-0.103496558232649	0.667698310102909	0.606943003860546	0.957057888809581	0.902045225266237	0.787141360028377	0.752548371202667	0.897201208685743	0.699058554902969	0.942698933469725	0.500964300954933	0.890327864009121	0.892559637437845	0.912157080169099	0.576836737092715	0.881464743010607	0.274154340368497	0.815305056498829	0.863421638093391	0.823092242368043	0.831044276585087	0.82808324130679	0.783949581920713	0.812556055379036	0.752604329694818	0.885100346348049	0.890204904044969	0.84990720683301	0.949284132872698	0.833426145248151	0.911769247832114	0.76633760983422	0.895343455222954	0.720597775501667	0.518439329703431	0.809008412378616	0.863844923869239	0.892951489843961	0.549125472798145	0.882521825560458	0.651970603089492	0.487132914190616	0.91331124158817	0.863432511873327	0.645603406332315	0.677065397571748	0.92513684366802	0.459523558676854	0.613794257024193	0.492751999434948	0.920814785389268	0.532683571628318	0.876287314588172	0.742486120462941	0.835713070224298	0.6801423507862	0.187582340137128	0.224525158124	0.147063287604725	0.839425088415502	0.86302851363896	0.761232914557891	0.740392329512037	0.850964111893579	0.713089687905567	0.727755870733876	0.839843572072761	0.669311066755756	0.810324873591097	0.836792303267628	0.775887341135265	-0.0894931699030716	0.637714993386236	0.769215649775895	0.750047701810541	0.860065394121726	0.718330620285392	0.799795089845988	0.919987878252814	0.849918161343016	0.819216145932394	0.274449833921963	0.891343375814239	0.766681479442098	0.874721320098972	0.539993727235653	0.65230747612008	0.877189295632071	0.596236529669617	0.76292103583265	0.94766143788946	-0.00691434865165136	0.0265787171205542	0.277082637004623	0.269374049131497	0.924924171531484	0.834291089176935	0.886777726143537	0.649368807251543	0.806199406755432	0.723326983356619	0.492532507888108	0.691763803413316	0.688212037309263	0.762937766601212	0.58779058226337	0.895491806717098	0.272876936268382	0.831082552560201	0.889411758418918	0.603817203420375	0.88781055372217	0.164420932855819	0.608761854322073	0.906449454451122	0.876608120819874	0.955101226835431	0.877688559638998
ENG	0.414725526822622	0.817323392805116	0.913315930529958	0.914780975388041	1	0.844119117629093	0.734974006202818	0.780894781772344	0.888493489539009	0.513827610151981	0.76460496344716	0.45197090422632	0.934609658246961	0.813337257592147	-0.0251592506876708	0.882425302248738	0.551688811474378	0.8801243692765	0.93265790091712	0.810833698025011	0.891339108186139	0.887731899089705	0.10286020881695	0.433907758006593	0.481218221156085	0.872503980377051	0.806875756430767	0.628917653705855	0.863977752796071	0.738704893767021	0.477997525285909	0.949165583353005	0.224248345461278	0.716641222039931	0.795290178917764	0.796048240111575	0.582826424681651	0.719954342081893	0.439848874016021	0.600442207156987	0.686675679041052	0.672487558039876	0.904284335823873	0.787082095259551	0.603897433926521	0.750202477293668	0.832562512959131	0.76019605365609	0.803688134400757	0.742018240126676	0.807412898082692	0.686081146525822	0.85847319059951	0.55501989651579	0.813389965787598	0.514974130053033	0.259038375604479	0.699313876000207	0.680822414605951	0.754383563511983	0.28068938088693	0.753016107777935	0.400572948964984	0.390626515884676	0.846591178887086	0.78972282189513	0.419293015181586	0.454768395455079	0.765486597592955	0.206353684421145	0.368692426532174	0.678857937472607	0.881594263285026	0.295206458905108	0.734689738264412	0.88062799302349	0.803833914241685	0.571016516970832	0.00815508715792726	-0.0237461942955845	-0.106969763859938	0.812005616794066	0.739074463673696	0.601734511655455	0.748632487187138	0.74485613086043	0.473972199260987	0.562927846586106	0.822504337570732	0.558419928633697	0.675758149412195	0.788186144921221	0.890687803491012	-0.203328714911201	0.755181828577373	0.675541134557934	0.673971017215908	0.664604318171568	0.473724743723652	0.601411882897959	0.7823235705025	0.907385252352753	0.719365379186676	0.46751427318547	0.871024319052858	0.640378101881889	0.701251539508913	0.402664930081969	0.685630859905713	0.845769180548044	0.443256937352527	0.867328028687582	0.825021087357058	-0.210644000918604	-0.225819148391519	0.0168413653365826	0.459757844417672	0.761852186285544	0.757914264906285	0.722030819961974	0.376088898170004	0.580088584287641	0.587673218500967	0.446484750378501	0.594216590088147	0.473507171656353	0.572049489556204	0.547719596882725	0.813949102013144	0.196429197916999	0.656892605815222	0.940049448339497	0.460845169932183	0.710455839318311	0.101074178863955	0.523544844879441	0.809699538723631	0.906980987812969	0.875262524645316	0.714037779887934
TLR1	0.453473770468257	0.852063979821931	0.855308648816057	0.801423498150929	0.844119117629093	1	0.658962571927666	0.687300325977648	0.805585746887995	0.45535035578151	0.711300306171966	0.370001472282103	0.846415096099547	0.744926452487559	0.12043213729119	0.803454333351003	0.62005915289992	0.806980399664102	0.84905455895026	0.763398067025749	0.838976095748694	0.848617300508819	0.198064431665175	0.357743172643124	0.484359530473195	0.832811859854774	0.797014654020534	0.660387942704124	0.816264699012792	0.643939199114123	0.499107155204622	0.864048411323893	0.180907787180546	0.613784439834333	0.74942430750947	0.759794798397739	0.500467725994995	0.660529765031499	0.317853794281599	0.574575761662134	0.630668974478946	0.712011473768006	0.72777655547055	0.811123962576956	0.564092560663208	0.705799358639711	0.831371468015704	0.681844709491486	0.761540857885417	0.677912528263117	0.72972202281495	0.536051628304796	0.828202008322748	0.479965497251887	0.696903588371132	0.421933121963416	0.212535015958528	0.63320090826389	0.668547752631657	0.697395417231	0.297355015664967	0.738873991171397	0.401677315123623	0.326847085279296	0.789217018141586	0.766000057369918	0.386254784435094	0.343643105786123	0.701407614100456	0.199935878058747	0.361987718527949	0.67433188963231	0.863739899340214	0.239564925674314	0.697640737469324	0.833611785721717	0.740747922091381	0.437715234222695	-0.0382068905970178	-0.0461965412294354	-0.0418438574646739	0.75991423816857	0.635028822435975	0.584684942843597	0.739711872395043	0.684127181344034	0.416130229218136	0.511268669319095	0.786109209132301	0.649814222850682	0.57587123882662	0.61387322296809	0.790084001821897	-0.0909657841624551	0.722222398626795	0.53371826629291	0.62911681243372	0.601230354889086	0.425267834304468	0.559446951086798	0.689015933634261	0.804747454339069	0.662233931271623	0.507155973680166	0.739429555819855	0.603801590566147	0.584805709183906	0.343405284023072	0.732475033529179	0.798143332852677	0.46438094709037	0.708439106533813	0.721634210508534	-0.294312851863474	-0.173420580451686	-0.0208903454643129	0.468612970445882	0.671763404122951	0.691337158944552	0.654023399896296	0.333593367460689	0.520174338489926	0.480384557754816	0.327992531352328	0.657853800286668	0.433173111444253	0.483122171127266	0.576214664770118	0.760960436560174	0.148944147587965	0.578478312864761	0.818265946301575	0.37384627362423	0.649315635731879	0.0356390791320881	0.463838439963798	0.732766895357989	0.749397760646091	0.808540458051045	0.659098184406473
APLP2	0.83804422343127	0.750476712430163	0.624158496504293	0.896213973784289	0.734974006202818	0.658962571927666	1	0.626486815148799	0.908679064913857	0.936884340293614	0.973136884952921	0.846154460931261	0.825925745863199	0.970866469958313	0.382830941401809	0.502495091734698	0.364469553328635	0.68971435422982	0.83664763015746	0.451286369847055	0.600049341925982	0.588584247484544	-0.289763169582813	0.904908479309004	0.791278401967862	0.925558690042917	0.901368435733085	0.8956694029911	0.516236035812874	0.981774250524663	0.896865960370411	0.802068498631325	0.795155425178721	0.962686645050151	0.903772214924891	0.841307329689903	0.470399606014545	0.954548062352439	0.0988366776114958	0.92955982828928	0.960125680719326	0.894823631955563	0.603764203879743	0.727960928325228	0.945629307691406	0.800597829888402	0.522790459714013	0.915300974805993	0.81950285798896	0.919368950798884	0.930781431043526	0.931524980256238	0.827373304944126	0.9597267083389	0.905331013463641	0.919105287114273	0.809969026978463	0.913404530315837	0.92409379936896	0.944787033401429	0.790284123135757	0.877273576461887	0.883208131984671	0.546843249119996	0.90741429364135	0.838036405211103	0.842668788265381	0.833938609886506	0.953855948450407	0.784833585828759	0.827739638641623	0.179046130328723	0.841469404644811	0.760795377678338	0.92093887036587	0.523907032200629	0.790083984334296	0.81468174102516	0.529213882640448	0.58720739280033	0.454872130893651	0.740632466105379	0.887319647893611	0.891817014069627	0.717143166557314	0.882149071266003	0.913471282845086	0.913564537777288	0.749510290159881	0.61575531311331	0.788443976881049	0.83328582694151	0.545541338223678	0.108204231642975	0.387137968108252	0.834716082494469	0.680882213846642	0.949465144635796	0.906532044742107	0.880910858422165	0.918927455706221	0.713630121275845	0.884184677013993	0.0216517565315863	0.742023171475263	0.730709989832115	0.920145849683885	0.578044927693964	0.538296569187984	0.787157611437745	0.708058735846015	0.53478668789456	0.946108020058316	0.306270474406367	0.341919928210346	0.573987228375204	0.000695496080533501	0.968324585838069	0.742743509720973	0.917074890782746	0.846414525746777	0.9280995199538	0.74752180713989	0.43042454856106	0.730418578881744	0.881955079117362	0.82588502150981	0.401462285601147	0.850076874522981	0.26553968037872	0.897424480636559	0.701398751584208	0.647570622126629	0.947279203483303	0.145351332340499	0.56369422614995	0.90358710208232	0.691912371694855	0.921800359348337	0.909966712666602
SDC2	0.393453224987908	0.799279240261521	0.787677645502594	0.810759223198791	0.780894781772344	0.687300325977648	0.626486815148799	1	0.801108612435881	0.457188077128981	0.677633573024082	0.338812804121054	0.838496693302438	0.658633789325292	0.137636935222649	0.741962469980141	0.580695785322685	0.675759151072378	0.827238740358502	0.767263664676396	0.787080341440653	0.80179747386846	0.173547602859076	0.364950576011717	0.364296148452496	0.758869395478453	0.734389829078006	0.602824510122351	0.720844754292582	0.631293529527137	0.437620039566583	0.817094204703118	0.203382019333069	0.634875575613522	0.645402337967589	0.793026312360678	0.507191476413779	0.659463712328469	0.398364806780236	0.562996860358406	0.620172498664087	0.649072105030103	0.769535964449173	0.772184802428888	0.511575801809856	0.671829576129218	0.736562848445657	0.670014994178254	0.696966043348259	0.636031455169993	0.740815223889269	0.537248768194915	0.778062816734305	0.474240269485695	0.693981920686887	0.390019902321222	0.249401020449046	0.600775154280333	0.703299286042905	0.62706085071886	0.291138725364333	0.705121878199902	0.393616629207677	0.363190370574857	0.705049179750598	0.757446624693528	0.383334097389126	0.389783400603092	0.697234657574601	0.194421879774583	0.344472424596191	0.553263272261007	0.794204099807692	0.312370612322801	0.672429077543088	0.728106509559428	0.714679218975087	0.506361633892733	-0.000163904016676422	-0.0758148449722741	0.00224819450696553	0.702442205536193	0.633396825346258	0.519767741110838	0.645024923848667	0.567559637352344	0.434939902588919	0.463734165975804	0.796632947370882	0.567737799840153	0.612600545178821	0.662530597730166	0.730283986193914	-0.0427481721365368	0.700402781750208	0.56189445667768	0.728289456460844	0.613004733990921	0.443387457622398	0.527499781573409	0.707826164551801	0.73161976623519	0.670120695399208	0.425811519367984	0.748672230671948	0.644977617943233	0.633462472025679	0.399195551276182	0.629224326567008	0.764480279044671	0.441508395305929	0.764892180681358	0.720016728520121	-0.211138180452945	-0.166906196133717	0.0255108599614164	0.438519278159073	0.682332371300627	0.687243798998886	0.669147716421667	0.418998535570159	0.535190707474294	0.476963485556978	0.406622625368952	0.603240630049796	0.463038517856421	0.519078270179475	0.506481024472133	0.742392300770121	0.23360486344944	0.633684383015072	0.786381317184495	0.477310030902378	0.637503955737147	0.142101014864135	0.547498740953183	0.727645364874873	0.798174398646768	0.763177032922399	0.671885500310853
CD163	0.680157171096355	0.877063087585097	0.827276941236325	0.949520356719655	0.888493489539009	0.805585746887995	0.908679064913857	0.801108612435881	1	0.746465779213957	0.923994199294471	0.643779731059091	0.952876719805977	0.920035525186614	0.280395209994369	0.718602164724284	0.560440922991097	0.782324243114977	0.943116817041855	0.723869770375201	0.804933466539611	0.78959021290065	-0.0181530287788823	0.681448274866915	0.658970994049784	0.952148990142503	0.910171072795264	0.84608300844389	0.745069234810899	0.895141029670485	0.735938857756352	0.91507795701561	0.512752181595355	0.876194279632184	0.888688954620723	0.90859241483538	0.564586795072698	0.877478446515249	0.302818560916925	0.803038325421941	0.878773999193548	0.877981445580465	0.774428341563936	0.838951405754048	0.803171062786083	0.824766740147039	0.726516083552231	0.905771110485082	0.860866367748743	0.88993096078684	0.93074023806402	0.824202640023007	0.909074398190081	0.793871130989691	0.892998231376639	0.739892181186074	0.556733112129619	0.861176582432522	0.878499762425686	0.877625199001304	0.554783511645393	0.888065741092902	0.670785883613122	0.524696594742761	0.912036963913002	0.909279328584825	0.66196030520476	0.654079976946665	0.910487354923453	0.521147003430038	0.637089791400682	0.469876808774607	0.938680210723244	0.55241934071603	0.890326950122419	0.760596864487712	0.837205289983353	0.722380274107839	0.269229724677778	0.252293792796537	0.217702870789357	0.84250759049429	0.858636890501671	0.782496544948084	0.799049881565074	0.838121609508196	0.727106979616973	0.762422432966637	0.868256647860224	0.637766220618399	0.761663176696751	0.831668096871516	0.75012452975622	0.0389490813921899	0.618635334581287	0.78045049970526	0.770201416563644	0.858345252884383	0.725691590881448	0.775739470256649	0.907450643980155	0.837768156872354	0.87560344153713	0.338163656537249	0.836322478465241	0.739430603693785	0.865248596596563	0.508680130227436	0.737137726212252	0.877948208108524	0.616869580354507	0.749401571049273	0.909175948581235	0.00596740716915194	0.0613528452056496	0.265924283337501	0.307559795003541	0.921628549041219	0.784459761835222	0.878727063786123	0.637570960575504	0.799059031422231	0.640217360558357	0.450557566324171	0.769800473951711	0.70372422119136	0.717511762528855	0.460268335679018	0.897179206287408	0.233617775063161	0.840721832108527	0.857469863498943	0.577089028671539	0.858858338124218	0.109447650143591	0.594253807935077	0.931524410063687	0.824850619267861	0.958673852740345	0.866972958926501
LAMP1	0.895130784080779	0.568718387023086	0.396584893611646	0.738436887892997	0.513827610151981	0.45535035578151	0.936884340293614	0.457188077128981	0.746465779213957	1	0.904630153784812	0.936544216877885	0.638244846107785	0.876042641585018	0.474226480166496	0.278046145638322	0.203852226260726	0.511778485717713	0.662021806117839	0.194537670272628	0.369660308939111	0.362684240556738	-0.428441349324821	0.962469515233791	0.822065709480654	0.79869001843244	0.797577090507927	0.879281442506196	0.267106776330498	0.92522682786306	0.945868293304456	0.604245365252358	0.93653598847783	0.929637332714848	0.820662188429739	0.719819003495254	0.434896759906207	0.887673650083675	-0.118520218292556	0.936978105832408	0.924346271403975	0.812484659891365	0.353046424506821	0.60453688883935	0.954467721215363	0.711944600389352	0.301433493664288	0.82443361605896	0.720168814864652	0.827898786874425	0.804097040086022	0.913294956766361	0.660061411885938	0.965323066922078	0.777382822084867	0.948625118213416	0.922540053935828	0.861581264928751	0.877654275312894	0.883013792835315	0.917741414487472	0.782280569687738	0.953179137090469	0.54235510362127	0.767588724568865	0.70319193918334	0.923356918070279	0.895516826926072	0.896117592689925	0.907060959950733	0.90659939030481	-0.0803250082906229	0.671699549057133	0.829730468476576	0.847424707404098	0.264315730155228	0.653569410868735	0.76527287350844	0.666537474270347	0.767603798017282	0.598538567839419	0.596328919730258	0.777725201538097	0.87734467438136	0.575617260316778	0.831089353219515	0.975964054628019	0.920732339644093	0.550303831271287	0.541635916244636	0.743422265878066	0.707760561026	0.263538196363361	0.194890713581227	0.175182866534025	0.76570245845479	0.56671749429907	0.890967354953931	0.944491666444154	0.852318171879081	0.830743445859336	0.530150284177065	0.76871688855808	-0.20555657761543	0.564845300897228	0.629341140279475	0.871677416936997	0.526054084513496	0.33936467322716	0.611809433823336	0.684231455935287	0.312116414268952	0.849469196623587	0.470645450305558	0.515579596986992	0.705656071364263	-0.248856811134589	0.884196884293591	0.610355310107912	0.856184378995627	0.943299325378899	0.927544496477105	0.70867049177418	0.324274718185114	0.66540581845362	0.919965592325701	0.819826496881496	0.259824316873674	0.726609326366511	0.226576151650642	0.825583954476301	0.456776218982498	0.616108200263183	0.912406798608558	0.108627944057896	0.420556816077833	0.771218275755626	0.479701059516009	0.765456496801729	0.855629230322765
