""	SIGLEC10	CCRL2	CCR1	FPR1	LILRB2	LILRB1	PILRA	C5AR1	TNFRSF1A	CD40	APLP2	CD163	HAVCR2	CD4	SIRPA	KCNQ1	ADRB2	KCNQ3	TFRC	CANX	ITGB2	CD81	PLXNB2	LTBR	ITGB5	ITGB1	CXCR4	ENG	CD74	IGF2R	CD72	ITGAM	TNFRSF14	ADGRE2	PLD1	CD300LF	SORL1	LILRA4	ITGAL	PDE1B	TLR2	P2RY12	TLR4	THBD	TREM1	CD47	TNFRSF10B	SDC2	UNC5B	CD9	SELL	TLR7	TLR1	ADCY7	PLD2	RIPK1	NOTCH2	ERAP1	RYR1	CXADR	ITGAV	CD99L2	SMAP1	INSR	TREM2	LRP1	LPP	ASGR1	SCARB1	RXRA	CD226	NRP1	AMFR	PILRB	PTPRC	RACK1	MCFD2	PTGER4	PTPRA	CD33	ABCA1	SORT1	ADGRE5	NOTCH1	TNFRSF12A	CD63	CD44	NCL	EDNRB	CD69	SDC3	SLC16A1	C1QBP	PTPRZ1
SIGLEC10	1	0.466848285577974	0.691198133511498	0.937422615434289	0.355177395650806	0.860000802085586	0.694699306693812	0.647218712766668	0.794655801313783	0.81980341868273	0.627551013959867	0.806060172640536	0.869127773989342	0.836828525578361	0.735236681858258	0.909820625134533	0.659718106221809	0.85807929077012	0.743204082923406	0.683565725179751	0.746474620030311	0.650270810116675	0.874935704608006	0.636896883762494	0.801824213823162	0.776334612979026	0.135927813160744	0.86044148525782	0.418765699981327	0.392742452736912	-0.136912546921819	0.874877913999531	0.138125060582984	0.859869384966505	0.844863843897401	0.348500186494248	0.91885495328638	0.0111041593436429	0.816435819973654	0.80493139381116	0.852660718789574	0.763126513978323	0.389584481407575	0.733348466903891	0.847498362074368	0.5175351004731	0.886436435641381	0.720980530940153	0.917369668376509	-0.0104461383332723	0.415868309400031	0.694818592284371	0.802601462346159	0.78494206675714	0.776196821885569	0.683846392423049	0.069525692823022	0.615504712849011	0.56612381255385	0.874777686810919	0.948850050471304	0.463546617503956	0.488628340012435	0.0349672956176399	0.806577615243617	0.618118986612234	0.761174450900739	-0.197889626344225	0.39422667974092	0.718427347126263	0.81531639921764	0.838047902647085	0.383425017242851	0.623385987116052	0.917743968355447	0.707691426956189	0.734085505797721	0.582563932174623	0.703910043300207	0.776824974135056	0.491497008445666	0.856412334954524	0.784167925545849	0.447432629856322	0.830220771847354	0.527286904143013	-0.0237990313020871	0.763865728611616	0.591128861213926	0.896291810147799	0.251275591657393	0.665417780316895	0.745106256283593	0.179792370573105
CCRL2	0.466848285577974	1	0.817149256324663	0.498616802467503	0.629769412180866	0.702374251814134	0.863432297759354	0.882010631277128	0.772634971132093	0.784547280516551	0.94719875954765	0.802223003331362	0.757189530035786	0.764540432505306	0.876755988453515	0.556547930477934	0.280784972909276	0.368950050803641	0.830075890772772	0.904736574664043	0.884323988015716	0.938270801167494	0.664318313963243	0.835175454709766	0.662598530892864	0.821108593727033	0.492650117953675	0.675387167734571	0.870103867378151	0.921518570514104	0.640217479190974	0.667419673157966	0.868382028760821	0.501775320812019	0.616411351060988	0.882195442970135	0.589267606565432	0.794610311072977	0.589995284428617	0.465060546063824	0.568538871606422	-0.0492839421410575	0.913807439113815	0.54335098797528	0.573608270352419	0.920619864093893	0.559140150836504	0.720007706594859	0.471360849410095	0.768816993314309	0.528248170842752	0.823414566288281	0.673932215656222	0.791844583269711	0.503738454853008	0.865784231198404	0.776420659341025	0.765413691612135	-0.242807996607383	0.494466591566484	0.591366758501236	0.821030230137002	0.921583842896185	0.252786771875791	0.808639185258456	0.939205349161041	0.832521471941217	0.584231788145272	0.946739899119119	0.798890101038922	0.431883235220705	0.643234259821256	0.836197433401122	0.681968214844876	0.68205163676446	0.895332119316699	0.878366441230669	0.860404693211614	0.835630722819461	0.741435135183941	0.932241530498233	0.711491192876029	0.516340097423461	0.688030416545624	0.579212406673394	0.959159810132991	0.698963585105706	0.856098106623424	0.836111488731786	0.39380531631705	0.869637639611288	0.769190480617821	0.866405865743608	0.274950430270487
CCR1	0.691198133511498	0.817149256324663	1	0.671690195259136	0.679312223703795	0.793056257268823	0.852104817652445	0.89342175719785	0.846688918748011	0.776273979049891	0.892535135584824	0.853977178809257	0.824889571392218	0.865058205552004	0.914347712400266	0.718261544052465	0.383097757227522	0.554313439877914	0.865890560684542	0.900613253309549	0.888678553004655	0.87409257615725	0.804616501882211	0.908253825871515	0.786701650688398	0.843641368482362	0.454858358257771	0.777043774248561	0.803733282401066	0.813366075243137	0.466417370737278	0.833567704385131	0.651661744100106	0.712253024406234	0.804630430719154	0.786748641254772	0.747011917618224	0.490224250296674	0.734308219437665	0.614497476100018	0.743482725401215	0.241572738559029	0.83379289456433	0.699569588077627	0.747213829868581	0.842088294151662	0.667931992076413	0.822064596002682	0.698526217707693	0.557843455135138	0.679880738096049	0.849584605093709	0.769281484625483	0.843390740558104	0.670005782795573	0.86327565531742	0.593522371790349	0.828613750108716	0.053936728214011	0.673108098613997	0.731247500998562	0.769288790179832	0.833238026894314	0.24841800988355	0.820457635804839	0.885359814706503	0.906309699129474	0.410421694149657	0.785730165389775	0.848903725930995	0.632617513526259	0.782875632736913	0.798931933693438	0.696763722770459	0.847396832313091	0.865241116729127	0.900225181094464	0.865917962404884	0.848421920192639	0.801746755917288	0.868228045558027	0.846461901225404	0.733285382023502	0.615270914430333	0.68160674040662	0.837736750978243	0.541011385436477	0.873201612409584	0.723964860873186	0.556913048726964	0.708491438618081	0.773960054654422	0.858140842212064	0.19817877800544
FPR1	0.937422615434289	0.498616802467503	0.671690195259136	1	0.317653509277676	0.828800792327069	0.74316124566453	0.632922046027269	0.831018852762942	0.867215591731157	0.641231345117185	0.848136418879032	0.905294336413148	0.886529197825956	0.742827710595548	0.935188446822535	0.706620819122511	0.907340433455087	0.732714778761439	0.688829968537654	0.789190661463879	0.671706580337477	0.86769138956898	0.638395005365199	0.821448541651757	0.837271221587234	0.0879756537311552	0.922075207252282	0.403979176259095	0.406735190585871	-0.171071186790866	0.87543944548615	0.14362329300977	0.891088641663378	0.829478484396453	0.35530498261911	0.932187916307136	0.0173154520760328	0.874044131481561	0.793909890933758	0.837097688548962	0.721923073713426	0.388526797413283	0.787933056157047	0.867457448941697	0.524546575534679	0.88629629089304	0.730035046496971	0.902621363066467	-0.03359594204413	0.330080851104349	0.654863165347237	0.850048287478802	0.77098811371896	0.837866629037619	0.71606551436441	0.0293855372318695	0.570936040890503	0.499412879664878	0.882508373560181	0.949289631803167	0.461331523219758	0.490141661877703	-0.0714666410214263	0.864552643416677	0.623725552349104	0.710216123045495	-0.228685441067061	0.381982309972158	0.743457370463747	0.879043192121988	0.875237332494546	0.389327953184703	0.630040014680136	0.917884187217053	0.730655595903997	0.744322833414398	0.573397045603224	0.706774872727436	0.775919838321896	0.485405544844517	0.824406626256425	0.705981775853701	0.354914199572549	0.817172595074012	0.562211093457171	-0.0449289325658867	0.769057799652049	0.579949832664007	0.860572229192455	0.227308180365192	0.658495222234384	0.773952606428468	0.114770635263463
LILRB2	0.355177395650806	0.629769412180866	0.679312223703795	0.317653509277676	1	0.54184145131	0.651881619566363	0.743768718488498	0.608456127565717	0.487298180181875	0.697462707300866	0.595263673103109	0.474152102189935	0.575745028123483	0.688539669479442	0.376157014041284	-0.0608801137831704	0.161677120353558	0.641717194497303	0.708625152301847	0.643983984166829	0.671822908282535	0.541547092943867	0.684610132716057	0.573989368122185	0.536757873013672	0.579040020845302	0.458500915685165	0.771401833938303	0.706078614443335	0.646583789511319	0.589614630908948	0.661990961332813	0.480743567278327	0.446113137027854	0.707550467014913	0.344739293857555	0.51076127351919	0.398441215048215	0.396517594269146	0.484840254683736	-0.140155557635488	0.766470956724554	0.519719007395701	0.473268408438682	0.739842485767806	0.281569988767932	0.587376079095145	0.401829055030826	0.689822756564164	0.488858109571779	0.651336130677469	0.517314985157132	0.552835476699899	0.388753588385705	0.579122627466054	0.640107878400487	0.636431480070337	-0.227005845050115	0.414637087609244	0.368521823649945	0.583179164024097	0.72908797545563	0.421008657729171	0.490732519993713	0.704706548784533	0.669107718112497	0.663487498056119	0.657601095484379	0.630313700736999	0.344755060237513	0.577599610330399	0.702044462710205	0.482460189784095	0.557036580140919	0.66614732238773	0.661138368498664	0.730830791608056	0.627936947774723	0.56811766145068	0.745564248172633	0.518486819529842	0.608318591312598	0.617347368666492	0.393326587599263	0.663129077519489	0.747084483364079	0.637933189940279	0.556000487820698	0.254411209988771	0.705298357904347	0.54182016484579	0.620914145998884	0.18789727347187
LILRB1	0.860000802085586	0.702374251814134	0.793056257268823	0.828800792327069	0.54184145131	1	0.83341736693196	0.785492422295688	0.884876256367726	0.871510519319165	0.804538219666186	0.867551833475463	0.906002909896057	0.879780769728439	0.848920663877377	0.856793962707989	0.590898805698368	0.726284718383362	0.842954647004598	0.833679324232732	0.850715306582291	0.81566321271991	0.869501021730624	0.796893941573031	0.820519831874395	0.839017314346891	0.415476772594455	0.815403903952056	0.667129375103106	0.631972364381569	0.183927107213691	0.859953912945356	0.454979549225893	0.774646306595785	0.799100166856341	0.582763277012862	0.878564594833257	0.286673877893491	0.779216654167541	0.742170382690625	0.868644695996457	0.492572111130564	0.626372356121354	0.693626360743451	0.779180867940169	0.741178619681427	0.820555688013893	0.77172309024426	0.819177231808057	0.306705873015841	0.564292369109094	0.80776642466498	0.866714034492209	0.884054260334477	0.761583386071063	0.822521599394101	0.364265152806178	0.741124161107781	0.286473101907088	0.753633783287595	0.888495173686279	0.692169796927777	0.726970638203359	0.173935914585701	0.863226563917084	0.808059408919338	0.843505286286721	0.12749646319395	0.648491763117912	0.824497404796788	0.740468129069904	0.814245337751571	0.597417870553385	0.717326227880799	0.916002408967417	0.855658986225523	0.850140944305002	0.767714207139028	0.819568219504473	0.854950231562102	0.699548105851777	0.889467787118008	0.785795988109294	0.561347044200593	0.80730439841976	0.737919422929597	0.281816963401067	0.901311974802379	0.749647511155956	0.813610980268878	0.534531809751443	0.754237748637612	0.866969055380677	0.235176144121659
PILRA	0.694699306693812	0.863432297759354	0.852104817652445	0.74316124566453	0.651881619566363	0.83341736693196	1	0.906128926695139	0.914161166424809	0.902426266798351	0.922307847164826	0.91499829438426	0.889987920061835	0.920601136369433	0.92466762225072	0.773153046760323	0.508138837933291	0.648143044438137	0.889986425008411	0.923985871162538	0.939867239269305	0.94067451805875	0.831026701278721	0.900828858054076	0.806979870016098	0.922405380157745	0.49442706201639	0.835698924003099	0.823971349990036	0.837099719736968	0.43735141253778	0.837995398202519	0.687541401697056	0.732245752873613	0.782696987924415	0.789262929182329	0.796729775865155	0.528347256969451	0.769752185345259	0.657439573551656	0.779194791111463	0.224408283415186	0.806298485311885	0.734143714717423	0.756171201066334	0.876299557060294	0.709719179483292	0.855242399345269	0.705759972697117	0.559050272141592	0.59527183900341	0.837557391589934	0.868244779564498	0.85881972819902	0.74383563163906	0.916281375058083	0.578333438997079	0.788345666749787	0.0491977178056613	0.711759890640697	0.786225924438452	0.762241374887471	0.873956276112375	0.18988104559718	0.911552743784487	0.918709357070866	0.873177501800799	0.338554883170939	0.800389145925268	0.901695584970303	0.67632419743321	0.8289662606956	0.802074705547475	0.71691453491813	0.873394668661453	0.943036053139102	0.927047070075911	0.903770253304552	0.892438564176525	0.851261366639674	0.855631281919636	0.840104107502854	0.707738859248365	0.580906479100355	0.740292447551679	0.902721979040039	0.529412106008778	0.940968498092953	0.761823224164307	0.629770201344897	0.69655482749427	0.808302693088084	0.928499138272569	0.206960641310272
C5AR1	0.647218712766668	0.882010631277128	0.89342175719785	0.632922046027269	0.743768718488498	0.785492422295688	0.906128926695139	1	0.842640307184826	0.812536414501464	0.938006182239966	0.867272800853846	0.802795271578032	0.846891134744754	0.925112756726188	0.684878354140183	0.312249412695159	0.524288407663473	0.906378284301139	0.942685893754495	0.908655107810762	0.91489130962841	0.810207515783532	0.869884873800865	0.789520607652054	0.850602550221937	0.521525377363434	0.767210864071641	0.877827298697086	0.883202337605393	0.551091964991375	0.811166611924345	0.762038939389359	0.716455514668058	0.742337975709309	0.820847733540682	0.699609725504404	0.657944396603187	0.675098361997141	0.593351814263278	0.720483507996268	0.144649993548738	0.905028325528679	0.698493286403955	0.742412535146635	0.902591035868147	0.655119495120576	0.849390300933964	0.625049109839061	0.688407919866842	0.550312276658963	0.845506659419435	0.757823533114193	0.851944927905423	0.607242854813448	0.860678166182466	0.715241296347986	0.850289684110719	-0.0294227987874151	0.680848242400097	0.706890476699025	0.820514952015457	0.893594736459045	0.343194765126505	0.81209618560869	0.942444360391632	0.910340101563054	0.48015638651988	0.875073842906929	0.856068450888088	0.609657430228748	0.776279910118397	0.8419506496052	0.668543991050423	0.831094526327974	0.898341681749224	0.906079992302075	0.924477875793308	0.903491091573989	0.796480724083182	0.935970260105904	0.849768338539946	0.703945527000606	0.739082094565875	0.662971747823848	0.888414403757946	0.664105963292848	0.904509016225408	0.833971246158176	0.51587462162825	0.812639102669469	0.81919791506517	0.874047969236104	0.324808784065466
TNFRSF1A	0.794655801313783	0.772634971132093	0.846688918748011	0.831018852762942	0.608456127565717	0.884876256367726	0.914161166424809	0.842640307184826	1	0.909603419688861	0.88600858206004	0.940498426738957	0.934543438235908	0.951512869329065	0.907696090427051	0.83033901971278	0.552232826885493	0.672642595473503	0.865327325679885	0.913340279731765	0.934943388922679	0.902752478021573	0.886259651938577	0.874029915218304	0.860417601240506	0.914940548928937	0.411146541186216	0.88900975314739	0.748961688309479	0.755690162001493	0.324974134383274	0.908797406238057	0.577665711240646	0.787944807106461	0.808159950658444	0.728805494778142	0.842065162453476	0.364336509955708	0.81077757901111	0.77277173768343	0.816960320237049	0.380906701982317	0.721844182394806	0.741575412798329	0.807485997295163	0.845034539447617	0.78362463971792	0.832346949846026	0.817568874606277	0.424354815582501	0.578485319189728	0.829903603675446	0.893672516388081	0.87135583674464	0.797659725267034	0.880649165851132	0.435237560820751	0.825601991163196	0.14370798296348	0.779525191434034	0.856653091240742	0.768050590945127	0.832623119409625	0.0985447854849265	0.918880151061603	0.879317770579333	0.846241589963644	0.227346741495592	0.708969624739348	0.893496512264961	0.751242875628095	0.892059844272554	0.717975601390811	0.735764520526019	0.917725715132068	0.92947378864463	0.919385434791294	0.853867587520371	0.881286115138016	0.887306263533389	0.795818923310022	0.886676623142002	0.772867618655379	0.567472641727211	0.78850948239216	0.839594166797384	0.422804878899317	0.939483565908596	0.742885130876224	0.726973178922801	0.631319985342276	0.793605536035844	0.933492919443428	0.235983089019767
CD40	0.81980341868273	0.784547280516551	0.776273979049891	0.867215591731157	0.487298180181875	0.871510519319165	0.902426266798351	0.812536414501464	0.909603419688861	1	0.861884878952683	0.928890021021409	0.946757119667427	0.932479744489422	0.887592992941389	0.863736199756711	0.629957159240487	0.752807149774027	0.854060329814053	0.861948883982802	0.927959572596983	0.894661230677143	0.856235583323277	0.803163783231525	0.850348585082308	0.939605244497599	0.28401590425815	0.913389901380907	0.661333792636919	0.693143736920201	0.195399258883405	0.870120667152083	0.497460210615001	0.788755655845248	0.822898702617269	0.629513686678857	0.881925851698802	0.405034970937774	0.845232825453956	0.78644175949599	0.782875644773511	0.440707639419361	0.663431684420095	0.752189614208065	0.840891577091598	0.779484373118846	0.84978214124936	0.824057015426879	0.794746750905974	0.343848974839905	0.446107812118982	0.791863558740316	0.887375672859486	0.863374678234709	0.769423290270858	0.854246368230039	0.356060394074188	0.719534962051903	0.194315441957398	0.817737745154562	0.895319216817352	0.707061912449412	0.751581267558198	0.0256336357002624	0.958869196835611	0.842453263480962	0.827926719589051	0.112345290978302	0.70096878752188	0.857727273206097	0.748422807497049	0.869251117893354	0.627270553874215	0.738041771182625	0.902789085007811	0.907554348038273	0.902206021023755	0.78011413876662	0.856711313251548	0.861864273943498	0.743055015144518	0.857313079307847	0.708268775947421	0.553677239804426	0.820476925220285	0.832841981590021	0.291387736997526	0.909932882606624	0.778163398480197	0.755662390474307	0.565145164451473	0.771425945469285	0.919735748732599	0.21577107377236
