""	KLRD1	C3AR1	PLXDC2	CXCR4	TREM2	PTPRC	ITGB1	LRP1	CD81	CD2	CD3D	HLA.DPB1	ITGB2	CD69	FPR1	CD68	CD63	LAIR1	VSIR	SORL1	C1QBP	PTPRZ1
KLRD1	1	0.363858907542381	0.459317085580942	0.480728308198856	0.643206689257293	0.289618478357853	0.536541387352668	0.310319366272428	0.644432435635309	0.619842681866752	0.377331031617193	0.677011271490441	0.625432936647638	0.582224229350477	0.436947758805821	0.57127412054654	0.63795400596704	0.556160173847494	0.508745506876242	0.556248274159681	0.582513589983059	0.486997875201605
C3AR1	0.363858907542381	1	0.543351945942015	0.606561978754477	0.699829865579341	0.320955118128035	0.520102854626691	0.321945183543203	0.689641668353146	0.59099762213632	0.593499399449503	0.676108609998566	0.601415327700693	0.70634073928877	0.461941737215682	0.572468524443452	0.697766530144693	0.443780421718448	0.618087269171869	0.649046940978465	0.703401594708822	0.576610144597173
PLXDC2	0.459317085580942	0.543351945942015	1	0.726857931911603	0.636342361907591	0.655601439824908	0.664991563528266	0.687625334488657	0.693175388852252	0.584554806386099	0.558483479357193	0.67655523841512	0.701142068033319	0.678260805895532	0.623132657361245	0.614813921296754	0.638689504935633	0.533029559601811	0.644260560105263	0.727448777718834	0.666276980725746	0.805733175587881
CXCR4	0.480728308198856	0.606561978754477	0.726857931911603	1	0.789482740007432	0.623888338405801	0.723967341405077	0.666786708655096	0.868113461776735	0.695807332563622	0.703456708114808	0.832390884495473	0.79705600183577	0.716762964604427	0.613625979490435	0.78716233950849	0.822640771222486	0.643874221669126	0.770632042150356	0.848535941378466	0.819057785378701	0.74117046416152
TREM2	0.643206689257293	0.699829865579341	0.636342361907591	0.789482740007432	1	0.464725929894466	0.701973395120924	0.480777259248582	0.928489223778023	0.756853887286552	0.648721590437602	0.920707988403452	0.817541244958713	0.799345837521551	0.643644376030073	0.854955234165321	0.901595107632126	0.663944560984278	0.759406292306029	0.83661762587163	0.847761170331792	0.761990658172707
PTPRC	0.289618478357853	0.320955118128035	0.655601439824908	0.623888338405801	0.464725929894466	1	0.54879610038226	0.695795182271625	0.501028140561576	0.398846422476742	0.42083198504012	0.487481461835305	0.56010423465891	0.421600361068708	0.450904920811704	0.524992726104546	0.438794194621691	0.330613910421824	0.452155851175213	0.54152739906805	0.482554591184408	0.70296403380025
ITGB1	0.536541387352668	0.520102854626691	0.664991563528266	0.723967341405077	0.701973395120924	0.54879610038226	1	0.596202471911876	0.749919150643782	0.619472352784742	0.597549477532347	0.738847740419062	0.767067290936315	0.706486131497341	0.662496023774379	0.670218292107245	0.728934537001337	0.573159198291071	0.664319739572013	0.767342037349239	0.681727605946961	0.717963015989198
LRP1	0.310319366272428	0.321945183543203	0.687625334488657	0.666786708655096	0.480777259248582	0.695795182271625	0.596202471911876	1	0.557990806491732	0.482945032461067	0.5003942121594	0.570735705955725	0.670111735267714	0.411279645532896	0.460454099619498	0.621310833345435	0.538725927925723	0.509273571099015	0.559972529954568	0.649963235087219	0.56782102298699	0.677073803180215
CD81	0.644432435635309	0.689641668353146	0.693175388852252	0.868113461776735	0.928489223778023	0.501028140561576	0.749919150643782	0.557990806491732	1	0.77211656074827	0.727139144891592	0.950604942790424	0.862400017783866	0.811795845351715	0.688476058934978	0.853372823324388	0.93925059053353	0.742095545111743	0.815368871872346	0.881577780517056	0.883112174763443	0.75320155747199
CD2	0.619842681866752	0.59099762213632	0.584554806386099	0.695807332563622	0.756853887286552	0.398846422476742	0.619472352784742	0.482945032461067	0.77211656074827	1	0.6396267901449	0.761587481562849	0.704110607893354	0.687750114229358	0.555052718781784	0.679756940507577	0.726115000076783	0.572225866816327	0.601172482695738	0.726273214989484	0.738720639087858	0.67410442398475
