""	CD8B	CD8A	IFITM1	CD3G	CD3D	KLRD1	CD44	KLRK1	CD247	PTPRC	ITGA4	CD2	CD69	PTGER4	CXCR4	CD46	ITGB1	ADGRE5	IL2RG	C1QBP	ITGAM	CD47	CD4	ADRB2	HAVCR2	SORL1	ITGAL	SPN	CD6	ITGB2	ADORA3	CD68	AXL	RHBDF2	TMIGD3	LAIR1	TNFRSF1A	VSIR	HLA.DPB1	PLXDC2	CD9	RACK1	CD163	LRP1	TREM2	FPR1	TSPAN14	PTPRA	CD74	CANX	CD81	APLP2	CD63
CD8B	1	0.631699777019179	0.840248450436756	0.826037597566092	0.811987298277357	0.77298573130986	0.885102856130527	0.838761239558774	0.696309290095154	0.641611695720311	0.235548772803308	0.808884478067246	0.634495563408929	0.560242877772434	0.581887234251605	0.209919795372077	0.266881264667495	0.836267910817617	0.843409465498498	0.393697283747956	-0.175198064405086	0.565126895956722	0.0720220492938316	7.22606305996557e-07	0.0194570858415769	-0.0660916994076859	0.594302961507821	0.764832100301219	0.796445553610788	0.11216032474365	-0.238470820841558	-0.183492051861499	-0.158541005295209	0.00450442772026639	-0.133656466453795	-0.0131312381670388	0.138256204223298	-0.126235864146751	0.0559933937572923	-0.0876848596259041	0.0138691180898203	0.319932973732889	-0.0112375384492384	-0.024450746854733	-0.123152281217939	-0.139474414897778	0.0809220704171729	0.51556850605763	-0.0796504134815747	0.253106862001649	-0.101783994654196	0.0266386599780042	-0.126779325822079
CD8A	0.631699777019179	1	0.575773635514785	0.335655519654963	0.839831362349738	0.620944203833884	0.653263639337623	0.459226293588393	0.58742336877032	0.545688674851595	0.822264147629976	0.671963296548975	0.85495210949472	0.305135702048216	0.833621502201277	0.380136558874724	0.313899092044631	0.694666701861113	0.745833731190099	0.347568589299114	-0.105467761946613	0.775518259012202	0.111651501000828	-0.0352805051667334	0.0375798514879624	0.00980323258242374	0.225867609532736	0.550661515986448	0.521924715114799	0.120131506694188	-0.12374095807961	-0.157165301999016	-0.0235543328973666	0.106645803892972	-0.0367986376314043	-0.00678249539678901	0.172371664477853	0.0289895382896892	0.135521523144263	-0.0202877703429179	0.132480766863496	0.361482821881658	0.0521305594406009	-0.0238475266575099	-0.0572093660074375	-0.00409177494479598	0.139202691005208	0.211573158599231	0.0116531702342714	0.131204889827951	-0.0673116496560767	0.00237887679103126	-0.10616838287442
IFITM1	0.840248450436756	0.575773635514785	1	0.789442948971941	0.855330512662432	0.976801428815932	0.835398831891363	0.96063949622239	0.949470413080484	0.385432620646282	0.324194711650152	0.881681206114068	0.541427069245322	0.169379236301149	0.482528747082986	-0.0172854853007444	-0.0483719255477081	0.74983244549238	0.833912286828045	0.112713806457152	-0.430637770569779	0.576657524738834	-0.219230137307462	-0.279355494507568	-0.2912656021364	-0.426984775693513	0.308287095308848	0.615752945264132	0.886031734424516	-0.146851633667268	-0.463092673238276	-0.425005113662465	-0.44133328563634	-0.305140023414762	-0.426590549211472	-0.354580130578599	-0.18355233603174	-0.379393196106086	-0.352511230445187	-0.426535323931546	-0.361271205577041	-0.0269411935364526	-0.313663130496637	-0.372623628188488	-0.418405501967893	-0.472357746275067	-0.262236207081107	0.189661875818528	-0.433418967676021	-0.0838861988047857	-0.403293013599713	-0.314528793540127	-0.421139231231441
CD3G	0.826037597566092	0.335655519654963	0.789442948971941	1	0.727376420465214	0.731075537219187	0.870378005516685	0.906491459753627	0.594509087489658	0.464952729950743	-0.025403235570437	0.858676600327051	0.380012125016717	0.250021472897203	0.329915431437643	-0.00822848047725386	-0.0722824716683681	0.810314712425741	0.732536486578949	0.307258938581119	-0.371232416412759	0.256715310097998	-0.160455108352358	-0.193914005135897	-0.211185132876635	-0.306063525743753	0.412394594730198	0.676346658393506	0.926305877953745	-0.0946988478883131	-0.409808869919577	-0.350264063971583	-0.37750816749837	-0.232760379273051	-0.341048240874935	-0.232004607612918	-0.0276702888421855	-0.376071424484249	-0.200292877147395	-0.339635658903019	-0.274418458589654	0.121376910817613	-0.214204249072104	-0.248992560938798	-0.338505889059723	-0.374512995272713	-0.189336523302665	0.292523117031594	-0.308910036646446	0.0343158295574644	-0.292937962739569	-0.192630452431094	-0.332221443860857
CD3D	0.811987298277357	0.839831362349738	0.855330512662432	0.727376420465214	1	0.874714968613654	0.887032951657505	0.815420670764102	0.796126502018874	0.523802875028293	0.593012652158027	0.954002082836398	0.745051296073309	0.204228760632282	0.74877356712367	0.167537643855388	0.0490250546756014	0.888984536291669	0.940823031281683	0.300251791323706	-0.360113182005146	0.680160741724044	-0.135874510563711	-0.225122183781656	-0.212400109893174	-0.282104677385074	0.306582549619805	0.712327826093369	0.851052434279633	-0.0708981690974945	-0.385582586994319	-0.391574584091425	-0.31813990008315	-0.173291962180532	-0.308932904743906	-0.264043115123847	-0.00830079047857324	-0.273422605045211	-0.13807726156459	-0.324012747404768	-0.196438181634049	0.2125920882707	-0.180588386162972	-0.28157083185212	-0.336101569262822	-0.345493452840066	-0.139958703329015	0.113942133783527	-0.282251977466132	-0.0312702895096498	-0.319626284057817	-0.232971802027693	-0.376257740115537
KLRD1	0.77298573130986	0.620944203833884	0.976801428815932	0.731075537219187	0.874714968613654	1	0.80131781276891	0.92559386851375	0.960941497117237	0.378692860223886	0.449798738667112	0.890339373948603	0.577912253671998	0.114804940806044	0.554670269073884	0.00101524528784725	-0.0605547093736955	0.729142040726254	0.830327902394745	0.0893539988347032	-0.411534523366776	0.620548014153511	-0.213560165158744	-0.276295221397236	-0.286918844274179	-0.43148486106556	0.242043097826674	0.600517915076873	0.877206781484206	-0.153338726729133	-0.443138566445396	-0.439895914668052	-0.428852769167957	-0.273067008792324	-0.428066623272076	-0.366667587059034	-0.186807433007923	-0.366400081873402	-0.369348549738915	-0.441377958063412	-0.385965353227089	-0.0464305663479212	-0.324956643191275	-0.375793068035081	-0.427057329151271	-0.47271334566459	-0.27074418361825	0.125936809810882	-0.443764538183649	-0.129337978528789	-0.412912735403531	-0.336927994467772	-0.449455709284029
CD44	0.885102856130527	0.653263639337623	0.835398831891363	0.870378005516685	0.887032951657505	0.80131781276891	1	0.861007517013973	0.692296360411821	0.657183642281875	0.321454224771154	0.919580983815705	0.728991193041244	0.358330276973726	0.586617482466893	0.282084596285305	0.183218361873718	0.951273776982619	0.882770147418897	0.464769792057251	-0.196242521566085	0.50443585805078	0.0625501662455634	-0.156608090413769	-0.0526217795307796	-0.149299015783088	0.52892200048251	0.825855387031294	0.90536930610213	0.118794064938391	-0.261627517143119	-0.182743645970276	-0.165434232021029	-0.054579688298696	-0.136061500217232	-0.0826009249123446	0.196076945726455	-0.202876819648206	0.0224983856727951	-0.162228522462735	-0.0605045529622381	0.376446425632899	0.0212981017154453	-0.0959234463309965	-0.151215480086073	-0.201061152593061	0.00966275128462557	0.284483163695585	-0.10101145475755	0.194284210586526	-0.124828867831519	-0.0421802581305422	-0.158379391517086
KLRK1	0.838761239558774	0.459226293588393	0.96063949622239	0.906491459753627	0.815420670764102	0.92559386851375	0.861007517013973	1	0.859903831498258	0.404601755804046	0.15351530020703	0.901771303865167	0.44963564269124	0.154987089055385	0.398556889159334	-0.0378788592270506	-0.114562768639572	0.775571170228436	0.794004936300906	0.143497781613126	-0.46535537937224	0.444634743539575	-0.244752634738798	-0.263595344734854	-0.308893004034161	-0.437224883240869	0.311352355966193	0.62562973476172	0.942254524964963	-0.181027315757224	-0.496143027897193	-0.455813306533544	-0.473466202520398	-0.321771625703478	-0.457389500259954	-0.366698271068585	-0.165244792663417	-0.414844333670607	-0.360896358955487	-0.452675099985717	-0.395089592745161	-0.0293671140028121	-0.352917624614216	-0.389804612767573	-0.443548679033947	-0.496865368014197	-0.28793086368406	0.195924655578802	-0.445271777349405	-0.102031922125069	-0.428324108558414	-0.335825596566821	-0.4534069869333
CD247	0.696309290095154	0.58742336877032	0.949470413080484	0.594509087489658	0.796126502018874	0.960941497117237	0.692296360411821	0.859903831498258	1	0.309324623986029	0.444651293193839	0.778233864775865	0.52243934779811	0.0767294100170463	0.499848013010538	-0.00340453212803963	-0.0607587701082174	0.602333204775183	0.768038638075166	-0.0553696134218805	-0.414008020584012	0.602551959534853	-0.238571224699934	-0.249676109163819	-0.306840685783789	-0.421412796290924	0.222615888735951	0.508540218588591	0.754059181012664	-0.15868764711887	-0.43021926085223	-0.422086243092334	-0.412887565682552	-0.310469495395691	-0.421395674942017	-0.373063342497771	-0.243637385442724	-0.319854987053483	-0.378395350213329	-0.422392156845855	-0.393639448150672	-0.120210277004041	-0.329346636760145	-0.415199783790719	-0.411815697190082	-0.467185779821631	-0.269553689925416	0.0425142381107997	-0.437975215309992	-0.184808769940019	-0.42445575664223	-0.377387292978595	-0.450888892280091
PTPRC	0.641611695720311	0.545688674851595	0.385432620646282	0.464952729950743	0.523802875028293	0.378692860223886	0.657183642281875	0.404601755804046	0.309324623986029	1	0.251156391585315	0.476294171804012	0.753094954546176	0.75987316471815	0.731079918289781	0.734792239715016	0.650908505272153	0.700531641500287	0.524177992476967	0.51267870989444	0.455790754088596	0.430726773480509	0.666958004612673	0.561880285739866	0.629523380024682	0.597533719015188	0.781815887518232	0.827778049021986	0.467024119623605	0.680819316689737	0.446053703802467	0.367183541701991	0.503640681464733	0.653020630299143	0.490013880361101	0.592508816353979	0.778023863584467	0.557765877586619	0.613597639318598	0.545887135833442	0.475632811409131	0.687039855567975	0.507235425635539	0.519210075038599	0.490258319864406	0.494921918146809	0.678276073846416	0.459706243255976	0.5667255816433	0.587022120707737	0.480945269477639	0.529288526598483	0.363935920963053
