""	CD3D	CD3G	IFITM1	CD8A	CD69	CD8B	PTGER4	CD2	ITGA4	CD44	PTPRC	CD247	CCR5	CXCR4	ITGB2	ITGAL	ITGB1	CXCR6	S1PR4	CD47	SIGIRR	KLRD1	CD226	CD6	CD27	TNFRSF1B	CD46	CXCR3	RIPK1	ADGRE5	HLA.DPB1	CD4	IL2RG	CD81	SORL1	C1QBP	CD96	TNFRSF25	TSPAN5	TNFRSF1A	SPN	CLEC2D	CD82	TRADD	PTGDR	SIRPG	PTPRJ	JAML	RACK1	TSPAN14	VSIR	TNFRSF14	JMJD6	KLRB1	ERAP1	CD74	ATP5F1B	STX4	SMAP1	RPSA	PTPRA	CANX	LRP10	CD63	LAMP1	NCL	PTPRZ1
CD3D	1	0.958789728403116	0.732295279643445	0.65113889062612	0.802573029797053	0.607011490217593	0.561029228279306	0.934079105650648	0.674562218835581	0.657038631948092	0.753658277284834	0.663222640731807	0.788016456550124	0.931368759735413	0.818567708384264	0.560205399111692	0.7877549419722	0.866765316303465	0.698083861701971	0.623897086812358	0.730060145242874	0.49924235427623	0.531624500354671	0.744728204223059	0.829293357858874	0.706572731565782	0.245747271625772	0.770752480330557	0.572154046226341	0.725658642370743	0.306940940046334	0.505231685733027	0.781685531170632	0.320470498527455	-0.248552969076394	0.415784870565087	0.836860405724464	0.61375454046248	0.573916675457189	0.367399733425626	0.68767148805873	0.777309737154184	0.180783961094684	0.526893310565754	0.668290837845295	0.283759488075532	0.369867486816695	0.684231181237714	0.654297418293982	0.536687789982418	0.136726248560427	0.484336647227418	0.67586450222475	0.541468005825292	0.514208567979235	0.149219388465512	0.360191644754503	0.479320064373174	0.459054420945623	0.646698075856416	-0.222508524333758	-0.096633029257603	0.411335901883422	-0.23210432354341	0.313501844985417	0.340983360262623	-0.68190185811455
CD3G	0.958789728403116	1	0.728716502850244	0.648848511575034	0.707929675634377	0.5467266199816	0.429057074744217	0.85810843986786	0.63841733283595	0.603698625491334	0.671432698922683	0.626572689243074	0.707315291229626	0.929006749729233	0.822165632702325	0.537030134917501	0.728536395660755	0.836865969681401	0.677116440850169	0.575331107862829	0.749343099308084	0.437662308644381	0.479762683344394	0.717609004216724	0.770941804819911	0.629598018383697	0.146738519662022	0.780635052780052	0.495175502551185	0.611700897012764	0.311963271065117	0.467956084337469	0.765575791435314	0.330335703272411	-0.273954989157175	0.39824114188145	0.853229637592382	0.574869049037058	0.568788236247706	0.52619757173591	0.720234429978334	0.729923086251103	0.270657655729468	0.548709721069595	0.649996250867289	0.253273545229752	0.382175501754441	0.609634440356587	0.659170710368049	0.476807890175914	0.1234688041675	0.444708848498482	0.650404611470793	0.560850115528999	0.580522729639193	0.155988736957042	0.287166141488469	0.352542754235602	0.347122309332571	0.660683599650052	-0.27751370256199	-0.0994888613103402	0.413644874012656	-0.157275933429322	0.363220291860545	0.261452000234599	-0.654828142540516
IFITM1	0.732295279643445	0.728716502850244	1	0.0556360980039046	0.779590856287728	0.0580467898860172	0.612585449658488	0.73230988584602	0.561058846190264	0.16032083484239	0.530626045272357	0.589052497475322	0.329388221611798	0.85744582817272	0.621400681763859	-0.0164947416407637	0.642970543883981	0.861141039127859	0.940545688243803	0.86249704623387	0.882373608405398	0.260247623037717	0.867407400118175	0.857642679718658	0.350276098635294	0.758314062056742	0.429355521717177	0.905079902142923	0.803674344352118	0.740379580695615	0.434730516296432	0.825472596471857	0.865349242935501	0.277753607476146	0.0988024979826483	0.684811737075961	0.777618184525135	0.86250490081992	0.437555798133889	0.447285362624557	0.465125847898474	0.83228694040396	0.515964293052626	0.902187108746027	0.192846998544413	-0.23425327287874	0.420725145947451	0.703559423837197	0.909840270665403	0.738123716083856	0.270226007979745	-0.0229012383535281	0.864788313063047	0.928827940667977	0.706489995746735	0.312105942773932	0.627269670433947	0.514274747005148	0.668605160180122	0.928074742345521	-0.04735257371198	0.351792064847194	0.756601618284797	0.227252513991965	0.728562945920978	0.643544533143252	-0.38163185921027
CD8A	0.65113889062612	0.648848511575034	0.0556360980039046	1	0.283377998376498	0.80282390980762	0.0508562554928119	0.542800333919581	0.26073595714785	0.636942555276164	0.512462898538218	0.402891157552316	0.691880942103384	0.459962202387841	0.47522066229961	0.749088162382312	0.392412812054934	0.371957064274256	-0.0135178327926561	-0.0683824732608993	0.14735099016576	0.560837733366261	-0.252447532671906	0.0670872589652911	0.853807276615779	0.13234219005534	-0.158066837259774	0.178286818597138	-0.12673582593177	0.165232120449415	-0.0719397803925656	-0.237693817522823	0.237660523330409	0.192512063313077	-0.472589897820872	-0.218549114488608	0.397308598664241	-0.103808932198019	0.320172192278127	0.138933682087634	0.483904597973128	0.181699585932013	-0.338163003007383	-0.196478996765447	0.77308015029417	0.592680648513915	0.105827270451958	0.255898463260251	-0.0531816502406091	-0.150994681144074	-0.123527130465354	0.669851117789676	0.0315778944953957	-0.206680540969257	0.0773918736661438	-0.181926477106342	-0.24900626201288	0.140826169491232	-0.141002832359625	-0.076236013373194	-0.356314009591025	-0.559160623458549	-0.226300392844969	-0.548654123719166	-0.321164843755931	-0.278860591919255	-0.593511205360214
CD69	0.802573029797053	0.707929675634377	0.779590856287728	0.283377998376498	1	0.497503678648496	0.900798202673013	0.915134262411233	0.762289570091262	0.51860513964758	0.882452841286187	0.745083868403984	0.640728348797268	0.79863712887198	0.552459223325102	0.363876403812973	0.837892474014522	0.797836294278436	0.830940194053228	0.821542239745904	0.689095505063812	0.56640636403379	0.758207151209604	0.85112856564307	0.592039027492461	0.89843205276161	0.66385332989168	0.713565069165761	0.803457781185662	0.922042721937612	0.371250317846217	0.631281000199971	0.866112257054269	0.0807459303421055	0.0616644465271017	0.605874097796535	0.841311866853083	0.729483118216144	0.609811630164747	0.0783480632062092	0.494608817392743	0.926978724434171	0.124684478300313	0.671903108039022	0.371568868505055	-0.00199184564868512	0.525847267243221	0.885142981299058	0.755281375013086	0.793575934760342	0.242051064853473	0.28552467939991	0.891807063917149	0.63244905982168	0.601251894080804	0.22325468463041	0.665296944902302	0.744104804561591	0.796706700341855	0.706819337198832	0.211636495842752	0.105973591502481	0.546911582992306	-0.0887580862899668	0.565735018878189	0.70361259074375	-0.49853792662504
CD8B	0.607011490217593	0.5467266199816	0.0580467898860172	0.80282390980762	0.497503678648496	1	0.376503709619909	0.661854637680561	0.480033097652451	0.77990635608406	0.764946413730145	0.605697095033841	0.717403185628832	0.421351465714285	0.381908276467058	0.883700249247541	0.54703648433327	0.399258193199487	0.133307273650011	0.064304756856341	0.0629419966169509	0.702190799732902	-0.0685174192583603	0.222440904210006	0.827666878357871	0.299960395787182	0.163797818533014	0.197498572814074	0.103381920782664	0.342890115123777	-0.110282264012551	-0.237738134450071	0.341072020070172	-0.0896015375315725	-0.43724820768296	-0.0399347087087463	0.482885313658111	-0.0751112105452518	0.536552121957586	-0.0453141327491245	0.422609499675048	0.368844393219759	-0.442163437823478	-0.147256582013156	0.708832372874984	0.572907742274669	0.340587156252763	0.394616642918618	-0.00430459885304944	0.0925787817114635	-0.0234106858418199	0.645213337240566	0.212158036543119	-0.230806084194665	0.231444869743624	-0.244649932780673	-0.0595221354492822	0.412026739336752	0.0740348374633112	-0.0762137712590832	0.104178633801726	-0.596433287923975	-0.0583984077415367	-0.584331293990414	-0.158072369835965	-0.0370699294515545	-0.559933917672719
PTGER4	0.561029228279306	0.429057074744217	0.612585449658488	0.0508562554928119	0.900798202673013	0.376503709619909	1	0.752329912943415	0.658009037976082	0.454013992516942	0.825368784929245	0.528528095397048	0.552197178875849	0.510629746482787	0.270814004590971	0.259139617731888	0.787810143685722	0.550388453126611	0.700258494492084	0.777953624352373	0.533100478184975	0.423816745803214	0.774945400850836	0.809241507533275	0.32925131574221	0.865208019616571	0.697944641080945	0.474708007566217	0.763243026289165	0.924425573825719	0.23706596679865	0.595794266915036	0.688864486831858	-0.0983632702857379	0.27849680633192	0.555316172838589	0.662320283222531	0.722911115037636	0.551425954952128	-0.153048656669567	0.392702762280649	0.874460012393499	-0.0110025839755141	0.597943820037337	0.081952183887279	-0.0404125220037727	0.58146374867528	0.869975272644183	0.622104742176885	0.845507993580608	0.176635326334057	0.164977784822239	0.836942477923587	0.510083937960116	0.50815130783662	0.162246006116747	0.704818572383716	0.695372632112384	0.883709956760434	0.550629006792576	0.39789141935281	0.198075457601016	0.416629616069555	-0.0394405368079216	0.578952185628398	0.800288444224689	-0.293858813553268
CD2	0.934079105650648	0.85810843986786	0.73230988584602	0.542800333919581	0.915134262411233	0.661854637680561	0.752329912943415	1	0.733887387068771	0.686258154664844	0.878184016250738	0.759165335871836	0.792289387260023	0.880850634173799	0.694286431986609	0.552281825787015	0.861991849443105	0.839451629299693	0.745633110476564	0.681239732714108	0.693262255163847	0.567855059387328	0.603093633666451	0.77710826735166	0.791455408430574	0.796101052773094	0.422926108910807	0.736291422446952	0.664129763780192	0.818237666081022	0.341746308070453	0.491710395715338	0.834322214945994	0.207409864028982	-0.161028009507878	0.471426828259799	0.873409238941877	0.626423358541507	0.640635887275967	0.242746350933709	0.68792415706808	0.865829288199712	0.0881057777195531	0.554191172201458	0.538698050294882	0.270128853997055	0.510171553918113	0.807099651536097	0.674398777843584	0.654863966424396	0.182755006390628	0.476781914227184	0.77296775857155	0.526452997848523	0.600971513111586	0.179253412129602	0.454578458945702	0.625304800245724	0.586692528403115	0.636321964875377	-0.00619116516543313	-0.0849269053773039	0.447177708230979	-0.236682693325369	0.383361589153075	0.485235117970857	-0.652285912048773
ITGA4	0.674562218835581	0.63841733283595	0.561058846190264	0.26073595714785	0.762289570091262	0.480033097652451	0.658009037976082	0.733887387068771	1	0.717642159249806	0.776420810450715	0.740766943106264	0.69461288979441	0.694269039114815	0.63460959445011	0.513994287867278	0.793776088747695	0.511896579993	0.727647552380909	0.641156740795294	0.503965596177463	0.179107430085616	0.56630131617828	0.714424195118609	0.534279538271297	0.797156664783692	0.625191836840826	0.606527655049792	0.717526119998708	0.691364919125878	0.496305329501819	0.531719426181285	0.823932500992621	-0.0191990132344212	-0.0413861770776494	0.459999859183965	0.754728502494869	0.498612095104756	0.604068466633867	0.295564629281256	0.534849124931066	0.746556620302211	0.180513158069891	0.586518335225832	0.563771767977131	0.236125017643846	0.527923250861208	0.548437358050364	0.662932822674159	0.715175513953979	0.494310873941456	0.594949448681698	0.73040068426677	0.475732945100994	0.590059705809427	0.383041232291748	0.499079583595096	0.419427850532259	0.548799772572733	0.622284184624923	0.150146937082956	-0.0577935578032323	0.610182799579242	-0.141225612096426	0.51102123146218	0.488562212953314	-0.527050015743268
CD44	0.657038631948092	0.603698625491334	0.16032083484239	0.636942555276164	0.51860513964758	0.77990635608406	0.454013992516942	0.686258154664844	0.717642159249806	1	0.712330458107946	0.492994124126906	0.890127556698247	0.474288914921322	0.526971159633823	0.867415354502324	0.720188859299744	0.303918386899733	0.289439804258555	0.241151439639266	0.186479534366561	0.239247465144058	0.145540580668609	0.406858628677119	0.690310745851451	0.492933679811723	0.212560039285705	0.240595969353025	0.336485517182103	0.45932267015499	0.180392323805608	0.090823477303066	0.452377564954392	-0.0166370194444589	-0.316935723702825	0.1130347096106	0.54892928185315	0.14988669049712	0.503437192422517	0.186011899215533	0.697712037200502	0.477247413971935	-0.140487283313359	0.0819429306114504	0.648506688341436	0.748648769197389	0.347824553680238	0.36567484784315	0.224185325661583	0.392452695928906	0.13659780346669	0.849085505930391	0.347209870531471	-0.0262552496339724	0.329606187657621	0.10288106607964	0.117554634303841	0.217384570648859	0.226778258208029	0.171476135713566	0.00930512138436705	-0.375440168561646	0.114705628222254	-0.45632393437704	0.00271719824288554	0.119601399154746	-0.564288761751233
PTPRC	0.753658277284834	0.671432698922683	0.530626045272357	0.512462898538218	0.882452841286187	0.764946413730145	0.825368784929245	0.878184016250738	0.776420810450715	0.712330458107946	1	0.772889009587828	0.763491479721179	0.661586822869125	0.487409757064474	0.633100115978774	0.859678548182884	0.635018935628112	0.625732527557796	0.60111654949044	0.469653401203568	0.651976960965537	0.502233435745965	0.693690913004264	0.698314109643887	0.779744703957448	0.586234244356524	0.525302762715807	0.595699219935049	0.793210677217562	0.1650179883755	0.333167105506502	0.75384400559218	-0.0893896480438579	-0.0184756076831153	0.346550981624395	0.767156117693346	0.465860146580992	0.668399079133871	0.00145595451705146	0.535221914395109	0.818184382177642	-0.192389059249954	0.414500436097921	0.529622382808564	0.244628833805851	0.615441983899766	0.796715443603307	0.487191558496598	0.616236648644364	0.243276726228652	0.495714217301505	0.726326868085554	0.302510299231585	0.577064936269006	0.0461932045928744	0.420436669239561	0.663942261863156	0.606405299311025	0.410710474985682	0.23230924074767	-0.205606520247262	0.346929840667065	-0.325969626541088	0.37994603241465	0.486639099046486	-0.565071499526035
CD247	0.663222640731807	0.626572689243074	0.589052497475322	0.402891157552316	0.745083868403984	0.605697095033841	0.528528095397048	0.759165335871836	0.740766943106264	0.492994124126906	0.772889009587828	1	0.497148653522192	0.747438294974729	0.541760853804154	0.440858615498875	0.593327780648422	0.65867116764217	0.692707191186917	0.499800192973834	0.47296584820642	0.53751762017685	0.3887391947457	0.521368249351322	0.718399326338448	0.616984096617179	0.54265263536504	0.67227238428507	0.582146695326003	0.50449818999179	0.294494229150792	0.246970595788911	0.821172975146793	-0.0328361827373505	-0.299394280443222	0.354602520357388	0.756714797513098	0.292865813911138	0.665583695417204	0.274289375390865	0.33250970929414	0.64973428165599	0.0120714370771608	0.481490653120801	0.646764259749284	0.114768520541626	0.447931878784889	0.54990975279427	0.537749918434573	0.409167150197997	0.436318949825287	0.40176264169123	0.611576062006438	0.400102813765028	0.649093307838368	0.100895193635333	0.329933803925173	0.559979641981601	0.362681327500051	0.492150562299942	0.185267226518633	-0.267487630262662	0.584026958940196	-0.236709813425347	0.398025554168112	0.317394609879372	-0.561916162059922
CCR5	0.788016456550124	0.707315291229626	0.329388221611798	0.691880942103384	0.640728348797268	0.717403185628832	0.552197178875849	0.792289387260023	0.69461288979441	0.890127556698247	0.763491479721179	0.497148653522192	1	0.601255856039059	0.569457410486004	0.738454657914626	0.758502495119262	0.465295585956262	0.385376975150425	0.33694115470016	0.372424886371824	0.323295805720063	0.269785659059834	0.522864114172624	0.738815982358264	0.622268590459329	0.210374076139007	0.335160543569985	0.422773227446216	0.607893375573222	0.207434563340859	0.264483018426503	0.552467628422272	0.0909480258847159	-0.232538036047042	0.128298975360431	0.598331455786744	0.334478765466646	0.48500335063945	0.125220436962923	0.67107583822654	0.600307822207459	-0.14180565487128	0.212122556496221	0.627684095333824	0.617136831396791	0.303004779056318	0.525580707938435	0.334023991407397	0.437765638707845	0.112060744016664	0.775150701431844	0.447242791078874	0.147873273687472	0.304643837433443	0.114088187576378	0.189395899973702	0.273672504305381	0.3405774025786	0.294871108151646	-0.160989827015762	-0.300972984428179	0.108945834689911	-0.463783392256563	0.0344491055851242	0.194647758582438	-0.64427228499404
CXCR4	0.931368759735413	0.929006749729233	0.85744582817272	0.459962202387841	0.79863712887198	0.421351465714285	0.510629746482787	0.880850634173799	0.694269039114815	0.474288914921322	0.661586822869125	0.747438294974729	0.601255856039059	1	0.846380413101823	0.364958176341025	0.711016319026632	0.907688111533388	0.831905910368331	0.701995091653589	0.833691474744202	0.418933805150224	0.622575950976518	0.766094832403235	0.723833304930698	0.732601814943123	0.331910022889418	0.897638086043644	0.658699700473242	0.672088831549379	0.478246297318708	0.600583838645451	0.877236693077507	0.379799129577646	-0.190508698384735	0.536471982971623	0.886827440437857	0.663270214035743	0.591832944924623	0.520239831225722	0.602936765958932	0.79451857743326	0.371464072827254	0.701351980209329	0.581209883839584	0.0879752104934611	0.409054607378826	0.660540199460332	0.800746501161544	0.57913680557129	0.308917167401017	0.343539694786628	0.74945219293839	0.726440793304155	0.646916181502233	0.308557809053555	0.432642662328254	0.480598960515935	0.457157830062349	0.802267894515942	-0.188490125531976	0.0269770108870165	0.623044453559518	-0.0535769558628141	0.494270241358697	0.392966944256758	-0.62906984966049
