""	TREM2	CD68	C3AR1	ITGB2	ITGAX	CD33	SORL1	CD4	ITGAM	CD81	LAIR1	HAVCR2	CD93	ITGB1	HLA.DPB1	NRP1	PLXDC2	TLR4	TLR1	TLR2	TLR6	CCR1	CD163	SCARB1	STAB1	TMIGD3	MERTK	LRP1	PTGER4	AXL	PTPRC	TNFRSF1B	SDC2	CD180	CD46	CD74	COLEC12	MRC2	FPR1	IL18BP	LILRB2	LILRB1	P2RY12	ADORA3	C5AR1	ABCA1	PILRA	RHBDF2	LILRA4	ITGAV	CD226	GPNMB	SLC1A5	TNFRSF1A	LRP8	SORT1	C1QBP	IL6R	TFRC	ADRB2	VSIR	PLAUR	ENG	CD40	IGF2R	CD47	ITGB5	PECAM1	CXCR4	TSPAN14	TLR7	UNC5B	FPR3	ADCY7	CD69	RIPK1	RYR1	HFE	LPP	ST14	ASGR1	ALOX5	ITGAL	PLD2	ITGA6	SIRPA	ITGA4	CD300LF	APLP2	TSPAN15	CANX	PLXNB2	KCNQ1	CD44	KCNQ3	PROCR	TRPM2	ADGRE2	CD82	PTPRJ	SIGIRR	MCFD2	SELL	NOTCH2	SEMA4C	SPN	TNFRSF21	CD9	STX4	FZD2	SIGLEC1	TNFRSF10B	INSR	SIGLEC10	PDE1B	GPR84	OPRL1	ITGA5	PLSCR1	MILR1	NRP2	STX3	PLD1	TREM1	PDCD2	TRADD	MGRN1	ATRN	SDC3	RYK	CADM1	NCSTN	FAS	ATP5F1B	RAMP1	JMJD6	RXRA	TNFRSF12A	TSPAN17	RACK1	LAMP1	EPHB6	AMFR	SMAP1	TNFRSF14	CD99L2	NOTCH1	LRP10	EDNRB	CD63	ERAP1	ADGRE5	EPHB2	PTPRA	RPSA	PILRB	SLC16A1	CCRL2	JAML	CXADR	CLEC2D	DAG1	NCL	PTPRZ1
TREM2	1	0.689521007976862	0.953747419413369	0.944680529951255	0.941261145577374	0.917058580273579	0.889627431345372	0.934884804058384	0.939722399562458	0.908575075745617	0.863607953639776	0.977814607027343	0.288178744963391	0.972878857326699	0.263793027394799	0.855058779533208	0.937463593673074	0.569328512448383	0.84905455895026	0.894905697434717	0.858643342165679	0.840989357750777	0.943116817041855	0.643404113941824	0.863651943182425	0.914961080472098	0.757807240412115	0.838350658646799	0.608093128222778	0.634488958380927	0.925087357616636	0.718411162303694	0.827238740358502	0.939492501707483	0.756025236323764	0.585805711418263	0.825613033638897	0.823737667431493	0.844268096749764	0.844003849609935	0.067726640028735	0.754195027053176	0.603645374925646	0.817276936052272	0.71709530026715	0.550431699376313	0.895233924669736	0.815925621920338	0.577140746996818	0.886098585452002	0.705174050444486	0.395305979179547	0.847588282196425	0.914670154392624	0.80720716857906	0.88519050854142	0.869871239571778	0.880506071867946	0.763227240485703	0.594887554121044	0.0313464221809929	0.577683841345854	0.93265790091712	0.873492094491653	0.682433101259866	0.801949363934474	0.785885748605757	0.36200713614318	0.151598527878329	0.82696429602914	0.797296672208962	0.802986948935048	0.562107566366002	0.898774656256726	0.397802254947715	0.867792125309553	0.342376652645246	0.645087970689564	0.861688601330061	0.634209699911754	0.114374840311554	0.951010782146377	0.896783592225294	0.844843570233811	0.916760116749383	0.885695279471996	-0.0907507461786961	0.533673656683185	0.83664763015746	0.802129100843264	0.825802311800333	0.85857238409746	0.791649355579512	0.139644893532498	0.873729451480668	0.904048579384746	0.843750357969826	0.774504271715472	0.610287939932375	0.945878428844139	0.833790721025645	0.904438911317412	0.479785051323506	0.584645979087552	0.322798003686597	0.527168012480231	0.426460085155964	0.432992634236291	0.83268501069052	0.252172523558833	0.0673260470809915	0.886059032159349	-0.127412119277721	0.924202741118261	0.542127454580857	0.802086064286201	0.72127464358378	0.873161014058463	0.87456982953641	0.828750896187643	0.90509824169795	0.649786588107586	0.794157122842397	0.845424073586101	0.804341730582953	0.843600487806196	0.741869200371533	0.62793621713771	0.439518863659506	0.613625527490943	0.634259720149942	0.842604099562095	0.807353008512957	0.889767006225154	0.830768737475725	0.752126110579033	0.846984879416385	0.876959802243294	0.714420961255371	0.878888486113869	0.662021806117839	0.789590225160994	0.540631228760764	0.752410525025876	0.456143534369936	0.675826818499997	0.526695824552699	0.835457987406979	0.573497786041566	0.856331887197188	0.69580320022347	0.843471581189461	0.74929961659404	0.725252656555927	0.913333532881295	0.586947835525315	0.805299954526449	0.833412768320642	-0.122845898622136	0.860947571843061	0.565418438561872	0.455119883823685	0.880913079643576	0.118082145796597
CD68	0.689521007976862	1	0.714656618029913	0.850230989254242	0.754389470167808	0.732953226100289	0.402048150851234	0.784894885689276	0.616269566217553	0.914224514846316	0.929633461642998	0.655051451525043	-0.0827865966731643	0.755769672171304	0.750519430249119	0.704774151209543	0.796655810940239	0.924725153813744	0.459263830010416	0.574474674536116	0.52071109602971	0.757386868156137	0.759490644288008	0.967211022861562	0.81128895410505	0.393963561719623	0.857538193397881	0.918863732234585	0.909424584763662	0.935231767478405	0.677882137428265	0.658782429195363	0.452972536719271	0.747105889652317	0.926557604195399	0.899764318503345	0.892276322006425	0.383534991842604	0.300531051900532	0.864731863096113	0.611787220020698	0.560427394858796	-0.0610772456822524	0.934386988382354	0.94101162084537	0.920314250995909	0.737601052399289	0.301994230241679	0.944225065958151	0.360853867587581	0.167952249591617	0.928545427274443	0.41301512431246	0.728586542352475	0.280002936585059	0.59394493857973	0.871405033718036	0.774377201817892	0.804429108961984	0.197983357648235	-0.418047291823163	0.968406896280724	0.536720703908703	0.62643416779373	0.96676587140364	0.903058761473736	0.860936969038756	0.893281066672197	0.465005234700062	0.82891070022097	0.812498078260532	0.269148526749082	0.910421861475038	0.799745989579029	-0.187656611188391	0.764822090807677	-0.246048584854887	0.774287145370883	0.758847307762402	0.957189554276935	0.77161669207367	0.688264728298003	0.481415723960328	0.556902031515446	0.649611163633342	0.879254175872666	0.522228524338681	0.951662734809126	0.942365996050981	0.224889977755793	0.897485447517321	0.51469005303167	0.272005557863475	0.687613832348526	0.376857439890738	0.425533741963937	0.791773002806258	0.441936728004577	0.951625500802993	0.691256957468202	0.750208172697051	0.850090189843909	0.564216060265033	0.876169885118345	0.343045097835755	0.922957507263717	0.910308790452079	0.918499177685823	0.86672162013772	0.315301564156881	0.714948758206809	0.492326909798551	0.158854313463238	0.514501135657948	0.397909092745105	0.278319120209415	0.716546485809861	0.807832394154896	0.548750645291966	0.834007639325947	0.808554161758135	0.901233705733027	0.779465163301234	0.394013158574133	0.862128784784721	0.906404305327136	0.519999519951787	0.611625566064307	0.788681372518489	0.743081355198817	0.930042647091527	0.870179630590885	0.339779031351805	0.906574054383237	0.341034764707151	0.356084088240847	0.822100858042717	0.479681730170212	0.812784394035871	0.888525824046057	0.986695983591501	0.759789197543616	0.901055385480243	0.936256973022076	0.898813514778233	0.711994512080641	0.621921875908261	0.888229718801714	0.580704298877295	0.949176911601877	0.853142950456301	0.671840719179159	0.844334101739252	0.583919580495404	0.863608640059766	0.404696167724786	0.583065030587594	0.841234248997066	0.492865312562877	0.346553664053709	0.255881630511889	0.28447865546045	0.773986002618512	0.0490342449270217
C3AR1	0.953747419413369	0.714656618029913	1	0.932528583628264	0.944744006154034	0.920055088576669	0.871910067375875	0.939193961165405	0.91689183012425	0.90647394288772	0.867110512669883	0.957813198825077	0.296052210007708	0.936032501714656	0.346044301110813	0.853333887200895	0.955182022365251	0.615736575901242	0.849459060931063	0.936240692815736	0.855512207720016	0.887282555215531	0.933848698645516	0.691983419224677	0.884768754229267	0.851296609213092	0.816957745544062	0.849880290953568	0.665900506147438	0.685301773099045	0.959298450056785	0.825879967335145	0.793911616850653	0.911926051519357	0.789064408941738	0.665202888457611	0.811051712863644	0.768345556906545	0.819461568163684	0.84083977889988	0.13155068010427	0.770863716801811	0.586314762804681	0.847662635900174	0.772708800618158	0.613629589165795	0.879615776838031	0.842005041465371	0.61317600966417	0.855805606976147	0.698500566968919	0.45648659321791	0.819933635571121	0.916869356006477	0.759660020557106	0.87939000359706	0.872265612251946	0.892177074482412	0.814976245294023	0.673810410026598	0.0983026839936347	0.623717199363109	0.87244911576315	0.855752004405599	0.720448806641277	0.813300342401344	0.807975607649682	0.462885509734767	0.279480762474427	0.881736579679498	0.840913197798087	0.791831854942946	0.610572958724852	0.915981463907475	0.387919362176966	0.883339337237307	0.36705019401273	0.690482728312227	0.87490110910248	0.656343426023852	0.179708835950173	0.937909234322854	0.836415097975162	0.861475280434002	0.913578930272407	0.903648164384682	-0.0250670842836245	0.588785237023587	0.855661644333373	0.756582564130569	0.841001832407149	0.817234428109437	0.767714882616807	0.179534053419975	0.859400286444655	0.832263269875636	0.879421416454038	0.808620607706195	0.649366089433296	0.952428139969454	0.840789940978508	0.90862246718134	0.494008689547036	0.612493499696003	0.322882363077977	0.570974461112108	0.470616653852164	0.468203765599948	0.856305261351087	0.295598624093119	0.140603965570395	0.8854890535241	-0.0574353570037677	0.920927879218624	0.515345769423035	0.785198641023719	0.817207722211981	0.859268318033934	0.853682219307164	0.83736021356136	0.883429382425007	0.719124844933293	0.818210780869947	0.80249343172154	0.805675237985239	0.853968838056103	0.734608297420498	0.597310863902823	0.464733072730705	0.666468296615648	0.664989151431538	0.854015953358217	0.718844782968621	0.885886534165391	0.742031829543348	0.786756389637212	0.850248394904167	0.797429774827266	0.724046997224875	0.869904717463366	0.70074533210576	0.800686141302784	0.556551419442563	0.765049791426837	0.50944685241104	0.689708473981897	0.582165369104574	0.86862089758893	0.535067203170999	0.850383592264706	0.771593377733183	0.795763210557869	0.7734995177463	0.72280012242878	0.894340799939403	0.588341953618278	0.773551855451033	0.88240636797006	-0.0471564837134705	0.787395613231771	0.545712012977989	0.393993458408009	0.907929967617874	0.0804650257531653
ITGB2	0.944680529951255	0.850230989254242	0.932528583628264	1	0.959638668755644	0.895506634330059	0.789053926311315	0.972525989263524	0.906763444599311	0.954625184591893	0.950862380792393	0.931124769761928	0.234662874047292	0.968154099079916	0.419546926340018	0.853210833962817	0.963768711538653	0.738357997813224	0.770046006851649	0.840374874990569	0.837928005723831	0.895249258103168	0.956889920431834	0.79944558896231	0.911049932169982	0.778343454459245	0.832863952287565	0.943123899663372	0.767998164386807	0.776965626154635	0.915253099658924	0.733638597643216	0.732729482438396	0.963173070522517	0.856802862977587	0.722824166697556	0.937368515493393	0.737989329953	0.712865860649131	0.898525297415991	0.242058728980115	0.773567662549075	0.414914938227504	0.925866677196433	0.867110204101512	0.731010132321372	0.889484640588365	0.684831639769606	0.730052043179564	0.753329084273921	0.560532514930734	0.617332198601765	0.741827605003158	0.90144419486801	0.711083143665702	0.853379241467461	0.907663583679456	0.94531153182494	0.846309663513996	0.471017704738282	-0.145462249244554	0.786112179043734	0.881740479479225	0.847630041940939	0.858775344157352	0.892843435084808	0.881224761920193	0.59639663418903	0.238528284108372	0.90070776299185	0.863579813172256	0.691886628820163	0.720968889119984	0.92129399952294	0.205720394791981	0.868572637021388	0.181099123328253	0.785951456590274	0.907915552732113	0.815999767194359	0.372477013707546	0.929921242509221	0.835990253968311	0.825688352117075	0.892104513436593	0.967024592666662	0.122527266636374	0.71738191620953	0.954408072970043	0.638208523136936	0.908678835299909	0.81690620918168	0.682418651381776	0.364191465178	0.770215637179868	0.814352162516246	0.896746554734546	0.745819547512613	0.780209553395221	0.933113908962996	0.866349923095883	0.954284656953602	0.549398741307131	0.722346863009477	0.317833584178775	0.717239206921042	0.632741293437363	0.62806763443341	0.880589947033348	0.254321278275517	0.306819124050862	0.814599873327793	-0.0462271004374585	0.838204254136898	0.520830820410778	0.696851498143499	0.754329510728402	0.947104100765731	0.785843722248457	0.889480800668512	0.934854036613123	0.817273653559074	0.871910151292116	0.773004238531209	0.860081203526735	0.912060287343168	0.687490743508226	0.652050876534266	0.598323559693954	0.70935127115589	0.782442037157486	0.924563331650172	0.709690792720929	0.956727287963471	0.70253878651256	0.654036377302879	0.909819231443544	0.813785572879228	0.787377111371499	0.916286614131566	0.827519462958607	0.820980283137434	0.685415472573301	0.853196239543293	0.624933729565025	0.731146529919978	0.608319995151594	0.924779983619827	0.599301656626901	0.940156430787093	0.823428905119245	0.854613298309207	0.830422279705321	0.719414317390087	0.941554359964441	0.579959677484954	0.784454298729792	0.918041085384349	0.133159467201283	0.747836719300818	0.479017924498048	0.423495744666868	0.882651764616941	0.0962109467183279
ITGAX	0.941261145577374	0.754389470167808	0.944744006154034	0.959638668755644	1	0.89571221029654	0.842644253693553	0.950456068811485	0.92930686647768	0.90370936414006	0.890845132207458	0.952382312190644	0.254706375321481	0.967382590666521	0.315355958712907	0.852327284245246	0.972316783151086	0.669160332369718	0.817470520059115	0.883673793348253	0.871453696330818	0.883382493851984	0.950460837459667	0.731549439935994	0.904733180426665	0.81264743775203	0.820365311657661	0.908716454068254	0.719494111633434	0.715608462451372	0.941689649038487	0.739968706867909	0.783412746178691	0.957347262744475	0.821269169261532	0.637730698707712	0.881998764312265	0.752443659418786	0.749313110775919	0.869745169332338	0.155662962041758	0.778308346175732	0.501680555361293	0.872397525312375	0.801827556730031	0.679104478158708	0.858458588656467	0.769669074653954	0.651162645512852	0.828490676965716	0.632477776583728	0.521473081917192	0.728047800274297	0.882273853940436	0.77276443442345	0.885745757587326	0.849755572296124	0.928738941070675	0.859423763283412	0.536213278615608	-0.0811283239538146	0.685103724884273	0.885079141110387	0.810733955416207	0.796080232017236	0.861999971422402	0.8424454841306	0.505670725100227	0.214570747242624	0.899758752737267	0.855945865329051	0.764580481752248	0.636476629256554	0.911985132079534	0.274463414916665	0.865389624518182	0.298538972418861	0.70361744982981	0.919747153087415	0.724969935543897	0.24425766208624	0.919830271196321	0.871827636061406	0.848568249052193	0.914219177519539	0.942739851879114	0.0139350259475056	0.61728123817093	0.907348743555841	0.688569151463586	0.876588574162598	0.821746557213083	0.736643269075172	0.258313641667376	0.840430424940024	0.829404509694784	0.897292884544922	0.756168776791453	0.707588961916234	0.948748015205808	0.836110679761598	0.936021638517881	0.439624964709337	0.683733849545201	0.279463224597893	0.625402308475806	0.5460114851073	0.52548067506625	0.885135079028171	0.256274755376139	0.212642274073337	0.83144860061656	-0.0954988004832983	0.876936299466849	0.52724342503898	0.722700443846293	0.749541870849915	0.901665545941912	0.797036666156153	0.842050700139205	0.934103487970262	0.766782760869026	0.859150062086743	0.795631144890891	0.788784033838549	0.847974356035801	0.720448283874073	0.652255187211074	0.533218601258689	0.6815743831492	0.711605616243117	0.885735109995113	0.718218687574144	0.906327543642184	0.751780561729095	0.689806625135952	0.866298516430293	0.826986381190412	0.740372220496738	0.852196189647727	0.747988998794993	0.777174715082286	0.598033128109875	0.794308681893151	0.55417172331383	0.711493490480033	0.628876194276967	0.886674215630556	0.577194086370976	0.8721846715722	0.781299908846245	0.866766754993797	0.801865840449734	0.758233823165805	0.884067066015674	0.626188637392718	0.803810666035463	0.877311809059365	0.000275802625796653	0.8054225308855	0.562838825399059	0.427183318607836	0.8821628760131	0.132369929863017
CD33	0.917058580273579	0.732953226100289	0.920055088576669	0.895506634330059	0.89571221029654	1	0.787347971001931	0.903866735429318	0.853440959212374	0.900457750710282	0.872612155806934	0.90312637147581	0.238649180088163	0.912157080169099	0.353806020225691	0.847303603710323	0.888387021124693	0.633399156272248	0.759794798397739	0.839481915088969	0.7448172488662	0.842677061186268	0.90859241483538	0.731419718243269	0.835752025171856	0.832416635107617	0.802994246483014	0.824163510986247	0.644639442993926	0.703907968799711	0.896570914941021	0.748509172236907	0.793026312360678	0.881633682508858	0.780133776349059	0.653660412374615	0.83827026776588	0.680145292018283	0.728339466714571	0.870587594388754	0.224877351350673	0.656008097192739	0.478470844747095	0.836381075227203	0.745076888257	0.624370368208471	0.886569305004138	0.729123805816229	0.647251117402369	0.772753984243721	0.616780326110787	0.487406242168895	0.803861122378295	0.881952269120307	0.656888423003705	0.804003709826271	0.888865687042041	0.844981928729212	0.813583333010277	0.588834587477625	0.0183794357636637	0.631579639530973	0.796048240111575	0.848047077324966	0.722111019544232	0.828380758616339	0.801999200170505	0.488414037505188	0.251656210929144	0.816238410181519	0.834127383524005	0.68174862727802	0.616405660303503	0.87150351133197	0.330802913030257	0.854047439156144	0.272203662467641	0.61053375746463	0.844389503571999	0.684051568023412	0.209869430310208	0.88894241292897	0.740669194176112	0.819576312280966	0.863053108561373	0.851815340692933	0.0259554270502826	0.604576455458194	0.841307329689903	0.742125992716249	0.835311016730425	0.727463611651774	0.651790254892344	0.207755427840793	0.776979012482556	0.778820117905922	0.867796519811946	0.656533245579267	0.665963036784685	0.877865092392707	0.843160415754411	0.859861526806166	0.538497046575297	0.645706670241275	0.341679087771578	0.582639204249733	0.497560600470569	0.488974106794954	0.866626440449748	0.378181293020108	0.218596270949879	0.840896857650742	0.0142922728817988	0.878473025459491	0.576297108526019	0.693486897256247	0.741339906820051	0.83238144160639	0.771167521513873	0.797953201717746	0.873452734912929	0.694332527451489	0.754818605843579	0.689535243878378	0.853260489743994	0.863141722897235	0.702032593444343	0.580586366311522	0.511856395695248	0.658351262932289	0.686977916416895	0.834191911492447	0.699404503337826	0.89632204776804	0.709248889945115	0.730873488910344	0.877458650342472	0.744615026356886	0.713295316091961	0.881461662653092	0.719819003495254	0.852387351095967	0.669939036053077	0.786306808120143	0.561917127448381	0.57530715034771	0.591581813627676	0.854151712100343	0.529758438310447	0.860918213235439	0.721210386577285	0.813081669460343	0.759587986412229	0.727037416503028	0.905389027222927	0.523796785958182	0.76447431047189	0.834436761643947	-0.0139891777391064	0.759907568677449	0.490745801952035	0.400849912488705	0.880095329330612	0.0985254998979412
SORL1	0.889627431345372	0.402048150851234	0.871910067375875	0.789053926311315	0.842644253693553	0.787347971001931	1	0.805292547372688	0.896712350466953	0.693443565923071	0.660402624594437	0.904028128187941	0.389916071747005	0.833873064504948	-0.040262446206171	0.730041275032085	0.83771832335516	0.333439358958678	0.855308648816057	0.873296959232511	0.890687853850988	0.745638897217587	0.827276941236325	0.36943454856045	0.7383192178069	0.913806109354295	0.608863762491977	0.643564452112639	0.382438796684301	0.382443715828443	0.883529474091164	0.697859020963915	0.787677645502594	0.835292702501817	0.518485739278385	0.32883796981409	0.592478038984676	0.829115333029045	0.948876620126354	0.630657774642466	-0.21815706132075	0.763480663457172	0.842094454331578	0.615032979643489	0.511179715731348	0.289127901688493	0.77461112502009	0.931359589453576	0.284249574540742	0.953587642927389	0.84725104464778	0.0778451332946422	0.871747163009463	0.824203530361029	0.87640837491597	0.869126655516273	0.674407198240572	0.761016428395258	0.617248342166877	0.729140330842764	0.340196604807129	0.299878216481018	0.913315930529958	0.836340445749761	0.429409777934059	0.553000947789055	0.622793839279787	0.0887332338204715	0.0355219359340488	0.681681886808209	0.640703054670095	0.926864909288318	0.278789513648939	0.761706020975174	0.64226103353061	0.732347463703468	0.610188917554963	0.494500903810815	0.767558110633267	0.353133966613083	-0.200716109603978	0.852097232773827	0.848368442208995	0.837092225785026	0.848552132434549	0.716644903538632	-0.401469731240396	0.233960275179256	0.624158496504293	0.86293546143797	0.635643509344157	0.870842757946314	0.920347030878908	-0.172478827369771	0.964467678229507	0.881886153437654	0.760759153775199	0.791775348911452	0.346355145653082	0.896309697866062	0.638958639736623	0.740063332929422	0.358824456776211	0.349167591744341	0.212709753114548	0.233716279676253	0.133404300314097	0.103514124828192	0.625446650375395	0.276135924547782	-0.231038238201765	0.898577430563044	-0.180434568788636	0.929154906983051	0.528694448590382	0.868127898199958	0.596590574791751	0.74224903631364	0.854417564202472	0.667586709022036	0.719600308381714	0.470588544877573	0.636379590964748	0.847162324579664	0.603247943554502	0.598900658305417	0.72765845114969	0.491736993691462	0.211075692584668	0.478881627840979	0.36030266747566	0.666034962502404	0.865152383223259	0.659473130185503	0.864648444896927	0.823636807671922	0.7084157488442	0.852553961823075	0.502055178389632	0.642467403323704	0.396584893611646	0.605485829507293	0.241683101811817	0.475115859245551	0.14412822289426	0.538051195062477	0.424010208300673	0.648464038282284	0.431377999043265	0.61897385132095	0.51754344301866	0.73682385367935	0.567080036395888	0.64742025271598	0.704929136036713	0.615459610743921	0.742994450300636	0.677478142297156	-0.369734303628015	0.895214378533634	0.515175666257638	0.423439819493192	0.758581806081674	0.126554835317121
CD4	0.934884804058384	0.784894885689276	0.939193961165405	0.972525989263524	0.950456068811485	0.903866735429318	0.805292547372688	1	0.913518569615158	0.914169028767592	0.917949683144044	0.93721364860796	0.316577677941578	0.955101226835431	0.371594160712321	0.862103146014674	0.954196449940645	0.650771417534487	0.808540458051045	0.881908891837112	0.835884583896527	0.915910123051857	0.958673852740345	0.746777677513138	0.89691354015604	0.80983491125183	0.81940044340864	0.905175995823246	0.697135787343797	0.739740247404388	0.925133619120011	0.740970666572785	0.763177032922399	0.942581589172078	0.813531963976229	0.689955722004751	0.914315292687921	0.769327877121441	0.738036234600846	0.875209105810449	0.230834175754793	0.78205751287759	0.47656723571939	0.908861157527833	0.819717113178174	0.69214760493844	0.901177446876769	0.729708706509907	0.664400494679347	0.763713747769328	0.582161396989968	0.546335670330909	0.770974231022415	0.890004458659848	0.743181274444124	0.851536851365864	0.862732149936266	0.942018712800284	0.822964710498095	0.518007915206289	-0.0590090064175019	0.725601862833035	0.875262524645316	0.853102610394023	0.81250495476569	0.85754147150231	0.865622238629536	0.542243579595408	0.23645428594674	0.901380019565256	0.886273894939382	0.720614714317678	0.68489801839282	0.923492664964571	0.264534851239047	0.856622343758782	0.289029432362428	0.775148399930433	0.897698014235829	0.7720575423113	0.281527817861123	0.936769772960233	0.857617522806764	0.843537221932827	0.892107348582706	0.93534077831743	0.0915404762416043	0.638007710438748	0.921800359348337	0.709715312251296	0.860946641477037	0.791836969991173	0.700131646589329	0.310757931883014	0.778749065920676	0.845432768916256	0.883850039898165	0.761567637954051	0.707422084867788	0.926536659532924	0.891138782283898	0.915828623321421	0.54801994061612	0.654672744571659	0.385141153265833	0.655393813397257	0.564955789406819	0.550319944905116	0.866460811302263	0.243992875204962	0.261664838716952	0.840646285614874	-0.0160736522564626	0.869769193706251	0.509646351950045	0.727166256516943	0.758628198466314	0.913969066143742	0.800066440728411	0.85376162529541	0.927242833006865	0.768489145833322	0.870057225272688	0.77924835835653	0.811573675871503	0.878413814273574	0.664444041885461	0.597046729986467	0.540436566521219	0.683601877414264	0.726561780515189	0.900102335301369	0.718572431048979	0.932336852474801	0.68146895216446	0.705624500469886	0.901627528326781	0.796717340502332	0.761533278463933	0.877123872675533	0.765456496801729	0.768498198024421	0.641973291803085	0.814382580278023	0.569467331007581	0.662745699307373	0.573777792152026	0.904435160710007	0.54088930921884	0.878414719272698	0.797364894378917	0.82022094239549	0.77421665958158	0.706226181812659	0.903335757190421	0.552753930733811	0.758312794525814	0.896820856755148	0.0718498368111014	0.765372052676757	0.466075734344428	0.397650127233027	0.856708846276977	0.0583595357091037
ITGAM	0.939722399562458	0.616269566217553	0.91689183012425	0.906763444599311	0.92930686647768	0.853440959212374	0.896712350466953	0.913518569615158	1	0.823530643542538	0.814991722116147	0.944236928062616	0.416236634259578	0.942698933469725	0.179997250281571	0.865765400915122	0.926553628387715	0.527722207572779	0.864048411323893	0.871936354424675	0.907607871581098	0.841686585534362	0.91507795701561	0.562153201285257	0.858896137725589	0.858455635583153	0.722920286678447	0.800319987471568	0.583005278250792	0.598971135004802	0.919407396100391	0.676648776238071	0.817094204703118	0.926840083031058	0.702082263329845	0.523291687619833	0.782719053470278	0.802169669623162	0.821138957764489	0.752204161043976	0.0319117410059013	0.781752261209647	0.617819607914662	0.779233815827773	0.684493816713196	0.530870242011062	0.81014721791325	0.834661040986703	0.493093198434289	0.877018974256131	0.723904640692021	0.33823329039345	0.833903909802575	0.846928310707676	0.845118123114076	0.866658973376746	0.772136844794884	0.897931338615068	0.739650572147139	0.556308475072686	0.066834857936521	0.52616149425286	0.949165583353005	0.80505385196729	0.647891690337458	0.74469225280212	0.752335534262872	0.33159115697758	0.0756328613844913	0.822491885886513	0.774654590339797	0.843612970274103	0.5170648030841	0.889174001996859	0.39910951060695	0.801503907205896	0.418986464098826	0.589855519919871	0.853910788804507	0.581811587465695	0.0737023489029842	0.905151391747923	0.900742450502252	0.868886817455701	0.88358385526515	0.854962549741359	-0.109700968392592	0.454148003661014	0.802068498631325	0.764135517983418	0.792488818341638	0.881288425660611	0.848041899524663	0.116657295489624	0.883615645591495	0.885941296690198	0.820782901937293	0.852222559093774	0.557099198424128	0.928364090562202	0.778642637202435	0.872801665961736	0.414479513339585	0.541056942988396	0.236006259612335	0.497301808692614	0.356615637875841	0.367642421211016	0.768812661789905	0.19888951547337	0.0553999879227362	0.834079218154739	-0.139258129619793	0.890203829958318	0.619427206016928	0.807321632950532	0.663160393342748	0.830335466849719	0.8163747584147	0.776447576350867	0.854742675448297	0.649926161059963	0.784977706605268	0.857823510284751	0.711159838631232	0.753746315857579	0.662298441135488	0.629611554904408	0.386408400630697	0.592791809587356	0.565591773746091	0.796779177364944	0.809196157632364	0.817925234509891	0.807843232785117	0.672245950674511	0.805225973112462	0.887605487018709	0.644649667331038	0.772242630640564	0.604245365252358	0.708092475622527	0.459035476595082	0.659386614576707	0.417393024070351	0.633515446829466	0.521887788293444	0.800600339621387	0.476312685257314	0.771545936671283	0.681134750564503	0.845248764650572	0.680638030746339	0.68976341776046	0.820212825885424	0.56266556156177	0.786236012333542	0.768834764855703	-0.157038112299317	0.846818986715931	0.598893144888816	0.427959597686965	0.802991684903403	0.0878607889078494
