""	CD44	IFITM1	ITGA4	CD2	SCARB1	CD3G	CD8B	C1QBP	CD6	CD46	CD226	PTPRC	CD3D	TNFRSF25	SORT1	PLAUR	SMAP1	TNFRSF1A	SORL1	ADRB2	CD47	NOTCH2	INSR	TLR4	CXCR4	S1PR4	CD4	TSPAN14	PTPRA	KLRB1	ITGB1	CD69	MRC2	RHBDF2	LRP1	CD74	PLXDC2	ITGB2	HAVCR2	CD81	AXL	SIRPA	CANX	APLP2	ADORA3	TMIGD3
CD44	1	0.536703339257046	0.928027138372629	0.950126875831735	0.860791822697177	0.898264396256157	0.315939624074084	0.485357368215862	0.480202276739417	0.262135806998829	0.221056433594439	0.844984349019936	0.60897604044939	0.627136012285332	0.718986783865229	0.767678472961663	0.919939115678465	0.770598978584462	0.758844752950781	-0.244120449331646	0.797974156702345	0.493970591377388	0.385913193112779	0.655251302457791	0.94150902576917	0.829341983986209	0.737273437858686	0.691736630901176	0.856150789533309	0.554176360027703	0.772959571475662	0.919319315233531	0.698036511183303	0.62477961876621	0.527082428305316	0.86715324367188	0.616039230946186	0.701474373835336	0.665243306856728	0.908463309937975	0.743150041102972	0.49345054639774	0.542111807870787	0.630104705594957	0.944083362806212	0.461922895641305
IFITM1	0.536703339257046	1	0.58732058763658	0.655758318085087	0.216205466704217	0.829692408976204	0.686588625596365	0.808587724853776	0.915792490154931	0.567261874158536	0.425937876755211	0.705463959452379	0.925887007462938	0.0292001005106364	0.176656977012264	0.0028837853271883	0.483150778192091	0.227790063389431	0.554032294459879	-0.287978374325762	0.187772995296023	0.364608251273372	0.300979314216483	-0.0526066182034016	0.315387483823258	0.0994462869411286	0.270850819993762	0.554723893500255	0.679514608218125	0.860418812279741	0.764907792353847	0.226347009501344	0.140913015132779	0.35865063059034	0.0555499585294779	0.541921478216854	0.220143367600345	0.816004614199142	0.282462115932409	0.601977168213857	0.468525620088996	0.766471865229493	0.671533724838891	0.515730744499738	0.574490398108298	0.249598280637995
ITGA4	0.928027138372629	0.58732058763658	1	0.991276545933386	0.74272640127469	0.911666652710172	0.234493257375942	0.597934901734287	0.507134732391075	0.251114866722901	0.23907060283869	0.859020870852852	0.574822787463993	0.653049336014091	0.699178534483885	0.654633718515249	0.926337344202005	0.797432677067185	0.75320741213204	-0.2755102831738	0.80069293198096	0.286142234591024	0.313572135950075	0.642512196660621	0.894075958807131	0.83613712155364	0.655139247103905	0.675189328179767	0.795899974166798	0.517151834712134	0.809278549803981	0.84755073550346	0.557605067131589	0.597825733148332	0.566637305209276	0.878626040641115	0.619306335922647	0.714046258998519	0.654408228498135	0.872287216881773	0.713139446985317	0.452102742539438	0.482036140391546	0.662217558354922	0.884712691924056	0.518304341305906
CD2	0.950126875831735	0.655758318085087	0.991276545933386	1	0.752878455967887	0.950725858744381	0.33819245657999	0.622816183085779	0.587915707974522	0.321152206678757	0.293725315502885	0.896043437662069	0.665264207817116	0.60118389348773	0.692529902958299	0.637405391529909	0.923067362081757	0.76805838649651	0.785159497062251	-0.270763032465128	0.776053081117621	0.370914941895003	0.370244247172741	0.604810109924254	0.885037009951819	0.789326810894416	0.673021355935127	0.717040664086883	0.850360799374276	0.60813566013347	0.852094384382244	0.836704565076704	0.576109924884367	0.624135205334819	0.523008526422444	0.890164710347588	0.617232963710775	0.76149321061974	0.65548765663167	0.899541137540477	0.74584890683229	0.541957214503387	0.5500994564749	0.690999143994403	0.913989198631608	0.501607632421514
SCARB1	0.860791822697177	0.216205466704217	0.74272640127469	0.752878455967887	1	0.668372384335405	0.12037689280947	0.221417853983743	0.27544830143458	0.31989130589534	0.128334882663949	0.737155847074702	0.365990680605858	0.596203756614158	0.817099270165555	0.839707932714061	0.827021760146976	0.787683467973263	0.759689555371198	0.0971641217254373	0.863815956462984	0.544834943718599	0.468636626878842	0.863751761060004	0.912236580707455	0.795198818822481	0.835531652842736	0.704238117699095	0.710204713055457	0.314371911840618	0.641022133523079	0.885932498515667	0.755618845142488	0.751945841129892	0.545052385161158	0.743040635698666	0.769582314923322	0.368916710779107	0.786972955477161	0.741002536692639	0.736499332283104	0.351185608278959	0.349368325116694	0.663263121214751	0.869001265941508	0.435979828589058
CD3G	0.898264396256157	0.829692408976204	0.911666652710172	0.950725858744381	0.668372384335405	1	0.484234946644185	0.732751766283176	0.769132160934853	0.494085566918091	0.366263344058725	0.914787388060003	0.829331202576734	0.439238900848222	0.565765729917725	0.494811991783837	0.869535528808173	0.642842211251993	0.802399456696913	-0.247524687321892	0.645525182232283	0.453131430937082	0.388271029286111	0.442004981935057	0.775159424717314	0.602042766382198	0.63163768476632	0.749756928412284	0.882849901361532	0.749306430200869	0.910875739197256	0.69955026662265	0.456908422341047	0.630859440559275	0.388223838606906	0.835582017225006	0.567128442233476	0.832019978751629	0.628473655883567	0.869631249506438	0.734091473800018	0.703364627249638	0.658905726746304	0.708673965525698	0.899933279225873	0.45225891208533
CD8B	0.315939624074084	0.686588625596365	0.234493257375942	0.33819245657999	0.12037689280947	0.484234946644185	1	0.274382021522898	0.804675737144181	0.587860430509883	0.675311467730127	0.506247522837527	0.857241901419283	-0.222324522924661	0.138620427080917	-0.043153599292238	0.0868396229723366	-0.1333281112662	0.373189106422731	-0.0804412812704813	-0.0527918201248091	0.586669317216697	0.620818634858975	-0.167118256259308	0.0568388563263434	-0.213706906773114	0.14380456888707	0.503796208714513	0.579805426589575	0.930956358950043	0.524560569990734	0.0894385632345851	0.324029446516162	0.301611108607223	-0.314251842293485	0.25482063691853	0.0713174944254945	0.491990470919343	0.0251669337785047	0.322545951358954	0.391571345150931	0.763458739871186	0.59160396443369	0.393448181529743	0.326248937683343	-0.124121531284981
C1QBP	0.485357368215862	0.808587724853776	0.597934901734287	0.622816183085779	0.221417853983743	0.732751766283176	0.274382021522898	1	0.629056544801099	0.384373432732562	0.120989433723831	0.681480363746229	0.636835805946745	0.129731531405232	0.344258828424431	0.0563305985790865	0.593467158281922	0.460195564255017	0.592388263082259	-0.0698891472642421	0.393189294159796	0.101355847452704	0.157939692740789	0.153792392941818	0.418714448283166	0.283626434560045	0.427775839123722	0.545832040732852	0.617200083441669	0.528825461047283	0.726361481255139	0.249700074762621	-0.0396449672075935	0.426079578274215	0.468903479037928	0.704171472277185	0.407464136205921	0.8701768762435	0.489608760969065	0.684820541055782	0.53162133899752	0.641722914599535	0.672181819011403	0.585819212890937	0.587272985349297	0.604678316585783
CD6	0.480202276739417	0.915792490154931	0.507134732391075	0.587915707974522	0.27544830143458	0.769132160934853	0.804675737144181	0.629056544801099	1	0.810606918702691	0.591589936971287	0.747666165330693	0.959286042437062	-0.0955380616281434	0.226894582599156	0.0203966314585624	0.408042322290225	0.182652099314458	0.650990074506666	-0.0507396784457086	0.20048653402521	0.550682521353011	0.567190765794468	0.0128966196955441	0.260276236138892	-0.00772173538598121	0.343587304084837	0.689930206283248	0.71976888895977	0.930361718842626	0.815148357021562	0.191674448210593	0.183991667479304	0.518584527936169	-0.0637418104080051	0.46250927923148	0.329224940323755	0.645547893531096	0.358350454397203	0.48353785274785	0.577595024157243	0.865662283548415	0.613626178527439	0.648022117468771	0.555801810824057	0.173293734084694
CD46	0.262135806998829	0.567261874158536	0.251114866722901	0.321152206678757	0.31989130589534	0.494085566918091	0.587860430509883	0.384373432732562	0.810606918702691	1	0.603455671555326	0.638801937902587	0.690898800819308	-0.169146560263193	0.325301893380492	0.105614915545644	0.296586604521596	0.152820841759283	0.711371791937786	0.445814422131848	0.238094212920216	0.644104333930836	0.714083349219768	0.191604090063251	0.170634495641848	-0.129550165255205	0.484522192009208	0.769088402447341	0.55321426716274	0.664943282031235	0.702770159667435	0.106641556612823	0.120362571642977	0.720428151799846	-0.093663377880965	0.308526452912755	0.557103840636635	0.324293443162138	0.549055974644572	0.251192480371945	0.596657910246669	0.814089333733414	0.482385221124471	0.734104194557662	0.442484692919738	0.12704944860801
