""	CD2	CD3D	KLRD1	CD8A	CD8B	CD247	KLRC1	KLRB1	CXCR4	CXCR3	ADGRE5	CD3G	F2R	FAS	PTGER4	PTPRC	CD69	ITGAL	CD44	ITGB2	ITGA4	SORL1	TNFRSF1B	TREM2	CD68	TRADD	CD4	ICOS	ITGB1	CD74	C1QBP	CD226	NOTCH2	LPP	IFITM1	NOTCH1	RACK1	TNFRSF14	CCR6	TNFRSF1A	TNFRSF25	S1PR4	HLA.DPB1	CXCR6	GPR171	ERAP1	SLC16A7	TSPAN14	SMAP1	TSPAN17	PTPRA	CANX	CD47	VSIR	CD81	RXRA	CD163	CD46	CD63	CD9	PTPRZ1	NCL	APLP2	SDC3
CD2	1	0.971589660887633	0.912662298674601	0.747155585054899	0.493971598274637	0.763638295673575	0.847719631393498	0.958659686809079	0.884380140768092	0.691335652984581	0.840980831074116	0.988399239452434	0.0985198222635658	-0.022402084446949	0.961471911376039	0.960437819923909	0.874478039614151	0.812359109689196	0.903538904502134	0.373791788974878	0.822983481672839	0.268393361210185	0.516754277954533	-0.118603725775637	-0.331367544455379	0.6814791211771	0.0853216071430118	0.59036375820566	-0.650339578516855	-0.109951769241427	-0.535023010955155	0.215386240363015	-0.638010874572251	-0.810943192402585	0.944579876325545	-0.72386471529339	-0.533652133268739	0.932842804903838	0.750839772438014	-0.938529051907814	0.70499666172741	0.914557638164458	-0.140260769233035	0.852051263964752	0.959095702222732	-0.0961753901181734	0.0324197832483432	0.219801682553144	-0.741345957013423	-0.0579785498286381	-0.714766616946922	-0.742254993955513	-0.712358805709151	-0.0686544092673794	-0.858877137189631	-0.830143377826793	-0.278781102625745	-0.863183631021481	-0.868018525950526	-0.824254907304001	-0.703780898061777	-0.60391808700557	-0.87535047234863	-0.790791065029874
CD3D	0.971589660887633	1	0.939820176376454	0.77679669938494	0.328514110296583	0.660754421657989	0.879373872893836	0.93759953237727	0.880994992172601	0.817841823001227	0.721438137962044	0.966379334216396	-0.106014959557673	-0.133850008765404	0.961906396339254	0.887686061448387	0.917569961481182	0.792856250088639	0.902729124009968	0.392801450985118	0.710038846061849	0.220598917964853	0.431406807240046	-0.109790706035511	-0.327327426720603	0.71604244363549	0.0551726808539597	0.631776319186967	-0.702955355364367	-0.105856947252686	-0.585722544556591	0.323281691133709	-0.618086153257611	-0.832598392640487	0.874183597950627	-0.673871346401435	-0.563476500354675	0.891195039288977	0.818053691445807	-0.942780488993295	0.585977964565137	0.963094837007189	-0.151162227353162	0.932623055595121	0.913991300040026	-0.0185640839856156	-0.0277244531689585	0.38725322303602	-0.769625755281367	0.0691740568878152	-0.759896612342268	-0.735437869180603	-0.66848602425834	0.0366027626538131	-0.868932566038469	-0.838619717787676	-0.263794648936221	-0.834624727129949	-0.867843058974172	-0.83026231206044	-0.728693720203848	-0.617233792865238	-0.858485134024462	-0.801246088300702
KLRD1	0.912662298674601	0.939820176376454	1	0.703152177271575	0.403255915565734	0.636679820537257	0.954496022247128	0.82185272991097	0.754355649994685	0.783314140140023	0.756726119756466	0.91377519776642	-0.0739369523574019	-0.235870316291643	0.888700211285636	0.829234856443518	0.798772068512385	0.800176190615548	0.79408895431951	0.348333137781943	0.653916238292259	0.101602419828844	0.434453205906396	-0.204581029876223	-0.36915981951408	0.536998934217462	-0.000103920040739477	0.47032901986623	-0.608536848861122	-0.184140451448718	-0.550509049610869	0.228014227696872	-0.486049813603087	-0.746114651929728	0.834162322349371	-0.574091342390601	-0.510095754176752	0.787201926590275	0.66726487557203	-0.852302649141738	0.502889406682026	0.917049824520453	-0.241362472198674	0.845361133661609	0.889979786993149	-0.0744737315606716	-0.0160934560381395	0.304229227339946	-0.65839748961574	0.167144538874336	-0.667058672516588	-0.674638308401083	-0.567614171394002	-0.0188322153822278	-0.79777126974704	-0.782887539654932	-0.291221516253169	-0.725394798758184	-0.786084260730615	-0.740838932973514	-0.622484099380382	-0.508482589160304	-0.780761431460714	-0.707799139680587
CD8A	0.747155585054899	0.77679669938494	0.703152177271575	1	0.316986650197418	0.783649575517802	0.675909704718999	0.774115370024559	0.919728659289049	0.700948934501848	0.49774403731728	0.792815027787888	-0.225087452876208	0.358632948384198	0.814386581830299	0.743002215147971	0.906324121924471	0.854436906186003	0.837292031440543	0.721475181780445	0.749855934896069	0.627840438932731	0.593232457647837	0.428381784477417	0.211708714468498	0.682974489848687	0.502399991029872	0.834188071283386	-0.815869696386912	0.415655685396727	-0.564211424760229	0.667344424371994	-0.805176374292672	-0.823221030409289	0.721282579886286	-0.67533930227632	-0.725214327291949	0.574919856237699	0.671212672876108	-0.792591025275965	0.224683370804657	0.68561451707896	0.39233676853097	0.691450638508448	0.681362499215409	0.0699797656660836	-0.183781302407671	0.214973339240943	-0.813466105198362	-0.279212835124229	-0.838338357326766	-0.797428387873602	-0.797912999311943	0.486715227616797	-0.61627463783745	-0.862321003278382	0.24441033587205	-0.802676237242164	-0.794240283703432	-0.885932436759795	-0.762455382594061	-0.747435216648714	-0.764649796771108	-0.812195421523275
CD8B	0.493971598274637	0.328514110296583	0.403255915565734	0.316986650197418	1	0.794537225735947	0.274354842073764	0.358414368591047	0.338443587363333	0.0801782332414969	0.835994288604759	0.53430931267758	0.647473310137704	0.264741457052936	0.389410142342543	0.650807919830842	0.200127415730305	0.606776441079628	0.364476134498968	0.379221817727933	0.763776250552933	0.25920218067364	0.75546758316935	0.0406726676282031	0.0573600017449315	-0.0691377299134705	0.361241398383054	-0.0372061179464367	-0.132863442521287	0.104049713218679	-0.160258629822824	-0.15427516682518	-0.34173960597168	-0.318408636756144	0.646613990459492	-0.448003004991358	-0.234673586137657	0.397916164808154	-0.149193949408109	-0.29195339496482	0.362746867261643	0.203720365664327	0.083266924491126	-0.000673859076746089	0.637610666449151	-0.39800583086646	0.135424864565377	-0.605024929148657	-0.178828466849542	-0.560311489502543	-0.213064271481256	-0.38793196254087	-0.484436349596764	-0.15822049709788	-0.220763977693115	-0.44171263681167	0.078773440810134	-0.398036947540494	-0.323903384641636	-0.357529313163113	-0.218786619425675	-0.258033748810339	-0.397474012362168	-0.313688645682888
CD247	0.763638295673575	0.660754421657989	0.636679820537257	0.783649575517802	0.794537225735947	1	0.567123559191737	0.733647144901575	0.803252351014122	0.411347018061221	0.818414545148836	0.801180368977821	0.31695498095074	0.464531634744799	0.758007868458337	0.878776915853968	0.694379282742972	0.869899552860705	0.779033661313238	0.667050778954548	0.950281784168528	0.616272424426319	0.829711832547019	0.32967223431805	0.194383561113659	0.464918474669945	0.5560820404558	0.553784068201239	-0.537405109668135	0.351273258882995	-0.399721933387577	0.338548532550015	-0.732590416139705	-0.68972778921062	0.876123313827953	-0.727282949805829	-0.53170604343185	0.6255048520697	0.363427218185758	-0.673488414588015	0.445393637535011	0.539856104353373	0.337930688082589	0.425523382552839	0.784264450700245	-0.11236570342851	0.0464670174852605	-0.237031428054579	-0.602849030595757	-0.533904751678338	-0.634679869807577	-0.698729816186318	-0.810694368809506	0.17992020207119	-0.501082172127442	-0.785097991871041	0.202969414571339	-0.749603786712829	-0.667996136650744	-0.750821051351453	-0.613871655200423	-0.613593714056401	-0.705069852548692	-0.691555190528808
KLRC1	0.847719631393498	0.879373872893836	0.954496022247128	0.675909704718999	0.274354842073764	0.567123559191737	1	0.794008480774338	0.737983600053491	0.703805190584774	0.660459504738206	0.828057556578747	-0.126335853734847	-0.203336900946423	0.848658083054853	0.766492957908118	0.778848451975196	0.737857969720765	0.752439979637118	0.30219306804497	0.571831638515583	0.123894948330836	0.33557931422126	-0.18100103897531	-0.354664649105181	0.586384611919194	-0.0362345391987716	0.514667682471279	-0.619581540880301	-0.184648941361497	-0.570375895548907	0.251846508022036	-0.508559681715811	-0.742394498810095	0.770048024102388	-0.587498664651213	-0.502647625816055	0.740494435705221	0.706975441826693	-0.843542454148964	0.509822130047592	0.878074378491138	-0.235034291042114	0.829488334314898	0.778227639867331	-0.0570776334209873	0.0072654586540316	0.34133816184021	-0.680235858713587	0.214684178766256	-0.666167362604872	-0.642910837835676	-0.560001502126082	-0.0112504859137196	-0.804002999225209	-0.73903792724526	-0.303663623790962	-0.73078842271324	-0.774039170401269	-0.722364190129899	-0.652972970761949	-0.532750138540583	-0.765628659075147	-0.715993531185499
KLRB1	0.958659686809079	0.93759953237727	0.82185272991097	0.774115370024559	0.358414368591047	0.733647144901575	0.794008480774338	1	0.94311665364872	0.648737446021532	0.72729609331136	0.937701949405313	0.0489971195392817	0.126139752173281	0.964641367490039	0.930923281036346	0.921390121522427	0.746166181256784	0.945286501331838	0.407501896775345	0.796755296938544	0.403559009925098	0.48276233534862	0.0221970787480126	-0.228474471861065	0.833142840493888	0.161847281075039	0.729368121394083	-0.64490511785537	0.00677880808878523	-0.484431397757449	0.346402435122076	-0.711329037861394	-0.804182258552269	0.911303397316523	-0.750470881854854	-0.499283625597214	0.923143132613755	0.853849628810259	-0.930322212399532	0.715865614701556	0.884752483838545	-0.00342522952958988	0.86802963658789	0.868095132762249	0.0658390800215029	0.060801540949865	0.335499007622914	-0.769395002845964	-0.0846382346390209	-0.737283722522324	-0.710968266572817	-0.73420666888304	0.0236751309904386	-0.820096944236531	-0.802930257887655	-0.203788748960746	-0.86080620502303	-0.834541628457594	-0.819788594904907	-0.742798050141693	-0.630070946953565	-0.851518382923279	-0.802221317222602
CXCR4	0.884380140768092	0.880994992172601	0.754355649994685	0.919728659289049	0.338443587363333	0.803252351014122	0.737983600053491	0.94311665364872	1	0.678877980024483	0.618115072724577	0.890436375120078	-0.0916887974553637	0.306103857236525	0.936487343690979	0.880394146130704	0.967290667567955	0.826669655514904	0.956909340761157	0.600848522622817	0.813313470725206	0.589220478572146	0.580009602747807	0.278182972028479	0.0338686978261656	0.832163914878503	0.377176855856802	0.855412592057391	-0.779219305806022	0.258863806071781	-0.574635562327955	0.558480632622998	-0.853283050138961	-0.876934289231456	0.855595546677904	-0.80833249730456	-0.647042647179448	0.787819507515269	0.814056430905285	-0.913192047648575	0.509851085661653	0.814474010328661	0.246667214562841	0.805891243176894	0.796043690093938	0.0732407689892113	-0.0448524331412653	0.273857865435385	-0.858010070224966	-0.253657369480491	-0.855336561508024	-0.793731360426187	-0.85156037854452	0.288727134644257	-0.767211899981687	-0.877617640174131	0.0424193425558378	-0.893362812113353	-0.86296477985779	-0.907818321708149	-0.838061966540121	-0.771410246237979	-0.865482746920372	-0.880223530812551
CXCR3	0.691335652984581	0.817841823001227	0.783314140140023	0.700948934501848	0.0801782332414969	0.411347018061221	0.703805190584774	0.648737446021532	0.678877980024483	1	0.359642396160212	0.723073564968399	-0.539470968674913	-0.2810785211986	0.769328557370385	0.561367172418683	0.793933967712025	0.706139561690817	0.681566399692697	0.574944672731979	0.355961045881783	0.169958695188874	0.39056995229056	0.102466558441989	-0.0381398440612673	0.484857379282904	0.215475256970453	0.537845558331419	-0.716075557267523	0.123876713620385	-0.631856964047395	0.561370370459228	-0.519046876791212	-0.764963746244085	0.558462249194791	-0.504397999872596	-0.636153609536191	0.534733436621161	0.636914829462118	-0.699183193219583	0.0827399231981571	0.844952763084059	0.01383494711021	0.806578803273643	0.657458409611508	0.0514069465874682	-0.306329752797708	0.519933211257894	-0.709320817478499	0.142811488773778	-0.788153885434471	-0.670362582535654	-0.56320615804763	0.416290268279317	-0.650026186059001	-0.78554267585991	0.0700834826405884	-0.576128881543476	-0.701918305931884	-0.738209364692244	-0.684575725189491	-0.605125412455875	-0.683133318560819	-0.730792970294017
