""	TREM2	ITGB2	CD93	CD4	PLAUR	CD68	LRP1	PTPRC	CD44	ITGB1	SORL1	C5AR1	HLA.DPB1	PTGER4	ABCA1	CD33	CD81	ADRB2	C1QBP	CD74	APLP2	FPR1	NRP1	ITGA4	C3AR1	CD47	ITGAM	COLEC12	SCARB1	LAIR1	HAVCR2	C5AR2	CCR1	SDC2	LILRB1	MRC2	ENG	CD69	LILRB2	TLR2	TNFRSF1B	CD163	TSPAN15	TLR1	IL6R	SDC3	RXRA	TLR4	GPNMB	AXL	ITGA6	ITGAX	TNFRSF1A	ADCY7	SIGIRR	UNC5B	ITGAL	PLXDC2	ADORA3	PECAM1	ST14	TNFRSF12A	ITGB5	VSIR	MERTK	CD28	TMIGD3	CD46	RHBDF2	STAB1	TNFRSF14	KCNQ3	TFRC	CANX	TNFRSF21	CXCR4	ACKR3	CD180	FPR3	KCNQ1	TSPAN14	SLC1A5	SIRPA	TREM1	TLR7	KCNN4	ASGR1	ITGA5	CD9	THBD	GPR84	SPN	LPP	IL2RG	PTPRJ	ADGRE5	ADGRE2	CD40	CD86	CD82	SIGLEC1	PLXND1	TRPM2	RACK1	IGF2R	AMFR	ALOX5	CADM1	PLXNB2	SORT1	ITGAV	PILRA	SMAP1	ATP5F1B	CD63	CCRL2	TRADD	FZD1	NOTCH2	EPHB2	NCSTN	RYK	NRP2	SIGLEC10	STX4	JMJD6	MCFD2	LAMP1	STX3	PTPRA	LRP10	RPSA	ERAP1	PILRB	CLEC2D	NCL
TREM2	1	0.87870191244693	0.635079350479418	0.789677176048789	0.891713090409435	0.794223229539393	0.745340501814472	0.811612874614833	0.480209256377248	0.866272997950407	0.921106765727126	0.814007611718225	0.830623553249573	0.859536511178874	0.461272380265091	0.838884245472577	0.881219641322447	0.839234273065163	0.459103024025131	0.908519336983609	0.830654201854102	0.944003879270363	0.787976514966541	0.708280921792378	0.952243491978363	0.743900836296637	0.741564226565951	0.418808051367228	0.743137367553743	0.911193636537747	0.90412223356137	0.459804025970433	0.672844763771879	0.404969768883083	0.919714523896604	0.75038908392228	0.761935133590984	0.823017029424561	0.639820790590904	0.844440702329059	0.893693707913868	0.842181578804369	0.758531568756839	0.889823547830477	0.534098239248815	0.649921464026259	0.441487028830476	0.759235680496977	0.394647641994826	0.84375524026552	0.851896939611407	0.640367909533605	0.873009084815442	0.834542234376773	0.730655611244553	0.900385185299009	0.809630167769185	0.916412481324145	0.962828780474949	0.794775937736747	0.5415140599872	0.504527362300847	0.726137651869209	0.866507813073184	0.815192494146689	0.745875045919276	0.835657424715518	0.799512532926316	0.893069634446816	0.749733040868538	0.594059727105987	0.805255115511767	0.745620367269763	0.779042767761038	0.562568422724668	0.830085310820529	0.466673046837147	0.467723853990725	0.72503317902309	0.776927819944151	0.85465904476203	0.655588556069051	0.838029340853287	0.490112049936821	0.877034144425863	0.484278001775846	0.457021268454301	0.415105916257304	0.890531029497617	0.437825885418456	0.772858672832854	0.633610618872272	0.750740958508823	0.707255129549192	0.782152689343721	0.708755905829483	0.882948177280993	0.855166295792789	0.916068593149888	0.673860104434627	0.572902800566708	0.556959160207559	0.832454942508952	0.700211335637912	0.544618515073459	0.689894422804589	0.630795446288337	0.766922779303655	0.700635816194105	0.647594809732325	0.831691868394416	0.817693813105745	0.738318519263352	0.596702038806818	0.860771937951602	0.866237280036782	0.848649661216537	0.741056291296535	0.644423782788502	0.627076313871496	0.734522387882586	0.658268276255509	0.524206156502744	0.853746051285671	0.886540675354618	0.710595104283669	0.744537714444009	0.823155523589212	0.541396443056616	0.737644359419859	0.846022164329348	0.540356173349219	0.722765996569596	0.610267468474257	0.702767987307401	0.55693578421191
ITGB2	0.87870191244693	1	0.764489422669089	0.892499852963681	0.941975892725303	0.748178521960111	0.731408645611222	0.93159213921523	0.793201063256124	0.937687945020222	0.825846179337555	0.706761313054403	0.639584671154969	0.858704588866468	0.527276362326766	0.94296113956158	0.897669186103976	0.743610803433868	0.73211129798484	0.757179729139045	0.926935070898588	0.870356519852762	0.851802899799734	0.895051146293703	0.879846223294224	0.910401320871257	0.889326163460032	0.629330419970882	0.750251385599933	0.926434770967532	0.932362994966229	0.660944967716776	0.806005177715625	0.517396977962202	0.849783509389434	0.821043772645773	0.904733909973046	0.771284371640896	0.797851750164961	0.866405911872391	0.846994799675193	0.867393696070331	0.907849115326176	0.841652456053862	0.761639538661311	0.556679541183762	0.756849669609008	0.770884693302946	0.488738006494826	0.623331692523944	0.88536754307247	0.60974530366751	0.931989471360191	0.889334177538514	0.891273819658324	0.827269940463032	0.793702740414434	0.867525865878636	0.797010583066398	0.609769989310381	0.814921563069311	0.784261491373906	0.746875888942373	0.830420655030359	0.759185312662377	0.555922437192888	0.775685355949861	0.856626010417453	0.80368184737819	0.779691700678964	0.680746518604719	0.78927950062467	0.637480617817761	0.936288751704816	0.713007718953153	0.772838121147501	0.700812165216629	0.766506014023666	0.7810824584917	0.882194270916484	0.839536155160588	0.848869372451621	0.90874050428306	0.766540713074328	0.763945870827264	0.778176705738963	0.739431210211497	0.733592009771039	0.800246769133883	0.735845751434461	0.88676923208748	0.85307775208408	0.819672556150909	0.838819158365602	0.864682013092373	0.867728566892211	0.832301263727564	0.813446152528348	0.916322273271185	0.744788962181641	0.528246679254257	0.765008063450995	0.821829231550598	0.899545917903876	0.690210801088829	0.80209763564603	0.888013321149026	0.745767661154505	0.859907110419073	0.719294920828284	0.793370354640745	0.587134815691786	0.911518607293627	0.838547074138242	0.922544293138109	0.86184664744381	0.907768986600817	0.839361486099469	0.725909760138736	0.765542254619409	0.862905813491438	0.775495779462799	0.758837522858428	0.735550909290399	0.884022520763254	0.832620918479622	0.919157161154703	0.870787837954997	0.645612932509648	0.861051056844767	0.851051367489914	0.821677544103097	0.822847312541627	0.704517955512743	0.751019570817901	0.816381211591791
CD93	0.635079350479418	0.764489422669089	1	0.875079503949671	0.792189817972571	0.520082856312541	0.692133852694126	0.729566756286506	0.703894415405898	0.802987043873486	0.667605979992677	0.518297810474311	0.428962664489575	0.735965414590146	0.393022553598986	0.748645346427959	0.829222190841055	0.582475524265727	0.605759905162166	0.539480329315513	0.817194760584105	0.660043427821527	0.820169268268592	0.872847020057567	0.628053713454524	0.764003044267655	0.836533237334525	0.610106416155216	0.733109888668362	0.806838977068952	0.711682465777345	0.740652672264196	0.685944850021589	0.287989820508621	0.707192387300482	0.821617742790177	0.896590155443193	0.576745666424644	0.729585253046434	0.783987553593744	0.663361547201258	0.809732711595189	0.830011978187137	0.716819885525022	0.648449542905144	0.60752376416889	0.694731442098925	0.710874179156345	0.229060145076301	0.412247317377225	0.805552323076983	0.45278485269543	0.778739631901916	0.825244548351912	0.737808567979602	0.70944326425881	0.696884985688708	0.759614054030808	0.625329277825956	0.55054775130261	0.790508271407692	0.648108550600466	0.708703581796204	0.577420871936724	0.746552081245968	0.473472739451471	0.689478697560262	0.707381765954024	0.699792493807415	0.886051925982261	0.483049750167828	0.681966553747996	0.52017198631507	0.784799904661486	0.649611672508649	0.488847450833206	0.668527149377157	0.606292243844645	0.76943727128334	0.80802855207619	0.737833045365439	0.720919580442389	0.815394173104393	0.585059433572926	0.691204579923589	0.682721021637553	0.690363872217185	0.768366549219881	0.52372911603038	0.745824347257532	0.768342461882301	0.777179955863192	0.772055409868451	0.717724325372777	0.872779711883245	0.771504016575065	0.719361774844322	0.588000946093452	0.572720776133958	0.654011851557271	0.559982244648213	0.844888296226737	0.819972146780328	0.711669528370261	0.63236744131377	0.647798920210815	0.734252081438945	0.636979744934707	0.859650864382388	0.655991861785912	0.71637639622952	0.280856613692533	0.765557796060343	0.685326564861167	0.725074496341234	0.659045710720092	0.681569274720951	0.744104821721686	0.645565026629204	0.789888589248644	0.809383072851729	0.726900248323897	0.669424656385543	0.509527700698194	0.699899794909429	0.600956854368321	0.723337161717283	0.621824523389492	0.545154395129931	0.786858952007342	0.686711535655743	0.67250062082633	0.766116196525483	0.645594817942511	0.727116436175527	0.701455377303398
CD4	0.789677176048789	0.892499852963681	0.875079503949671	1	0.919398196091942	0.747203774144021	0.856633415387605	0.8357250542554	0.769101369385672	0.929357575475308	0.782012358280134	0.729232176508181	0.551623750250919	0.836214517333404	0.637351937206466	0.846468227486856	0.948086573901014	0.703850580436196	0.596150229132565	0.666522115500721	0.941252951214522	0.739235047401365	0.906259088704046	0.86001789590756	0.782178611604976	0.851330562891064	0.934564009874553	0.700605289006061	0.830644556101416	0.909448138001094	0.869534534011803	0.777761122698902	0.832398452752606	0.533319119966106	0.816808937096247	0.873644687942083	0.93524761571256	0.644893276951819	0.75123790923198	0.874321457347359	0.815955342760044	0.933759972213045	0.884535311907362	0.805043031528055	0.74507673513866	0.753804923516059	0.744925317381031	0.84817431301186	0.515136244063052	0.551011433839163	0.868827850823223	0.685081583135301	0.877696670723095	0.898920030563039	0.83234559849014	0.79354868791177	0.810244212464473	0.867458931773989	0.746610077816682	0.688294970030154	0.833603481184293	0.663060442872264	0.856349533742218	0.662860771683011	0.876905811854149	0.625641587649512	0.8048759590856	0.855756728804217	0.812917729362046	0.916622913180081	0.709833411210161	0.811076419792349	0.644888314737838	0.907182050901751	0.779969641243019	0.646672101244834	0.781936626213627	0.663510965710174	0.901149855163349	0.879354487034842	0.884914532514712	0.747195008564025	0.930480015535715	0.712380834656816	0.771459228490821	0.681771223617808	0.678814353969896	0.768722523053091	0.760028528252874	0.711666425383267	0.811247360248498	0.812111908546813	0.865681330302074	0.827323936627205	0.91492604771672	0.847190167088681	0.836315895004992	0.697417110769784	0.752016208891987	0.811873315441048	0.69142565219734	0.855847297808764	0.87789581803167	0.798148650012091	0.774557248792661	0.833466008787389	0.78201629118428	0.791037085769516	0.932841266916549	0.755441825327433	0.845399360321149	0.499440702301904	0.883703609976615	0.719867885095103	0.872102374449913	0.808269823386661	0.827411029227975	0.832987897157357	0.789127677828959	0.798269355882448	0.886061323563199	0.793371105073378	0.784306218997051	0.631294713794042	0.85135888630168	0.749200451057774	0.826030806026706	0.830646487689905	0.682709543493632	0.856909148546388	0.848128705547698	0.706664210065794	0.800654918603907	0.723548753494447	0.817691048973269	0.702542298853095
PLAUR	0.891713090409435	0.941975892725303	0.792189817972571	0.919398196091942	1	0.852077193440682	0.846016614410788	0.869877116482768	0.752483394043456	0.967658785894225	0.848480585656928	0.806742736596494	0.656331113547482	0.883250068172307	0.646093681000607	0.889350330987733	0.957046926187547	0.776610957112014	0.623227303996713	0.759769809020006	0.953871368603532	0.832947675628065	0.900472178687288	0.830927175969861	0.876770454500289	0.870715497562881	0.903587461556986	0.665583163452586	0.838244239192029	0.953355511059662	0.932614195966813	0.672565016663651	0.854234337851068	0.570489409722868	0.880696955729788	0.844392482706635	0.909448723964943	0.730654317181729	0.756312656120719	0.891271881484	0.879410867465477	0.928998484219457	0.893106603870131	0.850418724175422	0.757071443220248	0.724199215696348	0.691616267356254	0.85387689494376	0.569242034644133	0.669554828425069	0.893308321890746	0.726196478856634	0.92733412399805	0.903458515551527	0.851841759678058	0.844735781327264	0.828318980568548	0.902914507056164	0.841952571740633	0.732986737833465	0.785042620495121	0.692233608601528	0.854280803551703	0.774729407258873	0.872864160248684	0.643400135511399	0.870234976746379	0.875709158070796	0.858149974428564	0.846283441438747	0.74626316128044	0.80399177144572	0.701434508025785	0.924505216457808	0.780770312247265	0.748356352074586	0.723676235228279	0.681836459061582	0.866509479433034	0.860205657903026	0.908719728185141	0.770823002735451	0.94819580062792	0.733801507815054	0.816967485619962	0.698167037419688	0.66240813530822	0.692783259713383	0.848484443127276	0.662097791087975	0.85496549297288	0.804213648964732	0.863936277694474	0.820207831813661	0.880007342424596	0.8693382038335	0.879942835719737	0.808502761250948	0.872090757981054	0.811331748240541	0.669531500608558	0.791227757752122	0.874078965003011	0.841395148720487	0.771185615043926	0.835402095838091	0.802804607046918	0.802433255018669	0.866856422592377	0.741356828402326	0.864588773719391	0.658346673689717	0.895367912171382	0.751473901317278	0.933920950561649	0.889486889732581	0.901748430177981	0.81998373248779	0.78032382285445	0.764669200245	0.88822400172864	0.777659884810398	0.769541285768315	0.733171010061969	0.917076507987877	0.82091087986776	0.875853030949276	0.918334931061642	0.713111160301048	0.848755994119732	0.897031457823907	0.720429095569475	0.769270923274344	0.700749619698745	0.793265339879455	0.718802048843068
CD68	0.794223229539393	0.748178521960111	0.520082856312541	0.747203774144021	0.852077193440682	1	0.829219818247288	0.633117449102315	0.569667558093395	0.829560155792999	0.69226228395925	0.834530467893464	0.608995201706541	0.728175634427511	0.78254167493439	0.672990527441224	0.827392210523714	0.692185211260654	0.334514254311952	0.671628741384572	0.823065829902481	0.637088205600866	0.787854035519322	0.525153906421477	0.772023180278115	0.660798114690025	0.754334148350555	0.557225468340161	0.774667634535325	0.803808510838676	0.808439527827142	0.500394221810337	0.816826148152206	0.708032522378093	0.752118412529959	0.624760853245725	0.6953894258807	0.526242760984037	0.542344646133136	0.721369230196453	0.75909450256346	0.83316764735014	0.698492907449431	0.719886279459946	0.660013955877351	0.781445298607096	0.458040853540516	0.817195121859193	0.788777550082269	0.628230706053095	0.700081143106093	0.794775642541158	0.742279415011725	0.721342076922988	0.660464469254647	0.653471119254711	0.675342096697869	0.771671281037203	0.784811329927594	0.723380167377251	0.580032420652455	0.416553816424303	0.855948425999427	0.583843808553824	0.837045433667994	0.669009655668461	0.816679805230814	0.793102006092702	0.735662882488904	0.677191777706139	0.828104292142488	0.678161259384537	0.59119584696497	0.765026333233928	0.783604430368125	0.679578928477891	0.613543938336426	0.501643479987503	0.83867066396075	0.659566730319154	0.806839828812443	0.52257689155719	0.816582100658706	0.646612352002485	0.719333903646497	0.394542354919736	0.441418406316201	0.453028010734854	0.875809936160101	0.354189988394806	0.581213391240488	0.546231121352649	0.688317527484804	0.619657557863057	0.692751829495452	0.675829106081558	0.732944809210324	0.676990055681332	0.761428624522267	0.777133050259217	0.753566777169582	0.633078256260194	0.727240122474258	0.635065989503005	0.751622726683642	0.765927813389184	0.555137987420013	0.750413389665424	0.682802912106397	0.566803055577467	0.7721788656142	0.760568842350497	0.751713907005495	0.487973997040151	0.849725708598666	0.801844418844709	0.769983289560084	0.615786938747928	0.744449241572306	0.528030788750192	0.735232042288177	0.593207642341335	0.674724610400945	0.599919277292473	0.816430360351509	0.684892760568551	0.678646729545877	0.937857243935209	0.76454481178497	0.628929053657503	0.842030818572048	0.458208839241031	0.536119335680742	0.503113493331101	0.625235353141157	0.42052731702689
LRP1	0.745340501814472	0.731408645611222	0.692133852694126	0.856633415387605	0.846016614410788	0.829219818247288	1	0.657978147007021	0.6019732907914	0.873114314657351	0.762250661574347	0.842912964351987	0.544665243499963	0.756662043237848	0.813278600427646	0.650373577577574	0.906470809625327	0.668407034745969	0.309220674214188	0.626545421304209	0.871806410789314	0.605661241510928	0.862010053828624	0.600829225825106	0.729697236912205	0.681697305099503	0.837515222052705	0.653939873685765	0.887637871150856	0.823137772173757	0.778344724765812	0.646166850433399	0.779141840721119	0.651418220757946	0.774254404208115	0.808933523079022	0.772245487213866	0.479172060537902	0.530126589861259	0.812828452613031	0.807358894745169	0.91402627053237	0.70314373426726	0.740021174830009	0.650395640820591	0.914355877809477	0.493222572641636	0.886512121047574	0.676786145596381	0.56767856517501	0.772564054441426	0.863445493008429	0.757653254533545	0.774089342554713	0.689079644025627	0.708290999641903	0.755095337649113	0.84326288969533	0.744190828405361	0.812640542378608	0.6181159425123	0.452464763588592	0.903822678637675	0.519578263058713	0.935262462456853	0.759721862827757	0.782354898311829	0.82440014522573	0.829422928451089	0.863148947258978	0.737455580971517	0.783266667806679	0.718633058295938	0.787713045628527	0.794841020582721	0.615344998291201	0.705103602579438	0.449511766321264	0.91276914610792	0.736136552274927	0.906759582850959	0.505997963114013	0.873648966265249	0.589077458285125	0.764161111035943	0.437374380788622	0.412903198456699	0.577153964687694	0.8608772869694	0.430255864528883	0.609634561275398	0.568223852676047	0.870878882771155	0.689475773974661	0.802684523047195	0.747299965041543	0.818999623014452	0.624066912650482	0.663549505326779	0.86432197871191	0.793550320956758	0.722971520894619	0.798133968001046	0.594841256505763	0.834450908702596	0.840144512026308	0.531294788483514	0.877609475508195	0.814901661016079	0.750120019356981	0.890520296345877	0.626634055362651	0.7409366168294	0.474459914024321	0.805267055771766	0.753774373995189	0.725661126347222	0.733767407183354	0.824733517928884	0.640414836216716	0.811102361939704	0.723198487152766	0.738560221947826	0.548091302702034	0.841579614671222	0.670299663024107	0.681294548766886	0.826039497385682	0.729702586982868	0.774276501208618	0.819966080791445	0.427947514795677	0.618221715906886	0.71470904609952	0.823220546861405	0.429364672305549
PTPRC	0.811612874614833	0.93159213921523	0.729566756286506	0.8357250542554	0.869877116482768	0.633117449102315	0.657978147007021	1	0.800906951744889	0.879093447647894	0.843110010166699	0.697175455581034	0.714971735897096	0.899212285981036	0.428292562320919	0.904530145417418	0.829406673214739	0.788119293637214	0.778868077197378	0.800434958579133	0.845801574882044	0.837801843101656	0.728879883380172	0.894966943311015	0.86363022571755	0.892110159353976	0.830086041831391	0.524061606178859	0.731671084766305	0.893390495926423	0.926440157260448	0.629978829825681	0.730531315567171	0.377724446650716	0.860094975613379	0.830694422066655	0.851236022850715	0.835547889561317	0.822613367744999	0.837326098559635	0.854933777000071	0.785340919527781	0.880873251333443	0.833991968048048	0.797055330519532	0.45062351337412	0.758071001560768	0.765222278932901	0.34376105900413	0.682101405612821	0.888883755304436	0.543474780853833	0.926262935727846	0.875293274387344	0.89317053511033	0.829080948642757	0.781840063969399	0.870808256685901	0.738364707571484	0.614266102721915	0.751637678244975	0.739894021226656	0.608233800291803	0.877720504132108	0.691873767893109	0.471921502223782	0.644721149372741	0.854370214600165	0.788818374013221	0.702174027699488	0.656843108769767	0.787026983846762	0.711795020412837	0.906713631969533	0.620354685521296	0.822822315208699	0.613288533853593	0.735002205909941	0.688156717612504	0.856437244178486	0.810039079136201	0.888556985574158	0.849495147705205	0.612323935412194	0.768294078760513	0.768480447576275	0.694739430220778	0.720193033566505	0.713579694978137	0.741058432828311	0.905275152625699	0.839910896807231	0.829327950773991	0.847673917863206	0.830628032056609	0.878771564620924	0.848830354664753	0.813039085012981	0.877386064326064	0.607391856326436	0.399857329311727	0.685681093694372	0.808846375529853	0.9360245933759	0.59916411398545	0.789909904805465	0.870181443828739	0.698487598524109	0.794042655962537	0.742040149856027	0.780841871262047	0.578810864068086	0.88781469829054	0.853054237859399	0.820934375731247	0.865629640336488	0.883809319275289	0.838716014566543	0.713606146757503	0.796170335146589	0.798690682574643	0.761047392219348	0.748192555880638	0.799531156113845	0.86466456955807	0.871283065011581	0.911006278303227	0.781370718757774	0.577199156496952	0.877251840303733	0.846702465054175	0.860840803388315	0.823956888556364	0.725640866954827	0.79237650837201	0.853195870192599
CD44	0.480209256377248	0.793201063256124	0.703894415405898	0.769101369385672	0.752483394043456	0.569667558093395	0.6019732907914	0.800906951744889	1	0.784324863559979	0.505040807078183	0.4782737865139	0.299849091636972	0.663653390014319	0.559764421244354	0.75932066413661	0.706688209242064	0.474751090643215	0.819337034552564	0.4063479759049	0.804963771841421	0.498062345445728	0.682002439054954	0.829557106056218	0.560839775055426	0.865382647669156	0.821824235514104	0.689648574630967	0.65276802163	0.72214576805197	0.724394646644496	0.712726374842694	0.795516258388398	0.545645816904108	0.562088415295608	0.72078705669628	0.823103095131123	0.47539623590543	0.775226314368787	0.680692042118166	0.589822363037826	0.683061076031911	0.838375706143864	0.571234511517593	0.896154308839665	0.403174054944431	0.897329065783117	0.683084749323034	0.522175141541486	0.240357070491127	0.703423647138613	0.475745769845935	0.766012460176237	0.720172084105949	0.828268849808331	0.50703464432235	0.577586448353625	0.613198340284887	0.395993586501207	0.337903755943146	0.889958186884851	0.833744048169226	0.618432111453959	0.54343216571129	0.56189439096325	0.187097423837835	0.492745811526843	0.73782072267437	0.51242363619061	0.617080284024073	0.711119615791205	0.564145584932702	0.385228541884032	0.891670775708487	0.776428427184221	0.521542130598523	0.797591663504331	0.882924864605613	0.684049182659618	0.754569603883382	0.64712809759972	0.819884620567465	0.768141259453804	0.81257420491798	0.48734662752757	0.854453263905039	0.830307838222693	0.894666585426035	0.518807145141937	0.846401421411969	0.737526946913267	0.845744667990377	0.745292054965916	0.770494240661796	0.729485524509389	0.853294176705257	0.587584193561787	0.545138654958299	0.625020800225826	0.650943112784442	0.39546912417635	0.820650028539014	0.612782612690599	0.904590940701646	0.752841278191192	0.787758585282015	0.893917284337062	0.586527673008727	0.80374478395016	0.68081881545934	0.627526795800735	0.215335247637167	0.895607660465692	0.873715790216742	0.758807892856852	0.651947008338771	0.755084497511657	0.712275709416492	0.740423908838379	0.75689199723131	0.813384743886484	0.724572605410978	0.899512568694869	0.407108476335981	0.661233196025961	0.791696032343876	0.878953081246445	0.725306707653816	0.688674246439175	0.802395708442461	0.691372208735862	0.90591592834765	0.677332200979272	0.677122751232172	0.652604512900336	0.865353654409951
ITGB1	0.866272997950407	0.937687945020222	0.802987043873486	0.929357575475308	0.967658785894225	0.829560155792999	0.873114314657351	0.879093447647894	0.784324863559979	1	0.85224026283407	0.807713886338634	0.62133708652391	0.877006252681358	0.676314652679567	0.875418996001734	0.96102033128648	0.760937872054582	0.620838141980364	0.734176454606974	0.974903114799319	0.810542110401164	0.918855641161696	0.837747793935198	0.858633251455966	0.890359261587634	0.928624261745169	0.67341084774104	0.866450740749692	0.950813830393435	0.92709868552781	0.724962905720556	0.877175753280777	0.595190334677075	0.874802296530424	0.882603784936051	0.915461320893999	0.704246348321921	0.750288377324631	0.897618642574519	0.881798133880964	0.940590305349719	0.889626706792656	0.848268261715641	0.801863818057525	0.7372334043494	0.711300344250292	0.887687201880377	0.593408141736694	0.630857980497954	0.911820060768767	0.747653300332493	0.923777081049076	0.907613093718969	0.866508113309677	0.827680565218731	0.824456492238275	0.910044051760903	0.810221581188785	0.724149189888436	0.80209262818102	0.711134732391116	0.859101410027505	0.747033498462137	0.878891507268108	0.640821998365175	0.839479527878292	0.902110936553279	0.858884110756718	0.8612215969033	0.752608086791667	0.81841639910412	0.706132191449705	0.945612933849308	0.804762392879455	0.738282286686894	0.751240678111655	0.708862000031178	0.875869432100484	0.87508149692511	0.917341563276567	0.773081484137169	0.950630757980501	0.739753750706247	0.805841278869677	0.695666393208779	0.65800356489895	0.731719425919135	0.862900754868879	0.669140915594385	0.833320430979846	0.813395226525506	0.903338692861701	0.852807050927123	0.901195689558569	0.902669355379352	0.881446003923729	0.783903893790726	0.858549354029594	0.851574366994539	0.675643265180423	0.816245104598692	0.869224956906185	0.840164175052054	0.792872153188935	0.868704130803192	0.800167376870136	0.838869442826953	0.891294479012952	0.794972555442517	0.891813040175606	0.623763832267388	0.90860912060944	0.758663511901664	0.942895232221836	0.882969196888025	0.897541776496252	0.841377571729537	0.83133213788651	0.787703208720442	0.909521457862104	0.811578633800341	0.818512310706901	0.695021041481345	0.930845529483103	0.820704183712869	0.889245572108696	0.907787429288708	0.734918393580272	0.894915474128837	0.89843510995958	0.725479939171656	0.800928890934051	0.763228294899818	0.836725103187636	0.729868688902357
