""	CD3D	CD2	CCR4	KLRB1	CD3G	CD8A	CD247	TNFRSF25	F2R	CD8B	CXCR3	FAS	CXCR4	CCR5	KLRD1	NOTCH1	ICOS	ITGAL	DPP4	TFRC	PILRB	CD81	TRADD	CD69	SIRPG	CD47	SDC4	ITGA4	SELL	ADRB2	PDCD1	CLEC2D	PTGDR	CCR6	IGF2R	TNFRSF1A	RIPK1	RACK1	PTPRA	TRAF3	ERAP1	VSIR	CD44	CD4	TGFBR3	TNFRSF14	TNFRSF1B	SLC16A7	CD53	ITGB2	LAG3	SMAD3	CD226	ITGB1	TSPAN5	NCR3	S1PR4	MCAM	LPP	SMAP1	ADGRE5	SLC16A1	SORL1	ITGA6	NOTCH2	CANX	TSPAN14	JMJD6	PTPRC	PTGER4	ADCY7	STX4	CD74	HAVCR2	ATP5F1B	IL6R	MCFD2	LAMP1	APLP2	CD63
CD3D	1	0.96184761753133	0.586119070354148	0.789825008487618	0.944207356699856	-0.125410131394844	0.951302594804664	0.819291201986991	0.0750273128475203	-0.12190869070002	0.858284411405514	0.727595780504856	0.594673606949207	0.217233170792275	0.490415729697359	0.568672887045745	0.813572033678413	0.802757485841832	0.643039057903721	0.806521032818439	-0.322325614970281	0.3602833883055	0.834954343845838	0.703473053754058	0.88321130830011	0.669974434354489	0.767863987701744	0.801011104972175	0.299350842654727	0.0522979744016772	0.885442632853476	0.748792125504866	-0.377609507481367	0.608146306915312	0.395236292966362	0.429468081337552	0.59765041283438	0.653278625201415	0.652085447166462	0.780385925828925	0.379814948433497	0.642088639412397	0.744305540025253	0.817523829162156	-0.0465955011008565	0.795040256540951	0.786697503518588	0.65314331205183	0.921046549802406	0.849413022431464	0.800226845736429	0.493824866036253	0.829827808698748	0.693634751064325	0.789047844633872	0.851793904278566	0.88655066965337	0.782656191233627	0.540116418181409	0.778592072633147	0.840191233672631	0.684798536994002	0.516428115730108	0.141837479305824	0.653938181166846	0.643085587881414	0.782816571528333	0.740487365313512	0.875543655364871	0.708018050307116	0.557503578157768	0.649796023193001	0.353881377760309	0.740236610111394	0.758548539245781	0.664422127131181	0.618272329272903	0.721609589111089	0.147527593968269	0.37755398231327
CD2	0.96184761753133	1	0.608809853931089	0.76462749135034	0.895453665883074	-0.192448205962633	0.963061794173	0.799129047628043	0.0298304491454143	-0.227469294975113	0.930268670386623	0.765176931318582	0.436662913530682	0.289378555256214	0.46050531265496	0.653970415262103	0.80735833577655	0.805726186756371	0.591934302992134	0.879719853805178	-0.287066390232045	0.355314067803359	0.836223150090616	0.60293812472187	0.937784284078813	0.661105258872795	0.859294744319448	0.847960572487169	0.211327517032217	-0.0579556534125043	0.883188173161984	0.70061758003731	-0.319571860976224	0.627212000340875	0.432695469882738	0.521252910982144	0.588878563364073	0.588067656176975	0.64348800358167	0.803223590711061	0.425466456994167	0.572495605452621	0.761727786727902	0.889938534887395	-0.030306977646449	0.772216300956558	0.855814551596159	0.657051009592691	0.952619218227899	0.914565902137234	0.85722893080407	0.459993498918638	0.891092026393141	0.687557190085135	0.809621009055626	0.815222334934593	0.871386046085264	0.766448736655168	0.599047092057954	0.766443680544883	0.923391055779808	0.736908609870696	0.464587768372631	0.0814463543450307	0.749337393083572	0.68279057499348	0.797202868436386	0.716317399792341	0.882710858557819	0.623325290272302	0.585273633745289	0.674884859811425	0.419510093405241	0.827357763459588	0.769388152766414	0.693398580992513	0.665977488350917	0.77417636938561	0.195873338786665	0.428095687815186
CCR4	0.586119070354148	0.608809853931089	1	0.486106059216824	0.722689939524412	-0.395583404685214	0.604947927198893	0.765038616987626	-0.331551772300407	-0.302512510499262	0.42585244126101	0.84690155409459	0.53871485429042	-0.054728009365352	-0.182793916353588	0.430846939897565	0.825212560592021	0.567349932105925	0.510098365710676	0.652307705465686	-0.17767806039856	0.246860693165101	0.702154734179212	0.71332026323561	0.62139234891739	0.781165735715835	0.547764150350256	0.719077607832409	0.704933473024669	-0.0608842990116064	0.32853313904894	0.772830115156151	-0.242109386552207	0.926234257749807	0.354085981194532	0.375328262736862	0.579781661844103	0.759809138217972	0.762717265828602	0.818469395152946	0.414450877371569	0.719628315836599	0.836117484728006	0.75686145054613	0.114534165551419	0.822034166956137	0.795747677716932	0.628221909388079	0.686174763238753	0.461514672353619	0.316279689594759	0.568316430432924	0.489447874214716	0.780492229047694	0.45284118752726	0.519886347646649	0.768475761919029	0.492054592662193	0.618570764070505	0.657865022412287	0.5510306436796	0.741335479354554	0.68873816502113	0.586822735547707	0.657507337853439	0.656100370501735	0.779220828698818	0.469101753302315	0.697811298048531	0.526769131266435	0.595077631359427	0.642600967176214	0.524629347513758	0.351386752909802	0.651303150953165	0.83943886413742	0.653473509323199	0.681770216517788	0.322241998929637	0.366546492660823
KLRB1	0.789825008487618	0.76462749135034	0.486106059216824	1	0.755280383072121	-0.551717676783332	0.806314243971149	0.888366571640491	-0.356899995415204	-0.509994958452095	0.718876916786545	0.507127384573288	0.52310764418283	-0.168900769097959	0.315301360650951	0.373405861299167	0.652153631030782	0.443382678317968	0.799233776380099	0.659440755054213	-0.613146101524896	0.179429690080043	0.902060605108812	0.738861604762842	0.788949795751924	0.572968061646309	0.653846787350599	0.587629256252843	0.374904742923779	-0.224515434388348	0.802457019614123	0.440713497820063	-0.52202736499183	0.573489992215041	0.132913577681275	0.401919560342569	0.351105323280744	0.675246630157821	0.45004393125535	0.601447244075708	0.0834868350372521	0.650560049754119	0.541104811052914	0.756435177855705	-0.0459936002985953	0.635494917441194	0.555737593196191	0.406879993701387	0.798185961812309	0.672342717257242	0.58626832968252	0.561351734016111	0.849763812118921	0.689141006581654	0.63252104425493	0.82349861702578	0.753110871164033	0.854182336679243	0.40737799621349	0.800136578812009	0.674709474577461	0.473645367192702	0.552386538140397	0.230926687976776	0.555406175922093	0.567592658229035	0.694910768234592	0.419524043318103	0.538065487455918	0.722684456470238	0.501906559046905	0.522864662719702	0.251795308115589	0.606652070330657	0.671230417754786	0.587472950940906	0.574855018946712	0.623571117559089	0.0988321705572775	0.356160296391787
CD3G	0.944207356699856	0.895453665883074	0.722689939524412	0.755280383072121	1	-0.172581233288904	0.900374081339773	0.856996492496347	-0.00269793880123646	-0.108313335681784	0.751927408363471	0.774009879065684	0.730300640410673	0.108016780025472	0.336330821802601	0.514419234000038	0.876369209434272	0.820106453931926	0.668560171845027	0.782222522339454	-0.26907566013981	0.345579712163282	0.857029501221196	0.831437526188496	0.849588531684452	0.765705411020261	0.698292187899395	0.842416313837454	0.507943916938069	0.0972463980084871	0.773180582492752	0.862847315420034	-0.374106624582306	0.738700631257244	0.423075797419895	0.401711031594694	0.647415021093597	0.771896347940906	0.752552541372527	0.814415589259942	0.409415270766296	0.755343750032696	0.822021507847625	0.806450602172215	-0.01531759745589	0.862908474958221	0.803358663927041	0.717252220972799	0.892223844345969	0.762113725761538	0.646578234393841	0.598938222783949	0.752527256239825	0.783442982537329	0.712199123387394	0.807661026093116	0.911120815448763	0.735852152934966	0.592937954003363	0.796993701328772	0.779108189753865	0.716607453538914	0.656244258827756	0.338463672602035	0.660580214897325	0.661985385421805	0.82382645660331	0.758073608008935	0.888594562993797	0.772307080965824	0.586140015896361	0.680047062631467	0.402093832526482	0.629220428006551	0.773930060979783	0.735279100145484	0.636059233645878	0.74041145067982	0.184991870054342	0.362588071174168
CD8A	-0.125410131394844	-0.192448205962633	-0.395583404685214	-0.551717676783332	-0.172581233288904	1	-0.244148680739022	-0.571367570101041	0.805097091659312	0.923775615975999	-0.19845668961954	-0.306141576823419	-0.0443680165697986	0.457386830216603	0.34034723624689	-0.093321836953681	-0.368026565560573	0.156036071639144	-0.519075576539485	-0.382669613825074	0.530368293845615	0.120569797682036	-0.525757178107068	-0.376249089997093	-0.364887748980917	-0.278239350923275	-0.34955288419493	-0.224174635852741	-0.399918033985299	0.497194426316796	-0.199337244925065	-0.00746819972289528	0.362953938350668	-0.491830943213492	0.00794601325133074	-0.275352083054742	-0.00938603322016735	-0.373720254014284	-0.180964653463624	-0.327169337390091	0.0780959237300233	-0.442850372299514	-0.240374584874185	-0.484927263994476	-0.078209824052086	-0.215336606593466	-0.309305688738293	-0.0263590796228673	-0.319072319299354	-0.145800936616632	-0.0900851715178054	-0.417137624842225	-0.454985599233332	-0.470757641432261	-0.174582606089301	-0.348851666482243	-0.310132649958971	-0.509509248587894	-0.293177999287743	-0.437984098924641	-0.226403278589879	-0.282603287696675	-0.409724871291502	-0.374668485214509	-0.346437502558084	-0.330676337908408	-0.374221388580464	0.221960036799247	0.0281865321745892	-0.230393470871305	-0.254584065221376	-0.277248375535665	-0.186612507109872	-0.215731585569347	-0.294290339925254	-0.520025125808403	-0.420887283864719	-0.364370269733356	-0.179930108873778	-0.25065292689307
CD247	0.951302594804664	0.963061794173	0.604947927198893	0.806314243971149	0.900374081339773	-0.244148680739022	1	0.833031645629617	0.00581074297864849	-0.241263134601017	0.906988478198375	0.713471130989692	0.467399999651522	0.209660166257939	0.503977436190169	0.539507476596228	0.79594494607458	0.793763029850531	0.663733377269052	0.844140127688187	-0.372373993341664	0.344102654947327	0.865627072235777	0.65629048743957	0.930704555430249	0.675940655841115	0.808339534360016	0.824347314852798	0.265023953893996	-0.0594000571694618	0.88928682672162	0.694322369299194	-0.356082557424914	0.628711654226881	0.393380404198141	0.472641037415731	0.550091983963482	0.620439955442225	0.640547481498447	0.792989644195814	0.38264051756822	0.603820010300533	0.732775897234587	0.874103405046375	-0.0318576703152726	0.76805146351139	0.799174425756773	0.644665376301356	0.956182543772563	0.895039482220952	0.843316800986459	0.531973519082671	0.892366870340614	0.697302127780793	0.773210456375204	0.830907232544108	0.883160380820956	0.802766746898069	0.572849761363016	0.789420006761604	0.897400295478335	0.678311638859751	0.526587916128836	0.147454172798295	0.735578629516327	0.676908999354476	0.79593015731507	0.668099175175251	0.852738283955325	0.644779503012588	0.565423617849329	0.636573740022486	0.37728574728879	0.829028721592617	0.764073027166125	0.693043655346742	0.654623720301914	0.771338487582631	0.178268493654759	0.42187680981545
TNFRSF25	0.819291201986991	0.799129047628043	0.765038616987626	0.888366571640491	0.856996492496347	-0.571367570101041	0.833031645629617	1	-0.378856035406888	-0.497224159582003	0.681416793829362	0.733663736092984	0.609186108784512	-0.146125715893366	0.132035608017198	0.430254386597812	0.836531762334819	0.571800024611683	0.781482205607971	0.791488938076685	-0.493805525407036	0.229620379671539	0.937035075591296	0.847182045779887	0.823226856881691	0.741250277832963	0.705776527012201	0.729266013862884	0.576164443821749	-0.126850057785785	0.711738336645249	0.67470370934535	-0.468068553300998	0.81340807825651	0.299707127486247	0.419833699573299	0.52581069563736	0.791648862623051	0.65881902645829	0.785250245691937	0.254016425645259	0.772790841283452	0.757105644471695	0.862154654689391	0.0321179815822862	0.794468839120222	0.742314792019527	0.562530340078156	0.860441769172157	0.676400968809093	0.566437507962098	0.685068576941707	0.825263712303479	0.844934879835293	0.687792574218255	0.817224752721418	0.862580816479127	0.855463581428472	0.562812058199932	0.860986574044648	0.730668962892509	0.677794347949155	0.727121756394957	0.435713447482164	0.678617452912166	0.696271152630703	0.834471935034033	0.512818457703379	0.693375286072999	0.732505255057158	0.594480161366006	0.672687786488959	0.377071304058022	0.615892053666081	0.738632639974256	0.79357623854033	0.691539123373096	0.740725084540326	0.224155950281806	0.409234492732181
F2R	0.0750273128475203	0.0298304491454143	-0.331551772300407	-0.356899995415204	-0.00269793880123646	0.805097091659312	0.00581074297864849	-0.378856035406888	1	0.703390488143468	0.0221718514739131	-0.145635275829246	-0.0479639421402931	0.551196147301527	0.41994655209819	0.0473723113225596	-0.225904906897878	0.279414235404168	-0.272466581571905	-0.109603482789812	0.420871122663317	0.276726141100315	-0.318491996980885	-0.310273321865645	-0.156125725098464	-0.146537536906648	-0.079684584224552	-0.00574652972130985	-0.434146313467626	0.458922422563887	0.0487752683585747	0.105789580605832	0.280811861380453	-0.355523360973446	0.170273054294309	-0.0551630676998883	0.173734682379749	-0.258608985376178	-0.0280739125123258	-0.100994682497767	0.248899761517222	-0.270412279511639	-0.0703291879332092	-0.244090891703559	-0.0420442906459253	-0.100543808163949	-0.104991337472829	0.0749568455294167	-0.0895129413463633	0.115924207251053	0.177532791634367	-0.264006972562507	-0.176971394368154	-0.262511697154802	0.0558708859861981	-0.178904837434676	-0.0991094099061447	-0.256567153876029	-0.0855242723652842	-0.219712869666365	0.0308868835165041	-0.0865518060931466	-0.284910865656861	-0.252959456879337	-0.105701722118108	-0.101661632836547	-0.154730474183282	0.32555091109081	0.216676559797833	-0.122276834147641	-0.0720586330569657	-0.0802618978724503	-0.0308194179516492	0.091342779405262	-0.0667906428962314	-0.329344280656598	-0.158452433436914	-0.12369478400284	-0.0654606753280016	-0.051188817171457
CD8B	-0.12190869070002	-0.227469294975113	-0.302512510499262	-0.509994958452095	-0.108313335681784	0.923775615975999	-0.241263134601017	-0.497224159582003	0.703390488143468	1	-0.244486737633851	-0.286933338599197	0.0844567684121434	0.355654162020788	0.311686555144027	-0.192325028141236	-0.33758159973821	0.182538097261099	-0.418200130121452	-0.432901299057798	0.515405391338335	0.123651586274429	-0.46520340711051	-0.224667631627737	-0.380972420715946	-0.199096956298171	-0.400332744908789	-0.215054003220556	-0.18089283081418	0.553931158154371	-0.251789738320493	0.068336371625935	0.286172881226385	-0.398472995293512	-0.0429619001115601	-0.306533472608027	-0.0042859706080674	-0.214716716703363	-0.117998893034078	-0.285732383367531	0.0172070973472678	-0.319978947533907	-0.194151580050071	-0.474680403175444	-0.0601157696228397	-0.173111228859967	-0.334686390491583	-0.0100891655833795	-0.308423484238518	-0.184984737675304	-0.211647064874648	-0.307475513287283	-0.473707017263928	-0.363743168481237	-0.246250768957387	-0.304593597181891	-0.235965016385225	-0.499927328299791	-0.294212701096372	-0.357521729431958	-0.26558337215357	-0.281600646749737	-0.2640593893636	-0.221244002083511	-0.385314365701949	-0.301328284136382	-0.357707869360895	0.17207074637313	0.0290500973270126	-0.135696229401243	-0.174978994367245	-0.212575405854085	-0.143221625427849	-0.286523318138007	-0.236329026561976	-0.449718762372445	-0.397904973258318	-0.327947433235515	-0.17100027021763	-0.239269735935033
