""	CD74	HAVCR2	ADRB2	SORL1	CD69	PTPRC	TLR7	TLR4	TLR1	CXCR4	CD163	ADCY7	TLR2	PILRA	SIRPA	KCNQ3	ACTR2	LILRB1	PLXNB2	STAB1	TREM2	CD93	VSIR	ENG	ITGAV	PLAUR	NOTCH2	LRP1	AXL	SIGLEC10	TNFRSF1B	CD63	LRP10	ITGAM	RXRA	FPR1	CD81	C5AR1	TSPAN14	LY96	NRP2	NCL	CD33	NRP1	TFRC	RHBDF2	NCSTN	TREM1	ABCA1	CMKLR1	PECAM1	MERTK	CD46	IL6R	SCARB1	GPNMB	RPSA	P2RY12	JMJD6	STX4	UNC5B	ITGB1	LAMP1	APLP2	BMPR2	SORT1	PTPRA	CADM1	MCFD2	SDC3	RACK1	CD47	CANX	TNFRSF1A	PTPRZ1	PTGER4	PDGFRA	SMAP1	CD4	TNFRSF12A	CCR1	THY1	C1QBP
CD74	1	0.878381374637141	0.431691256526137	0.783774237437226	0.685249801556216	0.866063509097934	0.494748895358424	0.816125266510989	0.63609976729457	0.450340335029168	0.404308429217276	0.832436457315555	0.648302379453154	0.616666155972027	0.83283487279677	0.806988873713105	0.850549088165705	0.865747663247884	0.743315749437782	0.616227240995213	0.904831547105205	0.49873740036497	0.869055591988291	0.568767815128068	0.72321328456511	0.564488865601352	0.475821555265201	0.552022986349798	0.928904620380817	0.704406793454399	0.704717633574885	0.4298403486842	0.611002294904012	0.715314076484616	0.334377139797973	0.907537959051406	0.806160586449911	0.705151742164183	0.656114275594004	0.777073700828528	0.490233112153711	0.483032278482237	0.847878284261575	0.63862949276849	0.328125933732816	0.770816713901417	0.64119952549353	0.689615070436058	0.301744153829747	0.648509155478972	0.148249535639125	0.546246581026516	0.565362707109443	0.737173592497639	0.567566483504756	0.203494513270292	0.740799603464	0.199516823500225	0.443305648198659	0.616303695965895	0.818192808740744	0.44083567889118	0.355171135097646	0.456344348447323	0.483191170609441	0.686482020037325	0.0661843437870332	0.244969166872067	0.436925504001355	0.171737281538116	0.710891663832975	-0.0162910553783452	0.439196476314306	0.772297350167742	-0.0507036746111958	0.64754553952447	-0.126341649408821	0.550434334475358	0.724835023673802	-0.0483463376448781	0.599112790679457	0.010127187482054	0.339471129947751
HAVCR2	0.878381374637141	1	0.244410156050015	0.764293313457123	0.689343674352267	0.794280748559039	0.319391156946568	0.784242720827171	0.65510827602601	0.407318374684499	0.281736048027355	0.734525014416737	0.552676821453277	0.570545554498315	0.833047323337329	0.726078479500989	0.805830583714742	0.769514750855513	0.70381930493985	0.575448435439903	0.852284648986695	0.387738138416876	0.700796844684003	0.485543105682769	0.704630074699155	0.586328323884544	0.402568358352412	0.478695728161081	0.829803214506897	0.686711933974139	0.625676243932074	0.3287423479654	0.551069575179845	0.727988042254924	0.245032589265893	0.857449095177779	0.731656542171592	0.67736290704151	0.639466771838706	0.679120158075968	0.348037340062949	0.4377088042773	0.775550372033405	0.558179918839452	0.382567140138332	0.755248641311099	0.63749711833338	0.614706163110294	0.300918564735107	0.612005433416929	0.103189987797493	0.522754719536237	0.489194489649764	0.805425827294707	0.505927074134451	0.128057426598314	0.669853870321517	0.260245069885001	0.55016291771168	0.596694865881248	0.762571676333693	0.438240232074589	0.360627320184503	0.413861393871441	0.492676445258531	0.694787804666808	0.137150841171938	0.117486631830408	0.39016295901377	0.142286884193641	0.616090379755343	0.00084409831741823	0.361532471430046	0.680646767620709	-0.050428541223733	0.678033637722814	-0.117312309454181	0.485786520206995	0.756996795785969	0.0461639008426763	0.588794332802682	0.030190789604967	0.286162480811504
ADRB2	0.431691256526137	0.244410156050015	1	0.0810528374114163	0.181796900327562	0.293788322213694	0.0906870903625791	0.237545303389883	-0.162426842012405	-0.102671361632182	0.235565570437895	0.32704650456986	0.230580003148054	0.334414159996603	0.240612465858352	0.277169960338738	0.164333405593094	0.333767366355234	0.166705434843516	0.174248082749402	0.430531149430182	0.291062104091073	0.408267348376324	0.364512463952294	0.0687337521133463	0.1608366031198	0.0121062911931237	-0.0735201538860428	0.396983688561603	0.0622744357743171	0.379084254952652	-0.0197061228723897	0.205226077268633	0.308288321253342	0.136828604441632	0.448847634292856	0.255233951942922	0.198799109149509	0.0554138876210781	0.482796788102955	0.499247332778132	-0.08474340927988	0.542122068872951	0.376378620919266	-0.214374918654928	0.268118144793609	-0.00954707737640481	0.330444788199521	0.0650551278058774	0.12536511051219	0.00262273414314263	0.0859349951813649	0.0832053369455331	0.0737820418541401	0.125035655739168	0.327047662832931	0.16541787949307	0.359448011165234	-0.0289461645279117	-0.0104321635664036	0.351523591958269	-0.04278802835332	-0.149035759480966	-0.0669930164777905	-0.0606526022987728	-0.0129535306084211	-0.425794501458199	-0.055342561501949	-0.048991611970184	-0.292096778314658	0.113467158811948	-0.396275803213463	-0.0637239756493713	0.132304675375939	-0.417563858731818	0.222022045280877	-0.416894487602225	-0.0532607352702215	0.226084460423113	-0.508757819276543	0.16358125134505	-0.336396445347608	-0.0715584066265268
SORL1	0.783774237437226	0.764293313457123	0.0810528374114163	1	0.75047843462068	0.827020265236038	0.714427748779657	0.620066159247248	0.697354228942195	0.669324173526359	0.302961394218023	0.721356447893854	0.674571186315175	0.501300708478744	0.673884209579495	0.730482085737841	0.809594526533798	0.761014266330363	0.55821241437331	0.542652120978482	0.581018004627935	0.278432505052814	0.739067141841618	0.244441794646317	0.796171725574465	0.47494455984206	0.635833238720507	0.687829053459354	0.738997583095418	0.760320318617361	0.408387788931339	0.367577374073536	0.604471684452391	0.538888800956266	0.308037944508423	0.654014037121989	0.695022418470594	0.596196138079755	0.787778650975122	0.402183639601608	0.422198431145286	0.559157473305863	0.529334380161928	0.580104235461007	0.544491175281486	0.715016539500124	0.671891261210331	0.437967649497168	0.34057358075333	0.653900401836076	0.142711637541705	0.553881782760266	0.451206704001997	0.800193282373409	0.613642657124198	-0.00320148132224961	0.613704379143261	-0.172750478222732	0.548144322129737	0.769087997866298	0.691690662704152	0.43827102705268	0.267793645579978	0.523679650319477	0.435858696224963	0.699967133428969	0.298797793813996	0.263423239554737	0.593355641344465	0.334763783383731	0.650156433013899	0.201719422423677	0.503473772525149	0.783792919376133	0.218219312128678	0.594637187437442	0.0734063737232659	0.582886593417411	0.603951477033855	0.210190098451908	0.699920441992318	0.158359078126366	0.460446805120497
CD69	0.685249801556216	0.689343674352267	0.181796900327562	0.75047843462068	1	0.748391391863145	0.544754739546581	0.424760953886802	0.586320230020456	0.330051907486225	-0.00861649771640341	0.683573480152246	0.464225265773159	0.418728679029192	0.573213383110278	0.571839639012299	0.575065002414673	0.725280611780801	0.292447278923358	0.156169013515612	0.501731404689843	0.166193388376329	0.718226160685577	0.0660945024691264	0.59198157026862	0.473691620503002	0.287870939700258	0.353363515243506	0.655554705673436	0.509548552729749	0.23458067803067	0.161885635056661	0.414366889948549	0.514544613942577	0.152523179782425	0.604657549984627	0.406696561270245	0.365250998054998	0.739201646465674	0.294504693786836	0.298675302171033	0.390618769384655	0.482057287838182	0.34860103781703	0.266969547897825	0.727286433303546	0.563712085594884	0.324725880265759	0.0569498046371012	0.301894073667287	-0.163855558982496	0.238794848408518	0.222379317266244	0.622692496091163	0.331179250515217	-0.167470390137834	0.550538038535529	0.199467911827812	0.644559810450013	0.63559459872807	0.684550892867615	0.265890607603257	0.0579055754426684	0.17288171180309	0.378951037218409	0.545431067760948	0.104542159201274	-0.04030600606883	0.370174938661854	0.0316865194920656	0.546042320333199	0.0440495367972169	0.285606631170861	0.587685259894813	0.0159510834994973	0.587501054996381	-0.0684001011372328	0.332835513557366	0.464292620501071	0.0859986116560308	0.559222650828059	0.0342986192721909	0.382611463160748
PTPRC	0.866063509097934	0.794280748559039	0.293788322213694	0.827020265236038	0.748391391863145	1	0.587612880294268	0.66767469538886	0.689799132717723	0.646658450512289	0.463023405537805	0.773837445769186	0.780683889501021	0.641370928695799	0.774361661412018	0.84643517496495	0.81072285149588	0.812131070457456	0.642816936184199	0.584741080567721	0.755721110142145	0.397984396742934	0.722305976271302	0.475416324324418	0.791387095783385	0.598187180837984	0.502537599838111	0.637668161113469	0.794775591517713	0.814322893762226	0.649742160917555	0.395996418273756	0.497756453512089	0.75754122141332	0.28343812436777	0.842210555797472	0.796274828929316	0.711579726577676	0.817610075506885	0.630758276161468	0.549463084219279	0.454431581334338	0.688033710237443	0.67816292046208	0.585884957898923	0.730942114315907	0.728043940639215	0.62076188197291	0.458616126007362	0.675901993628758	0.282556040448399	0.648559532739046	0.546987196128901	0.761288654092365	0.740463741401369	0.296795695568781	0.57046966909332	-0.0169020942019298	0.486997819770157	0.738705956769509	0.820166913000859	0.40863239231222	0.35822589305463	0.471185832967164	0.379009279522355	0.721724479425838	0.137787617818951	0.295323879267361	0.42576412811269	0.225677076327574	0.552312187246626	0.0189340026129489	0.452589571523646	0.763654613637748	0.00517915330873925	0.662113627262407	-0.0930694529283015	0.534460438171286	0.744684335085363	0.0868589945992825	0.800332134113829	-0.0240778859430012	0.294921310063987
TLR7	0.494748895358424	0.319391156946568	0.0906870903625791	0.714427748779657	0.544754739546581	0.587612880294268	1	0.262728786725055	0.41927685225577	0.502746485142907	0.178997154808866	0.540811650636007	0.526773941933966	0.367800452451066	0.321179296140513	0.552063900635892	0.552206922310777	0.525017332134468	0.212438133744329	0.326354608137611	0.189155669003325	0.220110466945848	0.605509122913609	-0.0807324913641309	0.56671842741461	0.132426390273182	0.439891941875019	0.574734817408372	0.476849957290885	0.552438640628524	0.0804390784711559	0.246766273278945	0.371839626930109	0.144389479659855	0.159220144818199	0.274953245292527	0.396465347619365	0.259382879045111	0.709284290398304	0.082339331563651	0.356392007887614	0.404693169119621	0.243160995606349	0.300809453105789	0.346477372673744	0.371699685196921	0.536749939394205	0.0816518714835749	0.0894085842260648	0.436145799560158	0.102999647475139	0.277613825605223	0.249019363469526	0.433908260011786	0.41211607206569	-0.195716517355791	0.407148182499273	-0.28542338996319	0.368454045753843	0.627287546763517	0.386379671512951	0.17697031034756	0.0190837824568377	0.367501619861481	0.258126915341929	0.383412125148287	0.219853982028602	0.229074384827133	0.460894904345218	0.276593452145481	0.492841764542457	0.222943364848959	0.385056862323814	0.639275573906271	0.280862952620674	0.228401456469154	0.136620804543191	0.383460773163325	0.172386967551041	0.160884206153192	0.508959829297705	0.140508861930353	0.400825149856643
TLR4	0.816125266510989	0.784242720827171	0.237545303389883	0.620066159247248	0.424760953886802	0.66767469538886	0.262728786725055	1	0.64220913019464	0.405670092098406	0.401145226432394	0.669483074753364	0.509426222283152	0.419258879879029	0.765282090382	0.637903605458796	0.728896690613121	0.69226996868028	0.782747130434358	0.618934448366826	0.799537084552821	0.402196908227806	0.625265846881907	0.634083890895244	0.617081743503115	0.537483764221326	0.414574955302027	0.498833387510629	0.793979920794985	0.631295233546321	0.688164829235848	0.372917889878356	0.506878818706589	0.673415640350027	0.33235295726774	0.785987261631111	0.742628323682515	0.743900802639962	0.439919385341719	0.71359439217189	0.404720283677085	0.378685765574486	0.706236955434425	0.543746039659189	0.375781356746855	0.68194489715205	0.480767191603491	0.702780144831856	0.375762135686377	0.647497831496124	0.285068229446189	0.567603892424988	0.491100124074169	0.63036590402178	0.501433272292804	0.240722809406302	0.618443339335069	0.0916115660000351	0.318455756703556	0.484674543792129	0.673878628892372	0.457835803377559	0.491589976832981	0.448757620819692	0.496057996485157	0.594984151027958	0.106175189966461	0.253851665366249	0.32088894986307	0.165890247318601	0.581411867132811	-0.0263532248882058	0.367746788902134	0.641002441750878	-0.0599230779545943	0.585752790749624	-0.102894380637988	0.512195736567315	0.712961577822418	-0.055060892622241	0.444604035725045	0.0529494591792207	0.226084957022538
TLR1	0.63609976729457	0.65510827602601	-0.162426842012405	0.697354228942195	0.586320230020456	0.689799132717723	0.41927685225577	0.64220913019464	1	0.629503702934957	0.272105129492988	0.537064137903132	0.532313506110195	0.404219644757163	0.676011890880131	0.572362104481236	0.627623957838655	0.560835632087551	0.55696562428982	0.434301751228875	0.520139727074557	0.269608971444279	0.530156436946824	0.264656193129577	0.663061928278178	0.575794961490021	0.407565361163837	0.510110633725692	0.534319768882746	0.706650494869556	0.384176081161557	0.286349087217778	0.308640211547201	0.54660649261435	0.130129392957968	0.592923885618395	0.563224239903357	0.610178617028979	0.633403774495794	0.416318611004645	0.196468453805795	0.39405272751528	0.386289065140324	0.365703322163794	0.590180858470502	0.643528694842976	0.469650022395047	0.472888924263756	0.364220518047677	0.555073521107981	0.261349929909466	0.546299566504436	0.422222774489372	0.664569689885913	0.501630186608008	-0.000656499082719471	0.449264754513706	-0.0698485530998422	0.417613678979245	0.539845225187096	0.578175105146587	0.374401942241957	0.48256315815049	0.398616195075935	0.401373139262203	0.631050754359406	0.230642532718089	0.210744750144559	0.287110444879742	0.229580855161831	0.457462887500144	0.121288880330481	0.392434705879703	0.591171457223156	0.104381593877372	0.571451442186436	0.028963815600887	0.491462004868899	0.628413816826439	0.191535302404705	0.499581537053778	0.104514218865046	0.246734979488505
CXCR4	0.450340335029168	0.407318374684499	-0.102671361632182	0.669324173526359	0.330051907486225	0.646658450512289	0.502746485142907	0.405670092098406	0.629503702934957	1	0.651639207800247	0.370341239681653	0.738870215357808	0.477651636604813	0.520949304354713	0.583605386151693	0.511878250901604	0.460878730862235	0.480230869577584	0.623685368598394	0.300100955732062	0.277470051678213	0.313721368640712	0.278177935201981	0.650511657014361	0.522030447295678	0.522773469072593	0.656699333687369	0.321892506314468	0.712062385702528	0.443007099364582	0.312608424057617	0.345502268525127	0.466697926886376	0.196975116582181	0.377521878620784	0.636379820874577	0.660421831575337	0.576227476802547	0.314179036937138	0.39836401645775	0.31177752475502	0.28750488215426	0.566041028773627	0.793648761283542	0.349094863652829	0.374148818795229	0.361115315602142	0.668710991214289	0.670675151036728	0.557689506782929	0.706550249082691	0.493781051760457	0.48840007457117	0.742942781247343	0.343888272613107	0.168891202899434	-0.463361914045014	0.202945896609984	0.532979240438054	0.441974617260044	0.361478312149873	0.43942193676154	0.538930491313518	0.129258323048354	0.554643840852978	0.202338181420793	0.507335582728908	0.314735159577505	0.414163837566134	0.228791238824393	0.13196172768954	0.461460568753194	0.567617258850897	0.160706604626351	0.482907069292435	0.0629858094510504	0.485811653908082	0.550114015199052	0.193998321841107	0.628431655093536	0.0552185374278622	0.16700342638451
