""	CD3D	CXCR3	CD3G	CD2	CCR5	CD8A	CD8B	CD247	KLRB1	CXCR4	CD69	PTPRC	ITGAL	CD44	TNFRSF1A	ADGRE5	S1PR4	PTGER4	PTGDR	TNFRSF14	CLEC2D	ITGA4	RACK1	IFITM1	ITGB2	CD81	PTPRA	SMAP1	CANX	ITGB1	NCL	CD74	PTPRZ1	APLP2	CD63	C1QBP	SORL1	CD46	TNFRSF1B	LAMP1	CD68
CD3D	1	0.617084467591369	0.977596882553508	0.973020884050044	0.807187731936539	0.743821525371987	0.831436790700683	0.916465945969496	0.744019202241686	0.952443112596741	0.945350563634048	0.959450527801529	0.823386885330426	0.96423017022908	0.254462851636038	0.919153617873862	0.799118036915533	0.883558022043763	0.842808000649118	0.838817730601313	0.869314426341092	0.913248255593635	0.552350644689618	0.872500917119326	0.428739773222499	0.0142819830205835	-0.243367424845963	0.380926024138006	-0.230955280335383	0.675777430323845	0.0929907396538478	0.128573600339815	-0.481777941611956	-0.0693919780681495	-0.296776660347384	0.0188547578157449	0.128679689782545	0.602309218933915	0.664460720343849	0.316225878626781	-0.0600434664428132
CXCR3	0.617084467591369	1	0.560782429324736	0.547974190944251	0.798115446545061	0.555643727720946	0.445711256336396	0.820565679942741	0.403001929578347	0.696605208489031	0.536845449543308	0.517600177450852	0.351485035023711	0.733327139208984	0.446552776190293	0.464235066808836	0.797401175630897	0.433238962648208	0.331356784082822	0.647756383717947	0.541930801253021	0.651815585912364	0.508885960186411	0.782040448738678	0.24491923881155	0.0487687566865999	-0.240245499913743	0.140734140725015	-0.226214997164052	0.604999435606032	0.03937586836459	0.192191414460965	-0.360025529545414	0.0051800694385264	-0.119742956924476	0.0218685980315534	0.0598826342493329	0.262976503990861	0.502181127545316	0.03491910910168	0.0733174054312191
CD3G	0.977596882553508	0.560782429324736	1	0.927911674082415	0.753664303525	0.74384922553873	0.798934306530365	0.867792268512834	0.702861509568592	0.905677226418432	0.88284198945084	0.938978941917186	0.865019695257227	0.936363063531365	0.226459061072918	0.90267822908633	0.811596887638779	0.827705806243209	0.856215050316547	0.878232332260218	0.847790375212289	0.917310492930457	0.531833942390797	0.889203231273254	0.444128610390619	0.021211741258995	-0.178653157524324	0.430894532515566	-0.182702569372278	0.662412286605482	0.0820058303365851	0.149699375170798	-0.461227608660428	-0.0694976581937814	-0.280682916480672	0.0164756650476718	0.145567123940913	0.581141311973827	0.6538879039558	0.303233742487055	-0.0674844205416639
CD2	0.973020884050044	0.547974190944251	0.927911674082415	1	0.783491244486116	0.735626233811887	0.872356506959623	0.843756819715816	0.710337436922835	0.934926173128183	0.97482069600309	0.955101028284209	0.824797443104788	0.913991142679236	0.224477465658798	0.907145105363692	0.675562063011704	0.928701385480913	0.840541336974795	0.753664989092935	0.81232752154698	0.851656757214993	0.51177598826707	0.75236073978697	0.420272540520631	0.017149965512402	-0.258139316683221	0.350240456094704	-0.252296042398863	0.611037134653295	0.133768972550882	0.0968633389598778	-0.461384904241747	-0.0697685263489689	-0.28407300050643	0.062449746748951	0.122340390861956	0.656175280885351	0.646585676220302	0.36534740794099	-0.0772308426984832
CCR5	0.807187731936539	0.798115446545061	0.753664303525	0.783491244486116	1	0.670821110427783	0.700895466314662	0.840544975990597	0.442353826192908	0.820169803401618	0.731491823207016	0.740536219045208	0.638682243029367	0.883563928976959	0.318406330718789	0.738967053453469	0.799296195700555	0.668665955969015	0.691098800505788	0.710291852585788	0.63039629529941	0.820385963411682	0.350626107988809	0.766666110126114	0.364500117776338	0.0198223672329327	-0.373257741686327	0.17506910278096	-0.349838579056846	0.606356226461452	-0.118421279983685	0.0986588708122618	-0.484529755424785	-0.091911128303662	-0.307363833505292	-0.147697797808755	0.0631392820606892	0.489661479307007	0.471401580489292	0.140983879779638	0.0172146301590518
CD8A	0.743821525371987	0.555643727720946	0.74384922553873	0.735626233811887	0.670821110427783	1	0.930580799444208	0.658296243772827	0.164574855003592	0.620869961465578	0.602376406108513	0.672902861061555	0.842318640429725	0.727043573208343	0.0361694986218929	0.626963333982054	0.681725709141991	0.53594186243747	0.823538667566294	0.68400464146703	0.386202863016526	0.577086386090327	0.116152645104263	0.689652365901375	0.279053869320766	-0.111147307670848	-0.323496096836567	0.0420363673256427	-0.444931668560274	0.377580408111903	-0.16055908313859	-0.0394505123419163	-0.476812766777798	-0.266367420335667	-0.437841976876311	-0.209214448752178	-0.0106180076122914	0.400100965799401	0.32852889635213	0.0669373443149507	-0.141201446315123
CD8B	0.831436790700683	0.445711256336396	0.798934306530365	0.872356506959623	0.700895466314662	0.930580799444208	1	0.675009333216354	0.316606487047422	0.728896086350892	0.770263656265141	0.801356009809934	0.90158842374521	0.783003384844482	0.0368666297815858	0.777899194432032	0.614960443709252	0.718978052840681	0.912255536874646	0.669881342210549	0.482792364770909	0.655254959796654	0.199272239166661	0.625048769450566	0.326824762119611	-0.0681416552665233	-0.326710794549213	0.132839631454142	-0.405577081219783	0.412593616191075	-0.0601434597280261	-0.0260135271118903	-0.471803817536856	-0.217876961808565	-0.401374019608511	-0.101774731690765	0.0314979697075235	0.574610089760007	0.405080709009496	0.21430630005582	-0.146062675409697
CD247	0.916465945969496	0.820565679942741	0.867792268512834	0.843756819715816	0.840544975990597	0.658296243772827	0.675009333216354	1	0.729271035726303	0.92900796555177	0.841334785749745	0.845337503944837	0.627254384086239	0.958340602541143	0.368859107184104	0.819095243690845	0.89075519823753	0.750504444866726	0.668341554157328	0.811283997884945	0.854727861184423	0.887504294130519	0.619289895401426	0.940511824468767	0.37310012912982	0.0341432089899745	-0.265910770023656	0.328295884936424	-0.217791599496001	0.737230555302733	0.0791373609231521	0.18334100124879	-0.466780227620228	-0.02369435572133	-0.240194911621127	0.0120613663416916	0.115622063606254	0.472074279836868	0.638923064090958	0.213704263787794	0.0179351012870224
KLRB1	0.744019202241686	0.403001929578347	0.702861509568592	0.710337436922835	0.442353826192908	0.164574855003592	0.316606487047422	0.729271035726303	1	0.789145507483751	0.817439177319038	0.745639260701368	0.337991815681247	0.680206594629041	0.365558193518823	0.662476777728512	0.486547443639889	0.78851288125328	0.365631402048099	0.550164664320303	0.936352028359071	0.698811785289653	0.748165571921724	0.639901000344451	0.347166332148523	0.116607644966942	-0.024311678502676	0.477718368437449	0.0950237309295064	0.627721449084759	0.356507632252307	0.216112260026379	-0.24479884402568	0.168231422407023	-0.0108108401933544	0.253405146961586	0.203607674322413	0.411934751654659	0.707734874379059	0.415207385503521	0.0597184699597247
CXCR4	0.952443112596741	0.696605208489031	0.905677226418432	0.934926173128183	0.820169803401618	0.620869961465578	0.728896086350892	0.92900796555177	0.789145507483751	1	0.952275268622184	0.959559015310621	0.721067057820021	0.958557970045723	0.474178759615292	0.907246266275698	0.782876869671053	0.912190921942151	0.72084467656203	0.823358490709687	0.890485065390887	0.925117260936709	0.72529673812388	0.843518860313419	0.560072996384878	0.225566385756095	-0.152928910415539	0.502087427968477	-0.0698697333296065	0.811895824460928	0.275868514935402	0.345353559581355	-0.412300979289143	0.152709846136233	-0.070171512903713	0.211223574975139	0.308481652383616	0.689991213784093	0.791655428211607	0.474987871536377	0.144346921932112
