""	CD3D	CD44	CXCR4	CD2	CLEC2D	RPSA	PTGDR	PTGER2	CD3G	ITGA4	CD8A	CD8B	SLC16A7	GPR171	KLRD1	ACTR2	ITGB1	NCL	CD96	PDCD1	CD69	SELL	CRTAM	CD247	DPP4	ERAP1	CD47	SIRPG	LAMP1	LRP10	TRADD	TNFRSF14	CD46	FAS	RACK1	KLRB1	PILRB	TIGIT	STX3	CXCR3	LAG3	PTPRA	VSIR	ADCY7	CD226	TFRC	S1PR4	CCR5	CXCR6	JMJD6	PTPRJ	TNFRSF25	PTPRC	CD74	CD63	STX4	SORL1	TSPAN5	TSPAN14	TNFRSF1B	F2R	CD81	CD6	MCFD2	ATP5F1B	APLP2	PTGER4	CANX	SMAP1	CD4	TNFRSF1A	HLA.DPB1	C1QBP
CD3D	1	0.403852924405365	0.631311873172582	0.914314766639329	0.744873577226645	0.842799694056065	0.437090323854126	0.888447956651545	0.94087713728906	0.600485355148334	0.42541948003501	0.724348374586901	0.661444836553227	0.859797755202784	0.187522778236032	0.343709731548097	0.234775787016664	0.255161847685638	0.916076004639785	0.257995667820973	0.527301652047498	0.65364278165936	0.528221462880803	0.893268731314578	0.736165789125586	0.0692386497617181	0.703574128659521	0.756726541155477	0.241127125378376	0.0697471112607165	0.767693608292174	0.735827257603485	0.603817101582785	0.317890805860068	0.749354382276419	0.627721831351799	-0.293881720955209	0.157920368601463	0.542364275570071	0.77620494297613	0.58381196990978	-0.145746367120307	0.307835971559145	-0.193055376524402	0.709299489520886	0.257507409092751	0.811991723015292	-0.213367564238935	0.0238353942619979	0.526294266370518	-0.271857106205527	0.642005868778151	0.504970906480366	0.00644173344704915	0.210448224128269	0.466545974588117	-0.216224835338987	0.314248811998283	-0.095198230303115	0.388232255776823	-0.512560722636902	-0.0515103047782428	0.444818784908909	0.100361720524063	0.335361225468483	-0.093842452945623	0.464875379207471	-0.118662499342932	0.667725432358759	0.461847187742715	-0.170885458198382	0.092601814126427	0.417095538112793
CD44	0.403852924405365	1	0.483619452175353	0.508279651237808	0.608839852725264	0.460137877507705	0.401745920912444	0.235707625705394	0.46934531846694	0.571526252415229	0.487221682980974	0.392400679481033	0.374423252616647	0.301764255700192	0.300284035421298	0.767664063210396	0.820830951685614	0.745864833657961	0.432419940221498	0.141703707835984	0.367844702265314	0.562907028806766	0.278570099432258	0.333819229788642	0.305250290588295	0.686557859890848	0.674142491457547	0.23924830319028	0.565595801865244	0.534794486318232	0.305368216786106	0.597722579403033	0.500735798917552	0.611206753560776	0.566027906813498	0.107256201050512	0.34791965386631	0.501302353502885	0.465217013751087	0.295565088073062	0.308222976867209	0.583015815530406	0.673857994716123	0.507325989562269	0.392159038639796	0.663071402077839	0.228262663106271	0.245205953841492	0.222003242388741	0.533085989354047	0.573507895132745	0.272746563428191	0.758069664672479	0.646633501244679	0.661913153935046	0.571609556057336	0.412806299959688	0.679954981139817	0.587913950862723	0.702818298932145	0.470697703742441	0.643786657914315	0.349821922723579	0.630435225822121	0.684034650726952	0.573884557461475	0.486560662559378	0.560205684432833	0.61256903901322	0.579737188839317	0.546938703794459	0.679465437634127	0.654288190669506
CXCR4	0.631311873172582	0.483619452175353	1	0.688090340371096	0.724005606377597	0.695030892148549	0.532608350245704	0.779744003974169	0.697618204092148	0.54737957258872	0.0178113050196496	0.245069777861906	0.671109671191415	0.753271961671514	0.235117428136859	0.524319080219381	0.497367617503191	0.49760430510759	0.665401496723313	0.255873364458869	0.897295305196826	0.534805463519192	0.221405039356103	0.558689787655281	0.725079179705798	0.362185754904773	0.590038312593479	0.5087890146086	0.329742430358971	0.433546730413921	0.862112483761549	0.548826737574719	0.493908533616793	0.297444012146769	0.720513585428794	0.748627959955644	-0.272581054424923	-0.1257594602194	0.775915641936358	0.416908793243364	0.173982074034612	0.207185212856039	0.500269802492673	0.136362641934935	0.69827484140356	0.448089363484192	0.535614719469339	-0.314583939492547	-0.225135301431137	0.73017672509982	-0.0125841393619782	0.618230189007721	0.553493253829028	0.32981858359557	0.359280934501148	0.501476587014575	0.0524096460417242	0.299361734102633	0.424717963105845	0.574722948312321	-0.328527140431916	0.255994046992615	0.614960681052115	0.335982709946772	0.466920639519679	0.225504812078875	0.876858354373983	0.14489927111125	0.577479978384097	0.856998154021776	0.287841029773234	0.339352583604925	0.519327074370764
CD2	0.914314766639329	0.508279651237808	0.688090340371096	1	0.793379876733374	0.681033185282789	0.662783353612877	0.797753905503355	0.948632390539684	0.711436140839575	0.489451732220331	0.715253552457598	0.792648297312177	0.837623894598775	0.369942971625332	0.295638101479854	0.266458657940063	0.235842018272658	0.938098439968666	0.402640286440176	0.493626269137069	0.614520920815857	0.439834521707818	0.884251574439272	0.69428966781487	0.21919510798636	0.662804929859302	0.645128733505404	0.130575304442571	0.170964738907068	0.776350873590025	0.688780739644312	0.465128292525168	0.399167887913076	0.626550703635092	0.673994803866041	-0.227787309916835	0.2034511956331	0.622735648293752	0.647070728669467	0.63507029815896	-0.129038641673137	0.257043193186698	-0.129546960356834	0.66947891423826	0.189737706501657	0.674320075884965	0.0285031882341671	0.0610296417926351	0.470328631691598	-0.255120065113179	0.607915988282109	0.591991607037678	-0.0076536085190595	0.148462432218553	0.331733708251492	-0.306605028439548	0.20803455183979	0.0250144950373906	0.350313710711265	-0.398822838108665	-0.0621404176970302	0.658304663738285	0.0600380950223423	0.267111879578662	-0.137716852958058	0.49107860702057	-0.164508188357123	0.508786581817539	0.464971953248448	-0.145231582415802	0.0790149962404314	0.304303362253459
CLEC2D	0.744873577226645	0.608839852725264	0.724005606377597	0.793379876733374	1	0.592741703283879	0.586083655887722	0.685365136890136	0.815557178130284	0.775027642392817	0.345101339208528	0.352559227184629	0.734227469998849	0.652979785291776	0.365363549350631	0.492047544291975	0.407157348460412	0.468445665668788	0.679682301083673	-0.0441245940980515	0.661127018907445	0.484578204319039	0.160310820295716	0.545734001170357	0.83107078271997	0.472323004032744	0.616111428086629	0.315764724739237	0.113775748609327	0.124365715510549	0.635674974942148	0.78110526667935	0.651098297992838	0.501455929490541	0.579903556150329	0.664933355700844	-0.199752661683542	-0.0378230567523067	0.784159005049325	0.390654798388101	0.28584874146951	0.156842223276832	0.255322716595642	0.227847155068394	0.794617961394951	0.397636492904201	0.454249565999995	-0.194048146291777	-0.228425764508603	0.53727844943145	-0.0578469300167024	0.816622619336778	0.793664129922716	0.185424812416579	0.264324198494737	0.394850152622762	-0.0245113178690708	0.377170764620599	0.325250812695224	0.58152899453233	-0.273947533091683	0.0972589091291826	0.53787415403561	0.288009011518528	0.341000569405258	0.10670545903694	0.742630643824476	0.116003716752252	0.515182518861798	0.705523471037846	0.133622157588272	0.262831202108972	0.440304528272543
RPSA	0.842799694056065	0.460137877507705	0.695030892148549	0.681033185282789	0.592741703283879	1	0.164117035973927	0.823738931347899	0.737592067903715	0.434585669822957	0.11901563446244	0.508874337258513	0.503872106382925	0.73599082404116	-0.00249108384220486	0.64296506129703	0.550100138525781	0.593677681240556	0.737786852105912	0.169013435735288	0.68238903716805	0.787449662357056	0.567554333905801	0.757062771454111	0.649782030822021	0.198919537623482	0.844677768145457	0.730133018575278	0.640239058568841	0.40030169748074	0.711937812619103	0.640509571377625	0.77059268740593	0.294878132706056	0.961639798612572	0.509181781435169	-0.104686910825786	0.0580812472239995	0.511163228225314	0.651080110455403	0.351254346693135	0.254442795018893	0.650396067376219	0.0365926871303483	0.708848896416904	0.605000271022199	0.790498846654087	-0.447229854912409	-0.0844585187692061	0.81774456836718	0.0989200945878862	0.533154218769225	0.490834010861091	0.399836085426401	0.601110700785523	0.821328941895101	0.217435474729544	0.549168511433431	0.193396839078298	0.597620214043928	-0.363175452739278	0.365345582091178	0.187039611961973	0.504016865495476	0.695980591624375	0.350512659369157	0.585926921883752	0.300840489111207	0.896903473423666	0.654407006892273	0.196486635289062	0.427587970766074	0.773962934486704
PTGDR	0.437090323854126	0.401745920912444	0.532608350245704	0.662783353612877	0.586083655887722	0.164117035973927	1	0.358607515430167	0.598661547623567	0.618563311213298	0.483353790364686	0.440833633146436	0.454922516165148	0.4030497048626	0.742505938265979	0.0766432078171212	0.16400876513472	0.061990950437875	0.602027367537108	0.465153466694651	0.371316594444512	0.134339142784671	0.226526373823801	0.473898640481493	0.385952067964971	0.250419039498513	0.249365568847614	0.12914308382051	-0.138288603792222	-0.00279832217718254	0.474701227256144	0.266123820797584	0.0312189227422572	0.433930888059314	0.127461287436179	0.397822175482116	-0.14562687456526	0.19901916638122	0.568440847559806	0.1891280398012	0.243408958520394	-0.138109700097424	-0.0121903896263495	0.0587133937095367	0.322278795697551	0.00194275156876334	0.23478754872016	0.332009227151758	0.221614272690915	0.167030514035613	-0.192170499339303	0.35013949565354	0.573815610231932	-0.0877569652385875	-0.119079640894461	-0.120530584671177	-0.326348562516609	0.0166423318491163	0.249375811945978	0.116183533567731	-0.0860637357080058	-0.168633035353898	0.606062436156349	-0.12108497002977	-0.0943641215812721	-0.236955302106546	0.334722129063246	-0.24743509077999	0.0261093600558385	0.345023566152108	-0.114394161816825	-0.00674434682940593	-0.0577792398119536
PTGER2	0.888447956651545	0.235707625705394	0.779744003974169	0.797753905503355	0.685365136890136	0.823738931347899	0.358607515430167	1	0.840337218297693	0.497776650832828	0.11161274035777	0.507432761386384	0.683518064419153	0.922225213329477	0.0734996699905616	0.292264800791741	0.185821739734937	0.223132143577648	0.811906610255063	0.195868798322058	0.729549881403585	0.575247188258245	0.352891696493785	0.773422413659332	0.825587641581063	0.00650472604839458	0.593308347904917	0.733693055177236	0.184073564228691	0.105949112138418	0.852005466729758	0.620224899853319	0.527952544052188	0.184352666819398	0.733015311750562	0.75356766153649	-0.470363658798651	-0.0807525058396041	0.600416633779255	0.684952856707465	0.350897396916023	-0.165356707822889	0.263158357948993	-0.232624923968961	0.754298681177012	0.232988836532654	0.745478009427852	-0.406452414108247	-0.191484737581744	0.564844301533387	-0.355087300885794	0.717933477448822	0.373934238613027	-0.0110065876893016	0.159415322810283	0.442734428830542	-0.19969223465334	0.219529619946724	-0.08485778384439	0.33799954768017	-0.691530347165225	-0.0768926119184113	0.415817599092135	0.0675507963131177	0.299221949668907	-0.0839126841052574	0.637221833627257	-0.134354015733619	0.632068840105032	0.598070966833504	-0.122174829608935	0.0267959645801276	0.395807859485039
CD3G	0.94087713728906	0.46934531846694	0.697618204092148	0.948632390539684	0.815557178130284	0.737592067903715	0.598661547623567	0.840337218297693	1	0.689227617725776	0.397919846986218	0.621212849455255	0.709242046063241	0.811883107449745	0.282109707248428	0.28626752910296	0.269158355849427	0.230131666768322	0.925595467100086	0.290551485648953	0.54215148948518	0.640056440540915	0.38701345440485	0.857583825909195	0.770856115576865	0.133722632231992	0.712821190265931	0.625046970083789	0.168182490537312	0.0881306360568823	0.812517110650577	0.689516579015307	0.556105856686912	0.440726425036128	0.683244694034233	0.714427292917708	-0.291309970362541	0.157743361480561	0.563205645037014	0.669258897810307	0.610696707449038	-0.145630851848213	0.221840849753531	-0.102106887797663	0.720578057739668	0.214669776326923	0.748482851671427	-0.133422957485234	0.0728858425179091	0.465675171258265	-0.288704339899637	0.688065370433659	0.588155794077029	-0.0416654846955839	0.129201819556446	0.357728080758742	-0.271401239354867	0.195292065883952	-0.000193858606869003	0.347893615934192	-0.456224259403522	-0.0883595468842802	0.575208961024987	0.0761079534970303	0.241451078200525	-0.142127863728709	0.500751495571131	-0.160786569057901	0.556385128123272	0.464324110392111	-0.145968628869959	0.0467089076466709	0.333238413824838
ITGA4	0.600485355148334	0.571526252415229	0.54737957258872	0.711436140839575	0.775027642392817	0.434585669822957	0.618563311213298	0.497776650832828	0.689227617725776	1	0.445187289973745	0.432458583125754	0.674158659820466	0.47177819665613	0.549463865177545	0.341404850127496	0.392010971354725	0.329658887477205	0.682263966914248	0.061659151240684	0.558451021644355	0.409319388031352	0.406518565330085	0.515834363236831	0.509793143689339	0.304210732198567	0.500609961385258	0.160448739653258	0.114528227587752	0.292110982818813	0.413939058862043	0.5131882701865	0.527651711452731	0.614336860440776	0.370246141098012	0.322789791663148	0.045703837388844	0.164140935209995	0.57401811868184	0.211575833461065	0.279041654086367	0.0901176638842028	0.19275392438322	0.132101769198197	0.472964925245612	0.233051894637015	0.261348426194301	0.118404519053081	-0.0988135028919155	0.342022140548044	-0.037452326289515	0.403661373861099	0.801069821155237	0.115655936583817	0.146023780728956	0.216959954422274	-0.0922616880590867	0.203470080096879	0.310853745408709	0.319925633926537	-0.121844065861791	0.0137086927882801	0.458177291901602	0.114243030201059	0.185164803971672	-0.0204007263757202	0.511727556228254	-0.00694397471329555	0.274990099105587	0.527343796518176	-0.06058239442913	0.225056043495773	0.242584229298311
