""	CD2	CD3D	CCR4	CD3G	CXCR3	CD8A	KLRD1	CD44	DPP4	CD8B	CD247	CCR5	KLRC1	CD69	CXCR4	ITGA4	KLRK1	F2R	KLRB1	ADGRE5	CD53	ITGB2	ITGAL	SIRPG	ITGB1	CD47	TNFRSF1A	CD226	TNFRSF14	CD4	FAS	TFRC	ADRB2	PTPRC	TGFBR3	ICOS	LAG3	TRADD	TNFRSF1B	PILRB	CLEC2D	IGF2R	PTGDR	S1PR4	PDCD1	ADCY7	HLA.DPA1	SEMA4C	ERAP1	PTGER4	LDLR	SLC16A1	NOTCH1	CADM1	CRTAM	CD81	PTPRA	TSPAN5	HAVCR2	SMAP1	CANX	LPP	TSPAN14	APLP2	VSIR	SORL1	CD74	LAMP1	C1QBP
CD2	1	0.995268925076773	0.868140884004341	0.989465182123261	0.820386446586093	0.970023160511657	0.955546662087173	0.970088697597389	0.915696406416208	0.972457719329035	0.980317842853758	0.407475391230501	0.863765793802068	0.970541505862134	0.952660485600837	0.652706325366839	0.981005767587943	0.767959703460197	0.913671636090202	0.971597222990444	0.94503250978736	0.65342016398562	0.780435164591903	0.892241221597809	0.711739579168809	0.706606681257752	-0.0722541187458077	0.869099450571591	0.706802275604878	0.248273295970617	0.81126263881432	0.285590324140964	0.472666832074383	0.888164174501367	0.907645207252344	0.85466885669202	0.912177499921908	0.849754764964166	0.577041094767019	0.512554835774034	0.992668552017088	0.848034558751214	0.901382560394227	0.882248110232427	0.730263594863093	0.46383159397247	-0.418346074079995	0.83612557301265	0.462769274124361	0.911466127249318	0.79512846568743	0.866934109612332	0.79719114315462	-0.495088157822798	0.0721239060659263	-0.359768985377024	0.680896126618331	0.927742156693935	-0.157370463016427	0.441355321919163	-0.17910207303483	0.0568219242737541	0.11947531166903	-0.241888135225564	-0.672477349078627	-0.163039799494254	-0.508676144802634	-0.00115941033451755	0.331456373888854
CD3D	0.995268925076773	1	0.90532779401396	0.994726199413124	0.85492632764271	0.957066132747115	0.954190379244693	0.973330378063053	0.912041891723329	0.977567797159187	0.975570829386126	0.363437441721099	0.896675267898928	0.968350259840259	0.955583789956202	0.702055139340006	0.992194001993804	0.809126858040666	0.924991922799991	0.985586784722184	0.930718583309062	0.60736260600688	0.816687531136324	0.920745117161195	0.748761524121143	0.755653768675689	-0.141586088666357	0.905859681738927	0.744660083463885	0.196324566590921	0.839271564610552	0.344690836986237	0.523588342796906	0.901906099530128	0.911613327708082	0.887763805673511	0.895340485297458	0.814222302220726	0.587454096960922	0.56113639255701	0.989875707478651	0.872036445411924	0.893222363018982	0.8575408861337	0.701781720127572	0.528617461133628	-0.463780860144827	0.855807894531195	0.521407196520489	0.937537476394808	0.839836291420601	0.873839852595613	0.822020233384914	-0.451859134491882	0.0972268275446524	-0.358892587098283	0.714412047978208	0.945609060163558	-0.118667476630076	0.472856044045151	-0.136455648241079	0.123744202377689	0.171189613504926	-0.204448438140669	-0.658723542943196	-0.179162621159116	-0.537177319992047	-0.0143039054166429	0.324038168475382
CCR4	0.868140884004341	0.90532779401396	1	0.904046479882717	0.934684069058407	0.783793191063219	0.840973134767639	0.877306885983364	0.786838918262623	0.896785337516702	0.844150061024939	0.0866455794474982	0.9810248258823	0.848594307291714	0.870758989443229	0.899820325136085	0.93895983812904	0.923102674566563	0.883168970712768	0.945498398973461	0.796552538681288	0.391686841364995	0.952984316277076	0.976309751181547	0.899066236808716	0.947324133328195	-0.375667342349666	0.981653161427435	0.915098032542478	-0.0234652083522952	0.8955754823846	0.632348178037865	0.799595155957433	0.903243640185064	0.837337095351609	0.970185367764579	0.703379051772899	0.568822556139277	0.650595839315742	0.760566238089228	0.852996084783717	0.915991213612838	0.755074989921566	0.621301196560553	0.534962174086674	0.812273132664909	-0.518516055404688	0.860190598314209	0.773368681205824	0.967234712605986	0.960253764422911	0.820572061667184	0.837314253405094	-0.182871307323701	0.240945877087042	-0.194266663091892	0.838616741481193	0.918165891865501	0.145696406113746	0.615879551398944	0.156563286174229	0.492559954248315	0.490793104933629	0.0528722857180354	-0.426179061294339	-0.0995245200402366	-0.510074453202702	0.0484405603699751	0.278262894331156
CD3G	0.989465182123261	0.994726199413124	0.904046479882717	1	0.837891655962085	0.933853877455571	0.969399096826842	0.989793231523859	0.944976653514824	0.976747779983954	0.964694970395591	0.298067600688512	0.907669011750794	0.985311116619377	0.95827176142103	0.67869249271497	0.986820341042938	0.785855063011178	0.953409080009027	0.991013275012312	0.94210924484976	0.576869549562602	0.797817113166666	0.92104561410096	0.761155090979454	0.756368299482032	-0.142607041948624	0.901867596234123	0.730759788983704	0.158926314782917	0.875681046981935	0.374141182743207	0.513445390331644	0.881943456232811	0.92042213938071	0.897537474566294	0.885484352057342	0.79640610688565	0.558746112244298	0.576619554086118	0.985214775675404	0.87581069375673	0.909387448246684	0.856212898306825	0.635076070830962	0.552793861368808	-0.48623001235415	0.896644905066149	0.510557079762077	0.952043154400122	0.852574549197245	0.890104884482994	0.810869048463662	-0.478419248113157	0.027620312901234	-0.381455324846216	0.715461389428642	0.951011628247236	-0.0897327184654434	0.452774592073646	-0.165448414268878	0.11865135762271	0.195334953882292	-0.223769876329688	-0.668850298618341	-0.179883878978814	-0.563341554387786	-0.0592379914421564	0.293632013291472
CXCR3	0.820386446586093	0.85492632764271	0.934684069058407	0.837891655962085	1	0.788643406249463	0.722071263039966	0.769465869729808	0.6537736591727	0.802192477010372	0.855962374187993	0.250253478219739	0.915354174827701	0.755080253677195	0.822652665416768	0.945277832460845	0.89191611318102	0.976829712610011	0.820807547105989	0.868739838400552	0.712414783062966	0.504131119774047	0.906182284327144	0.961656761469077	0.878788309917123	0.851651858076725	-0.295058344487774	0.963169283730292	0.83063875431386	0.101429296100323	0.806481597614278	0.522400315061461	0.753996553710144	0.911148045059478	0.862550355268795	0.937834994659882	0.605305131977695	0.466482198806886	0.672734345129146	0.521759355313261	0.780545077966525	0.83587494556795	0.597229047360758	0.489499496061611	0.610683448429027	0.72370804142363	-0.383674846247495	0.749249267468324	0.756239464754022	0.908911851586287	0.878352329483133	0.681314048904079	0.829434645444456	-0.0331675212302563	0.510712715824319	-0.0437927648289176	0.765295082010425	0.894787814369432	-0.0156348524333748	0.60356129781179	0.280391548740842	0.48094833540056	0.401070470564431	0.192024983791287	-0.382618212609951	-0.0314776591797047	-0.385920680121204	0.142367172133134	0.490416816684157
CD8A	0.970023160511657	0.957066132747115	0.783793191063219	0.933853877455571	0.788643406249463	1	0.900348279661449	0.895333100418627	0.830725627263877	0.932189026437645	0.975918618531497	0.591812061536893	0.778420101579871	0.907933380370221	0.914890391518318	0.606735900193301	0.941856997158111	0.735855959109469	0.825671944875577	0.901079192427027	0.894132854061843	0.723335735396826	0.727681963339432	0.830288942759818	0.623816809873469	0.602035127131687	0.0358239458900384	0.792803415034725	0.619581243749012	0.362535776595385	0.686272354076881	0.148143075135054	0.389007614986912	0.87071767516528	0.883317370641234	0.771879408155597	0.917573146808092	0.857734247331583	0.584722683033132	0.367526975511385	0.964144226040439	0.786077512064049	0.852470469524212	0.878123692158045	0.834048924010169	0.306393717290915	-0.32475896335344	0.707927489664988	0.390648525325684	0.82106961702748	0.685003390112943	0.805476069690108	0.789651740757544	-0.474934342797539	0.179071438830113	-0.317462917285869	0.607709344180133	0.877804607487087	-0.278700714156158	0.404196410686799	-0.16803417433528	-0.028869768669171	-0.00519931992831918	-0.229139184366088	-0.660130111271788	-0.157198200030943	-0.420505685240835	0.0857972881658421	0.413516871776782
KLRD1	0.955546662087173	0.954190379244693	0.840973134767639	0.969399096826842	0.722071263039966	0.900348279661449	1	0.986042084434147	0.976076454189695	0.981782886712635	0.905907757728691	0.282687778674301	0.872708985694477	0.98736657669118	0.942031657419056	0.555557509938719	0.94669016830793	0.668106415538823	0.928438217236528	0.953425864025914	0.952656545505788	0.523270471255295	0.739990736827888	0.852415488760795	0.707175232101728	0.709334024744829	-0.0357026020537296	0.80668254866678	0.676610138498094	0.139004882777843	0.847540196489625	0.371400381540135	0.457909941427248	0.816549104018318	0.871219119545516	0.834966630051433	0.932461519593739	0.816397270327984	0.524256072953793	0.607068031382737	0.969107683567362	0.868486376929121	0.97435475853308	0.918225920256841	0.559779866392498	0.4910800901633	-0.475892792627848	0.881032057664546	0.429350105041328	0.900953201786561	0.798122627110373	0.950513120090861	0.791428113997132	-0.583033837144424	-0.150510989233299	-0.429161017249513	0.698213629685713	0.908014232400166	-0.0230959648266472	0.399431484950225	-0.247977005878122	0.0505311137419528	0.197595803350259	-0.305985437280329	-0.645326261040939	-0.17544404451674	-0.551334723707883	-0.0638059195945164	0.193384678159871
CD44	0.970088697597389	0.973330378063053	0.877306885983364	0.989793231523859	0.769465869729808	0.895333100418627	0.986042084434147	1	0.9786006061247	0.972036722981532	0.927175698991551	0.223796416545131	0.893151465292551	0.995052466241421	0.944345146285128	0.606722739991306	0.962035696334651	0.713694981794938	0.957946212373436	0.979937947310473	0.949842152219953	0.522089464471709	0.756110757671149	0.885683749575436	0.735863137688884	0.737769916951433	-0.12757304875691	0.861345881301653	0.700769702293619	0.112744417577251	0.886645555673146	0.388357973638739	0.478183174784448	0.832295465549029	0.892982548558224	0.871632409724301	0.889720092870725	0.798899454393896	0.509262856990537	0.61184208316234	0.974040525519504	0.864832116068201	0.940858260575285	0.878464054260022	0.556220426780332	0.547735619675445	-0.511026385498535	0.92031954199676	0.464697919999129	0.93840290051101	0.839207757357195	0.915175374593843	0.775013725020484	-0.544915226224874	-0.107080178837401	-0.432614610121446	0.698718580601163	0.927255631227674	-0.0433445863890904	0.41141753823768	-0.234697768807423	0.0833949450203187	0.206222238580136	-0.286144835976448	-0.675254756244308	-0.194074734098011	-0.591093736736468	-0.113441595342658	0.208912419931689
DPP4	0.915696406416208	0.912041891723329	0.786838918262623	0.944976653514824	0.6537736591727	0.830725627263877	0.976076454189695	0.9786006061247	1	0.92548148078887	0.866743428484396	0.163618723409555	0.830449090914545	0.981955517178841	0.89877906976529	0.466697826820642	0.894412383385971	0.581732325965492	0.947412180753485	0.923972241706932	0.929813792923445	0.460182154495575	0.636786910673429	0.805115962834072	0.662058327621562	0.639704037779059	-0.0539478832935817	0.761379190634285	0.581653942577146	0.0723288518886195	0.870705294863928	0.34211139952487	0.3583045826853	0.72925581934557	0.861661674304782	0.802407624425253	0.863891043754872	0.762747190757984	0.399135638818204	0.560758849521468	0.927551404948591	0.800478128522075	0.945562369960114	0.878712301632515	0.434571633191312	0.476520765368302	-0.517051892048506	0.923210570163304	0.342077414410823	0.883533500443979	0.764343630795106	0.903300830398114	0.701574288846677	-0.632387517941892	-0.270571192384934	-0.498137428762053	0.617853183236164	0.872137684076769	-0.050268349432874	0.298152354632002	-0.35077302394678	-0.0259930187942779	0.156564904213489	-0.376251072742294	-0.699903947770286	-0.218662996834635	-0.611395582759778	-0.202712478323593	0.121611714804909
CD8B	0.972457719329035	0.977567797159187	0.896785337516702	0.976747779983954	0.802192477010372	0.932189026437645	0.981782886712635	0.972036722981532	0.92548148078887	1	0.927387583289785	0.343370393101262	0.904452523832964	0.96694220790667	0.957362025156806	0.664952700849923	0.978044944454063	0.767185607330224	0.903516907517346	0.972010393619775	0.939438095867623	0.556422356248255	0.831085426993852	0.897811403518978	0.753798717300305	0.779180721794704	-0.0919869495370571	0.866322778723282	0.767903076579525	0.171290481209546	0.8341478018072	0.408105120917694	0.559022760659524	0.887681357212883	0.869828339298255	0.872096191038867	0.936727529156254	0.822946652513692	0.618009747128521	0.641369557624108	0.981043831643708	0.904568629149754	0.949196010503828	0.896571037213684	0.652463490277181	0.542350490447713	-0.456765702799414	0.844927364790436	0.534075560143904	0.920133335880809	0.840702482387561	0.942795246643502	0.845568700630704	-0.484446647913826	0.00108955335802955	-0.357198133135839	0.753500083778075	0.929848623129434	0.00017004204358961	0.494689857542643	-0.131370902293571	0.153068542165364	0.242581326230185	-0.210085377767426	-0.593457846987111	-0.145343031386568	-0.510942721931075	0.0344715754920904	0.260174393182237
CD247	0.980317842853758	0.975570829386126	0.844150061024939	0.964694970395591	0.855962374187993	0.975918618531497	0.905907757728691	0.927175698991551	0.866743428484396	0.927387583289785	1	0.459878423497409	0.845140207656339	0.936289735168138	0.929218431537679	0.681087944427129	0.9667018304041	0.793723328033462	0.906978582240882	0.941781212282042	0.900591181930562	0.685270956777232	0.756433064316076	0.898566323379003	0.708122924685117	0.660493658746661	-0.0518952002525314	0.866121030054101	0.650311197599875	0.280123022143413	0.787404838814175	0.230526183811817	0.440850991241129	0.887411072552993	0.949547496541366	0.85380440029386	0.851454687397235	0.784491378071277	0.56124535412119	0.395084539360311	0.961952806098934	0.814563835443269	0.82881699337071	0.812337780538939	0.763847419498082	0.421159013383213	-0.390512070092877	0.806658815554659	0.44945051456646	0.895648512432659	0.760839587703059	0.793709855697399	0.795939765519347	-0.430357765583868	0.200824694802329	-0.314399691783632	0.637587216456688	0.926731687964898	-0.269545050298035	0.412936993638428	-0.134583065225979	0.0439899031149987	0.0650212205194339	-0.186509698769241	-0.68444938729886	-0.164886656051191	-0.485987968107721	0.010592488096964	0.421913088362934
CCR5	0.407475391230501	0.363437441721099	0.0866455794474982	0.298067600688512	0.250253478219739	0.591812061536893	0.282687778674301	0.223796416545131	0.163618723409555	0.343370393101262	0.459878423497409	1	0.0740183194716081	0.277864278136031	0.389731997089236	0.0788619265817166	0.322041213989007	0.226914381569171	0.124752700039743	0.23092785929995	0.357943030489522	0.703742006901376	0.149529277159661	0.186400353294206	0.00898269434147984	-0.0716201664737832	0.500393021364375	0.121460182921942	0.0253862444310744	0.699936394468171	-0.052339472210741	-0.369421553645211	-0.13455471755767	0.396252370401738	0.311248213810494	0.0963257318101955	0.530900175005905	0.524652203314259	0.377282103312254	-0.290631665591436	0.410954221149434	0.149679604412986	0.281702042406841	0.478181892089263	0.732330167116078	-0.364244380688589	0.267914713259347	-0.0866693654728325	-0.100565459799597	0.111019040009696	-0.0339450463111487	0.229070409874821	0.357104120057474	-0.198707413352602	0.354877668008344	0.040088547121307	0.0430741984222348	0.252988515960716	-0.435496897523918	0.12545972555536	-0.0975674489910889	-0.347406792980167	-0.382386909211532	-0.0839426121308361	-0.231125524624786	0.0606595651867559	0.185077438309344	0.355980762170176	0.499345953868301
