""	CD2	CD3D	CCR4	CD3G	CXCR3	CD8A	KLRD1	CD44	DPP4	CD8B	CD247	CCR5	KLRC1	CD69	CXCR4	ITGA4	KLRK1	F2R	KLRB1	ADGRE5	CD53	ITGB2	ITGAL	SIRPG	ITGB1	CD47	TNFRSF1A	CD226	TNFRSF14	CD4	FAS	TFRC	ADRB2	PTPRC	TGFBR3	ICOS	LAG3	TRADD	TNFRSF1B	PILRB	CLEC2D	IGF2R	PTGDR	S1PR4	PDCD1	ADCY7	HLA.DPA1	SEMA4C	ERAP1	PTGER4	LDLR	SLC16A1	NOTCH1	CADM1	CRTAM	CD81	PTPRA	TSPAN5	HAVCR2	SMAP1	CANX	LPP	TSPAN14	APLP2	VSIR	SORL1	CD74	LAMP1	C1QBP
KLRC1	0.863765793802068	0.896675267898928	0.9810248258823	0.907669011750794	0.915354174827701	0.778420101579871	0.872708985694477	0.893151465292551	0.830449090914545	0.904452523832964	0.845140207656339	0.0740183194716081	1	0.875673136627865	0.890518520928372	0.86222122616751	0.935867567463433	0.890322194362426	0.924655719674563	0.943630883820947	0.827260209467978	0.401298936975482	0.927739980781158	0.981901040901726	0.928806187972838	0.929537567177156	-0.26753521936877	0.956260345020254	0.87443388014934	-0.0141554973215883	0.932078654249692	0.661187635816589	0.781739176939751	0.89329024497015	0.879992330301135	0.982618446260794	0.713874636323368	0.544995773016422	0.650146033441073	0.731616156927442	0.848382655568006	0.937345087739042	0.788123309221757	0.631101051082542	0.475608339981982	0.803140623829689	-0.490158793607366	0.899518887376825	0.74375296938242	0.977989174390811	0.955314008667687	0.867901024853426	0.858364149124033	-0.221305722875146	0.177309266552	-0.175726638201992	0.849375686737745	0.938266298181177	0.159697710023015	0.591520018587423	0.146933275135362	0.470514128051829	0.518659425865269	0.0551139445905511	-0.415175352332161	-0.0519678103848388	-0.490071911091395	0.0560264878565129	0.299065693940436
CD69	0.970541505862134	0.968350259840259	0.848594307291714	0.985311116619377	0.755080253677195	0.907933380370221	0.98736657669118	0.995052466241421	0.981955517178841	0.96694220790667	0.936289735168138	0.277864278136031	0.875673136627865	1	0.95568432345777	0.576567492933556	0.954283364031743	0.694181414613201	0.959859406474669	0.969807676922095	0.964172297376084	0.570297759417278	0.728435569745625	0.875603688322798	0.726806490040459	0.698553623247216	-0.0455455687414672	0.836598093993576	0.658279498592415	0.177676018747209	0.879533740877353	0.360572595554169	0.437616846414537	0.83483443532898	0.910304506268169	0.860624760568266	0.896093735412466	0.808168686491906	0.518735365031153	0.554491796241579	0.974285294660192	0.85284748121892	0.944692920368218	0.887294879863046	0.571201275947777	0.50288510371447	-0.459810085715514	0.906696510964547	0.430427470745241	0.926548629938373	0.810207990149285	0.9094463999021	0.779977337213142	-0.555518292774443	-0.105617607657071	-0.407461574166196	0.673493819820006	0.923911118871218	-0.0698867445952368	0.402270582883668	-0.246026297393852	0.0434880870817036	0.1796286588711	-0.278464961560888	-0.67230360417909	-0.157759269780491	-0.549438074301605	-0.0842163898479975	0.253594372500421
CXCR4	0.952660485600837	0.955583789956202	0.870758989443229	0.95827176142103	0.822652665416768	0.914890391518318	0.942031657419056	0.944345146285128	0.89877906976529	0.957362025156806	0.929218431537679	0.389731997089236	0.890518520928372	0.95568432345777	1	0.675222162425058	0.951382684503659	0.793049147550709	0.912687879177792	0.957368216473194	0.962865850959365	0.686099493436177	0.81393263542967	0.912300512584447	0.817300587617246	0.756297313216273	0.0330435268583697	0.867840393522891	0.737020062280228	0.346291021865321	0.867098641637841	0.473012841407754	0.556997882517968	0.938213471561971	0.891865519411189	0.900699966677751	0.874931151252776	0.797702810485058	0.726779292917924	0.548112404832275	0.954207460787903	0.886931419898213	0.903229010868592	0.829634321375091	0.643321203342464	0.5608386872447	-0.284916947322309	0.830503569252791	0.569718395675173	0.931157031082325	0.840023669752863	0.886239331445229	0.857759432329804	-0.382897718763288	0.0809179799003609	-0.179322822062171	0.747087301431521	0.925074060188289	0.062901397591555	0.56873184353478	-0.0363851957254366	0.204043072887751	0.320502741819084	-0.0452414077140421	-0.488376043179472	0.045975361662085	-0.345008060516746	0.152803673067433	0.448105433009877
ITGA4	0.652706325366839	0.702055139340006	0.899820325136085	0.67869249271497	0.945277832460845	0.606735900193301	0.555557509938719	0.606722739991306	0.466697826820642	0.664952700849923	0.681087944427129	0.0788619265817166	0.86222122616751	0.576567492933556	0.675222162425058	1	0.765673996921473	0.96655006822875	0.667982256693539	0.744221624295011	0.544055004269123	0.350896541133984	0.934384244376163	0.892292857456654	0.883767502896962	0.902912349830176	-0.407848413698109	0.908056432457495	0.8890514065061	0.00650067350639474	0.720177888291397	0.652004764232221	0.890728595487772	0.844153266104025	0.701001452372416	0.883489414506073	0.418017908706017	0.298405791858293	0.697855357836942	0.610850687579869	0.6101435319802	0.788933337000414	0.440812828251889	0.284383560765979	0.522575169554715	0.816288729333301	-0.326631479207916	0.628619402281782	0.876888290215703	0.814327160870255	0.856896806530232	0.554246713686361	0.765110292744101	0.189645085734518	0.606636115212578	0.123295148416115	0.787141380359273	0.769969206143646	0.16752654704337	0.693059911935211	0.497828496009431	0.706768832266916	0.572385377440314	0.384965077941326	-0.153669715751403	0.0698300941195812	-0.26998006267365	0.26120670577864	0.442546235042105
KLRK1	0.981005767587943	0.992194001993804	0.93895983812904	0.986820341042938	0.89191611318102	0.941856997158111	0.94669016830793	0.962035696334651	0.894412383385971	0.978044944454063	0.9667018304041	0.322041213989007	0.935867567463433	0.954283364031743	0.951382684503659	0.765673996921473	1	0.853594911394412	0.929638109446623	0.987601776871833	0.91338190643393	0.575560218148338	0.868650039036255	0.952765418482927	0.803859969189164	0.811174264640264	-0.171040059465891	0.932047385913342	0.792423387810111	0.159016603469351	0.858360577992742	0.413418119861846	0.603373636613898	0.922575394642982	0.923605878438114	0.923512702902274	0.869100062655089	0.766068532327606	0.622010032967976	0.603060688825847	0.972314607748429	0.908728314655066	0.881179090386818	0.816259931482448	0.689555117189532	0.589096492886509	-0.470932141913522	0.863807522071997	0.592550797878334	0.956614449175438	0.875833109103115	0.881180001626415	0.858510018734527	-0.389574088694226	0.150722229607125	-0.309669646271007	0.764592207409415	0.962228314421123	-0.0727903254307365	0.520803536007622	-0.050344589390288	0.216299187800304	0.247661142977875	-0.133157056825569	-0.609177372278041	-0.150928215875172	-0.52564167990313	0.0293513280560428	0.339261924878894
F2R	0.767959703460197	0.809126858040666	0.923102674566563	0.785855063011178	0.976829712610011	0.735855959109469	0.668106415538823	0.713694981794938	0.581732325965492	0.767185607330224	0.793723328033462	0.226914381569171	0.890322194362426	0.694181414613201	0.793049147550709	0.96655006822875	0.853594911394412	1	0.74591888462565	0.83269216712364	0.661959880604724	0.484147248269082	0.932390842975888	0.937240709581488	0.89737007054463	0.887812292730787	-0.328869897135449	0.947245817416974	0.864816440955096	0.143455430308227	0.769240834775523	0.605684180923609	0.812801377488133	0.920347083225064	0.78596472641177	0.923659836216288	0.558814497594035	0.454990566377282	0.740526430259455	0.573072082068984	0.736538001788221	0.852360876983015	0.568719396293167	0.439203142735871	0.6077759595083	0.75903943697998	-0.326213943770664	0.685562367542115	0.85496711768832	0.876302294617152	0.899649254323945	0.644719276741698	0.86765842370413	0.113488087088034	0.544855911568982	0.0586675316568091	0.821128945798488	0.872849605389157	0.100029681796253	0.734781692843445	0.412163260012736	0.598657207698687	0.479632889540141	0.325143953260458	-0.284333961383033	0.0616142444712236	-0.30140946551664	0.256988038858057	0.542406371281669
KLRB1	0.913671636090202	0.924991922799991	0.883168970712768	0.953409080009027	0.820807547105989	0.825671944875577	0.928438217236528	0.957946212373436	0.947412180753485	0.903516907517346	0.906978582240882	0.124752700039743	0.924655719674563	0.959859406474669	0.912687879177792	0.667982256693539	0.929638109446623	0.74591888462565	1	0.95248646182904	0.899475401929633	0.47615863759597	0.745668963500397	0.922835510057594	0.806237555471433	0.74667360848221	-0.141665931212845	0.880156736503315	0.671156500117417	0.046261497535341	0.945373292548465	0.451545721618265	0.508937263373572	0.813586484470822	0.948905213839403	0.921397139858711	0.759927278433293	0.62545111841459	0.475405007989734	0.555098345520013	0.899334263243863	0.841613122984523	0.841752720322383	0.731055418992907	0.449527074882776	0.622792210277396	-0.509149625183881	0.958962270667286	0.49199832907842	0.962818806459689	0.853509288985319	0.852406072059253	0.764512906033648	-0.445175396574684	-0.0144226002607535	-0.350172618777366	0.684648327952571	0.931625822086308	-0.055466994040234	0.38876069741491	-0.1464345288874	0.162259160884686	0.28347183400079	-0.178745472268742	-0.626934829552124	-0.156146737563234	-0.581218944657341	-0.145705627313115	0.259168630677038
ADGRE5	0.971597222990444	0.985586784722184	0.945498398973461	0.991013275012312	0.868739838400552	0.901079192427027	0.953425864025914	0.979937947310473	0.923972241706932	0.972010393619775	0.941781212282042	0.23092785929995	0.943630883820947	0.969807676922095	0.957368216473194	0.744221624295011	0.987601776871833	0.83269216712364	0.95248646182904	1	0.929331591454824	0.541917786324247	0.855199385149415	0.951304064036817	0.823017163140097	0.828270301430399	-0.199887316141155	0.93906163710853	0.794355765245301	0.133836115177271	0.906062322354841	0.474678367542373	0.603944533106707	0.908452237369984	0.910283712814765	0.936956688795553	0.847917962916464	0.75827586074166	0.606503860181098	0.648636380620843	0.966065321415603	0.907308995201997	0.89141908330717	0.808582671742611	0.611185121100379	0.64312200096389	-0.487372221719012	0.905561434498689	0.601942935167182	0.977184127191279	0.906769643649429	0.890264017730146	0.836153220958336	-0.397587878568702	0.0661846553998109	-0.320234079196157	0.764208258293103	0.95789346415211	0.00206472199160715	0.531962328037064	-0.0736017643443661	0.236472889612663	0.300900604453021	-0.134248028503282	-0.598247241176154	-0.131295752371484	-0.541564629151812	-0.0143938750180508	0.303879784325455
CD53	0.94503250978736	0.930718583309062	0.796552538681288	0.94210924484976	0.712414783062966	0.894132854061843	0.952656545505788	0.949842152219953	0.929813792923445	0.939438095867623	0.900591181930562	0.357943030489522	0.827260209467978	0.964172297376084	0.962865850959365	0.544055004269123	0.91338190643393	0.661959880604724	0.899475401929633	0.929331591454824	1	0.71360758456925	0.726337241517897	0.834624410989161	0.731146297220763	0.674014748718254	0.131065815509575	0.782772531918943	0.669389429515349	0.366773034648393	0.826503757356384	0.372671265164242	0.458437351183796	0.863781232262665	0.856175048152161	0.820047563223286	0.894608006162385	0.858125573095308	0.639954422851822	0.516323927962763	0.941961955430669	0.830701499264209	0.928290002774656	0.877019014746197	0.62476906651982	0.457406510943807	-0.227545494923731	0.818296486403966	0.424898887209551	0.877682857866185	0.753811519614157	0.886440718300175	0.761486503318612	-0.52223118890591	-0.0758217404801082	-0.219128116624697	0.678660917044747	0.864516925541253	0.0254906811163053	0.487112202018097	-0.165870585725608	0.0704430487043686	0.244177058388502	-0.17898588424852	-0.511713000500152	0.0610787070422314	-0.327455774140839	0.1135868025107	0.361639741480635
ITGB2	0.65342016398562	0.60736260600688	0.391686841364995	0.576869549562602	0.504131119774047	0.723335735396826	0.523270471255295	0.522089464471709	0.460182154495575	0.556422356248255	0.685270956777232	0.703742006901376	0.401298936975482	0.570297759417278	0.686099493436177	0.350896541133984	0.575560218148338	0.484147248269082	0.47615863759597	0.541917786324247	0.71360758456925	1	0.431234397211073	0.508927833380132	0.448551678015069	0.267833287714319	0.499994367391029	0.449785428854487	0.352961206979365	0.83498091296515	0.387089968015962	0.0410321115051462	0.214515928254793	0.712120229766146	0.587014349504202	0.465928456523387	0.587477844301139	0.725582540870049	0.690192954424081	-0.0521803715735009	0.618260788752239	0.486709834704798	0.511533734505056	0.555882441240587	0.783557120638816	0.0403422762008278	0.384044790987916	0.312751968365065	0.245114781798249	0.474071781444068	0.33200440494281	0.417187572267338	0.530264548106956	-0.17762389599728	0.307577494314579	0.261701709848015	0.404572726738088	0.533738675880658	-0.143899065273167	0.464002946385493	0.088613998435897	-0.0509431125552157	-0.00432475993937412	0.138304940652686	-0.201461800933921	0.441644690314767	0.245875415870225	0.528372253643126	0.762039888641818
ITGAL	0.780435164591903	0.816687531136324	0.952984316277076	0.797817113166666	0.906182284327144	0.727681963339432	0.739990736827888	0.756110757671149	0.636786910673429	0.831085426993852	0.756433064316076	0.149529277159661	0.927739980781158	0.728435569745625	0.81393263542967	0.934384244376163	0.868650039036255	0.932390842975888	0.745668963500397	0.855199385149415	0.726337241517897	0.431234397211073	1	0.926080598291476	0.909186982552566	0.962516881520539	-0.286243901016635	0.921326664170798	0.960254853817669	0.0971482853052087	0.775290344987983	0.684724229970508	0.899835978666889	0.920349319519967	0.735322235602262	0.916738725449359	0.646737551709968	0.534617091084999	0.790236760069484	0.759664450007832	0.762121239391645	0.898601989699868	0.676624470705989	0.532408920343311	0.599049046621795	0.793489411748055	-0.328311408269947	0.703882211467361	0.851278154508794	0.880231638646591	0.908061974313754	0.761158962584056	0.847441990030966	-0.0254965906574962	0.385160124120259	0.0309414280365237	0.867419050784498	0.836656267211202	0.261356038721155	0.744778217997222	0.359193428559148	0.635478586652059	0.603965030645964	0.243089297391127	-0.199031171468589	0.0884856150880375	-0.284003044729555	0.305483746721599	0.374722345624224
