""	TREM2	CD33	C3AR1	CD81	PLXDC2	ITGB2	ITGAX	ITGAM	SORL1	CD93	CD68	HLA.DPB1	CD4	ITGB1	HAVCR2	TLR1	ABCA1	TLR4	TLR6	C5AR1	PLAUR	LAIR1	FPR1	TLR2	CCR1	PTPRC	LRP1	MRC2	AXL	TNFRSF1B	CD163	NRP1	CD74	P2RY12	LILRB1	TMIGD3	ITGA4	CD46	SDC2	SCARB1	SIGIRR	PTGER4	TNFRSF1A	RHBDF2	GPNMB	SORT1	ENG	C1QBP	CD9	LILRB2	ADRB2	UNC5B	ADCY7	TSPAN14	SLC1A5	CD69	RIPK1	MERTK	KCNQ3	ADORA3	CD226	CD40	CD44	STAB1	CD180	THBD	IL6R	ITGA6	TFRC	VSIR	ST14	PECAM1	CD47	ALOX5	ITGAL	LILRA4	TNFRSF11B	PLD2	IL18BP	RYR1	LPP	PLXNB2	KCNQ1	ADGRE2	INSR	CXCR4	KCNN4	SELL	CD82	GPR84	TREM1	SIRPA	CD300LF	RXRA	PDE1B	FZD2	FZD1	ITGB5	FPR3	ITGAV	PILRA	ITGA5	TNFRSF10D	CADM1	PLSCR1	STX4	IFNLR1	TLR7	TRPM2	IGF2R	ATP5F1B	P2RY6	PROCR	OPRL1	TNFRSF10B	SIGLEC1	PLXND1	NOTCH1	NOTCH2	CANX	RYK	TSPAN15	ASGR1	SEMA4C	LILRA1	STX3	SPN	PTPRJ	NCSTN	TNFRSF12A	ACKR3	NRP2	TSPAN17	EPHB2	JMJD6	MCFD2	CD63	TNFRSF14	TRADD	RACK1	SMAP1	APLP2	AMFR	PLXNA3	SDC3	ADGRE5	LAMP1	EPHB6	PLXNA1	LRP10	PTPRA	IL2RG	SIGLEC10	PILRB	RPSA	EGFR	ERAP1	CCRL2	SLC16A1	CLEC2D	NCL	PTPRZ1
TREM2	1	0.901790869440248	0.952835591435004	0.968732680517631	0.732909044955355	0.879162038017989	0.80935441259521	0.798638182375599	0.719908157645488	0.230353978045664	0.814724524993393	0.478915582196211	0.85941323764935	0.843133338304064	0.947678288482772	0.643031234535245	0.206336047314446	0.643547019742892	0.79465518658456	0.397782733848827	0.708922027470893	0.87925129384059	0.86890732071515	0.779384816942917	0.862684880521094	0.808604474894152	0.681684555080777	0.641496221295343	0.778921016983974	0.661260770622758	0.567780729612115	0.407583077322182	0.67956282146489	0.636214292515648	0.757599989017454	0.912386878400632	0.356723635905384	0.723352474390519	0.015972092798478	0.743360008515073	0.75191663781072	0.681962603143659	0.834380000864182	0.816244637756907	0.410490584734524	0.749775537474001	0.745280975542848	0.871765804686784	0.930345971412961	0.449203337378057	0.801349077658642	0.717902266958728	0.754528853845179	0.813815276649129	0.793417151544191	0.73113716558349	0.777819134568054	0.735861435784002	0.53767221271142	0.848598521118114	0.671358675674381	0.891150322736739	0.278775745006677	0.668264805177729	0.6664357893212	0.280843752553978	0.689886343146234	0.61208446778534	0.621977463750349	0.756198516790343	0.485522913494297	0.463102171460583	0.87316877591336	0.843105094091656	0.833845732909768	0.825359302958567	0.732011596674886	0.539510256121	0.768938226320358	0.492336173975023	0.646603771717284	0.831287234235873	0.855645358799004	0.74334883784501	0.0800072830369465	0.129102418858342	0.865178670316424	0.898207685306828	0.371949217332754	0.878533993888631	0.639054591934092	0.796735529633461	0.781813957602126	0.6439155496432	0.687614232398531	0.403599648331688	0.134815068841963	0.544977298074449	0.520093403617982	0.812300446357197	0.851410640178589	0.578490959923451	0.600105596558447	0.570523584339474	0.81328748803839	0.879073357722738	0.762690633196166	0.586985011243051	0.767318289056356	0.428490584795914	0.846679934131006	0.825029169760445	0.837137793676904	0.730689587949475	0.757195350630312	0.719085020797995	0.548536942884129	0.649344401712297	0.396910771376676	0.646756364256062	0.569638770674799	0.596392198819547	0.287180960209716	0.405213898113813	0.625487988849803	0.520808746154513	0.73423583724898	0.714642418728509	0.828534261319766	0.864510608780563	-0.0281744406125829	0.566081580585304	0.483807355121211	0.722954619521666	0.841215338331097	0.736924904729449	0.880792827163907	0.62324845617241	0.804067222280699	0.842643475099912	0.72333784748801	0.754295801528245	0.322641046803988	0.501615637958162	-0.0182054468118808	0.821860019718802	0.881638604636075	0.771126872180228	0.409545069391044	0.830753613428848	0.649689132666122	0.119167421761227	0.742077641791383	0.481633580962168	0.797394830707968	0.0102502460626584	0.491523512548662	0.729663574432792	0.508344288665592	0.383154726838521	0.835125189940348	-0.130425930885099
CD33	0.901790869440248	1	0.904404412263038	0.941207257864763	0.803312620218365	0.873570180053545	0.700434171599063	0.732911517272798	0.75733890681342	0.335299816981878	0.706260508465288	0.670233731558672	0.900630492906908	0.77291911377712	0.850379572724765	0.69356243693461	0.160752306571738	0.674412737396154	0.751503088564093	0.310619339335262	0.629683759123886	0.896819191367574	0.83627723051844	0.805028739486517	0.834429024642473	0.807794129595535	0.602899244166291	0.683817651620651	0.845104059259363	0.628184215957165	0.601088210464477	0.311867552573317	0.824163251949056	0.651307563737051	0.8376168380875	0.786718025646595	0.506017155705309	0.780204723443419	-0.0537704971506249	0.687079477300512	0.812037962967768	0.698816213336345	0.835730532283279	0.856813471744214	0.265476358331133	0.711397248995306	0.704426354225247	0.863989504713487	0.864396041635621	0.509044826655537	0.815840365729901	0.787234252591502	0.809264973406408	0.813994832346833	0.835428795914337	0.761224446152275	0.764807396885959	0.675064409987855	0.629149774936291	0.893255187523634	0.579069898249259	0.90093418953877	0.251830131954303	0.556596644724451	0.721210848594377	0.263823304069104	0.74834945309721	0.708567429357251	0.611796399348837	0.897057169233243	0.431542280469463	0.586248181985744	0.854319771860248	0.870881537135353	0.846381009833545	0.627637808247193	0.755322191466127	0.611518978704974	0.79627935413839	0.555244128883332	0.615569551147725	0.805803015344929	0.834139439248176	0.77918307744055	0.206003464436887	0.369662220347389	0.76879123986652	0.828844158129436	0.25808381435129	0.781870613757674	0.49445374179033	0.753621138223152	0.78086292612539	0.55077379308261	0.705624371749042	0.530940023636366	0.367193901155645	0.479882490931319	0.478332483795917	0.730940964609795	0.747951365737919	0.53440340762263	0.466587307507207	0.680573899643419	0.82739624968753	0.785348961332793	0.779594178061084	0.744825162484545	0.833817441369509	0.320519456933202	0.871553195549399	0.762402026801095	0.864957951508618	0.644093745387033	0.667525693603608	0.785789099194744	0.498507233964472	0.602675756667574	0.354805367839183	0.575298411793434	0.527873857095686	0.667559001672673	0.468319940841433	0.57016839972554	0.715947906439487	0.671930292862731	0.767624445591491	0.719572683069874	0.805813148006899	0.811619546356018	0.0612352830478251	0.418523349297032	0.590601265715524	0.744837522327525	0.774605207711661	0.675999960929295	0.780825459708062	0.676954526734594	0.747188687398852	0.898353354858899	0.776068918535511	0.6800369883241	0.359093329755384	0.324728976637495	-0.0850832171190107	0.673040642496124	0.779605826651729	0.791302125927234	0.351675484272199	0.842325484773565	0.59183624540182	0.0721193511664221	0.792852157323275	0.510482322785123	0.854839635158454	-0.038775084699379	0.54882802639046	0.571387886380185	0.461875055804048	0.41373103468848	0.826101237983422	-0.203338017669465
C3AR1	0.952835591435004	0.904404412263038	1	0.95033664464505	0.785342094157171	0.828166845121256	0.782761657041697	0.710114801856899	0.773948206484743	0.246723837886614	0.727666253063203	0.544926204189139	0.86609207069543	0.790084958879002	0.909368165947692	0.625154162537224	0.123871584329347	0.655864567645309	0.807832635607924	0.301453979880065	0.620523034597858	0.858910086686306	0.783561726716347	0.770425106783281	0.813445183190649	0.826565167360841	0.610988262790479	0.673306722828052	0.787630309723765	0.601634111481085	0.499823423803162	0.27626592070861	0.736039319422983	0.754953153415424	0.810208434875728	0.866239918106115	0.377723846987524	0.763106483491305	-0.0836396447576498	0.698089007346925	0.746655747550347	0.704654609037415	0.770652295882174	0.859484348776894	0.288519518875054	0.78122761555453	0.652420137770973	0.834226431571137	0.857249240857923	0.423779108107868	0.864287953776391	0.782012023414215	0.791131719330693	0.836244029470829	0.804145043754492	0.797049586538371	0.796072670574963	0.675936314432387	0.599929051969067	0.88661662704286	0.687211411722341	0.906633100112842	0.187956517650079	0.56091532860221	0.64841436097325	0.182299511304868	0.682647421593254	0.646099064337938	0.624705105073846	0.802370214515645	0.345759236920298	0.507445140397576	0.812945379611351	0.866748699071163	0.821710308809571	0.800385994990753	0.771112058981562	0.571656774669739	0.784732059862896	0.595492083679819	0.657805508462903	0.79609630614202	0.797947226481431	0.731162301485963	0.13245290414133	0.193275845669039	0.753718645253419	0.904815718782381	0.273117168753485	0.798807706154205	0.511971862906525	0.74249739662527	0.752400701879784	0.541060224504007	0.674777103688599	0.425932982420847	0.22012737629365	0.448014127694233	0.432244708677034	0.797576754418918	0.817003483534195	0.518662863778292	0.497678297345095	0.602842916741456	0.804915002116764	0.825675391736478	0.799301090143205	0.634992191472793	0.802029270136718	0.336084802269002	0.812154339491887	0.865646285853087	0.837186324445319	0.742688418207311	0.785014606837774	0.756098418951518	0.44475328870173	0.601633709469512	0.327124947202089	0.572177265826117	0.549155961354537	0.646006872937893	0.273361312242315	0.499397867412997	0.716246884887037	0.606282811125171	0.742018411183492	0.719759307887374	0.774569002319592	0.800331046105577	-0.0519735375662496	0.520734727361661	0.533272422723467	0.706685871476563	0.821202909875941	0.690571614501717	0.779610729989134	0.612746135244189	0.75745506182807	0.839624053349517	0.725699376800035	0.662735803019655	0.289816983211062	0.439321085980025	-0.0748330096896688	0.793084305061698	0.797891079959309	0.845853563187101	0.423497201997597	0.792482316650629	0.643970772513331	0.113670380812044	0.744809281262506	0.486171659642791	0.781771314555409	-0.000286173629724587	0.494371988612826	0.671636890134896	0.430194349476489	0.414236040682457	0.832895424301965	-0.145929546360297
CD81	0.968732680517631	0.941207257864763	0.95033664464505	1	0.754266753963365	0.886527495089905	0.719956199550462	0.750841192034112	0.723729910993867	0.283824062803905	0.796236762005774	0.624167877000436	0.887092226096817	0.807476035784915	0.89645733362099	0.636741376486053	0.160860567379893	0.61895232850402	0.749998281739868	0.339053379412116	0.665663552592948	0.900895773216198	0.857886347094532	0.764307927016894	0.839226314520556	0.792607571129637	0.647651043527918	0.674015338050045	0.852623839016573	0.625133753629834	0.584985710025032	0.329489632840835	0.795642740503448	0.641083712735559	0.795058087382324	0.850755261040182	0.463988028944113	0.755718344627385	-0.0360713404209417	0.753881548002647	0.821642760476357	0.690349660602452	0.869015824419913	0.82164424203137	0.329329604742783	0.735611797630521	0.714537221215146	0.896475158924878	0.907616464154642	0.479457794289263	0.807838359222286	0.758033234558022	0.742884914677895	0.814087842344524	0.865370616953841	0.730984990734072	0.753853714487549	0.69059413155162	0.567803491645513	0.875177268806977	0.610933602272889	0.90195697301453	0.275463423404756	0.625903620654989	0.676663852846347	0.26302319420296	0.727253345294597	0.669660163529299	0.610489372808662	0.86884711112798	0.463008684300724	0.548537044831726	0.875468518874362	0.856281862243491	0.815401000940976	0.775933964644279	0.77705912082544	0.551540541742841	0.781241002209123	0.50746786243675	0.642386580047496	0.826316330139139	0.861171556738849	0.731509106059829	0.170830979682265	0.265567102956084	0.817679481355103	0.881514576292745	0.336878825624858	0.823944862503876	0.537259996016225	0.777428270273355	0.842737277853338	0.595288675163357	0.689221007772449	0.484997479421182	0.276624800584472	0.504891494960704	0.48985001985527	0.767966989873683	0.809185498697329	0.548142513002626	0.510755288538519	0.646428155873462	0.839223916944938	0.818040148750935	0.756899339479081	0.672258195371926	0.798725873580092	0.350367302842387	0.906817176370868	0.837962839083536	0.856781400709979	0.70471301310444	0.696818135129414	0.75119360216817	0.504876899238918	0.627825200966127	0.386069402097191	0.626135866074271	0.545380730918053	0.622121701548226	0.410933996458466	0.482836965581414	0.661643403000827	0.595658676849447	0.742620423599945	0.678351463409717	0.821469831330862	0.869861181291941	0.0245792959838417	0.493381548790443	0.547980790296852	0.796703359617304	0.827531628986608	0.728572915248691	0.859655482818595	0.667508143904808	0.787083698151776	0.907539897085864	0.785543164186084	0.709086838143092	0.330199768256797	0.390185115804802	-0.0120164400718755	0.743705671053565	0.824009939641597	0.79092133331	0.387436831380394	0.847629717308864	0.653278725684619	0.143636447050459	0.778699516693299	0.510379065498773	0.875273790483622	0.0306199904174426	0.520495062478789	0.639077864076211	0.468010820675809	0.401876989662602	0.826337488512095	-0.142356111381459
PLXDC2	0.732909044955355	0.803312620218365	0.785342094157171	0.754266753963365	1	0.758587298491571	0.723873591208764	0.575710617831329	0.896334297648829	0.430681267252237	0.546605618325733	0.696761522366989	0.872782774871982	0.748466205517136	0.734782713148677	0.799750242359904	0.173736121185144	0.825121000353928	0.814087393031658	0.296843764311861	0.58117164105646	0.843785549374418	0.683828741725534	0.814195204336772	0.694485630685275	0.905721460888259	0.623943826999074	0.86327116005899	0.849413833501593	0.685989454763426	0.718007386367993	0.155822196189499	0.860921498832586	0.685928812838816	0.947522691721754	0.539950756566164	0.651864509697576	0.91494741259602	-0.124031566526356	0.745411314059713	0.637382137451185	0.79667827545444	0.680943926062231	0.933826848600224	0.158215729124525	0.845372525558973	0.550105487124897	0.676791073350671	0.679454871962043	0.522524150891269	0.861024170413221	0.8782500312973	0.889630457355803	0.906525902378567	0.808618657120036	0.848690575985385	0.798553345978668	0.802491271874859	0.881707161750428	0.867272406924488	0.640360140195531	0.779496962663972	0.225313711914227	0.466229463340507	0.71114817888366	0.218445598304542	0.751470671208158	0.900287160636243	0.723816159999827	0.794650154601296	0.309949057344888	0.8016617061381	0.728151020198064	0.899708449496164	0.819367413896869	0.476407998627708	0.740590898797255	0.70792028710529	0.640101338239373	0.851513127327592	0.797083520447865	0.754661463186766	0.715408420115424	0.81443515584529	0.449083040737121	0.558185100563033	0.539674332182565	0.712789662702513	0.224029391620171	0.604011772541271	0.342134565099995	0.702747950837733	0.680887398311306	0.483691680613773	0.766320601161822	0.590452824959775	0.389259630813522	0.431669587173548	0.431808241701826	0.840479169303657	0.622042920669136	0.573515346221905	0.390714827164714	0.844413511312668	0.844066815123426	0.687061149331696	0.826805430389776	0.824837162144321	0.933454690786656	0.391296421322412	0.660498290542038	0.665913112283993	0.764778399951845	0.599189515500245	0.697989741873303	0.854242419953651	0.492628207197368	0.675240579175307	0.405848026921927	0.554827706123999	0.65452332614049	0.528570301845018	0.391605431865118	0.754504397824699	0.799199080959787	0.829069268269575	0.774914691235684	0.869779087833204	0.676007871343059	0.63526892446966	0.104089281783649	0.433097214475178	0.733134886591829	0.68974641430649	0.713149286773063	0.522205079519324	0.566660915000048	0.629173326359086	0.65866138320406	0.73036318287675	0.764194535881861	0.620696409108249	0.461076761365105	0.369743798344178	-0.013594399078683	0.620741743303644	0.644527217321275	0.760242615569781	0.570282878443231	0.788631096570973	0.697174709546147	0.201054255245332	0.93417949595566	0.560429313927875	0.680960266220809	0.0889503305948452	0.74818043114662	0.486942539088705	0.439320385989189	0.664111427169659	0.813633199224595	-0.061529034728564
ITGB2	0.879162038017989	0.873570180053545	0.828166845121256	0.886527495089905	0.758587298491571	1	0.822869056895593	0.90501288944419	0.607083956578197	0.53399865787612	0.884364627330655	0.509748643665162	0.896415543953893	0.943057203119519	0.91186366893166	0.85048270516189	0.515096809569771	0.776153422885852	0.788016832363036	0.665737100127554	0.891664250600264	0.959015254484705	0.955546680296307	0.927239003955611	0.91276686379303	0.854378224306008	0.819925942696776	0.674560138654222	0.808218904710437	0.878316535968787	0.814355193094031	0.633325455675145	0.722093360012884	0.444638296888517	0.785381095002274	0.805213793224125	0.638311228958023	0.811144897037293	0.316370850731868	0.797392692182653	0.862661448396765	0.795475542146032	0.936419997661773	0.822552843927441	0.610429651347647	0.731765185843873	0.876502008951647	0.920039322021866	0.916633603283695	0.729520409784015	0.732431343812397	0.690032252390893	0.709716692794546	0.833060888974699	0.87137347919926	0.74045446447396	0.812529631068886	0.76869035949291	0.673842257967327	0.75025358518836	0.618763544908793	0.841894378796314	0.624724624647408	0.801060462436625	0.859275835905742	0.607770845308576	0.875479028810505	0.669505786715592	0.797491418238443	0.767504920962248	0.743100487297909	0.576771545404882	0.905836260980677	0.873318503952264	0.859363021223988	0.606931077977434	0.752620598793692	0.675355970754121	0.73685506899034	0.523524062637238	0.705299048501582	0.90427852543331	0.891889415912824	0.897192742487009	0.230354641682946	0.270186426149404	0.888889797870893	0.718949373632723	0.61680708549519	0.88830419270365	0.735988151172716	0.922555327571092	0.775565726024707	0.842439768354329	0.672308135183504	0.628457156121582	0.269703273406455	0.711617294494466	0.707784119058514	0.803333717958	0.791594457066629	0.789303168517619	0.681122516060298	0.678607076656956	0.934603269547911	0.915379387318044	0.80993360478739	0.570552563978816	0.767372607906886	0.650476424803578	0.916709418185197	0.671941002996384	0.822926744146821	0.620427481133867	0.737716638786205	0.806318648684368	0.755591051385878	0.730266054393814	0.65147683963565	0.853596080919374	0.724546534207669	0.519588891126864	0.439204573971482	0.401726293199035	0.618833418593975	0.601728997313223	0.771088360722557	0.673440135041094	0.90904237122405	0.879026289960924	0.343795953888827	0.698783171329154	0.588109972827211	0.773260320338471	0.91436384103773	0.881862794264245	0.931026488225755	0.82983363116587	0.892210407227749	0.914695167061892	0.901561690173998	0.914708188450585	0.62665840945492	0.529770514307014	0.0508848715183061	0.750840972150746	0.91101097110924	0.684846440252539	0.467584752125755	0.907312619076829	0.730829902698418	0.321692666377345	0.770921839377991	0.615227446288065	0.904698866050018	0.0379247541729709	0.676662714265491	0.777397325796675	0.594001053590853	0.48224622344975	0.915794961618064	-0.121871826553278
ITGAX	0.80935441259521	0.700434171599063	0.782761657041697	0.719956199550462	0.723873591208764	0.822869056895593	1	0.815285258058919	0.653451881834707	0.34812046095526	0.768086101967358	0.211379571504024	0.77435624173712	0.909517144382722	0.920049849154304	0.768573742537974	0.526483267229675	0.804654656414885	0.809482484828492	0.671982675210156	0.832200972523909	0.806210379283707	0.794467169741882	0.86206164474905	0.82916201847366	0.869338773686049	0.826662325449176	0.658394069617253	0.571193713613383	0.835204296790408	0.690845457143892	0.623107440814815	0.464074231621982	0.502170562639448	0.705520208879958	0.802901458717584	0.366893284060099	0.767051830412667	0.299244930518159	0.729291819467684	0.604269018311245	0.747979222020289	0.69462622061125	0.790456440790395	0.631214367765375	0.78838898044113	0.772747088382855	0.703749058691065	0.798170519779167	0.56647441482679	0.719520108223628	0.645280873790465	0.747814046296277	0.833859397993111	0.666149867568306	0.738316629102313	0.887789173260364	0.823644167437335	0.641160258685727	0.672278098214216	0.767611620532277	0.722710827937291	0.514052426731629	0.700894169527207	0.724259155857189	0.509443739144727	0.743945191305604	0.561588219865953	0.793509843828248	0.490427714680746	0.601249975924832	0.408036804104584	0.792440327129474	0.7561562622011	0.822202798529425	0.651573133862674	0.631758383664639	0.646269425123266	0.689084673035546	0.597530742733974	0.789630715550541	0.802547837585287	0.722696436569883	0.847446099677035	0.118601598896008	0.0274941308744644	0.762133838663954	0.697479630749668	0.58712357550601	0.862619387366468	0.796680480454424	0.850091910916983	0.532747798565446	0.767972578621227	0.650897517873313	0.448344809196153	0.00367450105591879	0.688893007949991	0.646152997403338	0.873438292760583	0.832685768074353	0.697814499028589	0.747955689875263	0.542574915352341	0.801892204975624	0.913930235752991	0.807361918985931	0.429449094966223	0.680828708773951	0.75584069800164	0.628509543119008	0.593565982916358	0.706433920266549	0.649167573209098	0.762777262615877	0.67119884980507	0.714077156510545	0.729595778647404	0.587421159921734	0.78338958404011	0.727551344188983	0.466712643631846	0.0800900016617632	0.310133896056426	0.51976344174393	0.500132019360468	0.701205127573457	0.75482943507503	0.799331941251409	0.756903243602802	0.184637838771074	0.793630486581968	0.468563253921079	0.612801084857447	0.863268677568592	0.783622199994261	0.797442859759001	0.678491016137448	0.819976235381764	0.658128703754032	0.711025427244472	0.876252812681826	0.545297609189751	0.704026583290108	0.10493777790856	0.866843898532298	0.906221841153458	0.674262974388923	0.634606183958587	0.757859360397538	0.7252176527169	0.292126744760052	0.67885729818048	0.502772685735257	0.606768138819781	0.0994898448149306	0.665778919521013	0.86039082132233	0.554107901614159	0.530535163848926	0.837697722635772	0.0223992770039826
ITGAM	0.798638182375599	0.732911517272798	0.710114801856899	0.750841192034112	0.575710617831329	0.90501288944419	0.815285258058919	1	0.454208625844094	0.477653455696416	0.855875563440256	0.233155864789501	0.78030817121135	0.882935269787316	0.87420975216656	0.755981036136166	0.587571184031524	0.710299432905741	0.684931405498515	0.751357338293549	0.889727046100578	0.830577445536046	0.925353050022307	0.873194834637329	0.88707694007797	0.726654807565402	0.826544408145768	0.502252665180855	0.622487317941363	0.863272059732748	0.724631698854111	0.759822103119191	0.462334755689742	0.327706010998287	0.603283899721508	0.834693475779049	0.418819576638709	0.630371622166008	0.449277759269838	0.662936882568802	0.721207796161606	0.656007090999231	0.850072214250687	0.671841013869583	0.715599248932332	0.619267810737806	0.919436534252222	0.814900569063988	0.845840983566132	0.643844950328386	0.553416400394913	0.509921491208182	0.599692887552684	0.684748813295904	0.678694339805074	0.60713344740303	0.732609877152806	0.705173421136768	0.519630678014373	0.615280517250047	0.580604602820237	0.729542314141272	0.645369337301441	0.849824687169233	0.762296413338118	0.680424163673156	0.71518058002774	0.472263917465508	0.698387158568808	0.545102991892003	0.800675191483422	0.349749077362119	0.8072589045038	0.723510831486167	0.744160717289791	0.56356815662625	0.599602613839542	0.60689365703131	0.634630911569562	0.367421812106518	0.601886862776237	0.815588121594986	0.8167264190592	0.813137531033636	0.00660231573854734	0.00695813249259896	0.88455176182246	0.639239164189822	0.637759248050916	0.89007800656011	0.85404675106784	0.873714881995333	0.604549020214276	0.8603844657508	0.590904125944511	0.472091166112376	0.0594831105619803	0.811206651637185	0.749057690515847	0.727297370524321	0.767242390342172	0.778228213572725	0.741858134192855	0.429237004889468	0.775750752621809	0.90058481566333	0.692998601153761	0.365769713038542	0.609910188775229	0.723740414335175	0.793325697260363	0.572626411800748	0.694040354916052	0.541904376067718	0.675015016533961	0.664876980820047	0.803603241119039	0.642458914561665	0.621773277011929	0.818655755994822	0.648422041822004	0.466321619032975	0.322082332305359	0.194807769019657	0.422575432753919	0.367870231611887	0.649972630276559	0.597023875363027	0.874489033700477	0.780603418880965	0.30870723590846	0.736755605743701	0.379794419948556	0.597745490765388	0.831808561626161	0.844729027269661	0.901135615426456	0.749339751067541	0.830959286109627	0.760473645110303	0.719504009363259	0.909347961837883	0.555772080245629	0.594061493366737	0.0713820194975132	0.737493272771283	0.909837658353722	0.498967818001693	0.41378044308346	0.804018648275324	0.603720825080067	0.221521137120045	0.577755529577536	0.462165469539732	0.734969176510522	-0.00177673673928034	0.530122680993599	0.821935133264809	0.575036402748071	0.300935144199405	0.793455500527931	-0.113837261933306
SORL1	0.719908157645488	0.75733890681342	0.773948206484743	0.723729910993867	0.896334297648829	0.607083956578197	0.653451881834707	0.454208625844094	1	0.173354400436926	0.383696018689081	0.596909826920029	0.788057365443502	0.607050253748958	0.681782571847736	0.628968338243164	-0.0596721989684175	0.651578702946047	0.758570527562092	0.0582911668280937	0.364964606964787	0.7077369088173	0.55232451213227	0.664144055043963	0.594904607090583	0.823660442141646	0.458179720329722	0.74925284690361	0.70861151633976	0.460378735918795	0.484672312879275	-0.0088395583745537	0.756247638033274	0.819954879103072	0.863341578296887	0.552408679556557	0.395073026916544	0.779670957107919	-0.33372083258357	0.594649459448322	0.461340961940475	0.600090073739093	0.541286026329773	0.880398902006369	-0.0219130741826698	0.790162495586656	0.398164159001799	0.557256334489673	0.580450136396666	0.237773646989874	0.848249027299225	0.82410352801955	0.875780795546276	0.792732174693196	0.692883357649434	0.742142226588979	0.708256582071521	0.687970158858056	0.737441780269296	0.883819165414424	0.672798561054562	0.741723975623104	-0.049497528549763	0.270522137782108	0.546447520120669	-0.048712870422409	0.58414031020952	0.770145956730243	0.496758134874129	0.730637019696228	0.103193416579964	0.616648799342724	0.65598763713332	0.78250575580134	0.751835806234509	0.521002772541837	0.679022993018998	0.513559207363964	0.59353529855797	0.76395365872163	0.684543081368192	0.649674977611374	0.650228203154596	0.650996300885498	0.384472684543281	0.382141341311358	0.481120067093574	0.748408895448126	0.028903446291967	0.533507442809724	0.266955114840424	0.52751464446509	0.607464079467915	0.282698893928029	0.674231958247747	0.382025382428098	0.22737947704106	0.271349515203855	0.209685599613794	0.769818497357021	0.599621927134389	0.356931757705391	0.342318824093982	0.676800046768659	0.655764976799103	0.581071898593348	0.735223177336584	0.825905920450678	0.845771921158352	0.218457173378682	0.506773170131267	0.672949311898417	0.714136053584369	0.632060789524766	0.627776091271255	0.686233141713698	0.290434714650701	0.567134316953968	0.197275816346637	0.349879387159866	0.495078867076323	0.505198913436556	0.160427952794299	0.757870616561193	0.689053222452306	0.733357851721248	0.706618286629015	0.888132835386989	0.567113666261614	0.587910807279682	-0.2072026616826	0.254315307302516	0.595946181896762	0.591348884432434	0.562813595241843	0.347713702101232	0.442064312576403	0.404283125483867	0.529834583554773	0.58285899191554	0.564686777129036	0.458612030868414	0.180833733905463	0.285110573450029	-0.0732691285744792	0.556267916670584	0.562443159522909	0.731462834022134	0.472223097737931	0.676508903878796	0.566500501840404	0.0458025402699541	0.863449843283634	0.396607809445845	0.517878251257255	0.062265859906643	0.592478983926685	0.373453267272668	0.324334653942439	0.578486224621481	0.691723272858117	-0.0577449427194825
CD93	0.230353978045664	0.335299816981878	0.246723837886614	0.283824062803905	0.430681267252237	0.53399865787612	0.34812046095526	0.477653455696416	0.173354400436926	1	0.365623051561886	0.262600005028274	0.46993212337351	0.468702231468252	0.328773144412475	0.575097233866627	0.424651977966454	0.546348562097615	0.394947123303346	0.505256858090865	0.592729575382462	0.532312993428465	0.505190779906059	0.59580275568311	0.446703948527877	0.481978341222689	0.527156244385659	0.514487690616407	0.369503343272018	0.649056723131487	0.62047303721211	0.437759012367127	0.404735352721545	0.101092078527657	0.401060119751534	0.219478466442454	0.696345769816938	0.508295825511452	0.313496807604588	0.432430685948077	0.602516224089582	0.520844371924339	0.577298351909424	0.385393124149081	0.298399861505053	0.45102465614439	0.571359755933264	0.539692488569789	0.321549639198582	0.693293983217884	0.256440185393029	0.402004979427622	0.297648255975983	0.450707148941151	0.499436090219963	0.462769066398316	0.437945399490342	0.365561372908645	0.569973411093547	0.210675636898069	0.259614960847404	0.371055471660997	0.612584982842038	0.582882324556343	0.584321905351027	0.617802259921439	0.512336524077607	0.463452017997031	0.643824876613034	0.3536285546681	0.461418915295034	0.440646174956452	0.425399084502387	0.516930332211081	0.452324041383253	-0.0207936592450563	0.46186467750887	0.4882266415055	0.34357760855454	0.373803847155819	0.504148691778053	0.510642893350403	0.452166639914065	0.625555312449554	0.395073508060104	0.232381240686912	0.392027220371357	0.185479754100642	0.411289896867425	0.386132186248329	0.280462440277595	0.502366767711133	0.335386195580033	0.544315484151434	0.25453343167464	0.521614704225576	0.293398187097027	0.475965908383563	0.498730489697513	0.438777771632655	0.141563502106633	0.628894520532746	0.273085299687902	0.407859803810031	0.563927345646503	0.434932819820523	0.439178737450469	0.194557226904379	0.433148935218165	0.460367616082644	0.520006143325668	0.277690492650664	0.400429829989966	0.214362170480386	0.3871223936336	0.542174062231582	0.585458740451264	0.522214966057708	0.504465743502953	0.588166706479724	0.601107747037716	0.168883453505564	0.372270579730341	0.201082785975545	0.435097350189566	0.334347973242805	0.403511843580587	0.319318655432819	0.462223367827231	0.397818733702619	0.547308585247511	0.483328267395796	0.498106535002036	0.34672824838595	0.501764245371397	0.508748075170006	0.391708376723843	0.528027029168235	0.473541107678447	0.501536152189451	0.598557499410793	0.516964790180734	0.610577248068522	0.367025904176807	0.326899887991064	0.265457358228664	0.351869526377655	0.314571274376238	0.411172712945246	0.421922169914182	0.592148108137066	0.366565397452399	0.428519736907796	0.582988999327817	0.547757215001616	0.324337349615795	0.587358046679254	0.344070111426188	0.511784137492314	0.415558855016153	0.561290999496094	0.213525125049771
