""	EGFR	PARD3	ERBB3	KLRC2	CANX	F2R	THY1	APLP2	CADM1	CXADR	PLXNB1	ITGB8	ITGB1	KCNJ10	SMAP1	LDLR	NRCAM	NECTIN1	NOTCH4	CD47	TFRC	TNFRSF21	NOTCH1	LRP6	PTPRA	ADCYAP1R1	CD99L2	TRPC3	ITGAV	GPC1	TRAF3	TSPAN5	CACNA1C	CRHR1	LIFR	LRP1	PLXNB2	PILRB	INSR	PTPRS	KLRK1	NECTIN2	KCND2	IGF2R	CELSR2	PRTG	ASGR1	ADCY9	MCAM	CD9	IGF1R	VLDLR	ERBB4	AMFR	LRP8	TNFRSF10B	TYRO3	SLC16A7	SEMA4C	TSPAN17	PLPP6	GPR37L1	ITGA6	CD81	TSPAN15	RIPK1	RXRA	EPHB2	KCNQ3	LRP5	CHRNA4	LRP4	NOTCH2	SIRPA	LPP	ERAP1	TRADD	LINGO1	RTN4R	SLC16A1	LAMP1	SCARB1	S1PR2	C1QBP	SORT1	TSPAN14	ABCA1	NRP2	HLA.DPA1	CLEC2D	SORL1	CD74	CXCR4
EGFR	1	0.302205528523231	0.0750555412270349	0.510111806103769	0.271892328627917	0.332353387022565	0.0489605014500789	0.317186781833279	0.188328020380552	0.213057864893647	0.228817670883891	0.477967850770852	0.244953960939805	0.258547722455583	0.226106084436767	0.261508696054979	0.394125438473818	0.246219635011482	0.243354027869073	0.409090946312688	0.477050526593742	0.0296709565894208	0.239236145913289	0.339975105328504	0.335059212505523	0.632826371130778	0.198559984247702	0.452811333382813	0.498649351045402	0.154247013717674	0.281042505075458	0.388238560486108	0.235349387777629	0.112880894359856	0.85539387000072	0.278203380258322	0.308366343387965	0.427911064563047	0.363533187535804	0.533445850825002	0.565278151349198	0.334180722232974	0.631137859689293	0.23726016840507	0.28340069558425	0.307339590036759	0.586245328566088	0.419833465454626	0.198498112880572	0.310440021958	0.485926922591083	0.165027314891494	0.309356564365988	0.166479190824139	0.354820645630418	0.161096272831055	0.285181083770541	0.423250887679592	0.180508978176324	0.181274851471665	0.189461394398922	0.0755082402619287	0.26116094687782	0.305923657896255	0.0570790343427277	0.451743061913255	0.659598213512329	0.218304729614221	0.634816931600335	0.260712541340539	0.167398368664506	0.490151869261626	0.574591588537906	0.310507358853673	0.572433313127845	0.336014307726676	0.0367696548129393	0.493079226335906	0.137840581961418	0.247090767070945	0.220272145691508	0.0655481739071964	0.216608900249495	0.0793617750328895	0.417416647116926	0.359892479532906	0.599582157510204	0.498904375251058	0.170167307597398	0.404806303437611	0.413599380574185	0.207338512996612	0.0828803350487812
PARD3	0.302205528523231	1	0.880316091472121	0.829988385516254	0.929842174089963	0.90013479119553	0.789081737342925	0.931886716975565	0.90427202768214	0.815165257493426	0.899107350221943	0.916911481678204	0.920378214161772	0.906381850421413	0.861921773211876	0.879181427467893	0.895709829944025	0.853756312136191	0.656509521873354	0.919393169034074	0.853321821991402	0.84731295351268	0.883267867503064	0.907007073041831	0.934026802620912	0.690492569009918	0.909715705629109	0.824404983513287	0.878785802521489	0.83829212199538	0.826001433763752	0.881455357168658	0.755901169587768	0.812460077347297	0.601738850783362	0.888100105957136	0.798670555239077	0.837320050983379	0.912945263684051	0.792898048128748	0.666779918431592	0.661349073851093	0.566735506677737	0.926821342489795	0.865552600945154	0.899569982904522	0.469605340662555	0.870527397028769	0.862171978646863	0.880217665991069	0.897883763704626	0.897909503074324	0.888915280871744	0.808909804088303	0.887623012651715	0.852701574589034	0.867646886835077	0.865447582230432	0.819226223661285	0.822542729911933	0.872123922786009	0.787568569371607	0.893102642904348	0.87208062682033	0.871375089507012	0.828456776792143	0.567307742344106	0.857660256967784	0.640735849380306	0.817517845122108	0.821096405764034	0.883216410064349	0.740081523619268	0.888421288352816	0.805435525395202	0.878216228669741	0.807396901499829	0.752292183157592	0.744783020977111	0.840114226274806	0.902473891180197	0.837303462238626	0.771038459899193	0.783883371361307	0.800926037980192	0.807078741260164	0.422934439658131	0.637122776262922	0.369742978991083	0.643969053783901	0.241226798267467	0.39500871020686	-0.0162607779955212
ERBB3	0.0750555412270349	0.880316091472121	1	0.747970456624723	0.927585692688089	0.894319067369117	0.865326047757775	0.909030345330484	0.967403721163108	0.890024695801678	0.930562318406181	0.828033630569963	0.943071884836596	0.928044757722547	0.877802525911483	0.922505230202625	0.855598849385208	0.879640825587194	0.598438705291709	0.87968042910989	0.790067520132747	0.932472135278234	0.902081890995465	0.887838047323356	0.902842368249437	0.673698041875985	0.88487569345428	0.73921220441301	0.794106045761406	0.882618938679611	0.82554194443274	0.867574763399811	0.706129782634552	0.873161986721151	0.409736221868196	0.883834675589838	0.822485939586666	0.796440981248112	0.874468641128481	0.708708299654416	0.60373353336196	0.709932912673552	0.396184908336783	0.915437635767903	0.884905307936493	0.803035660536328	0.290852462804087	0.82733113932764	0.902033155146248	0.903798085761371	0.851970094036662	0.934811755257955	0.891348665299859	0.845689978428115	0.858704798763825	0.901188688243622	0.894318978982388	0.782035161788907	0.856349325650205	0.881967479053477	0.888234643488279	0.872075010465932	0.91153369696715	0.901594986701137	0.946616205877429	0.744743219118016	0.497751789398056	0.906912107041694	0.479289237033406	0.789910955646608	0.9047957725729	0.82182706807581	0.559931138482223	0.868502348639053	0.718366590687548	0.856422214254603	0.880555943184944	0.713180607905052	0.84854044915552	0.824590193893196	0.957139159749774	0.92339080131664	0.730890948835969	0.83550386857291	0.758056610194431	0.752984975111538	0.243003831693578	0.48932532544314	0.288512556898731	0.57035558060401	0.132129763573953	0.315596591814182	-0.0455940970925747
KLRC2	0.510111806103769	0.829988385516254	0.747970456624723	1	0.86662673521739	0.852568048459292	0.824111934033877	0.848214410847171	0.785262020220422	0.865277793044057	0.843293609699264	0.881876485105491	0.81422799999466	0.870504293113744	0.906443844332155	0.86261703393121	0.90630104695556	0.823613642185164	0.648987183477265	0.866975579975888	0.821258658704626	0.787874698115835	0.895376395557464	0.879065141000692	0.881755079202025	0.841248979716008	0.817265196524959	0.801698921457064	0.857940306705388	0.859986315476353	0.859697541305289	0.894570886302531	0.766991009539946	0.740666444251566	0.679631325660628	0.917023607187081	0.81843018436755	0.817354597710463	0.85789639910105	0.788513132507236	0.787199649840915	0.762156220455125	0.698222229949012	0.815605703235856	0.855573034999091	0.777677271930015	0.550154028823534	0.864480290708283	0.738485356463973	0.726182582494409	0.895718427714301	0.785003083786648	0.882295547944025	0.797310710776157	0.866229499740516	0.803746939751465	0.881285468230831	0.774258546344756	0.806558006291255	0.836121824189872	0.798217716874495	0.821267871638118	0.797231941814125	0.898077428507087	0.765759728831426	0.706294713848625	0.618279236651185	0.82258960144965	0.6304046498905	0.822097246024172	0.847300510450641	0.904734850009896	0.735003152340142	0.807538343761482	0.806909477928795	0.783681445911546	0.744872488364664	0.914126468531577	0.826142010246424	0.81932401618721	0.825355318888606	0.79069931290649	0.82652933459057	0.823669781659227	0.685863293464816	0.770784411429181	0.324449710779858	0.500096713816477	0.276258373135662	0.622124721233594	0.164891532056295	0.295773562949777	-0.120432034366995
CANX	0.271892328627917	0.929842174089963	0.927585692688089	0.86662673521739	1	0.951661040244474	0.903116325828376	0.981617934278512	0.964471416108733	0.937187083391057	0.974613180700954	0.950412597388187	0.971864672471684	0.97720247203045	0.937646451070271	0.971246988677349	0.970401261608569	0.927915578187278	0.729346948777633	0.960045103666328	0.901694708392722	0.937772629559594	0.968556209333826	0.980026387789201	0.981390143203678	0.765072161592314	0.914898195899554	0.880346627287659	0.928719238909201	0.927582559418821	0.938663248577904	0.945789793966075	0.823758411810572	0.857600254447867	0.545595329312896	0.968839762822737	0.893432864401218	0.881572617078414	0.96122089547477	0.843716531650998	0.70778373789307	0.763816652666103	0.548763133932433	0.96876269514016	0.937415399350394	0.899141729488913	0.448855460973841	0.935389487333394	0.91845769734078	0.913751827985851	0.951536308592932	0.925334652490273	0.957077784517831	0.912793900015222	0.96422535332187	0.945618156400408	0.925570292875742	0.893924224895229	0.930323080981084	0.912695932447843	0.89521217031088	0.901978344406753	0.942333199058945	0.950874939339927	0.912883907699212	0.841927217539928	0.576817157944472	0.936623357282429	0.62926433028767	0.889535546368531	0.917804445967742	0.928720078074134	0.712551848094586	0.928099983957092	0.830774882361856	0.914793724008195	0.902645033035835	0.831710302182564	0.872872496343267	0.927396297516254	0.980372298962316	0.938131093016603	0.846680352724641	0.887687522035731	0.836150048480301	0.837189092834981	0.343864118726258	0.61059957928349	0.349563414506798	0.714899013654628	0.200289964956076	0.372617752477519	-0.0283959285707052
F2R	0.332353387022565	0.90013479119553	0.894319067369117	0.852568048459292	0.951661040244474	1	0.843039313753919	0.956026856162151	0.918784237533611	0.883421163691678	0.951806894695318	0.932445863551406	0.960923459938698	0.94547796178891	0.907502095340616	0.932990568844102	0.939150402228776	0.923119775198336	0.764724706412723	0.948282581046991	0.918188307626145	0.871775287818185	0.937223502351421	0.960167343979793	0.96741895937644	0.765458823029999	0.895194837896364	0.859983258973461	0.924834714027749	0.890555247161	0.864605988289218	0.930521739907742	0.783199983715831	0.843225708730352	0.573789378297506	0.918728160074834	0.908161870268106	0.903812856524099	0.934029117953233	0.86216136164142	0.71783591274597	0.829182004715765	0.567247553369556	0.948243382292039	0.921287467452376	0.860512679724821	0.501576878844697	0.927240332393573	0.886218200075325	0.899609897405954	0.948874892870813	0.882207994610977	0.933991191579704	0.871998092003196	0.928887972991397	0.899747744321601	0.928330293157954	0.887461633906452	0.865085888774427	0.870259349738331	0.869823476764022	0.844071435706373	0.918276298264147	0.939865851983653	0.871014937219865	0.833777589897053	0.642118071854262	0.901004951011305	0.721426825056706	0.868138663859685	0.887546047093029	0.91346517925883	0.704090320732292	0.940705876601212	0.858664979406331	0.90844513277792	0.892377205523897	0.840821443609308	0.845051642020582	0.907324981906162	0.942266654335927	0.878569682768066	0.847319389548856	0.840604643248212	0.877994161137382	0.864833053629811	0.475282311645234	0.647790634630759	0.417579770797698	0.737978885546391	0.272462966862301	0.459022712441312	0.0654832466147505
THY1	0.0489605014500789	0.789081737342925	0.865326047757775	0.824111934033877	0.903116325828376	0.843039313753919	1	0.839513720860824	0.871775865893598	0.954081809565191	0.908934972257516	0.785408990338607	0.846522777825567	0.910436988927284	0.959810559060221	0.90353855196471	0.860162940444378	0.895909645221108	0.694746500443098	0.803905859637111	0.742089751587345	0.971647285407367	0.94526108668737	0.865265440443333	0.872369880369714	0.66403406274007	0.840245429269092	0.719802630418766	0.743037452595143	0.974081395222168	0.878674759311003	0.886222117026233	0.787117656606546	0.862523535388513	0.284556290983775	0.943816862737726	0.853737464547867	0.766848754242568	0.839521834230566	0.664392000384461	0.557052526849052	0.736221874793361	0.439320705703563	0.849431497442997	0.890245992933894	0.758262938673926	0.28926434788455	0.811003451137561	0.8134842409776	0.738767127603279	0.803371547290656	0.873370369226478	0.88131946114997	0.90379289691069	0.854699011880486	0.896687116701708	0.895583653134132	0.697715553054065	0.920470099133706	0.913071107051531	0.829164241019116	0.974142142958582	0.818925684856671	0.932457492490899	0.903425665524901	0.588354474244946	0.399524477251819	0.900336501131215	0.381604235134637	0.835110093423606	0.942292088633457	0.793526761802347	0.529109602726461	0.779195807680298	0.637631916160491	0.755025181386405	0.918906055725928	0.809303491363431	0.947013857010418	0.873795121286414	0.898988473048675	0.957330856250941	0.885770313085347	0.980723219409189	0.601906999145802	0.731486174097038	0.0378783410429762	0.308297457465546	0.195831246154214	0.533904097062309	-0.0276749047063811	0.200844954716511	-0.162593534210975
APLP2	0.317186781833279	0.931886716975565	0.909030345330484	0.848214410847171	0.981617934278512	0.956026856162151	0.839513720860824	1	0.950289251165726	0.884281056664304	0.96150228766001	0.96956738140563	0.977957919900047	0.963159257721063	0.890573145004779	0.949682532964421	0.965857045432025	0.905579015311029	0.722158175006937	0.973694150717481	0.920392191917025	0.887484317470487	0.943544860107892	0.981755162279084	0.979395483079229	0.746988930026797	0.906223428628182	0.882245221293282	0.95950075687183	0.878436220624811	0.90891261633671	0.919694135986615	0.795118192975984	0.796186955339597	0.597454673287459	0.933275412592262	0.876634970527108	0.878639395024738	0.951684609563804	0.870417323908089	0.722170371569684	0.767286260851319	0.58254702573821	0.975778777358683	0.916856939185884	0.896620527298311	0.485496203486586	0.947136934891676	0.902969042020268	0.918992834346504	0.965696492456434	0.905453635113989	0.940408577526948	0.881381665818338	0.964361905572915	0.919530942478836	0.90523221682491	0.929073749612531	0.886150103003412	0.871791708540849	0.886559415179843	0.849642103048935	0.943817743947685	0.919145587881528	0.886808355683697	0.875493255842272	0.611265362006819	0.909961844025084	0.708090835518785	0.882910288605179	0.879082013522238	0.943503370253462	0.735522886531754	0.944378428232052	0.861827701985778	0.920275742722204	0.871894269886113	0.818368355763008	0.815601955575315	0.902338675460417	0.967611953622874	0.892142463954746	0.820774277026778	0.821283394699731	0.885610492692748	0.838604323320784	0.4325046940797	0.673251168347017	0.388859976287665	0.757747500079602	0.256425258129489	0.420599236648588	0.0202755694820608
CADM1	0.188328020380552	0.90427202768214	0.967403721163108	0.785262020220422	0.964471416108733	0.918784237533611	0.871775865893598	0.950289251165726	1	0.911947752743138	0.959954628860107	0.892712100233981	0.964376302494883	0.965855733241216	0.896274304540286	0.959029795300119	0.904740579730086	0.924774461242533	0.664816951654779	0.923206708306847	0.850792235887442	0.940989286422578	0.925224856225319	0.936354729442802	0.935111344719543	0.722819508130075	0.895394454346372	0.800043040385113	0.862582771602168	0.892803117099317	0.887174351845744	0.906530264028665	0.756592449765388	0.867379622232623	0.488700036168505	0.912673682254287	0.867708494109313	0.855041413181339	0.928856257420524	0.760260749863326	0.628785029122502	0.705413644796662	0.453746465567911	0.942003262540791	0.904189978726388	0.857621537671802	0.380927278379005	0.880773950161574	0.927364307550987	0.935998743507305	0.909340388888371	0.954681986682285	0.925689753743902	0.849224027074795	0.921440397319702	0.919027547698876	0.898622379250218	0.830087441699085	0.900489213376157	0.902242944530103	0.876574416950385	0.891620799978539	0.940816447235779	0.932593299675244	0.945180787366685	0.800482696944913	0.573120046995639	0.939625113036434	0.570976983076588	0.846060225346134	0.918783908611308	0.893080508594733	0.628292131502172	0.892829878706815	0.79532210040774	0.904754499615605	0.884721545743875	0.741441957621502	0.855310648270937	0.841785920474147	0.986142956742521	0.940841570091364	0.777024944723543	0.843467319360604	0.810746752113011	0.801504399806003	0.290745480754426	0.567125625177411	0.298155297609338	0.654786797503463	0.168393515599994	0.322705238423659	-0.04436181575975
CXADR	0.213057864893647	0.815165257493426	0.890024695801678	0.865277793044057	0.937187083391057	0.883421163691678	0.954081809565191	0.884281056664304	0.911947752743138	1	0.92928572402633	0.849520858456154	0.885988583415533	0.941579886217277	0.952703217709601	0.949013485336751	0.918905564670497	0.916842419672069	0.651158105622428	0.867229073428325	0.805489675292832	0.95479092214094	0.961405836762094	0.916572666442494	0.907707682200868	0.781174602716089	0.837049819486726	0.789375417284314	0.822542091058349	0.946260334977781	0.924731550816996	0.919822200660346	0.779371361817128	0.869584502898178	0.437485756958043	0.962581232814226	0.884005661244284	0.830876127616523	0.895077682913512	0.732769565248948	0.661705081029958	0.75315759753295	0.49652506950084	0.881978986312643	0.91602253987766	0.79500515048235	0.398527788383594	0.870180171872871	0.846487312599963	0.811654848322861	0.879493875269113	0.901662912141658	0.940364872261668	0.888112919417456	0.902662639653976	0.907776690063234	0.906729829892017	0.755781810011482	0.919437060036755	0.918904804919839	0.841259730609783	0.950248632380963	0.874318284439971	0.949768198122816	0.887247765221767	0.68916844806404	0.542699215422687	0.917577594689906	0.490725918381801	0.848422513015494	0.951302754042569	0.865290738655409	0.620409219974196	0.821931597971458	0.732873371193433	0.830068245862222	0.880950166638535	0.844950836010342	0.944269048716508	0.866681570283126	0.932846169340117	0.942671379737681	0.842258830443259	0.931060271292755	0.688945349050316	0.755467564378812	0.137217943654139	0.397461200730601	0.236810834229033	0.612684636638193	0.0668421713987891	0.249631830668166	-0.13234158037146
