""	THY1	LRP6	EGFR	CD47	SDC3	C1QBP	KLRC2	GPR37L1	ITGB8	CAV1	ITGB1	LRP1	ITGAV	NRCAM	LPP	FZD3	CD9	CANX	NOTCH1	CADM1	ABCA1	TNFRSF21	TYRO3	ACKR3	CD46	KCND2	SORT1	INSR	APLP2	TSPAN12	KCNJ10	CELSR2	ANTXR1	VANGL2	IGF1R	SMAP1	FGFR1	MCAM	MRC2	RYK	LINGO1	CHL1	TNFRSF12A	CD99L2	TSPAN5	NOTCH2	CD81	SLC16A1	TNFRSF1A	MCFD2	TFRC	RACK1	PTPRA	RXRA	TSPAN14	CD63	TMIGD3	HLA.DPB1	SORL1	CD74
THY1	1	0.812884972235224	0.130077521086944	0.841990171744862	0.616374629648381	0.909330908561681	0.745464893081686	0.140108127199783	0.678945498703642	0.796019140229903	0.715054124718003	0.758193130003617	0.607234741359607	0.712741041038617	0.765975712225117	0.710533203774086	0.717421134118344	0.747106434654661	0.832264422097589	0.763036672294375	0.300131333125126	0.697660347087425	0.718386455048947	0.692423118298735	0.617673138732856	0.879185946853182	0.716018455250292	0.533541463528767	0.732367732827347	0.818376698732223	0.540204234290169	0.597759469592524	0.747587136566713	0.577342943231157	0.576313499810553	0.888599950804109	0.732391135906957	0.81421360755301	0.482456392268285	0.689148947138317	0.846809653186017	0.302165998910151	0.754375823242721	0.555749933273749	0.633299156349576	0.487354176900075	0.546473937901696	0.710362515109062	0.550517498491697	0.740698221728774	0.309691059135375	0.889889547895397	0.670003756715847	0.420063154099226	0.427915814644515	0.7445177309971	-0.030537521296316	0.207941439517145	-0.00538044402826602	0.0391187183922198
LRP6	0.812884972235224	1	0.460460961071147	0.667132067109506	0.547135603593406	0.690176836658369	0.633798821940997	0.210409420793069	0.601534630101702	0.567118378401638	0.628265488457709	0.758361483560669	0.634622501264795	0.751214212602136	0.661979851456125	0.65782455483659	0.541881398982182	0.680233866339125	0.748475663169588	0.788886034708361	0.318984750443193	0.629514282359994	0.647774758801972	0.599678485175158	0.608618069614647	0.71093607083394	0.650262398178978	0.591533058208874	0.683570648578008	0.751199853155341	0.509247465623337	0.626625234803964	0.661267966432519	0.536710306128821	0.543041009504094	0.751101637015779	0.557762750899567	0.65472541555584	0.539228003906165	0.572702078062567	0.800722943291671	0.417845145850489	0.444365148519541	0.626350599252317	0.603171027899988	0.548061327535773	0.53558865275783	0.683297515177897	0.431517016879021	0.64315546079622	0.291446063778845	0.697968064829711	0.709554956484823	0.499655267230003	0.418852631322832	0.562211624569346	0.0377244332898623	0.188794798554084	0.0872960590525998	0.0908111294764798
EGFR	0.130077521086944	0.460460961071147	1	0.0508212244623643	0.339934051831954	0.0746432706931699	0.13874985485473	0.365133882727707	0.22693635900282	0.0122545092838691	0.183227558314341	0.282580494376606	0.23079438132205	0.451449971192099	0.183565896972741	0.290185259107172	0.0219717452528579	0.214679050873371	0.277013617341637	0.386828551169417	0.168266128669151	0.0702667608879114	0.195623209663274	0.223619520904261	0.36792759974346	0.114588480675955	0.208952077963039	0.324814433052055	0.162117306838769	0.300469368437554	0.314048836397162	0.349042140925999	0.183673232090004	0.297320462957264	0.23709130375422	0.168456822338771	0.133608722314155	0.161936414514397	0.147115909460644	0.241897305405742	0.349590857242113	0.444642997240591	-0.105658126797564	0.424442149154242	0.287890159843807	0.290154018061082	0.225319491535885	0.259996723751414	0.0609501919361468	0.152254715933491	0.0280766679956793	0.0175457725131517	0.354260530423845	0.292860554274601	0.156625367395318	0.0382190416491371	-0.0667373486201918	-0.0700417898075048	0.0666241385548725	-0.0543702126188372
CD47	0.841990171744862	0.667132067109506	0.0508212244623643	1	0.76059646307067	0.882522221637924	0.700918656595932	0.205786662396025	0.853975908738509	0.928823602200684	0.808498194032861	0.771587746612618	0.717193204183365	0.629029970246448	0.850622958546229	0.770680099951075	0.891501900383456	0.84856070173537	0.857261153616441	0.678501010131822	0.531539890893317	0.560192440647296	0.861378666993292	0.837077634578013	0.734758323721916	0.841515933142167	0.81083254391999	0.664319586671014	0.815163329276168	0.794538662438534	0.623262581619264	0.673229738132167	0.857328668057908	0.747858150731115	0.724286380861929	0.860624352322836	0.805220135090424	0.846673785875844	0.597349775394345	0.772345765535909	0.686246707459228	0.457395592421592	0.847271570292994	0.657475560929336	0.765009402788441	0.524689032255063	0.684359765464845	0.725550860401227	0.730181774236113	0.898829781820883	0.395263728967658	0.920898054109606	0.749490335064793	0.511008365146267	0.54561354452111	0.872209292740397	0.0761808258734044	0.314489321226438	0.118243003029436	0.16072677726758
SDC3	0.616374629648381	0.547135603593406	0.339934051831954	0.76059646307067	1	0.734501340843493	0.442819737338009	0.460968741297835	0.92576192030747	0.8300791098307	0.82108309841206	0.811134388386947	0.772407209920281	0.726844871411634	0.881325198860769	0.842646741901174	0.858211584149744	0.901059586387619	0.800334943523418	0.687833872529085	0.755488785029926	0.267299860834164	0.85740100044935	0.841541000195104	0.870528425964935	0.75855341679425	0.865831126805655	0.716852114170863	0.819787146022094	0.766382591177685	0.602910330190682	0.855433387303677	0.784947038292829	0.850181509081263	0.870587291984574	0.713447951014619	0.816026892493754	0.637271100078164	0.678079688880331	0.865240134014186	0.560357742634919	0.724843778518486	0.697041282727427	0.876860113435984	0.763923217830524	0.724116772385017	0.820431270921757	0.773562013797118	0.825483724458707	0.845786832495959	0.575279585068517	0.727135406794154	0.809949475227951	0.733919221660234	0.668281630557756	0.84616695487937	0.171160215760985	0.358122881776023	0.351882456280245	0.262873413271182
C1QBP	0.909330908561681	0.690176836658369	0.0746432706931699	0.882522221637924	0.734501340843493	1	0.72833801747165	0.0824368602236512	0.764383718893087	0.908934814914975	0.868811627257139	0.753962963113434	0.650776438633584	0.628739609604069	0.854131509502684	0.823683345136117	0.833951592029937	0.842210904472458	0.886487109536623	0.675315256394448	0.469091912381145	0.499410206678023	0.800471245785968	0.766391453214176	0.713244910488881	0.919705583647087	0.778518855754378	0.501430252798503	0.825822017467664	0.853213821357346	0.426609654835361	0.660030905813336	0.747113534597309	0.696645582357261	0.71344064975258	0.924815709032429	0.843422496743946	0.824292131648215	0.605475951754693	0.802666783718443	0.81181071840263	0.392833417303912	0.887818642736728	0.648456396719164	0.727943676364707	0.543116116367115	0.640545626022934	0.80288444451828	0.716762607635673	0.832709536355024	0.490975804118402	0.959488221996776	0.766497392067446	0.541324122791353	0.586034894922367	0.887067128381993	0.115026197695511	0.354713160574288	0.148878678856646	0.20204640781705
KLRC2	0.745464893081686	0.633798821940997	0.13874985485473	0.700918656595932	0.442819737338009	0.72833801747165	1	-0.02778426153587	0.493040713317445	0.644861309108453	0.562130556163467	0.464852518036707	0.347798785976045	0.411525664451183	0.503034509629227	0.624345157102395	0.560742492450597	0.537522434850859	0.604079514378244	0.607852435875213	0.162100254441146	0.40916894767854	0.545518486413247	0.483287749519352	0.432592620797984	0.643023263410778	0.453330484578773	0.431817318045649	0.513595617974725	0.528572569213421	0.416168630294397	0.474830884339763	0.569580718675294	0.532493072059555	0.470319207766757	0.750033468615921	0.512935579565895	0.647796132169709	0.26816246216061	0.624521409762733	0.754864071664205	0.176456701237982	0.599029701658137	0.388369666294412	0.659870920409289	0.17233734728539	0.262400192547219	0.484692613732259	0.346985849545923	0.657141521685578	0.0453329050628437	0.707975808361916	0.543353049454478	0.228661144985411	0.197181720400525	0.558519565357861	-0.213498833477949	-0.0127543671543341	-0.218202772718002	-0.143478587601385
GPR37L1	0.140108127199783	0.210409420793069	0.365133882727707	0.205786662396025	0.460968741297835	0.0824368602236512	-0.02778426153587	1	0.406007177662194	0.151502382901466	0.128803998866818	0.38453469756812	0.408491238444543	0.529953304423559	0.286423373824763	0.223371599067811	0.246553965346387	0.303665721411705	0.299476630630859	0.474741105578466	0.375147656564676	0.247228372991341	0.3122364176573	0.370901604384048	0.30177168334827	0.10222410856932	0.341649878465636	0.307444511251243	0.228027870072488	0.293501057852183	0.590923046509191	0.33349147897711	0.349500722738447	0.268012356829021	0.318127041007981	0.161480947255257	0.275424537899668	0.0818006186975559	0.274211589201148	0.236315609273019	0.125359739861772	0.437680668053438	0.00559225346470348	0.369628551800771	0.198712323545902	0.489574494770547	0.464279567101065	0.307094693590106	0.233582874086462	0.280436501978536	0.0867075964654524	0.0889142986143725	0.300104896838469	0.342071429717183	0.18068509794048	0.164324483441636	-0.0328249571763774	0.0136785841290682	0.0857161585898161	-0.014064406869184
ITGB8	0.678945498703642	0.601534630101702	0.22693635900282	0.853975908738509	0.92576192030747	0.764383718893087	0.493040713317445	0.406007177662194	1	0.881237348931374	0.837452898254628	0.850565636901365	0.870695656367598	0.766965209213238	0.924177933623456	0.858623477106572	0.933071688846669	0.94222100688371	0.833882719443504	0.681459460314411	0.757434984442363	0.340332933604401	0.927942400627349	0.934064194027903	0.870407213947939	0.773166641517767	0.909838941495502	0.72066325719318	0.893086780340852	0.810610005435979	0.598120057689352	0.848974828259172	0.809143853579954	0.803381832005736	0.909026760417823	0.765308085486178	0.848744143092789	0.658644146699336	0.770359131451144	0.823516714966661	0.588991314784489	0.728946824581985	0.735939579457572	0.883997187634469	0.790346271982037	0.774027461748761	0.848927245977385	0.830750012906335	0.862960344476738	0.907035536951422	0.537601711272916	0.786531153894325	0.875655438158792	0.757315466463851	0.638973194059099	0.898407663400844	0.190091488973037	0.390135914093593	0.336670508602289	0.284490620832062
CAV1	0.796019140229903	0.567118378401638	0.0122545092838691	0.928823602200684	0.8300791098307	0.908934814914975	0.644861309108453	0.151502382901466	0.881237348931374	1	0.891379533124623	0.797809792040195	0.762009987461375	0.635288707305283	0.909076204382819	0.858477517442252	0.950766159644115	0.915440452141587	0.855433705095225	0.615880729078287	0.647038803578034	0.38632381910432	0.87835582170318	0.856411189230358	0.805610201486211	0.884927252445462	0.850450795345251	0.632955466711383	0.87328380956091	0.807815623078482	0.492862188888829	0.766071008173216	0.793008952473768	0.766089296019107	0.829074509912943	0.85248516558494	0.847675362032654	0.756976429093798	0.691122423128608	0.852451069889166	0.681165980001771	0.525387011748871	0.879984931231219	0.733765716186517	0.752937533126205	0.616360516324387	0.739600079677944	0.788797849019748	0.852477504519628	0.91220269393109	0.544622182638166	0.929008134791414	0.800336520471879	0.637790010294477	0.637270737215972	0.959050743604109	0.180533992764962	0.414995790841033	0.26033725369801	0.280429538268684
