""	PTPRZ1	EGFR	SDC3	PTPRD	NRCAM	FGFR1	CDH2	APLP1	NLGN3	NRXN1	SDC2	NLGN1	DDR1	LIFR	TNFRSF21	PTPRA	LRP1	SLC16A1	ITGAV	NOTCH2	PLXNB2	LRP6	NCL	INSR	CNTN1	THY1	ADORA1	APP	NLGN2	NCSTN	ADCY1	NGFR	GPC1	PTPRS	PTPRF	ITGA5	CHL1	CDH10	NRXN2	ROBO1	LINGO1	ROBO2	NOTCH1	TYRO3	RPSA	APLP2	CD46	DCC	CD151	PTK7	LRP10	DAG1	TNFRSF19	CD63	ITGA2	ITGA7	CHRM3	PLXNA2	BMPR2	NRP2	CD47	RAMP1	PLXNA3	ITGA3	PTPRK	S1PR2	PLXNA1	CSPG4	BCAM	PDGFRA	NOTCH4	EPHB3	EPHA4	NEO1	SLC16A7	ABCA1	CD82	MCFD2	CD9	ANTXR1	NT5E	LAMP1	SIRPA	RAMP2	LDLR	ACTR2	GPC2	TSPAN5	NRP1	CALCRL	PLSCR4	MCAM	AMFR	AR	LRRTM2	IL17RC	LRP8	CADM1	TMEM67	CD44	ITGA6	EDNRB	ITGB1	BMPR1A	DIP2A	VANGL2	FZD3	GPR37L1	CNR1	LRP4	GPR37	SCARB1	TLR4	IGF1R	CD99L2	SORT1	KLRC2	RYK	F2R	STX4	ERAP1	RXRA	TNFRSF12A	TSPAN17	SMAP1	JMJD6	RACK1	CD81	CANX	TFRC	TNFRSF1A	PILRB	SORL1	GPNMB	CD74	C1QBP	AXL	HLA.DPB1
PTPRZ1	1	0.856940919979654	0.959883336272778	0.880965087214357	0.946889668621708	0.914851961123834	0.922379684287792	0.889857856908223	0.937480741870655	0.986929791801679	0.809964720991374	0.95987454771249	0.956437059271048	0.967019313278866	0.925409327886305	0.976279432029992	0.976520121074537	0.629533051366039	0.958999976601111	0.922585283543623	0.796364129956523	0.940971109441861	0.890113324950139	0.771110527057295	0.939267380082445	0.893664855588126	0.946501774246859	0.950821092938179	0.937415824118051	0.903423619707175	0.929561799189477	0.812868046181927	0.720598587726034	0.922366954046503	0.887144477279064	0.661080841827633	0.943293277406759	0.917967355893968	0.953940613667475	0.904624662655908	0.901340916162227	0.978374533621367	0.940937586770224	0.917154140743081	0.668095389597334	0.894745844166328	0.899667233132136	0.891020958771592	0.786116216891369	0.876316520284856	0.90427220280352	0.934844932723296	0.840265242451705	0.81696965521707	0.848073678514154	0.893747634729168	0.932453151634876	0.787687846233147	0.941460459883224	0.803668527094116	0.898481970238071	0.921307687642204	0.828796688547635	0.876717467380203	0.856449279240023	0.88788253817233	0.709640227028476	0.768791088177242	0.852036288311959	0.87260720658371	0.791362582056406	0.787412917544474	0.890659556103396	0.91384396321802	0.869130804633833	0.725563954237512	0.850474124941671	0.912530344594913	0.85015023998216	0.936190706713207	0.964160098773037	0.92925810504457	0.863074276271015	0.820153559825014	0.852807978763434	0.895621085538358	0.889453655085365	0.844022908225645	0.540227933804928	0.892880339303432	0.88886138644236	0.756600174130855	0.884771713130284	0.913380604073557	0.924421798040555	0.853804747702411	0.859103745944496	0.838360985178072	0.888766512559466	0.220206911620831	0.876687337920634	0.876290364711445	0.825097134686066	0.899104511008647	0.915108476935627	0.879298095285123	0.93470737045338	0.94611565049593	0.825929341028016	0.959370775014822	0.92774222570207	0.669593249028699	0.855816999415033	0.798529838834192	0.900540937404674	0.891175111028246	0.851784788079228	0.883091625118323	0.855287372911826	0.841524964642916	0.872860673051818	0.885305201619181	0.465309173501911	0.771017905063481	0.882817559435177	0.731367578115043	0.695467794265344	0.921007978376856	0.909934275036981	0.865676778660819	0.839072196025081	0.862510612464078	0.663624770879672	0.374114202177883	0.366909319557046	0.802542148808722	0.773605348417597	0.31808268963454
EGFR	0.856940919979654	1	0.81194583564564	0.907727771751785	0.882606458061721	0.954582775378264	0.939283285312311	0.911798219395358	0.898511657408293	0.829572918625159	0.819051774445642	0.92793313056795	0.813584985993751	0.868025494368087	0.921879812305496	0.894135535127575	0.868256336403361	0.830277773094911	0.871521390110297	0.906836372686389	0.894021514263143	0.915331898958385	0.94787377922848	0.656503341889691	0.81784920226662	0.915776341840856	0.774399695158357	0.945331184201793	0.921589477624316	0.912852907213129	0.892710708369128	0.684086953212176	0.869295713729259	0.870098196176834	0.836141636749214	0.797359044094963	0.893682326507856	0.796761886765887	0.815246124449281	0.92823940791367	0.850024767671036	0.888220222662032	0.866793366375991	0.899328872947057	0.848080656979561	0.930198746247056	0.793404671108429	0.81298999345171	0.91113526220003	0.935433130274509	0.882884054160044	0.927212804283942	0.910555242690601	0.913228351932826	0.798111119918169	0.935764607243204	0.930301715699919	0.650633846508094	0.89691839974056	0.71291853394077	0.946182684858317	0.830849749475494	0.879083363377806	0.862425613942526	0.746313444100173	0.778283611928301	0.885588423794967	0.86227508923403	0.722776545845526	0.770143778949846	0.741781868010247	0.877282317992142	0.914381432423202	0.89240232075039	0.803497317698725	0.684506790748191	0.882815871792655	0.915315847803092	0.871319003599034	0.90676621921887	0.796565898029973	0.900317578617496	0.702611245223893	0.825140577633123	0.917045462475608	0.941985192714599	0.7946988619695	0.919550106504124	0.775971321667489	0.741540765212788	0.684759798016796	0.69476604562884	0.891510487545805	0.824972656704612	0.885838904673859	0.873992143759834	0.887995742388115	0.928854850854528	0.909973913499472	0.468926192323961	0.700626899624366	0.714321465158758	0.921239079264181	0.896924971244705	0.87289732975865	0.816748998216365	0.870573075128978	0.744006403128773	0.72626862074504	0.892841952580594	0.841481205250013	0.800866247967734	0.818339269303112	0.782155873423398	0.904555751765539	0.89944582480815	0.788556973868614	0.941718615300481	0.8341164892402	0.89104105101901	0.834509335993142	0.848387485780767	0.676707806788265	0.847114292687773	0.895399485931436	0.831370178950129	0.866438553144991	0.861388445037439	0.940130094089268	0.929152525952619	0.834194366252031	0.852985375153166	0.597890594727883	0.502135442958581	0.329303593793052	0.902703823403836	0.773081137862539	0.29390266115792
SDC3	0.959883336272778	0.81194583564564	1	0.855749269659545	0.956284882395714	0.872243410446633	0.910785605521929	0.890402078188571	0.90142312007188	0.947006276738839	0.841606369358007	0.91670674999801	0.981046786982922	0.965191107614141	0.934522925037534	0.952634532044256	0.942194724492219	0.618249442511278	0.961906293319136	0.905717509239117	0.809968567560458	0.892124659319047	0.855296700471729	0.812031296274083	0.880157994525603	0.864628156293536	0.953853309709518	0.908422854085426	0.93233587857986	0.911997770884557	0.895585706735138	0.878278022842705	0.738953396611394	0.841948592529171	0.92166737980663	0.693231192607789	0.94075136409785	0.871639860918258	0.93652145070006	0.899464634233276	0.863556358395133	0.960647028121069	0.952574477369685	0.885009242005414	0.675126894553005	0.895323992997808	0.833359258453266	0.812055992668274	0.762459558039728	0.842860794009766	0.922060597689775	0.936767890232294	0.845310952545809	0.804072164029703	0.82361472762469	0.8626798914918	0.878620182876409	0.824265323971374	0.941126038425026	0.846068647560944	0.873394764111652	0.923325649170328	0.8208919001081	0.871300130579416	0.830427632399913	0.888974953495839	0.697695649192543	0.745340604865607	0.894512357799533	0.804486730066651	0.849708068378858	0.79292690277041	0.885755135656092	0.921857319156283	0.783288741070778	0.773820510175892	0.778286589409672	0.900668781616548	0.840359316599911	0.914016008224853	0.946981601945679	0.930525430722611	0.917619202360991	0.831947458433321	0.803415813125545	0.876628580510978	0.813566829389356	0.822246366792214	0.549262660030642	0.930471179496876	0.909234843775313	0.799213397540615	0.903768696844278	0.897546092702855	0.870990317165552	0.884215777022931	0.808635695186492	0.823652136286331	0.832398223141018	0.251311766776547	0.92773226199768	0.919747876197034	0.821442498809515	0.884616935513478	0.885965994398676	0.828141645707418	0.912749178367851	0.951888384025617	0.87041179042397	0.920871877149568	0.928620266945194	0.69431810002836	0.830336064894201	0.781695463788426	0.907805121716485	0.900059833986205	0.763356103983794	0.860366996703218	0.887225519156547	0.83894368771784	0.866235243933147	0.889082854750768	0.459422482983899	0.739394110309047	0.844215425370099	0.718310211624628	0.693510561061863	0.929578398166765	0.901357198088316	0.841199265530757	0.859858856797114	0.832275545822795	0.674124040486935	0.394341283435207	0.365612649292147	0.789268775904898	0.800448103617248	0.309595759597835
PTPRD	0.880965087214357	0.907727771751785	0.855749269659545	1	0.915482726814518	0.930271999771268	0.934766218353598	0.888828512021891	0.850624377587101	0.866501300882881	0.856137694292019	0.904407670444183	0.864758744521652	0.914437204205674	0.904082323492651	0.896911576700146	0.873620728741751	0.847188795132568	0.912667682240263	0.930068815084205	0.896231658862054	0.903187519299841	0.880662469470287	0.713464047483913	0.785408286852268	0.859968942652744	0.838999716556102	0.913883017233531	0.915794867694031	0.922655874188222	0.834901610090865	0.749087586705361	0.833960201419713	0.84019581757926	0.904058263113141	0.78707220651645	0.929170561813621	0.783872981521442	0.82176975438632	0.933106967404029	0.80694210753469	0.907555615348114	0.902244521545757	0.837751132467127	0.759060694633228	0.916947720705351	0.835926366003074	0.802758853981605	0.877185971861761	0.897727698954115	0.923871036411118	0.913733861280596	0.924796225974426	0.861918162415653	0.824480340901459	0.916452959089891	0.905928715292541	0.681743398999479	0.919054861712412	0.805186304887015	0.928823528648547	0.831562733201278	0.895289940501239	0.907836824202487	0.758712959944887	0.776927510501058	0.863723543963142	0.771879497230777	0.787780929498532	0.718212457908513	0.744757872087205	0.877133834720336	0.875727798652528	0.918356716747432	0.758568152558882	0.797428707687989	0.782192074126116	0.907310445958093	0.906761743043488	0.892331507219581	0.833581622113413	0.902434355420134	0.807774334231269	0.767023581377601	0.893985223397627	0.931899834446324	0.757024572160991	0.891489341910109	0.781330906347684	0.825232474044649	0.762405908176094	0.690014542607553	0.909912926207111	0.880012346270705	0.845394307104978	0.898892275894222	0.88472466958468	0.942059293628586	0.910916557558481	0.479125420567066	0.791321097569713	0.810421215436242	0.889350910227098	0.893418917500045	0.922033538592439	0.812096396422129	0.920994864858503	0.774198515282341	0.859733931149949	0.863844549873371	0.864310415872692	0.858247881360995	0.872524551141644	0.835264471221617	0.903591613783761	0.916744235520571	0.722977777938745	0.916387276249268	0.899003019891063	0.861164319316251	0.830945661753064	0.873381996172959	0.614422728287925	0.795518493816796	0.867901946972318	0.815794157749675	0.808484686619019	0.871161664713408	0.932634320159892	0.91833872682509	0.892010660826533	0.884416285157018	0.687846433453652	0.504253607851201	0.346294772966162	0.831345167221241	0.842295930605411	0.307295030656835
NRCAM	0.946889668621708	0.882606458061721	0.956284882395714	0.915482726814518	1	0.930450121309992	0.968319537619431	0.918244592361392	0.893319549463641	0.931808266603148	0.911420369414041	0.932174066176434	0.952098003522831	0.977838426939426	0.960429127640264	0.961728615713596	0.927360601655895	0.776153654867505	0.978263156175673	0.957387833384867	0.907451520659509	0.926351190935374	0.923302533448513	0.779006003127271	0.83831703751142	0.894942724407702	0.93044914604205	0.944933318317814	0.955420329904834	0.950341489824082	0.879722496884211	0.851256233756528	0.843470114889932	0.856416031485692	0.942746370788875	0.776968292549466	0.979815275336987	0.860271427829612	0.889198694761411	0.950466228329378	0.835406725474942	0.962392312605508	0.945688691245458	0.885889535727154	0.776235509020348	0.955889561156997	0.849023307125429	0.807801828639385	0.859216455623365	0.899271148789955	0.969697578434586	0.962459927108621	0.90404559930818	0.883751863021433	0.864863371070029	0.919832238271701	0.932735105567913	0.769040645882973	0.959677526008051	0.891181950683127	0.938260550120253	0.925445527343569	0.909805420532287	0.916728838595949	0.821866417499951	0.842176848366419	0.81748177301041	0.759511443410817	0.871973484132141	0.7629423879563	0.831627267318737	0.813321484232588	0.940298879013831	0.939198803863119	0.800098818144314	0.85897977807726	0.793581619226564	0.959214054782631	0.907818672367292	0.949013497402928	0.928464389160594	0.960786490539714	0.902230024589894	0.828563800811622	0.878040722150632	0.943341557502303	0.787763780753599	0.883013494318217	0.699006252777808	0.92846738343964	0.882058006490283	0.766254849079221	0.949728371060041	0.926518864587882	0.896175679198059	0.925790067529858	0.854218127595491	0.910920558926477	0.893358980686583	0.448098272051148	0.897061377723036	0.91305691103428	0.894317650642262	0.914189924951335	0.918992189603254	0.827419441124753	0.948659325943146	0.877080944286697	0.90470048359918	0.919948783118086	0.948008897107032	0.820764039356089	0.857304040519801	0.85744943985892	0.942702463383329	0.948217413380312	0.753765379958407	0.919469497661313	0.934964502661602	0.908711623414228	0.889307192909493	0.931689138428144	0.611386979055892	0.776485679585874	0.896548504578294	0.812959241801788	0.808990414134648	0.942661409899107	0.963573134769856	0.91648089042749	0.937809468282058	0.855712784044093	0.701892163547474	0.501282479401331	0.35609890340522	0.85992188222393	0.868293595950869	0.312004718215246
FGFR1	0.914851961123834	0.954582775378264	0.872243410446633	0.930271999771268	0.930450121309992	1	0.969341876745852	0.937312551294325	0.927336478771546	0.897331822461953	0.84024463450369	0.964666075452276	0.869722621640486	0.922249559990637	0.934277030991802	0.945442321075711	0.926665544165831	0.831809335545231	0.916301367311034	0.946020230096112	0.916920015196755	0.954106053349595	0.963995303349391	0.73150849844271	0.870378520673693	0.934181409437431	0.840903572281346	0.981037233538634	0.952222545679513	0.953552112299371	0.912021678947868	0.719462529051539	0.878286191763932	0.921616902558938	0.875254353358317	0.82966084947907	0.925032596547567	0.843608291768629	0.867667864243412	0.949816587958554	0.888461317725764	0.934442089554232	0.920322926267879	0.923088908915963	0.832611694917699	0.964494701926325	0.873942421313395	0.867128640988262	0.927119783563979	0.962310298145638	0.926246736284849	0.949349236751138	0.936972161864963	0.924313792129194	0.863562720250365	0.954742873042952	0.967181187022429	0.734891106825504	0.944203943808575	0.79251533609309	0.972797018009027	0.868623250367697	0.917311332325845	0.915213396036368	0.803953622645384	0.817068837960553	0.888414126495314	0.856762261833394	0.803428409071267	0.822114046439723	0.768887393691907	0.879693149407797	0.947653224107786	0.935814361701073	0.856652018779052	0.753434686504366	0.896447957787198	0.95638918880392	0.901589988950827	0.948630002288071	0.84883616401556	0.943428137609613	0.761210885531958	0.84845308834557	0.947788832564596	0.967406670322222	0.849914541970121	0.931390620163936	0.772884541076384	0.814248154377239	0.76503592381521	0.756735504009226	0.92703524734773	0.893656414063302	0.931014141513462	0.902489973804994	0.911553579018368	0.952326006286103	0.952565875738364	0.477738033734322	0.76939658796924	0.768627806706126	0.944007740032244	0.939534905961102	0.924756992626384	0.86981524095326	0.936041242895095	0.797894587382917	0.781623511897807	0.928609679714149	0.901291634981447	0.82343879677018	0.873999393627792	0.843777360798559	0.93008857171082	0.940156686343882	0.821654964734191	0.96128731808843	0.894727563769773	0.917891927529064	0.892763151992246	0.899833337840198	0.673420343650015	0.857789604157956	0.927962201054546	0.874740008281606	0.871040176296791	0.904193987492386	0.968936092599423	0.947104181550789	0.874884231733525	0.901873383644809	0.65284656798761	0.532934800337617	0.375292338313907	0.906710185185334	0.809933941993323	0.341460425403839
CDH2	0.922379684287792	0.939283285312311	0.910785605521929	0.934766218353598	0.968319537619431	0.969341876745852	1	0.943751638222074	0.927593617156641	0.89485790948151	0.899488312113256	0.948352558392606	0.910830558583464	0.945309018194402	0.96990102823728	0.959740202918127	0.920861453734488	0.837314155156322	0.951018875519885	0.96046828308681	0.924372284804088	0.933735984431674	0.965191156357514	0.748008641797011	0.837901302975276	0.940462626298338	0.881727856368372	0.971455392132457	0.965304792602191	0.967879519319758	0.904705105039538	0.788171964574211	0.893998838171598	0.881348515277254	0.918969959040259	0.826219289031301	0.967479687449131	0.831151816456541	0.869280613377209	0.97098652937678	0.867950944887578	0.949318384420988	0.928446487159426	0.912172702186022	0.85321657488748	0.977622372749857	0.841921108027005	0.815201689443349	0.938098890894856	0.941298611421881	0.960693628563788	0.971555071764945	0.941349395265757	0.941514900027419	0.862326088934741	0.95145909337374	0.949741266133184	0.752241203686286	0.957657473467289	0.841250203916915	0.975176153591449	0.914405847376006	0.927291015186613	0.925643661674524	0.785821997744174	0.833101334692086	0.872498242410789	0.827757269622569	0.838011062727429	0.767980904062305	0.821367869581605	0.884224169624004	0.953115800188128	0.943884852022196	0.820738363439585	0.814057998230933	0.861236156775638	0.974159623509466	0.933293454775807	0.955857680049035	0.878749341906122	0.96520923923119	0.825525642226499	0.875337653231123	0.910374112482852	0.973837271640454	0.814314113016774	0.935470681648298	0.766524442780375	0.86295536871512	0.812643571970684	0.772277906055759	0.960736220535897	0.919906846141042	0.906322152690641	0.940008395244037	0.877174336468253	0.955088401068964	0.926091183504253	0.48965518796376	0.823596969840465	0.841992512536958	0.941725413132684	0.9280181647578	0.914930381230786	0.838026646032618	0.936028361249252	0.828031617294352	0.864497867227216	0.920435705030625	0.914728034838661	0.847088373243244	0.870933559354637	0.834088176265157	0.951841157950371	0.951080337963785	0.782363471840035	0.958730528140131	0.930353136945248	0.929910066972413	0.874512288108334	0.909548944112349	0.680808550878331	0.853591212659322	0.932343853883491	0.864443030028419	0.886013739556891	0.946185184780209	0.983106582345403	0.945836949004818	0.930206886211237	0.865903956774701	0.651583216210175	0.530654333071082	0.327679154837164	0.923740619070534	0.849018873887287	0.29079253839985
APLP1	0.889857856908223	0.911798219395358	0.890402078188571	0.888828512021891	0.918244592361392	0.937312551294325	0.943751638222074	1	0.923316926740061	0.858101841175079	0.873378786947142	0.919874696472073	0.898734774830352	0.917204492869391	0.962100371740745	0.926762341861926	0.889996360679052	0.771979138747863	0.909126464452967	0.902131652920478	0.882024071457306	0.887970421488322	0.94836015451166	0.741167732700632	0.833018854004885	0.950753311114035	0.851746166915483	0.94270972303898	0.940284672992662	0.939142143842476	0.891945269514053	0.829997246901204	0.881804850622513	0.864687631513249	0.888755833729632	0.789348524914561	0.923375195814561	0.805158272421085	0.86653541106705	0.945654330080551	0.870486331240976	0.899281058669657	0.907302107454247	0.928820101342423	0.861752933978887	0.950950509042488	0.78973378256147	0.808026322276916	0.905805341159878	0.920455538149709	0.906214958516863	0.965933456870071	0.902098303674148	0.935242821420773	0.821688094641348	0.908194823927023	0.914548856503439	0.740103726649358	0.921915329003931	0.748987687249804	0.955991070806969	0.915949951379785	0.861167644719653	0.882872061427061	0.807672706738945	0.830311593498344	0.84531371124689	0.84377867241265	0.827044768167991	0.779378035418735	0.829846189093211	0.861666527349108	0.9225585582776	0.922176373687546	0.796558077039748	0.706964352788085	0.880756587401384	0.92664808443715	0.908555441392377	0.913799659009018	0.83589332619939	0.957268125717212	0.792594625010594	0.902299958931624	0.887880957542849	0.940364953650975	0.821668067878008	0.941320107145772	0.71297537657493	0.804063757181902	0.76145587046253	0.756491431698295	0.925392555257217	0.83550511824141	0.865745731030915	0.900043197843017	0.871915413961768	0.916935797237595	0.891173579668678	0.387012988750031	0.797358383865141	0.807685446201766	0.923888041166924	0.894748862989334	0.861148136672616	0.801290832170289	0.872635311380722	0.830026391947759	0.772431295318783	0.909937670658073	0.92613900697786	0.780913367953157	0.802459446743358	0.753211041291945	0.921109317721335	0.939168621979283	0.80618407396988	0.920593610406547	0.877216944993313	0.903286501845931	0.858321559180489	0.860161126806854	0.618573745073851	0.858776870719573	0.936586495837993	0.80011637541177	0.861512521117954	0.934434742403852	0.955894331056676	0.907696310258441	0.857186731179709	0.858397639169697	0.630226708115992	0.462920819943081	0.339562821188906	0.937194325890785	0.79752335769313	0.310953077546685
NLGN3	0.937480741870655	0.898511657408293	0.90142312007188	0.850624377587101	0.893319549463641	0.927336478771546	0.927593617156641	0.923316926740061	1	0.914885280295574	0.764519562759212	0.948544423292176	0.9059218919461	0.902194098738318	0.929384832795163	0.949668515370915	0.956541239189437	0.658796830095643	0.888214185293026	0.891954215739599	0.792688698216099	0.91571953691676	0.922160233528042	0.74648261252629	0.939378318214114	0.961110681741807	0.87442287046631	0.96231550741004	0.93486688707312	0.896647562570521	0.964619533016757	0.741111161774871	0.781526610576317	0.91540445398078	0.832682598111022	0.710967133412214	0.894519229189212	0.87512110813739	0.921251930628311	0.894720391328677	0.957381398471357	0.931226707151965	0.902847453215594	0.969624230484751	0.763506648794401	0.901058479653077	0.852715169958314	0.859418340868744	0.859079577540497	0.884661482233882	0.858989670895587	0.938088374965341	0.852589328277919	0.87725284112578	0.83285941660599	0.903270098569091	0.925115821091125	0.792086481554742	0.909656206633519	0.688480001671648	0.912264221964125	0.903110572057754	0.819763002965314	0.867316048509147	0.818606614675068	0.893868551940811	0.755996343835631	0.890935022952287	0.803905803486278	0.884820432663002	0.786985637180571	0.858374184407204	0.902153105977651	0.887260549882206	0.892809811019378	0.639577258130231	0.9522131051369	0.913966332408032	0.860770024868108	0.916299984630368	0.879540249656688	0.915310113669531	0.746365761495053	0.904179482398	0.830610177249514	0.899674011818304	0.92828384460748	0.886705089136234	0.590343990487243	0.772349296765298	0.78137954642311	0.765511891071524	0.878496775751438	0.865802179596159	0.915364494819605	0.868540062969554	0.852708053032988	0.846693875589683	0.880261155157011	0.242809248827354	0.756866536439501	0.759648225802555	0.861934577170206	0.892009947391106	0.863330128676326	0.881062365823762	0.881972749216617	0.898634089913431	0.731115497746864	0.959358314825708	0.883994588594152	0.660493960129866	0.825678563119079	0.733386495576715	0.893657595194923	0.862658311411325	0.902234024740597	0.915667506993488	0.803943438025824	0.860780085951089	0.850986095365528	0.814611432525873	0.522762947394608	0.852377173837497	0.922604458342835	0.761880700358974	0.773325719696995	0.920989487329976	0.906241655466088	0.875223235693564	0.812035805890149	0.831227890161312	0.548984261276777	0.411332367253895	0.29353399918798	0.880334747995459	0.700058306114858	0.255228832641378
NRXN1	0.986929791801679	0.829572918625159	0.947006276738839	0.866501300882881	0.931808266603148	0.897331822461953	0.89485790948151	0.858101841175079	0.914885280295574	1	0.758587273301621	0.952628490463261	0.938961958326689	0.958375068453926	0.890372335985844	0.952604582870283	0.973797744037121	0.596363864013393	0.934357820291615	0.911437094124867	0.783513044496129	0.948395375992014	0.856012662387311	0.803529767056135	0.945516808143731	0.860414061711854	0.92132521837184	0.937685667912448	0.916636456059848	0.880251371464422	0.917419315857515	0.772522969881083	0.681189036014284	0.917314194839988	0.868607246589491	0.650247846514627	0.91097545780784	0.929813796462165	0.954048599743716	0.869237667032976	0.89230969385565	0.969539769407222	0.939864757092741	0.89989293356248	0.605711536479105	0.865117387910808	0.930133147470151	0.908922197537973	0.738103277853024	0.857437438792161	0.883390294989911	0.900662063082697	0.818462958606143	0.763104215342954	0.859712781535914	0.883131772130781	0.927527332052033	0.796199808567398	0.932454030142657	0.801035634734917	0.870683938016761	0.869691175478879	0.818524270589441	0.858538975573811	0.890757461100039	0.878850477425542	0.694104196468833	0.7522710743788	0.841299067679824	0.896174670037235	0.765353082289726	0.753151176710341	0.876371696804514	0.901237675285342	0.879756657302068	0.725800028146148	0.830502816007533	0.887197927601975	0.801903864352701	0.918891139667652	0.948497747747305	0.900541735782697	0.843961719038772	0.772311338659386	0.835315201739537	0.873623145421148	0.876791529364629	0.794689827621463	0.527071151173555	0.887149353467303	0.883572616873649	0.764409737705152	0.857337616419169	0.91319257945444	0.934855944190401	0.82548138054684	0.860284132566238	0.810202995896287	0.883962338195158	0.217610659098285	0.859651281955596	0.84039985385092	0.802977135024403	0.890309891789576	0.926831780183412	0.895673718368031	0.943128455068307	0.930987874462426	0.819799267171854	0.956397277377413	0.920899351634594	0.644843292240962	0.85730483312237	0.823094031313831	0.880945963813397	0.875182385924587	0.850105741487101	0.868246215782089	0.837286160190512	0.820120096281529	0.886913865549537	0.890501344961603	0.433570371932226	0.734126989083292	0.846858458776363	0.71849183075621	0.639318432979278	0.876489687266598	0.880132178389246	0.847364646786335	0.815555588410503	0.879545911612185	0.683362610045586	0.379198384949097	0.406388966516647	0.746298026957212	0.746861059051659	0.351479227264208
