""	CCR1	HAVCR2	CD163	C5AR1	ITGB2	ABCA1	SIGLEC10	CD44	LAMP1	PTPRC	SIRPA	CCRL2	NRP1	CD74	THBD	ITGAM	TLR2	TLR4	CD93	RXRA	CXCR4	TNFRSF14	LRP1	PLAUR	ITGA4	LILRB1	LILRB2	TLR1	SDC2	TREM2	TLR7	FPR1	ITGB1	FPR3	EDNRB	ASGR1	KCNQ3	ENG	TNFRSF1B	NRP2	APLP2	SORL1	KCNQ1	ITGB5	HFE	MCFD2	ADCY7	SDC4	STAB1	KCNN4	LILRA1	P2RY12	SDC3	SMAP1	TFRC	NOTCH1	SCARB1	ITGA9	KREMEN1	PILRA	SCARF1	EPHB2	FPR2	ITGA5	PLXNB2	FZD5	TREM1	NOTCH2	GPR84	P2RY6	TSPAN15	ERAP1	SLC16A7	S1PR1	TNFRSF21	LRP10	DYSF	ITGAV	CD81	UNC5B	LEPR	PTPRA	PTGER4	PILRB	CANX	SORT1	SLC16A1	NCL	LRP8	NCSTN	TNFRSF1A	CD63	RPSA	AMFR	CAV1	ITGA3	FGFR1	GPC1	PTPRZ1	RAMP1
CCR1	1	0.967925445150076	0.92416301019827	0.981520147774828	0.952305391838692	0.945946149791199	0.925424123900571	0.927280202703927	0.97636160363605	0.962941657668461	0.981501369271618	0.944028637407964	0.954600622889442	0.95827310111792	0.966618638571657	0.938278979336982	0.955217036932999	0.992783579438433	0.907461395762875	0.954914494751972	0.943883041537676	0.961464650255246	0.925221688343324	0.955163187427171	0.912682316244618	0.904831583042156	0.862026268235591	0.966951571392068	0.900931558001282	0.939218264263339	0.944718402865721	0.958104084277991	0.860267450880843	0.91169540745569	0.979502092938145	0.941408015072747	0.919856878308825	0.914826959679917	0.965456311756084	0.915693339906262	0.941564700547485	0.968885324873501	0.882338571426208	0.955987757107509	0.862404864546332	0.691889479633228	0.942794014876536	0.522273909715215	0.935911542050477	0.880768983372821	0.862558105630862	0.844758719968757	0.677999317089091	0.818725606698236	0.911050057242734	0.666511781334825	0.986347428359461	0.955361406758478	0.7302384024893	0.906183055122952	0.94787689870393	0.888724478283377	0.862237620466891	0.872322414059645	0.843115109075766	0.890609220124258	0.808309970849732	0.553686427289112	0.954050360634711	0.687756756196468	0.934095626943018	0.866178841445067	0.494370585956423	0.568251973177427	0.788431456930446	0.84761448161916	0.961319200460157	0.644297011512223	0.923428189291243	0.553697912684666	0.856901993316268	0.356038353330689	0.937162141151519	0.556339677517752	0.801667205927392	0.333927540210011	0.3211735284375	0.794475134705054	0.56453693498966	0.805079157059271	0.934921603117007	0.843725629927256	0.775010259345968	0.680993332097983	-0.165357307060308	0.243758317735865	0.0207417587449547	-0.00326921644884751	-0.0738215050344478	0.207286258451592
HAVCR2	0.967925445150076	1	0.952373359835035	0.964895335319259	0.988929708888844	0.931010066183094	0.965877762443237	0.853713586917272	0.929655277102867	0.988447357811661	0.992224929806272	0.889531509891128	0.973742370584626	0.992486758127646	0.990487195202373	0.987013933322374	0.950819354354966	0.962303808081511	0.95086521959973	0.970044138795175	0.888634000896163	0.895078541210478	0.933428035461909	0.985998418883939	0.951204435661558	0.94945853532891	0.898560275929187	0.982641216694286	0.835237250535098	0.990721984698604	0.974840563930865	0.980013799314754	0.857407213003006	0.965007191666833	0.934430076297186	0.987589624210903	0.98158843704016	0.962630682526052	0.990497162469292	0.862097193107489	0.920842168423808	0.984491756778413	0.904679445015806	0.916123572719189	0.888371245156336	0.670098743418048	0.920596885451491	0.461363779437361	0.947210943613114	0.860258460925125	0.952925252259729	0.919665108261665	0.680206040338372	0.763124567516437	0.961696461481623	0.715442969810484	0.955067956037373	0.975326434509673	0.621393532706749	0.935147599324559	0.945793922911931	0.901389540355398	0.925926641871446	0.845466953527619	0.833294904056032	0.857811154039396	0.809528754277247	0.509331367215042	0.874123032425697	0.712875620694854	0.926842732746018	0.867698319246852	0.521563881646905	0.584150993451981	0.787441449222215	0.784288055444086	0.992963660867592	0.643373410534228	0.937663072624991	0.541266697962295	0.814221228403183	0.339405252459033	0.983446262981957	0.532457244394743	0.765049021317021	0.325617336286091	0.299214234289709	0.759499111191805	0.506190954655902	0.745730498722837	0.941528097306965	0.808639539146665	0.739007529360742	0.709709110174614	-0.200662234002074	0.237439149101037	-0.0201876665826744	-0.0250623763909765	-0.0842756778679315	0.192310018122508
CD163	0.92416301019827	0.952373359835035	1	0.915190071769152	0.977003467431751	0.921322135446309	0.995524359862401	0.825704737664116	0.883519322407183	0.969381941637981	0.942617626558555	0.854425833882626	0.988741243182493	0.978876015924272	0.965509094382162	0.97009853965458	0.965436900722314	0.904852905451084	0.995561951427601	0.971283481121654	0.768333981950733	0.805516144734519	0.945960850413708	0.928129540082429	0.994132774408432	0.984686142315822	0.968560100050236	0.933343340048399	0.779180214044249	0.950711704164906	0.986001395735521	0.987267614826472	0.865605487580468	0.976062124217504	0.899281001869339	0.964641874119605	0.945527499572498	0.993395296147212	0.975270366042957	0.871422623526333	0.926979561220019	0.93493309826234	0.885405605158578	0.956059764871171	0.952372982669779	0.650415603858806	0.969316175257667	0.471025365995724	0.99255876214652	0.931601945760857	0.945729062986206	0.856107521362195	0.819090136681571	0.743632727766511	0.915865951199289	0.796421214797378	0.940465864282873	0.981366063521583	0.717317324970954	0.802866482265711	0.979732537583549	0.953391941282408	0.94696416660012	0.858217004989155	0.935867259443863	0.905906124530375	0.762687610478179	0.620766260239317	0.828375580283619	0.864374534455158	0.969194948981342	0.921848637761038	0.702608990877177	0.774280779011378	0.875442964138127	0.854263879333982	0.942986911572914	0.777687941554728	0.932106301702358	0.620913181763367	0.813649663622871	0.480447014280262	0.921127732143677	0.657725529061175	0.791770773732835	0.507242503871569	0.356973554146631	0.828279516934096	0.612044635655779	0.843553380111984	0.964172571045696	0.794733697683456	0.767130623060269	0.759154927593784	-0.148374189421265	0.387070658456848	0.0881577715842509	0.138295265412495	0.0984156501421988	0.309622679463558
C5AR1	0.981520147774828	0.964895335319259	0.915190071769152	1	0.948249315035384	0.941156078862691	0.917614678891882	0.914920961180606	0.964340763547258	0.973689016784581	0.984611670226728	0.938279621071022	0.943736622017411	0.955990216208292	0.963073204143328	0.94174917021287	0.954769053517232	0.988843103474963	0.907985332992743	0.952843554458424	0.950511042896806	0.951116342121724	0.91251258697272	0.965359914812093	0.912727560993624	0.908755534271783	0.868862968322016	0.958752242383377	0.884727277199696	0.935425724484764	0.940227438228181	0.95267529528442	0.856224600458645	0.903087121070907	0.956120032157506	0.946713008393354	0.91704889302479	0.911566211055643	0.970189885973125	0.89180718713052	0.936140134428263	0.982678493553778	0.87298308531653	0.942369981312367	0.839068671021806	0.702147713100753	0.941098233703107	0.507981357765909	0.927922840038562	0.846873376019776	0.87735157482396	0.852081185859071	0.649385121938342	0.797924028621069	0.91057088796187	0.657754318484486	0.976484726310266	0.952537578167886	0.707561567059301	0.908207170897135	0.94124200766962	0.87742657869473	0.902083619994809	0.8602038405657	0.822803883784363	0.872699152368883	0.840390406020964	0.585749685785213	0.922683298278653	0.686999110794508	0.919518642561357	0.892186190369878	0.468431720863666	0.551057968473688	0.765823923529055	0.818946965586001	0.95664624164455	0.62280708382302	0.922828430944825	0.571495592161811	0.835770829148754	0.348050088779674	0.936906472255886	0.540280284140792	0.805541484481096	0.325378886871377	0.30281280769717	0.780261967425469	0.539698447364113	0.768600030103671	0.927799310126042	0.856492235736918	0.787981842681136	0.734705971475469	-0.150635416917871	0.223979185587578	0.00178832041729892	-0.0180255277037081	-0.109432577955793	0.21612728803488
ITGB2	0.952305391838692	0.988929708888844	0.977003467431751	0.948249315035384	1	0.947857145871764	0.988756158393442	0.858040162058954	0.920294034064101	0.982377508897736	0.977095217255308	0.867788399771922	0.989010852577512	0.994303331571989	0.994970931502167	0.986838244163472	0.964549488845669	0.944924490194116	0.977017024338999	0.989156093285122	0.840118133453931	0.865633708755173	0.960737437106996	0.982921993018761	0.970696755540154	0.961606854079485	0.922173112868613	0.982739816333393	0.836946721364404	0.987945108322327	0.993794690314505	0.989647739008547	0.883755685392985	0.990885749417466	0.93257617202794	0.987992550840181	0.986309578335196	0.982614485088288	0.99428069372636	0.883864084363224	0.938409561908457	0.969856579441108	0.878090814861992	0.934472570729265	0.935459861691036	0.698305206911155	0.937387393840495	0.50298557341553	0.963537184560805	0.907199100908548	0.958284461693536	0.882946929997231	0.757441008415027	0.782459792245574	0.969141605166835	0.770706563381846	0.954507700385002	0.977817095415864	0.673156588007769	0.898043864060661	0.963250740279277	0.933344171086405	0.938303375022575	0.875180063745585	0.888062071471996	0.899053087031201	0.827120267959936	0.564567279618278	0.868003000458075	0.750303162687863	0.946311469703281	0.882873782782689	0.608086417995658	0.661004458209384	0.845130987193812	0.823783366148861	0.981010807816056	0.71748235658168	0.958805191213553	0.571020289608637	0.837704919307484	0.423913608522109	0.979772752068903	0.611539494635227	0.802296205314133	0.412636517604864	0.361525792295167	0.813063045835463	0.561396328621523	0.794612672973204	0.967226069965045	0.829956565431221	0.779417601656328	0.750338608742163	-0.14633591370394	0.328276592644804	0.0579535377525668	0.0675027297610135	0.00967601586236189	0.277980660161402
ABCA1	0.945946149791199	0.931010066183094	0.921322135446309	0.941156078862691	0.947857145871764	1	0.929286556287178	0.962737605118343	0.970314951889328	0.92681730584243	0.939585196223808	0.852145117997908	0.955765304861955	0.929269012275468	0.953676481052495	0.904761010158497	0.965289947504846	0.956466450095625	0.911688827741909	0.977918540796955	0.874137827981241	0.915164444374508	0.982321363260535	0.950360120259402	0.904768384682449	0.873023960438891	0.833766095700722	0.954393400116358	0.942064252293661	0.906279039997547	0.953097469667502	0.932041276128425	0.961180810654929	0.930405233421231	0.968054542676505	0.920223557310139	0.927048835117208	0.912725600087264	0.947996542120726	0.973070273206383	0.988809267846949	0.943814298094821	0.763081937517724	0.956824135966529	0.933005199008509	0.850345798229452	0.931829136231019	0.680623254226593	0.909160812107322	0.945509297591675	0.849394762472801	0.747589507742511	0.813563035384822	0.922187906124503	0.946681973610141	0.801153160350215	0.970367079953326	0.92412903434046	0.819077673971736	0.865156025569047	0.946492433093427	0.952735335121725	0.858993397682976	0.962122449647498	0.922549676804007	0.957984059118295	0.888439472804501	0.722494193604098	0.934706625711792	0.675100809465198	0.946840583788765	0.891314135528626	0.658845121299036	0.682228396064597	0.891624776739303	0.928627642296895	0.923835793019376	0.80603095173619	0.974250688343662	0.690146497222959	0.946225106507918	0.59709271521111	0.932095648840034	0.753857162043592	0.936370163678607	0.554368654038309	0.564505736109739	0.921652065219793	0.703468152068636	0.888113457919598	0.974091913831922	0.941538027213077	0.894866996931643	0.820202233749165	0.0537054601629071	0.487345550368616	0.292401040788445	0.249044877826547	0.153694814272597	0.459943645590533
SIGLEC10	0.925424123900571	0.965877762443237	0.995524359862401	0.917614678891882	0.988756158393442	0.929286556287178	1	0.826584711882396	0.886245942730272	0.972808653366261	0.951038106886005	0.846173423234016	0.991524919576596	0.986207006501546	0.976231503712156	0.980800849141226	0.963009299215338	0.909926612003792	0.994484218835157	0.978546488885643	0.775862797540896	0.81013529187312	0.953864487228726	0.94822634605228	0.991150020612829	0.980383606090636	0.957515310578868	0.949641493255667	0.79328836219812	0.966948464659366	0.99193796968062	0.988280037502085	0.8762859054738	0.989127518127443	0.901513508083043	0.975141311994713	0.967475156382411	0.995973608704118	0.982370587406241	0.870348943687154	0.929584451910599	0.94326611127584	0.882363207565958	0.941562385800191	0.957276284367003	0.671290588283985	0.952212270702204	0.483562194770431	0.982548780597025	0.925230155667871	0.961864126072006	0.870198128509226	0.806445512426886	0.753512111617258	0.939986922213743	0.798047893673713	0.938059787498262	0.978222654420837	0.690178541145651	0.833266333130895	0.971523421195245	0.950807269780981	0.949713254637705	0.863134649558435	0.922914685932169	0.899740565950417	0.785439438018871	0.601518530778622	0.828133189548678	0.830359557378989	0.959524431907758	0.907431594363428	0.683943202278384	0.746219102557447	0.87103096703282	0.838735980823337	0.956035656901162	0.768010894352165	0.944749517728388	0.611286487043233	0.818375081937097	0.470940167015416	0.945146254833416	0.649570242749744	0.795593976550765	0.48746653946478	0.370861116489298	0.824348392626476	0.588923529563544	0.826335956853677	0.967042329677762	0.804164726301834	0.771090993427559	0.765264392318129	-0.138737510565393	0.380891787672781	0.0870314078000689	0.128895709888655	0.0793046651861081	0.309762497010079
CD44	0.927280202703927	0.853713586917272	0.825704737664116	0.914920961180606	0.858040162058954	0.962737605118343	0.826584711882396	1	0.979079173734713	0.852692609909287	0.885309343179115	0.853966087233033	0.87652098331705	0.842381548922063	0.880511140242085	0.802594073946722	0.91396376376099	0.945284433817866	0.805912827060454	0.90794520921272	0.908086394965118	0.95318287088119	0.924493498218961	0.883196316423882	0.800588961325845	0.763605628608315	0.723121539333234	0.895394314533756	0.971856562526268	0.810437250729038	0.865004062315039	0.853780115237615	0.925736506406223	0.821204661427608	0.966307953058065	0.829936382592142	0.821161418872461	0.802983003531089	0.870136254142141	0.979824338859046	0.961768533295281	0.885885060322541	0.683077902527503	0.932751639059164	0.837797557518722	0.851031603726961	0.886223604167499	0.748520401632328	0.826742177470277	0.901504271741351	0.711644237787475	0.634555193808345	0.749411990018733	0.945614806109945	0.862933037562181	0.713306836191095	0.94973973646211	0.844323071705301	0.867949779471155	0.825256392810341	0.88144008289067	0.881843720597445	0.739082222007282	0.951725381397644	0.862667009946165	0.932451851789115	0.880999831375909	0.732772907570934	0.969933527900093	0.570273132514575	0.897066768530467	0.834594850231896	0.557740580206438	0.590333389793725	0.838950813726209	0.93324529129611	0.845363366650379	0.753801135002929	0.926016835909979	0.640061230256369	0.951680543983527	0.572057353913584	0.851053245376263	0.732137696993617	0.930661127055291	0.507650235451111	0.546307326815162	0.909623651758962	0.715264775261972	0.877530039244945	0.920196043266822	0.957038727123363	0.904409135179909	0.773372349095982	0.129498695559931	0.472852821600823	0.315674059234189	0.271869330440784	0.136829434369469	0.477092995188448
LAMP1	0.97636160363605	0.929655277102867	0.883519322407183	0.964340763547258	0.920294034064101	0.970314951889328	0.886245942730272	0.979079173734713	1	0.924795570146348	0.949968974137811	0.893171316620222	0.92606466729264	0.914976558674808	0.942129017481458	0.881193465691581	0.95174373154417	0.9869484191071	0.869329176730987	0.946801962472059	0.950022748804123	0.97939591921715	0.942717152103247	0.940359959281437	0.863299657472266	0.840958772400939	0.787266810624228	0.952037426966607	0.942779732623656	0.893274106980621	0.920205263770691	0.917557848235507	0.909977447874251	0.882266324994897	0.990316059857896	0.905201784989521	0.893416880517851	0.869675830615531	0.930885075110836	0.964785783083801	0.964857021851168	0.950682470471628	0.777344716607417	0.950573229779734	0.856830888614895	0.780119296339232	0.921359086460077	0.639684740675732	0.88469302047534	0.900627983250262	0.803727428892436	0.75204328170727	0.725971897644521	0.899793571968504	0.912569537000849	0.723510337117951	0.980076885200748	0.914261754238888	0.793794513067486	0.90330352168645	0.925616038719094	0.904305900072425	0.814251059107577	0.927358330769916	0.859400269927862	0.928826835791886	0.860207864484664	0.646879929451947	0.977480662095201	0.618889108322516	0.933986557333085	0.857553804391619	0.535542270095149	0.580760806674792	0.829111000654671	0.902818543379896	0.9235413110787	0.707270669898012	0.942930170279415	0.590150797530105	0.925849426009368	0.474714126825798	0.920276306475949	0.658039833830379	0.877995071219912	0.430299529704541	0.434170492583303	0.865253872452142	0.661410009340319	0.833611492497705	0.9427617551241	0.918443106460535	0.846281596257125	0.747216689256076	-0.0295047254310723	0.375259817647304	0.172966556245861	0.140649394191992	0.0458554487826706	0.361898985333439
PTPRC	0.962941657668461	0.988447357811661	0.969381941637981	0.973689016784581	0.982377508897736	0.92681730584243	0.972808653366261	0.852692609909287	0.924795570146348	1	0.989460465152999	0.901145399575917	0.978529536325587	0.992926615912745	0.982559417483571	0.987081019707879	0.965865980665358	0.957560629222715	0.968838925933976	0.969705196752552	0.877016803631725	0.881369770330296	0.928835019395688	0.969873469892944	0.972471715842545	0.971509807944008	0.936382867664911	0.962919607642623	0.814210533949754	0.975339500651717	0.976484699501614	0.987734839704279	0.856414410758765	0.956254752354631	0.923978528324744	0.98586267761549	0.961625440397599	0.973684462880475	0.992992578911084	0.86096336816017	0.926643461777372	0.985143315154305	0.916937169124666	0.939750917753499	0.890456509533214	0.656403074921311	0.954351256362766	0.447818521368562	0.970978920701837	0.869554501447538	0.954935585352151	0.913989957483678	0.7053115411835	0.750469218079384	0.937637510475437	0.725440060952635	0.961171013291754	0.988196880968462	0.655507863998853	0.89551801198862	0.964218848099771	0.91569208626273	0.954602654587416	0.843023971862184	0.859701127495044	0.867643698148733	0.798569818205225	0.566054999601492	0.860776534678837	0.781990476477425	0.948255857462057	0.915822991704665	0.557009240348652	0.641802096761008	0.798819159893891	0.804461059308986	0.980602917755095	0.668762987890362	0.93345637660532	0.584775709469523	0.806606500810418	0.365754047594462	0.958139125606402	0.55250051183347	0.774942016573616	0.373498147260511	0.287782871659676	0.775188260706319	0.531233479801263	0.769431421711486	0.948694815748722	0.811968967095127	0.755071669151506	0.749594644037576	-0.196435931062088	0.253894985646793	-0.0153550480257189	0.000917695343635734	-0.0607587203888008	0.21592969003993
