""	ITGA4	CD44	CLEC2D	GPR171	LRP10	CXCR4	CRTAM	PTGER2	TNFRSF1B	PTGDR	CD2	ADRB2	RPSA	TNFRSF14	ITGB1	NCL	FAS	CD96	CD3D	TIGIT	JAML	ADCY7	SLC16A1	CD3G	ITGA1	NOTCH1	PDCD1	PTPRA	SIRPG	S1PR4	CD47	ACTR2	TFRC	CD69	BMPR1A	LDLR	DPP4	ERAP1	CD46	CD247	F2R	KLRD1	SORL1	VSIR	CCR5	JMJD6	EPOR	CXCR3	CD4	TRADD	PLXND1	CD226	TMED5	CCR4	TNFRSF13C	CD74	CXCR6	KLRC1	CD8B	CD8A	STX4	LAMP1	CADM1	CD82	TSPAN5	APLP2	TNFRSF1A	HAVCR2	PTGER4	HLA.DPB1	ATP5F1B	TSPAN14	SIGIRR	KLRB1	PTPRZ1	SMAP1	LAG3	PTPRC	PILRB	CD81	KLRK1	CANX	C1QBP
ITGA4	1	0.606722739991306	0.6101435319802	0.454992154991635	0.147341597970092	0.675222162425058	0.606636115212578	0.3372483968364	0.697855357836942	0.440812828251889	0.652706325366839	0.890728595487772	0.645104305499664	0.8890514065061	0.883767502896962	0.935196736149458	0.720177888291397	-0.261540395712516	0.702055139340006	0.870921382990857	0.728087741572848	0.816288729333301	0.554246713686361	0.67869249271497	0.530463114208723	0.765110292744101	0.522575169554715	0.787141380359273	0.892292857456654	0.284383560765979	0.902912349830176	0.805628858643322	0.652004764232221	0.576567492933556	0.818864607435397	0.856896806530232	0.466697826820642	0.876888290215703	0.658906893598934	0.681087944427129	0.96655006822875	0.555557509938719	0.0698300941195812	-0.153669715751403	0.0788619265817166	0.733373330066703	0.512560547634402	0.945277832460845	0.00650067350639474	0.298405791858293	-0.085734818292219	0.908056432457495	0.545949238623569	0.899820325136085	-0.405642807206946	-0.26998006267365	0.875709732092096	0.86222122616751	0.664952700849923	0.606735900193301	0.405019024608354	0.26120670577864	0.189645085734518	0.270809255033366	0.769969206143646	0.384965077941326	-0.407848413698109	0.16752654704337	0.814327160870255	-0.350498299424961	0.681323191393564	0.572385377440314	0.735132773900943	0.667982256693539	0.475852589539798	0.693059911935211	0.418017908706017	0.844153266104025	0.610850687579869	0.123295148416115	0.765673996921473	0.497828496009431	0.442546235042105
CD44	0.606722739991306	1	0.974040525519504	0.981572529997496	0.842275161926611	0.944345146285128	-0.107080178837401	0.947645998878032	0.509262856990537	0.940858260575285	0.970088697597389	0.478183174784448	0.893256041360562	0.700769702293619	0.735863137688884	0.552811245977712	0.886645555673146	-0.115029305289934	0.973330378063053	0.586575360262987	0.981783650981104	0.547735619675445	0.915175374593843	0.989793231523859	0.986192110761625	0.775013725020484	0.556220426780332	0.698718580601163	0.885683749575436	0.878464054260022	0.737769916951433	0.532470639394001	0.388357973638739	0.995052466241421	0.793474954234238	0.839207757357195	0.9786006061247	0.464697919999129	0.356555144745064	0.927175698991551	0.713694981794938	0.986042084434147	-0.194074734098011	-0.675254756244308	0.223796416545131	0.781808941665677	0.977835426304157	0.769465869729808	0.112744417577251	0.798899454393896	-0.63684241867519	0.861345881301653	0.58932401652388	0.877306885983364	-0.772685936672263	-0.591093736736468	0.897163674866702	0.893151465292551	0.972036722981532	0.895333100418627	0.576946160071466	-0.113441595342658	-0.544915226224874	-0.318891733488651	0.927255631227674	-0.286144835976448	-0.12757304875691	-0.0433445863890904	0.93840290051101	-0.493834126873854	0.190106383800147	0.206222238580136	0.966718188269896	0.957946212373436	-0.217267562542953	0.41141753823768	0.889720092870725	0.832295465549029	0.61184208316234	-0.432614610121446	0.962035696334651	-0.234697768807423	0.208912419931689
CLEC2D	0.6101435319802	0.974040525519504	1	0.951262124871256	0.833598227886409	0.954207460787903	0.00503889470230141	0.930505875879903	0.564340561191048	0.932067116848582	0.992668552017088	0.44315700400913	0.918339680474405	0.687901093452892	0.684029193677868	0.553599460797138	0.801504306085349	0.0334262119955984	0.989875707478651	0.671684028301682	0.951015814988232	0.446667108858089	0.885635614167182	0.985214775675404	0.952724967101003	0.803287968278971	0.707189660879779	0.676206088743099	0.868415694335877	0.917327775971772	0.695547109546715	0.529872907703274	0.289304507539778	0.974285294660192	0.791834695627562	0.78955559201922	0.927551404948591	0.448789426449197	0.233214987553684	0.961952806098934	0.736538001788221	0.969107683567362	-0.193232581546744	-0.684707084608234	0.410954221149434	0.742076545327314	0.929545620486648	0.780545077966525	0.238198850887548	0.869939957258643	-0.627668825757923	0.845023672358543	0.511370399205876	0.852996084783717	-0.65200558470515	-0.528675669345481	0.865815999365854	0.848382655568006	0.981043831643708	0.964144226040439	0.443316269522194	-0.0223774007438632	-0.520102834039298	-0.363511408403161	0.917268712282636	-0.273310920499549	-0.0769936056198574	-0.128704776408206	0.896872458144145	-0.418342049890967	0.203369374490251	0.109862036840489	0.96048177159714	0.899334263243863	-0.22951031771965	0.435133222286124	0.937143651991576	0.869821728878418	0.540998815487736	-0.404881745924697	0.972314607748429	-0.217799693845637	0.291662545489933
GPR171	0.454992154991635	0.981572529997496	0.951262124871256	1	0.89695676253605	0.895396174381625	-0.243909241032422	0.986088383343265	0.379588093905243	0.941291525288241	0.939628961587849	0.312844954759873	0.853682953981536	0.565077777280642	0.613751387282899	0.399689205797328	0.828763333101091	-0.0513226982122718	0.93290735849515	0.470434207758886	0.934329861596909	0.41992877239147	0.880360522962685	0.957163938697863	0.981490879512277	0.686150322046177	0.501260503290497	0.585720700700773	0.790626947279782	0.908461338371471	0.607396503784596	0.393505650466359	0.260118692356247	0.982435512542007	0.682292418728262	0.741520098925023	0.989952663886751	0.309940035989732	0.230630525185349	0.893560527627636	0.584752174587366	0.972046580852615	-0.269469692494611	-0.757675999351015	0.226851508833212	0.685127578203288	0.972985040562789	0.657086291582796	0.104663766832533	0.812900351173782	-0.719039997928821	0.763363027088804	0.500856659406128	0.776053190011869	-0.786010725558333	-0.632901919318502	0.805014126478159	0.800690887556919	0.930086123662729	0.868044788661893	0.529086796587401	-0.223831484085064	-0.654035546147366	-0.421511351067935	0.869118671806247	-0.423580149402652	-0.0765210495325654	-0.132067405873532	0.868125472290964	-0.50078884783975	0.0382778455539855	0.0678812087501666	0.909968760444442	0.927879590235336	-0.349798280035295	0.278452221043499	0.88832132354066	0.730593817166041	0.520609644404044	-0.53945396520771	0.905351661231978	-0.393127537335746	0.131384450782445
LRP10	0.147341597970092	0.842275161926611	0.833598227886409	0.89695676253605	1	0.77547436294446	-0.436536689277372	0.931404311629717	0.33734100249452	0.900685719040931	0.811420440357724	0.0955514124198741	0.762306388451651	0.377120031141416	0.381917040083855	0.14397480439594	0.605173180921313	0.103870969973585	0.770794861692877	0.213377089807105	0.735313129695227	0.135022621480492	0.772468491466414	0.793053578633344	0.855287360165706	0.492600437633381	0.503248738612476	0.412067966828659	0.535463798682494	0.926663479613197	0.367888004056726	0.253332354571144	0.0770042497410035	0.859853932175222	0.505884140828111	0.475439415126249	0.882862609117328	0.0588424075883855	0.0275876653053919	0.732719649312389	0.293584740216859	0.863893445557217	-0.0958120393192053	-0.622894467062199	0.320015626634824	0.515940598294938	0.854553777052778	0.357067789390867	0.324221823875893	0.901763767248603	-0.608967122741523	0.48277743511696	0.45576502994814	0.516587113950183	-0.55568455482354	-0.373203469231701	0.546726618132561	0.549738060155261	0.796961983742331	0.762951927178662	0.417155430353607	-0.0913842188390816	-0.754319292726068	-0.514135385028138	0.640116099393751	-0.503791095504972	0.225965388012683	-0.0980697132754518	0.632373033625783	-0.181932611157	-0.0804699103454987	-0.0495596223000461	0.748527786921597	0.72571830345525	-0.579371829246952	0.189265176803997	0.865121570126392	0.573377450569075	0.379470841243909	-0.444244255600802	0.717207280010873	-0.512366080304624	0.0849128354551938
CXCR4	0.675222162425058	0.944345146285128	0.954207460787903	0.895396174381625	0.77547436294446	1	0.0809179799003609	0.850391220469739	0.726779292917924	0.903229010868592	0.952660485600837	0.556997882517968	0.938988327121545	0.737020062280228	0.817300587617246	0.684399304568413	0.867098641637841	-0.0189119932840417	0.955583789956202	0.689697092002476	0.946813648479593	0.5608386872447	0.886239331445229	0.95827176142103	0.917928192339273	0.857759432329804	0.643321203342464	0.747087301431521	0.912300512584447	0.829634321375091	0.756297313216273	0.716573466514695	0.473012841407754	0.95568432345777	0.82460107376153	0.840023669752863	0.89877906976529	0.569718395675173	0.407361228076029	0.929218431537679	0.793049147550709	0.942031657419056	0.045975361662085	-0.488376043179472	0.389731997089236	0.849245710120509	0.914462592350984	0.822652665416768	0.346291021865321	0.797702810485058	-0.417400631833306	0.867840393522891	0.672414035846212	0.870758989443229	-0.56785051687209	-0.345008060516746	0.883012712496407	0.890518520928372	0.957362025156806	0.914890391518318	0.487403365951733	0.152803673067433	-0.382897718763288	-0.188102619328377	0.925074060188289	-0.0452414077140421	0.0330435268583697	0.062901397591555	0.931157031082325	-0.286495846192609	0.391191820001873	0.320502741819084	0.93898596304252	0.912687879177792	-0.130495920290607	0.56873184353478	0.874931151252776	0.938213471561971	0.548112404832275	-0.179322822062171	0.951382684503659	-0.0363851957254366	0.448105433009877
CRTAM	0.606636115212578	-0.107080178837401	0.00503889470230141	-0.243909241032422	-0.436536689277372	0.0809179799003609	1	-0.330566559823705	0.424796864168003	-0.266482188140465	0.0721239060659263	0.420626787482164	0.189262406572713	0.301660167556911	0.309089118176282	0.55808590873692	-0.0113750620196823	0.302291586124637	0.0972268275446524	0.711848065138834	0.020202626536243	0.191256979149827	-0.167737205737225	0.027620312901234	-0.191904887657692	0.267312256833828	0.464839270930419	0.188080961377067	0.299036531913252	-0.280225621853369	0.249440672463345	0.463251299669531	0.101670406074431	-0.105617607657071	0.159132892504043	0.156179819335044	-0.270571192384934	0.444699792138205	0.13013870719207	0.200824694802329	0.544855911568982	-0.150510989233299	0.231554053806333	0.229799081158206	0.354877668008344	0.042636799544092	-0.262806328876348	0.510712715824319	0.25886994297008	-0.147411655930862	0.378743570909208	0.31284702157194	-0.101936830787657	0.240945877087042	0.377611071982663	0.276820297453136	0.191972784836707	0.177309266552	0.00108955335802955	0.179071438830113	-0.399457728325649	0.477524284217755	0.577904255549715	0.518720667767909	0.152919674461763	0.606483012905115	-0.115911770018944	-0.151751104864295	0.131094373751243	0.207530607164166	0.558716571717608	0.170374717167496	0.0376406272055815	-0.0144226002607535	0.513922863959211	0.378746357058878	-0.128961742180407	0.370270202990102	-0.130403292356828	0.51498433457752	0.150722229607125	0.656402883492716	0.590270405206326
PTGER2	0.3372483968364	0.947645998878032	0.930505875879903	0.986088383343265	0.931404311629717	0.850391220469739	-0.330566559823705	1	0.315760145966485	0.932765454784043	0.908545789748322	0.200846323965338	0.808734324613932	0.481553291113743	0.497226853915822	0.284344238693376	0.752734521985999	0.00318526031501559	0.893572966704464	0.393082124528282	0.876580528261136	0.30812409550925	0.847998205505225	0.915542435290579	0.953567197907863	0.612720751789906	0.498256352835745	0.513353394865158	0.699412565993931	0.940997946715303	0.508271170563393	0.285259534447259	0.158463584691738	0.950326248295555	0.617003931558156	0.651807598723243	0.966538750385734	0.202680253791161	0.111561965480214	0.851367836645351	0.481023423787154	0.945803704867015	-0.311893393334729	-0.786181795323543	0.270127081759793	0.611721200090814	0.947059617314113	0.555809124394684	0.120786619776422	0.848257431834444	-0.772092955847874	0.676224213302276	0.438086015219634	0.691569525548452	-0.746074257996943	-0.628666352962685	0.722954123983759	0.710166340213004	0.895329256643043	0.847369573879103	0.488051000674479	-0.261266024133011	-0.721308431395186	-0.532835317896464	0.799592869290475	-0.51722427091007	-0.0360313394213808	-0.167722787763765	0.786740161800637	-0.472335794494651	-0.0687995817073959	-0.0416328387510926	0.864786451502755	0.862897787850244	-0.441362380925343	0.194120086196245	0.899441877012308	0.658551638747306	0.468193614289371	-0.598812604721495	0.850818892018539	-0.48986163809862	0.0739972309030254
TNFRSF1B	0.697855357836942	0.509262856990537	0.564340561191048	0.379588093905243	0.33734100249452	0.726779292917924	0.424796864168003	0.315760145966485	1	0.526872353456692	0.577041094767019	0.763536508098589	0.657409006589417	0.75964805092404	0.789293888762288	0.821925309966231	0.548193801940688	-0.0643853652977603	0.587454096960922	0.656368923111996	0.567155394636561	0.567802051100287	0.569486101758671	0.558746112244298	0.459077291816235	0.730660329502033	0.597992501458815	0.751136683962702	0.684641936330647	0.408319902554884	0.700602494041377	0.91422130265961	0.656793976749979	0.518735365031153	0.768800652754204	0.65761063595178	0.399135638818204	0.768360282256208	0.53181739197166	0.56124535412119	0.740526430259455	0.524256072953793	0.573300684497937	0.165289236754207	0.377282103312254	0.775182426066517	0.46926063983396	0.672734345129146	0.558167399990389	0.530217667616701	0.212517597068188	0.652612206568962	0.738716899228336	0.650595839315742	-0.0229942423000631	0.260883786740225	0.639507455986287	0.650146033441073	0.618009747128521	0.584722683033132	0.314520463183076	0.729798162692355	0.147599945925798	0.187582023522082	0.610575419884474	0.529996792648536	0.191460548787104	0.450914530019076	0.623608865725575	0.190353813711463	0.784218290296984	0.623160524741469	0.630699403964133	0.475405007989734	0.251556231744902	0.81614296258871	0.513494173315952	0.855719691743814	0.452003771942053	0.452539642120111	0.622010032967976	0.53583971060115	0.696400839633162
PTGDR	0.440812828251889	0.940858260575285	0.932067116848582	0.941291525288241	0.900685719040931	0.903229010868592	-0.266482188140465	0.932765454784043	0.526872353456692	1	0.901382560394227	0.402271322345016	0.811257722248457	0.624326490919591	0.635635958309599	0.437987998886125	0.774801672028372	-0.124467096719266	0.893222363018982	0.412111575823276	0.896089943854332	0.417771316030808	0.931806480177958	0.909387448246684	0.950846308725871	0.757235075167422	0.537965251431191	0.669801014017178	0.75575426842444	0.944411395121606	0.647656094770503	0.478392717955996	0.359442453071479	0.944692920368218	0.783771398288809	0.734808120962384	0.945562369960114	0.394621345249395	0.275000215656971	0.82881699337071	0.568719396293167	0.97435475853308	-0.114778733018063	-0.59527781036606	0.281702042406841	0.790103847530583	0.959247499150826	0.597229047360758	0.200070199819691	0.865128550373392	-0.585359684852343	0.706218091796286	0.617430643272748	0.755074989921566	-0.687595259215389	-0.476775573972968	0.778044842155183	0.788123309221757	0.949196010503828	0.852470469524212	0.579938240726903	0.0030544066084438	-0.595425495951657	-0.40459110697263	0.838515638747226	-0.312194057816605	0.035651483369867	0.0577668953415345	0.819847040826068	-0.39210008034737	0.160396689643986	0.183624302329932	0.902881103132404	0.841752720322383	-0.295225358204305	0.414055624238202	0.933476085661251	0.763759061186758	0.607454801334364	-0.416671320476026	0.881179090386818	-0.27440019052163	0.162986311088274
