""	TREM2	C3AR1	SORL1	CD74	LRP1	ITGAX	ABCA1	CD4	CD81	CD33	ITGB2	ITGAV	ITGAM	TNFRSF1B	AXL	RHBDF2	ADCY7	LAIR1	HAVCR2	TMIGD3	PLXDC2	SLC1A5	ADORA3	KCNQ3	MERTK	SORT1	GPNMB	LPP	TLR2	P2RY12	TNFRSF1A	PTPRC	C1QBP	TLR4	C5AR1	LILRB1	CD46	ITGB1	ADRB2	INSR	PLAUR	PILRA	PLXNB2	IL6R	TLR7	FPR1	TLR1	CXCR4	LILRA4	ENG	CD47	CD9	TSPAN14	NCSTN	CD69	PTPRA	CANX	SIRPA	APLP2	SMAP1
TREM2	1	0.48610939143839	0.830823086762372	0.881690601162696	0.58917313646179	0.412281817842746	0.341215410553646	0.817641729204477	0.834313177710725	0.62800585944957	0.877949727900802	0.329873076023428	0.606099124196149	0.600651059602524	0.68388955238085	0.607626860915134	0.57141194454132	0.679528403698007	0.630019088380313	0.631898052421368	0.748048739936633	0.817989203177881	0.623503673637844	0.700183078176477	0.525160609247818	0.657556898864186	0.846480485552009	0.527418317362778	0.652794668991355	0.818558426740467	0.658786344230725	0.776566742598727	0.821445359816065	0.371348006520599	0.0454252230199627	0.608389104779905	0.602582648276563	0.637054747998687	0.276274101229608	0.353381868625072	0.215124545515848	0.727538798688696	0.358113267646622	0.657509021048137	0.609272513365619	0.233092099154223	0.574912610407472	0.199311683501691	0.865699277820263	0.715277222287489	0.305285499732182	0.854246167455817	0.583005187987233	0.581145814667503	0.148361894041557	0.479070928937102	0.838325845726573	0.591793001605718	0.703702324463895	0.507644620135182
C3AR1	0.48610939143839	1	0.709993633712033	0.658586157033215	0.49611277158932	0.477388130392772	0.380900659136379	0.641007479365763	0.564475233382956	0.760629737026652	0.618074838740664	0.596364568928899	0.457414456848221	0.613795860593639	0.776600848283279	0.773623423867957	0.612781854849519	0.775342907476766	0.624191304101001	0.475586217812013	0.679353340744252	0.643221866655809	0.639521847503594	0.653719689202465	0.599659647133602	0.692309261208672	0.628276946051516	0.653809097216872	0.637885897823597	0.683084487769152	0.411666048103345	0.802279920580004	0.415741603581522	0.492863874704463	0.247532915671429	0.802764427722955	0.684073088605731	0.719142424803078	0.705703289277696	0.8186003197727	0.368696305924613	0.524970627065108	0.302529324943659	0.731683927253951	0.624262407204771	0.392605906231977	0.585704010690925	0.329002551922157	0.528439963463181	0.420804780347451	0.711898079140633	0.356895917263135	0.852424204461003	0.537358979327127	0.361011472055056	0.842202653110365	0.690059507794445	0.684268636410439	0.695311310241744	0.449339338517632
SORL1	0.830823086762372	0.709993633712033	1	0.950515326834477	0.723770227014465	0.604112508890127	0.617896135914955	0.917639052600873	0.93055428896654	0.747376220744229	0.917437591353478	0.517500676649688	0.671020705808105	0.77446462982379	0.902127184950339	0.903108888839029	0.780815903908937	0.877778420154426	0.867028270378615	0.741988521297942	0.931303937820139	0.843211270478843	0.763308468608749	0.758200418318106	0.75736939170068	0.85348711505849	0.863866475520143	0.812559867261985	0.829946073964785	0.719855970294862	0.718729901432691	0.9274885818233	0.787931936254496	0.620757931774699	0.342000600569242	0.853079631539103	0.624907391452424	0.853652166487919	0.549994627730193	0.706646594251916	0.385847538892452	0.852108813211387	0.545503217169593	0.847625361105032	0.75239119238314	0.483794404223604	0.507616153169861	0.474276465572845	0.884826206089424	0.803653585219012	0.67990065704508	0.697584717402567	0.810288141473223	0.750885103622326	0.412630567724995	0.682916876854032	0.90894850484368	0.721956775835131	0.890798046195709	0.566353890057561
CD74	0.881690601162696	0.658586157033215	0.950515326834477	1	0.822576320991025	0.688394465363399	0.649603894941312	0.950943050860701	0.974436592744588	0.727318971718459	0.95414291235355	0.575976008483743	0.797098921559655	0.834176104553824	0.917019421508267	0.826076059649558	0.803085536443607	0.879142485589179	0.876258654191474	0.825134104250732	0.92021495664815	0.882396728270689	0.856342047768293	0.75616864369208	0.750501056524442	0.821730807374371	0.887485781755036	0.757874895144806	0.777875447150367	0.731766303574214	0.749764675891397	0.921218271501358	0.780608993827108	0.693949780592783	0.420697370523826	0.735857024275214	0.502369092744075	0.842495788511952	0.524102812336085	0.660236843975575	0.496814424693918	0.886633749068828	0.64285469578252	0.872162465861663	0.829752182955383	0.599816670707812	0.422330217324926	0.563333539227954	0.88241360318988	0.817334164395516	0.625316628838292	0.835225958144887	0.815718319812863	0.740096132990086	0.511790226703485	0.693812917103262	0.886515905064211	0.584100678252076	0.912772759519948	0.687681608382177
LRP1	0.58917313646179	0.49611277158932	0.723770227014465	0.822576320991025	1	0.901506889906226	0.877672233037205	0.850421507432877	0.863691046558763	0.554408185932733	0.719304360396521	0.829123320762927	0.823909075035336	0.92629643880471	0.85602263042443	0.67760266750402	0.744906883318716	0.819685364393527	0.816153710810645	0.8827591235986	0.768445423654809	0.753000518995526	0.867341470149319	0.448498726320985	0.699606061908878	0.535850250681298	0.697770705929284	0.68961011430828	0.529987601494161	0.394429302300209	0.603089218653615	0.779786681990104	0.544120727692363	0.866051641997264	0.762468820710777	0.511946728546679	0.144307500718083	0.730178266310699	0.591151788212646	0.622260798475391	0.824443914375033	0.738770493500703	0.818221394779164	0.744286027445393	0.774368239769589	0.803543026842818	0.105684055431018	0.856449026366427	0.63052672227846	0.666120266022799	0.67292301634282	0.768873282187063	0.711430236709079	0.645252885881959	0.822997441652222	0.601463781028762	0.582986674024882	0.171695939167037	0.882750224330457	0.787421674651119
ITGAX	0.412281817842746	0.477388130392772	0.604112508890127	0.688394465363399	0.901506889906226	1	0.888668774147221	0.729027526474791	0.737794420386785	0.499686120986297	0.550851146835234	0.886347767683979	0.754584495332377	0.892834472998292	0.767689628865151	0.650434648132672	0.755421712131865	0.7472729406135	0.757820005887531	0.738310597058739	0.725328653734057	0.696711487123104	0.837575656234325	0.303276315025324	0.670714118446196	0.510363362197312	0.623871230632034	0.695653133332042	0.513339970379342	0.193141129380656	0.455878960286352	0.712268064140402	0.361139340015014	0.909005761595152	0.844902288606128	0.420457936591552	0.114151831091697	0.684463151318133	0.652427050122425	0.585986715063599	0.890731164893111	0.632662283640479	0.829912480588631	0.725702932768208	0.671959312739209	0.799318670016582	-0.00371411637315938	0.890927484229826	0.461778118376513	0.606899887624883	0.666277578759243	0.620125680925004	0.731699882418229	0.535918811374094	0.886121379986186	0.549801226515615	0.475255459385085	0.0792546479889011	0.814071850396158	0.830030456893378
ABCA1	0.341215410553646	0.380900659136379	0.617896135914955	0.649603894941312	0.877672233037205	0.888668774147221	1	0.713536643010286	0.738394493012588	0.417923859027731	0.53543185640999	0.774751507532532	0.728196309472939	0.865006915685548	0.737700294164234	0.662410723105307	0.66524445943627	0.676277522147988	0.745196058515941	0.766628410481199	0.680288074987768	0.598607997577823	0.733459980089639	0.259031347588356	0.595118039017729	0.455534612904457	0.554192872400282	0.655547996094287	0.537952439341771	0.108337161285673	0.457700265967751	0.654672195215785	0.408667307943744	0.843006392858874	0.838667548345582	0.49622314902553	0.0111966013442201	0.587138021888995	0.540737096564975	0.574685265629004	0.777751426940481	0.618774255896669	0.766004254664971	0.638997638994982	0.567431108836121	0.798219553790469	-0.080560860208934	0.914785397037971	0.48112993558282	0.586366404791028	0.649275679461347	0.535283270052035	0.57716733777339	0.595383702092895	0.864500152253812	0.463143532936149	0.47546072753353	0.128961784840107	0.749101222920588	0.649250409772176
CD4	0.817641729204477	0.641007479365763	0.917639052600873	0.950943050860701	0.850421507432877	0.729027526474791	0.713536643010286	1	0.943646669576838	0.670008197040358	0.863505664102379	0.650484882222041	0.794648603872845	0.895002218878141	0.903144266311838	0.803498542603858	0.724212459374836	0.835578089890715	0.840829132801168	0.814943677132431	0.893802825702982	0.897581415292556	0.862059682079575	0.745951852410347	0.721191776492419	0.753387254162112	0.880619902640323	0.709556826141065	0.671478996846829	0.623590145446974	0.712198401516481	0.894093290582708	0.657334351091326	0.758801387847113	0.491064133725304	0.688318984790566	0.425240834704038	0.77288584092347	0.610770912665062	0.668698505473919	0.55583291780203	0.833007897330441	0.613882393004569	0.829566504802519	0.758747127064379	0.614683268291879	0.407060799627435	0.632347686832346	0.814839237602045	0.73074792640177	0.644906379821194	0.771718804811261	0.79514010924093	0.752937605576143	0.583880124840185	0.680978657070955	0.807613239049468	0.48448393381784	0.898491294049276	0.689416421455876
CD81	0.834313177710725	0.564475233382956	0.93055428896654	0.974436592744588	0.863691046558763	0.737794420386785	0.738394493012588	0.943646669576838	1	0.700487772298569	0.920341688420672	0.604642294308715	0.821299558216908	0.84584399985111	0.901557409043692	0.801357192572926	0.782238777516904	0.851280207257512	0.875412747690171	0.847968115355851	0.901187504801706	0.869889333476987	0.846047628532788	0.681229802328895	0.723821570897977	0.787073619845116	0.871823027240098	0.774147371465217	0.750384965774181	0.633284058148706	0.703773055462911	0.884229349786102	0.758337437659273	0.729426907001451	0.511989969460256	0.694824117381662	0.396880791570995	0.817176986890783	0.48924376684559	0.622680249464869	0.564751777065346	0.888672492002014	0.69469315552249	0.838285950498536	0.795255632581309	0.625522425785313	0.303219068145669	0.637223526495993	0.871597613158986	0.835201745119147	0.615921083821649	0.832733372937222	0.76777739362326	0.707545301198846	0.568198906620029	0.606808515828087	0.835856673240372	0.502184128674853	0.918002790158005	0.684670809355588
CD33	0.62800585944957	0.760629737026652	0.747376220744229	0.727318971718459	0.554408185932733	0.499686120986297	0.417923859027731	0.670008197040358	0.700487772298569	1	0.733438996708011	0.572493879673719	0.659348930791484	0.55212596331903	0.756520889910744	0.675513481868426	0.504219436914868	0.764697481043556	0.571857920987617	0.481089462049688	0.637192860702013	0.728072227522756	0.597883216476336	0.620106529112349	0.476477717337568	0.651985436755319	0.732068541236193	0.58601235450639	0.71443857043573	0.68533718779204	0.227458470579367	0.759895770492617	0.530289959120289	0.429697569226487	0.295054325712412	0.680652163070999	0.615574344922095	0.61669068663964	0.470852448828032	0.705353539931096	0.444997898466105	0.504308241720292	0.410869145450663	0.75043418538669	0.582884003416629	0.308844109579604	0.455438943487966	0.315360047517804	0.570815141411948	0.563175365245519	0.487235945138324	0.52222628639936	0.727457792236004	0.432733447730258	0.331839865524233	0.632845966089119	0.782417317828045	0.590341347899751	0.737376808340196	0.318360766440161
