""	SDC3	LRP4	GPR37L1	EGFR	GPR37	CD9	LRP6	LRP1	CHL1	AR	EDNRB	C1QBP	F3	MRC2	TNFRSF21	FZD3	ITGB8	ADGRV1	NRCAM	TNFRSF19	MET	INSR	CADM1	TNFRSF1A	SDC2	THY1	TNFRSF12A	RAMP1	CAV1	CANX	NGFR	ITGA3	HRH1	ERBB2	CD44	NOTCH1	SORT1	TYRO3	CD46	CD82	LPP	CNR1	DDR1	TSPAN12	IGF1R	CELSR2	FGFR1	PDGFRA	ABCA1	CD47	NRP1	PLXNB1	ADORA1	F2R	FZD7	SCARB1	VANGL2	ITGAV	CHRM3	ACKR3	CD81	FZD5	TSPAN5	PTK7	APLP2	ITGA6	MCAM	PTPRZ1	ANTXR1	PTPRA	ADGRE5	PILRB	CD99L2	KCND2	MCFD2	RAMP2	FZD1	PDGFRB	IGF2R	RYK	KCNJ10	SDC4	ITGA10	PLXNB2	NOTCH3	MTTP	NOTCH2	GPC1	NT5E	ITGA2	ITGB1	FGFR2	IL17RC	NCSTN	APLP1	SLC16A1	TFRC	SLC16A7	SMAP1	AXL	LIFR	TNFRSF10B	PLAUR	AMFR	NRP2	RXRA	CD63	RACK1	SIRPA	LRP10	TSPAN14	TMIGD3	JMJD6	GPNMB	SORL1	LAMP1	CD68	CXCR4	RPSA	HLA.DPB1	PLXDC2	ITGB2	CD74	TREM2	CLEC2D	NCL
SDC3	1	0.643358341133234	0.651965588478519	0.508800265586838	0.703271895868608	0.80092104082847	0.671332061290942	0.771413824319831	0.759530747974848	0.673362037033774	0.516571604456956	0.761712959069164	0.783516335678551	0.838752686512642	0.799501985968047	0.745211912745126	0.830101002102818	0.688787018373657	0.833487836622892	0.634104053738004	0.688329877898657	0.54438963025018	0.780274799610678	0.782244530253963	0.644827336030883	0.429750292137336	0.816622203068123	0.837098130581069	0.555748637591054	0.792103534586361	0.435024325315111	0.817283154870325	0.728393489439239	0.83504675177137	0.757921953431191	0.676543557714525	0.662667973489167	0.785781869262217	0.653334490572043	0.402609605756572	0.600823370165346	0.817620347766336	0.771800283142312	0.633877786037359	0.738565754597517	0.846387470176086	0.848720552021394	0.601802715981482	0.771255731066864	0.605746484460544	0.657273408542442	0.604040214814551	0.79622478408566	0.597266410326657	0.7746304389715	0.605067713507846	0.67485995889176	0.75041921317738	0.648432017968485	0.788469228893754	0.676086724891671	0.839320470845011	0.751474470208587	0.706128956410041	0.770266170198967	0.65722810208209	0.4349822023543	0.715559751317435	0.743875697136339	0.804229959691864	0.75638444318105	0.714131312855984	0.84148081920689	0.352721169202091	0.648426499257961	0.588899666890453	0.731619636841277	0.416650957250998	0.466421838909739	0.600578202052775	0.320098426050557	0.724331021282656	0.463654968354882	0.624668060019325	0.437072844512416	0.669785619738751	0.645688384787195	0.815458385141214	0.739501446164282	0.65127082763823	0.531200975401232	0.506837565177522	0.637336140069356	0.651043149177082	0.794292083948061	0.767158006220165	0.147596224742032	0.740199328667517	0.732495535777332	0.416851618848473	0.670079142458008	0.659602306901431	0.208269227445491	0.721373354275592	0.70103507498126	0.543742592673755	0.765902090798937	0.682784208274937	0.635192329402106	0.68261483201801	0.387979902148169	0.065238393732782	0.402301866503874	0.141053534972691	0.296886925243236	0.689488376110884	0.20681607651396	0.1711776867409	0.717042526359791	0.166336743882041	0.105393390089291	0.12484431672372	0.110721377322117	0.0574589624622177	0.449585148356992	0.760776911967802
LRP4	0.643358341133234	1	0.814506055784768	0.703920636987986	0.589964344299792	0.542404667687841	0.623183702892736	0.733328465230218	0.749470658073307	0.762398742264968	0.634636033889943	0.538125419225245	0.643271950961914	0.689174494303718	0.703085342615049	0.791052069516079	0.781854449234076	0.7281446578967	0.542694439324555	0.458598364637385	0.514975540551197	0.498612203560121	0.706585926738946	0.589094030724467	0.561612149326001	0.347111727668341	0.548078846324092	0.596224358239296	0.191845909070473	0.595422801269217	0.498579764408762	0.418118309558806	0.615889352488486	0.618583112512805	0.465171703368401	0.665222493929441	0.534787379251491	0.593939212305065	0.408242788711657	0.352729587105312	0.480461242862911	0.533970233555747	0.86261954269998	0.59337010368916	0.487511932350487	0.675368670742782	0.663324137981152	0.550396687288719	0.608101836025995	0.420473366046814	0.3383555776113	0.66859386402902	0.75525451663791	0.482260875741668	0.59919111523647	0.371325597769993	0.762411084959722	0.642800119774876	0.600694245833902	0.768399028881459	0.541938263662723	0.692191153372635	0.552164206565946	0.672816197827504	0.561916363414587	0.565946743314069	0.407221697136748	0.804273738737883	0.684346484321988	0.686263321526006	0.609151006515727	0.652448979830287	0.531787893925054	0.480797332664291	0.490891609444606	0.307330125413736	0.557823596961288	0.308397141319405	0.348220642818578	0.625242118373013	0.640354894981077	0.316402837930271	0.430543941512226	0.545041441010159	0.367097174347046	0.675494549549278	0.537232835867388	0.519717481777855	0.41879782767948	0.422160418758023	0.328549747093781	0.692700914395411	0.647907246307274	0.566719567770508	0.534180609564993	0.470996506459609	0.269037917198784	0.724051500271008	0.615979574827713	0.274868720302481	0.640168806649641	0.424323535249686	0.12545827156873	0.463585845409839	0.4226012396277	0.491076954648715	0.513370160552993	0.429503661306035	0.5528608375708	0.478276270690857	0.345450836744887	0.0450563957052997	0.373858445367182	0.0976269661060427	0.257663747799811	0.56751582284093	0.0881026639891328	0.123796119396904	0.447216239887187	0.111670906422965	0.0996469190516464	0.101386872919156	0.110122236876278	0.0164598696075909	0.509553541601531	0.577697143170124
GPR37L1	0.651965588478519	0.814506055784768	1	0.83164015596397	0.612768494897749	0.587092910378075	0.646566669874357	0.716917043160664	0.713524133457157	0.751833516392447	0.714405216192031	0.534500945450053	0.651430367791675	0.61552084103672	0.676385752664676	0.783682829027785	0.815885128160562	0.735488366196878	0.530608121045536	0.586585872632054	0.401481941371824	0.520405054107146	0.735408873377443	0.550653644702097	0.506483111084391	0.352788189762445	0.445806802249833	0.577962661011498	0.149442556877322	0.592969370042243	0.596380520762041	0.370567569527474	0.580518869386127	0.592643366933009	0.360183461287443	0.668518086968757	0.564040993263153	0.675657854726859	0.425739478655015	0.392784022611156	0.469498057011736	0.552282047722293	0.820568079143669	0.681014311003882	0.510333813138031	0.735795349970951	0.701314752878185	0.623563788726216	0.589362642745237	0.481344980943866	0.292183555627218	0.708109265364281	0.670689043865787	0.498252073951948	0.557280849631484	0.299206411078183	0.64921196250347	0.586004064605836	0.560996859751514	0.68618437628151	0.526809371614992	0.700538263465746	0.586073468656059	0.570664882871756	0.588453170784389	0.592399079858898	0.414798553093108	0.831660370149988	0.670217886240042	0.674932313210795	0.634169964039533	0.69079022620706	0.526211740746026	0.555784998769516	0.507995566178507	0.307166268473325	0.558118107743244	0.34957512423768	0.395808933176036	0.558751101169904	0.685187014760051	0.252626432146341	0.452558340524633	0.493636696463007	0.38002011747105	0.607241944672174	0.588400550745068	0.499267756223637	0.432687354095896	0.475075547068057	0.346878696108815	0.606069058664005	0.591905407174911	0.540866469036402	0.585256038023646	0.501310187302508	0.100961327339805	0.627494385815482	0.613272426435148	0.185683342598299	0.583722423222395	0.379738769230584	0.0170985537827807	0.451379921120502	0.421222309942687	0.516926343978713	0.509659875304805	0.413589071083533	0.525186860890284	0.477156495923583	0.298951652319423	-0.0388558385061681	0.323158912668109	0.0282136405299665	0.149803760075435	0.567779595772485	0.0269019532805399	-0.0547271076030743	0.443872279881605	-0.0280145308621885	0.0291024504714027	0.00452932316497573	-0.0309869163473393	-0.0529224020876581	0.447247695893184	0.577772780501783
EGFR	0.508800265586838	0.703920636987986	0.83164015596397	1	0.611614469902199	0.629711659859261	0.719558584957204	0.646254083447891	0.627101164799008	0.698996668825559	0.611612969558343	0.562491400737054	0.574704019612878	0.469776587036104	0.623397653946337	0.778196962452477	0.745461827556136	0.49337381932991	0.468651094387807	0.58364389411364	0.345946997245281	0.614458906274706	0.732505507167739	0.531997979036103	0.4963199227766	0.436666334473042	0.379966725733256	0.50660900288595	0.221717042622617	0.613900900697159	0.494663322015121	0.332935111239488	0.55387183297476	0.452073184850548	0.295647601297295	0.621208278269112	0.578225496143733	0.603356922020499	0.487971571853607	0.628196921505579	0.514849379587476	0.493511075831015	0.747283955132581	0.669050572021365	0.525748828234865	0.619406382264273	0.685769054504572	0.753781944559923	0.574687062468633	0.570891549286574	0.336977125773617	0.585824634397313	0.505131069534256	0.573690948575995	0.467445777900272	0.304633715596486	0.552991961206124	0.556996311256905	0.543285990009447	0.546676422714176	0.504737481603164	0.501284135577482	0.605434842757126	0.562057129280993	0.596843994801192	0.538999562800997	0.461833099274351	0.780198061965537	0.683128957948638	0.659155341228986	0.697819972879996	0.651930300997793	0.456063694145154	0.6022839999326	0.567045051624722	0.408791415531716	0.435616210741108	0.378991662090122	0.471838337730557	0.518612519000969	0.56765155441389	0.254768981493782	0.49119732048576	0.477016480016549	0.431055319940357	0.543367198688958	0.649199873332877	0.420522826998752	0.474748482874259	0.527521160740957	0.422799060459891	0.514006487928248	0.61626226315432	0.514505293719456	0.581528687205542	0.563688730364401	0.081981888451788	0.598148195804294	0.660058765117006	0.21561882923304	0.466468210503099	0.415978677397065	0.00889561479743396	0.462848474359898	0.429490243071951	0.565777457158213	0.524701826267645	0.453947142665961	0.5265925871767	0.504581316943561	0.353598934989762	0.0185154370023978	0.410225088048232	0.0485963706350692	0.15575153341592	0.597436038909499	0.0658970061242391	0.0139241378131493	0.468080832792639	0.0362537916316641	0.0735582328950281	0.0459184959121133	0.0198314034508585	-0.0185566911869201	0.509359931319761	0.596400497304691
GPR37	0.703271895868608	0.589964344299792	0.612768494897749	0.611614469902199	1	0.729742539478082	0.896806426437982	0.92096392874756	0.927373232868724	0.822635196632074	0.312136179390229	0.845708036589686	0.877798377543605	0.850210145314556	0.885989121266993	0.87995605203636	0.818792021637136	0.555092664218929	0.892882842634102	0.799395937392842	0.749076165185552	0.858289772827526	0.914816437051868	0.904546575401311	0.859839942992415	0.729803869365321	0.727474787288048	0.750816091432712	0.640504392581279	0.890944636052493	0.0952722736038237	0.731254284169378	0.949364952511381	0.703345433770983	0.772194262455478	0.74643480559851	0.932446983776002	0.745693770588896	0.901375637121055	0.545028192787929	0.916545698693933	0.904155052123752	0.863512461117429	0.414477942238572	0.918870210037945	0.831233195851601	0.841060142580554	0.668950257021293	0.906205263155399	0.841660416853489	0.76920297423449	0.721388583854279	0.666443517114612	0.899929894073421	0.833174059172802	0.761854556067854	0.793986277342501	0.878987649785634	0.862722411113176	0.692062113873894	0.885877967090152	0.713339585698202	0.91643456637077	0.864336784808407	0.912826880862743	0.873458634244458	0.750704522849639	0.869398985788653	0.830758018007494	0.932793925708263	0.808007716045132	0.890056536768059	0.849355563949278	0.279487329848942	0.920298106427495	0.739182562385128	0.673783181156793	0.763517833275533	0.856402780667518	0.86789049303671	0.333796750286727	0.583020484036773	0.798128963078343	0.907900788386266	0.768409601986188	0.812444257818437	0.868669140561435	0.828858350997273	0.630142152029533	0.908852819413827	0.816402413308154	0.694001839080198	0.861728148745671	0.931452958892098	0.928348394878832	0.684732971481179	0.395356345635551	0.902442037791534	0.841076811770622	0.660755861358157	0.787993434556575	0.832138628830855	0.343465701754936	0.845414123327878	0.894935982959716	0.853251000278307	0.862485097998633	0.794427546767474	0.918028283386189	0.926209980925068	0.749452604880873	0.289475666022075	0.607665991897656	0.321090833270997	0.534463084787569	0.93377219388198	0.371352170260271	0.342168542856133	0.745431484703777	0.34038059843708	0.370114103553975	0.366446236127137	0.326242359019761	0.230356213361654	0.601317491190184	0.85227518501046
CD9	0.80092104082847	0.542404667687841	0.587092910378075	0.629711659859261	0.729742539478082	1	0.768762689810055	0.735566279155938	0.765203609525974	0.744090957906708	0.538168302672523	0.923163843404843	0.774300372912491	0.728705973203284	0.869674338491249	0.788089888110404	0.829113699250347	0.46573714831525	0.803606914369353	0.601502373260106	0.719730334163699	0.720590722457978	0.859346182721339	0.868650706958055	0.739890303891305	0.626518704358607	0.850783332170224	0.921932297950575	0.678352862532433	0.909220907014915	0.396809752384939	0.788454824367072	0.769620827726462	0.717086783374782	0.754806385050602	0.720870727834315	0.750784152772783	0.791916243900906	0.775357477454764	0.615660174212608	0.717221579602745	0.762966332647215	0.737188604023902	0.766209584869499	0.769870964641524	0.748213548470894	0.91136014555204	0.788877623941962	0.831309706599779	0.835521747554964	0.751706768343139	0.564449609270432	0.736749314133668	0.752887208748112	0.700111353442308	0.64177348063093	0.597136735844888	0.839268581246573	0.635759733724352	0.725877041333065	0.720647765745189	0.715006923411077	0.838789579675675	0.692825471034486	0.885283492532861	0.687272019009517	0.577232259645949	0.730495250854012	0.813777040336794	0.875633500837653	0.915226224663665	0.763701667401085	0.836735030436397	0.481246868052721	0.791574629902439	0.740517951621174	0.579395080086697	0.50779761284928	0.589541720733362	0.650262419677695	0.291227139941468	0.759862857996918	0.574768901567062	0.679644488283288	0.587555868076024	0.657566759022581	0.76920350306193	0.774429390310046	0.832755008803034	0.763616132764538	0.697887731306911	0.416242827077041	0.769988358564834	0.652413481946313	0.844237063189988	0.889895865128459	0.189052526236553	0.78938646362001	0.921618451775195	0.581319342026413	0.573847796670646	0.749597560420021	0.24079721996673	0.799459209781106	0.745305771512945	0.594072640038269	0.899975728009827	0.866684833578158	0.689875193356558	0.787868933281357	0.504246496992516	0.194314810263976	0.612440362475427	0.216109265136798	0.364043566517514	0.81274820653649	0.303852862273113	0.348781564465448	0.899069906726537	0.317432201232241	0.218005026041109	0.234152858595363	0.236479471893451	0.149478206263282	0.63502221037284	0.915599238400208
LRP6	0.671332061290942	0.623183702892736	0.646566669874357	0.719558584957204	0.896806426437982	0.768762689810055	1	0.845826042043449	0.846048002958693	0.757581043101646	0.338812537914326	0.816042854752805	0.821557720623724	0.780718204317962	0.841647250719364	0.861487808152406	0.818659241178011	0.513334937099646	0.80605693612748	0.751529092645227	0.725814711603839	0.864144186276674	0.905625262583683	0.833954580515262	0.812519039111026	0.739258634988802	0.668358706758945	0.707078881728747	0.625489958277069	0.870923594028703	0.159464441710101	0.673268143546817	0.8546397048952	0.621916646701034	0.684957075556674	0.75211664436587	0.919502951839122	0.78625217140186	0.84405933600665	0.685524857082634	0.878163032239912	0.82398973040205	0.825437362533946	0.501095475319236	0.876608055903617	0.766209742110743	0.814126101530211	0.786670774243757	0.868294674084446	0.870379433374763	0.748288408397337	0.645566902553354	0.577539207378191	0.873223603379995	0.715669077883916	0.749320327479403	0.696482424585522	0.833584815791886	0.816433609607004	0.634010991935568	0.824812565394629	0.675165783758709	0.875125059515935	0.793970576685727	0.888687794399377	0.799476345701642	0.744103336434161	0.821138635164928	0.838465482508359	0.897992736224517	0.859476422853689	0.854715063097406	0.804070105103493	0.309017047590256	0.884578834738217	0.720882801659093	0.587616026357697	0.748439078934148	0.843916452862601	0.801813601299054	0.329702196564766	0.583392731050875	0.755734153680455	0.847574821843933	0.765924025333029	0.73325689889292	0.863250582294491	0.738495740776712	0.636712504218885	0.873176867996339	0.806499460676857	0.588816922222401	0.837943251599755	0.874619952265421	0.897104509461799	0.731880758549803	0.370258656478388	0.827679610850705	0.850024317500826	0.639263593739293	0.688040452263857	0.7925214191111	0.302742521833624	0.805909485917643	0.831190292678966	0.817769008421347	0.824636712083605	0.78560893771658	0.856468541575475	0.878780052531771	0.701227223442516	0.261110623254436	0.633340197709672	0.290253042436957	0.480299813265898	0.887580012799569	0.337013495103145	0.322859531573358	0.748230138853772	0.316214488395276	0.340740808182294	0.329224474631585	0.298466145413093	0.200234439048548	0.598304619456835	0.839996354129177
LRP1	0.771413824319831	0.733328465230218	0.716917043160664	0.646254083447891	0.92096392874756	0.735566279155938	0.845826042043449	1	0.953399993587008	0.854520608917388	0.496720410525968	0.79404976239621	0.922430647444895	0.905802652376624	0.901365270998468	0.909052129697664	0.901069837763191	0.713760806738772	0.882850968039081	0.802635491372143	0.757038340471334	0.772612007866857	0.902155933100464	0.887123420869444	0.802269763288608	0.648501467270131	0.7153137516371	0.793397582079064	0.561681115505485	0.87487908532249	0.179008141487888	0.72376987083128	0.895429303647587	0.763084793316045	0.754324540103225	0.821526341601062	0.891634575334708	0.816252996706454	0.821215902544923	0.429671293179976	0.847617284061885	0.861139669684314	0.926483040767296	0.515107851577853	0.848606121361938	0.866839088989879	0.875343209431813	0.653654920110402	0.928090132721683	0.767702175373968	0.710253665725542	0.819631795809455	0.763156251441883	0.824824127633737	0.870228622095945	0.764533421158419	0.836849140431964	0.901719833460629	0.860639309544432	0.80824558040478	0.903764718998778	0.823282545459088	0.866332238229454	0.867430424284943	0.876342740838002	0.905457039307909	0.691914860668126	0.910872625162389	0.859609329847717	0.939074093620684	0.796876275589516	0.893703445089803	0.840087655414963	0.350986483254493	0.850404100083848	0.647406067027585	0.76394592777504	0.703396456571427	0.791282690190496	0.847079408355762	0.485048488757852	0.558687184429277	0.781066897621327	0.892006955579384	0.697861371678079	0.826396824954853	0.845575999254389	0.828309053599054	0.623971559992351	0.81260503296137	0.73361275472155	0.76586504875086	0.852496736916319	0.889895561135803	0.897365681317616	0.678087088175654	0.488477783777222	0.89077679619898	0.834488727217314	0.650440202976655	0.800840379965318	0.792198511167553	0.425351801847493	0.790186324661101	0.851352618560284	0.789146931559356	0.812415521595735	0.763269144568561	0.895045823153438	0.851301500773642	0.730683173462994	0.344173672307567	0.641440666729438	0.408696553166619	0.57366650321028	0.89635878779203	0.43014341670958	0.340853107007538	0.719887793776613	0.362898117819415	0.427599511548218	0.415185481536422	0.37418287688432	0.305474467507276	0.615669903355981	0.823644540003745
CHL1	0.759530747974848	0.749470658073307	0.713524133457157	0.627101164799008	0.927373232868724	0.765203609525974	0.846048002958693	0.953399993587008	1	0.910336891739259	0.48722040136167	0.839308109687954	0.904937052350967	0.893754258597675	0.93734010317994	0.93611125764922	0.923749514454603	0.693341837137173	0.889256837918771	0.741337613415009	0.825989733225141	0.777632297405749	0.928919426525942	0.908565255565036	0.823865514368811	0.635174750453782	0.793072933457856	0.831129670534669	0.55579683439617	0.892251187702436	0.213155363642364	0.720877383504692	0.929493717314839	0.791968008960975	0.761610502291442	0.821927817549203	0.873484393793697	0.80207738082033	0.82285019033579	0.401542700396334	0.841802488150056	0.854529924678997	0.950985814336225	0.558608473467386	0.848957642534461	0.844578146701741	0.890786950277304	0.68382885981662	0.898875168389888	0.773434670855853	0.693053283023484	0.790309505444092	0.814820750562942	0.81919128716807	0.866381339215895	0.719886338458426	0.888347870918877	0.910270122902393	0.889175909897799	0.855837766496327	0.844336608519481	0.821193837224514	0.87031988398132	0.892842756097947	0.889742305251346	0.860801747577178	0.671487032266398	0.937611038628066	0.841455172778504	0.957195824117075	0.79976670970902	0.896516128990946	0.859761476950428	0.394379456185026	0.861357307935768	0.654018932499986	0.73020230673148	0.650029088046805	0.728896796612284	0.872181079190605	0.494109019934618	0.586335912575795	0.764798673109665	0.888404623224079	0.667151302589245	0.85291756374803	0.839211396938591	0.83263617953782	0.621056745584702	0.810211597678182	0.708445163192002	0.759063827069442	0.89794449005707	0.876437192262625	0.884406553675255	0.718483029383248	0.392533435858064	0.947146871124554	0.854043607967657	0.61667160525384	0.827720278475202	0.781453843001799	0.299539183804196	0.818080543012679	0.813412659928975	0.740526929606931	0.845866435347056	0.764773062488355	0.875962388490917	0.851274190676708	0.671018113622373	0.232650935453355	0.591474627198955	0.277351601240124	0.478958907426001	0.893149732226641	0.307803043157336	0.308842320133872	0.742382847720308	0.287267309557412	0.310990151833661	0.309369545991175	0.282419153153233	0.178916747554568	0.640412430113506	0.864148549012356
AR	0.673362037033774	0.762398742264968	0.751833516392447	0.698996668825559	0.822635196632074	0.744090957906708	0.757581043101646	0.854520608917388	0.910336891739259	1	0.523849257883606	0.793145781761845	0.801374386187715	0.777409209578251	0.895544746579352	0.891343298308596	0.863911533533664	0.638477025654425	0.755251358582684	0.590968700085164	0.677319681704724	0.73523777125019	0.88740724929617	0.831415881571363	0.765599028899496	0.599195816369835	0.726417649888083	0.784306306661661	0.46102952629631	0.828873259577781	0.364344012541774	0.622352188828786	0.842720374010343	0.737050672929203	0.664553194446674	0.818832013559266	0.784669814436085	0.675663969202838	0.72320953976699	0.462920648105473	0.747658781078779	0.700362051301874	0.909241723571001	0.632722225785503	0.716699283700059	0.780126586352042	0.856269961851008	0.696139015157077	0.814422185683286	0.730762226403477	0.593995057977984	0.749500666964044	0.800621415168456	0.759183141387309	0.767224409718665	0.565869265151603	0.848914146909985	0.836797814457044	0.714624874021066	0.837482655319698	0.756535828459727	0.727664911414154	0.799790109243049	0.81221087102285	0.819149161047785	0.776084305279365	0.652546550670777	0.895989229038703	0.799572631351002	0.88685933474932	0.770378734078392	0.838526690149899	0.741858908669598	0.525507970018241	0.765916514583566	0.612567321244281	0.643914715229457	0.530424214482143	0.586699164649537	0.805142986195355	0.540671005292784	0.510548656030254	0.646759609174386	0.773000522973488	0.609097469368892	0.797751213746429	0.769367155339022	0.728894873787293	0.594933319734483	0.72035748188532	0.625710698356408	0.687528366880736	0.840678805705021	0.735012418477549	0.754619924568848	0.651014751093188	0.340852836115766	0.896167761874915	0.84133827378366	0.530457004034514	0.756618743621103	0.67668687289311	0.236014099808532	0.732548521683539	0.67297100375891	0.665635809985463	0.776118753100213	0.706724946403255	0.769998596696148	0.75495445175808	0.581738659594048	0.194851418466611	0.580892224013304	0.220752868646325	0.41181341170933	0.815233457304733	0.25621428236292	0.283660934182304	0.701238198464273	0.260382178278331	0.258362399648156	0.257172380918277	0.245914486060215	0.142661133891325	0.680698482628076	0.827552239635217
