""	TREM2	PLXDC2	C3AR1	CD4	SORL1	CCR1	HAVCR2	PTPRC	ITGAX	ITGAM	TMIGD3	LRP1	ADRB2	ITGB2	LAIR1	SLC1A5	CD81	ABCA1	HLA.DPB1	CD68	CD33	CD47	CD46	C1QBP	TLR4	MRC2	ADORA3	IL6R	CD74	P2RY12	AXL	PTGER4	TNFRSF1B	NOTCH1	PLAUR	NOTCH2	TLR1	SCARB1	SORT1	CD163	FPR1	TNFRSF12A	TNFRSF1A	TLR6	LILRA4	MERTK	ST14	SEMA4C	GPNMB	LILRB1	VSIR	ITGB1	CD180	CANX	TLR2	CD40	ALOX5	C5AR1	RHBDF2	CD226	CXCR4	TLR7	SPN	IL18BP	TFRC	ADCY7	ITGB5	ENG	SELL	TSPAN14	RIPK1	SIGLEC1	UNC5B	TNFRSF10B	TNFRSF10D	KCNQ3	TNFRSF13C	SMAD3	ITGA5	KCNQ1	LPP	SIGIRR	PLXNB2	SIRPA	TREM1	ITGAV	TRPM2	ITGA6	STAB1	RYR1	PDE1B	INSR	IGF2R	CD300LF	PECAM1	CD9	STX3	FPR3	ATP5F1B	P2RY6	ITGAL	NCSTN	PILRA	CD82	RYK	STX4	TRADD	PLD2	RXRA	JMJD6	SMAP1	CD63	CD69	APLP2	RACK1	PLXNA1	MCFD2	LAMP1	TNFRSF14	ADGRE5	SDC3	LRP10	RPSA	PTPRA	CADM1	PILRB	SLC16A1	AMFR	CLEC2D
TREM2	1	0.92807958822313	0.932644114425478	0.858154954617151	0.862150681333963	0.740296045627362	0.956661582739398	0.81483764255854	0.867862188635209	0.797428125067007	0.862624874912949	0.780367043388962	0.721160206027959	0.751316847257203	0.789109807054613	0.855908403507448	0.951264315788237	0.520717593965986	0.91372972374215	0.747726096918992	0.901024725776226	0.878153371513401	0.787022553136624	0.906857689025211	0.779413006721625	0.500689626390967	0.928757724940229	0.816672832060905	0.924741022713408	0.475582297871857	0.941706429865367	0.787366439841344	0.809856854852002	0.790813419837754	0.412888301416876	0.671468968199329	0.616181231512495	0.719063888838724	0.904753683927208	0.641164997369462	0.713256250065081	0.694345637146277	0.879908998897269	0.725997046741694	0.93834353067952	0.826617608718673	0.452026515401397	0.596551978777977	0.564019678967183	0.812981551580222	0.646442105819259	0.829770325051011	0.759597668587865	0.911137521178244	0.789571833926567	0.729507842322835	0.870019772952378	0.49769984906796	0.70812773790954	0.725382087250832	0.918334597749437	0.902765266050188	0.74830774486907	0.886046088176348	0.725635088518289	0.813331649747625	0.669421270295546	0.774363501390071	0.69851453597974	0.863755849243302	0.897342146709245	0.578123142524331	0.87681694146482	0.635377171052426	0.555495086737418	0.7264282018388	0.131395879616299	0.768666722244773	0.847968479029493	0.862577382685937	0.777406144831963	0.898363948843922	0.82838005744689	0.899143276377361	0.696527839537106	0.898793952323231	0.838894638785972	0.809431771324324	0.661140717415043	0.527351010635212	0.662406133949423	0.65733647617462	0.489916783290087	0.736750344274677	0.660794877138859	0.859944557681936	0.873520095667844	0.752472401446418	0.909815452180195	0.385976645132647	0.802223522268979	0.795581441542763	0.855414644554977	0.370835993459261	0.829212398641742	0.871498046622468	0.857120781344547	0.721996007902885	0.616414341907452	0.693224326795329	0.82820342249715	0.812242315948186	0.725472713716789	0.505113417324245	0.906605034618814	0.764931923479352	0.881193189234314	0.649576336686388	0.655852568789493	0.78172826361534	0.361303307588528	0.93024876461239	0.922818896282362	0.820854218899505	0.76092468050225	0.609295208515172	0.778435711860578	0.668232049830735	0.7091568162292
PLXDC2	0.92807958822313	1	0.919398845034202	0.886835352869092	0.952551830538667	0.785069996963575	0.96557507428726	0.913181628886718	0.962689019907471	0.861714113097436	0.811361827912501	0.815402610030906	0.773678018617269	0.753886099634586	0.801325771427163	0.868388326513414	0.888239127516298	0.55424471480637	0.867521740631454	0.709933450497808	0.886142497388071	0.873839823301779	0.851805117255281	0.81968913103717	0.832162708769151	0.650163725770828	0.959151626707558	0.941490605489292	0.953095863140533	0.557471656589901	0.927329648760821	0.900308393255134	0.910808582601138	0.890714479507956	0.445722506058836	0.685988995305618	0.715359417909683	0.76295073282136	0.96518736955604	0.657425632148203	0.754631253469663	0.647893473867607	0.892690582985565	0.888505455128233	0.861024217838822	0.929087111813795	0.458106468425346	0.752386947473166	0.551919884824812	0.920371842185006	0.683198804200077	0.845180981483951	0.802951200011293	0.937171158657227	0.922925972591477	0.632239934120274	0.918558306114966	0.570783969721062	0.841816109097026	0.793271138046445	0.923055519546119	0.92643357463821	0.766207331761975	0.850916785685894	0.811235862773641	0.922247207263789	0.745882398606155	0.832333846011254	0.75143581284099	0.943445223284418	0.915364821267876	0.627837641825852	0.929212642621919	0.722008494629958	0.69297986795222	0.869126819961391	0.271710417082444	0.86753953331893	0.924481102895576	0.890052298665897	0.899644228588447	0.872658170910861	0.913018408990598	0.906524492640586	0.755039312302967	0.958798135423867	0.92489546737292	0.84131014666844	0.71546625418592	0.734682575920566	0.735707317082165	0.807358882235311	0.514333431115991	0.71688022743143	0.700927542861809	0.812079613856412	0.914653710581933	0.771066333797576	0.879466341363795	0.395993794697505	0.90106863470046	0.863086935091268	0.830159044641381	0.395618723458361	0.90836533697816	0.941373987921509	0.828226411256189	0.800759587150473	0.697426972253796	0.772727943781146	0.87945281216905	0.749068514553754	0.780898226056593	0.530633841254935	0.833519531171	0.790288754983049	0.896251301460247	0.661233743534581	0.687227090627023	0.856725113996565	0.404565884403936	0.911498925913113	0.863235900782967	0.886039268576558	0.79903338522907	0.76838030513231	0.859092680433928	0.700445604510517	0.824657406596776
C3AR1	0.932644114425478	0.919398845034202	1	0.922908307865759	0.877511541210595	0.80762680279768	0.951857301072212	0.886815545993306	0.871377578066166	0.869199372087269	0.894469971624655	0.799974202884874	0.770022216834948	0.79171554286413	0.836064606142959	0.899301487079213	0.92861706918588	0.573198188444478	0.899600821619502	0.758127771319494	0.905260258083779	0.883468202563053	0.851858039949002	0.888196645998363	0.834039985918806	0.540148172973133	0.94368025099978	0.847655507662232	0.955187695353953	0.547114695894813	0.906486433673425	0.860846919909573	0.894935004326895	0.766051343735027	0.502931885263366	0.677069280985165	0.709789738984959	0.735114416942196	0.899421972078678	0.661315832023894	0.783091972251508	0.746673563405082	0.936821794856371	0.782736094264106	0.830922338422233	0.859020183780599	0.503289231372843	0.634425395513328	0.563589749614903	0.885563188844807	0.773183265236079	0.858060415227823	0.818250328660726	0.898820921358508	0.855040169402926	0.790105252726692	0.934131582880401	0.608554695117559	0.777838509276951	0.761433735590812	0.891138674580644	0.898024374113077	0.768214017735356	0.83837261697733	0.767077846242688	0.898298434107204	0.763950118581673	0.829852688725108	0.712187384442119	0.910752144601879	0.882980753314768	0.624029817500463	0.856828506119605	0.710113410420311	0.625318835898507	0.73084432686782	0.313709028071379	0.801377822594739	0.873406112753943	0.919174880014384	0.830302976355192	0.913160816280905	0.871129471241627	0.886874173688065	0.781829753997109	0.858027755493608	0.848510072991244	0.796555691829717	0.717559047917724	0.581377479332362	0.714978711628988	0.714651640130178	0.540517225684423	0.716075819365472	0.70313427981377	0.79059928245528	0.893776962917329	0.753468931815996	0.924856092124853	0.436822868882503	0.803535950855575	0.819809440941618	0.90588873138785	0.441198339043663	0.847773820035391	0.890330785729467	0.879814650704619	0.718148924215239	0.707301381191833	0.79303487177599	0.885245316151833	0.795248632292898	0.752075654581883	0.578398084322731	0.891539466254929	0.756699663610356	0.908067873745059	0.702950931062365	0.697944775075635	0.80105162087647	0.435493675235532	0.930827387294643	0.902651726692473	0.839121273620587	0.735221270939303	0.648448554109692	0.729302255689527	0.688020757034463	0.688154433478822
CD4	0.858154954617151	0.886835352869092	0.922908307865759	1	0.805245195910133	0.935622656582878	0.916005869335662	0.897437108035539	0.873344864413406	0.920541964875322	0.939989013763194	0.880190280545207	0.675334351579239	0.894923427708822	0.911767971943627	0.820839403634889	0.901726806356548	0.716504177308315	0.813511142559397	0.850851115247558	0.869518987447961	0.888226890183103	0.903602054524224	0.846974388471464	0.902787703768069	0.538882346846679	0.914022070348233	0.879862856718542	0.941112442952783	0.538072677595851	0.801939729063484	0.867194811195685	0.928867464445037	0.788030317314157	0.668470272445137	0.758153296816355	0.693226705068441	0.823892803302682	0.904135410940706	0.743172877364632	0.748434224707044	0.64156888074009	0.917863193122546	0.8028285475632	0.732773165980711	0.866036304743367	0.649789702665231	0.62106190606111	0.667161666439033	0.935933552441059	0.691384854062456	0.920296140793026	0.922510572681499	0.937598842808114	0.83472537460445	0.791677877572662	0.911525068350977	0.770167937489346	0.741597510057134	0.726015730725254	0.793345142642947	0.812144630054166	0.833211693582406	0.794167657915634	0.870769600448963	0.876694825540379	0.906293671056478	0.926887534264554	0.67287952986854	0.942751375937495	0.850367382511008	0.78775742625588	0.778389385634726	0.599923282772002	0.585348527438511	0.677536194694991	0.278015004897278	0.733032977496638	0.843308771510487	0.896644172055819	0.884105105400004	0.895086232775751	0.914341713809931	0.911568704836782	0.827092390290296	0.814235675086528	0.886897774443968	0.852819393834619	0.84863397212795	0.555732505773206	0.755312613661676	0.790891977726563	0.698535886800275	0.728279317525345	0.80265627034028	0.785944521671981	0.895351128930773	0.826611573941325	0.935417192576363	0.448053542873579	0.829860669932573	0.866453527388566	0.889711892516116	0.627816998090272	0.836175099910776	0.84335921945968	0.899441545969774	0.661152708955543	0.845010940909059	0.762401966394202	0.92485414972933	0.853088248751211	0.611581837659776	0.737312170164827	0.830137721350913	0.810850453747103	0.933359106095366	0.822546619978677	0.803805467870802	0.850119112280586	0.619649483140432	0.938449436252421	0.848214932491549	0.896558067615623	0.783443549243754	0.6855687858318	0.68890206231445	0.780270671529824	0.662846487927952
SORL1	0.862150681333963	0.952551830538667	0.877511541210595	0.805245195910133	1	0.654252185748478	0.894679203779485	0.882916412225136	0.900425826994407	0.81104726663276	0.717623573829384	0.667020147001448	0.835917781062406	0.587077691218882	0.648800851307946	0.884486821851892	0.787484593619186	0.361608265827043	0.814638815204027	0.530213771313317	0.841968396827357	0.766484298726786	0.720237905701135	0.774843415838284	0.695162134782926	0.739115737771685	0.918607090761915	0.912117498134642	0.900795980940276	0.662046881486489	0.937027244424403	0.860564927554217	0.831624730291395	0.852728917417263	0.239217091684952	0.510139833815916	0.717938655715698	0.608831895140896	0.909902845685084	0.469759774450887	0.808230074262207	0.672653306980683	0.819436445479913	0.881342665175438	0.816822718784085	0.853961883573658	0.250531955770015	0.789376157050368	0.350935035018366	0.860901030060908	0.766699084021922	0.698210343126531	0.65974583219427	0.832664994710548	0.898322282724764	0.531293866663193	0.87019861023165	0.400502829915821	0.904719127969625	0.804736806578218	0.89937342961479	0.932343062425058	0.607010235960346	0.790027824953463	0.685927390727017	0.915604286104191	0.646754187674761	0.706596427273461	0.789465124153089	0.883535633656928	0.844771271940169	0.44478310753998	0.924095307444157	0.794880471862016	0.736834572401623	0.927573251035138	0.435744815942968	0.892770226508431	0.890063154989725	0.852635566781762	0.800282243502283	0.794379101558128	0.855441633529239	0.784365051549828	0.633917845388558	0.942980023672505	0.843026235181234	0.707311084932291	0.565297153685039	0.809067391987718	0.718616862620221	0.746853854321043	0.310330965275198	0.558454739649379	0.530866101013312	0.65589763718658	0.810055850547501	0.615845823865423	0.782318455521964	0.453635277488057	0.864454168667588	0.745593278919417	0.731208015492893	0.190739069992164	0.846330402201691	0.90788031245133	0.728545717578155	0.791575779195718	0.563391327163336	0.758505669827025	0.779128150320753	0.576326259020956	0.84910020724449	0.334056110706619	0.769279443371619	0.657910029922599	0.797171766481059	0.481645096478886	0.514902079108338	0.763588614536441	0.208129262942869	0.807247406794177	0.795559229162074	0.773683410973826	0.64996028736456	0.739776473853097	0.856848736694027	0.546408927637315	0.801516155105158
CCR1	0.740296045627362	0.785069996963575	0.80762680279768	0.935622656582878	0.654252185748478	1	0.833755309508115	0.816339286940325	0.797987864003209	0.877261007190772	0.890836912642429	0.9254652584142	0.514921432416505	0.954478114775954	0.942814724565141	0.658684654516331	0.841671499653096	0.859726603698404	0.714234307992366	0.917959724703003	0.752592991032588	0.850660989363256	0.917294684049897	0.714947214499556	0.929371833019629	0.407379464837618	0.827668642658941	0.799353257458618	0.851964418236072	0.364275389089539	0.639750276489921	0.802839946838764	0.892845849812712	0.714709478471304	0.827514316437225	0.849163253041871	0.593877640897421	0.892423934307441	0.828852867732917	0.839502017211829	0.569871449770486	0.506241942456974	0.853003992360223	0.715710987415115	0.612225321068901	0.840483112070284	0.801137349298815	0.513987252917618	0.79291271943786	0.887499191666077	0.527216360009907	0.93787259852738	0.94665193636459	0.88782129972727	0.743443834202364	0.774065034576343	0.846957740837472	0.906675155853181	0.584652093692226	0.574540915949298	0.684688150807434	0.681027442676124	0.880488691187564	0.691785344282187	0.90719418344738	0.773394570578936	0.935721807647939	0.940932308430211	0.515656243057329	0.888981656940729	0.77608987933293	0.91508722617925	0.642384812808177	0.462305218344526	0.459565907358447	0.520847501885029	0.138673117304447	0.583823089986	0.758811970607375	0.817722606941033	0.88587029339002	0.829244973611985	0.865542590783469	0.89675855510136	0.85722402814161	0.688856392410419	0.854175415056608	0.876474880416587	0.924742343124975	0.433428541659309	0.653574040295877	0.775182987966368	0.843169863395075	0.772950421826699	0.885294488989222	0.786101365378345	0.861248365607925	0.887154803160259	0.895360897903363	0.312226076318981	0.755362837748212	0.884010165322105	0.872031978025794	0.809133154286865	0.774914302656126	0.75653417149951	0.851495391444176	0.548631354453747	0.929246304152108	0.654984941184607	0.907343672804594	0.889578346893704	0.447776752594075	0.875304518251922	0.754471331614987	0.852231932061429	0.900455938015094	0.914794095992138	0.895014853928484	0.832613401227062	0.800273970371927	0.873473293049077	0.768766504931931	0.90211252208225	0.823222963667164	0.688143510066396	0.573041774906708	0.835036107568147	0.610135595495436
HAVCR2	0.956661582739398	0.96557507428726	0.951857301072212	0.916005869335662	0.894679203779485	0.833755309508115	1	0.899570470528149	0.940452491240303	0.860837365018817	0.878868077783255	0.851756030614	0.740881190819594	0.819802719716081	0.85405717448734	0.86426396532672	0.940447459524439	0.625509401072229	0.890964729547147	0.79566562086195	0.905209577870868	0.916421784907414	0.883327618840187	0.856933529348593	0.865080494098477	0.566203287483915	0.960768482443325	0.892720407161256	0.955301744284878	0.505567650106971	0.910498448689375	0.887568568956039	0.903811377321622	0.850220295500115	0.528080940677872	0.74061999254419	0.697980175851695	0.799798453905916	0.94161295028439	0.715483625201192	0.733438014658557	0.679825350841634	0.925154203900686	0.819199716454792	0.875012128753746	0.912019465965482	0.542491864387011	0.663899349966765	0.62531532133271	0.905234463707937	0.672056946659118	0.892564617047046	0.837823552944865	0.947777590432447	0.877678003730339	0.743014429974358	0.926860108569217	0.629340006271955	0.768509115667367	0.767946983448416	0.913629501954219	0.907032019450094	0.818124270046312	0.873140115933363	0.829927165153967	0.878254376670845	0.773816272261761	0.858691784325921	0.716719764337952	0.938751666362436	0.930255970206603	0.681630677740294	0.882509426513818	0.686932292671967	0.635201585892724	0.774793921365127	0.186907904446538	0.813926970142862	0.904407002293975	0.89947115454649	0.885981037331655	0.91358917171667	0.89193681976761	0.936617329564757	0.796996457788312	0.921801669151013	0.908290610767255	0.856343196529828	0.761014635844255	0.616366542324684	0.719802576273695	0.76261250671369	0.58681411076786	0.777332013211856	0.744065960455575	0.861880239498726	0.934039403748362	0.812262410122489	0.929161205896128	0.386596985155695	0.859155646277365	0.876130042512036	0.895887297033847	0.481136288540328	0.895321109657553	0.931029861946486	0.878063367087883	0.764648764035409	0.726179418173571	0.765043054565387	0.896099491183742	0.833990593989469	0.747349360175141	0.608194826200878	0.884538618288705	0.820279278290214	0.928506167695465	0.728192829550996	0.742290896123429	0.85343585084933	0.477351164608946	0.948296913966868	0.906309207801669	0.895689099892729	0.810135632625796	0.7016641468332	0.80235798338335	0.727666331618864	0.768211850734987
PTPRC	0.81483764255854	0.913181628886718	0.886815545993306	0.897437108035539	0.882916412225136	0.816339286940325	0.899570470528149	1	0.896810663492013	0.863352290305906	0.845064797472885	0.760321391288533	0.786140559203769	0.737811737703829	0.766619670704987	0.863824070427489	0.798654503610401	0.537554634789751	0.786378058584683	0.663262630407977	0.858808140690309	0.867305552166433	0.85468811725382	0.805831287230149	0.804199529421475	0.698207684504041	0.919156817469331	0.914722926999256	0.917121838174735	0.682131304072317	0.838861296628478	0.913092146744008	0.9073119602931	0.819813706870445	0.479229564518628	0.604276479110314	0.829217750446917	0.68093027242714	0.886735918001898	0.595453790595009	0.819378162898189	0.683053604586313	0.898967102915394	0.90289614181239	0.685602048462228	0.862744607149595	0.430895363839906	0.720540168190198	0.466214634791994	0.934571845466294	0.791373730867747	0.826155765376747	0.78101671431988	0.861525188285422	0.927721631403442	0.601851904756404	0.894565902969793	0.625694190948672	0.859410845969135	0.81067918722318	0.809872200877148	0.839239839980451	0.693536255529592	0.753852699935982	0.78459353514795	0.904817326286696	0.800699551284365	0.819298143915809	0.807477445753753	0.929496985634839	0.880780563003593	0.637592893504962	0.808260052105884	0.751781222387564	0.730593667008085	0.822524540269133	0.420325346917721	0.851498340643585	0.867470740163364	0.865650904184356	0.868484336425147	0.844736435261283	0.852546422570075	0.80572890148859	0.761437239402529	0.876255877965193	0.866601567752354	0.761331530209892	0.706225746526744	0.698313759147895	0.762767044092178	0.739850243294517	0.496708905434622	0.609871579195407	0.646307968807714	0.650280589356635	0.8520265491824	0.68338233611405	0.842451909263968	0.511100470744129	0.872748932984952	0.827232397441685	0.799181115495916	0.417762243406875	0.861896987755481	0.889878692212734	0.832686120464869	0.737509073691776	0.73797361063366	0.852769427182219	0.860552781083797	0.67510022972541	0.782576699177272	0.544697819206128	0.774082474887583	0.688965121419111	0.857116221613471	0.636283136888721	0.659603760122177	0.874703167543362	0.417446397335004	0.862483562481433	0.804522702565861	0.846392598733899	0.657526564184927	0.702372361841587	0.776170166174055	0.644751506325365	0.771057274210537
ITGAX	0.867862188635209	0.962689019907471	0.871377578066166	0.873344864413406	0.900425826994407	0.797987864003209	0.940452491240303	0.896810663492013	1	0.860265539679844	0.791123932936336	0.798019286695899	0.769232694773707	0.753693276059305	0.795929008477439	0.832840876625338	0.830564471643602	0.57850552790696	0.764302514820685	0.701234905058349	0.842266626492422	0.840859009839805	0.853815898504632	0.741816694848088	0.823898848729505	0.667128448697276	0.919596451887925	0.938301646786608	0.899754144938334	0.546257764343521	0.841241681798927	0.907033858477711	0.899248871746293	0.887369669595043	0.485893814557393	0.677058933995497	0.732917519330668	0.760493877551484	0.930494218714716	0.641015231206696	0.746169734900101	0.617478022608065	0.869628936199868	0.884942356351246	0.793019970899827	0.898466070699699	0.48750681645154	0.770715774680958	0.554741456378098	0.919486889106358	0.638176171853325	0.825146009574685	0.808798212111776	0.907994512404023	0.92122115084	0.624320576239508	0.873985711554336	0.610595213205899	0.836224291650687	0.794727829378496	0.84894770356091	0.855803316863037	0.771751442890482	0.825173899523731	0.836143594648532	0.892231947335842	0.770229482925686	0.841165537744606	0.706539500697341	0.930587111604765	0.894513019390236	0.64778823502569	0.859120871013252	0.695698628236147	0.711531674677043	0.846487741057056	0.258545614628533	0.847468556609608	0.879733067603801	0.826087421635534	0.903031057658207	0.830962955780339	0.881588347855447	0.880447405620245	0.763988336137058	0.91504796460318	0.90304927113942	0.811295670340062	0.722148690397431	0.736380228812378	0.748602637645879	0.808498169437195	0.543309890117254	0.696124261461567	0.701641527868804	0.783326821207712	0.901199965801399	0.751510189321829	0.832139640505056	0.431493748325225	0.88735060780515	0.847659553075129	0.790717226421647	0.441255793423299	0.902872765595319	0.916911276289184	0.805929123973867	0.771241017500083	0.712025783598011	0.796507419702684	0.865861398060971	0.730623847880244	0.712709446471356	0.55918309739114	0.73937271403004	0.762808502506785	0.860001956214923	0.665089753930186	0.687185480182978	0.856925636374581	0.441876969050035	0.878638898021806	0.77799105472509	0.873368273259167	0.780107726515235	0.775946234068433	0.820312494801641	0.689002016887027	0.80957933407869
ITGAM	0.797428125067007	0.861714113097436	0.869199372087269	0.920541964875322	0.81104726663276	0.877261007190772	0.860837365018817	0.863352290305906	0.860265539679844	1	0.865890428928394	0.818715583866692	0.693710847973407	0.826051880983377	0.852428216562443	0.813235368456841	0.829499266241703	0.654080749528784	0.733330506279739	0.762834427560545	0.823356353528812	0.809942354595002	0.840262996410696	0.756761216911708	0.843691519789697	0.610425960990358	0.888731134007935	0.89146887750852	0.902443550785973	0.521692515609189	0.765430799503147	0.871803223845122	0.913735307104816	0.766362095257841	0.608064121186805	0.709395584847138	0.662725532819056	0.780965399396871	0.899755571179237	0.664442510649565	0.755170839233747	0.618445273182994	0.879311803289479	0.801591565394064	0.692256871359296	0.840317972177787	0.583966591472273	0.713150739959618	0.601919096306165	0.919062873365189	0.677956539371992	0.856206607792104	0.883814538360609	0.885594389800876	0.847914981132764	0.706847175674409	0.898212611249337	0.730597900869119	0.777029977228978	0.752210810770381	0.762316417700255	0.764074581488904	0.780453316839805	0.763480235743554	0.85460375845803	0.889561302761488	0.846317282359277	0.896808994802161	0.691699069334324	0.934420547998746	0.798352511110365	0.713497123790779	0.777350014782337	0.614455671681462	0.628336933030246	0.729825084066978	0.392148913678324	0.711191516907517	0.800133603703605	0.844563748104143	0.868494035417286	0.85819280428657	0.893479389313005	0.869582285818172	0.759852459236121	0.79865039136138	0.846982139881603	0.825456194267457	0.784964469667088	0.656322575049839	0.79422336466576	0.789702366832638	0.630526264678567	0.643886987491847	0.752712179638432	0.706955687888619	0.879907453017099	0.795316897176722	0.874595861276588	0.466965784934529	0.856987105448252	0.827548436735445	0.816809219859649	0.574841932346265	0.814441947504825	0.828094055498915	0.830222437467845	0.640639024526022	0.820144150636284	0.741636244783545	0.901975975918984	0.758686361537139	0.59989866249992	0.671566047961701	0.742010815187887	0.760479244772463	0.892694823201396	0.758066755295482	0.751729672925372	0.847777320084055	0.574340418642489	0.870182439528652	0.762893845210431	0.874580767715335	0.768002479284386	0.771036264328882	0.690769519434826	0.693667646973237	0.690692229996355
