""	EGFR	SDC4	PARD3	ADRA2A	F2RL2	F2RL1	F2R	AQP1	ERBB2	CHRM3	CD44	ADCYAP1R1	ITGB8	KCNJ10	CADM1	NRCAM	APLP2	PLXNB1	LRP6	CD9	CANX	MYLK	AR	INSR	ACKR3	SIRPA	CD99L2	SMAP1	TNFRSF1A	NOTCH2	PTPRA	SLC16A1	TGFBR3	PDGFRB	ADCY8	SDC2	PILRB	ITGAV	AMFR	TFRC	LPP	RYR1	CXADR	NECTIN2	PTPRS	TNFRSF21	CELSR2	VASN	IGF2R	PRTG	S1PR3	MTTP	TNFRSF11B	EDNRB	SEMA4C	NOTCH1	S1PR1	CD47	RXRA	IGF1R	ERAP1	ITGB5	TNFRSF14	PLXNB2	LRP4	NCSTN	ITGB1	SMAD3	CNTNAP1	LRP8	COLEC12	LRP1	TSPAN5	PLD2	GPR37L1	MCFD2	GPR37	TLR4	MRC2	CD81	SORT1	ABCA1	C5AR1	RIPK1	VSIR	SORL1	RACK1	CD46	C1QBP	AXL	TSPAN14	CD74	TREM2
EGFR	1	0.909340350243295	0.672427838889609	0.259182269340202	0.812534809260278	0.748506336188752	0.84398241942491	0.990840060615476	0.75299083747813	0.898751764513724	0.934749842414183	0.875326713245872	0.668515664538276	0.9472540148506	0.931746007282852	0.898255006846728	0.916285417987589	0.941663146607328	0.536045830930143	0.925536731885409	0.877940024242587	0.789041532823287	0.700468774901452	0.600528123909324	0.835139397067668	0.890863374636223	0.970729593877909	0.891702083892393	0.92616423787646	0.789758415494252	0.962743804410789	0.792893672705456	0.937140302088035	0.670520731075374	0.288082612621114	0.900066747311564	0.747094887358277	0.947240692668604	0.75639165431921	0.892910453563844	0.880952841721611	0.745075778324427	0.782044852372027	0.940295619153224	0.349164207525731	0.978634431617264	0.865950458896153	0.82797033261529	0.795653720785664	0.53134057334199	0.776119327652546	0.943504484613012	0.946919955045548	0.887798510680912	0.582443089404244	0.712384613449139	0.844141672742834	0.927339423780765	0.753166561234921	0.605469693604425	0.834873324027826	0.858169219445595	0.863406365204617	0.763281817569276	0.914307168760083	0.946542664388873	0.607462356701008	0.527876596024316	0.897265692287292	0.975829913060738	0.461521916875535	0.959031032922694	0.938923764453176	0.764899415887475	0.989279500746884	0.847127342939254	0.982301198427256	0.575011836154457	0.860745602386283	0.964401125356861	0.826025970146347	0.72636956958171	0.171501502905125	0.818339180490342	0.709378639865347	0.630926424381866	0.587555570335083	0.70591735040314	0.956998660238836	0.394088115882775	0.422924864191149	0.491315773348267	0.278301404369263
SDC4	0.909340350243295	1	0.858193295929049	0.456347854480404	0.897323638637414	0.916658590161413	0.952958885133549	0.919119003487525	0.814461279190335	0.935792944378999	0.985009631458411	0.99057170015048	0.893801967404926	0.94688407994779	0.96636445458837	0.978298619242297	0.980494221682542	0.979236617814907	0.783586056499444	0.914406994061523	0.976942888499656	0.919742480939165	0.89024601797974	0.788855541086746	0.889322541345362	0.877097410823127	0.930360066332057	0.869187100205615	0.845709044316766	0.928090166345964	0.969378770549353	0.938795237563711	0.977847657469517	0.874859953571453	0.610034913853266	0.960122575077799	0.915963373064907	0.961299660139874	0.900089320100756	0.90657948838285	0.938801674829469	0.9121912528476	0.937559788303244	0.85961235330754	0.665222955410279	0.844723278357097	0.955000200463085	0.965852756803833	0.827100241247338	0.772183926831528	0.766045744072633	0.965928262182533	0.878740885589417	0.959170082528757	0.768716478377787	0.88820764080706	0.879321139025117	0.90956515830906	0.907573133534977	0.834893056786415	0.882621443504898	0.956367415472167	0.866674126176677	0.813539257228765	0.986508333635298	0.943174997969945	0.683494554110464	0.735002802931363	0.886900327152137	0.896039539792698	0.632008210366753	0.931586354773311	0.92728605623019	0.8710236865462	0.930192451000804	0.971284186583455	0.933126694640072	0.650040460636386	0.96663868194027	0.863276013768802	0.844057382803472	0.902432786234149	0.213452010571634	0.767664487128812	0.691795072177578	0.694910498552917	0.491357551653508	0.811808643307191	0.889327090738017	0.335733154131688	0.384164260696642	0.355439368000573	0.206624997502568
PARD3	0.672427838889609	0.858193295929049	1	0.550316788009774	0.710934026143186	0.880929636768623	0.877981086381213	0.680940360952586	0.737141041164582	0.777796332588445	0.836465657087345	0.880114441414677	0.907393047778162	0.721583011382946	0.830751089083179	0.871016315413384	0.855766322637259	0.841384964717074	0.840482395213506	0.706286547883365	0.91130872041758	0.901030738707294	0.848957240686453	0.802741865755519	0.729447131866132	0.737701076781401	0.761974174454251	0.680908315081065	0.670878186449389	0.874047318985805	0.819466716966809	0.92004833330375	0.79545046939108	0.827047849191253	0.798533089755486	0.83865385702852	0.882866211371004	0.806454853590373	0.88417616128743	0.776558634241583	0.847001113868177	0.896476082745891	0.88061803041902	0.650082493961298	0.732257959888628	0.615398144169904	0.914864867634576	0.870951148218703	0.804942553869297	0.840815443738937	0.637823356263753	0.82180910306204	0.687629060372215	0.801538012021429	0.740621506817464	0.904269884017891	0.694642744402587	0.733799309160338	0.894420961738767	0.931857880292218	0.842305179722981	0.834681679378518	0.732076076108764	0.790912416262675	0.858856179368391	0.769134881510783	0.667710888341951	0.768490465523554	0.755746634549614	0.684870461974119	0.696584295791344	0.769721199407168	0.777491286649387	0.80775014465648	0.727741625143701	0.889073334496104	0.754278414466194	0.66470242344685	0.875308838883751	0.635983617344242	0.776415426524329	0.874633934722901	0.299939994283788	0.646486889792559	0.616687264848486	0.683390921507338	0.365587377683787	0.86101341842881	0.676363608136333	0.296222738409801	0.388255206784659	0.251686602371016	0.166473327995094
ADRA2A	0.259182269340202	0.456347854480404	0.550316788009774	1	0.457338117650019	0.47692005805213	0.671946713663653	0.263145388775029	0.732623903387637	0.369155457474002	0.427253113943384	0.545342715490583	0.631024236898791	0.489112875570839	0.4620324387417	0.421489427945479	0.398797708644909	0.483075003539911	0.758619940369144	0.382684572438331	0.455322024250257	0.467909715100848	0.715298590714335	0.687767817683242	0.655137113601181	0.336251415341613	0.247565663010872	0.44516316468742	0.151164376526114	0.559965745904943	0.398968647791673	0.631458610760131	0.483684338483869	0.538914478111967	0.783972688194895	0.341809859560198	0.548484573644483	0.320825281675025	0.662127841932084	0.429468979800678	0.420168603505942	0.507135123179561	0.435412290675737	0.173012543216647	0.48501212792529	0.111379280668017	0.433511481778576	0.451260774511337	0.199399240870679	0.596349596749338	0.623963359786324	0.414986512452535	0.120489786250013	0.553283852316407	0.552982691910005	0.632961628135257	0.436556430158659	0.360371242308324	0.466593705300676	0.669908968361599	0.474911225391966	0.508385667877017	0.134744516348657	0.321513064262779	0.41432946727501	0.369613030179676	0.194459726830645	0.339674186456966	0.564341851600342	0.18638826259062	0.682764903483275	0.250038988364186	0.436749270842448	0.677003144894541	0.365676891094409	0.494294760186095	0.337761770497845	0.119237467827236	0.371822752121364	0.227017973697834	0.228362045839076	0.582462211663459	-0.0626895809074361	0.00551210088886646	-0.00988651256727615	0.252311749461605	0.0189551637564529	0.383725972281958	0.369993641414323	-0.179333702137497	-0.205051715122715	-0.253471310302158	-0.264023599597289
F2RL2	0.812534809260278	0.897323638637414	0.710934026143186	0.457338117650019	1	0.933460341478359	0.867907470978798	0.842080847338426	0.66147308462914	0.878832378837678	0.920951060839782	0.889411543816495	0.83161123174979	0.859140444302777	0.836188407021635	0.91942322573791	0.873670976272898	0.875347136263507	0.689676130628386	0.78047500195579	0.855843613190527	0.759372719399472	0.840181696086686	0.716928942227668	0.797509887569333	0.713287800923543	0.813080254431586	0.705689502232887	0.697588658912128	0.822194001010582	0.828072626560505	0.832146243845478	0.909398937820501	0.892408311596233	0.506187040341835	0.911402106136117	0.85412546264723	0.847449418552781	0.747440734310366	0.753743011944381	0.796977608058576	0.779267624846241	0.838074084568229	0.654666522573207	0.624650497079672	0.734769677105829	0.81589559515288	0.864988887876163	0.645239774324129	0.581390734666837	0.589040141410162	0.856071111701895	0.743223989080073	0.922057020280842	0.738453290519011	0.793980662453449	0.730121935649447	0.786143789256518	0.795595819398761	0.760043896391308	0.741355052624135	0.897357494417657	0.757239362418595	0.629796568428251	0.912232598535601	0.847932049495674	0.504060065738507	0.623165678566399	0.785032621523627	0.76432478844129	0.431437648107287	0.80425479520996	0.770148527775711	0.780235734138352	0.84692644992762	0.855812566731436	0.800822014592753	0.578509499286237	0.875167401839553	0.717874609046104	0.698312737075938	0.820546679575437	0.0680214135442343	0.667740618369536	0.587128636434627	0.556800566929614	0.314241967091085	0.667197254582805	0.751888029908752	0.233870559983237	0.225321714933723	0.19719059648236	0.0763154499831258
F2RL1	0.748506336188752	0.916658590161413	0.880929636768623	0.47692005805213	0.933460341478359	1	0.890082656415513	0.774149190240452	0.650195483595183	0.868924654010269	0.922079006071563	0.919098079905305	0.927836118509721	0.793682334747855	0.840507958042548	0.947995055127346	0.900913313405123	0.872598574840997	0.786669028610866	0.74582581020256	0.920506537229741	0.867238549172281	0.8937227202419	0.7920404347825	0.755364337625839	0.721799841873672	0.811032428068282	0.672341590458172	0.687706733521415	0.874914791106223	0.831103121006551	0.909454963540062	0.880377340216815	0.945704247229443	0.679847419958932	0.93222710549846	0.925962871403786	0.856578908170464	0.819690814694997	0.760866752133014	0.844454207883016	0.884709219366712	0.927904091648349	0.634886122258579	0.77332952172482	0.676259676591412	0.898774938638632	0.913759303649164	0.754867641261377	0.751973697595195	0.55253323596003	0.855697194257105	0.727553949611238	0.894259461195718	0.790013702857199	0.884634598415958	0.704378748552696	0.772770353648817	0.888387192509815	0.898560628726833	0.79737720310441	0.908868521735796	0.785575894481689	0.717289836927544	0.935448611979309	0.824203280127881	0.610246267967612	0.772243384509307	0.76228169608364	0.728640171222372	0.521429146689924	0.807839440540438	0.759939906679756	0.799244606704006	0.790442341571065	0.910313679130628	0.779495067635685	0.684505349675054	0.933866928782995	0.663964862448754	0.766184746067467	0.891248377912446	0.193556111260615	0.709456671940717	0.641440486049356	0.642744233524187	0.316715738139175	0.793299730885217	0.695119606938808	0.289818065550632	0.329412829682565	0.214503103962098	0.129247837282521
F2R	0.84398241942491	0.952958885133549	0.877981086381213	0.671946713663653	0.867907470978798	0.890082656415513	1	0.850696094713156	0.907523999532445	0.877356445149969	0.944775876067092	0.972276001078934	0.908702174534515	0.92804968371708	0.939346712799062	0.936109144695197	0.93073249739557	0.961109668464762	0.853624294178721	0.87916658221947	0.944963034694591	0.907060776271327	0.941811983373027	0.845348376968993	0.923253072196309	0.842596424507898	0.865813331565697	0.863588891156164	0.772639354502396	0.93022943676972	0.930915751140072	0.968079190571683	0.947726738603739	0.866586649493304	0.711138636580843	0.899698996327799	0.917696006503584	0.894048346522325	0.946003706657758	0.888283035500123	0.907467654882259	0.898505584593256	0.890498184324063	0.765005989146352	0.639236061434239	0.755511991276185	0.931422260441084	0.908811058857433	0.763227261414122	0.804589441170582	0.826624706769358	0.931406922182232	0.765786772777077	0.958566734709872	0.789349480505228	0.925707813981374	0.843394132338179	0.879475927623716	0.885658852145756	0.896194441224649	0.911218857083245	0.939633722087682	0.770249026725007	0.794481446288603	0.935908304415358	0.908086786626595	0.628710077532804	0.686240786336641	0.925615037207983	0.811779956991556	0.712907007857985	0.861742589956599	0.908222660668277	0.93277528517873	0.894171367752462	0.947310394375574	0.89336541488492	0.590625723579139	0.904498085132714	0.803140036699637	0.787164182900076	0.909885194752435	0.172533534950492	0.660838989829348	0.596921029289312	0.671875863446231	0.448515784684842	0.809334732814896	0.863338027274629	0.256114091598506	0.277721703846815	0.249409374297872	0.117113711700437
AQP1	0.990840060615476	0.919119003487525	0.680940360952586	0.263145388775029	0.842080847338426	0.774149190240452	0.850696094713156	1	0.755109718458046	0.882526447776902	0.946337394463352	0.88241528777626	0.67048043366233	0.947468279538897	0.917480388297999	0.910649475788776	0.921305725760547	0.938422846906566	0.522694557017959	0.905264422030748	0.876263285666757	0.776416837867146	0.701636801878305	0.580627037803931	0.822105479150893	0.87821424181016	0.963548953252755	0.856167697774476	0.914668433999691	0.785097592723186	0.954286808673853	0.782142491772246	0.945331838107339	0.698729579660043	0.286025969202333	0.922805846428203	0.74316793070936	0.944063835001493	0.755203053517597	0.865445590432606	0.860149199762006	0.744269933714023	0.773343905458888	0.916513476721676	0.345760182020286	0.965258413855623	0.866703448447619	0.841386147891845	0.772540788130462	0.526095195290695	0.737076995560047	0.955179175152706	0.925223477424944	0.902859229602039	0.568241943637133	0.7083054758937	0.840089168897163	0.911173001984408	0.744632885510542	0.611528669184018	0.832673452968606	0.861145952007232	0.857821238348749	0.743577800131036	0.924923335069363	0.932056531718064	0.575178542845461	0.506921305878304	0.872271569746026	0.971999627791493	0.425687435432645	0.957272473054185	0.931611553988013	0.775782640436471	0.984593125815935	0.850210473107419	0.978608236280642	0.566252099587209	0.862715555630579	0.949414098270322	0.81216244896257	0.728140841102369	0.119249655068564	0.799959772140414	0.701773232027383	0.610472639345259	0.554932082138287	0.690997346250334	0.941435855579802	0.370338675350217	0.389135854868333	0.450707231889641	0.243798677952194
ERBB2	0.75299083747813	0.814461279190335	0.737141041164582	0.732623903387637	0.66147308462914	0.650195483595183	0.907523999532445	0.755109718458046	1	0.704353409696403	0.791674226168268	0.850177240473793	0.732672710065323	0.879081699854849	0.848778003517579	0.757788581268448	0.784489471513303	0.856961009789653	0.763661962075026	0.811975357297902	0.78568518864942	0.750092746594913	0.814492897145859	0.733377055615143	0.913457772876093	0.776297830400875	0.723557322626259	0.845461121060474	0.679380305800856	0.807107164696367	0.829826933970553	0.830247002346074	0.832275033498467	0.6589098592382	0.648778779590438	0.713669728908161	0.719539443693208	0.749152359296979	0.885980157659472	0.809643487315406	0.774279902648118	0.736974441362161	0.684766304939327	0.720190089919492	0.426093809138002	0.657617440001545	0.77413182051512	0.769564327938523	0.589963710584769	0.689187676244891	0.892892736549141	0.839530606502994	0.632241099006404	0.850925408018781	0.608545951354705	0.790769731566006	0.854028920300137	0.77733680295691	0.70730582971881	0.741106224422981	0.805630169978315	0.811629778875898	0.580276797516533	0.669450991576343	0.776512064235692	0.787309797110824	0.49102869306514	0.47685673251816	0.886906576593034	0.720872411468797	0.766244039938877	0.730237215854653	0.864813660397823	0.893345941883274	0.81427847233358	0.808971490671184	0.814294878983984	0.375317409400144	0.704687546854999	0.755501434318752	0.624668703567874	0.763993392861956	0.0594524051941004	0.451125605328191	0.405596927110215	0.523815957611018	0.433264426419512	0.635180335368874	0.846832406891746	0.125784797712698	0.11719610378381	0.171766954405064	0.0253409030035197
CHRM3	0.898751764513724	0.935792944378999	0.777796332588445	0.369155457474002	0.878832378837678	0.868924654010269	0.877356445149969	0.882526447776902	0.704353409696403	1	0.925113109551959	0.933463954130501	0.857489263799958	0.902931933388657	0.935284289151299	0.921229488573798	0.913250304782909	0.932250921370481	0.753907961191625	0.867154981132772	0.928138819788663	0.83799797688263	0.821209173236557	0.747988039080437	0.874338943447846	0.793522261455045	0.901653040651232	0.848116735474776	0.789335816051787	0.864109458393396	0.930368871102587	0.891944469368726	0.930630778824055	0.776177239593901	0.542850572330031	0.882613469349511	0.881257715516761	0.904577688546804	0.809419673574556	0.876517098130405	0.905397997802057	0.822622808360646	0.900357338901728	0.821287143751551	0.639777842556672	0.845478317545947	0.884090510635546	0.886464822336342	0.768454691198608	0.64379785670213	0.782535366930332	0.889520301852608	0.904314396869722	0.884856788943243	0.734650273307925	0.836902642619357	0.829322638330297	0.855097260165635	0.857472565131418	0.746719479152959	0.77922696513	0.903318512656688	0.824376329715418	0.742130669049587	0.936522587104949	0.938893033133361	0.62694974457881	0.670285703923058	0.868955493245641	0.846671376713163	0.614221500739203	0.872589369564405	0.8628628321286	0.769922063630752	0.916155174451828	0.890476441474572	0.883054784232896	0.586822985867124	0.915791679921266	0.825247415345113	0.764405318316169	0.815238656240404	0.186659965088607	0.746010948726817	0.645399723525305	0.622074085888171	0.4345937947507	0.747915773356896	0.867530788464818	0.285591751354322	0.348382404242269	0.341494506909258	0.167751030833341
