""	CD44	CXCR4	ITGA4	CLEC2D	GPR171	PTPRC	ITGA1	CD3D	TNFRSF14	CD2	CD96	ITGB1	CD3G	CD69	RPSA	JAML	CCR5	CD46	CXCR3	NCL	CD8A	CD8B	S1PR4	SIRPG	ERAP1	CD74	DIP2A	CD47	CD247	CD6	ACTR2	PILRB	KLRD1	PTPRA	TRADD	JMJD6	IGF2R	PTPRZ1	F2R	CXCR6	TSPAN5	RACK1	LAMP1	ITGAL	KLRB1	PTGER4	STX4	CD63	TSPAN14	ATP5F1B	SMAP1	TNFRSF1B	CD81	APLP2	CANX	C1QBP
CD44	1	0.782482587093037	0.61463824322676	0.643634018658689	0.548534139257087	0.879160076174811	0.60051257834772	0.928313394027558	0.650980062441797	0.882760797353064	0.829163781482752	0.6660078337738	0.940627307252823	0.773036480327877	0.557636421452788	0.697858948422007	0.468696096312318	0.407784461718789	0.708652119953416	0.129823352945967	0.682766868185668	0.765699639501268	0.568270561096874	0.668001740057399	0.428107403703548	0.361730179601325	0.241053787171551	0.472179118009174	0.896374953484409	0.608199426865656	0.738128624544255	-0.213983679886415	0.540139350364986	-0.107219766512699	0.602275191032832	0.643215536591005	0.141399016688852	-0.597321818857209	0.221207597122225	0.894169742072002	0.605815185111801	0.556006633407821	0.152438527351729	0.681309445442879	0.462056915706119	0.534058112412637	0.190871910521027	-0.307268332740815	0.58786769664384	0.232944432972052	0.494252184056735	0.770836700374001	0.229240341335933	-0.326866194959042	-0.136581331615272	-0.0103717908575491
CXCR4	0.782482587093037	1	0.4969083364507	0.881350864150641	0.363841450871484	0.735158623091811	0.154693419928857	0.802366792238994	0.858924102097793	0.884271411635677	0.69931994402982	0.435343000544618	0.762756278568932	0.964016564402907	0.853714228256164	0.733373045704689	0.0205047048101271	0.671373702678414	0.634780161964087	0.537953291765418	0.251752119475723	0.381884335426839	0.791439766507804	0.680162385154588	0.279679775242072	0.678341262925817	0.255327552117624	0.565520767972201	0.856920501761838	0.85608628051942	0.810075201293907	-0.47923842194064	0.588771358430772	-0.0166139745896817	0.923657566421915	0.898203565263171	0.0749301661586325	-0.401242115036767	-0.184474833786502	0.688243907250004	0.74125233571588	0.836333435079	0.419399630673996	0.349004329726733	0.817230449387612	0.898226582124703	0.525793688348525	0.0295094398909769	0.774728693044268	0.586599402234849	0.601604721374098	0.854346587536343	0.477622497070944	0.129383438378331	0.249035779717844	0.368843013657454
ITGA4	0.61463824322676	0.4969083364507	1	0.635346978978674	0.332387389256835	0.769252919786707	0.671748896278352	0.480153132003782	0.405339586883836	0.710474195311312	0.564899955322594	0.764466991995716	0.544720054550206	0.399791376708907	0.201075050843348	0.679062127279444	0.377579135067019	0.418969011775644	0.593068508724609	0.292225801078365	0.537576052082484	0.5406074225339	0.275886702327666	0.861512934629291	0.201822991014854	0.175447695565259	0.0150867784458285	0.590513348100629	0.59979717648726	0.382363581095649	0.341197373629079	0.0798017822651749	0.752490497071558	0.280012604321112	0.330322973447969	0.345944382947293	0.0120634122309418	-0.376891778955784	0.313548059759459	0.523016861305375	0.650605226306858	0.158272129053083	0.140819963092436	0.320797547609905	0.12859176895043	0.491583577996752	0.385712621522978	-0.167500269615905	0.506541116417569	0.0199345841664882	0.413915472282259	0.484580706136541	-0.130888801708428	-0.21306688819483	-0.135945650486756	-0.125730332514812
CLEC2D	0.643634018658689	0.881350864150641	0.635346978978674	1	0.273947329056425	0.716001167973445	0.239057401075268	0.597985130806357	0.70909612676562	0.85552099967118	0.663109777656912	0.481482440804141	0.62341406333409	0.792648314372764	0.701448405234394	0.698579704776457	0.0381311278603642	0.706706697577278	0.655670447292277	0.681695567766475	0.236632064899231	0.313083220876784	0.68239763207781	0.761572133632998	0.237364876400432	0.543801561188443	0.236751642419695	0.695190734353827	0.768016182428647	0.734732530918856	0.610597549103069	-0.3925865568972	0.780648801875756	0.268455234774328	0.828699166263849	0.81960145561617	0.0102263497795061	-0.241858034309351	-0.0469845199449308	0.563541745231466	0.818405101382971	0.649417804371674	0.511792702686971	0.144137836541099	0.659581445951152	0.924711002942911	0.614545688436727	0.0951433013400598	0.797459950601304	0.534921504218084	0.601980826344168	0.659834329329981	0.297433258862897	0.212136729468013	0.326207976448869	0.334532580725165
GPR171	0.548534139257087	0.363841450871484	0.332387389256835	0.273947329056425	1	0.521227011453578	0.346959897700373	0.659906722420118	0.460561268023486	0.548782444118821	0.562073874239459	0.180775966390593	0.605641114400638	0.301098680853562	0.21755894495911	0.305009430991501	0.557445691227111	0.13289013473416	0.557325940813723	-0.0626369714531673	0.63753952427109	0.613540318245621	0.43008637613284	0.276229119365558	0.346531782440555	0.0960632075735734	0.433439901622571	0.256049023602821	0.517708292757798	0.489001454861294	0.384498767197913	0.160467079973769	0.261806259824323	-0.311899342120119	0.201497475365472	0.317570319079497	0.295108859081636	-0.453392392714675	0.459313488137582	0.57468180059888	0.337937366024881	0.238966970157705	-0.0492183041442746	0.753180309467462	0.0764409442691443	0.253359600186943	0.313462730122258	-0.320303284853983	0.259613159886488	0.011360861161694	0.162493928775541	0.309440939393761	0.106493672095668	-0.316818724464379	-0.263588491883256	-0.107959747031445
PTPRC	0.879160076174811	0.735158623091811	0.769252919786707	0.716001167973445	0.521227011453578	1	0.707211349245626	0.834347161818796	0.574137128500599	0.922741818468265	0.896669889641274	0.813168401030998	0.877525532431422	0.680377418565695	0.424007309616613	0.626912048511086	0.603427209025374	0.495606944359336	0.688484424640874	0.245588111813792	0.70520665336326	0.738435494962758	0.431949734461336	0.757532540868424	0.404984176471466	0.284241724730148	0.134586336073599	0.479860891858858	0.862549310557643	0.557845485461647	0.659001266992799	-0.00791993667027872	0.757333195644985	-0.0259975372240509	0.53046563411441	0.635067018347352	0.267046585586519	-0.605262589146684	0.230064101953101	0.841773435654404	0.633094811940194	0.39418932488486	0.219587201095377	0.553298822434136	0.350719221296883	0.610346783245287	0.259516608910692	-0.390250491769764	0.679724703345168	0.112393466542694	0.360859627384702	0.650505986423941	0.0459874208481847	-0.319685208199649	-0.132292666415859	-0.113443508149945
ITGA1	0.60051257834772	0.154693419928857	0.671748896278352	0.239057401075268	0.346959897700373	0.707211349245626	1	0.469415510128444	-0.0403874976543052	0.517473522645658	0.606231450678496	0.794493602637149	0.607352735442647	0.133544460138012	-0.171195402593713	0.284441760319185	0.797444832666572	0.0747178936639174	0.514609182166659	-0.140089074653491	0.799354947885925	0.73937114297318	-0.0609991661363741	0.531609879102647	0.287786514194634	-0.274547710490888	-0.0591975944293331	0.219101115998459	0.517200345081343	-0.0295985507325712	0.140535043809542	0.315026800637764	0.55359961044817	0.0912165719487867	-0.0853866544155607	0.0676157371375814	0.177441468509855	-0.461242972021599	0.524734332110058	0.627215315404737	0.291292145220867	-0.204621862655824	-0.0564385769326078	0.447940601707331	-0.239218581247322	0.0457581061116642	-0.168478563039294	-0.533950068608805	0.215032765972005	-0.320384563481347	0.135038455280868	0.171340206652116	-0.414224508061669	-0.631710746930979	-0.458450185864696	-0.467379848172521
CD3D	0.928313394027558	0.802366792238994	0.480153132003782	0.597985130806357	0.659906722420118	0.834347161818796	0.469415510128444	1	0.667536311781969	0.859707801347375	0.838511229320441	0.522827657876108	0.937905569316254	0.786194858673984	0.57668859338414	0.566425150299345	0.426714549563283	0.382398431247497	0.664927454926368	0.121521796931007	0.648386799727178	0.747859689626004	0.571524880409222	0.5724155508256	0.369926250649217	0.342419436657383	0.260797397777838	0.345948006031735	0.898108401824548	0.672196786884189	0.763567041371987	-0.184916179375353	0.466809446425793	-0.255588191329708	0.608184885369877	0.679687406095737	0.208310973101526	-0.602250216293368	0.104795708857677	0.884784637448225	0.587029704885695	0.580717730110776	0.156664904300114	0.738247659739261	0.485337182145716	0.560537697707716	0.256310064691297	-0.318175807614726	0.559926290952614	0.215648625066047	0.421150531510606	0.746000905113857	0.303557060813492	-0.285633378783119	-0.148513201291497	0.021128126503194
TNFRSF14	0.650980062441797	0.858924102097793	0.405339586883836	0.70909612676562	0.460561268023486	0.574137128500599	-0.0403874976543052	0.667536311781969	1	0.738282148041163	0.528498012977873	0.263665351700126	0.612706619437505	0.847260751810713	0.873572284787607	0.764749191219288	-0.0229086690743648	0.584752326620422	0.488228938527181	0.45918298889871	0.144256639249857	0.237535375573679	0.832619171380568	0.493525124274044	0.336177571907384	0.832597070563	0.397940500364227	0.571498793277893	0.621708397451651	0.895435460656453	0.818348268243045	-0.385015092996969	0.348186077778824	-0.152684698949471	0.837513687515791	0.734288021982434	0.207514222326176	-0.385044694890694	-0.10280275800787	0.472177624353815	0.520748534221295	0.872817389072314	0.234647349024768	0.342697423261826	0.793168402041228	0.755719698745692	0.585462765928226	0.079563455417356	0.6589520061667	0.602812033302968	0.478500569890442	0.844830212286983	0.562031749321106	0.218273165424896	0.296587343568044	0.434573674837144
CD2	0.882760797353064	0.884271411635677	0.710474195311312	0.85552099967118	0.548782444118821	0.922741818468265	0.517473522645658	0.859707801347375	0.738282148041163	1	0.831641933107332	0.665751451661312	0.894507813090267	0.835647163017338	0.646986593987609	0.773894491728639	0.391726875972091	0.581855774591966	0.793254355758029	0.379640611285734	0.587888821076661	0.652451685339286	0.677039743955948	0.792828096909097	0.405710371986407	0.466134689185395	0.210332622352101	0.590942441582169	0.914770512885751	0.762875382149104	0.742014440457284	-0.226616691151485	0.737875376191521	-0.0425680417672057	0.735171440890236	0.778710627262413	0.157677160124188	-0.580711186444709	0.120363392126051	0.821440274690977	0.746716543815234	0.614697680241898	0.26863022407534	0.517221125422811	0.574382932204653	0.779086338981639	0.443920073156172	-0.252577033487736	0.748353159146825	0.362801629543775	0.509794459025815	0.771659075241865	0.215515868422292	-0.181221796596521	-0.00412442989532591	0.100054813065019
