""	PTPRZ1	EGFR	NRCAM	NOTCH3	GPC1	SDC3	NOTCH1	PTPRS	NLGN1	NLGN2	CDH2	NLGN3	NOTCH2	PTPRA	NRXN1	NRXN2	NCL	SDC1	PLXNA4	PTPRD	LRP1	TSPAN12	ITGA7	PRTG	BCAM	CD63	LINGO1	CNTN1	IGDCC4	TNFRSF12A	RPSA	SDC4	GPC2	SLC16A1	ADORA1	APLP1	APP	LIFR	ROBO1	LRP6	FGFR1	NCAM2	PLXNB2	TNFRSF21	DDR1	PDGFRA	ACKR3	ITGA2	NEO1	VLDLR	PTPRF	DAG1	FGFR3	APLP2	NCSTN	ROBO2	LRP10	PLXNA1	PLXNA3	FLRT3	CELSR3	BMPR2	TNFRSF19	BMPR1B	TRAF2	RXRA	ROBO3	LRP4	CSPG4	TYRO3	ADCYAP1R1	EPHA4	S1PR2	FGFRL1	EPHB2	EPHB3	EPHB4	ITGA3	MCAM	INSR	TNFRSF11B	CD47	CD46	LGR4	PLXNA2	ITGA6	ADAM23	ERBB2	CADM1	HMMR	NRP2	CD44	FZD5	FZD3	ATP1A3	NT5E	LRRTM2	LAMP1	ITGAV	AR	ADAM22	TSPAN5	DCBLD2	PVR	ATP5F1B	NECTIN2	SORT1	AMFR	ITGB1	ACTR2	PLSCR4	TMEM67	ABCA1	EDNRB	MCFD2	THY1	GRIN2B	LRRN3	DSCAM	ANTXR1	IL17RC	SMAD3	ACVR1B	LRP8	FZD8	CNR1	BMPR1A	CHRM3	ERBB4	DIP2A	IGF1R	CHL1	SIRPA	LRP5	F2R	TSPAN17	GPR37L1	CD99L2	ASGR1	STX4	SMAP1	RACK1	TFRC	JMJD6	PILRB	SORL1	CD81	PLAUR	CLEC2D	ITGB8	ERAP1	IGF2R	TNFRSF1A	CANX	TRADD	TSPAN14	LPP	CD74	C1QBP
PTPRZ1	1	0.814166171281882	0.861768964385579	0.821571867009459	0.725205293392857	0.861187876389364	0.756453951715209	0.844124934109754	0.905449163220576	0.830053183380143	0.882937454624474	0.87790610373698	0.904415537210035	0.925822532981269	0.777070471191093	0.77421657987945	0.780605229832334	0.45373433885597	0.528999102287813	0.667449346037268	0.914844650327194	0.728879602287775	0.840118415635518	0.796642970489932	0.746719477499196	0.574516807832982	0.481469915314872	0.323684836865251	0.736770436205958	0.620375537965083	0.560136376997635	0.612580431835907	0.485966840692157	0.826580894143931	0.735709914622412	0.629886053246835	0.873813293337837	0.728519786302768	0.905749653331081	0.78276760221585	0.75210224234358	0.579778665582738	0.702367681453003	0.709497488688342	0.820290426791104	0.568102282940921	0.641355646531461	0.752123866916881	0.87811728484436	0.725427417778378	0.679058069826314	0.881681736726923	0.719929994516857	0.791133054277415	0.788215419055081	0.919359266375868	0.715047298316734	0.799685180500408	0.779495728848909	0.545002074368204	0.745956429076605	0.884354307381756	0.793108043586156	0.70057052156187	0.538340324124376	0.830685762617495	0.695148394284431	0.869844344024876	0.462300047305981	0.830149923389494	0.598236059080267	0.701289161012757	0.57891525125929	0.725322871822832	0.792274087893351	0.530866181369386	0.669852791428378	0.586931612689534	0.729526950379896	0.793795407757091	0.51624273456082	0.781042410293061	0.903438945632336	0.769089846102648	0.780841897207512	0.601665478815244	0.92872691442596	0.745851840577348	0.737770720607731	0.40138985349825	0.555546267630261	0.527636910527323	0.807053617651168	0.936979108041434	0.410177024950497	0.775959187669867	0.919249821164028	0.765920536724108	0.841080263014147	0.6551517519028	0.776829796758678	0.743133402004828	0.804941011482138	0.767477783205269	0.565648457667957	0.730441212078766	0.890245724999682	0.721249298971759	0.707637950644913	0.853767656835216	0.602286562326082	0.877236372958978	0.710059207627976	0.792093275594778	0.813718857617432	0.362022304945829	0.530863439810764	0.702583141617114	0.530721133774502	0.819409090085069	0.688383686765251	0.668298052798269	0.849846214521692	0.725269769534276	0.722988351146857	0.77955374382338	0.889273255893334	0.555959618411912	0.850644020429411	0.862917182552804	0.910558210209573	0.699359024298482	0.664663564581158	0.849392620003098	0.822227462069251	0.739595353033207	0.809893833385519	0.786995198910725	0.679995536624644	0.766017409624499	0.806283910911161	0.520846923903159	0.863168650785772	0.690106666250532	0.856971721956832	0.580020276911812	0.719716635714288	0.351273137263302	0.644464367980943	0.929138868214578	0.779460248706858	0.791552622565666	0.740150126525085	0.884110778134901	0.508390343703738	0.71642961694774	0.869630263410055	0.00763363797334276	0.556197837586657
EGFR	0.814166171281882	1	0.624094189717494	0.685725884987012	0.52619977549267	0.640974672332574	0.915100801248967	0.909501629132514	0.829172386753191	0.836680145083053	0.807388396769817	0.814642503911006	0.778999240051623	0.845568832853376	0.582729874634333	0.691454548713039	0.923387517496387	0.56977096339381	0.248397649751347	0.723459027881265	0.774536178468081	0.886574286002441	0.733041683745219	0.812866187090993	0.629550481404274	0.570838252440152	0.718695145835033	0.407725727193524	0.435159661273722	0.64587715905091	0.761796490557674	0.481361518592563	0.73451356966777	0.922732064815292	0.441967642034091	0.503055602475163	0.670593842447525	0.379528255327293	0.744203972222209	0.867219697809809	0.519726482428703	0.736713685037669	0.529649440796022	0.50090621349083	0.598682925816754	0.838560837165223	0.810497100677957	0.492720971587439	0.659821612991778	0.438433216446371	0.385494512600632	0.691172013057371	0.387732454386506	0.663227713389233	0.661480303004205	0.778517431099537	0.46105764186518	0.614630467765009	0.578928674127884	0.801152133166679	0.837348463152177	0.632934185149861	0.804885991976892	0.368416615117541	0.809159407811655	0.824279776371613	0.523739089865951	0.815206707128976	0.719308565870843	0.876526291988377	0.287214561995138	0.709562733751282	0.816771256765883	0.652091289915714	0.845995769367041	0.787860947826232	0.821709040077598	0.375817191398456	0.721718444931533	0.75248758343221	0.71144797092077	0.797077047672135	0.798901493125471	0.67291164402271	0.82495472317157	0.215882948275365	0.675221586201519	0.550111648969037	0.481051258230847	0.657591479508179	0.310701289843635	0.197826328394369	0.723665596695194	0.854017905815572	0.643438451630811	0.867535683943029	0.854137718373723	0.64477936626399	0.600299099304284	0.413240657615356	0.85651887903998	0.820782108695416	0.687327153330742	0.701967309561103	0.76689974034152	0.641069202943619	0.778172235730303	0.567064681689477	0.612241505218023	0.852937712548523	0.284569833050046	0.847349866819785	0.398868359580787	0.559001631618825	0.702429399118243	0.547199506766655	0.729968103229169	0.454048186581705	0.747321283519303	0.797084102980781	0.422893580236895	0.422160719926071	0.65878288008044	0.850107245916552	0.510164971604789	0.497509422368628	0.713904208923431	0.688742699615652	0.587346973248997	0.869040019952179	0.803659365198544	0.403685227945293	0.350581376288477	0.880683136621297	0.745045971612026	0.699307977464792	0.619041952278871	0.635781234429714	0.708066954030067	0.672950698846805	0.877684900838588	0.716359296709343	0.673475820639713	0.863899850061747	0.833272420444779	0.282866164294908	0.659948590097156	0.445763545666424	0.793102507264017	0.797642937773477	0.521971029749749	0.599966303823773	0.58227073866426	0.722682875066365	0.429487110077222	0.782949596988079	0.664936069276993	-0.0225857756042564	0.771757085600846
NRCAM	0.861768964385579	0.624094189717494	1	0.76924186375338	0.893462780047073	0.822770846398427	0.617414751224776	0.749571791408042	0.912522959184354	0.750669801452778	0.896315050770537	0.840045842897957	0.8692164403535	0.84798717078373	0.774457775297433	0.670428538148154	0.704664144584883	0.581592423445901	0.769293836354275	0.528801894140583	0.895966559088954	0.515425763967499	0.855286132503775	0.652465945656949	0.812038673303021	0.67883804549377	0.391267856607932	0.280849562261812	0.766490077468066	0.753543102697743	0.583905760041657	0.840905297348981	0.346046677379731	0.70019833720456	0.787473661919342	0.866462389089219	0.955297872041884	0.758300541600744	0.807382079419391	0.664958417008144	0.867808066815121	0.403580392725628	0.875782806516042	0.853874273562571	0.89184487289765	0.374337097099747	0.497343717401135	0.831897552836109	0.855178231214587	0.857896574044099	0.776663253002845	0.901993611947257	0.729716556259023	0.898998701754383	0.876879644643679	0.75908682010521	0.843928733629548	0.871203075561145	0.879157979523345	0.404159121257261	0.681786218929383	0.879595094860941	0.666690095727397	0.718333057232047	0.462414908536839	0.778260843433388	0.804722898707391	0.736419465441413	0.320178963376087	0.756803563243693	0.646339231994542	0.766924400143629	0.462030078320794	0.773517394664955	0.748842447802688	0.379990060955684	0.550591152887185	0.849245617034652	0.715884704307953	0.795745698452902	0.398114017435191	0.783471691791894	0.814282223274962	0.889735183368265	0.694375734294828	0.582432861822249	0.791317488175738	0.843623845124782	0.830913813688877	0.284535660881365	0.819900640593017	0.736696544697329	0.70363089898318	0.843206061733211	0.336388763375952	0.658732603073786	0.856177479230506	0.855913156523053	0.883658686642404	0.782351963074552	0.626226698580743	0.702486301921619	0.939085297367184	0.821933444855896	0.574842361749502	0.807818107785166	0.875947751139092	0.809617242322052	0.861950451696166	0.838164978075863	0.679004039315842	0.800345620783713	0.839099825714091	0.764270267656465	0.88946282144367	0.381080645246201	0.230044341158836	0.837504388695947	0.417234730935529	0.746101239634819	0.809197185122395	0.789454124327863	0.850758681934196	0.574061480699247	0.768722369702966	0.776470750431227	0.834961899025384	0.380135946630857	0.764450230821061	0.738163972660515	0.847527052176394	0.733684296539389	0.763238121798496	0.765320210277772	0.882557619620089	0.791074647321976	0.866817482892759	0.874045210772486	0.685879539652797	0.852223416742783	0.75808921915401	0.561727069433106	0.816245485629004	0.628732459046879	0.792379987092008	0.720838110532451	0.778596743280987	0.340649142078267	0.485057197926577	0.855631928286471	0.839267158121703	0.861550162874061	0.81759043449549	0.920302184919617	0.676473203241442	0.653819201392804	0.949344666746819	0.0310433633267547	0.561495456465515
NOTCH3	0.821571867009459	0.685725884987012	0.76924186375338	1	0.839889798652833	0.942319572275385	0.599583721193732	0.675688923084389	0.796991831705114	0.730169525253998	0.842833480302358	0.874158582118155	0.910564689769575	0.907298690533304	0.72546688633415	0.637820381724733	0.685170787722997	0.466944649463517	0.545577621993213	0.402851260480106	0.874894767648873	0.708525493037276	0.852289574676146	0.615445594874244	0.846567070717726	0.643423057974581	0.259215820449708	0.0235383730501767	0.830127523113096	0.732009810892887	0.629641523575949	0.737253681273821	0.244794756026843	0.773038513952768	0.894556883733245	0.746210322031353	0.844663572406115	0.864733408756888	0.897198720264986	0.552274334186169	0.886551543363306	0.303733662780517	0.790064151498794	0.718893916731937	0.92700646381893	0.324194496882163	0.53366545599751	0.781211677917287	0.916951532471958	0.827514596982994	0.876955845120585	0.931401461076991	0.864433870280474	0.784403151324761	0.851020392154889	0.840783586297951	0.883598280466047	0.7661215954268	0.874936171905864	0.362110490422896	0.569121607204517	0.905560047462798	0.843179227067467	0.850967994007801	0.502271048713259	0.83603918368769	0.817613113875986	0.778092639610268	0.221044431999634	0.838757672080124	0.822266668532468	0.718480361256447	0.401597918134697	0.801642797920108	0.734549181583263	0.352308136313595	0.619439976217886	0.703945534191695	0.800939414019149	0.666468524239988	0.404008267714538	0.832401786907802	0.679502817231423	0.76491629534801	0.620577543539796	0.778441107264691	0.859990497331897	0.904157541810231	0.914811789011842	0.330533790710459	0.623418493559643	0.769019520955363	0.763287210827154	0.822258072213207	0.232716625448486	0.721624911866654	0.771814153861522	0.919468156641646	0.910891080512189	0.827293668987035	0.559718909506638	0.856778816223095	0.81476705645129	0.845800953767907	0.613486070599853	0.873333072043165	0.890007631559794	0.825784163386274	0.707631570042659	0.851641971876935	0.823868382928169	0.835222257630942	0.866021018934553	0.920981311566664	0.850444377012382	0.209249282742116	0.355084582888127	0.853364298635599	0.252621442725668	0.616061881196007	0.83595540314206	0.863255220666459	0.850652831643658	0.558940389855876	0.879554508586041	0.767745455763783	0.905077500937616	0.248864844913592	0.739217096710069	0.666422023249044	0.78010791572861	0.639102850123872	0.858741059022667	0.796344128196748	0.834933868040452	0.790874814966755	0.925387661276367	0.901912362305956	0.674322817794988	0.843340826450923	0.815517801893534	0.564580345744703	0.811183660359082	0.630770818643521	0.794758261246322	0.763927398744027	0.844545486892979	0.294690241257449	0.472747538069651	0.762175396171422	0.812919904391852	0.764646483994243	0.893854237439455	0.91702794207473	0.541118730503066	0.658905605157847	0.852225499635144	0.0415754182007409	0.598390618471534
GPC1	0.725205293392857	0.52619977549267	0.893462780047073	0.839889798652833	1	0.876602538969011	0.443052164597991	0.621110346616443	0.782353236625286	0.617462429215999	0.896118495224238	0.851988526092032	0.859169677533525	0.839757644843151	0.602794866831854	0.444522373214002	0.622507628572208	0.595597152310191	0.772960955680728	0.260519317994285	0.869367676967114	0.463399752491789	0.903803505554633	0.495101370829173	0.920107502172214	0.807578883673857	0.186640410646589	-0.0597139369232676	0.791400251205204	0.876207849058148	0.65497852055491	0.917428895142832	0.119802343817032	0.660441055877066	0.884020805485854	0.91374347790388	0.932638244721593	0.79269518161008	0.757385420317525	0.428837974102035	0.88781736053283	0.127167264404263	0.934276975277014	0.870394115654974	0.924667902785868	0.166048357557644	0.472611385450072	0.883226379472675	0.823601413990134	0.894565850599483	0.855581038950969	0.927591126959054	0.803898898614379	0.911037898649737	0.924174407077995	0.734724955927765	0.944738786362725	0.832411565141453	0.902259027849789	0.315136920490857	0.523522367618715	0.828006676829475	0.714056126553414	0.790939656672743	0.391310017556775	0.777387443584722	0.92030400324527	0.630032826420872	0.0823563222411377	0.765822191588761	0.739659823587973	0.833940818196483	0.290484858735764	0.877223163725209	0.668509297831079	0.202403297840944	0.578145183362733	0.929955472100352	0.728866853082951	0.672016031660921	0.421795086194675	0.837206430876303	0.680148127153533	0.843850273442741	0.510690955289488	0.658378444579283	0.699879638706434	0.938029440629036	0.913480255820353	0.217940129663319	0.876823807667278	0.847430948034473	0.735583520226972	0.778259468078284	0.114538601048025	0.630746508737246	0.766609691254465	0.936616185846755	0.876593287148961	0.900016450163061	0.421063617062556	0.779881284820945	0.92770585312704	0.864433277689811	0.63797457829386	0.914223544477128	0.863522832882336	0.873291963745551	0.885561923634425	0.806104259810521	0.78802943988521	0.770367512179738	0.889645549262185	0.815614702937087	0.929861933295733	0.175291396077311	0.146582226848862	0.901537338650176	0.164174604852407	0.526450145514916	0.920794040584507	0.858042533770325	0.771988959183763	0.419688368193245	0.850145500453225	0.836657212469217	0.785359266648036	0.173289021398012	0.597152584674901	0.567717253977168	0.713821968356448	0.772608039178074	0.842015223498302	0.706022065784447	0.883362018182883	0.828422426128841	0.941583928699739	0.919369507785026	0.714639803068274	0.911904922136471	0.755169124036377	0.639509002248754	0.824888742154702	0.59410747779381	0.717643828650036	0.802805138544841	0.885608518780751	0.30565076237309	0.313210530138739	0.75522019218062	0.811539986275005	0.817700894000978	0.94176422913237	0.929559928947094	0.771137402800113	0.624565852370678	0.914199267199812	0.043307150100504	0.616934737805762
SDC3	0.861187876389364	0.640974672332574	0.822770846398427	0.942319572275385	0.876602538969011	1	0.541597619797658	0.667076354339583	0.790447310972172	0.701125109029121	0.874975737821134	0.901207770399495	0.925750667720508	0.918455300282704	0.69842278155786	0.607435743393838	0.645170538875514	0.434744687682876	0.625580270454057	0.368681038778327	0.92551092768626	0.624829936701522	0.898750917376005	0.619585298194194	0.880690481293483	0.687046121649854	0.222517223724508	-0.0359713359197889	0.895563411357728	0.7247668237025	0.587883081778987	0.732975572063159	0.178237716854741	0.738396137949801	0.934326655919932	0.73292580877654	0.896971541198094	0.896808333444287	0.908591476529613	0.509608025382044	0.873673447383671	0.232028597944691	0.816603318617855	0.815260785481305	0.947379766665171	0.264485702025762	0.519573002260225	0.856816584974165	0.911213949038626	0.874109467589629	0.878976244004536	0.958753597769989	0.906130066537155	0.825193700803608	0.877544118944671	0.891474837452325	0.913281455444845	0.826140379674375	0.903885382225848	0.352329483288239	0.542352436543303	0.93367726961568	0.848105714149358	0.899743080521925	0.390573865620277	0.818177374094951	0.87622311538356	0.772060465656392	0.140485000158158	0.818831895268807	0.84460732522154	0.748322197191314	0.344433289787684	0.855919847875011	0.710051594945083	0.273648609951764	0.62371340258083	0.73068340320054	0.762502667327513	0.658631033670388	0.436102635919016	0.799550486707163	0.739731390152803	0.775868640088576	0.591323266942525	0.819781351732239	0.891454063086426	0.922877467534803	0.921807156481688	0.231857881157316	0.692419554031208	0.777507796544684	0.824406370425471	0.869798829966812	0.139079094239808	0.726270977242947	0.812013065979189	0.905890402973024	0.928175543565608	0.860310446102308	0.50323157495486	0.801514165717563	0.829954186649661	0.83231621261325	0.570920848780005	0.869625838734451	0.901643822672074	0.839335375753207	0.74878554608155	0.830839680784815	0.825980718150137	0.830643224887079	0.890082860239201	0.93249634270905	0.874769235876062	0.121305451148452	0.341747639883048	0.850614285086888	0.195845391350236	0.608327389251631	0.89381826435423	0.869454107968749	0.861110312548267	0.538944617756921	0.910375274793124	0.879422977477564	0.896661943273708	0.249381772319256	0.753514163817927	0.654329903911759	0.789045134345895	0.778668491366447	0.877211651278467	0.782138939006877	0.850285833138153	0.78758275334642	0.948723301794739	0.902132647174414	0.677813948900111	0.865280423782798	0.76926703688342	0.543033436768224	0.890889751233918	0.591201805892653	0.785606991925008	0.789007078634477	0.849252670698225	0.316968977408367	0.397697330480392	0.832710905833011	0.839373053858829	0.816475972265282	0.922192490341551	0.94637057068815	0.615701693147282	0.671540323613177	0.903295200237534	0.0563830366027674	0.555595609946774
NOTCH1	0.756453951715209	0.915100801248967	0.617414751224776	0.599583721193732	0.443052164597991	0.541597619797658	1	0.902381683277211	0.830458478869556	0.902246761786201	0.712938518517131	0.727684241550998	0.69949286236883	0.751817105470813	0.654730326975571	0.800095421235381	0.893308371780631	0.529556001323648	0.193071594025261	0.796862537774564	0.70331019928957	0.866468608578458	0.603670458953059	0.820352535249236	0.524913098393187	0.440785871700734	0.839547797727513	0.635422756587082	0.380424922345644	0.533540790358711	0.709406730292354	0.425890012994933	0.856916721475621	0.849399349879543	0.353214962626155	0.505374739895303	0.592471240502333	0.316474573120672	0.682442304720706	0.929521778130225	0.495149771781867	0.839186760459105	0.455912635437313	0.436286772240478	0.552620367911726	0.910516397115371	0.767503878400628	0.381871512684273	0.625167290881223	0.409309602922113	0.331247641109109	0.612256461784971	0.309414868705364	0.582381706896904	0.602303504990398	0.642491255809051	0.383624513322747	0.574641440352403	0.54257089580551	0.768951697919123	0.885394982353259	0.615515266100788	0.685481772772712	0.285341497171778	0.837887383922149	0.73702281688452	0.425246552241558	0.807380101392673	0.831398566392563	0.79334953839989	0.23413143825111	0.596021056300848	0.883702171064549	0.529527953102221	0.844485374446209	0.870988083135804	0.685807946775543	0.312764627437765	0.694689077376564	0.750702321383942	0.597019121228361	0.719032791213169	0.727865746067552	0.639241680767995	0.892840773853034	0.151654915364543	0.628368234102535	0.473306434417108	0.418452912503166	0.672523310138633	0.229751246334106	0.153165779804766	0.604251403179594	0.766295756384596	0.816711073210265	0.79283987808803	0.796273071634262	0.587285286996426	0.550747053865401	0.309545173580248	0.876592130813491	0.714012130877018	0.641026855979627	0.638724617810468	0.72597149837849	0.583077898383354	0.734608077533645	0.50071027900941	0.536409988597342	0.817974199763993	0.194319731544096	0.768891670688212	0.345041339368648	0.480399887673736	0.619023073630551	0.749192441520652	0.658223340692522	0.410147874465426	0.83041738592612	0.879828713256743	0.342340185994478	0.377067654862958	0.650838029324952	0.84856603404287	0.453525978832148	0.367209805625836	0.675693695175014	0.687982086431643	0.57770501124093	0.88158438956623	0.791325493985771	0.273246191936815	0.293692535392452	0.859098265030051	0.662738102975232	0.681897105400159	0.543408232907826	0.576413708418226	0.664879993085451	0.594034428884226	0.825139896389073	0.656832000536889	0.55076756664921	0.835002182453422	0.813157119071037	0.229937618304572	0.586088369336647	0.436137517854827	0.798374065314504	0.721894926594278	0.473283884299551	0.555675678180406	0.486308585301096	0.645036277581087	0.332075836696815	0.73312532753119	0.605205539654548	-0.00639193231639256	0.727401915666512
PTPRS	0.844124934109754	0.909501629132514	0.749571791408042	0.675688923084389	0.621110346616443	0.667076354339583	0.902381683277211	1	0.870185733790785	0.870043939403984	0.855489372744283	0.829750721870511	0.797166217758136	0.850846932448447	0.610607024255563	0.706334718068821	0.918910398590048	0.611662601373272	0.388486441508417	0.708947198701937	0.823071583804796	0.811650805825347	0.769686833662581	0.83796266979969	0.691496091060611	0.6436700006369	0.735854166505947	0.452065369337657	0.485820876368393	0.69198674111343	0.770855397485331	0.567658381880684	0.738604478376656	0.896391285536471	0.503189214886565	0.604116719078859	0.758250634936961	0.420556535880222	0.754015449896649	0.878590864236814	0.578311754106955	0.700756996482923	0.615146858412654	0.614102615384709	0.652233843897429	0.798527283480109	0.807118783406447	0.561267714331983	0.693843727489566	0.537990551909915	0.427439481258681	0.732551889481403	0.430526423579486	0.750982279122514	0.734813606388718	0.768431766291106	0.545428819208233	0.730974733372133	0.642994917148821	0.787979311870068	0.84791753248261	0.690682652159948	0.770438681823954	0.411773015980797	0.759426362265864	0.802163969092667	0.597353353159244	0.800430352861137	0.680946975553055	0.865507299488935	0.307272131439072	0.750276506915789	0.799404388124769	0.711139939864163	0.845698450607856	0.752885381535807	0.788639817870678	0.484320412153318	0.729993466932472	0.779987348861592	0.709450350354757	0.815960002810797	0.857452246789216	0.731676612962352	0.834553147346002	0.247785219920078	0.696772896020983	0.59648636835812	0.53558016926695	0.605981517631188	0.446033688309462	0.278166947706353	0.748253058008733	0.880686982579691	0.642817925414986	0.842268028379161	0.894981014098016	0.686805657205533	0.650283118033992	0.467510032969313	0.82754535262278	0.781146901590913	0.765627098198463	0.741899519477646	0.791799593050739	0.693511234274639	0.821630149711496	0.633047808982049	0.705966562519674	0.882196987995325	0.316078180510371	0.859841661493657	0.469027199286901	0.570006081875366	0.777105378287358	0.5930785216685	0.630759701107071	0.516974505856656	0.732582706547413	0.847212080928571	0.51619645450156	0.461989771250818	0.703532950793667	0.816361878101764	0.554761582948884	0.578626333265965	0.725562435645178	0.688534932549143	0.598375963723931	0.87708789977697	0.827778306758889	0.493942958645004	0.402182463566114	0.884512378709417	0.800919116108526	0.768278146007768	0.663203376616911	0.679378349763199	0.735877476053875	0.734073087145441	0.880599022377973	0.747756736156572	0.724966537985964	0.870831696654738	0.84813652494385	0.349418525857331	0.707113467477882	0.461343569639646	0.742909425323444	0.840954163160559	0.584699384669561	0.688136807870874	0.641689116847663	0.77505325894085	0.528275902022918	0.802813468623618	0.743150770937708	-0.0129691710232012	0.789004617406745
NLGN1	0.905449163220576	0.829172386753191	0.912522959184354	0.796991831705114	0.782353236625286	0.790447310972172	0.830458478869556	0.870185733790785	1	0.871614900149427	0.900907026614923	0.86834918022722	0.906066115462167	0.898216088896528	0.820397215606694	0.792130106004504	0.846017054974263	0.576195041022112	0.551383952100031	0.710568240338537	0.884404375332491	0.746402938149821	0.837724548463486	0.782545868800527	0.747678521848771	0.59808177609835	0.565143278532214	0.424591794180428	0.68000293461028	0.722110509912972	0.658672552208939	0.749232368553126	0.566961754815825	0.841696627572606	0.683172286842377	0.785537367980966	0.885884481222049	0.669753949014649	0.862171331551242	0.84053464377714	0.811598603360393	0.6369603915727	0.767562243058	0.713844379323119	0.832210848953459	0.634417104756476	0.622624071518382	0.707894797017183	0.866666704747465	0.743613606329989	0.680227785511055	0.877378945838818	0.645184351386391	0.829542747551482	0.828313886598368	0.81062549680598	0.731592055371834	0.783470156804566	0.815324962347346	0.559117583607661	0.807550557035404	0.865794036307351	0.76923888285154	0.614214966436057	0.685512359448876	0.838101310042544	0.699184534028669	0.846771423009055	0.548200329345623	0.852104198836345	0.543425995759867	0.755555993712753	0.666465993261633	0.717352460982381	0.843944416111265	0.607246245529972	0.663363441210305	0.700783784426222	0.796801312325688	0.827558941372483	0.474317639419129	0.841777756262751	0.83358615043655	0.867921555817943	0.84024193016589	0.478280484660617	0.811678613885897	0.784176789127306	0.761455021857121	0.530042710634062	0.611691220469964	0.577768241299361	0.717817424224097	0.893242531874476	0.542221923568983	0.754529910195419	0.908881058815249	0.838209897882989	0.848098073420688	0.672476004644008	0.799787694661947	0.806735455085609	0.894140967014323	0.805622004311201	0.658295965751226	0.789821039709904	0.909901734480909	0.735511165224308	0.779263576928952	0.916322974642502	0.564576217854911	0.86507479113005	0.723319339971356	0.75670411125144	0.844953556713536	0.527030278293801	0.443770528950318	0.769148517882203	0.60950354850779	0.860596169040545	0.675824078986102	0.710445197917834	0.868363091681656	0.740638996731632	0.735575467163649	0.662878943546973	0.865654633274456	0.525836479583273	0.801836140774479	0.884132402986922	0.920624430954267	0.582901255837632	0.65112989329155	0.882214098091393	0.860634790974623	0.801271602570257	0.820786166707079	0.843207590375224	0.716584101217961	0.810797603470378	0.858131258127461	0.610061864224574	0.759506340757993	0.750186613320408	0.896417322516114	0.595370785558293	0.755406068097042	0.374690995407177	0.693399945677783	0.892334857337651	0.78609669758139	0.793248334984438	0.749401038344085	0.896595333433426	0.53729831730248	0.733021731450166	0.893047944725978	0.0210174294489499	0.644576428786336
NLGN2	0.830053183380143	0.836680145083053	0.750669801452778	0.730169525253998	0.617462429215999	0.701125109029121	0.902246761786201	0.870043939403984	0.871614900149427	1	0.784297925065835	0.812867377601364	0.79769171169255	0.819356463673497	0.769577691619193	0.83934362879188	0.833430028947409	0.518115579921612	0.359675168804055	0.715211727418794	0.816291152960778	0.825590322819425	0.687780457404326	0.798874166296371	0.67092523655048	0.518470272047761	0.740728348311531	0.542094777418072	0.605169847787579	0.598998154755263	0.695389034686065	0.561166151359132	0.731874145236266	0.802465702564732	0.572623464706844	0.669984218398682	0.724548125018634	0.53817803822684	0.784593958631768	0.845322932336467	0.678960667343906	0.710750369657362	0.607829152294247	0.583992292752251	0.739298286219341	0.767905668213845	0.705931025261015	0.564121288410565	0.761578393864232	0.612406644883445	0.562472988645251	0.748730708258369	0.542136639129225	0.682988962264871	0.735882576636021	0.709185167336339	0.606150286732324	0.706878255327729	0.719632178503961	0.628095203149972	0.845924658883729	0.772932640706281	0.714035067868173	0.516790187783584	0.724483539606025	0.791882999909133	0.601269028485911	0.859378979700263	0.681096148840178	0.828291195778067	0.468529748029499	0.634263569261774	0.78583816079991	0.643063935501726	0.831481941730455	0.759686701543339	0.654537151871165	0.501420248280988	0.784956289784474	0.774724833782474	0.540301404620349	0.764683021271346	0.749543868666611	0.733022377741798	0.872985350939656	0.402492304673913	0.768054722533859	0.662319402818056	0.631506746669493	0.558570470090815	0.414539943540813	0.411149217234929	0.655812755712573	0.808447298537053	0.706973259142288	0.794771897508738	0.82333751295079	0.734643378232205	0.72856351050903	0.524369257569996	0.785072307231377	0.729043684400703	0.741179522061599	0.744757297447744	0.711570123322976	0.744077368681956	0.829668461380945	0.628129721375802	0.623204613269204	0.864438378345825	0.434367192370227	0.798341514407905	0.574628716089708	0.649585270436576	0.735620118558257	0.700935469145509	0.522745543209095	0.611843120971947	0.694814279319036	0.886806483249875	0.566195958747726	0.585158555840444	0.77276166946506	0.783354588816459	0.632008822083784	0.518819752176816	0.779872242476864	0.54502633682174	0.682911404134729	0.836205894458915	0.841417011656984	0.43127136262179	0.520547808188715	0.894041417731706	0.758075365683625	0.800210370842703	0.71756563786166	0.743699008035804	0.729688399806141	0.73148669344772	0.847849449052704	0.646747218288684	0.663856121184489	0.788633518118041	0.850190075621672	0.445845332958731	0.722821765625362	0.421720263435707	0.684813501658373	0.759593108467431	0.613352706428341	0.674323175303997	0.66492206258862	0.771423177352827	0.449285096144491	0.719270339287297	0.724250641988496	0.00666522368664402	0.700486394828131
