""	CD74	THBD	STAB1	CD163	HAVCR2	TREM2	TLR1	PILRA	SORL1	ADCY7	FPR1	C5AR1	ENG	LY96	TLR2	KCNQ1	KCNQ3	SDC2	VSIR	PLAUR	NRP1	SIRPA	PTPRC	TNFRSF1B	CD33	TLR4	TLR7	CD63	ITGAM	CD44	NRP2	CXCR4	SELL	CD4	ACTR2	CD69	CCRL2	CD93	LILRB1	ADRB2	ADORA3	LRP1	PTGER2	AXL	GPNMB	CD81	PLXNB2	CMKLR1	TFRC	NCL	CSF3R	LRP10	RHBDF2	HLA.DPB1	MERTK	ITGA5	CD2	CSF2RA	RXRA	TNFRSF14	PLXDC2	LILRB3	PECAM1	ITGB5	UNC5B	SLC40A1	PLSCR1	LAMP1	EDNRB	GPR84	CD3D	CLEC2D	APLP2	S1PR4	TSPAN14	ABCA1	FPR3	RPSA	NCSTN	ITGB1	JMJD6	IL6R	ITGAV	DIP2A	STX3	BMPR2	MCFD2	STX4	SDC3	NOTCH2	CD46	CADM1	NOTCH1	TNFRSF21	PTPRA	CD47	TRADD	ATP5F1B	CD226	SORT1	TSPAN17	SLC16A7	SLC16A1	TNFRSF1A	TNFRSF12A	PTPRZ1	CANX	CD3G	RACK1	PDGFRA	CD8B	CD8A	RAMP1	PTGER4	SMAP1	KLRB1
CD74	1	0.160808808168365	0.656507355656018	0.765346609355886	0.89677124046704	0.917954980234102	0.934709341120776	0.0890912450619623	0.937100450154731	0.86635033843218	0.784969512021307	0.586789358440749	0.565288125879619	0.514200546503673	0.223145843573116	0.44453956962668	0.734538854081266	0.62975325525675	0.928544210617744	0.814344163978215	0.687601386081979	0.818650800507429	0.45550831437566	0.78586136453149	0.930975010272959	0.275787738188686	0.952495158180929	0.00811438958366215	0.629264187598986	-0.24117113790153	0.459320333265086	0.00578836966202329	-0.259684857677623	0.392278161409752	0.406732135271919	0.386227776616757	0.792541984374816	0.515790935827151	0.968650029933709	0.831525559393291	0.787526372710023	0.163224136809944	-0.41638985840306	0.929028652064392	0.0231170450957028	0.37663811822494	-0.0437993299477096	0.789341272276781	0.536004781293131	-0.177027754269749	0.605827654613651	0.447052174070874	0.776597041681268	0.968137472409012	0.457523073747424	0.00144573120335957	-0.00238985126475123	0.874424400312632	-0.384575430596381	0.0677468836637172	0.937640599882622	0.190870709232243	0.487576176455104	-0.100298561542449	0.935509121245542	0.035088763491147	0.633991104823433	0.17071743126559	-0.077807272509068	0.602137431884102	-0.198904484336741	-0.119762583173525	0.0639017059761346	-0.0919711238159691	0.674869471253299	0.116572120827065	0.522043937160793	-0.0478681929536985	0.234307343688361	0.105463311932251	0.058491334235974	0.508387247766008	0.247264510679452	-0.0281195564505229	0.545984042525175	-0.127894462588717	-0.047682246165231	0.270094864106919	-0.177034436312657	-0.427107816040864	0.145368593814155	-0.117029527612113	-0.281545052934	-0.206027704187805	-0.243627223727397	-0.271842285021572	0.429621718418403	-0.0557874534100563	0.882630664214773	-0.209449934421437	-0.202088701452788	-0.42145288672658	-0.0842589748075968	0.510683456216185	-0.0286120337818569	-0.249142596742085	-0.131628227622968	0.147504190569878	-0.100083375323793	-0.264286544707156	0.0334558867073687	-0.10125912340973	-0.249380717720063	0.820583120286098	-0.234283946669587	0.246180878488082
THBD	0.160808808168365	1	0.805762616729545	0.688236481946287	0.420966241891539	0.293437589677645	0.153671529469131	0.788382206097185	0.175009265279958	0.256040270550219	0.424055525248173	0.828819206955311	0.797471220695568	0.720549850394735	0.612446052338015	0.653525923508283	0.6984797079334	0.606856329559821	0.0977980938175233	0.219696605341593	0.782445569444697	0.386686950755668	0.171300898583317	0.24634467807868	0.204731068242357	0.581435360777185	0.232944702045872	0.12985466044648	0.806485740220791	0.545877752665471	0.845634459647344	-0.272348816915122	-0.248201148170215	0.848015697461624	0.480182313123341	-0.12765831696885	0.131517679174687	0.804201447327132	0.125938529047351	0.284148166792826	0.677188957607164	0.216173516642816	-0.303013166367239	0.469686586535701	0.933623945252029	0.336536509919906	0.524341431950654	0.240266960908273	0.436494910265717	-0.163445823363764	0.234617378525481	-0.280126353601501	0.410022982036935	0.0868191816297134	0.85188417832142	0.741173045509329	-0.361942358980711	0.133387720427022	0.325630712997723	0.710776892780039	0.40115662120101	0.402106972919998	-0.158821782684359	0.251892059914024	0.324019124456523	0.850684452533045	0.59805130554006	0.389128249922492	0.81806629135877	-0.0964390229562245	-0.331047005352859	-0.51313789235422	0.352913920479314	-0.399631500510393	0.0265921910461651	0.541759709373906	0.870429637888894	-0.0510293981786742	0.399464408850302	0.156785616029803	-0.122172488043763	0.619958608152474	-0.0669263590960865	0.122092044475489	0.543025221718727	0.0276496295682214	0.196095753106393	-0.0842883222294318	0.0216963675619582	-0.015787617798089	-0.0171891319891067	-0.0479617410031812	-0.129842567994965	0.0770271530282577	-0.18199332539319	-0.181776202410285	-0.288628876083056	0.185529933547612	-0.0941386859808684	-0.102498901027249	0.315932040434254	-0.188179731624701	-0.0927233422991113	0.401029038808682	0.207623440945301	-0.259026655621975	0.0685781530155543	-0.109899530751704	-0.111129152831971	-0.243111889449078	-0.191123008627678	0.0921345839576614	-0.264403150183642	0.0433722435503487	-0.189344970424193	-0.372948336092089
STAB1	0.656507355656018	0.805762616729545	1	0.972349947818529	0.814806099791019	0.751000076026085	0.589971390702332	0.583792854457057	0.619954195607733	0.684715774173585	0.760425070753523	0.905597482696112	0.965037606198873	0.873829096301199	0.496063871545324	0.779399679274963	0.952899057905263	0.769083336359983	0.541568487997101	0.537136112349445	0.983365464331908	0.735548360317645	0.387319532412045	0.583869039667977	0.655193664569004	0.649436887931876	0.712220962006802	0.170925320224558	0.969528714589087	0.313268443132157	0.913628674621219	-0.21085585040539	-0.319520142511833	0.922148161989553	0.635289878619502	0.114383797205642	0.511491962763604	0.94035342412311	0.60267332230521	0.654691381003793	0.972269949631673	0.321675068355609	-0.471080262011703	0.858424595366	0.742990189184338	0.529629776339266	0.476932409360117	0.628576406291193	0.604771792910476	-0.164846403410203	0.477566467032288	0.0762931432317357	0.690966503998609	0.56159403858208	0.953878688993428	0.628949847380731	-0.26677262267205	0.552037328546791	0.116125499767468	0.677468773651038	0.798546174454529	0.404294066993102	0.123684132231446	0.205955212531859	0.746636681460466	0.742623673892276	0.750223703925509	0.478953933966879	0.653925428959175	0.176725997899317	-0.340265867650491	-0.406554996071835	0.385408673989143	-0.363754058965081	0.404444261420833	0.477877122936315	0.972794766078812	0.00357019461587502	0.477103042623916	0.257195617798993	-0.00311274703138481	0.758457106539559	0.13615521112695	0.141828456651647	0.686958523328421	0.0175667372517875	0.189308083862177	0.0627227968373988	-0.0125607304918091	-0.16498570313413	0.100269563931955	-0.0410526523928526	-0.183664603930275	0.010268397415776	-0.210781884145757	-0.217368544510685	0.0780683779572763	0.189607326477275	0.396294674958002	-0.143537529679192	0.215431232444219	-0.295772600953097	-0.077937703409637	0.639963457194024	0.218806488722278	-0.272421926874886	0.0409090058891764	0.0473979375385691	-0.0911835793519491	-0.265523784661859	-0.0950817348430719	0.0796484931680703	-0.28196199117447	0.458707699124205	-0.21811428616889	-0.148724472688063
CD163	0.765346609355886	0.688236481946287	0.972349947818529	1	0.850157194632096	0.846461408579907	0.672917189323756	0.514848109456606	0.726304319098459	0.820103566356592	0.860528946293969	0.896374790144525	0.91187136295732	0.841683404393798	0.394221712280527	0.775269187670992	0.95176798200043	0.767943355652866	0.66540849406795	0.589787188302774	0.953969634842614	0.841407216679683	0.458413976319379	0.707538164796353	0.782556812291517	0.622592177736699	0.808389875178228	0.142803846733602	0.961943898263902	0.240967045145948	0.825983623120948	-0.110294951759429	-0.246972054876258	0.851096180465623	0.621267328185152	0.235338772380156	0.584573306391858	0.926783384440704	0.7343943426409	0.7971840770966	0.980635668740429	0.293669790960267	-0.423417209096607	0.904148593106303	0.615843897620919	0.527865690733292	0.382448239969783	0.734081105554879	0.562500670134824	-0.180150135457992	0.501049827879546	0.199181455705571	0.672846239812988	0.661367008002554	0.885505116555779	0.528693661998479	-0.161215285396359	0.597917576955013	-0.0250744558316433	0.581163498948682	0.846341974327505	0.486436449456639	0.236489933330362	0.138589425391602	0.836312862080939	0.603985760491807	0.734619687778224	0.439658619830141	0.503296259241211	0.224363679146003	-0.255262723700349	-0.320917047118201	0.333435704815983	-0.266927478042345	0.492424585087478	0.36581768237288	0.911669556577791	0.00307228037687951	0.424405535506733	0.228215493995428	-0.0021757253846607	0.692835499535554	0.168813862200453	0.0959429942745333	0.687799849210142	-0.0293188274500638	0.144022541523669	0.0837808389097388	-0.0618304456693633	-0.231048939007442	0.0464160780133356	-0.0542199143606888	-0.212678661725899	-0.0447968010279293	-0.23437303085457	-0.240513367239059	0.2044054167498	0.145646915633203	0.547706844495881	-0.180721632697443	0.136130833247612	-0.348215739821975	-0.105704775706883	0.644244593812347	0.161606356969518	-0.28294656539725	-0.010625060089882	0.159157064211583	-0.107848035240984	-0.279587966362365	-0.00574837065031919	0.107945180431727	-0.291153885178838	0.573517328917942	-0.240569853140424	-0.0165001470654201
HAVCR2	0.89677124046704	0.420966241891539	0.814806099791019	0.850157194632096	1	0.845887380969202	0.904932195351109	0.179074133705515	0.852820103998533	0.801550989590996	0.757171447141692	0.704951676000945	0.753699204130927	0.597627366846445	0.470000341502061	0.521194321216783	0.857177775578633	0.678254967349602	0.833225350385618	0.818328390169486	0.831707765638383	0.695278572697309	0.396345840005529	0.681157054148049	0.835929222696177	0.429592265545745	0.908501435937741	0.0522924805462738	0.769108022738672	-0.132230278304987	0.712818751550854	-0.210383771874466	-0.393171950647579	0.583813694710358	0.470234328199306	0.183865873658779	0.772144704236554	0.656527801812217	0.848106310457441	0.728176520441908	0.887769405514732	0.217726161381198	-0.56205222154863	0.961064080418537	0.277219290536495	0.431314230973072	0.162480537342524	0.664496169106743	0.694953487565257	-0.18258557927576	0.685833533029658	0.272031603809993	0.897875494690068	0.84847161218365	0.655353373225105	0.18669263575973	-0.21316926978573	0.891209675310707	-0.12683470823549	0.301961367894965	0.962013763658948	0.16574028418253	0.43538167291493	0.0192270269662019	0.920067394816649	0.296041732794233	0.707931122059397	0.264645765520044	0.194482062183886	0.580876357597575	-0.372489490286212	-0.319092484767553	0.178744645897263	-0.271316656126361	0.654796128961441	0.362619556877516	0.705514712771193	-0.0917626438413639	0.422411882963683	0.155375079070893	0.0991232779375903	0.787517210511895	0.221634054252867	0.0267212037324811	0.647250900164815	-0.0541023004938856	0.0313972380082422	0.21074525915889	-0.116079420641502	-0.352743232544492	0.256339310882453	-0.102786138962786	-0.27833365000375	-0.126544365344662	-0.241115756913128	-0.261026330857061	0.244868653192115	-0.0003442756087627	0.667162812078242	-0.169797258851331	-0.0925895359694336	-0.404068180894677	-0.0242800060324252	0.598975341353355	0.0753851392186444	-0.270861036643502	-0.0494619146000124	-0.0380486809967875	-0.11357000311348	-0.280846811246751	-0.191548718819087	-0.187094874442781	-0.281168176591961	0.743200447203833	-0.2387706926111	-0.00504201330418948
TREM2	0.917954980234102	0.293437589677645	0.751000076026085	0.846461408579907	0.845887380969202	1	0.773132211457992	0.297019847950532	0.767509130551782	0.858135044245105	0.83937154371227	0.656798951820417	0.647857296075976	0.748455253238171	0.100181326099712	0.651231117874263	0.751172132906837	0.596639060750503	0.794486147559141	0.582260079420355	0.741803205453879	0.883692158658901	0.32515811530145	0.677193545550052	0.895903652953869	0.280272161994079	0.955167238050737	0.0197561428367511	0.71724980530748	-0.153796844469805	0.52409794160109	-0.0720037156003698	-0.299408520749072	0.571875687083081	0.378867243228923	0.298947909676816	0.578393045220731	0.703552034573913	0.902805601053639	0.77617099088145	0.837041274099412	0.165248982007695	-0.457366798482651	0.88583575515683	0.225870934106791	0.389634098151274	0.0781811596849706	0.859381906123016	0.337899347958197	-0.264336507574298	0.355269429470528	0.309578489059065	0.609874604201663	0.803246805022394	0.621674674989223	0.203872361377788	-0.140122436278722	0.668751547811835	-0.337593711953452	0.17935576310146	0.865797434698003	0.31310026853777	0.262800397550555	-0.0681162092585694	0.829453671697931	0.226403062792378	0.612127334458097	0.24420343729125	0.109064170338826	0.336656782696312	-0.256080655971954	-0.255737507101076	0.128221884099255	-0.279351907518748	0.461156560635519	0.0634717774725056	0.617419467261649	-0.0963826286938097	0.161719216404696	0.071740463503738	-0.0855789381723574	0.425471490089764	0.1708198631567	-0.0773936653228555	0.454590727453042	-0.182205772523177	-0.0551964192618528	0.0338365759266739	-0.18419976062158	-0.446623231308656	-0.0238998047419506	-0.133823811615556	-0.295932068923387	-0.225340696980464	-0.28958224870965	-0.322559321349218	0.325435101767438	-0.032687652228638	0.820651681566076	-0.288283694662079	-0.100722078224103	-0.461094155324036	-0.20059792116541	0.493199597557504	-0.0477459762269176	-0.313514514636174	-0.165920613549323	0.145002489894113	-0.200968071306699	-0.314298443471933	-0.0137712401443036	0.0344343283443532	-0.310388796536257	0.602550431146796	-0.319259241453994	0.0739103726916031
TLR1	0.934709341120776	0.153671529469131	0.589971390702332	0.672917189323756	0.904932195351109	0.773132211457992	1	-0.0472208685062895	0.924432290069486	0.776798587309223	0.671125433405707	0.510923565229734	0.525281471166504	0.336085879151539	0.416841524590299	0.223885196563876	0.677804098381754	0.571103773717573	0.919655339110333	0.940426116539173	0.653840149846294	0.648970089546648	0.395813344988155	0.764878344555977	0.897649478268597	0.238469434014693	0.862909339590954	-0.00809932016517296	0.540335631472259	-0.373032584349737	0.482871293987615	-0.112689287942296	-0.362567180462428	0.266725389291427	0.354378045788936	0.260925925249752	0.850076338148304	0.371208087835911	0.879266865859554	0.742351061827404	0.731129076739797	0.122471069086386	-0.497343584016054	0.891265119399243	-0.034564272714604	0.318120895516829	-0.0872490859031955	0.564591726924935	0.701620354181181	-0.133204155183214	0.781534147528515	0.379175343143931	0.889581425767934	0.935303506159721	0.356278197839242	-0.100509323357947	-0.071934512428734	0.950887609767841	-0.312677310870177	-0.00929188305027358	0.94109536993033	0.0695847953115785	0.588856328092602	-0.102794860285202	0.929670689013168	-0.040723781909185	0.598559565785481	0.0952430220035093	-0.129279381335547	0.809153112853476	-0.287326121648933	-0.173200600789489	0.022348980774458	-0.0971885651830897	0.718601505217686	0.268127972040793	0.472449836808792	-0.103761047271611	0.324111261000684	0.0953088756439853	0.108981001273719	0.646480546194113	0.260969193881519	-0.0450458987064965	0.498100009529982	-0.0798159988131108	-0.0509096888584707	0.380221516524245	-0.164588059709969	-0.379338175651372	0.296886235905491	-0.114210938556733	-0.283930624682949	-0.186525846511132	-0.206423005746134	-0.236603343289183	0.27431541477394	-0.0922881654616969	0.751283104150344	-0.138861979312322	-0.296304688347304	-0.423317705351004	0.0367771100843284	0.516432704461234	-0.00771918129936509	-0.204409715961223	-0.0966274982878586	-0.0138666243716618	-0.0686641679384311	-0.234334654433188	-0.0945748647731121	-0.319062807461497	-0.215805849775419	0.868533477044116	-0.177766852746091	0.163662788342187
PILRA	0.0890912450619623	0.788382206097185	0.583792854457057	0.514848109456606	0.179074133705515	0.297019847950532	-0.0472208685062895	1	-0.00341277907261964	0.231692567750397	0.420078989878007	0.727413781925751	0.507195441313769	0.715254768155739	0.320745689402544	0.6751129106292	0.462820473830582	0.390663294863742	0.0266179752254384	0.0103872169261553	0.510177910886054	0.437790077189941	0.140432869682943	0.197869650317145	0.111792122407138	0.408502246998239	0.206214510969016	-0.104182449740149	0.640788614461074	0.548442852945756	0.52659403955354	-0.0532083688984803	0.0288401369965281	0.677393637022696	0.205542501414125	-0.00277992860774019	0.0118848836618306	0.713349472901234	0.123600895571824	0.246309469723659	0.460313201188994	-0.0505658217361485	-0.0336871617629252	0.288482250763972	0.75878786351461	0.0620678171969413	0.224915796254858	0.304811418667201	0.00344111017812416	-0.393225834590329	-0.0641254366977385	-0.355151955610745	0.0883139681460865	-0.000741111386884017	0.667456372711514	0.55923617500177	-0.200664056135673	-0.100152558146185	-0.0151292686602232	0.469485476060207	0.169136087612809	0.51963573934795	-0.232182400651165	-0.00835404065752469	0.112255900587397	0.646340733955267	0.427251974813423	0.126226688253593	0.571674790235919	-0.276525884503409	-0.109354430048898	-0.525982103177486	0.0797380054929863	-0.238172472219413	-0.261990216376921	0.109579923552012	0.633427711474159	-0.202929990878127	-0.0341554606112841	-0.155989112013143	-0.383446959481459	0.189404821226014	-0.318338498612172	-0.152637739352588	0.444198800683999	-0.268213434511322	-0.073449572129744	-0.376981243207865	-0.208735993292114	-0.25034261282618	-0.409878577692425	-0.266365071397531	-0.297762417920798	-0.167513162844915	-0.381160079133928	-0.386953843229764	-0.275476036457447	-0.0405243707686925	-0.0322714814155526	-0.364783537409201	0.169093693717998	-0.358666426557173	-0.415946079662684	0.0577361930662629	-0.0981503498532533	-0.459560959317328	-0.210968992253484	0.0623027104116363	-0.327839078960725	-0.428176977559568	-0.0662592158829722	0.290637037173875	-0.439820128329738	-0.10270854408491	-0.409542259536806	-0.221578521722275
SORL1	0.937100450154731	0.175009265279958	0.619954195607733	0.726304319098459	0.852820103998533	0.767509130551782	0.924432290069486	-0.00341277907261964	1	0.839664500480376	0.732642484487502	0.585906534568423	0.546198847952708	0.350496541576224	0.297651816235851	0.358489646914482	0.743928502528359	0.652733931918293	0.917216090556852	0.870027311470995	0.66215320944732	0.741300089888274	0.618577576424633	0.848238870651272	0.863516433714631	0.35445303922937	0.837999394454677	0.0396760398276953	0.621955374526318	-0.104529757355031	0.44446522000938	0.151650233710384	-0.13179777384341	0.34374477890378	0.492432607815546	0.504692423325657	0.848959769872413	0.448792061229098	0.918680631086186	0.873137254989026	0.741662008477303	0.206250253831445	-0.267989522999837	0.894420893463143	0.000617505630802984	0.405597630869548	-0.0207176917158087	0.707415042366737	0.648458037060409	-0.072226965886641	0.731133484895358	0.514710156446837	0.798921574183613	0.952409914376678	0.397307159414483	-0.0152244975267377	0.178255045691467	0.882910534330828	-0.313266219848123	0.132530950734815	0.902457121337884	0.214364062655737	0.600513484050359	-0.0481351803779094	0.952143478083545	0.0163705901189196	0.62307859183109	0.19436261318616	-0.0806920114674608	0.624867961224664	-0.0492039004339303	0.0608517671830922	0.0904352682472648	0.10207454541554	0.796105548634711	0.173959967075316	0.506397413133289	0.0544433233085161	0.331208335282965	0.174026616643983	0.182004359201237	0.566284533326443	0.292339568252591	0.0920168624660024	0.650210245190821	-0.0364933583871826	0.0311042138493994	0.407827402211785	-0.117388186887539	-0.304007960231359	0.221975557450574	-0.0577941327801753	-0.209614342103919	-0.120635219286367	-0.175128526880376	-0.182629774386659	0.535392693452367	0.000362871197185721	0.816029411674792	-0.112190081301581	-0.164232846659487	-0.292556721168048	0.00630429558260148	0.530409109095806	0.0488282080228364	-0.168182952756894	-0.0562010138740768	0.258980948654193	0.00537711079290612	-0.192319121461388	0.177451715104396	-0.0464093148622154	-0.174386683180828	0.919627637677932	-0.134073519665395	0.403982634933123
ADCY7	0.86635033843218	0.256040270550219	0.684715774173585	0.820103566356592	0.801550989590996	0.858135044245105	0.776798587309223	0.231692567750397	0.839664500480376	1	0.937616575465053	0.66536603761035	0.567904420801162	0.517179515318482	0.205115753911707	0.502067924762702	0.715704273381047	0.503348570181253	0.891597817510776	0.685171152862109	0.665151113119174	0.822927038294831	0.637706837108309	0.891990088654676	0.8986795306615	0.473300473653613	0.877445933495678	-0.0624431102609091	0.740553033533427	-0.0222037083115319	0.453056747369233	0.208974364278234	0.0573086253231474	0.453888286729754	0.375818064155999	0.535108629947875	0.721683461200174	0.655827569304439	0.902861523129132	0.938188785312604	0.770291158249098	0.0581510924574649	-0.160182205663614	0.825714295507204	0.117536978880235	0.314259101737457	0.0109774258121282	0.731636045845732	0.416572438111941	-0.264885270531687	0.580368904321779	0.375654872430235	0.577309578867019	0.773890045641977	0.501842439654657	0.0898727299387712	0.188062928753654	0.659355551515125	-0.386064501000074	0.224886535097043	0.803964256639136	0.571726631391396	0.623180814106737	-0.128363404640793	0.860029033532316	0.12712450494226	0.49000067932331	0.141938124930701	-0.0118216106154105	0.385621235578464	0.0731020036073514	-0.0704392428869914	0.0279664844891623	0.116146185915963	0.594334214531986	0.00617757090196044	0.546279798271737	-0.0994461995572365	0.179112562971808	-0.00220842838300967	-0.00526719387721203	0.489827336163441	0.118773321319049	-0.12962764437513	0.594952109958908	-0.217697804562095	-0.0934758990337509	0.0703858229412716	-0.245172949179125	-0.421166457735304	-0.0695036296660997	-0.181588514795206	-0.33123842310166	-0.254265882618165	-0.331728901679847	-0.326977085886231	0.443562294715123	-0.0991017093928454	0.763809534112196	-0.312067844658741	-0.198520913937085	-0.442856199633645	-0.215873680654198	0.448655613889528	-0.0969095331067876	-0.351067663205397	-0.220254428407188	0.425385087081832	-0.212208353402507	-0.354729743883017	0.211818092720728	0.152555079673461	-0.351403305886608	0.812969543216327	-0.318280020722277	0.349737336867438
