""	CD3D	CD3G	CD247	IFITM1	KLRD1	CD44	LAG3	ITGA4	CD2	CD8B	PTPRC	CD8A	KLRC1	KLRK1	CCR5	CD69	S1PR4	SIGIRR	CXCR4	CD226	CXCR6	IL2RG	KLRF1	ITGB1	CD28	CD96	F2R	CD46	CD27	TNFRSF14	ADGRE5	CD6	PTGER4	IGF2R	ICOS	SPN	C1QBP	CD47	ITGAL	CD82	TIGIT	FAS	KLRC2	PILRB	TNFRSF1B	SORL1	TRADD	TSPAN5	SLC1A5	KLRB1	CD81	ITGB2	CRTAM	ADCY7	CLEC2D	RACK1	LPP	PTGDR	SIRPG	HLA.DPB1	PTPRJ	PDCD1	VSIR	PTGER2	HAVCR2	TSPAN14	JMJD6	TFRC	ATP5F1B	CD63	PTPRA	STX4	SMAP1	HLA.DPA1	CD74	CANX	RPSA	LRP10	SLC16A7	LAMP1	APLP2	NCL	PTPRZ1
CD3D	1	0.966734696095577	0.793322563871709	0.918545822223184	0.570897229265723	0.607635262781866	0.747322897026866	0.789005829931862	0.937875475264227	0.934019270022387	0.835521374525144	0.574872304935479	0.644556961802652	0.83030838940827	0.445233527178903	0.938889927598693	0.832469656353734	0.730809224514379	0.893553466152883	0.779896929926423	0.768905046852504	0.934268393039937	0.450922538290399	0.43733598954979	0.408290021384243	0.917606393090885	0.256880460325669	0.209499035515008	0.914602408688072	0.809417919631447	0.930653025690109	0.513107336948696	0.641874324225615	-0.125091312154271	0.521951272059104	0.81328144783778	0.0951684502282681	0.306199387137272	0.845446508705109	0.0273059926094582	0.550482492134947	0.574272745355127	0.0700161422065907	0.0341308387431289	0.46700624139999	-0.340884921375574	0.597438241662882	0.240182599823454	0.208644150274088	0.874260906673055	0.15820473395143	0.241311645666965	0.530509553068262	0.141423217284912	0.672224391281665	0.414242129637907	-0.0514463483057636	0.695407762763923	0.695287964636074	0.33211351200566	0.113743625925869	0.827434232271444	-0.0179131437117982	0.88186311606461	0.139808910899084	-0.119364873116644	0.409834175367553	-0.473712862320802	0.127129125805084	0.217710798062713	0.125059065012695	0.382602022809673	-0.0375956267171382	0.238946760624544	-0.0419112353432124	-0.367617748761545	0.661966541075871	0.599016080676937	-0.431666556519169	-0.349196071540094	-0.425973408520663	0.394347335987771	-0.45419190490455
CD3G	0.966734696095577	1	0.773581451776682	0.87685599630022	0.539426081197538	0.709563469656297	0.808978652027402	0.780510421266516	0.938565492588981	0.952191404300349	0.868169392899801	0.657661327044923	0.581080612642605	0.905559220220043	0.501403812214436	0.985994465414649	0.792564348015709	0.692227345858851	0.952600896166945	0.837849837974852	0.741401227801983	0.929362251612073	0.453482611287432	0.396690606576348	0.509606359757044	0.93282079020873	0.272640489441242	0.23483795154073	0.868505293499262	0.777278362985446	0.968657177745721	0.545387072110379	0.748736167239053	-0.241076715559865	0.630082685615051	0.846272664360993	0.056611944030829	0.376603745007842	0.827238558168267	0.0105329519545007	0.50173858118716	0.596792295309425	0.0310206271409168	0.165799645341382	0.468418887339344	-0.340572590828603	0.681163248139582	0.173544955672419	0.165960366221692	0.876803466710284	0.127420870194406	0.18422279507286	0.466602635366256	0.258756740602591	0.750121662499978	0.399995458423798	-0.0899346476574132	0.560790148463203	0.622172844389467	0.279686824776652	0.0246248178888469	0.800566784583675	-0.0777353935522144	0.936690698198913	0.0466392648587886	-0.164573797161308	0.460570702086957	-0.490578163398322	0.0894781169862802	0.163838095643376	0.110670822758761	0.409508295059331	-0.0401502450267438	0.181422089803637	-0.0962908973414344	-0.383648121464676	0.660486148213714	0.583191911410784	-0.415876753114986	-0.366947780440223	-0.427342804739291	0.418695091895233	-0.426278509789774
CD247	0.793322563871709	0.773581451776682	1	0.790043579584514	0.535498937060498	0.49261915804239	0.568991320883342	0.553659039371858	0.687964422656643	0.661428606343579	0.60865727453859	0.554743387675441	0.883666321967059	0.670482675739062	0.525792576723392	0.799351379784895	0.745044844107055	0.536200295578629	0.807044074745554	0.505443323379625	0.452552005754409	0.887970087820207	0.443013294137946	0.34036828680392	0.37121412656464	0.902429846846018	0.199939885627699	0.00227954258658575	0.585251401834297	0.752407638967827	0.747267208056089	0.646810743529993	0.420464746768553	-0.3443946219413	0.280148613631272	0.494728271270703	0.166209160753826	0.286508852702619	0.69679427624774	0.179583331528712	0.278429674149393	0.295604539152439	0.165697537609125	0.0741369988598311	0.355319924715459	-0.42040859816885	0.40528320501996	0.0271033777173781	0.138487040204606	0.848266178188899	0.190792663463711	0.115118747752969	0.621877418980203	-0.00660035444637232	0.430244303973901	0.479134365327649	-0.175560879481585	0.500297029181499	0.557970378488028	0.389536962439415	-0.112884384891211	0.67209129172103	0.0231016895621511	0.755489716424603	-0.0144840155489748	0.0946208790538008	0.168025162355087	-0.511620858608235	0.198169874569769	0.304650995220276	0.11606149884985	0.241121846918833	-0.0689190156937119	0.338856849439604	0.0340168734418082	-0.40468451146999	0.652676510390538	0.513471046798856	-0.405656630908862	-0.389135638830464	-0.417061460636821	0.301159841381326	-0.449978806813479
IFITM1	0.918545822223184	0.87685599630022	0.790043579584514	1	0.677403688561388	0.556158322648497	0.686608114134084	0.705325930429388	0.898249732941269	0.835310460132918	0.72525492581116	0.594456940661084	0.64035003899664	0.773185985349444	0.454359760646965	0.85742687396634	0.829343765771345	0.684825391717047	0.831931185995043	0.648291225491464	0.629880047786742	0.876363731036851	0.566169360795475	0.379872067758724	0.429010313730599	0.853228884960254	0.204117014601591	0.106307457757283	0.870776849959283	0.71706929508407	0.842659217436576	0.503897681938464	0.566321647890787	-0.107781036881785	0.411293346130868	0.694014895254998	0.0669031459542748	0.11373985550287	0.870263917509159	0.130639497582318	0.57413943279566	0.467777839389141	0.125886882371455	-0.0138094488198156	0.336238537643537	-0.45068449010516	0.474544338190986	0.200252177031268	0.208589443684099	0.846533579175223	0.0426385487981448	0.141565724739677	0.556188312276191	0.0671981228689155	0.561132871279244	0.345653085059492	-0.13983089981613	0.718188494229008	0.568542280450503	0.254601404268898	-0.0449424976013407	0.844938755915604	-0.140601935884511	0.753125257099265	0.0115636119902154	-0.0540546843829672	0.24005408600726	-0.570407707757899	0.104170268403595	0.172408987278677	0.118664977808873	0.205767502999649	-0.118863617205194	0.155068480573973	-0.15234120920842	-0.446210176862905	0.583402825209656	0.462465422545547	-0.481668871583042	-0.368163893498743	-0.519202451322846	0.26391044715388	-0.53278445441537
KLRD1	0.570897229265723	0.539426081197538	0.535498937060498	0.677403688561388	1	0.232498977706691	0.331101766051264	0.10333958044268	0.549058930809607	0.387643405958758	0.234127118453954	0.507197041924459	0.462484644056236	0.3487206974115	0.275832751761614	0.524493847660482	0.755854840891293	0.211433727580976	0.621737186367927	0.36420243868471	0.12529139552379	0.615742208086753	0.870060847383887	-0.232873185136891	0.377376798071788	0.444939301928792	-0.348128583402747	-0.379901655601863	0.567651567354416	0.356135122312186	0.457567159454173	0.223250537354513	0.154185907383552	-0.0968778333040261	0.0239391202208207	0.236197441715737	-0.159737476050793	-0.150241461063095	0.829209364279877	0.276230102757675	0.5561542809113	-0.115653497148822	0.438612609524728	-0.159247005569855	0.0985761262817481	-0.6288260294148	-0.102771297617571	-0.0556993729943608	0.391517963880593	0.76210727591732	-0.437485028096484	-0.00677706049609189	0.753888660082152	-0.228239179487803	0.0911359785396148	-0.0705402755569337	-0.568244449169154	0.621099674372378	0.0897746532014174	-0.204698308142109	-0.231380102796532	0.706955693181701	-0.176275688785834	0.458456429271085	-0.172962948090066	-0.201170412756122	-0.0797571241607342	-0.623363558050268	-0.271460160665292	-0.309613433208133	0.150682833422386	-0.313222490738402	-0.434450995621226	-0.256812766506748	-0.431736944222685	-0.565172666605608	0.119272304082003	-0.0214360620324706	-0.40310634162377	-0.643689481675339	-0.733541215113308	-0.269996816215777	-0.43985223171038
CD44	0.607635262781866	0.709563469656297	0.49261915804239	0.556158322648497	0.232498977706691	1	0.483200595757801	0.718288289591927	0.748910009470785	0.752417490639042	0.834943574337398	0.567964900429606	0.0915552858619997	0.82808479212141	0.540131117090855	0.746429252330935	0.646276898032301	0.405788090276726	0.748989233365127	0.720681931558954	0.626099487938691	0.657441813445753	0.413317973534848	0.360234713237118	0.533721595043922	0.700933367223002	0.356578904399242	0.401029883015512	0.508008008724387	0.278068372993002	0.655672552281673	0.625681039691292	0.894016842119432	-0.245889994486962	0.679931241275871	0.729947872349963	-0.141768978296771	0.423106836211883	0.518417398089459	-0.112199892288341	0.217971249651869	0.673731397620436	-0.298609737068245	0.482275699591321	0.629039148054327	-0.000595626179240857	0.651733626214599	-0.0495300588205279	-0.255411242971259	0.567455304630716	0.0574244907377894	0.146979946611605	-0.146880194157923	0.595775939334916	0.797314727587657	0.130240665791607	0.0485084178434487	0.202480732313023	0.292495290211706	0.210057288261072	0.00691412221143485	0.557661578712205	-0.124841218323161	0.575339790802282	0.0478305197728176	0.0980145133530048	0.387273620382898	-0.350928036355323	-0.113303026733328	-0.0329642636271094	-0.0503587464784814	0.361575095093995	0.0403021575269526	0.0964717565978579	-0.0609105466014086	-0.254677155380829	0.318784507358319	0.265857499034506	-0.32789818725837	-0.112401598812021	-0.111558890211297	0.349933396523915	-0.324733688854779
LAG3	0.747322897026866	0.808978652027402	0.568991320883342	0.686608114134084	0.331101766051264	0.483200595757801	1	0.567777085152694	0.783459676953526	0.763853193722369	0.673796953397247	0.787888247784028	0.406447335971889	0.804155814217399	0.657647164065145	0.767610956572754	0.447965993944507	0.685288858879714	0.779324583854856	0.65166833468257	0.458325309054281	0.62561036824219	0.298703809675442	0.199257005193335	0.714365640085774	0.706608949015544	0.319740859896911	0.195988616750083	0.691572469344072	0.648530402874805	0.781503198680571	0.520585757960656	0.601295533612578	-0.245479470387638	0.799931069607134	0.643008288787465	-0.0562246689971075	0.18809860003727	0.66183351816045	0.264681158225565	0.589513354167595	0.361559386543377	0.0743566964115452	0.384702873147052	0.238808344555073	-0.303389206250874	0.609942458368217	0.139935330069979	0.23459893939153	0.617901219069049	0.0662546279716032	0.0445290366583575	0.339066609004258	0.447022312594424	0.795819268088929	0.242727018793082	-0.0878118075081538	0.192135185573131	0.317232174815992	0.118818757208804	-0.202827662547215	0.478966400890631	-0.108888526100876	0.820961524899205	-0.163246698207011	-0.0945276226163754	0.308126183747133	-0.349570220294071	0.054435119590407	0.0378899853807021	0.189161862170135	0.378419708081576	-0.0620300019605789	0.0648740957829447	-0.166921317765223	-0.319009367941218	0.499524422665357	0.403637164385972	-0.238735959719601	-0.254788738317212	-0.388576988752169	0.301741904836296	-0.296243312801275
ITGA4	0.789005829931862	0.780510421266516	0.553659039371858	0.705325930429388	0.10333958044268	0.718288289591927	0.567777085152694	1	0.807759504899631	0.872157726102515	0.914092303107746	0.28832242875348	0.370712194449283	0.834295494207437	0.28989019216095	0.792056496198364	0.631856685097606	0.779043945188013	0.656492922870413	0.696190086775122	0.932274879702661	0.749553934404268	0.0818114490767024	0.801103096026167	0.198612797785529	0.783963521119954	0.59574815275355	0.639971204999484	0.762241863876298	0.670310752092006	0.81913597666938	0.449103633470863	0.808496314530729	0.0392840135721924	0.542491766158926	0.921880845788111	0.20015748787528	0.452746592499493	0.504445882412074	-0.2228016398743	0.349292009985261	0.909205167738725	-0.283698193086009	0.146553518996897	0.628889421482501	0.095088423240868	0.749317645354006	0.344339902992479	0.013990837952586	0.50749104010387	0.483531097740627	0.380995376486111	0.0288159593528796	0.376369520978743	0.755660217087834	0.484588472646095	0.388346964836286	0.539357347644658	0.788902576929168	0.560123614178698	0.358335343037706	0.590839168781166	0.0869482687674038	0.667838548311161	0.343807365740944	0.0787689645066047	0.600985999296902	-0.124049063762278	0.315094409683824	0.465924605585505	0.0366247109787793	0.616862567414987	0.283122668668391	0.467189213285841	0.260447024249983	-0.0370665822228865	0.657272342292717	0.685627726551675	-0.294546256045232	0.118414552116464	0.047759698982001	0.6812090215411	-0.303118302187017
CD2	0.937875475264227	0.938565492588981	0.687964422656643	0.898249732941269	0.549058930809607	0.748910009470785	0.783459676953526	0.807759504899631	1	0.930686184294947	0.89759841875122	0.682994590402217	0.42568278240663	0.924380447929042	0.551525064901067	0.919941374939301	0.823007842487523	0.733400693938939	0.886375685110744	0.826259965935097	0.74487371053003	0.864346526958772	0.534789574618592	0.393896859888133	0.563792699523219	0.864657238698951	0.297647153066712	0.294115901721444	0.914598629545118	0.656988545380844	0.888663240795645	0.548620673127212	0.775139675114628	-0.104472249291069	0.688892499433155	0.846868678018823	-0.05452267806661	0.214108438554002	0.845339213452652	0.115529780906569	0.660646486071496	0.623990913350628	0.000630168415800955	0.210333723910124	0.49890163717751	-0.275614573809536	0.635000262058108	0.198846397597966	0.125032212012509	0.80486682215542	0.0651375123945684	0.224458098615258	0.317498789236173	0.376037319995344	0.815005310837854	0.2455462983832	-0.0539255447801355	0.597677597644725	0.531951326604802	0.236669194803015	0.0198479660413485	0.822881119734243	-0.10554879871012	0.804563580786434	0.066981322988166	-0.0597038774625182	0.383139901386854	-0.483430021642714	0.00327883274557755	0.0561704061235226	0.109965704089704	0.35040229978079	-0.0636306505809943	0.12966643394884	-0.133018941843895	-0.392540406300488	0.524774968167591	0.449941403770924	-0.443483360823204	-0.27528443343295	-0.409314385881609	0.3376471561306	-0.473346896559599
CD8B	0.934019270022387	0.952191404300349	0.661428606343579	0.835310460132918	0.387643405958758	0.752417490639042	0.763853193722369	0.872157726102515	0.930686184294947	1	0.893804270294244	0.576692605184056	0.445896451234371	0.894563028933442	0.460851650927206	0.925210381702079	0.748768711638846	0.725241280261877	0.883227051020294	0.79812344008404	0.823057849419812	0.847832323799135	0.350513210475699	0.514541956138982	0.455680101308555	0.872391129676973	0.382036042845128	0.353298055114476	0.846477103750458	0.703083011524934	0.938352866914753	0.55135454269583	0.778209137181024	-0.179895844439553	0.66541721887945	0.9054526911788	0.0792821446879366	0.406562519245885	0.737511015749587	-0.101965707210216	0.439039310048057	0.702125908421201	-0.109011907650931	0.175393502622928	0.503416672743974	-0.24199361481083	0.735191552666185	0.231518155361879	0.0547965683998113	0.766897961207512	0.193224017319718	0.191874888548043	0.281102121185337	0.301825031445654	0.808415285918353	0.402455445971941	0.0502250231064091	0.562460320021184	0.648960824195963	0.346767272827827	0.101733780582911	0.7254847979834	-0.0770846801495802	0.879454656978916	0.109502486838639	-0.137825025847376	0.488510993824538	-0.416681013865057	0.134232581119857	0.218537238536406	0.0651800162930108	0.456054461077566	0.0716904930413491	0.232051798688481	-0.0355640852415431	-0.293795909415045	0.639421268406728	0.593536077057932	-0.379994197400552	-0.244546807692309	-0.309553711582877	0.496874084705592	-0.387619964196757
