""	SIGLEC10	CD40	CCR1	FPR1	LILRB1	TNFRSF1A	CCRL2	LTBR	CD53	C5AR1	SIRPA	KCNQ3	PILRA	HAVCR2	AXL	TREM2	CD163	LILRA1	LILRB2	TLR2	TNFRSF14	SIGLEC1	ITGAL	ITGB2	ITGAM	PLXNB2	CD4	CD9	ENG	PDE1B	INSR	TLR4	GPNMB	ADRB2	KCNQ1	KCNN4	TLR7	CD81	ITGB1	CD47	ADGRE5	SMAP1	RIPK1	TREM1	P2RY12	ABCA1	IL6R	PLD1	CD300LF	SELL	ADCY7	RXRA	CADM1	CANX	ADGRE2	CD74	RYR1	UNC5B	APLP2	TNFRSF10B	TLR6	NECTIN2	TNFRSF11B	TRAF3	LILRA4	TLR1	P2RY6	PLD2	TSPAN15	ASGR1	NOTCH1	SORL1	TSPAN14	NOTCH2	FAS	LPP	PTPRC	TNFRSF12A	CXCR4	LRP1	RACK1	ITGB5	TRADD	ITGAV	CD226	SORT1	AMFR	CD69	PTPRA	SMAD3	ERAP1	CD99L2	CD63	MCFD2	TFRC	SLC1A5	TSPAN17	SCARB1	PILRB	NRP1	CD44	CD33	MRC2	SLC16A1	TNFRSF1B	PTGER4	EGFR
SIGLEC10	1	0.924900366232439	0.929546068695681	0.946071942751999	0.962244921315456	0.962732701187896	0.87299616643307	0.957323621698774	0.970236860931777	0.864368286258179	0.953007815017223	0.946595073707482	0.912398905523071	0.92162852456454	0.977322393860023	0.913370483898345	0.86696467009752	0.755676300360506	0.868633207826535	0.966239184458844	0.94788371810303	0.948813089190761	0.944542219391014	0.974637127816662	0.954979940742675	0.934935262832165	0.950539388168681	0.893438644499462	0.945210183308751	0.884574144092987	0.728050795796114	0.957061097332647	0.812540106468348	0.916772221081468	0.935423802031747	0.880729542162823	0.95371818351103	0.93515370453781	0.955609844464679	0.939261449954164	0.929416377846173	0.963156824879275	0.913349961534293	0.779956864376097	0.808081360590542	0.929140348031591	0.967766117443557	0.887757021060135	0.886630643094179	0.917887523047599	0.964391694528478	0.963365395940547	0.939958222975867	0.946971197446881	0.839707566021432	0.968381058458032	0.859334360103882	0.955795492972218	0.955429725277564	0.878745368604703	0.938741034647297	0.91469941429857	0.780794202747106	0.882068668627566	0.858315047218638	0.922660701118234	0.853242437918976	0.880933607598119	0.767273106122182	0.642022554296647	0.890261184296152	0.966576822082208	0.944385895962538	0.933715541326788	0.860353504439269	0.930358368901022	0.967997025714906	0.904939107400589	0.724512906259326	0.951074302443093	0.965906935551051	0.953156498177027	0.933267850172286	0.93819013802398	0.837894074986661	0.9446006656471	0.866323927291478	0.756169624096619	0.939262107620283	0.905125965181528	0.853689957125922	0.79221291525913	0.861124318465076	0.941077896646341	0.846407846661625	0.956288469495161	0.870055417675392	0.938977784837828	0.705935695604994	0.889971059806664	0.857765684732129	0.952777491991423	0.866999924043055	0.918422247656015	0.952792691742004	0.873054412275847	0.417426332045601
CD40	0.924900366232439	1	0.903833857804268	0.894454828893712	0.894767765118131	0.922788086608195	0.851385208606416	0.92391288228645	0.937215596155737	0.778804712645531	0.92306941475224	0.869926932376693	0.929346572116523	0.914241357713519	0.921919901272424	0.914642274493166	0.712543350007152	0.674792505661163	0.795068032667944	0.897855817937013	0.901088963856085	0.893609167170216	0.889718721721321	0.92011785923024	0.917592288886633	0.872325091067257	0.906214737604583	0.878540304129192	0.909747933393118	0.825466326473972	0.558144856088387	0.934025019849455	0.794786032571594	0.886453837326898	0.90350700034332	0.880668644967886	0.884070069009699	0.924698676770182	0.915525475380843	0.89014992340649	0.902005032534434	0.910474538468288	0.878469413971273	0.737072376838957	0.841745317648818	0.87456118785565	0.88790586765106	0.863980281000641	0.841263629194602	0.876959237118893	0.920580811698421	0.902833816476695	0.848320986969053	0.886100324447229	0.740643639893208	0.882927072536856	0.800584489182157	0.930566294772792	0.900769451775775	0.85175575852185	0.845600849302978	0.904082363481933	0.832888178360918	0.863762488287421	0.876505718961188	0.85147424020541	0.921523499651754	0.874302400839973	0.841074544220959	0.47461051741227	0.810442630367567	0.931657841536993	0.886073194402167	0.859277986226406	0.846957632445295	0.879331657168677	0.896795327376234	0.877053991809047	0.583516811777821	0.894466940356293	0.91473185428277	0.921902034844137	0.910313329229515	0.899100642709534	0.844862951116395	0.887858132335431	0.804430063877579	0.687703852711312	0.891765221033317	0.841764356479645	0.765606843707976	0.769339608657374	0.850231430687262	0.902420180225601	0.762498799687304	0.91182270045745	0.851125992611574	0.895673927971981	0.579322604165095	0.849800177668112	0.719656608882937	0.92504210905927	0.780851212080902	0.879061723530929	0.866057434869889	0.747120639768907	0.347837458459731
CCR1	0.929546068695681	0.903833857804268	1	0.938768712190666	0.921946989358456	0.9459530767024	0.939377020248837	0.942048563714623	0.954808396169233	0.846449112268441	0.953939447439299	0.914317013243745	0.959736308111477	0.970086300184517	0.948584014874292	0.955348418355774	0.758422184342449	0.702343037521603	0.805820202725554	0.933629817988413	0.935729728223292	0.931934612930949	0.915849639142262	0.950247464094126	0.952080996277742	0.907797574425709	0.935467845891476	0.927267373584074	0.940063000120723	0.834763369064396	0.608060650179688	0.94300624632654	0.898377397227448	0.925328192220812	0.952371279116019	0.901994700653296	0.907909078919874	0.963475065962335	0.96114097797132	0.942472167086174	0.94129111806484	0.959850653871	0.904102508051622	0.816459283871127	0.857865262026601	0.924445516930432	0.915170884866649	0.917606644811439	0.935232049451637	0.8853720671537	0.934538022746426	0.92485629860458	0.893837639377077	0.949287795266405	0.715723833250416	0.907371658698666	0.80822257796491	0.941148762460078	0.953745784241972	0.871703299185669	0.8947250784016	0.877981763756916	0.800497955207251	0.882748286645346	0.925119264487421	0.882818949421403	0.857234415400811	0.885173334939771	0.799854655184112	0.531072288377489	0.869960088336831	0.956973285182589	0.927211156789415	0.900389745018346	0.900193189971638	0.928316242339563	0.942505411207047	0.923516648761538	0.659339152591582	0.929605401056273	0.943657867436464	0.920468685076689	0.914476517495532	0.937460646220866	0.846445384620782	0.941485283520083	0.823976919578706	0.765077032804732	0.946499030251937	0.912343191948994	0.783462633582986	0.803329489756444	0.922709514766693	0.944387049548814	0.816753224565744	0.956361871772747	0.886543912462213	0.926846926265048	0.667744753542031	0.881899429056869	0.762351388482835	0.943939966426167	0.798519721279845	0.914777596167663	0.924097778379487	0.813437979996941	0.404593366766871
FPR1	0.946071942751999	0.894454828893712	0.938768712190666	1	0.967350312294199	0.95982075801234	0.925692905430578	0.925111611457086	0.950835317074384	0.939928474779192	0.94828266406443	0.945138718064005	0.920105020987146	0.938569776733335	0.940192387598496	0.919518091594729	0.752577524273988	0.745206583278653	0.892108115112716	0.94182212154043	0.9262835260728	0.930460944158411	0.961419982835912	0.942556420659457	0.97042353617816	0.94356778890842	0.981303046996274	0.865109529671208	0.933876767673043	0.889721820874537	0.664300602577068	0.951308528463273	0.822045950850541	0.951153254256607	0.941054837828864	0.90753403530421	0.905017201998647	0.925037309281525	0.952223184479278	0.923491233384016	0.965343282847029	0.942577219277691	0.950951046824642	0.878357648553322	0.890279298632672	0.945109127600649	0.957255057058253	0.924366520599768	0.878144535646259	0.922825323528494	0.957110104551504	0.958178372514295	0.869934139505175	0.947170601376088	0.78283667984848	0.923957407455898	0.864819605265357	0.967364168330207	0.958421641939481	0.931392292958227	0.907502995917943	0.851768406106326	0.81012637432505	0.909646327195132	0.871967993469078	0.896444904520615	0.825577582092243	0.863837049477287	0.791044710371074	0.4918877336044	0.911728967396891	0.96240452733088	0.970164583271137	0.90994060138162	0.908972775566881	0.94633325284322	0.954476156224568	0.920776705015715	0.764976603096379	0.956355973383746	0.935816851701782	0.923688855246687	0.898594720168704	0.959347046541554	0.901808130453501	0.966311217769741	0.78840685701487	0.865341238116214	0.948451993612576	0.906943268878721	0.797754802648456	0.811648982593131	0.852832774578772	0.933805894695514	0.897888075924467	0.965318959058427	0.851215253730528	0.920800943086969	0.745197103209428	0.934730939640289	0.754663261257691	0.909692609365278	0.887384051843059	0.898188901653051	0.945681021669521	0.881526260409868	0.473360952210954
LILRB1	0.962244921315456	0.894767765118131	0.921946989358456	0.967350312294199	1	0.966869818587587	0.873572519698152	0.940439235072457	0.939844953426286	0.92908802187234	0.938470887256944	0.974928188277704	0.89041204946149	0.902843623639114	0.950694039659492	0.880040994364384	0.829680123362227	0.759162583048991	0.906700508845713	0.972060210514055	0.93710931142514	0.944492064397561	0.970710732133031	0.945529592078357	0.965009391539854	0.959597120617964	0.958836730655525	0.843629223784717	0.917827643175672	0.907651235397591	0.736754782532331	0.957430994693186	0.782788969549088	0.936493300423505	0.939857566232332	0.866128414832841	0.929729360843096	0.899249832394567	0.946610707987969	0.916394066614368	0.954664211312114	0.948256234123777	0.942723769440151	0.815494463319844	0.84192099633692	0.948249968570023	0.970366912904456	0.89278869865771	0.854274192480801	0.915631031663083	0.971320739105025	0.963889616197573	0.906366798220265	0.953493967658237	0.849142337764455	0.946892404980142	0.906172497067164	0.97357300230211	0.959721170505652	0.918248203585409	0.947180284201762	0.859994818894971	0.767674398428107	0.914773102512773	0.826410319863566	0.930755463036349	0.825066986057508	0.878124979171513	0.739541380586977	0.575739053509289	0.927156863701034	0.965857600604808	0.973746045256309	0.945903350680368	0.893186848839136	0.950495640254181	0.978638305426659	0.885544558668801	0.772660670729449	0.96529815130521	0.932171089361949	0.947837305572565	0.900160717674453	0.953993184402447	0.90424572181104	0.958219624993766	0.839085356084133	0.811779899752337	0.95687276504898	0.888780948864614	0.859706856515549	0.813986584519597	0.816230372141876	0.935059124911362	0.909147606162578	0.951530287578233	0.86814570533244	0.936245834685042	0.773211960355914	0.923435433113199	0.829862979855995	0.918862468660958	0.919509226502809	0.900260452269789	0.971055909373983	0.91496270919947	0.499503449703614
TNFRSF1A	0.962732701187896	0.922788086608195	0.9459530767024	0.95982075801234	0.966869818587587	1	0.89059801314978	0.947617711628942	0.957769344488373	0.897387314930888	0.93709250682637	0.956749126013234	0.908627421638244	0.921338810408265	0.955855255800941	0.897788844114458	0.811578562924433	0.734479578834417	0.85859347416245	0.963032051830609	0.93420733374353	0.938449790516754	0.963430663224378	0.952759426029787	0.963197302237418	0.953528950989922	0.946593173256476	0.867744896929159	0.927502307988558	0.884597330761903	0.725233122300784	0.954527783782937	0.796527206272543	0.943066622622852	0.937832631082002	0.876085831440164	0.934395716015756	0.919721020790677	0.942695766482281	0.918133875304565	0.94136352655067	0.957090168343805	0.927163368726209	0.82708881431908	0.852710138489325	0.945004944455155	0.958505405887073	0.89422391428803	0.893715112574986	0.930218310965063	0.973103315790927	0.957200290047953	0.907197236816094	0.947740224494487	0.834519898093273	0.948642202937109	0.894281174702521	0.966095796612257	0.948323181204397	0.924646127173019	0.928934074756958	0.894912063540636	0.783591371411098	0.905247623412391	0.842327956644709	0.922867517063117	0.885041570636033	0.91397094609971	0.786772035865929	0.579996139142906	0.912698576787893	0.961783639304256	0.959560886184534	0.932415627522718	0.872140270268734	0.934462230373115	0.966983759651325	0.905597163047498	0.750333300858531	0.95006461233569	0.949171117479183	0.94493842487154	0.908333963972375	0.936533622603728	0.884470503182184	0.940360756582128	0.860438456733078	0.804624141359863	0.954391694078326	0.896360082423023	0.836359385913081	0.805253385799521	0.839180266860847	0.936968029626934	0.875585945405933	0.967223336977437	0.871560472938618	0.937693597559728	0.742196238224071	0.898308560832775	0.818888607913015	0.94998326349452	0.893161134829572	0.919751396565657	0.958958384811957	0.891161689066809	0.48379110528182
CCRL2	0.87299616643307	0.851385208606416	0.939377020248837	0.925692905430578	0.873572519698152	0.89059801314978	1	0.89233416904141	0.920370971870571	0.860841295187207	0.942768352194589	0.873039621904234	0.945207773186714	0.958778596853265	0.899709159073845	0.960859444116275	0.695297422029719	0.635190720030954	0.777808270771149	0.867789237275587	0.901970423947076	0.893329721794583	0.877099318875732	0.920999313548472	0.913231823642376	0.870852516786248	0.926707838414365	0.932512101314342	0.933460670097977	0.805033374750482	0.548230992905484	0.889593125276252	0.928572699336343	0.883224269411422	0.926971813796397	0.920373612868183	0.836805197263685	0.952367747822633	0.949014974987226	0.929719095493036	0.929703778350831	0.920421516656475	0.904780950579478	0.852025057349799	0.844242950964422	0.908094284868015	0.884150823522311	0.923496755402148	0.914053218415271	0.826501749996571	0.885851921231106	0.899262417855152	0.834769189144766	0.929686906556259	0.648217379943499	0.842473794873998	0.740356473664131	0.905102749760559	0.932813331754103	0.898039688970289	0.796486379708146	0.854016696919859	0.792275333611551	0.856033796577374	0.94269606022041	0.804757708230621	0.802366037742926	0.848745036991389	0.812599142848177	0.421836359517306	0.841791697467927	0.919647278572833	0.900128622535143	0.849270385821865	0.90758678267429	0.924147459248409	0.882622684480218	0.938142836431709	0.634565545489134	0.912549085730371	0.89930705119551	0.870751794119711	0.899920164693338	0.928400678611642	0.818071532940533	0.941491599975449	0.732491733853337	0.794281931539998	0.919131475149137	0.89907640815357	0.696444638052164	0.795430120160248	0.945016561656131	0.935538379510237	0.821433707940074	0.919700447350989	0.821630417764239	0.893972713306915	0.65906223240526	0.879632240269405	0.686646112417111	0.870488818733986	0.752499224665577	0.876682568725015	0.873800538446175	0.765633128226371	0.418501127977095
LTBR	0.957323621698774	0.92391288228645	0.942048563714623	0.925111611457086	0.940439235072457	0.947617711628942	0.89233416904141	1	0.959262667551933	0.821759569552285	0.956558623432435	0.94388415708965	0.937528671065691	0.9302973444546	0.969646191169479	0.936924037184355	0.834760932821965	0.739583781176292	0.854057467841908	0.930519964710671	0.96392576833832	0.968372587955777	0.922031958363079	0.977863591276758	0.939220535596042	0.914728980974217	0.949389763578271	0.910736163310873	0.926571019827092	0.852609378384757	0.666757821574881	0.947099073160801	0.863967312083428	0.905726453281545	0.927388104702721	0.883041651868653	0.918564644388988	0.959681211582951	0.959820311882486	0.945097647017758	0.920927433521493	0.970286210110874	0.885462621373503	0.728691732404852	0.802959779931774	0.896731558699199	0.951350544631268	0.912823612510126	0.930612059059105	0.884706301035722	0.960591395982333	0.959484344686857	0.930979547336188	0.935764653333901	0.752607388163464	0.960133571717784	0.810029897856136	0.952488330336623	0.937562996779462	0.874292903275344	0.904451615543621	0.872571823085501	0.712428146773583	0.855045795819334	0.907977896433411	0.881820075014318	0.852352802167508	0.851252918720013	0.731811732250034	0.625899871436906	0.877958681310999	0.966023585094961	0.919767983694759	0.907844378855369	0.863749786457156	0.931569172539024	0.937389864785242	0.922221087161456	0.622186542656708	0.936371290298995	0.958796509824933	0.9211082103135	0.931369963964239	0.92649876737355	0.809866354401755	0.938263460201101	0.823149143375071	0.685157525672767	0.930034981787729	0.912441103565805	0.788439850138717	0.735542497136265	0.900106593732663	0.936527062464955	0.784621990939887	0.942898483398351	0.858906596107685	0.947464506751206	0.637376327406106	0.83657482940279	0.817068536941229	0.940311763461142	0.794528516147761	0.90584462820403	0.910744557015345	0.806140636388348	0.386217094458686
CD53	0.970236860931777	0.937215596155737	0.954808396169233	0.950835317074384	0.939844953426286	0.957769344488373	0.920370971870571	0.959262667551933	1	0.849069492845013	0.972017399566582	0.929659115817612	0.956021036125938	0.96245333260263	0.984625489584043	0.961001447986562	0.821644589303169	0.753206023246025	0.84422539251764	0.944123189684186	0.949091169513418	0.942226915898362	0.922703323044727	0.983209890523781	0.95674782680801	0.932443636717613	0.957663303605186	0.938042016676571	0.96435638185124	0.865119923608689	0.672309898421518	0.957735116994872	0.854682701919607	0.933289131862848	0.951500283873694	0.927161982690433	0.957304163775024	0.974531096043667	0.973946645012562	0.963897496592598	0.939861788480801	0.969246765048056	0.921264923813496	0.792217544228774	0.859775691048094	0.935346755581837	0.946060254477628	0.916710186952435	0.912558557242545	0.929852283635407	0.949081477775563	0.960028715190171	0.92980039576727	0.9529851781146	0.808814330731325	0.955955324955048	0.81897485077066	0.941693391126643	0.960823451539472	0.901010670859795	0.905421656809193	0.936766871137253	0.819432612185475	0.895730977134419	0.907395125516321	0.919247100051743	0.898975286721222	0.900289203132276	0.82190330521612	0.608741374122812	0.870395249144555	0.966747957612439	0.935199505639175	0.905010623989588	0.893725632519602	0.923686584425696	0.957809862028906	0.93240578397204	0.676133185157458	0.949757653312493	0.98462604084766	0.936903884813918	0.961118868633104	0.945468932423284	0.838132796561349	0.953306379832966	0.851818157249027	0.765704174997815	0.937471168714518	0.913710785840673	0.813972526183555	0.787089852806316	0.915795503406245	0.963416653060647	0.814760852493399	0.971954134952046	0.880458389696338	0.932806109194931	0.664743040856582	0.880699997520797	0.815364474391912	0.969471199135252	0.832266198184654	0.915257937543653	0.932129914898944	0.835084201153571	0.387037653380796
C5AR1	0.864368286258179	0.778804712645531	0.846449112268441	0.939928474779192	0.92908802187234	0.897387314930888	0.860841295187207	0.821759569552285	0.849069492845013	1	0.868119007222183	0.910260581367629	0.804006826361031	0.84301144357862	0.850136379790739	0.807985116222362	0.728506613606098	0.660353809942224	0.862910114916541	0.90469201439468	0.850244729448491	0.856218478069062	0.932638271446659	0.854824770509198	0.915488834624401	0.912879031264682	0.916954530767915	0.758763969626826	0.861596813036151	0.876120155710981	0.702637175194224	0.867666951440611	0.730972277712175	0.866866952632815	0.884149443668812	0.824234579224732	0.822000029248427	0.809180126856752	0.877074181459331	0.82864044429745	0.927433268645337	0.862016420097257	0.933590493622915	0.904040121186842	0.798433857863586	0.924449741241082	0.907581470983179	0.835846488273237	0.784326912523645	0.842903385234535	0.889414657614218	0.895743764324244	0.800835795554452	0.896124114791713	0.789570423624153	0.842727968318512	0.878974462220956	0.911657742451799	0.912076292454647	0.913369775515313	0.857560826467211	0.776804413796198	0.738444716791716	0.886438266796704	0.753732209073334	0.835912603713198	0.721253924563657	0.82055284786366	0.690847550291687	0.417000046721816	0.907382025848504	0.877454033287699	0.955158848300938	0.8864871807118	0.871227468210933	0.90993411098388	0.900088690778105	0.83845485228132	0.86613429746551	0.91975463635818	0.83247160635021	0.86791095886158	0.80029517453247	0.908540623747014	0.894282055421451	0.908716789790803	0.724539768071401	0.925665976356978	0.904685182407378	0.813233611616334	0.778096013788908	0.807871812878953	0.745278187685532	0.861023320092927	0.949726112548555	0.891230024606331	0.780771082437508	0.86351075943772	0.823808776968647	0.927764800265577	0.721315702560647	0.800071777871221	0.905458454375802	0.823562284093514	0.932471749048483	0.916991617608525	0.55238000579374
