""	CD74	PLAUR	ITGB2	FPR1	PLXNB2	ENG	C5AR1	TLR2	SORL1	TLR4	PILRA	THBD	TLR7	CD163	STAB1	KCNQ3	LILRB1	TLR1	CD93	LAMP1	ADRB2	PTPRC	SDC2	CCRL2	ITGAM	CXCR4	NRP1	CMKLR1	NCL	ITGB1	HAVCR2	ITGAV	CCR1	CD33	LRP1	RPSA	ACTR2	TREM2	LILRB2	CD44	TGFBR2	CD63	CSF2RA	CSF3R	ADCY7	CD81	BMPR2	ITGB5	LILRB3	LRP10	RHBDF2	NOTCH2	NCSTN	RXRA	PLXND1	GPNMB	SIRPA	APLP2	SCARB1	PECAM1	TREM1	NRP2	SDC3	MERTK	CD69	AXL	PLXDC2	ITGA5	TFRC	ITGA6	UNC5B	TSPAN14	STX4	CD40	ABCA1	PTPRJ	GPR84	FPR3	NECTIN2	IGF2R	CD46	DIP2A	CD47	PTGER4	APP	CADM1	ITGA4	IL6R	JMJD6	C3AR1	TNFRSF14	MCFD2	ITGAX	TRADD	SORT1	TNFRSF1B	RAMP1	PTPRA	RACK1	TNFRSF1A	CANX	CD68	IL2RA	EDNRB	PTPRZ1	LPP	SMAP1	CD4	CD9	CD82	C1QBP
CD74	1	-0.19461649316733	0.551346532627006	0.673572752309074	0.487004787901086	0.484755786104476	0.254639091295597	0.458660946257018	-0.0565597972341303	0.209941456109053	0.205283933995871	0.208007645272191	0.210633651452085	0.441952587625025	0.438085716492382	0.623056613640117	0.695916858235624	0.459341115680094	0.61253515888168	0.222116956922085	0.0514623894808785	0.80816257112787	-0.268407616235724	-0.29210367043037	0.218931999356108	0.329383229026639	0.285759829882684	0.541805987949358	0.489948669112932	0.325546418542323	0.336790863499422	0.19875608119156	0.300404612839301	0.631774152852771	0.184234063960361	0.737260103725208	0.587969937794155	0.528303071606292	0.418237672791978	0.235849213048044	0.526529739543252	0.467426170606064	0.118757567890514	-0.177582255994396	0.721918973473086	0.400289756602498	0.363507225558323	0.489074883603211	0.358191128778634	0.46031415369376	0.100094924348149	0.209962328481798	0.115959087571074	0.139184164024749	0.307215488039364	-0.191397886530982	0.0691645598390784	0.328957021263987	0.163977989172875	0.409576682664657	-0.271222508231979	-0.00193301034229182	0.0898899808671893	0.165999621557929	0.404933450413424	0.522664401906658	0.288622987870334	0.205119675325648	-0.121708757343581	0.350935697921392	0.329989287385364	0.164361802755785	-0.000636112982178065	0.407799882805417	-0.102702043096678	0.279254579439238	0.0158680250047362	0.237679462493327	0.363015717004789	0.0812060710347621	0.450363948228911	0.196112775335814	0.568115830556384	0.566361445739595	0.0568351427077409	0.72193315505401	0.7878454730531	0.111282769688685	0.212064843409478	0.445419456692418	0.412206857509214	0.324878603611809	-0.225254395438578	0.496932761409992	0.0759796247500285	0.710069174719252	-0.254318227733182	0.157296908739874	0.833952040569288	0.570509598208626	0.442372766874077	0.29668987913305	0.586623342272591	0.234238040600497	-0.0328379115486732	0.358083560280602	0.584776378686559	0.636375254099421	0.25108944349098	0.0540967888126844	0.509420106427798
PLAUR	-0.19461649316733	1	0.450247396212068	0.353314677468215	0.245155395567072	0.412005575499528	0.58211872876758	0.276543028403698	0.457183500244775	0.297897632409547	0.599826075089866	0.408979115101112	0.362440443277482	0.316007937230782	0.279952875794746	-0.188347853356344	0.322443001210284	0.360189929078882	0.159589805176081	0.49796261045876	0.60363031806896	0.11258656859561	0.514907039738493	0.811229873424917	0.348993074026959	-0.209563477139683	0.371153025195015	0.268110075817851	0.192893247077578	0.441783069863831	0.524695413577029	0.541362107620516	0.455731793020483	0.23959791034678	0.517165009037116	0.0675850344833613	0.277424084764959	0.466650560325165	0.122403622187529	0.440288473374646	0.409115183266691	0.300796687816806	0.298536445662583	0.516453331132382	0.0522347862303107	0.517702272918432	0.352260669606402	0.25346194275018	0.342481298017221	0.395909260649101	0.333235146331603	0.18674935456908	0.409828531803437	0.55307411269049	0.295075111823552	0.600955313298375	0.639999934239431	0.487668295229541	0.456408936706719	-0.199864720089824	0.386067929371137	0.709194079571739	0.220271364930881	0.562791774472996	0.0501735236780263	0.348249509188205	0.556312149830276	0.418825219455374	0.659461401173362	0.100878577613127	0.445143473530979	0.572995513183649	0.657133253351239	0.322649028695115	0.621575961098744	0.419923519439529	0.790688297899816	0.294326866161964	0.253540132480701	0.422369205517032	0.245499180183489	0.306730636221759	0.241713853285368	0.220412913271461	0.242525113150647	-0.0982031134260498	-0.128860052037501	0.741373578589622	0.568194416648872	0.563831490118951	0.229574599344226	0.338104034018546	0.717620912222307	0.150649874382184	0.395951328053849	0.218272254280426	0.604827760899166	0.13026600489437	-0.0106580883053839	0.277080545382041	0.333204817645811	0.567682637257524	0.152302118072274	0.175432591120849	0.0417106837733263	0.186751117498609	0.126907152477011	0.330032494593824	0.201269645398606	0.422224884394731	0.148865392522761
ITGB2	0.551346532627006	0.450247396212068	1	0.801386405388233	0.713876050830946	0.833887855761712	0.717923971675481	0.724061361116482	0.27306399384943	0.465845839801292	0.632380514363758	0.606343906267385	0.479449797480924	0.760322055563809	0.74237082209841	0.337994768312154	0.829473540244893	0.767018730825881	0.704264338086046	0.761620523529548	0.484986180357505	0.771683831951097	0.3288755123659	0.237585743780194	0.641543210520716	-0.0515222212586846	0.700548983539876	0.783956968227661	0.689972842280183	0.768403264407337	0.661832414045145	0.705629705673821	0.736545897223732	0.840634309709083	0.764269811077686	0.711781888219945	0.838397253937049	0.857590940506407	0.594263818512416	0.674360129124145	0.86154915753197	0.774943662146819	0.156025894063929	0.0450046139323262	0.541331872976627	0.888804809373332	0.724288359053958	0.767078779198186	0.683614233505562	0.753209743139367	0.181767584895434	0.460617672934516	0.580005333504867	0.66489432657615	0.577627532880928	0.485242309633626	0.700530878044387	0.823519189435574	0.526526903681834	0.0922202735827118	0.109998609583505	0.627925025765902	0.477065634040165	0.633813769434202	0.256219924035083	0.600517481006376	0.577128608070091	0.685905826332012	0.41543552076182	0.495142089737102	0.549101875448327	0.621594517596684	0.371337391388232	0.650330341685906	0.53290318456523	0.764343235939241	0.497885049277173	0.569409924385103	0.67772840859731	0.628763147613945	0.653589046611983	0.377205338534524	0.741967014751281	0.491663441818315	0.451111453433223	0.572016520797855	0.611862866469588	0.686646876245626	0.522556134240816	0.858776870443275	0.625103265654376	0.709033498501599	0.442918189106712	0.674536245067793	0.550946553308136	0.728548612261866	0.398020516535106	0.398890690001815	0.631877684413669	0.796919539019651	0.799823459125589	0.809593366194386	0.715584848832208	0.550846874681612	0.180052474786784	0.60248124640437	0.684178939982079	0.874768562184064	0.562502294341207	0.589282994762444	0.638016706555664
FPR1	0.673572752309074	0.353314677468215	0.801386405388233	1	0.639472762065988	0.711742880444701	0.543261548711347	0.643690494532867	0.277650188201722	0.325767031204773	0.547766594415924	0.41644239618734	0.381106195214865	0.646377369093532	0.663599662316662	0.401063191197346	0.870253925755011	0.662999497973803	0.658488880130166	0.551988846380909	0.428984893142488	0.768581434629789	0.0586545327593506	0.186550355545472	0.459200196653412	-0.0290773813980322	0.542830521174821	0.671752623818442	0.559262466546238	0.57047393842244	0.687954539435048	0.624404844724091	0.569790151726422	0.785002386980561	0.599787574005466	0.651841411274625	0.755795087309689	0.873010704380053	0.465827145743249	0.501215401602661	0.749025544060537	0.630637154320647	0.278299047568624	0.133673819681543	0.687325542882961	0.743686970864836	0.524897475890834	0.638792031236692	0.56897496518688	0.62287173131234	0.387061845651392	0.281274799034382	0.412645824167211	0.437923818480952	0.408985947108791	0.169842319901737	0.520922216573928	0.684549966312691	0.39672745593181	0.0803626832089651	0.020166916068591	0.455828509858854	0.339232295035756	0.562053480154479	0.353603849613131	0.685317101675052	0.63511922094308	0.436409859513291	0.416305702615576	0.47714877863534	0.646672882554647	0.536376385311555	0.392552043208783	0.519375530353232	0.300160880277955	0.652574963244025	0.480946450202683	0.43178358979551	0.515539127201716	0.422313552080825	0.613967620293577	0.362485940180659	0.623841720289647	0.548074059584317	0.234710105784896	0.513329114680249	0.611481797514903	0.560179282572561	0.541037430673934	0.815155163245593	0.403636201803323	0.520491749262422	0.333899849578443	0.512546235171227	0.323980830315992	0.734234078382281	0.200921603759028	0.266593677169234	0.650501384573313	0.733931437242785	0.654713645524705	0.616111314870903	0.630129061000726	0.433387121687249	0.099611095939422	0.475892222957135	0.625107041079318	0.844476581264312	0.368896036743556	0.312968526786092	0.536172552179858
PLXNB2	0.487004787901086	0.245155395567072	0.713876050830946	0.639472762065988	1	0.80859988019048	0.635540816223552	0.526421225644379	-0.0127295940724944	0.458247520987693	0.350596787965668	0.699032882273019	0.228158169440818	0.725435523205409	0.703943880441942	0.232817635021764	0.732800949475502	0.500206751604706	0.764574493061271	0.695616264120929	0.214105400627041	0.598316585316806	0.323089321493438	0.00963414637580634	0.727837089444594	-0.205657847690597	0.718146980293487	0.580768945758626	0.81558230229866	0.735586583246906	0.319263750490469	0.476333630487554	0.73332318270654	0.769394628759752	0.700266052293511	0.771473237646675	0.837234814454638	0.597064596323621	0.663835441019352	0.745485303151179	0.726669636570058	0.806754531424927	-0.133772842705891	-0.231484029416238	0.572067824050101	0.772131053456022	0.648731419468418	0.785759555777392	0.540653304542934	0.723861203340531	-0.0633181744164036	0.609732324559118	0.693884253591532	0.558579112532836	0.573252800290181	0.346715290617485	0.538622241872416	0.791502751261359	0.279970828873292	0.133720573034399	0.144015147035038	0.556002394513054	0.595512790240589	0.478451102995658	0.0463945243703698	0.38552090063552	0.241714084345979	0.751214711850266	0.176296242823498	0.36652249584342	0.450361877968522	0.414273947957171	0.150674225668284	0.634707529474526	0.461264987766581	0.593186987101832	0.354219642332794	0.622410776217054	0.741676681640427	0.713056678750578	0.589582625929646	0.340396639150954	0.846627916382995	0.245786114618689	0.524920849697134	0.563826251661832	0.663232405968594	0.466578432009217	0.36010579161344	0.591097395354274	0.557835478645593	0.766681541889707	0.250327184464818	0.627646815953804	0.472597316988404	0.557867017531625	0.188840070263665	0.489312170689156	0.647085989680921	0.814090407954802	0.825823051116195	0.696710948526132	0.714570343785113	0.600375354498019	0.318159615284213	0.678642471196772	0.702535526688567	0.819123875456746	0.587626748337308	0.627358515010565	0.793702679307607
ENG	0.484755786104476	0.412005575499528	0.833887855761712	0.711742880444701	0.80859988019048	1	0.768038745318808	0.771274514524234	0.0277946622218289	0.573714399983422	0.528835415880273	0.744187229623883	0.294385231919281	0.890563105454868	0.879338918906232	0.105069827256129	0.807128012767937	0.529910443524052	0.85427972752288	0.862631400080155	0.285405964313729	0.6707050302275	0.367362265812728	0.0855952672443275	0.797062162087459	-0.259770918003359	0.888985792646087	0.694508042480709	0.803306650581012	0.787534223365005	0.456388584856016	0.557897737814534	0.861653837736031	0.870360959103866	0.783360705253505	0.764457823508214	0.907925073489522	0.72118007616084	0.75381729274411	0.828053484056142	0.86692940893604	0.879736969205707	-0.118144623438095	-0.174795475808969	0.498917379825398	0.877309171531617	0.646520664328345	0.88470609462757	0.659052773886322	0.7947982114371	-0.00833962807976084	0.515327091027438	0.652972927269358	0.717514951668769	0.727682400043745	0.510227965986437	0.678948877057416	0.893943721711527	0.40793958571233	0.138100943683571	0.16379433610959	0.626139527505291	0.576591244104515	0.657042836496533	-0.0304896134931343	0.448641471777185	0.327634456436713	0.782189111117813	0.316962568913512	0.310754763510964	0.511525417961709	0.541139066894016	0.195752452388023	0.752766656708167	0.579701326089876	0.750196028840742	0.461598921913109	0.763667902581373	0.836699073261251	0.706279096691708	0.704230850856828	0.30742963088733	0.856452865688764	0.323285525318143	0.537960498008904	0.534615192572082	0.705510465451209	0.645323053184036	0.391624399479292	0.756200368283741	0.716215595639794	0.835585293458896	0.351130375223154	0.758495565688546	0.401656089050485	0.599267757558056	0.257134092705968	0.385932738691199	0.606807928590132	0.841981390904215	0.880420625557692	0.880153688794318	0.823677264595437	0.612734075890154	0.160585624528287	0.595441381771551	0.729229419878221	0.89162385331539	0.521494567127155	0.699813638636523	0.772593813326746
C5AR1	0.254639091295597	0.58211872876758	0.717923971675481	0.543261548711347	0.635540816223552	0.768038745318808	1	0.675660274098352	-0.0265211460935295	0.744712204836337	0.597355452927025	0.847421854285945	0.319580205484522	0.841574388568673	0.794048919741204	0.0456817518926809	0.673147004745142	0.424664925122528	0.754961290019765	0.844401473651419	0.247003378579396	0.412051576082028	0.471008655265566	0.196974006931292	0.815440220485539	-0.27789262496482	0.799302448803595	0.659998970948262	0.523491202991187	0.630561878603748	0.291208577428864	0.409545592208035	0.828099041052704	0.653823180482229	0.75945935972253	0.461187135016925	0.714939633743508	0.544346169929061	0.739807072964807	0.864976706681112	0.751951665115787	0.706929161497887	-0.196048098741421	-0.166644043283059	0.420707135033249	0.772664035859717	0.546974230753778	0.795165955278505	0.76518709532807	0.610092351633613	-0.0915105713964698	0.571430766644637	0.599126899705894	0.755559892885383	0.618053436631546	0.674599314167761	0.658028315132125	0.832242497762652	0.375248473058242	-0.0892283512392182	0.399855380704372	0.559872313818101	0.524445070338241	0.695012290092079	-0.193491938050074	0.240640818403973	0.268532545964186	0.670423515819777	0.259483913127959	0.0542728086106058	0.294425178875882	0.503482679863723	0.135298161024367	0.540715778123261	0.688757739234467	0.593160128723543	0.501459138544701	0.79539201554105	0.573830410164492	0.687561844453642	0.500646917281823	0.157902543442544	0.669566004419511	0.162957552565912	0.36532724140064	0.330412960615532	0.50111305585356	0.57654180480145	0.264323870244003	0.676802860919437	0.695586103160045	0.705931732907126	0.347035566521298	0.556727667926715	0.402254408247389	0.611556350800309	0.250167948725157	0.237633621000317	0.361584779766288	0.687561922474828	0.784553947223345	0.875314847382407	0.750832974181014	0.534942248122312	0.114142328651755	0.43392135548996	0.600870054692546	0.70395302251077	0.485529333886345	0.711220181416466	0.4415249673429
TLR2	0.458660946257018	0.276543028403698	0.724061361116482	0.643690494532867	0.526421225644379	0.771274514524234	0.675660274098352	1	0.0298662798095311	0.537482541918999	0.518771991979388	0.596504720049056	0.318788455600574	0.816304558106014	0.83071403229088	0.17179898381805	0.732956657475038	0.485907807994915	0.745492100123142	0.734147915201209	0.205858905807223	0.572459406434268	0.173877583570417	-0.0325917689574555	0.677257872062844	-0.280984984415394	0.780776423130844	0.670948625992447	0.520191250653245	0.516831022130673	0.447196004524919	0.465187696726044	0.739939882024939	0.732407847055458	0.679068628355615	0.553353316909517	0.726038393831565	0.628247426676115	0.658879908124001	0.68565537333619	0.78179321846165	0.691066211957902	-0.0680006439708385	-0.168705691643739	0.441877287229701	0.709793121570075	0.456732880794753	0.788554835912232	0.584188449276091	0.546072137090516	0.029601478848569	0.391760816961365	0.408278741092689	0.608156152422372	0.55639757160377	0.396568988789021	0.53896986643772	0.7218040835019	0.356863094372224	-0.0547218057484794	0.182103642894551	0.484595231597384	0.453551569432424	0.561956395306927	-0.0162088052190695	0.368493052323802	0.265121960674426	0.481456239587994	0.237072571512803	0.191821490334885	0.385316542347163	0.467874367698904	0.0862347891251968	0.584477013339939	0.431379542584004	0.6336666390217	0.31021789871274	0.685068792060075	0.599699282300886	0.53084781825392	0.574250112645133	0.174303471387732	0.602548625191334	0.322747734857147	0.314368108287672	0.440762459287266	0.602518971411535	0.475496901416901	0.191686961471153	0.661682933657533	0.633241963275867	0.602636020350504	0.275657706643504	0.647178553318331	0.259123012607477	0.553764849140887	0.0943588252008743	0.22621906670659	0.450780294425813	0.681214628341205	0.709866583151793	0.744231112503031	0.756208593167818	0.500317603374552	0.0767217460634368	0.384681533843019	0.616247029323046	0.754732213158506	0.377735970589528	0.510956442231662	0.472525278263288
SORL1	-0.0565597972341303	0.457183500244775	0.27306399384943	0.277650188201722	-0.0127295940724944	0.0277946622218289	-0.0265211460935295	0.0298662798095311	1	-0.213381774595943	0.334799177616808	-0.314733262030589	0.451033733966374	-0.148399815504256	-0.0842441015660658	0.150282462901753	0.121995552914149	0.320528109918883	-0.292769464350596	-0.0263233335055996	0.668942043394608	0.209627745994739	0.196033342069456	0.696767990582856	-0.223797972294629	0.158731951354798	-0.117872413358875	0.259584347050406	-0.0816274344951679	0.24288967345338	0.737651625463258	0.651861765276987	-0.0454483350257049	-0.0216309696818907	0.226741044303777	-0.087621207761008	-0.0335414788701172	0.463115589653778	-0.357777448542674	-0.191292393212854	0.11161614796742	-0.0651284155476698	0.811599704716393	0.829559371825589	0.0870790193188319	0.283091591644598	0.276242083653204	-0.118472307842623	-0.182610969142533	0.156515812027769	0.805846634130745	-0.10245557098467	0.131316595692066	0.220003853453528	0.107472063422839	0.0637775665743776	0.487681433337143	0.0665016699699176	0.499113737899732	-0.0829381541205382	-0.247566053356179	0.488028964289074	0.126750411444165	0.354596592831456	0.503445168910825	0.502207435000854	0.779430905424636	0.0302134222759478	0.78448969451457	0.531015986000703	0.604882611982994	0.591295880965599	0.76294081788613	-0.0811593849370254	0.224730325772041	0.257392625463678	0.614847564722035	-0.130542936366568	-0.0411233119333884	-0.000255262599753184	0.262546976430174	0.581551856348487	-0.150918534300989	0.275487005335416	0.182633627215328	0.0185523691219308	-0.296308201308702	0.455619027092912	0.568873887023217	0.402586404631765	-0.244461543919636	-0.0391835671797988	0.607252914687201	-0.180979940920901	0.544127822932184	0.133599786774056	0.685625855336992	0.297870118880825	-0.00920788908703985	0.103333252831467	-0.0767905097271144	0.0224899167687377	-0.260409427045635	-0.0237558609072892	0.245334486468718	0.226554804271866	-0.0830284596939363	0.127866926305928	0.209799324919548	-0.125195418560414	-0.061933052121247
TLR4	0.209941456109053	0.297897632409547	0.465845839801292	0.325767031204773	0.458247520987693	0.573714399983422	0.744712204836337	0.537482541918999	-0.213381774595943	1	0.495718064920811	0.690393821382638	0.250690564940743	0.746416763816712	0.681695037461754	-0.0292134772702674	0.45742991980703	0.189716422807335	0.62638996281019	0.6865691817913	0.053307648115138	0.208537241237402	0.231767820403507	-0.0185564943716151	0.674394470012194	-0.20780376070924	0.692027847780636	0.459904536747957	0.281833128100895	0.371137377674719	0.0376912886134189	0.137792246809938	0.729966424893122	0.49920922022765	0.545431655618963	0.271454968098747	0.502014056864508	0.335362597357133	0.626451158147873	0.638119172452143	0.572925374950012	0.494488427216678	-0.334955216073053	-0.290578690823592	0.358841309735348	0.539265842672651	0.323212869261366	0.639532185610458	0.664120803794083	0.401869416128763	-0.242692704743491	0.487101044066855	0.395414086852519	0.503327588823914	0.587359101998743	0.606084014910961	0.44063397107956	0.577109454258219	0.246829926043001	-0.052426845466277	0.227557484928864	0.334245494086009	0.419102905830497	0.539027042301388	-0.344548070940517	0.177208989955011	0.102612591676169	0.393870240690033	0.0723351409730877	-0.0785058135063779	0.155338384328503	0.344789515789418	-0.0999172608460056	0.407197844076697	0.588552336846768	0.350609092701765	0.23205963243416	0.751365443160514	0.377253934131277	0.516504936368575	0.295014625787025	0.0284267554367827	0.465565859497256	0.00281843002687875	0.186880033510663	0.174165576812644	0.404731102140831	0.302525398572096	0.0603024352177584	0.454024368252028	0.607542545896496	0.45110111932118	0.041378524234353	0.405086718622226	0.157495502741492	0.360058681037783	0.00204185674731047	0.0597144526525154	0.201407588915538	0.563054935445528	0.541842797901912	0.686800974764941	0.675584943602464	0.383279143068515	-0.0158402602773838	0.17974291518175	0.391286106672891	0.492158200964317	0.284737030217674	0.560399933652957	0.236099364676936
