""	SIGLEC10	CCR1	CCRL2	FPR1	CD40	TFRC	C5AR1	LILRB1	ITGB2	CD163	SDC4	TNFRSF1A	TLR2	ADGRE2	SIRPA	CD4	ITGB1	HAVCR2	PDE1B	TLR4	KCNQ3	CD86	ENG	CXCR4	CD74	ADRB2	PILRA	TNFRSF14	APLP2	CD81	TREM2	ITGAM	CD72	ITGA5	PLD1	NECTIN2	PLXNB2	IGF2R	CD300LF	TLR7	ITGB5	TLR6	P2RY12	CADM1	TRPM2	TNFRSF10B	ITGAL	TREM1	SCARF1	UNC5B	VSIR	CD9	RXRA	LILRA4	ADCY7	NOTCH2	TLR1	CD33	CD93	TNFRSF1B	SMAP1	SDC2	SORL1	ITGAV	LPP	PTGER4	SCARB1	CANX	C5AR2	SORT1	LRP1	ABCA1	ITGAX	AMFR	C3AR1	CD44	PTPRA	PTPRC	MCFD2	NRP1	CD63	SIGIRR	CD46	CD69	C1QBP	SDC3
SIGLEC10	1	0.571742822092352	0.538625046092365	0.828581796812218	0.748947972211463	0.619053291237887	0.2653173349863	0.763596930538551	0.52964245446455	0.389534468852822	-0.137365609815293	0.644422872839257	0.662101022004459	0.466997499933435	0.509384387960242	0.597885658482627	0.58089684686451	0.802532194613191	0.595761847040446	0.219636971226783	0.672301491066332	0.623195418333944	0.602004138974638	0.405307478030768	0.45750710337563	0.623102516737299	0.712659649319521	0.150578428041151	0.278710000951776	0.436227317365579	0.580592164829922	0.360277303227186	-0.0611158505506726	0.330808279456305	0.468766611716488	0.476186656097738	0.395073926662799	0.246780544836765	0.0952173232525642	0.668818351685402	0.607682722629672	0.541855170259988	0.483059249763783	0.0776737929201544	0.625971420124504	0.490626229846955	0.590769837490671	0.390183856282291	0.63282230770348	0.746807453589084	0.570269712566199	0.165940313781244	0.411962622125236	0.452370541848263	0.608267672183971	0.0940508648419805	0.632935928611919	0.531826182926546	0.170266519416354	0.507815837860094	0.350213038632776	0.441433307068851	0.687875268130843	0.824036455418177	0.366246722463203	0.614765052236573	0.472059705753964	0.364127211127694	0.471739811243548	0.477278206973565	0.490345256201607	0.26440644456304	0.601102423624147	0.0699254077114796	0.520351926216303	0.0817812012481778	0.42348949004494	0.579631046208243	0.405601588250019	0.653714788313455	0.369072722639193	0.392115549990494	0.233713711364845	0.463147271648468	0.344825144047585	0.198919654082067
CCR1	0.571742822092352	1	0.780607466806507	0.484965847477786	0.552681553942872	0.563380723703006	0.732550670793484	0.764502569004624	0.790026087831652	0.729876132494771	0.462076923713799	0.756924425721955	0.542067865235628	0.295687911853947	0.829202240935405	0.831955057749821	0.720517138699443	0.688528787755807	0.620641147408559	0.717575527693248	0.286220154170882	0.656876838327758	0.750140107124433	0.473662152975769	0.530716482668342	0.604892405260619	0.794485436033433	0.647838112176896	0.765179761756356	0.829500323664544	0.681347732841764	0.697602117648393	0.380351371090732	0.535174722387779	0.591922548613082	0.529987188514239	0.59665019298576	0.69797988903819	0.627865479455416	0.729485138635209	0.687249468947513	0.447830702742645	0.172818678529634	0.549391725625899	0.63253793038026	0.631988747072245	0.54295506407036	0.60211965747227	0.498057232862894	0.629771227685117	0.118512708824971	0.547411536113561	0.737300760938545	0.392676696230875	0.735994376942496	0.583353767297995	0.573816072662332	0.57004844613612	0.0749306403810674	0.624069795259338	0.654276495781553	0.586881229483707	0.497977572204387	0.682324997473859	0.438462123035321	0.677071352296308	0.799914927546309	0.708761831886555	0.431448875777472	0.790524963654778	0.785169305310212	0.751697438274683	0.661971944101366	0.523635908432414	0.727460760877808	0.530868390548392	0.486138324672877	0.509483468401888	0.67283335744067	0.668930737239987	0.675988370220111	0.542708389945288	0.620817640600146	0.178174401036452	0.432607065972435	0.656427292222465
CCRL2	0.538625046092365	0.780607466806507	1	0.395946803393286	0.633823524856279	0.690970071116557	0.853479498810479	0.745613327663984	0.719235276012406	0.688381193341207	0.508186809809383	0.705782571147945	0.483383646079879	0.483574516139323	0.804726063831722	0.835180645160398	0.709186737509857	0.590327923992182	0.652001734752922	0.68616827175692	0.235606386335673	0.6120045496392	0.779993094554148	0.655444350847469	0.529975294160469	0.562121634137959	0.739674804748287	0.649874053813034	0.750945168741398	0.788201734834475	0.548212591234542	0.743735215013446	0.458626814499568	0.583279306728674	0.561208585550886	0.600523095971245	0.649721007027162	0.666226000574697	0.561260254718506	0.692150899152343	0.700420906754214	0.247815303482782	0.0475267787354778	0.530430613576902	0.642396664515361	0.739343347022245	0.585924869829578	0.713078692990453	0.591043742619575	0.681661741292273	0.094954313066041	0.472876687566828	0.728629545472005	0.301213093380571	0.657045824635446	0.64224932021973	0.584403315522286	0.607541857453216	0.148351780890348	0.716413251954165	0.613505099635766	0.62499397397641	0.323485785150792	0.675819838632961	0.48499770534904	0.854229115844999	0.761797892884623	0.680210323326861	0.540220239901829	0.727923041522644	0.822645820585489	0.791982043647838	0.687625298119757	0.54024275004371	0.630170035162276	0.676161909793678	0.553538423834184	0.489717212068987	0.673011830620606	0.689046520411442	0.548647837462307	0.581843146443052	0.525939057970669	0.315223548768005	0.437076107537581	0.645473841088989
FPR1	0.828581796812218	0.484965847477786	0.395946803393286	1	0.721493406644266	0.52421121674008	0.1690796925961	0.708302109895326	0.53401117813886	0.164535994802794	-0.237421243605919	0.590957101912868	0.705441541886363	0.556823917900152	0.431424607147908	0.507155617191072	0.553362263594046	0.809199271932502	0.597168591590549	0.138431854029367	0.679257401345932	0.547780775397559	0.584871518262993	0.294476940370068	0.336228188183085	0.520245781195528	0.724402979850611	0.0970997228989284	0.207520926331996	0.379313209365735	0.637244180259053	0.392752843273733	-0.136044942754338	0.356059631344847	0.557326325466834	0.391180020701919	0.269781017337755	0.243365700713504	0.0703408404106811	0.50941419553256	0.581594316878388	0.581795250483053	0.50889939929953	0.00839465087842048	0.576453041473349	0.39975777675031	0.672011805349738	0.440371260835555	0.605196401505157	0.612971260330722	0.480846052480107	0.243065177843326	0.351657780472718	0.623233749572585	0.528831838209871	0.00330996075850853	0.611047301334937	0.485295719679621	0.221704069142873	0.439213333242337	0.295032940027952	0.277757058802503	0.729366010681408	0.774496068595299	0.386583561815195	0.498725911264098	0.253814063658713	0.288189158361371	0.404083056702877	0.456183021206105	0.376951095188182	0.091362683318666	0.650733249505223	0.0264926990790983	0.529457153960714	-0.0383572971486054	0.41750915415562	0.580823858226324	0.376781503264955	0.490714046112766	0.391177725662539	0.367067917278402	0.173231316081695	0.526681754292123	0.394678974521552	0.0644156826311334
CD40	0.748947972211463	0.552681553942872	0.633823524856279	0.721493406644266	1	0.567302622087138	0.353095830809619	0.7551427255736	0.646079191204391	0.2692618660947	-0.0662162580388819	0.691364695638965	0.619514031085447	0.497041017853421	0.604396874320096	0.662667008476751	0.73330830551605	0.780677154091197	0.686786364079432	0.292913409536481	0.6038906605124	0.580003455518137	0.746249282445812	0.393961305508899	0.392786572980018	0.555796344048271	0.741941466462612	0.282684275527242	0.400753045535512	0.584860069879924	0.694560364120542	0.522445589136907	0.0300180297255419	0.526149931501522	0.686167486826117	0.551470302317206	0.459542208042911	0.442782548798036	0.219519962352384	0.560209764753166	0.765093898766977	0.440787729163589	0.470651720115199	0.163263732431818	0.667533885426754	0.516197000953925	0.744853496889733	0.545968226221865	0.742991063613481	0.687433959450849	0.304464075771525	0.356324231439414	0.473690852065076	0.657814638024409	0.600298026014414	0.207507898670613	0.666862276764158	0.567723851017563	0.118954909982725	0.481839238592118	0.435395824378176	0.465026553912688	0.706058605044534	0.849378965914387	0.552224217238431	0.674143477045817	0.428922325025455	0.461516601806002	0.42347663473105	0.608001478105151	0.581644304192281	0.298310905145965	0.75504921876515	0.20633561975837	0.581199042931031	0.166477892517258	0.597005471586338	0.559380290273638	0.514902136399676	0.653558903606122	0.500310945736215	0.502621592427147	0.264154102728911	0.491537830201788	0.513377135568468	0.264182300823218
TFRC	0.619053291237887	0.563380723703006	0.690970071116557	0.52421121674008	0.567302622087138	1	0.52523255752283	0.686356282915044	0.307599863897773	0.407143970593257	0.00317047107941953	0.529442791636419	0.335855507414436	0.649387406146284	0.426386233677542	0.509516291183218	0.41852601894403	0.501774124878263	0.578788094894631	0.288554170370123	0.390465495888279	0.260501068270257	0.479137731805739	0.465701112225427	0.145112168656133	0.661960410649045	0.498307623954904	0.130476935495192	0.282311101425873	0.378761993893126	0.238351255055589	0.433561930749051	-0.0630719366259543	0.386826125985007	0.345113233368098	0.394293288045528	0.378259383182835	0.238343976493416	0.0707426672441365	0.528121119067655	0.505212114748352	0.148024659027552	0.118703368761531	0.000312397236599747	0.498564863624855	0.668443246963757	0.489994694538452	0.538101580222799	0.542890592422531	0.708923601892321	0.299817036435158	-0.0166820365511056	0.365988412992438	0.15695062297914	0.382096533347293	0.157744551307249	0.396520019489278	0.236833753159456	0.0934425742324335	0.593099431785534	0.179624711412652	0.532097219284947	0.259003714794879	0.68947854381985	0.311728804355699	0.760578660540853	0.507580215318381	0.254347938809989	0.721767237746246	0.395815372304948	0.504202586521387	0.405424627271901	0.578435023036527	0.100391672058208	0.247140489520158	0.242860397857173	0.389070919058758	0.300739611653452	0.273905458966599	0.600052144646421	0.0936380612779085	0.284152590431477	0.132179086744459	0.639156329223253	0.0954387118325978	0.334291069058143
C5AR1	0.2653173349863	0.732550670793484	0.853479498810479	0.1690796925961	0.353095830809619	0.52523255752283	1	0.610799734552366	0.677420419254528	0.789292036168256	0.78384321005033	0.602172381822668	0.339253291568368	0.331008819761855	0.771827639911041	0.7647283951046	0.584115677327208	0.348393171074944	0.541574100520509	0.802554942131333	-0.0241411473234087	0.57072254260444	0.662416179179728	0.670386949575271	0.598799846414789	0.398158263259281	0.627724323174241	0.792771393762102	0.858782369456136	0.792386014811344	0.417517708330451	0.761357888569133	0.694920769596093	0.55807774865316	0.425946351592629	0.505960008696672	0.638996970703605	0.707363467467905	0.721486110154636	0.659505772108369	0.523219781361933	0.151168157090673	-0.222620956508692	0.728561608327138	0.530424884677166	0.687863279590251	0.374966769749	0.691592228444039	0.354865715025846	0.455019183926074	-0.0508106016048285	0.543592729361877	0.755622033375176	0.111079130089544	0.625510695607463	0.768233052260522	0.481258977486605	0.549377419627949	0.170135466865994	0.724446327748112	0.686877241697995	0.518293059479543	0.0764995305344107	0.400100324151488	0.393863526374757	0.704676331217985	0.75547158548868	0.729348469423391	0.419876322907836	0.679789186860722	0.799472114261059	0.916188201881924	0.508770790470016	0.682869795667186	0.593631757802007	0.835289088821097	0.435776123769715	0.375748508672099	0.674744498921064	0.566330943696835	0.545668629057921	0.580628672425107	0.669744019564184	0.103044102265076	0.402916247922307	0.738202017261396
LILRB1	0.763596930538551	0.764502569004624	0.745613327663984	0.708302109895326	0.7551427255736	0.686356282915044	0.610799734552366	1	0.730601995379706	0.579713874809554	0.214997289319968	0.788093062161536	0.642497055191921	0.480865815285384	0.744226429159243	0.795201714022257	0.734769742227807	0.813142400843691	0.746062344701953	0.548072679815179	0.548643315859258	0.678674105393659	0.762695253039654	0.538576236331221	0.519912046617969	0.704225640576847	0.839784107062842	0.486246384635988	0.577346053036519	0.709311581827878	0.689059455088533	0.640250613751279	0.186808476808095	0.55164938244529	0.635213121484729	0.549084202881195	0.531567375671289	0.529689630151033	0.396096627623528	0.759699340381645	0.706923290885987	0.546824216074732	0.329521596151417	0.335100437074367	0.710739171829002	0.653583087079593	0.673689757807437	0.564953039671274	0.651101925949882	0.758091889053018	0.321376298793642	0.413220157219175	0.617761149765645	0.53904929364438	0.729758187676718	0.395054262229137	0.711448960574507	0.61859094711431	0.136062509527005	0.640013088876966	0.550747471941696	0.532379251305026	0.650357607448775	0.832372134862753	0.492123590270995	0.73599760150236	0.622810502310688	0.587648185670858	0.463729050719866	0.684674523303233	0.724438327306353	0.561861581193119	0.741517529430869	0.337861726338333	0.69599546646784	0.380263275672119	0.53851783036819	0.607259479055275	0.598653515635866	0.758356726562538	0.551346785655584	0.548228217216706	0.449640862779603	0.420948847149755	0.460708361350518	0.437872329107091
ITGB2	0.52964245446455	0.790026087831652	0.719235276012406	0.53401117813886	0.646079191204391	0.307599863897773	0.677420419254528	0.730601995379706	1	0.560726731803822	0.486496504534069	0.73988302725903	0.678586928796629	0.259723025535533	0.917541683362776	0.896817677626297	0.880808151578195	0.778130368847395	0.676192891404485	0.676269279064736	0.320480553979031	0.79933128142045	0.893020798658702	0.459104876789638	0.645199379865145	0.455279813157327	0.862346979992955	0.789049203762802	0.835805477562444	0.930376255867732	0.911997061169638	0.773643749885616	0.542739897072454	0.631757644027563	0.797469422354473	0.580034594430588	0.629842279471766	0.803905319915815	0.755916054627094	0.650584602700229	0.804022573205669	0.543316261801664	0.281192352546606	0.680380609599048	0.736498835226267	0.52124299885708	0.69163602086012	0.665506472842066	0.557969560576243	0.567225630913635	-0.0244644085144906	0.828266667023683	0.755716468172487	0.693940301671106	0.813202442934649	0.643095531556801	0.682640122121379	0.719548273148052	0.0819199512733391	0.556849450208513	0.769068386896058	0.445813813200243	0.665624362165871	0.665779435870797	0.551809518215683	0.620627956962556	0.6397870285552	0.802039222339245	0.206360400795309	0.858840962297785	0.798132334956135	0.674032660101388	0.779705872751064	0.614053204669683	0.900741268380663	0.515270611157602	0.584624286424449	0.603961900233127	0.819230859588383	0.585956291051958	0.894146003570729	0.670937744995447	0.672719385192821	0.102734690413407	0.664487398595133	0.576138297084317
CD163	0.389534468852822	0.729876132494771	0.688381193341207	0.164535994802794	0.2692618660947	0.407143970593257	0.789292036168256	0.579713874809554	0.560726731803822	1	0.659676549405532	0.607065896073752	0.390414269840943	0.164130132655721	0.64312621118991	0.685111088485393	0.486822506486358	0.31282720733459	0.468434980861497	0.77538955819783	0.137285883635178	0.605083135001611	0.515065925046784	0.569834967169086	0.697460688922942	0.401595653495484	0.558432005371763	0.698111253835384	0.720412787473682	0.667584374049422	0.300273346572952	0.590895419715824	0.519140224638069	0.39118440165332	0.206346122112116	0.509660830759849	0.602370183331139	0.572239978491359	0.55287262816156	0.704162938340597	0.406471840356	0.196250374682037	-0.192578809162693	0.617620008320868	0.388666225234696	0.605799665321709	0.20954989447368	0.367816580416907	0.234449169640826	0.48524193187668	0.245379316806976	0.333375779501375	0.715806132578833	-0.0321669842523876	0.60218097335742	0.682374537205301	0.477176211018252	0.540473954572002	0.292815172510776	0.680902160591154	0.656163823481091	0.557915505017224	0.120879413356889	0.384616914346231	0.299934904911463	0.55724655787241	0.777405189378803	0.691247554285781	0.374083702829631	0.572361889137046	0.709470616816349	0.842539024383322	0.318777924633377	0.641091493064774	0.48680611873572	0.720822347085824	0.34695458662156	0.483372462069205	0.562625596433698	0.696476681848955	0.431038726441145	0.518797312986576	0.66751740078299	-0.0265581026726357	0.32898781935922	0.707174559395561
