""	EGFR	PARD3	F2R	ADGRV1	AQP1	TNFRSF1A	CD9	CANX	ADCYAP1R1	LRP6	PTPRA	NRCAM	PLXNB1	ITGB8	CADM1	KCNQ5	CD99L2	SMAP1	APLP2	TNFRSF12A	TFRC	NOTCH4	KCNJ10	CD47	ITGB5	EDNRB	INSR	PLXNB2	LPP	NOTCH2	SMAD3	PILRB	AR	TSPAN5	CAV1	AMFR	ABCA1	ADCY1	CHRM3	SDC2	GRIN2B	PODXL	NECTIN2	ITGA3	CNR1	TRAF3	ADORA1	NOTCH1	ACKR3	PDGFRB	IGF1R	TSPAN12	PRTG	ITGAV	FGFR2	LRP1	TNFRSF14	NGFR	TNFRSF19	SLC16A1	LRP8	ADGRE5	RIPK1	SIRPA	NOTCH3	TSPAN17	CD44	ERAP1	MCFD2	CD81	SORT1	RXRA	LRP5	GPR37L1	LRP4	GPR37	RACK1	CD63	NRP1	MRC2	UNC5B	SORL1	ITGB1	TRADD	TSPAN14	SCARB1	CD74
EGFR	1	0.863164969067864	0.967542429565853	0.260120787879147	0.166492214960767	0.859120930074172	0.873354928517671	0.988899916768504	0.399207113581993	0.836779510263274	0.984705635751423	0.959768690059212	0.728541673066433	0.892940192916025	0.968851667768392	0.854767875068188	0.945676206217428	0.955329746021606	0.985305200249226	0.619364414801213	0.956297972583406	0.822926656928497	0.811208843252798	0.876262114977494	0.949892643603555	0.886494731180454	0.681933491515978	0.910788991408424	0.896565981374501	0.906239726241591	0.841021441625999	0.664882233750277	0.888956739219862	0.961405271279263	0.771385367657445	0.894665500253771	0.858083480331356	0.948295593052025	0.927620548103179	0.879444975950833	0.901034182021116	0.900770056697876	0.769419381874132	0.877061395448752	0.848936621717997	0.878432267912366	0.926856044148727	0.833292799897757	0.687756884904278	0.596034542712661	0.518860122521629	0.859904186764579	0.894633198851546	0.948916287658374	0.731813212912671	0.951664129064491	0.662306461202426	0.908116264862043	0.854417125731569	0.978827205673225	0.927302204425173	0.908531128094613	0.931012432685478	0.871346286407627	0.934434667418892	0.871249302516451	0.768200092448649	0.884912972538112	0.956778729404801	0.907694017254954	0.941129759312204	0.864294177637321	0.794720396474405	0.943191108328598	0.880523454374846	0.939846653993452	0.879536900087386	0.86209274775756	0.705266043866938	0.903425459040142	0.882803942105221	0.852075297153471	0.961420972993535	0.87753240153839	0.863030080379293	0.893165215305677	0.439554974344429
PARD3	0.863164969067864	1	0.79181335723439	0.360320561443775	0.350525148247978	0.812305999091456	0.636229081046085	0.881753952509994	0.479406752091629	0.82302547423231	0.880024107473701	0.902217472693377	0.732174861425649	0.866243785186902	0.8665944306006	0.860451510062074	0.864244210120662	0.779176676078079	0.88682968256306	0.586794851743976	0.765480854267099	0.654495061047247	0.791264229659388	0.807514005207559	0.815675951895752	0.82098650689836	0.698608106359028	0.798264884271136	0.879876572491149	0.882829357365271	0.805946861712448	0.696603326226447	0.82497478394233	0.796572785139597	0.631670966827866	0.874511662796293	0.824324041510472	0.819511074349575	0.778596473604546	0.847123976798329	0.731605333796084	0.843666672609327	0.744010913431272	0.81985666607249	0.820472058081843	0.806927136486558	0.840718137648204	0.70798774012704	0.723018245775761	0.645722016256188	0.648332202630576	0.665136605126169	0.826548400363734	0.898830805924226	0.71381004008693	0.884752505088732	0.681571334821215	0.755743934544891	0.762218960993904	0.846225266920332	0.818135744504341	0.689991167994668	0.853620668080714	0.842357241837462	0.825903346129727	0.700315013826624	0.771199559765955	0.854496060996371	0.837490207308393	0.764888675366544	0.889241474266574	0.764255725212345	0.779542747929202	0.779977120395732	0.844992846479376	0.88901090066453	0.695886300347535	0.71359792533756	0.779956492393331	0.901448414499606	0.737271065504813	0.859405409648523	0.821986901368569	0.740563068025052	0.836410361331602	0.804778132159118	0.497680545459625
F2R	0.967542429565853	0.79181335723439	1	0.276419364469024	0.160747727315077	0.843244196901271	0.906588970814413	0.962269329141938	0.399713128834364	0.794670607195968	0.96005883614474	0.938990425158195	0.699430737165419	0.865782995149443	0.955786629529238	0.812925215025037	0.913622779316588	0.961402471470238	0.949810938606923	0.632057933671916	0.963248988584016	0.833228449885178	0.795531632827836	0.867602416363834	0.932612942394313	0.893988264439356	0.60534863005043	0.875246024700616	0.865524979219476	0.856271459510387	0.825461899300299	0.618470336533089	0.870159139990857	0.968407519100055	0.819195982106974	0.843440372257603	0.846516914541405	0.930235101004287	0.930317030042211	0.851035620810639	0.866163050729302	0.863986187594267	0.737919037471495	0.844799268992257	0.828497135065418	0.8482232806211	0.915501565370458	0.798832366852497	0.680658237226566	0.584099757974361	0.450330321748441	0.888852636302594	0.857168466167345	0.914947783926489	0.718044551104088	0.891635742704764	0.65460859150387	0.892209544139338	0.862658733879481	0.955296961732038	0.869277887051661	0.920087665505846	0.914169204777691	0.854528621647072	0.90714018277787	0.887089840580821	0.761852598154248	0.851937978970489	0.959148412595206	0.915585071995525	0.913929880288703	0.850178462833984	0.727334130515279	0.91325973228039	0.824776486761116	0.890421972124658	0.896849624284022	0.870165892060796	0.667146094632314	0.853297375783907	0.879963982092045	0.811239227934399	0.94270552986072	0.876229439639414	0.818453340349542	0.875318165729075	0.417292008032974
ADGRV1	0.260120787879147	0.360320561443775	0.276419364469024	1	0.750551970762584	0.18622767511211	0.0224600243944739	0.295522923945912	0.787234331957278	0.472799810864867	0.310362434711845	0.387772729581886	0.69508770551112	0.574166173127377	0.234509401721415	0.449169647167834	0.347260514987578	0.143033961545179	0.26508732857956	-0.123095977242711	0.144651092132009	-0.0543519666455045	0.614048894264576	0.139481512287709	0.308509020433495	0.572025474021238	0.580297522862829	0.362769556818559	0.461245926552793	0.444225175405334	0.502890056685703	0.556968763577098	0.540436507374555	0.212013159081964	-0.0465920443980068	0.49440852202523	0.52600873281313	0.301182051192368	0.267006539906147	0.407230421399123	0.213960935096193	0.411750426335456	0.226428488215698	0.277599647344307	0.362260414693572	0.311880763786893	0.325431121685928	0.426499221936706	0.429797908481546	0.752493981858274	0.508330803039814	0.0987092884215258	0.33548141649791	0.447200296733001	0.590577354129224	0.347147741487647	0.0755596980792471	0.142087794182511	0.400807464353068	0.235045232843745	0.268213570590338	-0.0189169773178663	0.172560694832584	0.561495904926875	0.300514487502868	0.0146790786838202	0.215339368107261	0.191323065179483	0.208890749943274	0.229219876168438	0.491217742564716	0.365562593160252	0.388090676110961	0.190882075630183	0.524227129984328	0.383619638154424	-0.044834080169909	-0.0332862815318036	0.100738788751315	0.503719589099985	0.270500066298327	0.547247448890956	0.191346073266585	0.0987015162164482	0.401289380918379	0.247803762379809	0.241418833779612
AQP1	0.166492214960767	0.350525148247978	0.160747727315077	0.750551970762584	1	0.163274291549478	-0.0287471790349068	0.199612923129102	0.911512652147916	0.30796680296484	0.238749619629616	0.235167979979794	0.668421530884529	0.454346387397138	0.138974643311891	0.373501373516187	0.274047479147099	0.0857981365087491	0.20991169623189	-0.120959482035516	0.0152095326559713	-0.074106248180776	0.556852614753462	0.0765676547395762	0.251962353031323	0.492889195325851	0.445977492643223	0.24155821648301	0.282606460918567	0.342022393463857	0.445667648922825	0.375077402336183	0.361373811085318	0.128036374513153	-0.129887682263441	0.47189462305306	0.329121436607763	0.190152646169012	0.0576176687745847	0.347187387397111	0.0527269209995959	0.335639619580497	0.234157682880463	0.234062641101509	0.219303737932056	0.120784570965862	0.227392404957493	0.36738567870034	0.456358694590871	0.703274938021198	0.584852933592379	0.0338718993644157	0.236360730729071	0.301060342743134	0.354266762794061	0.275919770326149	0.0350327424380508	0.0437487677341107	0.191936997018247	0.107025293565325	0.143512656115534	-0.0790841950667996	0.134161378919877	0.479085799491495	0.253979182444073	-0.022312193033393	0.225231520371773	0.12784046175261	0.154225370331191	0.24576551113875	0.375157709787518	0.320395690812275	0.261167177418015	0.0894102257160655	0.40632889547902	0.322308335840732	-0.0636510995205054	-0.0411267818956597	0.0361809680041328	0.418298516535782	0.0797859168557475	0.470785788937016	0.0933346610813843	0.0593878505284732	0.291122513375429	0.17207622130974	0.244768519315608
TNFRSF1A	0.859120930074172	0.812305999091456	0.843244196901271	0.18622767511211	0.163274291549478	1	0.776718123773046	0.873157462867311	0.399269913246532	0.666742600333757	0.885894400381052	0.863463705236408	0.601981253256728	0.723239649984347	0.921497142827895	0.845817159008613	0.81634900321145	0.862081860734896	0.867270636437722	0.82873711196286	0.801100864390235	0.793650355368685	0.662859384110206	0.952191763243625	0.841670348677727	0.793333393197501	0.463152739393097	0.738233389099798	0.81036853474548	0.784802874642515	0.720839945953836	0.523685574007504	0.773359446259099	0.85850359820271	0.8193374874949	0.77391527212304	0.748839438441893	0.773330003597918	0.755699305649203	0.84814534688339	0.682172966625056	0.815909667124982	0.867003256271225	0.872932193620716	0.765463205854263	0.791615891284528	0.869500560603073	0.651399043371185	0.867808314147163	0.582502372195419	0.430862676797115	0.677215514777108	0.682103475373502	0.816747220415714	0.611245696565427	0.794783624916083	0.910218145273698	0.685520921916706	0.675216046538744	0.828364789975547	0.768209561652041	0.773222667729658	0.890702259206485	0.763972465933412	0.748389991035274	0.89396761870436	0.946777542893708	0.916136071017577	0.900811784374127	0.904469213441064	0.808194817452628	0.769716780438387	0.608570867569305	0.768772267174419	0.697693825458186	0.851295045113755	0.856236694693401	0.912008496756424	0.874637924747003	0.798074164253216	0.741604404458447	0.714509720735556	0.851993370285227	0.881044152506098	0.710730248319353	0.806184073551807	0.539859534696172
CD9	0.873354928517671	0.636229081046085	0.906588970814413	0.0224600243944739	-0.0287471790349068	0.776718123773046	1	0.852714670667154	0.227363442448741	0.549070309360719	0.874427386797888	0.777626034792668	0.492411882167116	0.63490777913501	0.871549886540097	0.642591848298325	0.798278071069109	0.952102614672059	0.849321991820936	0.621699861707068	0.924513051377879	0.906260288432934	0.631714021685852	0.806969745728187	0.879863816435227	0.76240059887313	0.367290017112595	0.716970938022133	0.644122507748854	0.680450871032793	0.627211871862713	0.351075834214021	0.690984348900132	0.93307702041309	0.877776514807117	0.66950428805678	0.614187487890663	0.834424904632007	0.811646824328875	0.714016565177306	0.758982037441539	0.697572452968783	0.703502997153924	0.693562538759672	0.716739532973211	0.743707640971132	0.816375170445646	0.601018428159308	0.558939496782651	0.368684633785971	0.217358837885982	0.918068147345966	0.729295134068266	0.738981099825913	0.551903028981098	0.772371279517291	0.602405906363922	0.859981749267106	0.705648739911809	0.884751398124886	0.732950509713475	0.943521171774084	0.823731087245036	0.687791324370009	0.816164028617943	0.91231370603095	0.660884757137592	0.744253680375021	0.922081012523049	0.91590233250878	0.728872321243798	0.716071127118808	0.559514568045082	0.874371028689784	0.635866773673114	0.768517728499085	0.956796255698649	0.903706570745532	0.550439756852669	0.639406053632095	0.788471791031989	0.59891490411523	0.859239090173639	0.879378690915499	0.640094252041063	0.808706848032333	0.295969590532324
CANX	0.988899916768504	0.881753952509994	0.962269329141938	0.295522923945912	0.199612923129102	0.873157462867311	0.852714670667154	1	0.430277215918114	0.84755597668049	0.988955556864716	0.973876455559068	0.740547136274377	0.905328973082587	0.973457792096665	0.868841707831676	0.959802682247889	0.94611873028735	0.984849553937817	0.618395316801086	0.948106699126433	0.800844652998954	0.83727256690833	0.881030243034483	0.950367175991595	0.905893039932931	0.686120986228734	0.917184575644638	0.909129450853681	0.928573073029326	0.846507380595759	0.673703448855259	0.899583725429029	0.952477078420286	0.770298300222688	0.914214493180292	0.882317959002357	0.943132361060924	0.921006458370106	0.902445183294045	0.879233538748331	0.915827218014164	0.795357578684804	0.90112819387009	0.872535361827244	0.895149864114442	0.935716542879769	0.835036613614141	0.714803845517623	0.635698099054141	0.536182177739567	0.840977819094697	0.881920589497109	0.964228568934253	0.756468654098868	0.959602719801512	0.69977142405974	0.89086015232794	0.862652982594432	0.971710128093241	0.918164897148302	0.887228053846899	0.934286961483473	0.895125089512421	0.925269576391146	0.858723594259183	0.785564409010176	0.90933102296646	0.955980134044353	0.907425969620181	0.954318339445507	0.875643766873794	0.801641046232352	0.933845855483129	0.894363094943808	0.948682922155268	0.862996751711574	0.854729590098381	0.738132854542132	0.925171426643635	0.871210828955048	0.869909565321559	0.961185483099037	0.880685098551856	0.87323869112289	0.908707578078062	0.469651907928056
ADCYAP1R1	0.399207113581993	0.479406752091629	0.399713128834364	0.787234331957278	0.911512652147916	0.399269913246532	0.227363442448741	0.430277215918114	1	0.438984498650547	0.475543085886615	0.4578663947796	0.792107830412197	0.611949010459703	0.373410623696652	0.547917723066781	0.507292062543008	0.336696483511051	0.419607084739506	0.0571290254672173	0.264636733699403	0.180306281029367	0.711518967414878	0.300920157406298	0.476369129623548	0.712550392236867	0.523525753264009	0.449501243582391	0.471895325100785	0.527039982672407	0.596126828065773	0.470519304399215	0.569105193471112	0.378800958960538	0.0989982533054689	0.641175711344117	0.524239862544748	0.405820029871231	0.299236033045791	0.543446070384048	0.266671792617847	0.538959482144204	0.446069781048601	0.44366424729735	0.430889072155375	0.357880666016736	0.475067173244853	0.525950141263338	0.628979504808706	0.843534753469399	0.606365610151273	0.235349658228785	0.407306841480406	0.513465804724509	0.533997683223869	0.484031525329803	0.253477009400419	0.259300567983851	0.399911924986303	0.336677784061383	0.366587804432433	0.147229644863674	0.325493122089502	0.657196977947482	0.434547885159797	0.215760976180526	0.414786134438017	0.327157635526665	0.393549729938101	0.491461188881123	0.571640006874648	0.504399154636283	0.408921263471014	0.329572911114005	0.589273623266611	0.51441504189834	0.179556443371904	0.203300129055945	0.205392168854136	0.588371885080098	0.308856245006275	0.603892271161821	0.321414067781971	0.290577065683151	0.436232004641502	0.387688401025565	0.319842494500559
LRP6	0.836779510263274	0.82302547423231	0.794670607195968	0.472799810864867	0.30796680296484	0.666742600333757	0.549070309360719	0.84755597668049	0.438984498650547	1	0.808205025470208	0.89763089803619	0.765688767223242	0.944350251821995	0.801403767623867	0.779849337634391	0.816011711738099	0.693574708523789	0.829473545853138	0.3892528572137	0.759151598026557	0.495253536763098	0.810568365084654	0.682867687957857	0.765545510139039	0.782405141405703	0.825161726057096	0.846014618351181	0.939645910497294	0.887525898860037	0.894750881423294	0.863142108651093	0.895398340236822	0.729577983034953	0.489829317818549	0.863546519687722	0.911743521656659	0.849542286485945	0.848087053333114	0.762274386668143	0.813548198792506	0.825241759879926	0.561532808200841	0.747437350902753	0.768967464316417	0.779792211964741	0.756910727231857	0.851642464555823	0.595984957872866	0.657970264367426	0.66021258329261	0.6447661561717	0.848687026207707	0.909637134993287	0.757615961304885	0.850864185797884	0.486745012485963	0.759984216997628	0.855017701452296	0.827708060399253	0.839365482565931	0.652617929911453	0.766293840269853	0.857677383834446	0.807903248277697	0.572440960681265	0.60608748205681	0.76281497467489	0.728936738524345	0.63466722197378	0.904076019319657	0.797234103142136	0.808297971919778	0.773974457703862	0.886687638136007	0.831130060965231	0.5585441832935	0.545911771651697	0.613686910025407	0.921610242804109	0.752629963192461	0.905468255267811	0.8014106006418	0.620735428543746	0.903014864294953	0.723763017060359	0.450752295246057
