""	CXCR4	CD2	CLEC2D	PTGDR	CD44	PTGER2	GPR171	RPSA	CD46	NCL	CD47	ITGA4	CD3D	TNFRSF14	SELL	CD69	SLC16A7	CD3G	PTPRC	CD247	CD96	ITGB1	KLRD1	S1PR4	CD8A	PTPRA	CD8B	LRP10	TNFRSF1B	LAMP1	TGFBR3	NCR3	CD6	ACTR2	TIGIT	CD226	CD74	IFITM1	CXCR3	DIP2A	KLRC1	VSIR	PTPRJ	SORL1	CX3CR1	CD63	JMJD6	F2R	STX4	PILRB	MCFD2	RACK1	TSPAN14	EGFR	SMAP1	PTGER4	PTPRZ1	TSPAN5	CD81	CANX	TNFRSF1A	HLA.DPB1	C1QBP
CXCR4	1	0.803057669323606	0.918545339985011	0.687235054261167	0.717305106340063	0.849181950646883	0.880240383258069	0.802267616860416	0.761938798680441	0.788755984480654	0.929132181672681	0.908272312286532	0.899121718029163	0.91555717518964	0.683005420417206	0.949871146384224	0.777083732992771	0.924100173138615	0.946881338572269	0.708693484512818	0.816697188359236	0.857822820784448	0.776868714603039	0.766482362161456	0.777346745341977	0.728692256396968	0.782805982888887	0.84877708709312	0.797447823548807	0.367744194584408	0.742524136190664	0.737648548382758	0.650313870677861	0.734594457113854	0.819674933706743	0.821423693754906	0.291857493450786	0.82946114732843	0.385710386575097	0.285567318508057	0.683285671786378	0.519921190949416	0.651789185636724	0.319927674199766	0.414729159075735	-0.0592465655665902	0.386905182685792	0.666001475432449	0.196683484005187	0.695023102052573	-0.107060352576756	0.58410430070692	0.855634151845718	-0.579463120182355	0.785841422816387	0.847422225677396	-0.526155478789974	0.466567596397335	0.316567966436264	0.226641606673684	0.338665084043565	0.359050457495443	0.540195175448117
CD2	0.803057669323606	1	0.813188651473933	0.773172427881396	0.621570628539067	0.781760746461465	0.834968333333066	0.556969016975386	0.641476023763616	0.441073198369461	0.776729251909524	0.885870151295149	0.939346755858996	0.796461349735562	0.415127247630952	0.703398967952305	0.76935692963867	0.89014147536869	0.886244610001197	0.824847149919319	0.938453596786989	0.646036537427949	0.730032061138644	0.710186120932507	0.914400678385814	0.636328464725724	0.867899234687971	0.645044288426934	0.633494963655436	0.326246899605376	0.640577758279511	0.80892851698567	0.758187952736588	0.566179514950634	0.941657331215322	0.856086999870221	0.11053107031079	0.836200963713046	0.801060377855653	0.21139267128515	0.818535941268511	0.317326977824983	0.531837823531138	0.226527661972579	0.307523964846056	-0.179096027268288	0.31985232719663	0.681312778781666	0.202598637275698	0.651693899962562	-0.258239993978349	0.378212807052354	0.718644958144407	-0.628691707024962	0.556784089492362	0.650748338717674	-0.564088380673065	0.49150508151984	0.274466057452393	-0.0441998870396116	0.241645609345838	0.230631680169598	0.34208603538713
CLEC2D	0.918545339985011	0.813188651473933	1	0.588216444909828	0.693516080830994	0.876944203585603	0.776071125387046	0.803291413134355	0.73131882890695	0.695464317700666	0.88332209643847	0.843235771893601	0.919916059275696	0.871854785074421	0.693810960133345	0.850629680747965	0.672456677615688	0.874462102910735	0.912219620674247	0.620708295658895	0.739715699597439	0.838198144423574	0.651175709763922	0.824466596722646	0.719605157417531	0.67438232576565	0.774785270949724	0.759656145257569	0.710981947790643	0.364766450788919	0.625532677452632	0.666637981114582	0.726596881956904	0.653531190408371	0.805771442535189	0.80932442993438	0.343185963495633	0.741230072270256	0.458066406991918	0.267642948650808	0.660889279321208	0.453618693675986	0.56538648715841	0.325647724652135	0.323167496646999	-0.121035843581475	0.26365303546297	0.589274228848824	0.0935466331388005	0.563935755333351	-0.0869561146590228	0.615412428534082	0.801128055512618	-0.564114678028222	0.679082857455699	0.702523261844886	-0.503897366572977	0.518993098872282	0.27645201359574	0.151648845537323	0.271279502630681	0.372085872063872	0.484962849834797
PTGDR	0.687235054261167	0.773172427881396	0.588216444909828	1	0.471322750767439	0.67528922688658	0.812653286645676	0.231070781636395	0.666602935075518	0.484606901222389	0.770316196174807	0.844473376038439	0.687403065888351	0.696950488079683	0.0076684048279303	0.699041527888183	0.478628792908106	0.711039318821575	0.764472539999304	0.919534568133203	0.872323903600042	0.545636599567524	0.929054912335834	0.409387662806019	0.888211061303174	0.703183785407147	0.844052427875807	0.616268660414015	0.728025609328765	0.374052368918832	0.907777802619527	0.793752650235713	0.407162230053178	0.730188597353049	0.783732560773502	0.708280591046323	-0.0203415244620327	0.858467469069415	0.673937514967939	0.359798629400441	0.786585691473517	0.428798373723865	0.674446831214061	0.321145273672587	0.59584430121882	0.0198252585867273	0.563350668171744	0.874530669846154	0.314944006018003	0.894842077730843	-0.065867393920901	0.110139021342856	0.727869952664513	-0.399765683158701	0.556097987458999	0.764759521416591	-0.352218060434535	0.301264949467216	0.401826208758205	0.247311419821308	0.475026627880663	0.139492149220674	0.273411133999186
CD44	0.717305106340063	0.621570628539067	0.693516080830994	0.471322750767439	1	0.607261410579416	0.613503509222639	0.736962671707538	0.619696604804213	0.664634113369108	0.676788238375026	0.67123897180564	0.67087458696117	0.821433380886016	0.538899232725249	0.642300712469065	0.557470622517122	0.670643202843442	0.704954457256779	0.461800878601794	0.574656143228232	0.793643883656413	0.479213649868092	0.624236199595261	0.55624891771782	0.534640919195251	0.580559964265946	0.734749192801397	0.749979454761898	0.672586452899615	0.454005189029972	0.503047085578934	0.507441666073938	0.759359660420406	0.58811194954523	0.613856736365636	0.48283585909057	0.558217158194883	0.34971473424901	0.282256243900285	0.477412320908988	0.573376866748584	0.686749614461065	0.451013128826244	0.32603797471356	0.452166678879652	0.520349501285543	0.434496033165843	0.527130646666393	0.45283638661498	0.408838003310924	0.778976275272233	0.708590269748959	-0.497469169740558	0.762357511385872	0.562369157222093	-0.463505800786853	0.280966726448335	0.587948717396587	0.44864472525229	0.436223209678221	0.563698236132047	0.525952068866129
PTGER2	0.849181950646883	0.781760746461465	0.876944203585603	0.67528922688658	0.607261410579416	1	0.855428233950403	0.688781133958444	0.578577752900455	0.571839491785203	0.785363095329535	0.81076522196424	0.899202761609051	0.813469563901908	0.467545097038836	0.856412568991585	0.585384073066273	0.780211558547261	0.814765135980135	0.710644684899951	0.795105466007017	0.746830766237391	0.711478507401329	0.814803861858188	0.772678721239384	0.544907176326597	0.787587736942173	0.687220029638928	0.705499819189928	0.28455206646944	0.70198015821151	0.809342408581479	0.692986284310325	0.630892635130093	0.778126057951835	0.671242617693426	0.197391094205756	0.86826270803992	0.50184845446996	0.257241296011069	0.793106644746738	0.497130062843188	0.5110152688469	0.234132738037083	0.383072329147102	-0.0688502226805483	0.39696344711187	0.665116216454513	0.177194723914516	0.691017425171195	-0.0440168228892056	0.510613634575213	0.748594098152772	-0.585566421856977	0.641929672585285	0.66099028166941	-0.544390868947309	0.3708128164562	0.285038163674696	0.181042481059628	0.417790844524055	0.276029258999928	0.603966488926667
GPR171	0.880240383258069	0.834968333333066	0.776071125387046	0.812653286645676	0.613503509222639	0.855428233950403	1	0.62367582862567	0.634750699997278	0.583339761321467	0.815215422203666	0.866381177345398	0.847115040025316	0.83248930901186	0.439962373885066	0.899248881122606	0.740772368118392	0.864258048370979	0.832006625501625	0.771100859188548	0.880165969629049	0.695687835714314	0.779947419347444	0.713651318240811	0.84838631060609	0.603274465597113	0.77777373980446	0.731352712354332	0.693290436672203	0.243453272585461	0.766636306881581	0.782150948127379	0.543347050501795	0.666503537267732	0.812100309654193	0.748157455889025	0.0962306790291415	0.886148469378158	0.607112131080106	0.354211378515065	0.791989565115361	0.472173620792855	0.528953011923773	0.205227772399306	0.390389358286886	-0.10183891709495	0.419612072859938	0.735286581843315	0.234667152460688	0.781835040634473	-0.157172204356249	0.402540203043227	0.815813816901063	-0.547321744178256	0.657614816033005	0.721683503786713	-0.500423826878484	0.330034537809683	0.289194484361469	0.107052920714591	0.358120078216483	0.228435644927035	0.513990749078614
RPSA	0.802267616860416	0.556969016975386	0.803291413134355	0.231070781636395	0.736962671707538	0.688781133958444	0.62367582862567	1	0.511204451458453	0.735065701946366	0.690715257421492	0.575329684275035	0.71025067946495	0.788455593240587	0.903403447564403	0.759118374020241	0.678972089006053	0.720783588598938	0.705966475045811	0.290659907966338	0.467973092508426	0.781613456710004	0.308583406328086	0.798269152141591	0.38044087177635	0.463905166362749	0.422665418532169	0.727393246498498	0.548371779597629	0.294338092353963	0.290212369002259	0.406478313072403	0.575466419095173	0.524002394464415	0.510238665978703	0.632093082039827	0.508376413211478	0.489873351131889	0.141982620725262	0.127108711260798	0.421828899364153	0.464782183700626	0.372777930762294	0.254426727017452	0.124851251196081	0.0700435277744049	0.149658010159435	0.226576433312284	0.147814195281923	0.243434554097673	0.0596504794428629	0.897304756091502	0.665451471480576	-0.514739868423388	0.702040593484654	0.495525370620588	-0.483958268742298	0.382776232762912	0.283335963372687	0.158555924209657	0.169921141818006	0.518159030024427	0.73290185848168
CD46	0.761938798680441	0.641476023763616	0.73131882890695	0.666602935075518	0.619696604804213	0.578577752900455	0.634750699997278	0.511204451458453	1	0.75577026496721	0.87225450816812	0.785208939170612	0.667574010237884	0.739102486499621	0.458179074157685	0.698685381036494	0.585899957616624	0.797553535000312	0.836502381179691	0.585357568328796	0.617059341484088	0.792013262954375	0.70959856825363	0.394449012714875	0.63971660891789	0.874983582158748	0.743712482292089	0.811208532781132	0.793936780978044	0.544429388532889	0.667079195074158	0.502483471348083	0.433474345309905	0.812142336734145	0.620477386063874	0.796356036643538	0.328342605579931	0.559006307701399	0.334046541509068	0.597323141581518	0.444201600076558	0.507266299132531	0.76494108117686	0.580099742400492	0.520708081241813	0.0517710492326964	0.450823606797163	0.676863857175019	0.188306059733638	0.593233686579694	0.0405857688294096	0.380444426852428	0.839802812246965	-0.158319772241428	0.631140701196211	0.791384870306284	-0.0874891549857947	0.54241550869878	0.435464080599339	0.47312686266864	0.440186258122441	0.344532212195897	0.242397032465429
NCL	0.788755984480654	0.441073198369461	0.695464317700666	0.484606901222389	0.664634113369108	0.571839491785203	0.583339761321467	0.735065701946366	0.75577026496721	1	0.839664774454967	0.652373096724316	0.578471421859077	0.749370648265664	0.606162123459985	0.801414609389992	0.523423185718245	0.714638490417185	0.755305029093018	0.461255398403211	0.489821767183465	0.826314441115524	0.621757480700132	0.423993144079454	0.438467506154982	0.785558912004614	0.527276922817984	0.871679003159472	0.789704734784087	0.479336714395321	0.60159581309078	0.442712493551301	0.350425505827838	0.801496026190997	0.457050281768969	0.661252960495702	0.40856064881094	0.527933243772331	-0.00249330704952382	0.335416419849495	0.374224874766757	0.586640763509183	0.684609264820026	0.448542454172182	0.478609035800758	0.267853233243511	0.466679859434378	0.526855436928973	0.274804736430108	0.488159415955384	0.213760834018608	0.657785570579364	0.785871670700332	-0.243249916732836	0.846361824955618	0.805575093644944	-0.228084465974286	0.472197497696423	0.465499856218358	0.600711126397855	0.441106889465068	0.425978225500734	0.619680887808473
