""	CXCR4	CD2	CLEC2D	PTGDR	CD44	PTGER2	GPR171	RPSA	CD46	NCL	CD47	ITGA4	CD3D	TNFRSF14	SELL	CD69	SLC16A7	CD3G	PTPRC	CD247	CD96	ITGB1	KLRD1	S1PR4	CD8A	PTPRA	CD8B	LRP10	TNFRSF1B	LAMP1	TGFBR3	NCR3	CD6	ACTR2	TIGIT	CD226	CD74	IFITM1	CXCR3	DIP2A	KLRC1	VSIR	PTPRJ	SORL1	CX3CR1	CD63	JMJD6	F2R	STX4	PILRB	MCFD2	RACK1	TSPAN14	EGFR	SMAP1	PTGER4	PTPRZ1	TSPAN5	CD81	CANX	TNFRSF1A	HLA.DPB1	C1QBP
CD47	0.929132181672681	0.776729251909524	0.88332209643847	0.770316196174807	0.676788238375026	0.785363095329535	0.815215422203666	0.690715257421492	0.87225450816812	0.839664774454967	1	0.894563814427833	0.831787449759956	0.897982612831395	0.566014195021878	0.906711754234973	0.668382786676308	0.903175918999727	0.956787928232907	0.754770996074883	0.796133535806632	0.851086292610553	0.834835547172707	0.651650783959636	0.759269055940012	0.849758168422096	0.802971842718115	0.876247169945996	0.84235293584709	0.452954409309544	0.815484413747813	0.69255327800904	0.55957877620035	0.82817070309422	0.76683784822525	0.883466910241299	0.312309260043063	0.802155547711042	0.383741113987549	0.410434632532498	0.701744376493378	0.556536896786618	0.770251820437873	0.45400415421375	0.538445913668673	-0.00979436820864505	0.447145510695408	0.729329060484329	0.218326897099226	0.732049665996541	-0.0430920768154477	0.521641883984941	0.909769088623732	-0.450517984532275	0.769257547945699	0.892809970688247	-0.386431804551418	0.519791913011317	0.396901149870699	0.347625646579357	0.400119073844575	0.3736864261245	0.471584492345079
ITGA4	0.908272312286532	0.885870151295149	0.843235771893601	0.844473376038439	0.67123897180564	0.81076522196424	0.866381177345398	0.575329684275035	0.785208939170612	0.652373096724316	0.894563814427833	1	0.899840364911228	0.836316884608244	0.428529448998277	0.844808482981985	0.699206218928807	0.908966588045068	0.939881100673852	0.839887361795652	0.912827484764835	0.766653391994653	0.883511296595244	0.663085572116485	0.93179695995042	0.743858529552747	0.908318916058997	0.770830394019037	0.809921321250844	0.397682289774977	0.839172561668964	0.83802576083154	0.595709222691641	0.747420669629529	0.928173774560338	0.854286467933724	0.167038537972572	0.880283877009979	0.594682192944611	0.311710322121452	0.750267069592265	0.460375920354651	0.684722334137242	0.338272640529781	0.492154669796808	-0.0535663575034859	0.454765630343116	0.809717940469274	0.23996947494865	0.792409978346863	-0.146010831750037	0.381843159500699	0.846007622553348	-0.546881343838033	0.696198172949249	0.841926211271159	-0.486414672341145	0.439709063262847	0.376029616903099	0.228477690443547	0.402750839776293	0.268407624351481	0.37621477627898
CD3D	0.899121718029163	0.939346755858996	0.919916059275696	0.687403065888351	0.67087458696117	0.899202761609051	0.847115040025316	0.71025067946495	0.667574010237884	0.578471421859077	0.831787449759956	0.899840364911228	1	0.836672844703412	0.564322241378837	0.814421280772722	0.787570035122822	0.923652438998366	0.928521235307209	0.767458405181771	0.89764295691894	0.762238649249243	0.737057974918786	0.784885553614977	0.876479911132165	0.657546890741775	0.876144651976023	0.727642508956542	0.723747908214871	0.346571342355476	0.647482585758803	0.835691668294541	0.830595304867839	0.608751735169861	0.918824892716018	0.834247730538587	0.192731723369708	0.855681541442799	0.614448851843492	0.189234877962842	0.796962514736411	0.404194294520964	0.560670691962167	0.249204662149979	0.327173227464882	-0.140782873197366	0.346484161966476	0.655120812205548	0.170758515045243	0.632320415366888	-0.200252326502512	0.506259942083294	0.760250407255627	-0.653508845635507	0.655174593864066	0.726558314261905	-0.596893511541931	0.504298477210739	0.271219452978879	0.0767321227785312	0.306634935014118	0.277700275881265	0.469652691836259
TNFRSF14	0.91555717518964	0.796461349735562	0.871854785074421	0.696950488079683	0.821433380886016	0.813469563901908	0.83248930901186	0.788455593240587	0.739102486499621	0.749370648265664	0.897982612831395	0.836316884608244	0.836672844703412	1	0.603936816346733	0.877057925945952	0.674522268434117	0.8362415838454	0.911923249821445	0.714736776497353	0.781867723267527	0.891963747808811	0.712077531610226	0.764591008278923	0.709127910286417	0.723798658573922	0.71141409031358	0.861314552691221	0.811985758937125	0.55664131119282	0.693870961393846	0.680859024884436	0.614546896732446	0.816118879990811	0.760862877105914	0.816977910971154	0.434144690380831	0.795597059924867	0.449948348000533	0.364875100481312	0.699999924072167	0.61141947282269	0.738948191812998	0.457781759810471	0.471292555042075	0.140571754728891	0.434334862194176	0.653701991175625	0.363571427881415	0.678815984172136	0.0958931288972341	0.681619010527551	0.876073981741857	-0.565821662769348	0.830060076787407	0.766110739559799	-0.498751807273442	0.50189850008902	0.491551165487904	0.288911012256366	0.417946568053736	0.517893305281995	0.563542797650583
SELL	0.683005420417206	0.415127247630952	0.693810960133345	0.0076684048279303	0.538899232725249	0.467545097038836	0.439962373885066	0.903403447564403	0.458179074157685	0.606162123459985	0.566014195021878	0.428529448998277	0.564322241378837	0.603936816346733	1	0.603542123675901	0.661751360359023	0.641879756372656	0.580721416909944	0.0689410069303237	0.280905331612651	0.617719639691845	0.110716584250557	0.680080381811152	0.190012658784168	0.354050424252054	0.251038145484234	0.570455683741622	0.333339894313111	0.0880176265760975	0.0833547178942394	0.173125996854402	0.450786154248967	0.286211376638297	0.36008644991904	0.561332805080576	0.405052113355258	0.254679983788065	-0.0125457438120951	0.0717884587829226	0.201913561730813	0.221091523363353	0.190535864482055	0.11215498131387	-0.103634122335449	-0.186659085366918	-0.103495588969631	0.00663466256306709	-0.105391693969475	0.00597125727691546	-0.158722688625792	0.721429837523915	0.509557789289919	-0.413714720710258	0.486930737581644	0.35869885982674	-0.382053607549278	0.347153298620869	-0.00894775552798442	-0.0499498284120478	-0.133065641574879	0.347186004322447	0.461138162844612
CD69	0.949871146384224	0.703398967952305	0.850629680747965	0.699041527888183	0.642300712469065	0.856412568991585	0.899248881122606	0.759118374020241	0.698685381036494	0.801414609389992	0.906711754234973	0.844808482981985	0.814421280772722	0.877057925945952	0.603542123675901	1	0.686563219016865	0.858456002807296	0.877655954345726	0.696882495268558	0.778300706385623	0.823178120638649	0.777227844010519	0.715773858698112	0.714442279794739	0.700141081095008	0.704395910425553	0.857754665982635	0.796473955024128	0.306815492051664	0.77254375882775	0.73218804718489	0.501666840410667	0.759614065330088	0.72110922579008	0.769435602573528	0.280771039928963	0.839099425810154	0.315918605957177	0.357358123116625	0.701142272652969	0.593730640566829	0.626498544909539	0.325172906425206	0.489673406862599	-0.019060578322201	0.401804007590229	0.687751418220507	0.235827175639025	0.735556247998161	-0.092664917112623	0.542684379063582	0.878793994913731	-0.490866022323329	0.814484008054839	0.835416188686181	-0.447451673117815	0.386358432173112	0.337924889577573	0.284970127217443	0.422978564670916	0.348706753485668	0.590531683322834
SLC16A7	0.777083732992771	0.76935692963867	0.672456677615688	0.478628792908106	0.557470622517122	0.585384073066273	0.740772368118392	0.678972089006053	0.585899957616624	0.523423185718245	0.668382786676308	0.699206218928807	0.787570035122822	0.674522268434117	0.661751360359023	0.686563219016865	1	0.855136939597917	0.774355942457867	0.573508008844543	0.736022490193298	0.617153753909994	0.515993725513666	0.56420185193708	0.659530615063984	0.614134762566484	0.601168225785097	0.697083102003832	0.552475735779869	0.242564957894212	0.371517839413921	0.641123595415657	0.678116553679199	0.457409986659168	0.714336931321397	0.779914958565591	0.171354553203172	0.607471199903168	0.443450798344989	0.171054631811338	0.555374809265578	0.271581033386485	0.374718431795569	0.175216082440841	0.174736130344792	-0.200933298060122	0.184985053391158	0.412903581534239	0.190917213703149	0.391960677957475	-0.344181684060417	0.434894037462055	0.646768209697718	-0.472303119643104	0.568073542055686	0.621557605193431	-0.41730140267868	0.523737772443576	0.140495819193497	-0.0220022282905295	0.160596362087492	0.218198318554504	0.358259455715387
CD3G	0.924100173138615	0.89014147536869	0.874462102910735	0.711039318821575	0.670643202843442	0.780211558547261	0.864258048370979	0.720783588598938	0.797553535000312	0.714638490417185	0.903175918999727	0.908966588045068	0.923652438998366	0.8362415838454	0.641879756372656	0.858456002807296	0.855136939597917	1	0.949588362277859	0.717213811578399	0.853930474261171	0.774445353913856	0.750083104599779	0.663787276310959	0.830562854613201	0.765885700246885	0.851701889227976	0.825635571409647	0.756041124270135	0.332787553601969	0.658620483944341	0.728947591307962	0.652419712607342	0.672993961412394	0.848053876102383	0.905025510382749	0.196821547778995	0.772993213837443	0.544370925174122	0.272699683289167	0.685943942318178	0.414273626544609	0.602227910790157	0.288360026525231	0.335040873014411	-0.137422071037963	0.310529606732727	0.641724956717073	0.136904356696878	0.600680056443058	-0.266375186005249	0.4863729179878	0.843368807181679	-0.554907742465596	0.704723960527538	0.800060062708657	-0.496983497104851	0.500166943797696	0.271455291243305	0.126802455397571	0.248774884957345	0.278148490505852	0.418820976876109
PTPRC	0.946881338572269	0.886244610001197	0.912219620674247	0.764472539999304	0.704954457256779	0.814765135980135	0.832006625501625	0.705966475045811	0.836502381179691	0.755305029093018	0.956787928232907	0.939881100673852	0.928521235307209	0.911923249821445	0.580721416909944	0.877655954345726	0.774355942457867	0.949588362277859	1	0.808542034603853	0.878286223879758	0.852797302607357	0.830955054233334	0.684051689193508	0.842514643862272	0.8413396449219	0.863174408742015	0.863082822241777	0.845895712218209	0.482000959782851	0.752987583291766	0.787631601518488	0.712198894510778	0.78252565370795	0.878388254209815	0.92752417468115	0.318437379492963	0.834590115543705	0.50289496719465	0.322877492315115	0.739903502997471	0.525744357685079	0.740054104133685	0.444969382631658	0.50924056687937	-0.0461351689152259	0.41718916379547	0.72646524513032	0.232312215160944	0.701119732445771	-0.132451016357504	0.521800650529337	0.880005487797694	-0.551150528345768	0.770323906356465	0.877802783204368	-0.479957136002357	0.575031242603056	0.398978434246248	0.250860163913003	0.393478429666353	0.386958945987275	0.437277453499349
CD247	0.708693484512818	0.824847149919319	0.620708295658895	0.919534568133203	0.461800878601794	0.710644684899951	0.771100859188548	0.290659907966338	0.585357568328796	0.461255398403211	0.754770996074883	0.839887361795652	0.767458405181771	0.714736776497353	0.0689410069303237	0.696882495268558	0.573508008844543	0.717213811578399	0.808542034603853	1	0.938278071394172	0.579399062836803	0.924426661191718	0.463439578721986	0.896021200724162	0.704989765731924	0.808813891300914	0.638513583462823	0.734330449908931	0.417274445472866	0.840200415855973	0.925325320797111	0.589545499054032	0.68352695290704	0.860634427414362	0.754656601751522	0.0232741835581459	0.920310158075549	0.641477952434675	0.243033555875936	0.868656745185635	0.41507622206977	0.679260768252993	0.303039288021974	0.606500711680303	-0.0136948982977527	0.540161394604762	0.851382871479649	0.38625008123869	0.865020713705921	-0.142099878271952	0.160111945330159	0.703196498937429	-0.487407693043144	0.617862222758793	0.800405090809019	-0.432156197455718	0.457548816360512	0.383807315561509	0.200845322264558	0.489063147954502	0.163325129981225	0.296444293889595
CD96	0.816697188359236	0.938453596786989	0.739715699597439	0.872323903600042	0.574656143228232	0.795105466007017	0.880165969629049	0.467973092508426	0.617059341484088	0.489821767183465	0.796133535806632	0.912827484764835	0.89764295691894	0.781867723267527	0.280905331612651	0.778300706385623	0.736022490193298	0.853930474261171	0.878286223879758	0.938278071394172	1	0.643023343905056	0.875362906389319	0.627857877956198	0.956673217964041	0.667296342429849	0.862783941500724	0.685579510632113	0.725057555348862	0.336593461734032	0.790137790110059	0.92289509497136	0.681454372681671	0.647974245024584	0.930486358417058	0.819726321637527	0.0370319371295866	0.947083588947611	0.703026106949618	0.249868880583217	0.893759755912696	0.402868477194772	0.61739889363686	0.232817742724832	0.471166563419455	-0.106452829806728	0.470988951399897	0.804275292118507	0.330198897309662	0.815994104969571	-0.22898743938471	0.277093768898013	0.753911608410059	-0.592000190268111	0.636799210628411	0.779384115464849	-0.535830488292324	0.444933990156874	0.319117468438013	0.0892579368439672	0.394034622044711	0.176488078929862	0.365196767054115
ITGB1	0.857822820784448	0.646036537427949	0.838198144423574	0.545636599567524	0.793643883656413	0.746830766237391	0.695687835714314	0.781613456710004	0.792013262954375	0.826314441115524	0.851086292610553	0.766653391994653	0.762238649249243	0.891963747808811	0.617719639691845	0.823178120638649	0.617153753909994	0.774445353913856	0.852797302607357	0.579399062836803	0.643023343905056	1	0.640278118908014	0.630973869216392	0.597017405788165	0.762327963111941	0.640092048527322	0.926306571838486	0.865589547555757	0.676909900363532	0.607345937946467	0.606745587996814	0.57206559391013	0.860409670095706	0.65535458453187	0.745617804097183	0.555492716494154	0.667335646946622	0.254220775033806	0.363284804081422	0.536880237970217	0.700195472476716	0.755322159014054	0.567308558651774	0.539361729206806	0.268729031418908	0.456246286054134	0.676404622408912	0.389233864882117	0.565650078299266	0.188976222731104	0.70093330967687	0.894253946615131	-0.438735115379026	0.854993526806051	0.781197614260682	-0.367621769875781	0.555528619624898	0.599577527863873	0.509832448081383	0.548339935271009	0.580728283793531	0.536022813952229
KLRD1	0.776868714603039	0.730032061138644	0.651175709763922	0.929054912335834	0.479213649868092	0.711478507401329	0.779947419347444	0.308583406328086	0.70959856825363	0.621757480700132	0.834835547172707	0.883511296595244	0.737057974918786	0.712077531610226	0.110716584250557	0.777227844010519	0.515993725513666	0.750083104599779	0.830955054233334	0.924426661191718	0.875362906389319	0.640278118908014	1	0.399127569906349	0.883868804311723	0.767544343958913	0.856556400674187	0.704718698009678	0.830453111632743	0.422709570292229	0.950671390839889	0.852809825107048	0.484578978474917	0.765721102226711	0.793171945539904	0.711854742246554	0.0272797487200742	0.895530690661527	0.4591101877238	0.328650351551192	0.760826512807615	0.491273362972163	0.773734767375369	0.35639434861937	0.671978650617862	0.0391531511679279	0.605534476970433	0.892766877916293	0.31087410857144	0.914398301522112	-0.074825341131268	0.149414707882016	0.758446375490592	-0.401278982868756	0.664869937955411	0.91844860026242	-0.355270762022903	0.393279232356356	0.401264309250712	0.375229498472611	0.539109997435098	0.153877539674049	0.297624225481493
S1PR4	0.766482362161456	0.710186120932507	0.824466596722646	0.409387662806019	0.624236199595261	0.814803861858188	0.713651318240811	0.798269152141591	0.394449012714875	0.423993144079454	0.651650783959636	0.663085572116485	0.784885553614977	0.764591008278923	0.680080381811152	0.715773858698112	0.56420185193708	0.663787276310959	0.684051689193508	0.463439578721986	0.627857877956198	0.630973869216392	0.399127569906349	1	0.568864815785864	0.288828910075803	0.53375718614675	0.503604299027492	0.409900705450234	0.096811920997175	0.458163482480994	0.547893864224074	0.624699513817051	0.396148408358744	0.685574599904496	0.603175979470747	0.272414367891782	0.690693942020475	0.441301339038052	0.109441006067195	0.689622796375065	0.315621214429686	0.285645953299505	0.0798565200483751	0.0763674185871986	-0.192647282580849	0.137508961406126	0.356967142255748	0.0507520030904722	0.457607027145135	-0.065042453418378	0.662396875218156	0.595964930529839	-0.641362314862561	0.459136458870401	0.390612839607863	-0.606677581915937	0.224793646847985	0.119066382814404	-0.127893180286993	0.0919367685592666	0.323770935682199	0.605905525866815
CD8A	0.777346745341977	0.914400678385814	0.719605157417531	0.888211061303174	0.55624891771782	0.772678721239384	0.84838631060609	0.38044087177635	0.63971660891789	0.438467506154982	0.759269055940012	0.93179695995042	0.876479911132165	0.709127910286417	0.190012658784168	0.714442279794739	0.659530615063984	0.830562854613201	0.842514643862272	0.896021200724162	0.956673217964041	0.597017405788165	0.883868804311723	0.568864815785864	1	0.640575263002133	0.937787017108526	0.62274759594233	0.717388435388508	0.343243631698071	0.813971799941416	0.891289469563028	0.640032372325778	0.63381114731683	0.937407169574897	0.752322845487949	0.0161468434538316	0.903636335251174	0.742073552741163	0.242358625932634	0.816664601687459	0.388810774979133	0.608301631363097	0.256795903073995	0.479649016541128	-0.0847930945773452	0.489947738222606	0.818088811228325	0.269150351917564	0.818915644335285	-0.202226580160734	0.203962314424268	0.71267524644771	-0.555812795789317	0.55163849576557	0.751535132128175	-0.50201909256983	0.362616164055417	0.346886433945278	0.128182290377439	0.414936551910037	0.164577785509568	0.285727208137952
PTPRA	0.728692256396968	0.636328464725724	0.67438232576565	0.703183785407147	0.534640919195251	0.544907176326597	0.603274465597113	0.463905166362749	0.874983582158748	0.785558912004614	0.849758168422096	0.743858529552747	0.657546890741775	0.723798658573922	0.354050424252054	0.700141081095008	0.614134762566484	0.765885700246885	0.8413396449219	0.704989765731924	0.667296342429849	0.762327963111941	0.767544343958913	0.288828910075803	0.640575263002133	1	0.717854479207391	0.840624053287687	0.827509719909447	0.589636652133378	0.663667765915544	0.6060433311556	0.485383519424422	0.813825449317113	0.638367906917171	0.829133572806873	0.305672213806652	0.60003279782813	0.329424849284544	0.456070496781811	0.500512334002497	0.502731265876445	0.76765140712009	0.572242591740077	0.608311001778915	0.118791353829866	0.460366433750282	0.709312235663761	0.307576196850441	0.601664978137343	-0.00767329684321873	0.350772713058137	0.7875829645285	-0.158386923405099	0.734264001851145	0.849444795284312	-0.0919221015133616	0.669852606493223	0.480463095571276	0.504676207972339	0.522508215530621	0.328557056501348	0.294634779359594
