""	THY1	C1QBP	EGFR	ITGB8	LRP6	LRP1	MRC2	TNFRSF12A	CHL1	TNFRSF1A	CD47	LRP4	LRP5	VLDLR	LRP8	SDC3	GPR37L1	FZD3	SORT1	CD9	CAV1	CNR1	CD82	NRCAM	CD81	EDNRB	F2R	RIPK1	IGF1R	TSPAN5	ATP5F1B	LPP	ITGAV	ITGA3	NRP1	CD46	TFRC	VANGL2	ABCA1	PTK7	FAS	FGFR1	ITGB1	RAMP1	ADGRV1	ADCYAP1R1	SCARB1	NOTCH1	CELSR2	CD44	TYRO3	FZD7	RYK	MCAM	FZD5	S1PR3	ANTXR1	SORL1	RAMP2	CANX	TRPM3	SDC4	FZD1	RACK1	PTPRS	NOTCH4	KCNJ10	ITGA6	AQP1	NOTCH2	TNFRSF21	MCFD2	SMAP1	PLXNB1	PDE1C	TNFRSF10B	TRAF2	CADM1	PTPRA	NOTCH3	LINGO1	PLXNB2	PDGFRA	TNFRSF19	NCSTN	IGF2R	CALCRL	TSPAN17	TRADD	HMMR	GPC1	SLC16A1	SLC1A5	APLP2	PTPRJ	APLP1	ADGRE5	ACKR3	LIFR	AMFR	CD99L2	NRP2	JMJD6	RXRA	CD63	STX4	EPHB2	PILRB	ERAP1	LAMP1	SIRPA	PTPRZ1	LRP10	TSPAN14	RPSA	NCL	HLA.DPB1	CD74
THY1	1	0.952528640872076	0.844676605899968	0.758919251877117	0.66818085872227	0.720879411639625	0.624121362379623	0.520346507295839	0.564050311150111	0.605383542108278	0.744442509547786	0.661802736295954	0.777742129015743	0.406936467518668	0.753909741299762	0.624635760056342	0.699269050890814	0.728523258999052	0.72390672266247	0.643745919372097	0.0394370999125439	0.690886609558573	0.76252609275528	0.50233002765575	0.799907937290232	0.434707387668291	0.677969477573143	0.66875276336835	0.264699005299876	0.904255222319084	0.944373290837672	0.571382016024616	0.537201958027926	0.541814836795249	0.102109925960957	0.568008410237827	0.793464715990259	0.637145582029281	0.23045989935863	0.782206036259726	0.507253589860912	0.578943840947493	0.7988565310612	0.791515915637628	0.116085939274297	0.283709084583961	0.585807727041356	0.793199566920977	0.798963690446629	0.153028426417057	0.712832251558522	0.426624962683487	0.850278946500882	0.752756103483348	0.65927426209254	0.440528075069884	0.675151848352126	0.522745442871651	0.87933401187344	0.766141621016005	0.829196285056226	0.333646139379751	0.715558419539224	0.877566606500228	0.816237620707343	0.567370317214998	0.492018115334245	0.488765390704998	0.125323103034034	0.643912295190706	0.631639215746354	0.855509021469447	0.866822176282939	0.560967041314095	0.569276859929143	0.427734274665856	0.789586014516625	0.761275690771122	0.75648195302284	0.545907672471603	0.848085247205176	0.685072295068802	0.522371600188813	0.812191724495114	0.823804366463783	0.591462093035928	0.638889367475976	0.842150823431843	0.691795951824854	0.652423511101143	0.722895447553952	0.699605077051786	0.377080796206742	0.801374522222312	0.678733787573493	0.688977510122757	0.810473987839913	0.726146141147484	0.325761842980453	0.73598925783593	0.752193139015039	0.564715087331272	0.514367470496062	0.756906401501782	0.916798540777387	0.799499380961648	0.827667506992835	0.482483815126126	0.637416457172694	0.792692229942514	0.492375204175169	0.611746348153706	0.585655618628325	0.694972595129069	0.934403889949656	0.908577573132534	0.562420323602242	0.581117781221733
C1QBP	0.952528640872076	1	0.789316734781182	0.655610072718104	0.572872736240883	0.612500636407819	0.568898803744281	0.612225814929012	0.450183298217767	0.578407832707234	0.740079432047465	0.561017535675157	0.696159064391643	0.366276464383628	0.781847004334542	0.514980988861881	0.557657945251115	0.65841514106409	0.660386273723709	0.643748923931689	0.0833335798508855	0.627343191616848	0.795081406159763	0.41723941751771	0.757074142261507	0.325787049694427	0.594233061143167	0.613766742137792	0.206166854842907	0.931459674651528	0.985801267118157	0.520294264116814	0.439887101639565	0.525615675035847	0.13266357976189	0.500951355472267	0.742735527425857	0.549873634230387	0.183151934628487	0.747930452954878	0.605993278761162	0.602620818608585	0.805586479342898	0.733352266492868	0.0245766263589328	0.185984019941965	0.566517063301003	0.722759389847607	0.72675712939922	0.128921041241244	0.591462384915827	0.371662140501649	0.811327094688784	0.675602613572605	0.571831518512183	0.465388686635927	0.579238891567768	0.464925113381269	0.846875837884781	0.722512689370051	0.820292398245027	0.393971343635702	0.703877751928186	0.936570363859102	0.755848127427847	0.52365959999533	0.344891835330527	0.375062279488842	0.0826533269687903	0.560559457845406	0.544809988979851	0.82726771048732	0.82494032356282	0.45815889515473	0.496940700951805	0.449035682910952	0.838410695387954	0.678036896219618	0.667830115180548	0.474649323510867	0.791297183744734	0.669355790013729	0.392396602620758	0.771202296526163	0.791375559533046	0.54937032711756	0.574263368746948	0.785200530333252	0.656457624277425	0.696579668013163	0.714995875001884	0.712019683328974	0.450902165327735	0.763940442299437	0.576944552772746	0.671471940816067	0.799137716926107	0.623787158871998	0.218280189384108	0.693309399808409	0.684858163155167	0.530138616437672	0.586048898459063	0.735250073731044	0.970671914130925	0.775562696914775	0.827581260450229	0.487806742363259	0.558569429470451	0.75183946948278	0.406230440749806	0.47050243078394	0.51255216946656	0.683538066597797	0.975466970050615	0.904352482258604	0.553167720871429	0.569319980715716
EGFR	0.844676605899968	0.789316734781182	1	0.900836537616733	0.84350163187168	0.853792935325933	0.822406831075885	0.613808170731654	0.723588673123953	0.65967449590647	0.849446242774055	0.781786225836985	0.845013265275348	0.661094655715855	0.781276161289439	0.721555677229545	0.683282081049679	0.895996117158615	0.829759009384575	0.632434188679959	0.217269941523509	0.858960139171822	0.587579174749767	0.747074900858621	0.743325655646962	0.565103792309127	0.766584944794754	0.859949807587207	0.587341025520519	0.843212872175553	0.783545745544924	0.851548969776209	0.739468588995681	0.729249037496497	0.384994291237306	0.813967347152785	0.883492673756344	0.816545873990491	0.526043073286227	0.878637069615858	0.599532922352255	0.732355557846276	0.890582337751106	0.730600633638713	0.351952710249732	0.42671915555317	0.752516004783962	0.887517615174145	0.880571494830756	0.309101946365535	0.768743047892105	0.64294531402148	0.894505883818702	0.748196961762066	0.819405551570047	0.602571283174614	0.797461707113478	0.726876171317317	0.709370939319532	0.908862602929213	0.887668703688605	0.495766653303028	0.813034644687903	0.735101977715947	0.852946241643294	0.655489730912115	0.601059294879122	0.669198877592195	0.238685527377431	0.820109206883611	0.726398712145025	0.91661532567377	0.881691120554311	0.670834523005486	0.758231666273421	0.709984984717075	0.779703253220281	0.847053574132302	0.870031690997638	0.695669347217777	0.725036951108788	0.854292520216065	0.61688545213889	0.883287816256386	0.851271810276003	0.822198186578052	0.826997732289412	0.83463268638173	0.70815817784385	0.640988206038958	0.798393001986633	0.836538744617412	0.579863282356366	0.920112660572498	0.823556583836382	0.740024010958026	0.806634208776923	0.742307349819775	0.513240707812597	0.820244381418623	0.845999244531811	0.783382251114816	0.658937403936072	0.849284987619728	0.802266460947726	0.834852072514032	0.832950331916533	0.687834590815527	0.800563929994674	0.834026579421118	0.621754164750397	0.777570341994569	0.691520556444398	0.799439851760462	0.782273420477992	0.885417255596114	0.652947538502436	0.680201636940803
ITGB8	0.758919251877117	0.655610072718104	0.900836537616733	1	0.943493876108839	0.925036571038314	0.797997425347241	0.379109682792215	0.805089047261825	0.542092235229274	0.786650801745725	0.915004248499813	0.878460180092989	0.573305062202732	0.764562834308266	0.770544253597325	0.722689317114792	0.935868811757749	0.858717262955156	0.457630066885935	0.0401189775082892	0.882892483292201	0.587444579826369	0.769073875230865	0.652368914492012	0.641174411151554	0.791170492410095	0.860276271391937	0.625237840405919	0.787551019043181	0.637265302291775	0.842866556777971	0.786645434399155	0.607455610454887	0.230739112567382	0.831611363020173	0.879109040393686	0.892423229231327	0.495596013411071	0.835229514654538	0.497627591509811	0.637410321491426	0.809256772483721	0.672384161477156	0.453698944601223	0.472498305147955	0.599471382155195	0.936050226906324	0.919209064078919	0.278103348306603	0.832258791764967	0.642380568200424	0.902134561642095	0.822282267829541	0.85387850433526	0.468750716463034	0.883653882459293	0.719712721677868	0.665351520765385	0.87150572415695	0.879423201169276	0.309723679988876	0.771675805281418	0.542451936817301	0.850244389190134	0.61167375143454	0.698595811108144	0.731412523038458	0.242390961815137	0.865232486435974	0.737167175682604	0.835146367860573	0.835564878598141	0.709551188718947	0.778566263515262	0.560151319521281	0.673889023816516	0.833928018051141	0.910428769413585	0.667045340764962	0.736807411931998	0.771027646361563	0.776812208279497	0.887083695931304	0.791221740882115	0.815319726001887	0.852082207812988	0.76120418043054	0.559470384358639	0.581288380163843	0.6665130529539	0.754881637389359	0.319407140482114	0.879067538150625	0.860237899794601	0.619652573506874	0.682770817913418	0.768475979520586	0.598587734359229	0.775141697984704	0.854729302197458	0.714806218915898	0.469009805856578	0.779598294986306	0.637121493466267	0.722849483193599	0.748194228810361	0.66512970454053	0.832002888107751	0.778869619205331	0.655951310655442	0.910820046725889	0.650293057896914	0.816375230178767	0.637596385746155	0.864596335298261	0.542466717290239	0.565259646422036
LRP6	0.66818085872227	0.572872736240883	0.84350163187168	0.943493876108839	1	0.894059781599667	0.766600376092099	0.339917076860823	0.815901646650909	0.515575526531872	0.756667195910325	0.860018591664922	0.816581251835294	0.587922379655993	0.714872287877516	0.778763379658727	0.71964882896494	0.925603374083642	0.854348760195775	0.376239894172319	0.0336619831139196	0.869683826591725	0.506033082805107	0.77729212822353	0.612377843291711	0.710740339691128	0.799334217981043	0.838591690069612	0.631278941899818	0.723607615929756	0.550285115454585	0.841796605743792	0.81338239042472	0.582192117104881	0.214162721185721	0.814565655794782	0.817519511449089	0.884371104520706	0.5487345198663	0.793836716418082	0.480769864379267	0.598649076298057	0.740358884681923	0.641999519367189	0.572190073395443	0.546477796998147	0.551918797190741	0.898380674473115	0.890370185491238	0.322142648247853	0.819205141049364	0.651295194406177	0.84738970921597	0.79015420168691	0.812795406380864	0.442588700011703	0.873010682091424	0.745868627326773	0.582118959744531	0.830787381499644	0.824103386148999	0.259320484996439	0.731864876180595	0.443960938257745	0.802670380694648	0.618824900259998	0.73423352389718	0.776142688767394	0.319210997233576	0.847047286863392	0.754349217783966	0.787393440307303	0.803665901294435	0.730637244618791	0.753268145289325	0.559217740658542	0.610736859188815	0.8146717467846	0.901424253072941	0.663004350329586	0.619788392884161	0.737963208572249	0.723761505999255	0.854383197944924	0.744051157332471	0.810824849126873	0.882959622059823	0.692324922195999	0.487795589000672	0.536028839960766	0.615019955618886	0.709068359786546	0.297224663738521	0.826708322632981	0.841485850239072	0.59495245214284	0.587696080269463	0.751821294691897	0.675913451102451	0.756882862481335	0.824293041519707	0.705430475205728	0.435058476964486	0.744436873577645	0.545775306629815	0.664539752040301	0.712654179598472	0.685602609924487	0.809916923851788	0.750708772166296	0.71377557955047	0.911554300745785	0.648216065530162	0.776722172171021	0.559943309313921	0.793169053432459	0.505033608403	0.519751946153576
LRP1	0.720879411639625	0.612500636407819	0.853792935325933	0.925036571038314	0.894059781599667	1	0.887422244979611	0.360982332197352	0.906365585791885	0.734836747768334	0.853706553914998	0.825117338529396	0.807068365035445	0.721827300656659	0.652091360736028	0.877475385608605	0.813171939091563	0.930096000886192	0.911050585124856	0.586215713264602	0.232921256223766	0.928846100129358	0.430304886663454	0.882564356500029	0.783600255174271	0.756500782352652	0.888141949740975	0.894598842401933	0.700928973667092	0.716881317962766	0.6030812329214	0.864568719274564	0.903955421357721	0.716160640807964	0.338887570356501	0.838549575839598	0.859564440652082	0.862111532010499	0.668256968354162	0.861506474839492	0.493453655004894	0.628779601893614	0.80921451652161	0.79230124446657	0.570008708171046	0.624658262402516	0.654734988812981	0.907588227359324	0.920592333562401	0.513033171306125	0.88907254431278	0.780938835518696	0.82621041737066	0.785133040938898	0.871065455504874	0.517182397694232	0.891181574456948	0.833402512755782	0.646076064557374	0.920476381614034	0.774718340772494	0.414945913244612	0.812644773247639	0.526910515877502	0.813405930686949	0.700414410097179	0.786225163706813	0.833930932660573	0.39483641561664	0.921801141214206	0.854686599376546	0.871029931283121	0.86570689504441	0.810494205478138	0.797895201613702	0.547863353926144	0.603880139564055	0.890738784939441	0.954099331285431	0.83277180978749	0.611518234798582	0.854965051828733	0.719537076293219	0.847765226686381	0.871803348619082	0.871424759980196	0.874574692733948	0.789989506189433	0.688159152223834	0.46752690592455	0.785492728582633	0.773409087197717	0.29585915109051	0.920182830763629	0.897875129827587	0.759160164293388	0.600168736088264	0.806058021256196	0.730329133107828	0.865044001630498	0.898419474016126	0.828132712217288	0.438366878968138	0.831512171490997	0.63019258308295	0.793877853397585	0.753647560129288	0.616030573196812	0.891548904965026	0.88551885207059	0.813256705513053	0.945140819136557	0.819040365684459	0.791787558951092	0.628457426864768	0.77847832156583	0.652658580230096	0.665768820777597
MRC2	0.624121362379623	0.568898803744281	0.822406831075885	0.797997425347241	0.766600376092099	0.887422244979611	1	0.504629631078687	0.892287364501809	0.823293537534061	0.899977158954048	0.637930890217137	0.703509036499327	0.854380883659446	0.577993266878174	0.786985310689994	0.654499258630273	0.88145069517561	0.870524779248247	0.660982173364651	0.459415411266439	0.904888565735837	0.252362603856039	0.934731008308946	0.756415195279452	0.653178785475539	0.824960855938019	0.876427481439676	0.785041286694367	0.634533419366489	0.565525352995207	0.910857049839312	0.880819968673647	0.871113922426555	0.56401232080507	0.826388271218074	0.78944579170043	0.788737285253619	0.788227664746027	0.839683003483434	0.567877553186244	0.700421737182271	0.840239076473084	0.727029605835699	0.533102273664268	0.572703737500509	0.750646182986676	0.801383621099151	0.811724020181555	0.677946462653304	0.76189319482107	0.877945431561093	0.750258340178773	0.629859144329787	0.879559959621751	0.658610746252351	0.770008096134097	0.865205055021235	0.500025125671585	0.921036110237295	0.720616774457454	0.633770153394173	0.850068082760112	0.529611521488615	0.705523866274349	0.65284907324907	0.65092720003498	0.759200094181511	0.384889826491471	0.891533238915921	0.818130201858805	0.886132730061533	0.793254292503725	0.7438520913012	0.822460133422848	0.655846598145582	0.570107114386376	0.829504908251153	0.865117176025024	0.874069745990638	0.444878725599948	0.921130414147468	0.560523691291071	0.775881898355683	0.850339206557082	0.887240107205427	0.830415226091302	0.782387139772246	0.784620087396778	0.416248320461684	0.886027323267118	0.794132217023261	0.462986119737722	0.9208180155699	0.841397750068464	0.81830680665435	0.597516668560188	0.690205633817082	0.693418638734418	0.870119554132864	0.832308919274924	0.919030987369432	0.548117945158271	0.847053566877612	0.654820362076798	0.80578567069072	0.732452642929922	0.628902493460661	0.873955680860209	0.882415968998839	0.778610312864159	0.805760602646887	0.877343806730277	0.723646104761051	0.5847561336411	0.686317792606166	0.691596990124885	0.702535792492417
TNFRSF12A	0.520346507295839	0.612225814929012	0.613808170731654	0.379109682792215	0.339917076860823	0.360982332197352	0.504629631078687	1	0.266214839185517	0.478616016136698	0.619888593421326	0.246397018364565	0.38127701549886	0.431565595777959	0.448903313704468	0.229353989867148	0.157084466886485	0.489541714456489	0.38061840229986	0.63117472261627	0.419946658634864	0.44993583859429	0.338474292042314	0.390237526067308	0.44695478601629	0.0795215630176666	0.328504865660112	0.52078678308169	0.32777332441209	0.588740100899808	0.625768855433582	0.535618394606543	0.27891732227153	0.652448337416938	0.464946948262971	0.487661573202327	0.530504612119789	0.371984212027082	0.291623829209333	0.510063462935437	0.611332856013411	0.613533617522754	0.609713730364469	0.400349341658085	-0.0462230890455379	0.0178485573952034	0.595504753738075	0.408960016703261	0.366906684607453	0.160803829276166	0.222157081897003	0.307008309631681	0.52781912743515	0.243901503176272	0.433384138492722	0.569378683536193	0.24485351163758	0.344204957944839	0.466700764322733	0.551417559539071	0.500601952735678	0.640451241257108	0.50064582313653	0.702236551374964	0.511246157787541	0.427944762932601	0.0561200150774086	0.211066054432393	-0.0220425880253547	0.360448957988403	0.2764983680319	0.625788316943714	0.550655542737149	0.197009461719468	0.428774062674084	0.746093065288682	0.688350531505033	0.423386441931141	0.401165011476146	0.40920997865893	0.371082458117141	0.582716281155692	0.101886426345853	0.49460235559598	0.513567443515334	0.441896582402925	0.432651413063954	0.513311921155389	0.523632062411482	0.545959846112549	0.597523274028241	0.638669167641116	0.861612539276207	0.558674949879949	0.321434664063176	0.490553737302013	0.706159959007219	0.278305122796803	0.062236852686376	0.508076496470427	0.377236670666807	0.497616196764604	0.88105905998366	0.509815178718379	0.669181541956177	0.643992254023985	0.530083157756886	0.534852296664336	0.385354314539725	0.468364164844572	0.194735967359928	0.241659671442797	0.363641075009808	0.426353640964829	0.601106303339985	0.571883488548646	0.425504650361722	0.445274808920796
CHL1	0.564050311150111	0.450183298217767	0.723588673123953	0.805089047261825	0.815901646650909	0.906365585791885	0.892287364501809	0.266214839185517	1	0.784202326343072	0.819831362103035	0.681304531644711	0.686605091465812	0.805118927863349	0.481310737123403	0.893864882267489	0.774923532704182	0.883688711227847	0.893759267122014	0.538026890557056	0.289833744735982	0.889465237631402	0.187291746916414	0.93801236787761	0.767632055265302	0.827533234509059	0.883793631617457	0.837667732818339	0.736214128593333	0.54427964021073	0.444125872674212	0.823272434513931	0.927589294779785	0.679230208376166	0.363541110215741	0.766107949174418	0.717750208163269	0.8042396757161	0.770362058510492	0.794052685844323	0.371317256217069	0.515050719400649	0.682815163854563	0.760430180818036	0.671679096322321	0.739585031074175	0.583535065312745	0.777480228292395	0.824557166242467	0.6932944577013	0.852217831616997	0.863546718367055	0.688399400247836	0.631948769553911	0.866754629608301	0.46982727387461	0.836906775517761	0.850047896107096	0.48248919640632	0.852359629695773	0.625635279803429	0.391263539353889	0.760480183897966	0.371925159570771	0.65929109862163	0.644643776140006	0.810971404525662	0.864784501715332	0.50995285600893	0.892496733611134	0.896883111343945	0.801144516597171	0.794060898603179	0.819569239804129	0.788686909638077	0.447049257244319	0.414440958718637	0.85551968441327	0.918241025795384	0.862908588485668	0.415817100182637	0.778287486644411	0.661249523573404	0.733635752111922	0.790875471486722	0.812117950940561	0.84155183237254	0.737698457915122	0.679379299724233	0.301036223676332	0.744979684828002	0.659999012729777	0.236683384513791	0.823378232918526	0.843999425502231	0.716481437816689	0.427336823699412	0.754256001688263	0.853061324531385	0.823799149243182	0.827477222454543	0.81785889527122	0.337414862123693	0.786875693610684	0.498031072504353	0.744696991872825	0.623382375341259	0.5212119924139	0.86364319883646	0.852788251844727	0.895333408820816	0.913623538802593	0.879769414593364	0.67359805593024	0.48275701705189	0.615569330523883	0.5890954480444	0.582826253151544
TNFRSF1A	0.605383542108278	0.578407832707234	0.65967449590647	0.542092235229274	0.515575526531872	0.734836747768334	0.823293537534061	0.478616016136698	0.784202326343072	1	0.843139622432616	0.382467328818837	0.529614005231128	0.828870127883809	0.406410074308172	0.801521798057066	0.705167724065499	0.690187076706453	0.794481223034482	0.787335569761319	0.541466056331072	0.726635335368818	0.139022009824159	0.809336410493358	0.915011571644468	0.680791421106021	0.818335049353698	0.721964315888253	0.552372930806144	0.551285278465807	0.593041159918499	0.666604484767375	0.78975063379783	0.794341401390658	0.475072200028525	0.573553062890683	0.622070892794647	0.557242636913553	0.732341856064971	0.746535272750538	0.392414906693052	0.500926308756444	0.694172193120516	0.866357228552986	0.45667711709861	0.668888313737546	0.676234867388452	0.626730388677359	0.68333752579961	0.766058074563636	0.716064007002505	0.810572741197723	0.54781389048013	0.463080884600227	0.688984807127274	0.551607143933242	0.626410961693564	0.796934480349172	0.510371010778209	0.80800963941248	0.493911845987807	0.612774399767941	0.751443087765065	0.580580581271907	0.56457674059553	0.677799836725425	0.631739802311928	0.714337470824605	0.546733858891521	0.76706393437307	0.84456124965145	0.822660173842239	0.773086633098744	0.737976965667662	0.634414589938678	0.463137004795977	0.48520686404928	0.799252804860995	0.772617337663831	0.864061354290837	0.310041999001106	0.831984731690894	0.355388019338134	0.620834451199238	0.850978377187986	0.71208904231352	0.677559808208493	0.763235335302524	0.869926985379924	0.32636503180065	0.919110401896768	0.666125638115644	0.399119466297179	0.801605633773153	0.689821818749161	0.897204722091452	0.490970098393109	0.667346870237487	0.682483995251188	0.846627773945471	0.761181557157562	0.832066349959157	0.448270747412001	0.802764500131072	0.684002969372547	0.829415086042018	0.696721245047647	0.405615137545877	0.71448223714582	0.894889725049928	0.818920825020657	0.62883834798057	0.913746825318932	0.599432550968751	0.639289476777539	0.542407159498109	0.700261511879199	0.707193900690941
