""	EGFR	ITGB8	SDC4	DPP4	CD9	ERBB3	ADGRV1	F2R	CANX	CHRM3	TNFRSF1A	KLRC2	THY1	PVR	TFRC	NRCAM	TNFRSF21	NOTCH4	PTPRZ1	CD99L2	LRP6	SDC2	LPP	CELSR2	PLXNB2	NOTCH1	SMAP1	ITGAV	KCNJ10	CD47	RACK1	INSR	KCND2	LDLR	NOTCH2	TNFRSF12A	APLP2	TSPAN5	EDNRB	NECTIN2	PTPRS	FGFR1	CD81	PTPRA	SMAD3	AR	IGF1R	ROBO1	ADORA1	ITGA3	LRP1	PILRB	PLXNB1	IGF2R	RIPK1	ADCY1	CNR1	ITGA5	TRAF3	SEMA4C	MYLK	S1PR3	TNFRSF10B	TSPAN12	SLC16A1	ITGB1	TNFRSF19	LINGO1	CNTNAP1	ACKR3	NGFR	TGFBR3	ADCY9	CADM1	RXRA	LRP8	MCAM	TSPAN17	VLDLR	SIRPA	ABCA1	SORT1	ADGRE5	GPR37L1	GPR37	S1PR2	ERAP1	LIFR	MCFD2	SLC16A7	LRP4	STX4	AMFR	TLR4	DCC	GPC1	APLP1	STX3	SCARB1	CD44	GPNMB	NCSTN	CD63	LRP10	AXL	SORL1	LAMP1	NRP1	C1QBP	RPSA	TSPAN14	CD74
EGFR	1	0.947928961064482	0.557830835567497	0.729040121792226	0.859718706947001	0.806669027365405	0.631190731153971	0.850649475235174	0.962657053329845	0.970056217785307	0.823181388201262	0.863543095908394	0.906972086068331	0.902402813812436	0.918971837577074	0.916024023871736	0.941708971803012	0.619954624313554	0.879688835041565	0.915235320547143	0.909641310216104	0.886276895335989	0.934818431165899	0.936582328488383	0.890992923301953	0.869212977244268	0.938952911346275	0.930802342822863	0.722118822113439	0.934427412856654	0.838990476766474	0.607081438321516	0.854445446308871	0.930784179680891	0.916281965576182	0.648960925899301	0.944884779219455	0.956208486199489	0.803108233991948	0.866893374102546	0.852552079714999	0.974880674243396	0.906715258736068	0.942120939175824	0.712359449420005	0.922991610007359	0.598665413440801	0.962216412359582	0.889312959713873	0.914207095031694	0.902638476025981	0.922537227702457	0.78811376317611	0.86042794451908	0.923881433912746	0.903494661919195	0.680128143895937	0.767386467062251	0.854560565845725	0.821519089626511	0.209559410425994	0.4216127590887	0.661150617988789	0.88988791452373	0.651782797601115	0.89415782289135	0.934500253272381	0.84065031764246	0.767463682174272	0.820894491715658	0.620146679059686	0.809596368591522	0.924946391463475	0.919457967787897	0.855433682341012	0.925912170589112	0.779281800385561	0.890419713299421	0.621542006842092	0.756774026142223	0.60246527241412	0.893973633010466	0.877456751351169	0.768487269873785	0.865799414094638	0.882687049044848	0.847875874283763	0.8777586718131	0.92196607974693	0.890304951887647	0.852433378700519	0.815838887744252	0.920549782296247	0.876200986947638	0.830287212895956	0.78261935502023	0.879240145525271	0.386993328702559	0.713371458722998	0.390115372219228	0.517030162146478	0.913092297862497	0.915128049691354	0.900002619286212	0.766918600523643	0.683727877076764	0.909805508447681	0.716897502746759	0.926326720580609	0.871092172391431	0.731255544682112	0.46342161674745
ITGB8	0.947928961064482	1	0.443232831202159	0.638260261418642	0.83489515381995	0.91251804194666	0.683171029581577	0.885285471696831	0.935454627828225	0.952203905981488	0.81806050467892	0.917682316760845	0.938805799768671	0.944701564642606	0.82959404845314	0.973313061403767	0.967920682180597	0.649002558179066	0.95554234346831	0.915650226831922	0.951278245190481	0.834667904576512	0.953233387036021	0.979383840098257	0.855227536572374	0.939584586420464	0.949738903511384	0.970604583863268	0.808949476496278	0.930727002070074	0.752385306348644	0.731347335428786	0.897086610667523	0.908356165640916	0.944326860782529	0.549173811961539	0.950755133297832	0.921528598912975	0.857221393743808	0.857495834285233	0.908217690570179	0.941557834235851	0.94765754442947	0.972342072422692	0.765422979210185	0.965072759932494	0.613391954193823	0.977992118994447	0.926102655749496	0.885995682619742	0.966402257363009	0.942131116136501	0.877195753408348	0.921585976216415	0.939086020730638	0.914690322769596	0.790230371477111	0.750964610253868	0.843088070028487	0.845145881093922	0.0761265054629303	0.296909249697724	0.539644372872484	0.936240738112684	0.553426807628457	0.876919905939288	0.926439216635714	0.892795465649581	0.853852396397979	0.849414151774247	0.673596086657938	0.783350956485757	0.929639451061198	0.971272049627738	0.824098721713713	0.938572710157237	0.864154566320749	0.894233170191758	0.531636983615775	0.815654492688102	0.635467048379934	0.949590560453123	0.916548317515408	0.853412568105764	0.930115011529466	0.896590511302266	0.919736290838677	0.944637772436382	0.909371608155088	0.943329247541887	0.931680529461332	0.758279000728925	0.925623033774744	0.86590516822904	0.888881148469801	0.726062783765674	0.919655904196385	0.426959348006832	0.636724557333833	0.34550235105178	0.471798717212523	0.938350154562587	0.867403271960111	0.916952976823037	0.841158066754674	0.770026667117366	0.963904057225179	0.672523336543722	0.885356315857335	0.774886377837331	0.803770000671856	0.506310012127513
SDC4	0.557830835567497	0.443232831202159	1	0.864719298047505	0.721916444594644	0.214900446530771	0.159015194604151	0.636148949916838	0.664381821631444	0.517844699587867	0.783638191376075	0.214167165397206	0.320423541170687	0.445760446389427	0.705593592756938	0.520438036579724	0.409495810142948	0.218659144539817	0.227511374382775	0.465616263375913	0.412812855512531	0.690485266109934	0.630052183184525	0.396892899908657	0.740967752887737	0.243289297559598	0.555451083984691	0.400435369545944	0.016931320015003	0.657832863647814	0.811968427327172	0.23774663184489	0.157799699104032	0.541716476557934	0.496631092837843	0.921681214686169	0.602571742878325	0.535465378235559	0.253906837012535	0.678612424581102	0.344456529918735	0.639159295572173	0.429316159834251	0.468671266059771	0.49157248456888	0.447896830860266	0.764120153471534	0.546321239729492	0.352082742556043	0.740378674014735	0.302108340030012	0.393937621681706	0.278519525587271	0.476106133342498	0.568834970670038	0.311512421664102	0.450565369974092	0.766932829993512	0.545474983580219	0.604479509842638	0.794445720718512	0.937139167437446	0.831464114586583	0.388461422517231	0.941505514053917	0.71323771980922	0.613486072945234	0.140725668386546	0.448448999329418	0.284799361146863	0.0778068392266838	0.61984109989089	0.454819766122021	0.502562287059205	0.743466617339685	0.34263275732279	0.307425542768055	0.48641001402311	0.854566193173064	0.244091413100772	0.761967304550401	0.477068219051275	0.411580085779527	0.0543804478894484	0.313268073801626	0.499076508938752	0.455982701364752	0.297164729269378	0.70501828599634	0.358344659377918	0.192658578564654	0.799619982983322	0.56767027830479	0.570677666031347	0.179178657489389	0.869751611996394	0.304990000068191	0.355191221707389	0.880926472776376	0.876496446423707	0.743276981775846	0.625877299660466	0.716575629780634	0.651977504282261	0.465486937374965	0.420178196432319	0.435956781754349	0.803741168235116	0.581541078000777	0.672055374012759	0.284175148534797	0.0991589455427637
DPP4	0.729040121792226	0.638260261418642	0.864719298047505	1	0.797848000919106	0.436024712832684	0.359782113495598	0.761328653683419	0.79772744812923	0.689145892673632	0.848200097134787	0.433626273344447	0.545759288618203	0.671715350475338	0.79791477216997	0.671146348840518	0.653046750183316	0.368693630419724	0.447227127244916	0.672630793973602	0.55559465454072	0.823545873272275	0.736859185935618	0.602516423926014	0.834290448277716	0.459185923207508	0.718190828968202	0.602730134605619	0.255082971691962	0.804481480032264	0.877767724034734	0.338309956893725	0.419694017523208	0.686625047037973	0.677665864146533	0.829512737934522	0.75600677210728	0.718590804637752	0.479099786836969	0.750224679069821	0.462307251988047	0.787452417387511	0.631339919019022	0.666326290390577	0.535902084142956	0.633589893240718	0.727486407996578	0.703618691189147	0.566670754273948	0.827207577045027	0.530667281506587	0.576703185220761	0.497725364746924	0.640264520064208	0.732302715400373	0.563671230640154	0.562863248917058	0.823454886274919	0.640673236529281	0.696430598446141	0.589270879552069	0.821854629420487	0.835410949577644	0.533674538342626	0.909978671763598	0.785745171535055	0.753165577938962	0.404657116756371	0.560917343596436	0.510350349427753	0.332433782560218	0.758838447573252	0.654751483634535	0.660572345220536	0.808389346403792	0.573068046952953	0.500305102460584	0.66446173453804	0.72153408630424	0.481929380132511	0.777872898407816	0.638095015079804	0.601649168545916	0.315556433232811	0.537216351613329	0.651048280602495	0.588419087564017	0.520373844102693	0.817253384686741	0.58074814277194	0.404102241083588	0.823267894881506	0.76552298620003	0.66568353550299	0.417805636579365	0.904231618072501	0.509526958398414	0.372801766760155	0.894600475941966	0.730663998009335	0.741979913074165	0.772505917240508	0.813616394594158	0.765296635019123	0.650992366936557	0.609174821470326	0.621855160123038	0.84118623866106	0.738483173466995	0.798777457245535	0.473248326712113	0.251006001411205
CD9	0.859718706947001	0.83489515381995	0.721916444594644	0.797848000919106	1	0.740916914231608	0.544595326973114	0.858145733565731	0.916102074583467	0.854428126308848	0.919171778786543	0.728667596314879	0.800907163987889	0.791249332034154	0.852075746077112	0.868650035626438	0.831633648286177	0.483692330349957	0.745619206487558	0.791331644276614	0.794617082771158	0.8843362046708	0.890215986622565	0.829226476085835	0.911927845725333	0.713827162817423	0.922411118985257	0.816871674859231	0.585654806646861	0.928997146538094	0.914249242950373	0.586844118450735	0.671646490034559	0.870957460882179	0.878402729012784	0.812019298318528	0.908199142989434	0.843218698861821	0.713983282072461	0.923291299087731	0.7698534135725	0.911624989594251	0.882249862619038	0.885927526725939	0.723640450447017	0.811973020680585	0.762433440381992	0.875206564002329	0.803819684764609	0.919971927447125	0.806291974800426	0.756295947841119	0.711731050350351	0.825123002383792	0.831100224992754	0.786721689810466	0.735996333606838	0.82236239391213	0.799987742882157	0.859882670867473	0.454694029581812	0.599311512210102	0.719219207720227	0.76018433478878	0.801664604851581	0.874889533477832	0.891165427087225	0.715992567759916	0.771930745624447	0.752970143798344	0.550300829325285	0.859531142973318	0.799172028186384	0.887198431270578	0.915429309027008	0.777303400695156	0.662660588505968	0.774105961210241	0.714609938135273	0.715804802502328	0.765410812938211	0.832518909665159	0.824133944704474	0.651709050264803	0.76879683449334	0.878244453365205	0.829481583652154	0.779051202338687	0.92854423229586	0.775461151701384	0.721155176491853	0.881051982597974	0.872107985798698	0.82078308910831	0.71071157551435	0.848334297698145	0.793939314912949	0.485715713874203	0.875562464726045	0.598218780160473	0.638783416010909	0.906004497371179	0.939503668970397	0.891053280837319	0.822266084458592	0.670791363071905	0.844514366607015	0.763260183278124	0.89634299039225	0.835141355248209	0.660924947017152	0.232578395744374
ERBB3	0.806669027365405	0.91251804194666	0.214900446530771	0.436024712832684	0.740916914231608	1	0.646341738047739	0.750270163988552	0.781974693796547	0.823374046750809	0.664498532835772	0.905113993183633	0.900199842203184	0.85817968209616	0.648741241005649	0.880679126046512	0.901572854458803	0.579536276450904	0.940522188013659	0.813816310753055	0.875327529015045	0.67022859211982	0.822525743589139	0.918205778894261	0.719740049771564	0.906684962864798	0.847603440399928	0.901039850169485	0.842107236659925	0.801711299398596	0.551902271992364	0.762016807868025	0.872653013716138	0.774329375079537	0.866154844887676	0.366572658250366	0.835868202140905	0.775696152205918	0.816882134608825	0.754893504302848	0.863737924971457	0.786315788724904	0.896457951865482	0.899799361674789	0.694314805480597	0.852296390423953	0.487810150136277	0.869539387620306	0.886735968559925	0.747814652519724	0.95395838446422	0.862125680208757	0.867971286938708	0.852287412703715	0.795285297014578	0.887036309649134	0.775276460667242	0.602231007593461	0.742138120115542	0.771751062475794	-0.115270320787448	0.0579783495718002	0.294666326100156	0.842940064913461	0.321817053608418	0.734185133333898	0.8230445128234	0.916942324789286	0.813141066385739	0.861077499646883	0.719627729004148	0.657631760655394	0.813765564924179	0.895456264315772	0.667988658188885	0.8568182787627	0.819610981624086	0.790424100892619	0.342707317123553	0.803720350627981	0.485912049548096	0.890381403609008	0.89262970421776	0.907633801565053	0.920081995373192	0.849921748883959	0.85110216469188	0.90833665875487	0.762439027657026	0.889550066236551	0.93611123061516	0.567655155155393	0.810804097706223	0.753546233443303	0.893442200553192	0.539467510359324	0.9118717851249	0.430866051520724	0.454285236203046	0.14689298082912	0.286237841504331	0.832972962687179	0.726816573189446	0.789261141898144	0.785519719079062	0.748616967453319	0.916714308852124	0.485186444171136	0.755056969945157	0.582192997422511	0.786187861741172	0.453006820543648
ADGRV1	0.631190731153971	0.683171029581577	0.159015194604151	0.359782113495598	0.544595326973114	0.646341738047739	1	0.717339742706872	0.672841375915343	0.628079354706305	0.468670987681494	0.611167316161929	0.631773627673464	0.682526368762051	0.507383129279583	0.71650070263722	0.683840998391382	0.578777724046887	0.765841901026929	0.682294349742742	0.651768842215236	0.712770717795185	0.630236910161052	0.734759975415598	0.603642298116153	0.788533307669312	0.679681256238418	0.809776881726055	0.869694758738857	0.641948004218519	0.471908310352894	0.54297371791873	0.76566816720823	0.713405265420553	0.741393823778654	0.175341042165773	0.707364551055496	0.680377837734819	0.941363708034228	0.555141682087247	0.575785201106049	0.61237022922666	0.77640250507307	0.74034241921361	0.500932108506446	0.749599286985413	0.20956063159933	0.673636165164785	0.831309296386224	0.511110716829105	0.691712113947387	0.691335306634712	0.814187676905982	0.654508641101727	0.578985323296101	0.556164316845175	0.545037958573792	0.416722132559169	0.502765778271275	0.675044787160897	-0.00550819558610514	0.0370670454675811	0.27113057464019	0.626842821219275	0.233559515311801	0.562640837499278	0.62635492478041	0.59462586115402	0.459718757619081	0.575427177025035	0.911895201449277	0.708865887323455	0.674620892102371	0.716029655051511	0.592427328469347	0.658713447818035	0.705509628540167	0.603229571166215	0.220307241054441	0.926332294202238	0.334856214328332	0.725520162939796	0.524956608802445	0.784470735813823	0.743465769272238	0.550580944326557	0.68136796603239	0.826605677857049	0.620018688612031	0.574413104184004	0.703400557525793	0.433418744715777	0.666599457165503	0.724073375349472	0.668113778955614	0.362951047343607	0.751113982462518	0.245214663042703	0.407676773906322	0.020304247286639	0.170254083414352	0.620599715275005	0.557594612565572	0.669470657140597	0.703983483673637	0.69122599456048	0.708330210701984	0.350736435995652	0.603294346126678	0.541370306191266	0.71067945807088	0.49328384102305
F2R	0.850649475235174	0.885285471696831	0.636148949916838	0.761328653683419	0.858145733565731	0.750270163988552	0.717339742706872	1	0.925564212921837	0.850303524975192	0.881269450791253	0.707234358603607	0.778935654148376	0.873121910316113	0.819736571774254	0.929588189432695	0.85403285661715	0.615651617164091	0.796493495298427	0.862488510438755	0.820438695181954	0.908604869162128	0.921543132659614	0.875409605041171	0.929142045749776	0.819135215663353	0.89068762743938	0.893338878920948	0.667056669030581	0.918507882971747	0.835267033261466	0.727066287720734	0.743019309132773	0.860685748461069	0.907909458963221	0.678523831238848	0.945498232742674	0.866311674681289	0.826581623002383	0.889805280913719	0.749712073768402	0.892764415629326	0.892141979505281	0.897918121031178	0.765222035733178	0.897753145848491	0.709216372574144	0.908477188608668	0.855631960492305	0.899165881887473	0.812199051872707	0.8454580942409	0.848369428950446	0.862087471676795	0.851688583590343	0.727726526753397	0.797377605322669	0.849658217080971	0.762506788018021	0.913268672714864	0.359096447873926	0.52179413384279	0.649126067296145	0.824677396671677	0.723423655003023	0.917945001098926	0.89445487426415	0.67013721922847	0.767458591385515	0.700772029437609	0.674165620753653	0.87910939916426	0.845870028968687	0.921004649204039	0.89259872393687	0.801546633969816	0.839410480891976	0.849330749787034	0.654391631707795	0.811163708274181	0.766157922595414	0.918550061640357	0.773051593095742	0.694852768864972	0.835014212297573	0.807620996875009	0.880875561270017	0.852651787601168	0.933387556286031	0.783647923397178	0.763132268184018	0.824259295632388	0.89505124494329	0.883351848956123	0.704306929724987	0.823397487072105	0.82306276046029	0.443809417993093	0.791205888052628	0.561175858253826	0.56695668711352	0.932897119656801	0.882391850111437	0.940418760711022	0.884409738107494	0.831047785043278	0.885068426169012	0.831995133197544	0.838251934245024	0.807669577553562	0.808717371416086	0.47957282490958
CANX	0.962657053329845	0.935454627828225	0.664381821631444	0.79772744812923	0.916102074583467	0.781974693796547	0.672841375915343	0.925564212921837	1	0.953711724949497	0.894712409538544	0.806412690147911	0.869907128650448	0.907414082024631	0.935052634512085	0.941691901561464	0.912273003271978	0.62955584740773	0.849201253014672	0.909685593759984	0.899782355362883	0.937219796815451	0.959543961387834	0.923296005389873	0.943351068312901	0.850646074966234	0.961687329175972	0.925047710287949	0.700893822854658	0.978441035563845	0.907542076354968	0.657999627215048	0.80609878529655	0.950959520081685	0.941830559958445	0.741216233514717	0.979855001534921	0.955607670374893	0.820582257194972	0.915948258620885	0.827390125347407	0.982260680762174	0.924940004194583	0.949499093327942	0.768931549847189	0.931663049563917	0.688574648925456	0.967030318048599	0.885175682387518	0.939965928327373	0.873857768960147	0.900515382731872	0.810958579804199	0.886124175373624	0.925236274982679	0.841195101641112	0.735495583787046	0.852894059978584	0.862980184480396	0.881851070806802	0.354585090904942	0.534782380303455	0.751748239345488	0.872058644610505	0.749038714820128	0.950318930440786	0.94387246584258	0.7718092508158	0.766423184608268	0.781960762508902	0.642167246013677	0.886143792959051	0.903314951581039	0.94208814041603	0.934180324887683	0.890523281806678	0.796181331381254	0.881243121632393	0.702933896073326	0.794422328412118	0.713614742137572	0.921501335627722	0.856997592948433	0.731237383031531	0.855124252878136	0.881399823553015	0.895924625197893	0.876498275175969	0.976278182744001	0.859050649248763	0.813628956066824	0.893561807254431	0.939428744070589	0.909032218479289	0.795027666602233	0.852870692432734	0.879072426317358	0.425071763542657	0.808473066052739	0.524856585903469	0.618272572871942	0.948561588363005	0.954266797014997	0.948873291762052	0.825479052889122	0.744597665435654	0.924201480246121	0.784423693010654	0.935665639039861	0.904815177449759	0.763002086487057	0.461829793799252
CHRM3	0.970056217785307	0.952203905981488	0.517844699587867	0.689145892673632	0.854428126308848	0.823374046750809	0.628079354706305	0.850303524975192	0.953711724949497	1	0.808853824117036	0.87621654446718	0.910477282092645	0.92558318908466	0.909396812248226	0.91757875118904	0.923424716214644	0.628721857905853	0.896883949409158	0.895500700394068	0.920464825606545	0.856385775526944	0.940384717307206	0.941239305580723	0.882119787199336	0.879841062568587	0.948986217944785	0.925128676530064	0.735394667787995	0.937605830742482	0.826330252522328	0.658132759054649	0.868004688956224	0.937336493564138	0.915024981642379	0.645148769878283	0.94694287453812	0.951479519664201	0.800997435064745	0.8860431150987	0.887535075390314	0.971503235515551	0.918050244969036	0.947186998708842	0.736960595215213	0.932240663873579	0.605070526079303	0.954795402556096	0.893444239167643	0.907741563895059	0.912119416703426	0.915090812986194	0.795998214537756	0.872160594185849	0.908372147049681	0.911518554242022	0.689386727636729	0.772216789516076	0.898909693006089	0.829221411593801	0.200497036404266	0.381358387734133	0.642890454008143	0.896729649651329	0.628205334713147	0.910549866758459	0.931409521362327	0.85085402842021	0.760004451688631	0.827608567259403	0.625097497150236	0.792455448817906	0.917736194279786	0.92304431903515	0.869239645153336	0.948738120825261	0.804545760645747	0.875577404570958	0.60279635490471	0.762043698898508	0.593894114465769	0.908479005786885	0.89471485936051	0.789557674841928	0.872341036525298	0.894451119505036	0.865747832020054	0.886817044994538	0.911855048269776	0.889183228655739	0.872227366950003	0.821983134528361	0.8960369853069	0.879943209157099	0.868004915893092	0.774918708308943	0.896439890548711	0.380776279287199	0.674575252233557	0.373146682397349	0.509232519743454	0.899234811744558	0.915905654630886	0.88999225602813	0.783826397297995	0.683793208382772	0.92664306517687	0.704951741030095	0.921401364839227	0.850938729919187	0.753946524504648	0.469755597666176
