""	TREM2	SORL1	ITGB2	CD4	CD68	PTGER4	CCR1	C3AR1	CD33	CD81	PTPRC	CD93	ITGAX	CD69	ITGAM	LRP1	PLXDC2	ADRB2	NRP1	ABCA1	LAIR1	SIGIRR	HLA.DPB1	TMIGD3	GPR84	TLR1	CD74	HAVCR2	TLR4	TNFRSF1B	TFRC	ADORA3	CXCR4	ITGB1	C1QBP	RHBDF2	SCARB1	LILRB1	FPR1	CD163	AXL	C5AR1	TNFRSF1A	PLAUR	ITGAV	ALOX5	SORT1	MERTK	IL6R	CD46	ENG	SLC1A5	TLR2	P2RY12	TREM1	TSPAN14	UNC5B	ADCY7	ADGRE2	STAB1	SPN	LPP	CANX	FPR3	PLXNB2	NOTCH2	GPNMB	PILRA	KCNQ3	NRP2	TLR7	SIRPA	PECAM1	NCSTN	RACK1	SMAP1	JMJD6	SDC3	APLP2	CD47	CD9	RXRA	TNFRSF12A	CADM1	PTPRA	MCFD2	THY1	CD63	LAMP1	PDGFRA	NCL	PTPRZ1
TREM2	1	0.581018004627935	0.953715167266518	0.773036454735812	0.840249864999767	0.619697910144328	0.540966462081291	0.866135561051927	0.885109734939401	0.792933051153746	0.755721110142145	0.452230886722221	0.66929844515076	0.501731404689843	0.750881456570956	0.418107724886665	0.730258534353244	0.430531149430182	0.64589603491109	0.374841429743332	0.690592918794577	0.373830548317868	0.760747684007748	0.86138070714198	0.582748840090868	0.520139727074557	0.904831547105205	0.852284648986695	0.799537084552821	0.788285553538876	0.270490157719196	0.85008341078948	0.300100955732062	0.424300656993947	0.199625061316174	0.709359198651167	0.493266338705201	0.768958310042556	0.932308256079012	0.425569332670859	0.86215450104527	0.713285678887218	0.586410649090842	0.583787854026008	0.600846975760784	0.456370922626913	0.644328664217471	0.567032496834951	0.653536025572818	0.596487572186813	0.728775868799889	0.751674964675789	0.570413820213808	0.29609638118995	0.796287490014096	0.460184100220135	0.765774165021914	0.752473430322079	0.516285362832714	0.602320401310808	0.259294983991035	0.163219584809455	0.350146222590505	0.582155834496544	0.79627691396455	0.374223601232241	0.396469839224304	0.539986540776242	0.724649411354068	0.440993901635371	0.189155669003325	0.807320316649649	0.139422178229776	0.548776928205753	0.578753421881328	0.495016204128782	0.308270347955211	0.104739896520887	0.433620673034399	-0.104460517563273	0.205988102497485	0.311128855754318	-0.0724902549538165	0.202901066595676	-0.00100642063875855	0.300431840454245	-0.0620282112295549	0.439330990895473	0.432091005976413	-0.190573780740644	0.395712650069956	-0.148760495320071
SORL1	0.581018004627935	1	0.566889960527338	0.603951477033855	0.471159852441103	0.594637187437442	0.699920441992318	0.691194791009177	0.529334380161928	0.695022418470594	0.827020265236038	0.278432505052814	0.803328439991215	0.75047843462068	0.538888800956266	0.687829053459354	0.793970966173896	0.0810528374114163	0.580104235461007	0.34057358075333	0.786608927839018	0.252719862930358	0.795686364847766	0.452514677724352	0.661606439920695	0.697354228942195	0.783774237437226	0.764293313457123	0.620066159247248	0.408387788931339	0.544491175281486	0.580289801793129	0.669324173526359	0.43827102705268	0.460446805120497	0.715016539500124	0.613642657124198	0.761014266330363	0.654014037121989	0.302961394218023	0.738997583095418	0.596196138079755	0.783792919376133	0.47494455984206	0.796171725574465	0.593303424843681	0.699967133428969	0.553881782760266	0.800193282373409	0.451206704001997	0.244441794646317	0.714796984548278	0.674571186315175	-0.172750478222732	0.437967649497168	0.787778650975122	0.691690662704152	0.721356447893854	0.743845532557381	0.542652120978482	0.191374927342893	0.344878501764418	0.503473772525149	0.340377643770231	0.55821241437331	0.635833238720507	-0.00320148132224961	0.501300708478744	0.730482085737841	0.422198431145286	0.714427748779657	0.673884209579495	0.142711637541705	0.671891261210331	0.650156433013899	0.582886593417411	0.548144322129737	0.334763783383731	0.523679650319477	0.201719422423677	0.331878542608094	0.308037944508423	0.210190098451908	0.263423239554737	0.298797793813996	0.593355641344465	0.158359078126366	0.367577374073536	0.267793645579978	0.0734063737232659	0.559157473305863	0.218219312128678
ITGB2	0.953715167266518	0.566889960527338	1	0.799882990291129	0.838337338916625	0.674799650583339	0.536949064723307	0.871238083815028	0.878082420110519	0.763774235827118	0.767845946497639	0.394761308997398	0.705867799124976	0.545471238286084	0.830500381202357	0.378748413347805	0.714945641810618	0.476411207521126	0.674948500373899	0.405369268323115	0.691977421949655	0.398533971607135	0.738699063521225	0.880846723407271	0.56382710525783	0.541243717868829	0.885724832859295	0.848922055255954	0.810867947702455	0.807165171147778	0.285522642379465	0.770216954037102	0.315201959749801	0.436055053770881	0.172469181448147	0.768700817826693	0.497610556924525	0.759843078732905	0.930907806051865	0.42292789630626	0.834557084891222	0.709973696622656	0.587082634581233	0.607974221173078	0.586705059230681	0.4388517768975	0.62128728774465	0.561592750680451	0.663102578886815	0.52469298321194	0.708901838359554	0.70752252081088	0.564414775671828	0.350283480459803	0.78297844919871	0.456741428915788	0.779108481657478	0.724896906495439	0.582856392954552	0.58077933536113	0.289514855117918	0.133284599861206	0.320848843658646	0.560430000892226	0.73208260461602	0.346130425494793	0.421323761777053	0.539088898607091	0.695983555807054	0.468990570089264	0.161639558256094	0.783498560107346	0.152620820783312	0.483261900418964	0.536076734857199	0.454346415090162	0.331983003989631	0.0501614400987888	0.378214081213137	-0.155289448621482	0.156667321677877	0.338029364366257	-0.11176734057601	0.177332376199155	-0.026812324892363	0.260914495731414	-0.0849006358948477	0.385497681103608	0.417547120010879	-0.237756684249157	0.360111152192554	-0.202869270678173
CD4	0.773036454735812	0.603951477033855	0.799882990291129	1	0.797191179109424	0.775619907850253	0.661748042616447	0.783519966170306	0.67655202950822	0.803884802680741	0.744684335085363	0.330657815427609	0.733687496234205	0.464292620501071	0.733897583343165	0.520401152694517	0.762497792647403	0.226084460423113	0.764059933523833	0.677624348357065	0.737747984558623	0.133516658970327	0.556135018127286	0.830693743555177	0.582899092716347	0.628413816826439	0.724835023673802	0.756996795785969	0.712961577822418	0.798470961251946	0.651648239211373	0.549303373537599	0.550114015199052	0.474532384041686	0.0945140985227866	0.668272031168664	0.680029118929117	0.609854276084404	0.808733231476514	0.584743794977834	0.672871463822176	0.853112800351542	0.552948607892137	0.774076614156043	0.681493111292136	0.223570871042237	0.689617822184	0.785493493122482	0.629589771175637	0.582175455356065	0.700145694841944	0.625251660452865	0.653644164504113	0.0367298420020323	0.756576387747127	0.578592937709999	0.767166451312344	0.628967635507039	0.659736426351208	0.744028737969762	-0.0047752489793095	0.297268400882896	0.363659650641477	0.554188453395605	0.745478263079815	0.480794018882038	0.502359744435896	0.589875881524006	0.708796051273677	0.588954576332527	0.172386967551041	0.789385181746915	0.424376208533022	0.432845586840976	0.375746870811773	0.530494850597186	0.362994955925326	0.223813652340656	0.50348341248309	-0.0441277908589521	0.18405063692226	0.352608725110776	0.0785482778516225	0.313690693640152	0.120955392573775	0.244062999353466	-0.0455200820348278	0.344204500958825	0.597640853484491	-0.121402706351127	0.335725362868331	-0.0829826492199501
CD68	0.840249864999767	0.471159852441103	0.838337338916625	0.797191179109424	1	0.639302749182038	0.558625640248615	0.831269316422874	0.810805291527043	0.862742648579139	0.678635536970812	0.537516512281224	0.599310408381698	0.284912610498653	0.739969851202068	0.508948135952472	0.727857193081806	0.39983728403476	0.765838577730113	0.652319580453765	0.615235767894825	0.145037038775865	0.617745076560663	0.794986495431459	0.425675025538321	0.460602300679716	0.748405553384921	0.673707350989085	0.739134043316841	0.908081231696545	0.489894364448744	0.676350184514323	0.486711046705653	0.517535184180926	0.147912037000976	0.557994734925599	0.679606116738743	0.604488721082906	0.797008050777511	0.766146650114585	0.679410276739604	0.868386106895413	0.551051434754879	0.671621405198969	0.590054390342196	0.282494650680798	0.636059832685506	0.721905620479171	0.532027895909463	0.608806516951159	0.832597128055158	0.535055394501503	0.651505312119282	0.0437384488376447	0.824735805081065	0.303479092008931	0.669945651024698	0.538517190483581	0.392350653564566	0.757284399142522	0.0689284608699985	0.268914036810286	0.413609137955606	0.76546853207068	0.754826952884542	0.476543966795795	0.728239443000429	0.552739282813683	0.697637153929328	0.61302397875313	0.100370170478495	0.757848925898834	0.488647124312251	0.406798901633006	0.442415788302846	0.550451308670646	0.202956673045593	0.237114717029263	0.544842425913744	-0.0991416410462326	0.237387482147696	0.403721929131095	-0.0409146181921459	0.489426663323864	0.0188684638992983	0.231744340531672	-0.0710782166702489	0.473609954210638	0.610516548718541	-0.131526304956685	0.33921678999619	-0.1293298398829
PTGER4	0.619697910144328	0.594637187437442	0.674799650583339	0.775619907850253	0.639302749182038	1	0.672761707297994	0.740873417632844	0.618711124284526	0.683655259717023	0.662113627262407	0.205881107491468	0.714187365719741	0.587501054996381	0.640583758173898	0.495557202498109	0.708345782917661	0.222022045280877	0.588046899031071	0.590859401947296	0.717870098594203	0.149540730463918	0.488236022522821	0.715761057369095	0.66517429254466	0.571451442186436	0.64754553952447	0.678033637722814	0.585752790749624	0.643246425605411	0.583361643629492	0.43319938681982	0.482907069292435	0.526162514316226	0.225301643089235	0.658029533684213	0.545447138874808	0.584620170154102	0.705397164100543	0.403494048777146	0.617133350481983	0.778460334087601	0.543248720163326	0.832554573324104	0.718987924988508	0.234022418101462	0.6896878830723	0.655181089213559	0.628185696611673	0.412588616055874	0.45487403093751	0.493898240326729	0.604645103199414	0.135102090016238	0.684314406431902	0.51986409139445	0.7195895100324	0.576277468395618	0.732567975039789	0.548501713768174	0.0584149126115867	0.346729933105055	0.462982299086901	0.417056759234248	0.667296942529013	0.400983186923362	0.334614726378699	0.561779012051128	0.633709436912735	0.574548870962356	0.228401456469154	0.729413073834912	0.203761748204439	0.379290633569724	0.437113727891218	0.502193980842952	0.638980459570565	0.273196487372937	0.492297892554234	0.0629741428239931	0.257233079195407	0.330261648724318	0.180484053918948	0.226245904900703	0.244676346791267	0.364395529185299	0.0788225903735462	0.318627404154991	0.496557285950074	-0.017880942060204	0.405959067709456	0.073809620193026
CCR1	0.540966462081291	0.699920441992318	0.536949064723307	0.661748042616447	0.558625640248615	0.672761707297994	1	0.658233942181547	0.499889883650015	0.731201626576057	0.800332134113829	0.174597759430664	0.759071574615286	0.559222650828059	0.530861183535716	0.70115341775588	0.741170714069957	0.16358125134505	0.672422592123443	0.552740224603284	0.809015613948822	-0.0927805477487912	0.479362342526669	0.54119998603749	0.676776492354288	0.499581537053778	0.599112790679457	0.588794332802682	0.444604035725045	0.507860214464634	0.694731717104971	0.441330991247937	0.628431655093536	0.508389817171727	0.365959990576384	0.557186523170576	0.752877105547162	0.662806421641988	0.638095655990242	0.493899406239361	0.600831630711547	0.680345244628076	0.676761215192201	0.583828989885543	0.823593759637421	0.180721938647395	0.7475635204465	0.689947652207849	0.672951683315522	0.578145585558401	0.336421670567227	0.508133653029058	0.805162998206901	-0.238663867660516	0.436518549508671	0.760765642739696	0.707995182698015	0.652157201162796	0.58495776572736	0.566635980943489	-0.155952392300266	0.48034711451175	0.613555615079279	0.541856245289426	0.562700153191143	0.582580817283366	0.393299838000289	0.573420316030151	0.780847660010453	0.648622484608208	0.508959829297705	0.633219412612581	0.308184246526801	0.647419553986835	0.466402675519134	0.618323572381177	0.523876212421084	0.463743215504437	0.647474950447469	0.28141941881573	0.412427691048085	0.266080426261112	0.349787351336118	0.453608347399001	0.381859666238501	0.559216883361668	0.153405776677373	0.505168718419514	0.453228202515365	0.164848701755198	0.571672919048994	0.290055889090808
C3AR1	0.866135561051927	0.691194791009177	0.871238083815028	0.783519966170306	0.831269316422874	0.740873417632844	0.658233942181547	1	0.808685445170848	0.837127135959921	0.841590144049901	0.467458523763494	0.763756721578046	0.633145167215194	0.763731581862986	0.578669041984708	0.813354154757515	0.383527611562901	0.664182235960772	0.439160126152148	0.768006466176011	0.375638386409611	0.757201554547579	0.800808698007296	0.636200219900212	0.564118638381923	0.87948854848464	0.840512594981967	0.797989095150101	0.795082392262447	0.461714013836508	0.720532424821251	0.45109868535655	0.509723845992994	0.296159509666148	0.715274118588066	0.665806920002732	0.777964980003542	0.892936026229777	0.478791326110524	0.841748001139531	0.796336166886042	0.693355964549029	0.648516147040089	0.721150125139089	0.477277800089	0.692641599282858	0.627064929912524	0.69982266503901	0.504018918789332	0.663354429658877	0.715588661788405	0.635649702575893	0.14184543485334	0.769864180822475	0.575696713082337	0.808105694104768	0.71134014186425	0.637199811056589	0.621945711269789	0.242183187172065	0.241925068012538	0.429505094831262	0.606564864588923	0.739918265761944	0.437212314203755	0.414958805459902	0.575695971751723	0.76603954687625	0.542487690298144	0.306765449708929	0.809098951045602	0.276016934427529	0.641103580111659	0.609965535349833	0.521625746953493	0.459835493935355	0.197191925313416	0.459866618933742	-0.0481882701767838	0.222209020450923	0.373134960398158	0.00312008020174793	0.297323485328808	0.100080266717549	0.375240389796175	0.00487463459069661	0.410951287842352	0.443928236044269	-0.130389822919588	0.430767605998436	-0.0685925320291672
CD33	0.885109734939401	0.529334380161928	0.878082420110519	0.67655202950822	0.810805291527043	0.618711124284526	0.499889883650015	0.808685445170848	1	0.752905072493017	0.688033710237443	0.51772124743738	0.606608064972559	0.482057287838182	0.70819175928292	0.417013465647273	0.713097154857626	0.542122068872951	0.646818276840526	0.327163113606661	0.628346482378046	0.319887120508426	0.723002725177947	0.743826966393928	0.48343546418993	0.386289065140324	0.847878284261575	0.775550372033405	0.706236955434425	0.761024167037782	0.174043457959574	0.775595609711472	0.28750488215426	0.461125723408374	0.315457507271554	0.627552719589892	0.489484339666226	0.745938686262505	0.847815833688422	0.444088586902128	0.819697770097914	0.675410115839086	0.59769660309501	0.517551339426872	0.572900712176913	0.481025115983728	0.613893384117389	0.469469820764345	0.585514244309429	0.541716316060492	0.636806458884417	0.704293059237209	0.600456741059603	0.260137454712486	0.714717410963368	0.39692042024125	0.725172142811401	0.696242098249786	0.450722671459858	0.561280712086415	0.3061760589222	0.172452071936362	0.417094620357576	0.576874257834599	0.722253950448731	0.353462028532412	0.405181141054849	0.539311708121761	0.717826208246599	0.504133721464045	0.243160995606349	0.757290815069417	0.0974823863783218	0.491989899833055	0.601420197664648	0.532093498961995	0.368385246714043	0.130292413186927	0.448147115451066	-0.0697195232831348	0.262761055203424	0.334778234503973	-0.0782856167218208	0.258309206397757	-0.0125400767173482	0.314868958018222	0.0085205402308464	0.451056465453729	0.395708721492878	-0.122229512811283	0.41997822718514	-0.0992328860919765
CD81	0.792933051153746	0.695022418470594	0.763774235827118	0.803884802680741	0.862742648579139	0.683655259717023	0.731201626576057	0.837127135959921	0.752905072493017	1	0.796274828929316	0.488130932970926	0.728441595177696	0.406696561270245	0.729586499590948	0.805715882550511	0.857227430522528	0.255233951942922	0.798469817424424	0.643021347348988	0.779861891928036	0.104665256502506	0.672957377986291	0.704986149668948	0.539262247029835	0.563224239903357	0.806160586449911	0.731656542171592	0.742628323682515	0.829226623821516	0.641352984521635	0.72182306629817	0.636379820874577	0.688739206518088	0.415388320150871	0.568278558378579	0.828284542750014	0.743511188212089	0.799112720029017	0.714866555843592	0.773788631093941	0.891884153362178	0.782457224854525	0.609071301579504	0.839020306045612	0.331162162498904	0.828862023584346	0.791614342157298	0.655639680763308	0.741032349267654	0.720004777851661	0.680623790530004	0.787720799276746	-0.152043447856276	0.742485366112264	0.56029979936205	0.728165989971419	0.6976973661365	0.517953937915828	0.815320510225281	0.00440625880124209	0.549653618178847	0.685447943920168	0.749498685207419	0.826185357766329	0.705450127559704	0.570497139669766	0.5543190990054	0.824413555702272	0.639000084378366	0.396465347619365	0.823702419747184	0.474285927314386	0.659644751113302	0.657522122232665	0.753564994321053	0.402705832322242	0.54868365386988	0.791312608206814	0.203605466461817	0.485566808332039	0.522941823622864	0.247463488373759	0.635355088193518	0.335975837137184	0.554323093267248	0.209483865888628	0.672298188711202	0.696640029826363	0.139025803215492	0.617693508655523	0.223876523663985
