""	CD3D	CD2	CD3G	KLRD1	CD247	KLRB1	DPP4	F2R	CD8B	CD8A	CCR5	CXCR4	ADGRE5	IGF2R	LAG3	SELL	TFRC	CLEC2D	CCR6	TNFRSF14	S1PR4	PILRB	CD226	CD4	ITGB1	GPR171	CD69	PTPRA	ITGB2	CANX	CD44	SORL1	PTPRC	TSPAN14	SMAP1	LPP	CD81	PTGER4	NCL	LAMP1	APLP2	CD74	SLC16A1	CD63	PTPRZ1
CD3D	1	0.922360841480738	0.943576548116002	-0.251411757132498	0.921655363411398	0.950894846823863	0.901364174440205	0.224282599872201	-0.0514908313626977	-0.093505068167549	0.527891818941496	0.643123135490301	0.714122828224528	0.480485125962162	0.337208222586519	0.884263865509476	-0.277520384471966	0.868006665973537	0.900471379123891	0.744605890585272	0.952587847643126	-0.252106982640952	0.776335026246461	0.739229318087942	0.583228161210015	0.89363622813568	0.686611839143317	0.271690136666696	-0.0271732927819591	-0.0161772481713583	0.456363016804653	0.629987504305583	0.907006349065763	0.378737133853654	0.526716211519506	-0.00274896862193685	0.106572507218328	0.942286728317504	0.149082489082382	-0.0643981456076949	-0.14447139075642	0.0739545873275184	-0.139404962006668	-0.180685345514421	-0.207920493510712
CD2	0.922360841480738	1	0.982407800522795	-0.0504453052489852	0.980693470888349	0.844727607321769	0.822005256461523	0.385256170412233	0.194674606896489	0.164144952113174	0.690932945151333	0.812635457477808	0.819811315482532	0.34882554793027	0.59965243002716	0.710688657000501	-0.386870421716838	0.943935870713818	0.779123400177477	0.670025282931349	0.903305175958479	-0.238670489902565	0.916015208325853	0.62867584678699	0.612072118961782	0.903893514931346	0.78829672563009	0.211658095195304	-0.00396026925440726	-0.0977093015919634	0.381446669505917	0.678244601527875	0.966952173964032	0.44431283700755	0.335110782836619	-0.15837623149687	0.040437601869135	0.905002267038907	0.0732300953218166	-0.0685971221641516	-0.237529759163425	0.0570499722034605	-0.208733782487441	-0.285293949219761	-0.285455513510129
CD3G	0.943576548116002	0.982407800522795	1	-0.0140454558388113	0.958108199866799	0.846834640228384	0.805511514466262	0.441660642892347	0.196625786189332	0.140361721561432	0.628611638895326	0.798706069181268	0.86019360681616	0.375597989655872	0.565892961322015	0.716546767602037	-0.366887056984557	0.911029612575101	0.758620321011864	0.702239456618705	0.893987853416387	-0.241492868160973	0.859938103287294	0.633394621445818	0.631965762586527	0.884260917993423	0.825287865245731	0.218535502023861	-0.00567372713555975	-0.099446670017401	0.403641997485245	0.662421352450033	0.954999809893608	0.434874054644764	0.375952043065365	-0.136758092012577	0.0422172407226507	0.924372651534508	0.110368693212369	-0.0600955638319859	-0.225858415446297	0.06379875465963	-0.201495819714807	-0.275626301750916	-0.270782554794662
KLRD1	-0.251411757132498	-0.0504453052489852	-0.0140454558388113	1	-0.0937412224340234	-0.401843630974039	-0.42952831586575	0.684667088690991	0.824202053760869	0.850214329112712	-0.039402266488301	0.24692753417214	0.264292105275994	-0.346694946878247	0.459031751579341	-0.419025626805029	-0.350597620290035	-0.0123172622513708	-0.479696366452726	-0.0966402820724157	-0.303576730819785	0.512385495184869	-0.0335464075392814	-0.381708037751132	-1.35640128254766e-05	-0.190716960310492	0.237160086860552	-0.293408647655936	0.138640488231275	-0.352379811746604	-0.191664907355493	-0.107594538906902	0.0418470486716932	0.10520967750301	-0.570859264725128	-0.286443723500505	-0.281402375144746	-0.233784795163992	-0.317887922610746	-0.0170032408389041	-0.209111053181074	0.0284916446661903	-0.350392169317035	-0.330269531267207	-0.224525828138216
CD247	0.921655363411398	0.980693470888349	0.958108199866799	-0.0937412224340234	1	0.859452100402755	0.815678436895052	0.363864267416031	0.161110431364996	0.125469032597745	0.6443334311157	0.801282176197759	0.725648017529306	0.329345361709803	0.565223970234982	0.74245950632675	-0.372952034928894	0.939888065333474	0.80748478065137	0.676261873986332	0.941282464154063	-0.258197494217054	0.917779089165101	0.638477101022003	0.585440653549711	0.95149013475504	0.781560431703336	0.210970110663908	-0.0359663316836261	-0.0921635482923894	0.400052468266647	0.646059639145329	0.967902864021842	0.422114629028218	0.336151067549582	-0.157440951429733	0.032258265713812	0.91039485855626	0.0730363431650886	-0.058155674859756	-0.237625409476896	0.00762265001606035	-0.220015975785953	-0.278823141286447	-0.28596380144961
KLRB1	0.950894846823863	0.844727607321769	0.846834640228384	-0.401843630974039	0.859452100402755	1	0.948080144950322	0.00254377180184182	-0.270760578875862	-0.26404751849856	0.548639541553465	0.612589876889221	0.541985270479836	0.467237964784515	0.14869769087747	0.950904617539907	-0.232640539704297	0.831354604855929	0.974496730283887	0.743958172507617	0.932940110947256	-0.261493687605009	0.756940219366542	0.766951179458723	0.526932817531877	0.898170399790342	0.590203902193153	0.252242003070613	0.00486062293552121	0.0398085450604202	0.492809857041913	0.607574776971384	0.842288643201033	0.345818601138146	0.602757635549534	0.0426002429785449	0.172534714033667	0.918759048237624	0.155183417427603	-0.0820865911710353	-0.0943742860672367	0.0863474315178418	-0.109291251393338	-0.0865008682511689	-0.174494585148802
DPP4	0.901364174440205	0.822005256461523	0.805511514466262	-0.42952831586575	0.815678436895052	0.948080144950322	1	-0.0253408020515996	-0.270199392791599	-0.233647410860326	0.676880601016056	0.514174987016277	0.564786152224891	0.520557660376633	0.155006214729852	0.891717422786152	-0.222874319527006	0.835715643892902	0.942532164064936	0.689515320613229	0.869756861378354	-0.199652193925377	0.756275332096935	0.784557249020262	0.531653720203401	0.819944375509561	0.453276587706424	0.279311411180174	0.07167205639173	0.125976674513889	0.508252140908218	0.650420804429182	0.807103364656623	0.356560456190012	0.524787098083906	0.0715591657782167	0.177681803839933	0.838117963779055	0.118779303963883	-0.00206473678175059	-0.00880746251007661	0.102614021952272	-0.0790942204697027	-0.0325635442997064	-0.173583113412951
F2R	0.224282599872201	0.385256170412233	0.441660642892347	0.684667088690991	0.363864267416031	0.00254377180184182	-0.0253408020515996	1	0.746269192551396	0.63009738231538	0.248953775617345	0.488496092528214	0.639383735235786	0.074112098782562	0.659655426663915	-0.112823206100845	-0.145212478542513	0.37412286578249	-0.13020535910863	0.224757506812122	0.179720080673042	0.237001166905441	0.287918421881084	-0.0165060727162501	0.422551060973434	0.236449752426697	0.603932014812061	0.236561451301259	0.0232888308175239	-0.143846349215057	0.121639501512196	0.260062500563674	0.423515908752386	0.342698823340496	-0.161075120189456	-0.0160167574872451	-0.0244538756509967	0.261328730251706	0.0447916852169339	0.118350862758334	-0.123805988102367	-0.00413192048710352	-0.0167155722335287	-0.208560987179224	0.0626971411999633
CD8B	-0.0514908313626977	0.194674606896489	0.196625786189332	0.824202053760869	0.161110431364996	-0.270760578875862	-0.270199392791599	0.746269192551396	1	0.942087181949299	0.00543102295496679	0.290831765508278	0.415873368172254	-0.27608860493872	0.814839861987512	-0.33593601051178	-0.338128225292773	0.132119369999619	-0.334853423108098	-0.0846041818226677	-0.109528519693453	0.214972836664231	0.14537521978948	-0.281641984903151	0.0737790226366036	-0.0274458311450876	0.348907355395593	-0.161586443525906	-0.0240060241568808	-0.319701502053548	-0.17836125787561	-0.0764086245291754	0.206908222184493	0.0686580975245411	-0.546754547681872	-0.342291676976608	-0.289580075609372	-0.113227638840471	-0.256520499802468	-0.0322942577579575	-0.29717512922679	-0.101200566897684	-0.294739322472083	-0.387062096467323	-0.229414487709578
CD8A	-0.093505068167549	0.164144952113174	0.140361721561432	0.850214329112712	0.125469032597745	-0.26404751849856	-0.233647410860326	0.63009738231538	0.942087181949299	1	0.0813504071631202	0.254202786474298	0.346279174095257	-0.295192577230291	0.731658121121787	-0.287489038665193	-0.38024135601825	0.149577758762425	-0.287277157482025	-0.089165627790784	-0.151310999226751	0.412199934787209	0.193400798607525	-0.284410893775956	0.024751603064369	-0.0566867082832917	0.208106979260746	-0.189270432545482	0.0619791363577754	-0.323622234261022	-0.199152753499539	-0.0800825110737607	0.20050930647646	0.0898209398871325	-0.604099151283886	-0.330327090606228	-0.276704158412492	-0.174690100704927	-0.353033676082127	-0.0753117778043065	-0.278557428030788	-0.0281609012180286	-0.322777054978595	-0.380401683698388	-0.25316611117924
