""	SDC3	LDLR	LRP1	CD9	GPR37	MRC2	TNFRSF1A	CHL1	LRP4	LRP6	SDC2	GPR37L1	EGFR	ITGB8	SORT1	CD46	ABCA1	C1QBP	EDNRB	AR	CNR1	LPP	CD81	RAMP1	CAV1	F3	TNFRSF12A	RAMP2	ITGA3	ITGAV	ADORA1	SDC1	ADGRV1	CD44	TNFRSF21	MET	NOTCH1	CELSR2	ITGB1	NRCAM	SCARB1	HRH1	CD47	IGF1R	FZD3	TYRO3	CD63	FGFR1	INSR	SDC4	CANX	NRP1	ITGA6	FZD7	F2R	ERBB2	CD82	CADM1	IGF2R	VANGL2	APLP2	FZD5	MCAM	NOTCH2	ADGRE5	ITGA5	PLXNB1	GPC1	ATP5F1B	PTK7	FZD1	ANTXR1	RYK	CALCRL	PLXNB2	CHRM3	MTTP	TNFRSF19	NCSTN	EPHB2	ITGA2	AXL	DPP4	APLP1	TSPAN12	TNFRSF10B	IL17RC	NRP2	CD99L2	PTPRA	NT5E	MCFD2	SIRPA	TFRC	TRADD	SLC16A1	TSPAN17	LIFR	SMAP1	SLC16A7	TSPAN5	PLAUR	AMFR	SORL1	LRP10	TREM1	PILRB	RACK1	RPSA	CD68	RXRA	LAMP1	PTPRZ1	CXCR4	HMMR	TSPAN14	HLA.DPB1	NCL	CD74
SDC3	1	0.355520394977513	0.39242280969162	0.702304288491321	0.346809766756209	0.395115132189267	0.531959751585095	0.596867937966577	0.427339198404275	0.571226397477691	0.481717860609729	0.501733620436353	0.596870221244225	0.791831704251564	0.674106434853012	0.381539556406958	0.314171984559775	0.611283260969261	0.700423108499706	0.658597510609485	0.508687412703473	0.395056738494456	0.472493334586987	0.800769183935468	-0.028819884000274	0.557564134051307	0.473732521316043	0.624998843595818	0.347944130043752	0.553185723296197	0.499690505915793	0.384581256132629	0.461512016085765	0.332328264040479	0.683299817997149	0.176242788276181	0.746893393290069	0.513324303274414	0.204915715537279	0.395556771268242	0.310923058320575	0.551477042831264	0.560117616812728	0.502692620728971	0.663575413028603	0.67275522845286	0.616204157886868	0.807214176860142	0.447936098209499	0.0901899408762271	0.609702747832549	0.0499877600709574	0.515873980394301	0.414862960232896	0.404558366511057	0.416369913239269	0.135457701784412	0.807077588486772	0.307054568198535	0.695292766377249	0.725908342702014	0.640803734986672	0.296920814151578	0.568505697761307	0.568869860827937	-0.0223874967710238	0.550079964618047	0.453128689720922	0.731185197125416	0.240942715202202	0.36124166310004	0.502536141316455	0.432872672441512	0.456346763023556	0.279991759775701	0.603062917821318	0.537716965309584	0.812926388810013	0.569993140672455	0.555014381787386	0.179193004342634	0.377404870963887	0.349323485954071	0.646083077284421	0.658460543930754	0.284662637166817	0.49781244970086	0.473034180651631	0.616171895929395	0.743281759291736	0.143509963468224	0.553842155912032	0.421682627627158	0.153012820114111	0.42983079870431	0.29035564789556	0.564176942059977	0.336370087598987	0.720229398730059	0.402087913696107	0.73953561741679	-0.0719170091260666	0.477414207074941	0.39492142408715	0.497208779128173	-0.179063949274461	0.481354330992795	0.493513514224528	0.548487920592737	-0.0629969242682123	0.513803090284576	0.676125816471062	0.715570584481308	-0.115154951837612	0.500085334763541	0.550012546081925	-0.0594395686931405	0.726983607883946	-0.0309644214235865
LDLR	0.355520394977513	1	0.888470451603204	0.51222378546545	0.797821678941299	0.903642495694195	0.86022499940948	0.846738269537839	0.208755193395474	0.75819869059956	0.618963455047691	-0.127476876519155	0.0895366094991121	0.583297231926639	0.739244992406276	0.806679282426786	0.878323542001232	0.597101599966859	0.116382775976541	0.549365826984668	0.878524890349685	0.848714888144694	0.85040655579962	0.354878474322362	0.401458761563172	0.731223883039508	0.674491962778262	0.531372987069549	0.760653868974463	0.802581091749502	0.854218800569144	0.879488037518587	0.635335934400245	0.829370187358266	0.590223019245602	0.802501307449721	0.643006671312007	0.720585249362624	0.648242374657156	0.911612640370244	0.782703895495883	0.886503713085434	0.654266068713558	0.625534145531074	0.7593767694043	0.392550629998775	0.760878242298817	0.633530556341411	0.729128297294761	0.594001247266293	0.814042368228184	0.579860930232892	0.27259660966333	0.869564453207911	0.688814103392523	0.798611718833019	0.389873108208196	0.436858560137023	0.847633635855415	0.503347323716093	0.716079656977185	0.777100040390831	0.417563512097302	0.529542545929607	0.763586416604242	0.437398410944827	0.540195573960922	0.882671728926373	0.404674487912514	0.584231667588395	0.751518644084738	0.55361176842624	0.749673606595017	0.694282386399377	0.83592804375817	0.484473215108495	0.327926007180212	0.610344850849121	0.854498959786849	0.724521258529972	0.563956221348636	0.598102483962754	0.731926872864788	0.794415295107985	-0.137353026185297	0.736460992355028	0.807626790320936	0.873385292875507	0.823790203731107	0.788210434587633	0.40975612333883	0.715372437624189	0.849284347985056	0.690702743228916	0.726513976103383	0.621348679250378	0.628482014245621	0.29162874209911	0.529992084462023	0.81815488688404	0.352716886589515	0.417362465049573	0.746847004394322	0.796796354163827	0.806510921765496	0.235957268417463	0.675354346876361	0.623142841487935	0.525342943804777	0.427255153146514	0.81807143538937	0.728596366553642	0.729322840721886	0.275214985902269	-0.108760347776289	0.61733115118613	0.213628116095979	0.548864257444108	0.332185776277918
LRP1	0.39242280969162	0.888470451603204	1	0.425708207912565	0.824323504881999	0.94077006913316	0.797837241531095	0.870118155657602	0.256459925127403	0.776225565591368	0.645161109887086	-0.00477848401293571	0.171225710544958	0.593510648787459	0.739288710737968	0.840363679927939	0.875595231952507	0.489787579690416	0.0833834385194188	0.566282887667842	0.84677350687772	0.858246926002869	0.916645722272703	0.271350928250431	0.483761897795231	0.802010890604994	0.553012684474823	0.420448355179948	0.728119208974071	0.819704325891219	0.857290021600256	0.860887661293694	0.703728592760774	0.77723679021169	0.601128358030891	0.846659117933679	0.650699974532442	0.809223564877594	0.68345825766662	0.915800956895328	0.81226730044316	0.807360354112503	0.604989334553145	0.684545556482005	0.793311800383392	0.403046540514032	0.675478489577626	0.613238034562419	0.761706248136608	0.659206572798619	0.81242666970278	0.650691825820647	0.296760386054239	0.907066356754106	0.756063287246703	0.814124802456008	0.475241632143578	0.38380123988659	0.883780061187442	0.534434540518898	0.68273182934247	0.679666377909601	0.379210709136903	0.584378664805796	0.736434259205982	0.53588639905637	0.687245547043602	0.84901397352311	0.306756525435579	0.68372937622883	0.785034713263052	0.569342302035198	0.798479192995578	0.72457168037668	0.865280648126998	0.398240023213037	0.304530821147051	0.601263822601469	0.870621352805239	0.658691865359894	0.593816205877833	0.652928444274878	0.756637607834966	0.783804386870296	-0.200000846280243	0.737809705648677	0.734637538133024	0.794858059962316	0.842309659392	0.785669472587499	0.477711386900181	0.694427103794795	0.90710720216869	0.703963028536855	0.712264493771129	0.654203712086055	0.517087334850645	0.464510939986525	0.49367736731662	0.847306215898661	0.328750029544428	0.450027488109873	0.829637090786783	0.807256157061021	0.801623973414318	0.334368763471245	0.724190671523323	0.560182591812602	0.446689152222513	0.403956776765139	0.8819382909329	0.689353733245916	0.761189760667505	0.249469151580511	-0.0531169521587838	0.554356536432397	0.187147988475352	0.492241922175823	0.288419654738606
CD9	0.702304288491321	0.51222378546545	0.425708207912565	1	0.370990233217126	0.446334281655922	0.783342765759681	0.579150942262624	0.201229783708937	0.633318625788208	0.617440941763965	0.108181984203171	0.562264567137226	0.782772456701331	0.599762625225498	0.559717437671007	0.577565550247171	0.914542299392485	0.590510416325942	0.720560521886265	0.489354607893706	0.61798519090287	0.568117540075804	0.854994969631083	0.350727949974449	0.60280218440879	0.837562273182613	0.814736755721611	0.635017743899074	0.762059964068906	0.488559311386905	0.449700045400585	0.157734879754879	0.662638072282229	0.691763887687933	0.346102658719802	0.646494085478589	0.524276633393141	0.467538115285376	0.547025427062066	0.430307693182962	0.690232507842464	0.886774042243132	0.686367326717726	0.750009303708931	0.431087529480241	0.867257425223051	0.822926147602157	0.43939761715609	0.455958319666289	0.819857237724408	0.337248979443651	0.33197510162338	0.461529042885117	0.516057719890185	0.421841010019358	0.472746356556324	0.872722403335313	0.409684741825706	0.464258305762978	0.91497738447434	0.651634349343909	0.328448966796606	0.719683337191895	0.783073946644703	0.29162872166578	0.2962182739546	0.658373671477263	0.932203870509237	0.259905561461158	0.509462913896062	0.59867613787821	0.591912703428095	0.41378648556862	0.403063754956959	0.771288666832715	0.713270960795322	0.785280691836117	0.639704685937507	0.782348027048692	0.496455638199174	0.539302036067566	0.492906724946131	0.766974093234125	0.623375345294864	0.593165939796261	0.690251079126365	0.698919490098794	0.60846343925475	0.778412227223769	0.519941122779298	0.831833977386972	0.410629908863965	0.399101022907605	0.755318190356071	0.597949233300156	0.833067557824608	0.0860153205178414	0.920593936902265	0.584240044488435	0.853958249343419	0.35705019402086	0.623641113221778	0.428305856846714	0.735738703601925	0.226985980679561	0.314688872200427	0.867052634560065	0.89556562549285	0.298005127159478	0.489126303409929	0.853383064505938	0.529205397360135	0.199538083150568	0.405272013877917	0.625901164786313	0.254741699342785	0.918035276116265	0.249478366831302
GPR37	0.346809766756209	0.797821678941299	0.824323504881999	0.370990233217126	1	0.819785584837719	0.687649479100873	0.913087826552397	0.127968273809525	0.645765078630551	0.516941205468966	0.0029981843167228	0.0599570096312435	0.53634167070521	0.700018314905482	0.727253100132334	0.846158463889254	0.442354038476384	-0.00716827072513729	0.408916693097463	0.887137729729945	0.754930454521319	0.754988856363079	0.198250958863377	0.345214985200857	0.587202735962062	0.418950920025511	0.434652078581039	0.61170588195281	0.672746032231725	0.918477033230474	0.841663970419264	0.671679124027893	0.613040133474043	0.528738506824787	0.886513907904386	0.5818389273934	0.806921373796448	0.576659911555779	0.859552659881211	0.661504583893439	0.746344073826592	0.481150269693275	0.511758517702443	0.690804736611382	0.331965806317241	0.672307267502983	0.433650661995748	0.635245775062821	0.5528774123702	0.696662001160348	0.509558396415423	0.131189418062488	0.896322292143705	0.593427824356953	0.821875745253685	0.281716448491447	0.217263067215954	0.762709929615681	0.435607096203249	0.546608095821452	0.599657871061055	0.300165016518882	0.377415750191341	0.651317645702345	0.436498504970605	0.459792314347173	0.798770480107353	0.246312738807675	0.50772033279694	0.880252449312955	0.345354505845725	0.712967645602241	0.652178802510743	0.866659189048483	0.306137333315898	0.263610603119519	0.537903945293605	0.793044623158349	0.507820715022304	0.395788355956275	0.585114952697622	0.890122308583413	0.659159978516033	-0.252702049028295	0.614542690274826	0.677098914733023	0.700592289958762	0.722165046803623	0.67725465274135	0.292615966490476	0.581806927244646	0.816166551892985	0.476660899840275	0.599638835326282	0.516849290289534	0.516165136579768	0.376533500340549	0.386469761318454	0.749363720306856	0.17330323017158	0.299305297310573	0.724338872787846	0.759700838113744	0.712341328363943	0.162698708346184	0.642650751675857	0.477343895900992	0.382416228282904	0.341935386422101	0.766939496586798	0.55934386690317	0.730551935648957	0.179292316057252	-0.130337923819825	0.5138325676594	0.144158483612107	0.404385618560393	0.231230079772513
MRC2	0.395115132189267	0.903642495694195	0.94077006913316	0.446334281655922	0.819785584837719	1	0.838454671118296	0.86105969832306	0.23437432677196	0.736245460936818	0.65082900741954	-0.113363480243902	0.120020095504383	0.549973174337327	0.739055436715793	0.823946758207147	0.89729014437891	0.5282334730245	0.0642827028468094	0.562274150466083	0.868968354810606	0.888647194171243	0.899251076902909	0.301011896766832	0.486703621463683	0.805716580113038	0.616508095415577	0.4819506091112	0.794775548747151	0.807511195504962	0.878279020175073	0.872017586289657	0.650867543775866	0.825117446863395	0.628047879753501	0.84402915983346	0.641111860944443	0.775930865528643	0.718858683220511	0.9410778805417	0.816400102256657	0.836457999828256	0.614947762664987	0.656373983304081	0.785967968091948	0.394241209345425	0.71287800604105	0.583334540985301	0.76495011210842	0.666543823551074	0.8224500995097	0.660228771268148	0.254329534842482	0.889306526908649	0.749244272539199	0.839311051069089	0.45644809990878	0.356373312507274	0.891649777676693	0.452043245278443	0.692164106302793	0.709944716820022	0.377400585664173	0.549966297059095	0.761496420505118	0.548247029912429	0.645791540283759	0.905893921314387	0.312509863933639	0.697839944261788	0.816466196399315	0.550873610913902	0.793994339239765	0.708137015395148	0.879863995561441	0.476286626438131	0.350992813661627	0.601901041148333	0.87197778340413	0.664392211316025	0.627628908241399	0.645105091533117	0.76533643419876	0.807656452111345	-0.203075292032081	0.759196803362464	0.790594433904782	0.825392145158082	0.835325135088898	0.780789603009321	0.514250310757132	0.713535238327542	0.869257405381196	0.673962424447248	0.733337059212469	0.682020619747297	0.572492726987341	0.381698492864852	0.503030288653613	0.868758596245168	0.31825829021398	0.441638425749897	0.839015348046146	0.764898053091769	0.831120724419462	0.325430082630945	0.673571089839296	0.589222521067204	0.477382544207182	0.383794807822121	0.848988468020323	0.704092603749202	0.725481598184399	0.248241661606316	-0.106346177366833	0.548141247580843	0.160354870007237	0.514501218020985	0.251219300029302
TNFRSF1A	0.531959751585095	0.86022499940948	0.797837241531095	0.783342765759681	0.687649479100873	0.838454671118296	1	0.82154145083856	0.225437916134441	0.761321440779096	0.735823125437388	-0.152883392050489	0.230939600532417	0.719299841273319	0.750206998248322	0.830842578046773	0.874616138229051	0.848208140485168	0.312217137478027	0.715353775811636	0.79589165425617	0.895815084237103	0.865642493738429	0.648810128693781	0.511799024577153	0.816301018425793	0.900691285865479	0.758200397589277	0.860850619022658	0.908852633786922	0.78508205185329	0.778584637658594	0.46500051070563	0.928616765375054	0.77218522219175	0.695259396588676	0.677554966074316	0.687994062662889	0.704051789248541	0.88016957205346	0.747416032102095	0.923707089533451	0.86258357902567	0.73372658894158	0.8667215283156	0.442531141471556	0.934730099307995	0.760927320671365	0.701224301356942	0.675144385432196	0.939247922930731	0.640244959439995	0.337162403307311	0.757844381130315	0.692136358441023	0.707179327233908	0.499826520414221	0.647046954002025	0.763966248511695	0.449530456960768	0.90331086639197	0.842112757474831	0.407768762795784	0.661964951484043	0.878867431562567	0.519469889195215	0.496380277634701	0.936360562027142	0.665633626304615	0.57820901924928	0.745685289833694	0.63549503299792	0.789242049479944	0.669937956924731	0.75180288976027	0.75390328359917	0.643447663477464	0.732611802378802	0.845426455007942	0.84669080255651	0.714635264110216	0.703239219597662	0.71060003031822	0.878013114900529	0.139870209076215	0.82706996127849	0.881673313534003	0.939246955774733	0.834575050016632	0.865304346041321	0.626076513169122	0.908362925354158	0.719671847210047	0.6902804929635	0.888624445978639	0.725308523431465	0.83485801417584	0.273905701525767	0.787892625663095	0.865467627359374	0.63985484308342	0.525678076401123	0.844012079534497	0.739818022833916	0.922249293421098	0.343094125587023	0.523760086792754	0.86102431757593	0.788464421725162	0.468905418210951	0.752957959213243	0.879407980484961	0.686436874401147	0.295482570065568	-0.00150446892061771	0.693628442692536	0.303906864775046	0.791721057058913	0.368120321005042
CHL1	0.596867937966577	0.846738269537839	0.870118155657602	0.579150942262624	0.913087826552397	0.86105969832306	0.82154145083856	1	0.348459696286751	0.78287840036222	0.635399825967353	0.167757543316999	0.266348064081298	0.766261852350615	0.848707346169965	0.747466584882994	0.830850837460215	0.615208952545237	0.30110972355579	0.621573092481104	0.928153697410579	0.79160251685469	0.844776112893516	0.501898696941254	0.27154469184178	0.765669466035134	0.585151412896401	0.604096036159517	0.654752926842574	0.815785631740166	0.93730108711653	0.843833499474482	0.769074672369847	0.689761601296581	0.733214153695733	0.775278667720314	0.766316445323772	0.84894315885301	0.554745443431199	0.875320955699829	0.652862740650344	0.866553462177391	0.647288273795733	0.616654319449996	0.83480431183909	0.543152126152235	0.802973610898485	0.692690913355029	0.72641185976338	0.496953047699701	0.822794200829119	0.435723082631058	0.412195538151704	0.903526953606886	0.661670644697376	0.82429329993063	0.26911296080532	0.51807687132233	0.743593462218633	0.602898230864704	0.747659424149278	0.785939314996165	0.357601489565714	0.547603086460024	0.750192069370616	0.329235928408415	0.626727513104382	0.85296679461366	0.469203242553304	0.522385608464919	0.820860305484135	0.545142737278827	0.753353788672399	0.745036469514609	0.822192686332441	0.49674984587317	0.447735470415235	0.748755783416497	0.872584019486669	0.659678774949392	0.417963807087675	0.644242045774492	0.80241583392463	0.813271484277517	0.0341262972889426	0.648740942541898	0.806461223330723	0.790931847876763	0.850513724841156	0.868232166499685	0.298641988840708	0.724550698496571	0.863880940150005	0.493815290445969	0.695692295301124	0.512970066062346	0.647789229317923	0.50196396178023	0.618225256212317	0.796509753717212	0.452755627957919	0.247627238073952	0.794198314255221	0.811729160570853	0.815085226665976	0.070210189430359	0.701515403190079	0.596627113078658	0.531921562675851	0.287367196294239	0.840785806191864	0.765768788801145	0.900305627582179	0.120006112126052	0.0328008039166163	0.645110859871899	0.124987643275952	0.619927702594282	0.223153633491059
LRP4	0.427339198404275	0.208755193395474	0.256459925127403	0.201229783708937	0.127968273809525	0.23437432677196	0.225437916134441	0.348459696286751	1	0.397682323600015	0.234124176145601	0.518279800819353	0.40755051713778	0.492893593100234	0.495715341875949	0.186014112358378	0.0888741787131805	0.183039886488853	0.535789572036357	0.330707849076482	0.283693452786337	0.138030933016851	0.292198733811098	0.411202513304688	-0.285554065862577	0.348849801778386	0.169475178819587	0.223130796301896	0.00207554151215995	0.319542961358894	0.198854533674063	0.198317049878256	0.585175617687556	0.129594064053809	0.36636104133903	-0.0844471219086386	0.482435049752756	0.299627256636625	-0.00494575607693568	0.163754913900018	0.0634501011271791	0.341664668025462	0.189308626238045	0.161400043004701	0.372823023229445	0.414451413121136	0.18467178263497	0.410304170039259	0.380566505653076	-0.199138077206982	0.209216033377044	-0.16273401778336	0.602584992355548	0.197684101183941	0.191908378698961	0.168902603460762	-0.111899221499765	0.423657807760719	0.0316461412863552	0.407621526228524	0.310705896599499	0.338635011636734	0.194707460927872	0.298133233067503	0.228553136516638	-0.332823274251174	0.496219775846861	0.16333878780342	0.205770964521893	0.238733542890465	-0.00950158188023225	0.352011891458198	0.134024445619971	0.451757122926845	0.0563665170710576	0.258812299790497	0.278595424854964	0.367142215188627	0.262430587878191	0.224745224474551	-0.0909188115411876	0.158278993271028	-0.0816392871700736	0.391401837270786	0.34574491855956	0.155626513091322	0.304226515579558	0.209585074649873	0.279937325125234	0.487471001305967	-0.156660473992407	0.199092374902108	0.228872097454174	-0.0157704429684108	0.0954902145334582	-0.109470204086211	0.135727298276329	0.559294054139216	0.342785903484759	0.185506500696233	0.311542504220124	-0.205864918934718	0.2245251054107	0.259876124274555	0.241105234853744	-0.336366153262785	0.346502696234834	0.0730107129993218	0.107767000067828	-0.149773294389006	0.289583399546609	0.415642678046481	0.585871215776474	-0.201730525205442	0.151475018155302	0.285138298340872	-0.12874268164096	0.257771221520726	-0.0528115390132866
LRP6	0.571226397477691	0.75819869059956	0.776225565591368	0.633318625788208	0.645765078630551	0.736245460936818	0.761321440779096	0.78287840036222	0.397682323600015	1	0.672889624258255	0.215468673137019	0.432538613076049	0.776150068294141	0.765558054881145	0.770145009824553	0.733739036665826	0.652982335705919	0.355885419085302	0.654535669900749	0.721485933126039	0.74415599548119	0.801689659618637	0.508764477346318	0.320742836633857	0.676716488981397	0.62427012976597	0.592487989503159	0.612023627019962	0.823303752524335	0.687360251427248	0.721109122947824	0.638041833660611	0.695925699759968	0.65297544209435	0.618338493024603	0.72671499873396	0.73775586569482	0.588071104370511	0.761224813619975	0.653048333596408	0.803764521927488	0.707007716818127	0.72507567678144	0.844775576160489	0.494704257198211	0.731669233279123	0.744737094948948	0.740278194331494	0.465136222972707	0.796207823153706	0.471304492139374	0.36180182901596	0.757568982163862	0.692524514026757	0.695809735938091	0.472741790716268	0.632331905851697	0.708543349719473	0.625154297339684	0.790849918786352	0.669088411038798	0.490521483752897	0.704616003682044	0.807158381814231	0.312770715976843	0.579554481595186	0.739919611990441	0.587041300436433	0.587516746750532	0.627257414581918	0.605380473503853	0.749985569749683	0.691124606152283	0.645500821357445	0.493487048372173	0.392686686425024	0.744556099199322	0.816287879902683	0.693377757858064	0.48184744773948	0.610704012699124	0.598591223014076	0.821007949808667	0.179744935987781	0.697252034189076	0.692499281314723	0.774444695087188	0.794588724527957	0.850779839891317	0.386097904695735	0.767625963231458	0.713940559767729	0.564757001930007	0.658577471709545	0.552499138609018	0.614946605214149	0.263899768249402	0.67043523665123	0.698855925525822	0.57893941943817	0.330960213070983	0.702231546507729	0.691364815305929	0.772914021871772	0.174152971538535	0.740329665705532	0.64872123646532	0.605312497177665	0.276978093605566	0.790693299746198	0.78571342053019	0.766488265047118	0.199729042542933	0.181938477320084	0.64746649013853	0.154862952573986	0.687907427345268	0.245880939486702
