""	SDC3	SDC2	TNFRSF1A	CD9	GPR37L1	LDLR	GPR37	LRP4	LRP1	RAMP1	ADGRV1	LRP6	TNFRSF21	CHL1	EGFR	EDNRB	CELSR2	SORT1	CAV1	C1QBP	ITGB8	AR	MRC2	NOTCH1	F3	INSR	CD82	ITGAV	CD81	MET	ITGA3	FZD3	CNR1	CD46	DDR1	NRCAM	ITGB1	GPC1	HRH1	ABCA1	CADM1	TYRO3	CD63	LPP	CD47	F2R	ADORA1	RIPK1	ITGA6	CANX	SCARB1	TNFRSF12A	IGF1R	RAMP2	TSPAN5	FGFR1	IL13RA2	NRP1	SDC4	FAS	TFRC	SMAP1	PLXNB1	TRADD	IGF2R	CD44	ITGA5	FZD7	TSPAN12	ERBB2	CALCRL	AXL	CHRM3	VANGL2	PTPRZ1	PTPRA	FZD6	PTK7	FZD5	ANTXR1	SORL1	APLP2	FZD1	MCAM	ADGRE5	PDGFRA	PVR	NOTCH2	SMAD3	NCSTN	PLXNB2	NOTCH3	DDR2	TNFRSF19	NGFR	RYK	MTTP	EPHB2	ITGA2	AQP1	NT5E	SIRPA	IL17RC	NRP2	PDGFRB	ACTR2	APLP1	TSPAN17	CD99L2	PILRB	AMFR	MCFD2	LIFR	TNFRSF10B	SLC16A1	PLAUR	HMMR	RXRA	SLC16A7	TREM1	LRP10	RACK1	JMJD6	LAMP1	CD68	RPSA	CXCR4	TSPAN14	GPNMB	HLA.DPB1	NCL	CD74	HLA.DPA1
SDC3	1	0.425453969880138	0.601095700836109	0.823168107483211	0.571155825431402	0.438518166450506	0.44573763503384	0.581021141058345	0.542817381597281	0.857869077684401	0.610091794519418	0.634673384683099	0.724964212367347	0.621208616406057	0.323048852507537	0.733021054644901	0.633564787924177	0.712874869156676	0.114214976995589	0.613178279731959	0.840926461673486	0.717884329030654	0.565006552533001	0.754859011005422	0.565842604642533	0.427714004417877	0.108975971227499	0.590172922125193	0.527579953863688	0.313040386101776	0.529766689802073	0.740649308736078	0.509559621139525	0.556955254603467	0.829599692537831	0.529112285926869	0.171305722649431	0.539893969311433	0.612446076400479	0.431924655107422	0.851799393570979	0.696367251936151	0.573611337150124	0.437384540730107	0.585153071911941	0.3525665476569	0.668233022510142	0.640108685645109	0.577556267820313	0.709338540759364	0.434952345008762	0.494002420526139	0.485107565473906	0.633760471591928	0.705324838202385	0.711502744406749	0.70936560613202	0.171422858391348	0.258821296855162	0.311932095932936	0.434842050106764	0.724911291466974	0.586493364457638	0.451606187570538	0.368749324159809	0.43480785087324	0.1004485527973	0.554389510705572	0.632473335402271	0.617970289086186	0.42496528623035	0.464131725388701	0.569184684423582	0.778611509222264	0.703999350976674	0.753468871483472	0.469168233912774	0.346639697876555	0.689432990282378	0.352873709240984	0.49749033856968	0.801439331842887	0.577365965488326	0.408221631780862	0.514489775709303	0.54000752551858	0.493620078111792	0.410869980467056	0.442915134575131	0.654324384781868	0.513215202907643	0.0937410821796759	0.0882916106955533	0.73860546427524	0.621710808636433	0.492689250589152	0.706866560376097	0.67551286052317	0.325260950821162	0.147962651724128	0.234331401526695	0.580329233449796	0.664015106331556	0.492152362770024	0.00912968437056613	0.585441990109687	0.673194415840479	0.611091574585237	0.698273551862399	0.549628456915729	0.71342853259173	0.614270618405657	0.351145059899434	0.46270653555615	0.541026981989386	0.187772142505329	0.469832062271479	0.550836669461367	0.532710121347911	-0.043082372652342	0.581503560598056	0.478857558784419	0.336243454897122	0.708557206742336	0.10671273809288	0.518548170263264	0.240877654600437	0.513210432370056	0.248793044129257	0.154076315988596	0.685144263930574	0.213291877063673	0.241776347372893
SDC2	0.425453969880138	1	0.764301252764436	0.633500041807971	0.049146505700315	0.71035270881646	0.642830092497748	0.239722457246822	0.752288907265064	0.53244497259978	0.435698327201043	0.516952461279713	0.768272375437876	0.668031203822472	0.018929581406677	0.323767064561584	0.495948954547208	0.742083689826817	0.67022619139417	0.829762590341461	0.553756795129702	0.567547155497591	0.8365719306873	0.512483174630485	0.912110874576371	0.655989325025933	0.65127876834425	0.833801482756187	0.829516186782459	0.603470077472537	0.677961934987555	0.655367603555311	0.654404411909879	0.76070299977452	0.359457500535045	0.699985336669617	0.875770230655814	0.810835737923206	0.665900091142856	0.762199970233043	0.505734286802941	0.534037774694938	0.795823426883625	0.821745967068206	0.828119260386693	0.912691676683001	0.680203089165342	0.814100070065107	0.325255900941878	0.775119634555041	0.857091111790767	0.725842409447307	0.729842725278401	0.69867420415425	0.761227468628148	0.761130945833279	0.412224128604985	0.819170324993331	0.599456968440105	0.853532709251251	0.575361947266833	0.768551196260495	0.477167211124955	0.823863644969683	0.7957502879047	0.748589042753381	0.820775961202907	0.66975786868279	0.044872161422006	0.741901874065937	0.669197413244575	0.856702540060654	0.385872132095265	0.488359628417565	0.596504207139404	0.71367658113841	0.713845833585425	0.851090112502537	0.579887570663004	0.780088255261209	0.616478116156818	0.721936375442284	0.764458338558754	0.427537665727786	0.636544160707533	0.286361861553102	0.693850053696083	0.850665825586938	0.786518025453234	0.753356183497154	0.794868911056745	0.702205139317748	0.827279420224014	0.578970688094518	0.0511935579861561	0.80080783961115	0.384794013502756	0.545157353448147	0.755562506197308	0.133269667666553	0.611641121422051	0.73361643714619	0.732429177542202	0.666272028205332	0.767026393649055	0.880665568141453	0.672609721692006	0.5838898056776	0.758343624995762	0.39372731057493	0.750008126299749	0.874767347240862	0.341010185556567	0.790637496771639	0.606470552184971	0.695860355201992	0.183075889871108	0.671938435429925	0.768225477811369	0.378926265756926	0.844667854378977	0.830795973438612	0.69579950809112	0.803919931820037	0.494194144915633	0.830012601290648	0.484308863556769	0.641242430532113	0.416209442345986	0.428996003858519	0.795452253396517	0.389547964844042	0.375141834489905
TNFRSF1A	0.601095700836109	0.764301252764436	1	0.861974759364196	0.0358581308218701	0.915478297340425	0.839053033615038	0.270254395643459	0.847652929478184	0.715371504867313	0.584703737682586	0.656667109801201	0.875350830404608	0.868722850599184	-0.0143891720055134	0.380944511054127	0.711058243966038	0.919828801164556	0.634196543896828	0.907556927978062	0.776400142547982	0.756650474785793	0.938424482076754	0.600918000301987	0.85612158360901	0.773947909840398	0.420347109374825	0.955206382508428	0.880286069803405	0.800682595211296	0.948887193263586	0.90564348579655	0.879580289119211	0.892872280725405	0.506396407649925	0.952880200064082	0.592789179480443	0.953852737652879	0.919603096845773	0.915151081050822	0.72294889424287	0.758045097559164	0.955883739587351	0.933568688554607	0.895766919022272	0.668153778905495	0.949282053829088	0.854119924135045	0.404804743766632	0.955870835082467	0.777785168941797	0.926591748284014	0.785276523342602	0.882505465046605	0.762394646620671	0.89089655802683	0.552770740089852	0.646119664592884	0.696983876236244	0.814397451114061	0.727531346985341	0.862424715782512	0.58721833218951	0.884896271959645	0.846429004464441	0.953722848282228	0.519968952639306	0.90200980879274	0.102425258741876	0.900097444391018	0.763004613627204	0.856430387341121	0.623350179916683	0.71968455519725	0.822903301633099	0.924955114523029	0.820465733657702	0.59969420117854	0.844520966869768	0.657755234404368	0.813735645476215	0.904375847354573	0.912665780901524	0.428974060768353	0.838807522824156	0.158641953889941	0.886707327271825	0.671837663922383	0.88810949177459	0.90249080235452	0.92475113844383	0.317869405591498	0.558561482959962	0.706533416232082	0.0224280108799245	0.78532775030199	0.582295323913569	0.753522543188188	0.801527560692847	0.0459147612287423	0.634703771653598	0.878009391528583	0.919032428000102	0.921848142857455	0.322750672792638	0.863753948685473	0.911355509348399	0.648343558509596	0.897773066347393	0.525731332665383	0.931333602443011	0.929992731984909	0.348807135621734	0.860584726854548	0.753501656968994	0.599737493785565	0.138431522347655	0.812164753971447	0.951947709662498	0.366206579369019	0.968872542836651	0.85265132371359	0.64264537958043	0.940280513928205	0.510861117636523	0.792797397971117	0.526635662151459	0.772305310301283	0.431515219396495	0.382836616051779	0.850134072735209	0.454243071883822	0.444201974678464
CD9	0.823168107483211	0.633500041807971	0.861974759364196	1	0.36168991569047	0.762096628836989	0.712443075431745	0.459429344295749	0.706348821301906	0.853161804435814	0.561920772987346	0.676351941600701	0.810275436580632	0.813710579204014	0.344595464832393	0.6055859460474	0.681166692834121	0.874151281857634	0.399929599153747	0.846624085012996	0.888658749549002	0.796256953506039	0.774885063846023	0.749799935692425	0.751501701636017	0.674141143051206	0.306449404244888	0.845490044217967	0.708689799129614	0.599509868129726	0.782620961689413	0.912595214706725	0.771496571320892	0.750405935677851	0.773747697921312	0.791863111993037	0.393042843715141	0.794656951365811	0.848710037466783	0.734107273182371	0.921217097843496	0.77611856094143	0.854129505279208	0.746284837801681	0.82810466787561	0.554329190585711	0.859002303795108	0.835399503070562	0.438062805695488	0.916523980389608	0.602761421470326	0.776944199122922	0.681418959851313	0.869055142868818	0.83854975094497	0.890906382779202	0.771077700591669	0.403580928752924	0.479104420608142	0.605893149592939	0.582803071033283	0.911708404339088	0.652858954667443	0.72481178427277	0.641240674276214	0.73525693174536	0.305227918383144	0.78313668404597	0.496073002152932	0.812879091515464	0.661777592664851	0.712657606140105	0.692852868327883	0.818618975456017	0.85860733914758	0.936488065581839	0.703303634238483	0.484508278699302	0.818063607377812	0.503493749566467	0.687595137120155	0.946058061526602	0.815516027531961	0.436933610955093	0.753735623336259	0.451126998357012	0.766473260066599	0.613794080322903	0.712523378888042	0.885090968205163	0.756753793427735	0.195192513488955	0.317630782214644	0.828945851597649	0.390656560066195	0.709820843327249	0.70054561277736	0.842580704809613	0.580567919232207	0.0215167935041546	0.43619144999029	0.742660169763564	0.842731881381022	0.722762750799267	0.110435344198554	0.769809956912106	0.919750796652731	0.64816738426299	0.874709248145802	0.676214075289356	0.884137458059384	0.835042259757231	0.29380299104559	0.701068621271026	0.748161691209888	0.352405325826056	0.431083297000633	0.705022827891809	0.836240263374075	0.153783963046054	0.842532722514276	0.719945176807428	0.522586718541831	0.926332759936136	0.297211836940376	0.726644922324224	0.409160612812972	0.684742623466407	0.306960878548056	0.204855508167812	0.876750751396438	0.274239581518254	0.287897595562198
GPR37L1	0.571155825431402	0.049146505700315	0.0358581308218701	0.36168991569047	1	-0.121068864533988	-0.0615643986233234	0.771077515971663	0.180617237231064	0.537925527845661	0.512257637521846	0.221995820901566	0.283101312779727	0.193352991666798	0.585738655656358	0.815983355502933	0.413409105867338	0.229368921382486	-0.387721640449528	0.0651361141845117	0.528397928116851	0.35666844392083	-0.00241338451249568	0.561456562789621	0.216247118722831	-0.016604103646306	-0.1639094568113	0.110037482335412	0.154205284866938	-0.295017512407667	-0.120706852377041	0.206828270314254	-0.00186809580801439	0.0339490022210062	0.733302283399333	-0.0764079889642706	-0.226735365266586	-0.119221022839914	0.0280941862956309	-0.0916093838846962	0.58552662122784	0.354125218379795	-0.0254405778693878	-0.0858565097191067	0.0655800611187463	-0.0499250113737004	0.197033911178433	0.126431310093631	0.647301603470212	0.141165349913249	-0.120133644470611	-0.137955516225278	0.071036024947268	0.136603756050928	0.464659714161034	0.227117048017485	0.345563088155669	-0.334990387913352	-0.311229759932111	-0.179167264901971	-0.0175750582109172	0.344535447742209	0.484737097252188	-0.0597449316437327	-0.143993468242359	-0.170272050173447	-0.253326643274643	0.0220126313927719	0.705874895325615	0.166585559742805	0.223959271962538	0.0659408322023478	0.10957580439323	0.50057560392524	0.391756425555051	0.29072035114784	0.0044060953603741	0.0358344062231551	0.152257656566483	-0.00725980386957251	0.158368778969959	0.274397977521074	-0.0122138078469875	0.180107231898624	-0.104208027338205	0.470643743412518	-0.111858250585446	0.0913099174070431	-0.0476161757093469	0.152914972151508	-0.0155586855961014	-0.0366556791014308	-0.250812762879252	0.406226872718832	0.679141060244292	0.0686290441601304	0.61702648320218	0.280067364851374	-0.202792511526249	0.537589883215785	-0.246156425473787	0.158992516977593	0.191841917236338	-0.159525638711861	-0.144730286747293	0.0627275742609806	0.209883535765084	0.14459375914675	0.232406128442464	0.42402562748057	0.186644612587243	0.0694670217330394	0.549171136321648	-0.128190999218764	-0.0488088488708146	-0.216823355124548	0.48858438791155	0.199954957194663	0.0289012875071251	-0.389467876764363	0.0478477139571804	-0.0991460776746219	-0.182043050650399	0.260408810360616	-0.238643383090525	0.00976851179600545	-0.119364882777797	0.0684697096424496	0.0156039490943602	-0.110508958927859	0.17344989724384	-0.0498375447177563	-0.067437247612587
LDLR	0.438518166450506	0.71035270881646	0.915478297340425	0.762096628836989	-0.121068864533988	1	0.94729866573682	0.133775853056219	0.827577623374428	0.496281747446693	0.526573457716271	0.670775044897463	0.727703268546559	0.902330067405219	-0.00250646827265746	0.15871216311708	0.618113270294775	0.853662604318109	0.628224377802514	0.785974150173876	0.670630738186003	0.687572925817093	0.901106003544724	0.443909236180599	0.729948367983522	0.832034725585593	0.380447829140367	0.913187022302284	0.842591807603904	0.93164573104151	0.878497433264761	0.864837813071464	0.955894176851637	0.875590203361379	0.332663911897342	0.959566838135131	0.557587917896184	0.898213468447352	0.947587311236982	0.945013133675226	0.577683005823297	0.675916294942869	0.916157957346132	0.939902652992579	0.770947030440496	0.650393502276165	0.834532934703472	0.81319144373328	0.222613252784658	0.865172553451835	0.725401758834524	0.827038962770467	0.767320580595482	0.79689091585258	0.595745463194708	0.864569018365436	0.393149140106066	0.667726394813056	0.647219398778323	0.764778137720195	0.639003667828212	0.735778249535505	0.584089723079524	0.825608203427453	0.909407400978327	0.899136009221058	0.489895300230348	0.941237980767166	-0.0836380940103929	0.884629130853562	0.784577638594546	0.792176396862298	0.557369082127149	0.585050163919713	0.820914956246325	0.861323276100907	0.871975762425239	0.474603139813446	0.842722018263737	0.558067089486138	0.82947550818622	0.776763654127603	0.90784406120984	0.36836892499179	0.830822644166916	-0.0252399363740493	0.941233494557831	0.623678467700994	0.91872236013629	0.906651341580017	0.865630268745283	0.247971229708571	0.575822931039494	0.606401665339551	-0.116042905297483	0.783155443928916	0.341092551198054	0.75112618976617	0.721661809251238	-0.0518598923240674	0.514010463849333	0.846272794956515	0.836648585955242	0.902596628360167	0.306420034742471	0.772200357095578	0.825353339752813	0.433062968998722	0.850457782962638	0.525358564600515	0.862950804762479	0.837694859319823	0.251520152799736	0.813907303395387	0.720539078464318	0.540156403114728	0.0134830470460135	0.775573846131407	0.923316358161003	0.331791422563663	0.92147449786717	0.732712090864293	0.62865353855141	0.852087830822461	0.511468488608914	0.652346470453958	0.489101840812112	0.74124598122265	0.331477453327311	0.32629173588167	0.753782977635158	0.410372974927773	0.402809113640732
GPR37	0.44573763503384	0.642830092497748	0.839053033615038	0.712443075431745	-0.0615643986233234	0.94729866573682	1	0.164938648703004	0.850296793804313	0.448823721699156	0.615710056815775	0.719038294224495	0.669943938882392	0.944609952708759	-0.0120970261396167	0.145556896003501	0.603100856606448	0.811473428008089	0.505320621276414	0.67200018702762	0.661315698222302	0.667500721220891	0.854450601977624	0.388186168852959	0.659076831596487	0.786061637141539	0.239210256391014	0.860905732464461	0.839167910276853	0.937382991366009	0.780705833741834	0.822254949544218	0.967853652285751	0.838353791710232	0.315310583938748	0.936381635850287	0.429202726736786	0.825440405119362	0.926461699167293	0.904054931784822	0.519615104138034	0.653404283919548	0.84167661645126	0.873398793578775	0.642945144689009	0.551986570196942	0.79133395251353	0.718369552631447	0.291898902730633	0.785164284451529	0.650670213743677	0.703512796631341	0.713295493307456	0.689834523226805	0.513177433958919	0.816248250348018	0.297424052540513	0.565773655029355	0.536208251529661	0.642345017813224	0.54987288157302	0.653322317995981	0.655061550977916	0.725634598128838	0.861796545550008	0.798522988368559	0.366609030752763	0.949452231135056	-0.134546670763682	0.85545881926528	0.809251064921754	0.730288521462342	0.446662084144194	0.54088977727162	0.856394102017119	0.825700816821693	0.869539754456772	0.365873331138135	0.841623449267121	0.453494375361606	0.863471122249299	0.689217263344244	0.872800005535951	0.272728167388776	0.77821105001904	-0.144302752584091	0.908618514675963	0.539093039011745	0.878224342578695	0.864415218627217	0.789844805557824	0.132011104494006	0.46900189633846	0.488013301075294	-0.100314437026519	0.73530323169866	0.297700723309752	0.701962045716568	0.619993915960105	0.0699735291636091	0.368073456944686	0.847815165570617	0.785845012232268	0.804713087871479	0.236834130818837	0.673726789078467	0.73143372773689	0.283382533955425	0.810523225819974	0.517825231807507	0.827192561968784	0.736350312218297	0.363533505737196	0.708605659393377	0.624815800739018	0.42748346964029	-0.0512284562245428	0.761459246153073	0.854059461163988	0.225911004023005	0.846979046946867	0.58885188758629	0.531746730400926	0.778045224003203	0.428450350704465	0.508612107145248	0.387937537954044	0.672822217861441	0.248015126763997	0.262675546115111	0.641332141619179	0.359797707419241	0.346007233278745
LRP4	0.581021141058345	0.239722457246822	0.270254395643459	0.459429344295749	0.771077515971663	0.133775853056219	0.164938648703004	1	0.398469998125277	0.595940647221029	0.590471511031825	0.3778553140842	0.474310070610025	0.386709176306266	0.488119143994776	0.782618580483463	0.534699443157625	0.414526969232611	-0.170774463482099	0.232401131481358	0.597217552739284	0.486202536840088	0.229977485390437	0.581200019181449	0.400092678113373	0.217807420347593	-0.02640612653371	0.327142383599343	0.356577237332253	-0.0382925530978518	0.0946454357600084	0.392416854179517	0.201689749734884	0.232069977357501	0.719123411491463	0.16223163951375	-0.0313403932829991	0.106606278497585	0.25027604487486	0.148968169817489	0.581841972351868	0.504120437468106	0.17541001185635	0.164231779782976	0.249214427318189	0.139810991878678	0.384178986260147	0.270162940723428	0.722930213045879	0.318303677154632	0.0794146920419027	0.0817765125751849	0.234704087257863	0.346650617353119	0.543238427987976	0.387243382407317	0.268139291509061	-0.103923974929779	-0.0648718817207748	0.0384011838851039	0.175865624655648	0.49035829531267	0.559407589754344	0.209786927660311	0.110030170803712	0.0822958907966671	-0.0639501703993522	0.220262681022068	0.582390314987	0.345363050616339	0.371843536828721	0.254076185825885	0.319213767197382	0.629465126090976	0.540971352327285	0.453713695635053	0.167608769466995	0.182364178712097	0.303519533345805	0.18853881239018	0.375485502756311	0.399882169738395	0.213023717668039	0.226882040508586	0.111634033975003	0.326004512566489	0.15891802909267	0.2678148115231	0.205513071499689	0.321671352429949	0.213427509577713	0.0468483089302427	-0.0161359166003044	0.507564675291617	0.467669157449366	0.219653850216599	0.545600996170046	0.414802451833874	0.0315082265879108	0.492488178899271	-0.0497469981934337	0.392126153859929	0.37061014166497	0.122836286049756	0.00641541236738078	0.233579955856407	0.362137648907795	0.251667517169657	0.42747071572123	0.449718588635251	0.336957258815176	0.277681427860674	0.588135947266084	0.093760374045625	0.14259643391972	-0.0315711851375429	0.281562514788392	0.382183701651481	0.273870069898266	-0.24479807979336	0.274563990440088	0.0936638379640817	0.0228682676689167	0.420097811605127	-0.0831177414351887	0.156610247164227	-0.0560943416291593	0.217663557062237	0.107840203166489	-0.0056045591953717	0.316672080643854	0.0644574286850408	0.0389453381845022
LRP1	0.542817381597281	0.752288907265064	0.847652929478184	0.706348821301906	0.180617237231064	0.827577623374428	0.850296793804313	0.398469998125277	1	0.561702683291613	0.769248228831554	0.728935988400548	0.791094593693435	0.904786212181293	0.0359298009258448	0.365211109384806	0.77957725727853	0.856099230174296	0.550369013579568	0.686551420080617	0.755445416653038	0.770358975666058	0.911839455381078	0.547564021360853	0.829417512888215	0.795529492383994	0.400329667679645	0.904598673837774	0.950668157277888	0.794096776781381	0.753863232366257	0.787794456612633	0.838780614607269	0.890428835754041	0.427999337357761	0.878681608974858	0.546246233830738	0.799287144564851	0.82971277727317	0.881153907493878	0.592219035991503	0.685488278643154	0.767797012851	0.8650871358282	0.709891191381209	0.632099127236936	0.83996185315712	0.71804151271383	0.542438170782711	0.804835621698036	0.745660367281008	0.674343942985226	0.775263162608953	0.663339616115754	0.672784798414351	0.835600956362342	0.294536031997301	0.628711875299219	0.618869687360389	0.720762441495829	0.636979952059499	0.710016099342271	0.719564893712492	0.785132654133416	0.84037180353337	0.781638521001226	0.512025263865394	0.899661486674589	-0.012222596676168	0.885458459343069	0.795003092294917	0.802938794121147	0.408501351125843	0.676679914056511	0.842009905618535	0.839211523528949	0.866948941940892	0.576155714259683	0.782192355233839	0.620348392065425	0.903643017595183	0.73907378500669	0.827141943947981	0.348168803977223	0.711207955622209	0.0317442340521635	0.782389092917984	0.708287595448282	0.859643323567821	0.841265747730611	0.848203256457874	0.330468398927779	0.614926346587914	0.578096839920996	0.0241709644603782	0.801972979803183	0.509254078016947	0.627925428653351	0.717553663360432	0.332755814292649	0.502058632408862	0.939804006252927	0.796127118865318	0.78528381073378	0.42675200501266	0.752493910235961	0.739133786046509	0.422503671411016	0.821714240856512	0.593494669860723	0.880239712493492	0.813409682514638	0.620933826783464	0.757447631399806	0.651264477081815	0.575278332385833	0.123598232723022	0.902916855045483	0.860146379861841	0.340007683768409	0.861681841772569	0.64366110160229	0.609888159612984	0.825947540069319	0.497910366791705	0.5793461447046	0.439372600497436	0.659712427118193	0.385814113085409	0.352502319609838	0.65917082811232	0.42041437744772	0.389503196045668
RAMP1	0.857869077684401	0.53244497259978	0.715371504867313	0.853161804435814	0.537925527845661	0.496281747446693	0.448823721699156	0.595940647221029	0.561702683291613	1	0.603442189199717	0.475204037159402	0.822027625448137	0.642728695244217	0.226810917866749	0.827080922593525	0.655519785113957	0.775170973906064	0.168106560402625	0.734258620266741	0.851223953005312	0.710460853815394	0.621094297591936	0.746692127806517	0.69429247279795	0.443556324340482	0.151207070114071	0.675229106846887	0.598764740756018	0.29132774696812	0.592897950981464	0.756646467254233	0.54033433131693	0.555791430531069	0.877581224569902	0.58311193000557	0.257998387137471	0.620489894451569	0.636655175053777	0.481262082957555	0.887852911617667	0.718911067336459	0.688333928495507	0.520053010414214	0.719130100041531	0.408400434382139	0.777411323269425	0.68330598713419	0.619164070549004	0.778853005878367	0.451364849298188	0.632948349834088	0.489214003294685	0.769427932019175	0.84216214469824	0.722363563572151	0.706206158399201	0.210410093280228	0.296891320123537	0.433106411369933	0.467274796904985	0.829872758120124	0.565871594643036	0.577793268051935	0.387631316818596	0.559017574513237	0.16454650250828	0.563131865261447	0.5939005661754	0.648831089233167	0.523176180675662	0.588143315014486	0.583087596958077	0.825911089575542	0.720720625495993	0.803991523632426	0.484908088412374	0.440488646837009	0.683855258329434	0.467003922414033	0.515986337292227	0.857574703641524	0.628026736537263	0.414628092164679	0.49305115246617	0.4900542725579	0.507404298538432	0.460265798328933	0.497133317363748	0.688884805986128	0.603971770312936	0.1704237716361	0.156784582001277	0.775451381794837	0.452713523372937	0.490658782951852	0.802135222905806	0.681691515571877	0.424553582380908	0.162660607406947	0.32435185768238	0.624051288461841	0.78465533886015	0.556474495455222	0.0756986320219642	0.655398824466217	0.79389537794626	0.621450836012698	0.762061865760052	0.498041787487166	0.73754631539869	0.721319053601913	0.397386515148331	0.506103320277459	0.495077654646299	0.243041313168242	0.435783947160447	0.563914128478334	0.639232672639686	-0.0222336026043946	0.688923624667685	0.606261782031994	0.286360369975388	0.807318357081478	0.157308219236816	0.660631632562118	0.29515052599656	0.545931440710893	0.350038222981412	0.200406634477779	0.753346519848514	0.255630028992389	0.269134941837523
