""	PTPRZ1	SDC3	NRCAM	NCL	EGFR	NLGN1	NRXN1	F3	CDH2	LRP1	CD63	SDC2	DDR1	FGFR1	NLGN3	SLC16A1	PTPRA	TNFRSF21	TSPAN12	GPC1	APLP1	APLP2	NCSTN	NRXN2	LRP6	PLXNB2	SDC4	LIFR	FGFR2	NCAM2	DAG1	LRP10	LRRN3	NLGN2	TYRO3	PDGFRA	ROBO1	ITGAV	NOTCH2	ITGA3	RAMP1	LAMP1	CD99L2	NEO1	BMPR2	TNFRSF19	SLC16A7	MET	ITGA7	INSR	MCFD2	NOTCH3	CADM1	PTPRF	RXRA	EDNRB	NGFR	ERBB2	ADORA1	NOTCH1	PTK7	NRP2	AR	ADAM22	ITGA6	TMEM67	CHL1	APP	SIRPA	BCAM	MTTP	ROBO3	ITGB1	ITGA2	THY1	PLXNA3	LRP4	EPHA4	RPSA	FGFRL1	PILRB	ACKR3	CAV1	CHRM3	CNR1	PDGFRB	EPHB3	SORT1	IGF1R	ANTXR1	CDH11	IL17RC	F2R	AMFR	ACTR2	CD46	NRP1	ABCA1	RAMP2	DSCAM	ITGA10	CD44	CANX	ACVR1B	MCAM	NT5E	TSPAN5	SORL1	DCBLD2	GPR37L1	GPR37	CD47	DIP2A	ERAP1	PLAUR	CD81	SCARB1	STX4	SMAP1	TNFRSF1A	RACK1	ITGB8	CLEC2D	CD74	AXL	C1QBP	JMJD6	CXCR4	LPP	TSPAN14	TFRC	GPNMB	TREM2	TMIGD3	PLXDC2	CD68	ITGB2
PTPRZ1	1	0.715559751317435	0.778484858037711	0.786372094527598	0.780198061965537	0.921441981999886	0.80958848687359	0.856353312725223	0.935979569466112	0.910872625162389	0.727130718253173	0.739679976667249	0.962013603889264	0.853896581440185	0.811199242324067	0.678115557998304	0.903659126460929	0.863875886244125	0.665440416144818	0.710465003738946	0.81422680517343	0.788633341250306	0.789844400436456	0.74085110365019	0.821138635164928	0.765400263479922	0.434853790436296	0.762354353958261	0.776290597226466	0.858346355922545	0.936289225266863	0.742294271335706	0.874528508449198	0.755243839536186	0.782858596080419	0.703005151234044	0.774781212783592	0.810385215203422	0.76067000955003	0.577864332837979	0.75129633506502	0.801843190915541	0.7579948430265	0.83118400362717	0.739865111571317	0.769055312832296	0.880912983339917	0.688708353282421	0.845332702100863	0.727232182846132	0.758527466148254	0.582733012869802	0.893331068799004	0.686121459638229	0.687334975489453	0.601080883601434	0.326398378006667	0.720238979706835	0.754386512550929	0.779367993813972	0.830371609780528	0.684472894000382	0.895989229038703	0.520697384080379	0.773379507307081	0.773177733356294	0.937611038628066	0.787203040653256	0.784567325857652	0.623222324393414	0.816472315904663	0.738629819245675	0.577714320439119	0.713464033723556	0.52577153331029	0.696529873837668	0.804273738737883	0.827371943087282	0.611658103310604	0.820187343355507	0.883431513182981	0.832924956738945	0.390898236340727	0.808681878587939	0.764436651974585	0.564046438236352	0.562761672835328	0.773714895414254	0.755224674058593	0.804914484783007	0.604225446493919	0.826519931432238	0.738135151961858	0.68576008606488	0.704703058993565	0.71189075293686	0.526143674665007	0.809373377975553	0.525607649804915	0.470886850532631	0.727166578749959	0.6044236100975	0.810135643828469	0.666457341013395	0.602570385356504	0.542580424493807	0.797686213934569	0.332671112083293	0.572614646557268	0.831660370149988	0.869398985788653	0.688290157318801	0.719549700866545	0.817946980923881	0.161828048939023	0.737260259534938	0.567304533943517	0.606629965400874	0.789886044077868	0.800122728585594	0.623078622688985	0.916102531221976	0.571223977354671	0.13659354512255	0.455858175701181	0.752821035647522	0.49807139903536	0.152310824330286	0.747467200639487	0.542740696130461	0.267443013926823	0.16294016294191	0.0544066391165313	0.111131799110989	0.184092083891092	0.181234539666453	0.160231012367193
SDC3	0.715559751317435	1	0.833487836622892	0.760776911967802	0.508800265586838	0.790731345519667	0.513223528371124	0.783516335678551	0.833135921323262	0.771413824319831	0.765902090798937	0.644827336030883	0.771800283142312	0.848720552021394	0.74362812693754	0.767158006220165	0.804229959691864	0.799501985968047	0.633877786037359	0.815458385141214	0.794292083948061	0.770266170198967	0.651043149177082	0.64301945217387	0.671332061290942	0.624668060019325	0.724331021282656	0.670079142458008	0.506837565177522	0.732649156484093	0.79631989239109	0.68261483201801	0.801811231845355	0.597088554560188	0.785781869262217	0.601802715981482	0.578766330935794	0.75041921317738	0.645688384787195	0.817283154870325	0.837098130581069	0.689488376110884	0.84148081920689	0.789097191601528	0.562650867322115	0.634104053738004	0.740199328667517	0.688329877898657	0.692933835773995	0.54438963025018	0.648426499257961	0.437072844512416	0.780274799610678	0.798336076031713	0.543742592673755	0.516571604456956	0.435024325315111	0.83504675177137	0.79622478408566	0.676543557714525	0.706128956410041	0.70103507498126	0.673362037033774	0.261066597363571	0.65722810208209	0.825642015002137	0.759530747974848	0.698800724407191	0.635192329402106	0.590382277847409	0.669785619738751	0.560072268898186	0.531200975401232	0.65127082763823	0.429750292137336	0.716477903344483	0.643358341133234	0.781322297195143	0.717042526359791	0.842378661286534	0.714131312855984	0.788469228893754	0.555748637591054	0.648432017968485	0.817620347766336	0.416650957250998	0.623584360141655	0.662667973489167	0.738565754597517	0.743875697136339	0.570048971396628	0.637336140069356	0.597266410326657	0.721373354275592	0.710312672354284	0.653334490572043	0.657273408542442	0.771255731066864	0.588899666890453	0.310511396140902	0.463654968354882	0.757921953431191	0.792103534586361	0.865638113548167	0.4349822023543	0.739501446164282	0.751474470208587	0.296886925243236	0.595391531775412	0.651965588478519	0.703271895868608	0.605746484460544	0.630076603966266	0.589283880122829	0.208269227445491	0.676086724891671	0.605067713507846	0.530356768692226	0.732495535777332	0.782244530253963	0.682784208274937	0.830101002102818	0.449585148356992	0.110721377322117	0.416851618848473	0.761712959069164	0.402301866503874	0.1711776867409	0.600823370165346	0.387979902148169	0.147596224742032	0.141053534972691	0.0574589624622177	0.065238393732782	0.105393390089291	0.20681607651396	0.12484431672372
NRCAM	0.778484858037711	0.833487836622892	1	0.869992220873812	0.468651094387807	0.881426788408593	0.376903325617159	0.918075139404747	0.917377706291641	0.882850968039081	0.911639418609079	0.823169634353741	0.814730731341586	0.88407874348643	0.683840532931759	0.777094963574435	0.929677558896789	0.903447695288058	0.449119199805423	0.951403609641951	0.937306529108164	0.92501388041101	0.880041820571403	0.664904961813587	0.80605693612748	0.87566411585916	0.77597159287854	0.809594778861997	0.565827221337643	0.771451992238232	0.866768798606072	0.89434081247592	0.783038544428537	0.797008624381166	0.803255727930776	0.627704658360604	0.664339805916732	0.897159453404513	0.807910321708183	0.901430146925912	0.877678641005185	0.883861962945984	0.920115686706833	0.890799604499879	0.79690640000687	0.741961357063191	0.887942945264533	0.854660266773841	0.90450896658959	0.727627216636369	0.87906894511118	0.679132659029837	0.872903644014143	0.832857780633333	0.713860431480606	0.31606022559278	0.129867794059864	0.833509766010514	0.787938942610858	0.777152185489528	0.839944585297991	0.932292856964624	0.755251358582684	0.466542520102108	0.837087184204027	0.901843236300849	0.889256837918771	0.90639053475889	0.850427643451818	0.780643314556653	0.795182577845629	0.65864843430541	0.781588318254144	0.887650793109772	0.659693931262115	0.823853984716319	0.542694439324555	0.863613234451112	0.831822423216997	0.901848153543286	0.848201879262944	0.770373878624562	0.752806394197654	0.834039607480252	0.931515889132153	0.663305806327189	0.374895625740479	0.871163772567525	0.908579697705242	0.809037478265118	0.803209092733487	0.825449194680717	0.842257991606524	0.90223806272225	0.884496568866996	0.876241020865874	0.846770134239792	0.919566869800513	0.739662144463458	0.259734188450899	0.703021556544803	0.912064374421816	0.931589543413817	0.932951143861874	0.63180496732742	0.783757646459407	0.91762112153979	0.505054839562659	0.84025765795505	0.530608121045536	0.892882842634102	0.800764617554595	0.782760333534743	0.798700508216891	0.365687912287934	0.86528991881668	0.828749864681186	0.7278392784117	0.852620462783147	0.952368915909143	0.856827105244969	0.829814983726971	0.597963559993186	0.297724501042558	0.651889053990899	0.875618370309008	0.598995165046384	0.352979911051648	0.85876212397279	0.654793741882853	0.353174284596274	0.29540003027487	0.209727417583471	0.236681390762438	0.312926683965892	0.375177404231192	0.333285058470118
NCL	0.786372094527598	0.760776911967802	0.869992220873812	1	0.596400497304691	0.891255483846439	0.494804830446144	0.825307618609832	0.908849753913622	0.823644540003745	0.968248139662432	0.90588545952615	0.794811956319508	0.937234452701074	0.805582426015429	0.857217430442843	0.938476361005736	0.931243633135214	0.657545791547129	0.843917013246443	0.883949075629233	0.959263511750498	0.822744890581675	0.612111603419342	0.839996354129177	0.829481954012081	0.747028751315896	0.721715278129776	0.543364444664298	0.753999388398726	0.843645186655292	0.920506159301252	0.83522309747855	0.780655369630092	0.716423188294122	0.786757266343073	0.753999949800094	0.943365533264164	0.883833726879111	0.807969654227606	0.887408290567922	0.941157310796031	0.907646893955203	0.860913580650559	0.883896005046947	0.621215835665289	0.893891639679737	0.76492325201625	0.851325107537456	0.849538475865874	0.916847264597708	0.749913506881165	0.934755121274764	0.696436429552322	0.782033164678138	0.39515446595264	0.274704982879306	0.759645480415165	0.750770228401514	0.807043721446713	0.848535470024781	0.841237468148249	0.827552239635217	0.467517231070825	0.797878875805534	0.857325039184051	0.864148549012356	0.93235883914797	0.83097546081141	0.85232649855514	0.794771979700493	0.570145082772379	0.8430736354932	0.888885444153134	0.766201904199398	0.726252866998487	0.577697143170124	0.872671357219773	0.944995486236363	0.772791583723354	0.874178871295001	0.780676628432361	0.742607893024514	0.716020234499239	0.846574708392323	0.678198274712131	0.406946623999106	0.871841156914817	0.86933759374414	0.892696035155141	0.820648831559806	0.87291989182478	0.890968069899379	0.8912878068492	0.921043386547675	0.91043627248306	0.849964692361139	0.915603581841512	0.831493740695847	0.448456120617156	0.702864700123657	0.829745047543553	0.958187021603279	0.772547411646564	0.742967132812109	0.820482716854363	0.945869710774648	0.52708813439641	0.834349741439896	0.577772780501783	0.85227518501046	0.921053888644282	0.860209157418284	0.82525013357613	0.389205210529674	0.847824670544132	0.727213050787913	0.761672803667836	0.961267301131599	0.941305943534475	0.936593514520916	0.817778077322544	0.75305557195234	0.396380397684639	0.728225832549053	0.978762403882132	0.694976146591928	0.480421026396654	0.870491984178497	0.703414893752968	0.363332352527625	0.324639770973931	0.255841044384952	0.32356852971405	0.366810923095773	0.413685673229416	0.385377486825335
EGFR	0.780198061965537	0.508800265586838	0.468651094387807	0.596400497304691	1	0.715898241977071	0.812586400986898	0.574704019612878	0.671176382096901	0.646254083447891	0.524701826267645	0.4963199227766	0.747283955132581	0.685769054504572	0.761961402934055	0.563688730364401	0.659155341228986	0.623397653946337	0.669050572021365	0.420522826998752	0.581528687205542	0.596843994801192	0.514505293719456	0.723455398120912	0.719558584957204	0.477016480016549	0.254768981493782	0.466468210503099	0.514006487928248	0.674732724401646	0.722935504771763	0.504581316943561	0.704199820335142	0.522909464417079	0.603356922020499	0.753781944559923	0.668245547647399	0.556996311256905	0.649199873332877	0.332935111239488	0.50660900288595	0.597436038909499	0.456063694145154	0.582046890973266	0.542028337935016	0.58364389411364	0.598148195804294	0.345946997245281	0.579162744831002	0.614458906274706	0.567045051624722	0.431055319940357	0.732505507167739	0.373704305650898	0.565777457158213	0.611612969558343	0.494663322015121	0.452073184850548	0.505131069534256	0.621208278269112	0.562057129280993	0.429490243071951	0.698996668825559	0.528211986907492	0.538999562800997	0.520790089830581	0.627101164799008	0.562514305044078	0.5265925871767	0.491801337158302	0.543367198688958	0.647406690964581	0.422799060459891	0.527521160740957	0.436666334473042	0.40090456451698	0.703920636987986	0.626057444269323	0.468080832792639	0.512896147739868	0.651930300997793	0.546676422714176	0.221717042622617	0.543285990009447	0.493511075831015	0.378991662090122	0.55716893752822	0.578225496143733	0.525748828234865	0.683128957948638	0.435615600938283	0.61626226315432	0.573690948575995	0.462848474359898	0.481593428350015	0.487971571853607	0.336977125773617	0.574687062468633	0.408791415531716	0.792542903499344	0.49119732048576	0.295647601297295	0.613900900697159	0.367997887288721	0.461833099274351	0.474748482874259	0.605434842757126	0.15575153341592	0.40967568513504	0.83164015596397	0.611614469902199	0.570891549286574	0.54390273252817	0.563779334693895	0.00889561479743396	0.504737481603164	0.304633715596486	0.431172905842227	0.660058765117006	0.531997979036103	0.453947142665961	0.745461827556136	0.509359931319761	0.0198314034508585	0.21561882923304	0.562491400737054	0.410225088048232	0.0139241378131493	0.514849379587476	0.353598934989762	0.081981888451788	0.0485963706350692	-0.0185566911869201	0.0185154370023978	0.0735582328950281	0.0658970061242391	0.0459184959121133
NLGN1	0.921441981999886	0.790731345519667	0.881426788408593	0.891255483846439	0.715898241977071	1	0.639149314387228	0.886244338689647	0.958578406037135	0.92473457761969	0.862479031422423	0.840014709392349	0.933978645503787	0.894948555164007	0.814750244960875	0.776439759078936	0.958466668481657	0.914145389998989	0.600679060337135	0.819314302614917	0.918387922820125	0.91425776777392	0.902370298173948	0.709782851514996	0.920572830288145	0.862882164583996	0.597112611628145	0.759799063941497	0.712306874388405	0.845241316225507	0.923063028700863	0.881861974870945	0.831537337177909	0.804780304638204	0.803590253709781	0.757363015297029	0.780215975722419	0.892054092420606	0.841096979804579	0.732955826702632	0.820734863797366	0.908910360041653	0.850604038112834	0.914564354129279	0.805556066213277	0.751368016194226	0.920626855341557	0.749357615291737	0.920587847830849	0.826744108680492	0.874679467534375	0.693875110541659	0.952185538789625	0.719620024459032	0.797469850883578	0.435660105715409	0.262432914973898	0.759574521842241	0.738366806084787	0.793352409194686	0.874581194960209	0.83879651186921	0.860429767583538	0.495036711750466	0.825864613787471	0.882242104390628	0.936186727588297	0.897016615022785	0.880255926348536	0.766465775107228	0.826635396931213	0.770790654776884	0.740336867588663	0.858665531214852	0.65590735329709	0.778746903509358	0.733121992932753	0.865182619391191	0.775695902835165	0.84489262577031	0.925843949582027	0.796541607701797	0.575462178914905	0.83734603203607	0.87578283052187	0.671281770836582	0.460500152079102	0.889373309304079	0.872973508409024	0.874070110998308	0.746952398433419	0.876381026325538	0.859544606825734	0.809096488788035	0.853008808304678	0.83298754684971	0.725057054784515	0.905722330497899	0.673049546586638	0.493546816633426	0.715516725908796	0.757109497046908	0.911064672068747	0.796156615734549	0.6989750677666	0.691650358576804	0.911050105977271	0.479550040123919	0.752979409546477	0.736540498686065	0.933913545454342	0.824135463009696	0.845831962899324	0.838805251061346	0.301464644893305	0.843356198539175	0.708826658553158	0.753111182923803	0.883854949489581	0.89722445012278	0.788777734366897	0.895832214021062	0.610992499927994	0.270320189065681	0.600429787761088	0.867450831751632	0.624349137906483	0.307399682454574	0.850076452516936	0.649890394287531	0.35596593191675	0.273454612238703	0.177818447069991	0.228415833049205	0.302095766129763	0.325793118361099	0.299958674159236
NRXN1	0.80958848687359	0.513223528371124	0.376903325617159	0.494804830446144	0.812586400986898	0.639149314387228	1	0.499461559701771	0.651704731696885	0.599272343648036	0.372493739062429	0.417153860510832	0.744941466343682	0.5993108098445	0.735148589442832	0.494778267170846	0.579623389487115	0.549945735469917	0.735927910982448	0.34352092955507	0.42296579253872	0.41914137926972	0.395511876382193	0.576683183816737	0.514560386023066	0.351852931771667	0.143679007087098	0.455858228040528	0.630521363114633	0.676312148836487	0.677418922224134	0.328217023422954	0.691440264872933	0.417245809854428	0.520133496434723	0.605483042530685	0.624438230069977	0.477365472035211	0.462025808725413	0.233057923737665	0.464069331924193	0.439203170967442	0.398573901624081	0.508395972161998	0.398846329844447	0.524339715878291	0.556020004333497	0.355993910713293	0.449359340726638	0.43215079603723	0.36821389592837	0.2420228406186	0.610835858859331	0.389128433849484	0.390174500919142	0.778120282485918	0.598239195337793	0.49188804839264	0.569708422248272	0.504122044810255	0.540877624334524	0.235254834574004	0.681336066469091	0.30448142324704	0.394997049020404	0.462032698316172	0.622127804213473	0.393310977784135	0.383088268771679	0.277606332684403	0.561295367917211	0.513137441874769	0.18347049872425	0.314295963351844	0.202272000607137	0.353073023105517	0.793476403520548	0.556587204557154	0.284769626976922	0.508114213141993	0.598419910244967	0.647245174471221	0.0233715541878472	0.446951279661139	0.390682333002832	0.20240939717827	0.687210569490151	0.364603356854165	0.351955251943765	0.55026815074456	0.226524279543992	0.521580339708555	0.377368450360627	0.292517701614868	0.312630728823687	0.321874030033078	0.129979706928023	0.438432925669813	0.188854218840051	0.536679390983917	0.403825615237977	0.204112481003356	0.471721057280542	0.296505479816423	0.294546628531894	0.320818411096083	0.445965031785842	0.0124464001376225	0.167435112212724	0.83778644479423	0.490661606157311	0.332332199761801	0.436596572295501	0.5047290398932	-0.0830725621442106	0.352910235291269	0.130774156953691	0.254710221971607	0.499437206270279	0.421017481770329	0.249240345282961	0.705765324907153	0.364501713166262	-0.113181776307452	0.0828425061486902	0.443572645686405	0.244700177135391	-0.10660198366383	0.349101081928118	0.163182724949913	0.0185865856963181	-0.0689800179149883	-0.164259827741625	-0.110956509185354	-0.0780365893701182	-0.0940638102758155	-0.114764953945431
F3	0.856353312725223	0.783516335678551	0.918075139404747	0.825307618609832	0.574704019612878	0.886244338689647	0.499461559701771	1	0.922098333235508	0.922430647444895	0.83395888584733	0.829125693011129	0.873587629412261	0.881910784176593	0.684641141055787	0.715455654447588	0.93679231989025	0.918343240075324	0.516647144577638	0.903400624921582	0.920095397645047	0.887061096946796	0.845915966513022	0.742085770839553	0.821557720623724	0.857713270034509	0.676342435740811	0.835473308498754	0.637940938351331	0.818223644668246	0.906961585591334	0.848578004171563	0.852245849846889	0.844417649371877	0.874544707551767	0.664676178118086	0.683516988502424	0.873566757413602	0.814717638485059	0.80270407870747	0.852623290073642	0.858423796594992	0.87269618950523	0.875729968874102	0.812446506012408	0.824820135455666	0.88789219975652	0.795487607619611	0.903687459040604	0.75105335853378	0.830698874470806	0.726536566417748	0.874465653200909	0.811727599426507	0.701404110058069	0.476701776496627	0.178471838299733	0.801417374867291	0.788705352378859	0.87143013941809	0.818619402165919	0.86600079150441	0.801374386187715	0.58013790424416	0.89697809408186	0.878130824594199	0.904937052350967	0.88930955910598	0.835489916013235	0.785847412862213	0.829235285678088	0.69532651698533	0.753909374595492	0.830868504591835	0.678622593505484	0.828480585800939	0.643271950961914	0.88101185652649	0.759642959796148	0.917658713500327	0.878192782699064	0.799189859521234	0.660349018555654	0.80713921969295	0.861263914436436	0.704931763895312	0.456194267379622	0.875830885542077	0.836552689103704	0.833970490536159	0.797884113780797	0.810385424776616	0.850361044664034	0.839014424697384	0.847822395432071	0.823353947692656	0.748736255171865	0.919244797937647	0.708540818145129	0.332934355802613	0.82495397473314	0.841565923452757	0.895015847404956	0.828951737737027	0.687780348370401	0.686755505949037	0.894091951311934	0.469547410942539	0.745450243439403	0.651430367791675	0.877798377543605	0.80203460893045	0.763594980329725	0.829016681036366	0.324129181745443	0.873678568094161	0.790895066263211	0.712158234299367	0.844781079576278	0.906651764460794	0.793381128866813	0.873036699063678	0.628970339492562	0.255584048402471	0.585121070186215	0.812998558818653	0.584427354487552	0.309840236379243	0.858162090893157	0.683407974685941	0.377576075922287	0.267778006193962	0.164500297784786	0.189810773397547	0.28936173103366	0.309346316810071	0.287833364047661
CDH2	0.935979569466112	0.833135921323262	0.917377706291641	0.908849753913622	0.671176382096901	0.958578406037135	0.651704731696885	0.922098333235508	1	0.938918972188659	0.878258987866149	0.846557451315313	0.947950334028552	0.935627143271614	0.83548506752021	0.804453899138926	0.975646424480045	0.956254909029875	0.667372957343074	0.86227849794228	0.920577408018007	0.912980344004993	0.864048965833144	0.723103460197748	0.862171724384366	0.844444448522052	0.651782189679989	0.807157836719269	0.70997608059878	0.875043750370667	0.938029748748388	0.853585332992187	0.904453025577652	0.80609055887658	0.834597034231764	0.743990626767105	0.76195812525823	0.915328887551412	0.838626851685948	0.766070404182288	0.886640241698135	0.896397586365908	0.90169267667698	0.904512132596528	0.819229468564496	0.761292920498294	0.950037004068344	0.800247578617372	0.901197904742662	0.763004942298173	0.856736101361437	0.656781372679902	0.954528638782571	0.786046506217955	0.720891569163275	0.526101334516415	0.30548909851382	0.814635302580241	0.839627535420839	0.840953660661912	0.881700671989219	0.827414546248992	0.889781347918324	0.480334987312353	0.827416971136155	0.888267951351275	0.968077564518437	0.890777496204745	0.84444518208742	0.737544894307122	0.873735906301178	0.706908729390563	0.710801091729884	0.829481054443697	0.626111085628012	0.781416667357986	0.752080587066675	0.911236476515901	0.795234961337377	0.90306923120161	0.925360474847042	0.87523966302444	0.590384930373289	0.845647735768675	0.884684757798817	0.622377095012973	0.550483208850824	0.855356329020865	0.870292259616237	0.874215061660505	0.73582656808022	0.872899109505433	0.825172018978734	0.82226958068112	0.845790124475476	0.836674271924916	0.713905770755181	0.910150889142539	0.682102285385195	0.442652152672266	0.734820267880232	0.800108417025055	0.931136875542428	0.824507251312443	0.643235284804261	0.701447098172723	0.909385555236345	0.448195833636497	0.715335315001628	0.732718219980923	0.910992897184696	0.803825090840817	0.822652955737675	0.865163757363188	0.275175989654373	0.833470612586975	0.70287701713159	0.71198162644289	0.893637350618147	0.925362613101538	0.798242510551798	0.92835300173723	0.654751385828092	0.249257294927579	0.601303572384419	0.89190863426992	0.600967353953885	0.305158106686328	0.834236212841389	0.625567168294954	0.324403676143434	0.242231937192399	0.146180696984523	0.194904473407829	0.265460763648905	0.294638463460603	0.2659232240519
LRP1	0.910872625162389	0.771413824319831	0.882850968039081	0.823644540003745	0.646254083447891	0.92473457761969	0.599272343648036	0.922430647444895	0.938918972188659	1	0.812415521595735	0.802269763288608	0.926483040767296	0.875343209431813	0.720151161967662	0.678087088175654	0.939074093620684	0.901365270998468	0.515107851577853	0.828309053599054	0.897365681317616	0.876342740838002	0.889895561135803	0.73085089913661	0.845826042043449	0.892006955579384	0.558687184429277	0.800840379965318	0.76586504875086	0.825358832593893	0.925584975704537	0.851301500773642	0.843647632831526	0.829735576722436	0.816252996706454	0.653654920110402	0.787346014028184	0.901719833460629	0.845575999254389	0.72376987083128	0.793397582079064	0.89635878779203	0.840087655414963	0.882406591973064	0.8221958373316	0.802635491372143	0.89077679619898	0.757038340471334	0.919499879650572	0.772612007866857	0.850404100083848	0.697861371678079	0.902155933100464	0.753269637999899	0.789146931559356	0.496720410525968	0.179008141487888	0.763084793316045	0.763156251441883	0.821526341601062	0.867430424284943	0.851352618560284	0.854520608917388	0.593463830837375	0.905457039307909	0.823634345020143	0.953399993587008	0.872500193207208	0.895045823153438	0.738010254958774	0.826396824954853	0.767659085553624	0.73361275472155	0.81260503296137	0.648501467270131	0.825922308364686	0.733328465230218	0.814510508992668	0.719887793776613	0.878366191621794	0.893703445089803	0.80824558040478	0.561681115505485	0.860639309544432	0.861139669684314	0.703396456571427	0.483088463215609	0.891634575334708	0.848606121361938	0.859609329847717	0.743080291564014	0.852496736916319	0.824824127633737	0.790186324661101	0.856424976951814	0.821215902544923	0.710253665725542	0.928090132721683	0.647406067027585	0.383920744462392	0.781066897621327	0.754324540103225	0.87487908532249	0.819066997594473	0.691914860668126	0.623971559992351	0.866332238229454	0.57366650321028	0.733456436644556	0.716917043160664	0.92096392874756	0.767702175373968	0.826572916481748	0.881556040423702	0.425351801847493	0.903764718998778	0.764533421158419	0.794906480260339	0.834488727217314	0.887123420869444	0.763269144568561	0.901069837763191	0.615669903355981	0.37418287688432	0.650440202976655	0.79404976239621	0.641440666729438	0.340853107007538	0.847617284061885	0.730683173462994	0.488477783777222	0.408696553166619	0.305474467507276	0.344173672307567	0.427599511548218	0.43014341670958	0.415185481536422
