""	LRP1	SORL1	CD74	CXCR4	KCNQ3	CMKLR1	ENG	NCL	TLR2	PLXNB2	NRP2	ITGB1	INSR	APLP2	PLXND1	PILRA	ITGAV	RPSA	LRP10	PTPRA	FPR1	UNC5B	HAVCR2	TLR4	LAMP1	PTPRC	ACTR2	RXRA	ADORA3	ADCY7	CD81	TREM1	ADRB2	ABCA1	TLR7	CD44	C5AR1	CD69	BMPR2	C5AR2	ITGAM	SIRPA	LILRA4	SORT1	P2RY12	PLXDC2	IL6R	LILRB1	RHBDF2	CD63	CLEC2D	CD47	CD4	TFRC	ITGAX	C3AR1	TREM2	PTGER4	C1QBP	CD46	CANX
LRP1	1	0.781756887174001	0.85190932502271	0.763797137050684	0.640887652111687	0.627595215680897	0.394320369728459	0.859738489350317	0.52937256020317	0.53916643347318	0.714111639601708	0.816577149275704	0.525567273832141	0.824185559565567	0.587784755893613	0.711089963086181	0.760009305594761	0.686671813363205	0.779094153856047	0.59494152534794	0.763988757413613	0.724174478085879	0.644351835341821	0.519664252454843	0.680450174863267	0.721457709695092	0.799191361691581	0.565194644272619	0.432880581572092	0.486688705801734	0.843282408042473	0.616878162943958	0.500171424276794	0.724030417814328	0.785626491693605	0.760999280206166	0.7875683426557	0.597233514826538	0.746026485665813	0.412692281551127	0.470536379834212	0.606917421939789	0.701726118598299	0.649812120811799	0.609414937950299	0.841339186803039	0.739895368195771	0.644948780751952	0.647224855515263	0.816126075761493	0.270533551885245	0.679122468967519	0.610874551710935	0.674963252541557	0.756662400623171	0.709055952875298	0.772853435691083	0.692757034918567	0.682287869270589	0.582511964635051	0.738935029484962
SORL1	0.781756887174001	1	0.938162956120405	0.887536410805061	0.639783583555406	0.659153917075211	0.554418758089268	0.822769531618961	0.60349542882626	0.577739363687452	0.699040578761468	0.820121152850319	0.620203075428672	0.848186106248438	0.694433989029548	0.783339402261648	0.728745152950173	0.763487338337467	0.786611667850661	0.630601871212038	0.812621710279905	0.747438601885827	0.69359401974409	0.555835614800983	0.787783013744901	0.824089031425063	0.833263392115774	0.665365984573717	0.543862432036428	0.583702321594797	0.867036647384769	0.611379357359787	0.607759321157316	0.782662076728199	0.760148441287421	0.592506687907086	0.846688508546007	0.641890514610767	0.690023447201948	0.511890904106874	0.599759885890689	0.718693688035294	0.773739473198063	0.818839431970501	0.736799832466543	0.863039773696771	0.636835218060326	0.762598998681683	0.805173713596549	0.849216119632285	0.331369062851098	0.694307042846543	0.774188149363516	0.616570326501455	0.722596634951053	0.749121235143498	0.786303630001726	0.687932925816976	0.667940411722171	0.499797693829232	0.795488834778779
CD74	0.85190932502271	0.938162956120405	1	0.885705384984077	0.637584601870147	0.668904705149939	0.505872539377699	0.87126394138627	0.570686148347359	0.615522804340497	0.781156892126476	0.881063892596688	0.587267912468954	0.877467317596356	0.716708674102647	0.847030422619602	0.752067188713578	0.855305998175149	0.8320963463113	0.704800806134594	0.83252612853709	0.777374616745551	0.722304018265853	0.615121055246413	0.831980019581909	0.820694016161102	0.867243818630376	0.678448382832966	0.505474713648321	0.556910199724191	0.941021273338714	0.590434830003199	0.595231693735533	0.815551176083661	0.801976802442449	0.665105420673614	0.862033776360901	0.628641494838847	0.732966443024443	0.478596662915094	0.602836930213004	0.729197507887888	0.845016436053107	0.820141191536956	0.773158450869433	0.893548333413947	0.707240256482209	0.771238202005194	0.772385182439814	0.924004839228789	0.305085937759277	0.741771409121105	0.772015134946326	0.642134017629032	0.774559460401178	0.770619414450404	0.882041889285074	0.744841411438868	0.762947023637245	0.527952363489863	0.88157613170342
CXCR4	0.763797137050684	0.887536410805061	0.885705384984077	1	0.690221166237509	0.713667867424813	0.603134256332329	0.850791328111981	0.547886150789335	0.581328472686987	0.547592310767412	0.787367038878304	0.642193636421769	0.82796773934649	0.596175836185716	0.683488548686594	0.786326824840537	0.692154120517696	0.719671772537257	0.694582644011034	0.803413668246531	0.73755038529394	0.731869836671573	0.470731177345513	0.724046304967169	0.781848263102436	0.83761913430269	0.600647549413894	0.63304660867817	0.634815751669815	0.786800272496847	0.670746521847859	0.515508000733331	0.718016666015862	0.755525680648742	0.539240972097846	0.825618151451564	0.688470614642585	0.676706381321711	0.602775559228204	0.528924897960407	0.615184220995234	0.666038201591069	0.746260723262997	0.692803291492561	0.876648036336931	0.613811374339136	0.696691493513267	0.827008390391676	0.809539719599567	0.372219720965702	0.639602304964257	0.623453795442848	0.641274266302801	0.71011820585699	0.703618849762366	0.697548784748415	0.706764680342778	0.585767677303525	0.524580761922429	0.722094800771608
KCNQ3	0.640887652111687	0.639783583555406	0.637584601870147	0.690221166237509	1	0.577181523773868	0.408198684373874	0.679160991995139	0.39149877725806	0.383450441438562	0.415393681582173	0.644774164370122	0.443821627314331	0.563369403345921	0.407731933103924	0.439370460874115	0.596856832843527	0.417733804542719	0.527587551971653	0.518044004295313	0.550458134622725	0.551174431989117	0.624573883315465	0.334604347248525	0.506578181617254	0.619410832500717	0.663115352985213	0.419863433837707	0.532339177201401	0.430411630511282	0.547862048601369	0.562523479172398	0.416234050702942	0.531065123610054	0.604348850704238	0.429535805010303	0.568600789404538	0.606456251593391	0.497295804004892	0.409040030578514	0.339869401884263	0.45777227476692	0.461650340215965	0.459350747771926	0.404128107548735	0.676928899609414	0.479884763491849	0.500465852022351	0.637863015934429	0.616318696292245	0.194867523055726	0.441425001016407	0.465203870611455	0.384215908473962	0.601713097679144	0.619187730274137	0.548098779294478	0.547411674802802	0.385769869596122	0.394676481594984	0.512935495319705
CMKLR1	0.627595215680897	0.659153917075211	0.668904705149939	0.713667867424813	0.577181523773868	1	0.567945735745261	0.649127248384427	0.399213350965939	0.467665806601569	0.418437322110373	0.65813491158798	0.414504940763417	0.58936672426386	0.358943785581854	0.570140783226275	0.543030848590931	0.478778255841043	0.548068334382363	0.50066894242807	0.678389971952555	0.530958733302978	0.540409104789416	0.38758008374414	0.594475240751682	0.587227506049353	0.674166513184043	0.445697503274985	0.460002223960575	0.461979905119365	0.548119375901548	0.455140816241843	0.406627693103572	0.507799724567014	0.507918876680948	0.437503740710153	0.580036547187659	0.511261644751901	0.545673579002258	0.458748741903575	0.502903419088889	0.505689584576726	0.494048372493673	0.604343658707186	0.535245899836221	0.607760838182529	0.532226538806718	0.473354558410056	0.735713454212662	0.577558576486575	0.338259229087761	0.445117017817802	0.547306552005664	0.457755454850963	0.427433224572725	0.617208309881496	0.502113871321262	0.445445901296821	0.377439467818671	0.511273263872207	0.568938703974902
ENG	0.394320369728459	0.554418758089268	0.505872539377699	0.603134256332329	0.408198684373874	0.567945735745261	1	0.440731473125713	0.308459017394128	0.343568022605437	0.251816136266555	0.379323660722823	0.40678998857045	0.448705928694111	0.241138294202502	0.379542124797949	0.420983279671097	0.329157201672942	0.388582504039477	0.329123110993939	0.52998264226364	0.315861599977903	0.362366458488857	0.376864685853326	0.452386127719032	0.495955690871567	0.543062033651605	0.407694557369246	0.42857564851817	0.388994371122612	0.379412163531268	0.39941375318408	0.36426704784636	0.363896009972296	0.384005326675119	0.225849362567488	0.474766329075732	0.407219763767867	0.249596229458102	0.387833970276932	0.47385101442923	0.364464532986379	0.278295392032878	0.503437549058225	0.413664524998358	0.489543794152487	0.271971196724444	0.38489012877974	0.663876444219578	0.408649344739018	0.370736813040982	0.239617747496162	0.335521862783908	0.337900617522361	0.289486868057062	0.425555742947059	0.265559214915641	0.302497752024732	0.22415812559289	0.386887953836233	0.365528780806516
NCL	0.859738489350317	0.822769531618961	0.87126394138627	0.850791328111981	0.679160991995139	0.649127248384427	0.440731473125713	1	0.614184615594083	0.57093135747214	0.646153540419718	0.823534389940539	0.598106096548469	0.869890842673941	0.594296114545208	0.736552548881408	0.776446656624456	0.704394442265345	0.779323610533176	0.687732975224659	0.718837501482907	0.795297148770251	0.728864016919959	0.471557976740247	0.697179553129273	0.771006660466021	0.792134541847899	0.568074219855458	0.584272618681214	0.557586312584651	0.81652857727963	0.632119766568857	0.505744117046874	0.743278819501525	0.79144789316808	0.742925392333345	0.859568677307065	0.703699422583699	0.754908106245637	0.414181213145332	0.544164278189368	0.648027909518777	0.683296192296853	0.697153153126662	0.662959347800799	0.896928397912328	0.730389337791515	0.666051429112201	0.736065624946856	0.858150886993307	0.336152706289097	0.72310518975098	0.586308521302401	0.627639096995476	0.746639289299788	0.756789824684123	0.767566002688937	0.742178282176988	0.658040273829638	0.556241447246633	0.74027023101471
TLR2	0.52937256020317	0.60349542882626	0.570686148347359	0.547886150789335	0.39149877725806	0.399213350965939	0.308459017394128	0.614184615594083	1	0.37357887621132	0.410607237516312	0.512129445596567	0.500632792062963	0.616640529324139	0.421083335284109	0.480641920498812	0.477844288700174	0.338208825009767	0.473665007600247	0.42291806928421	0.460745654312556	0.575606198924661	0.635296508393384	0.270897259423153	0.338444432620809	0.642095978379018	0.520918476239609	0.358527486246539	0.624487527168216	0.545121663396068	0.48878115368167	0.429671732310233	0.408577803800295	0.496639005868027	0.59557239211234	0.44954804203957	0.578908225397638	0.698134320828233	0.436928303745579	0.298508087667435	0.505804791155412	0.346362914423988	0.352866929033508	0.473260993571356	0.447102265078037	0.625590377744318	0.564840079647358	0.451109992586476	0.613785562472941	0.50215085804923	0.365921615294363	0.511054119106794	0.40597645432772	0.385568317912329	0.481194374852551	0.556083340549198	0.402619396447906	0.527454039746871	0.352826407636481	0.293936488963975	0.376625099185089
PLXNB2	0.53916643347318	0.577739363687452	0.615522804340497	0.581328472686987	0.383450441438562	0.467665806601569	0.343568022605437	0.57093135747214	0.37357887621132	1	0.457381133523816	0.521245035813697	0.419747846797979	0.577698020082877	0.493698034788105	0.480809244220753	0.522405814622362	0.484821135545338	0.440445941846581	0.502034585165438	0.466314750814857	0.514769801437403	0.524780275971338	0.383880860530259	0.465113506375843	0.510866338568483	0.613078979753547	0.481247602646553	0.406797090792998	0.400467371712931	0.614113845060945	0.372150349542609	0.367369760680533	0.57523176421531	0.530396275470332	0.429655571647949	0.504127319340598	0.468350251141754	0.603332026759382	0.407698966401011	0.436818950326905	0.44832551381112	0.498014528517621	0.495428567799531	0.510102617575777	0.616046574809043	0.430100748685371	0.364833176871703	0.514990233433221	0.574908971519314	0.372167441999788	0.465603910129848	0.428495802987821	0.564498870547338	0.508434552897985	0.50802308522081	0.52682139959315	0.520581166367221	0.499097974711977	0.439105238492565	0.492695378366658
