""	PARD3	KLRC2	F2R	EGFR	CD9	ITGB8	TNFRSF1A	DPP4	CHRM3	GRM5	ADCYAP1R1	LRP6	APLP2	KCNQ5	NRCAM	PLXNB1	KCNJ10	CANX	SLC16A7	CADM1	EDNRB	PTPRA	AR	KCND2	IGF2R	CD99L2	SMAP1	NOTCH2	NECTIN2	FAS	CD81	TGFBR3	TSPAN12	ITGB1	ITGA3	THY1	NOTCH1	EDNRA	CNR1	ADCY1	ADORA1	ACKR3	PLXNB2	TNFRSF10B	SDC2	INSR	PTPRS	LPP	TSPAN5	CELSR2	MCAM	KLRK1	SIRPA	TNFRSF12A	SMAD3	LRP1	SORT1	IGF1R	TNFRSF19	LINGO1	RIPK1	ERAP1	ITGAV	S1PR1	SLC16A1	MCFD2	AMFR	FGFR2	RXRA	TLR4	TFRC	GPR37L1	TNFRSF21	GPR37	LRP4	SEMA4C	SDC3	TSPAN14	ADGRE5	SORL1	CD44	CD63	ABCA1	CD74
PARD3	1	0.737101444358972	0.764477434528279	0.626009277909285	0.669599227150006	0.740533261583708	0.730233497787018	0.765668452089009	0.783253855719997	0.684552456949759	0.417290048774881	0.812613808513727	0.789628395297625	0.647918211675646	0.787226802382977	0.561240356518263	0.601561180008569	0.778352395635815	0.756601388072143	0.736417919407648	0.615060380012379	0.773511185819027	0.735584377602776	0.7644127024106	0.746500889376433	0.642179925355059	0.806560447161614	0.655430075108	0.727330909175497	0.801160020250049	0.64648722112965	0.729596196074168	0.692878496530854	0.801173443027883	0.67041199884456	0.659932341959838	0.739584924355315	0.705352857240387	0.622098617668021	0.48662486892943	0.653635364757767	0.554995182476405	0.689886550055462	0.798204073027465	0.809318119631328	0.600620104140215	0.720835722927815	0.764699777436639	0.839841395363998	0.776150934878206	0.681018505577286	0.473046914350723	0.524077453630943	0.593318070706892	0.75520913083506	0.759123926976523	0.778909476869308	0.724917389755724	0.858972178593074	0.6940089301829	0.723249481922208	0.576462652116141	0.714230596253741	0.641442928004547	0.760008244189406	0.805011869578418	0.678558975134927	0.528529372029045	0.713420660177507	0.701272845468627	0.736857210005283	0.618690545200708	0.703488722592924	0.470929288811757	0.496505284766417	0.703652224499842	0.677849975299744	0.744846147527794	0.255239162364993	0.597778010779281	0.584425200635083	0.736763449024374	0.627477494435524	0.197289928551226
KLRC2	0.737101444358972	1	0.712329675850546	0.816902945168177	0.862849841355543	0.798699725299766	0.767676650365493	0.758046329523526	0.875846349540363	0.713539464096939	0.550101470696148	0.81814012070492	0.869606408503246	0.695971064443185	0.818872097762703	0.621812939942626	0.733657115362196	0.880668787766167	0.877504556572773	0.814870843636255	0.686512800343424	0.891826021808265	0.797498940791382	0.845912619241762	0.760960174510556	0.823563016633125	0.893144594041902	0.811391289777453	0.717803137313647	0.714627459588134	0.776105967651296	0.806188145844101	0.926895896762651	0.778205272182077	0.60650679405778	0.751946870968678	0.773144869251743	0.679975583763676	0.711401268620865	0.652917235420417	0.743266204979532	0.641189698226724	0.723866517416224	0.758460994332264	0.784277658983975	0.390852516432815	0.807349331724764	0.773809203585747	0.817616976729352	0.835321094615913	0.601812745585192	0.639921335644332	0.611750139479268	0.671817030833603	0.644623198622017	0.764490382517278	0.836311651793533	0.59684970825444	0.777711898420017	0.758818396899851	0.789250697948717	0.663228749682737	0.768333797569555	0.575060718193084	0.9141272638866	0.85259323200139	0.718423138512921	0.569580294359995	0.724294775665928	0.642934922017199	0.627670529947887	0.640288530994916	0.79936306060248	0.680800150621412	0.602253477079357	0.572708961667353	0.723803616479821	0.645195943051115	0.442410643885404	0.648573998953031	0.553800012443377	0.879625940045399	0.616957311735057	0.246956290818215
F2R	0.764477434528279	0.712329675850546	1	0.578189630467904	0.543129299030923	0.748954892745284	0.773516123406022	0.712831605425865	0.751203015207074	0.565792158203914	0.346318056080541	0.857202708117604	0.827867715246581	0.657342076490396	0.767913725660941	0.51188866628878	0.611825905085433	0.825838519051188	0.705833219969549	0.681349043067817	0.5117403264811	0.749590072378445	0.609805730673582	0.68802346937813	0.806596465285582	0.687597976228715	0.698681493348734	0.672691823562061	0.910742018696354	0.811757257886077	0.63433661925888	0.815035215570785	0.644501182995166	0.917980353382463	0.74487388551063	0.675317212060803	0.860139723657888	0.751871533869936	0.647370798198419	0.476725768334007	0.550413202370964	0.424179725245369	0.836367091402119	0.830932154000654	0.80477966750907	0.825683425358715	0.711949316761464	0.789273256631039	0.852434426576995	0.734607391455153	0.818232847996354	0.42883769693248	0.531328195744795	0.621021141452386	0.810049704642367	0.699088582364821	0.842125591881467	0.919343230590986	0.845858304054244	0.548457413036326	0.695053654435561	0.703827947579726	0.69589508145937	0.700586613670032	0.708752057230949	0.867555173105543	0.78664530790417	0.469290541801554	0.742198569466226	0.836954712597917	0.895491830631238	0.492015448693834	0.660294472830574	0.443535123174385	0.488344735257501	0.625136269386284	0.677060885862982	0.895400212262745	0.299995280183408	0.679330981929188	0.664251401569747	0.785069430268057	0.724697709357751	0.39049340315149
EGFR	0.626009277909285	0.816902945168177	0.578189630467904	1	0.822113665083947	0.875203442852433	0.776085321673507	0.698193851276742	0.761119479844306	0.834844948701293	0.817973049521921	0.728519910875358	0.818333454797832	0.802693732205177	0.898980080358777	0.80263170284683	0.856289720572252	0.783882111308713	0.846624983239237	0.876783656697046	0.859164589900624	0.899629159387717	0.867432456765422	0.591410860270578	0.796452927266025	0.827235370470211	0.774952264128576	0.877738851095344	0.652077432758851	0.725308536252795	0.717398416018833	0.771959672544498	0.695182113068632	0.594809632566287	0.63668088054368	0.360533164283622	0.626307037764357	0.779972326558988	0.787986892776803	0.77290697842428	0.867879880386289	0.641678422971183	0.667654269220475	0.573357134393837	0.778486471312342	0.310918463734099	0.761023090045874	0.780431357917565	0.728284685937224	0.820883313413435	0.404484462087773	0.776232379473193	0.805922245143202	0.47855054805409	0.638041796955471	0.889788667164673	0.830017142348962	0.473916165023815	0.742093698703985	0.471630664647558	0.777990178522788	0.733074370288846	0.873612199700857	0.637176651934585	0.804350993330141	0.790999560475235	0.71222693636002	0.840399530569319	0.683372374631043	0.617419764767256	0.481530260504153	0.841958163484222	0.765781218128564	0.826241108595468	0.605813326579104	0.647468528991321	0.844690526753749	0.564791183083332	0.33435227906843	0.769777659853062	0.585568413741055	0.683158708735699	0.688345269212738	0.211920265759155
CD9	0.669599227150006	0.862849841355543	0.543129299030923	0.822113665083947	1	0.750656570470575	0.769011292794253	0.72856716384748	0.699130299682413	0.67187330592215	0.725641470710543	0.641432333865794	0.790336128659834	0.738267121293958	0.793959924157702	0.783774704770745	0.795421702650394	0.764635344563134	0.783782554857067	0.810638282604353	0.819463162566168	0.887751101343426	0.816109412696313	0.703936827435416	0.666608160595548	0.73722925400193	0.875756852838936	0.791290542795395	0.624614655958088	0.635876439282079	0.895210453662197	0.714547899155757	0.811267415275696	0.597997004800056	0.492256732579336	0.530374997693698	0.621326689603324	0.659042177532115	0.697489739074381	0.552249536739061	0.831729911402946	0.690626449760763	0.593360210262922	0.573105729521754	0.793048451735661	0.221382045864567	0.718556878833659	0.670299973978661	0.711273057692125	0.835199642918927	0.413644703094718	0.578847005225127	0.662656788352311	0.539463735015214	0.53752007525182	0.80911001800586	0.735055267952534	0.386517485201854	0.65026591096115	0.679099343234119	0.72152430250021	0.572807276385517	0.76402356598313	0.636867128304275	0.818031286695982	0.76569509168499	0.664735117899777	0.69678439364616	0.61343692769041	0.476645502843973	0.397344345895321	0.752909648899635	0.724251570431882	0.74981841498217	0.499147139433319	0.590921110396927	0.786993976796695	0.499518670533376	0.260541828579083	0.594399420349145	0.54986508066894	0.778120802841134	0.517678909233075	0.065996267085989
ITGB8	0.740533261583708	0.798699725299766	0.748954892745284	0.875203442852433	0.750656570470575	1	0.848333467181957	0.788782922744144	0.810063186898147	0.833531183658621	0.72881050282692	0.850845399310371	0.926601671020709	0.840298107266354	0.940372716896523	0.803472638460458	0.888318999712236	0.900222209559242	0.901174826017294	0.937083302368204	0.850371867234098	0.935909220743072	0.820749951022254	0.704098199127097	0.882489746462849	0.854791735200592	0.837595849253993	0.911709115775147	0.735538807370418	0.845755183115269	0.784524656720756	0.92545505339842	0.747049010460297	0.768545241565945	0.761277100816052	0.495799303634003	0.794568815567134	0.893454869207127	0.917034076191004	0.745991687835201	0.846435177790313	0.692526082904991	0.84249478377372	0.746775420888298	0.905258724409629	0.51349614942472	0.781426224011052	0.883752037249452	0.86643703697943	0.928831885961918	0.672520229930732	0.694737046747004	0.815189218705064	0.539037851461248	0.817879437424479	0.949795285045414	0.933932673073571	0.659963633334513	0.885588397185377	0.559935092161914	0.815857706851851	0.794721793013309	0.948579061340443	0.752726483205821	0.825338302169105	0.896344091961549	0.790907531929237	0.774346023054018	0.842553430650742	0.792579733092189	0.662373067464639	0.839769981232767	0.83681300746337	0.761913658696808	0.672450217637765	0.76418966391467	0.934052429208068	0.76029596065901	0.335562323669906	0.860377857966543	0.7206529090336	0.761457434237792	0.786689974844303	0.331672084644577
TNFRSF1A	0.730233497787018	0.767676650365493	0.773516123406022	0.776085321673507	0.769011292794253	0.848333467181957	1	0.844335620489491	0.729925849993302	0.703333471091189	0.653955606610174	0.769387864960566	0.934155701225774	0.86324441256685	0.908077175577256	0.754776024938347	0.79217918554516	0.890823171638252	0.845239532064496	0.847399226494026	0.801153432080053	0.889458647090901	0.778892331130352	0.591847180678963	0.918662337590871	0.803372959826988	0.803133045942389	0.887555006254124	0.821105129387002	0.887453004107781	0.820082204509473	0.853650095545837	0.691607847614352	0.821365036073822	0.802788988372726	0.466508644608082	0.742503013996364	0.870460597929348	0.821226604954383	0.58042230143162	0.844585649339528	0.633547987776418	0.882197609348307	0.725847050809505	0.885994847307157	0.574595345918952	0.680510005451489	0.879556416262528	0.83114957124233	0.856422905531803	0.601420026751853	0.620437344497261	0.824201877721188	0.671231077762971	0.785281338959069	0.89655224711256	0.896542912771194	0.66346046259724	0.829788249357994	0.479495255649448	0.784041291200527	0.847483293577799	0.899727565009615	0.753214193825157	0.800607759576359	0.922104026252947	0.88932864949977	0.752940476638477	0.775831218616909	0.816317480921331	0.68432547277077	0.705059478191884	0.832194707312416	0.791195174124436	0.49446925730633	0.714849314984426	0.848421251264422	0.779950105869398	0.38295869712077	0.881704129265385	0.879345464697219	0.837678079305688	0.824922929456223	0.409282718223153
DPP4	0.765668452089009	0.758046329523526	0.712831605425865	0.698193851276742	0.72856716384748	0.788782922744144	0.844335620489491	1	0.765050982492659	0.615137422759683	0.526015555991882	0.766873325713999	0.835653373681904	0.758273399923343	0.827338577906311	0.643478545387148	0.691311538405342	0.812609510387935	0.806633938211297	0.769199059771892	0.711484621035928	0.825008842661218	0.730842179277709	0.685604307722871	0.801339544338219	0.716691246613988	0.812033055553722	0.778798817748412	0.766309612426846	0.841382390714957	0.715868631098736	0.7796917380775	0.659926340732358	0.794844553938138	0.762591273457371	0.524974769197832	0.700731986170216	0.748930330092596	0.733068448800177	0.51313761630607	0.731356816275411	0.637047087203088	0.799382018719573	0.749957335249245	0.82958336086357	0.500144107310926	0.71632015256031	0.815310265047344	0.782762177276732	0.794486831336887	0.62181879268686	0.571406023911352	0.698589761446319	0.679992915769426	0.769445039915826	0.800227153130102	0.79686320254386	0.654435798326033	0.808282814074037	0.535302491120415	0.743682704803109	0.671702803742648	0.775172085344076	0.673264984703357	0.786147939304406	0.839748263649693	0.734036652749868	0.570645151090821	0.703807310855829	0.718749958190037	0.657150618814406	0.605635846301884	0.733734357800304	0.66262472677447	0.462395919399756	0.675380265158707	0.736556967284873	0.717280761207289	0.3400097428032	0.706428288883214	0.725770382752655	0.766622256755486	0.662903383712311	0.260635618502723
CHRM3	0.783253855719997	0.875846349540363	0.751203015207074	0.761119479844306	0.699130299682413	0.810063186898147	0.729925849993302	0.765050982492659	1	0.72660377123099	0.436455594920317	0.867975992874777	0.849748119571197	0.643682684116585	0.814290021738225	0.568576915211941	0.626731588591408	0.877021567012035	0.870750288066375	0.802206225929569	0.587941197799395	0.827637822339335	0.794914348005928	0.83194370553713	0.815615914785317	0.856467035231844	0.830173662450409	0.765536050905056	0.752518938681727	0.785579722580064	0.609621118666135	0.810946626990103	0.811234132748102	0.83317336541492	0.746786756413971	0.748159057592615	0.785878639330122	0.660327896125425	0.69515082708358	0.697746784521572	0.685344353355706	0.536590468998483	0.748900390809786	0.863994581691402	0.778031965045686	0.492171256283877	0.800686833547388	0.862241703189256	0.889099747349564	0.807010826237772	0.660971707621357	0.688389137795967	0.609994420774948	0.690573867846895	0.70975055219674	0.759836369706762	0.848475615017365	0.691786575059143	0.87149505859555	0.734402755915127	0.845085231636986	0.647504083473953	0.745557110552411	0.530105711271687	0.896997678232468	0.851321568698471	0.678367710734251	0.508693562600138	0.784534908903009	0.694071374910122	0.74830628410304	0.665756905244067	0.812671381815819	0.636667253926576	0.675630801663451	0.580915187620616	0.696962530308779	0.739559473465343	0.503389058576637	0.690321821648927	0.539353387061633	0.844947290935458	0.715332255688525	0.351077546739784
GRM5	0.684552456949759	0.713539464096939	0.565792158203914	0.834844948701293	0.67187330592215	0.833531183658621	0.703333471091189	0.615137422759683	0.72660377123099	1	0.7386442912824	0.722313061062645	0.77920547532521	0.808386918504491	0.862099886749802	0.719927500672346	0.772231916927306	0.751061642003427	0.857741733975655	0.857662361710897	0.778088828733738	0.838768219426341	0.817408825577706	0.619817313941911	0.799549815596361	0.736002697536271	0.709794216991148	0.829339463041945	0.547700620330803	0.732912467429257	0.612387335463632	0.751072805644964	0.619211317181304	0.591620258045557	0.648625581989466	0.412730151438825	0.64762084210337	0.775697092551803	0.814262283885385	0.820957744319305	0.821510830473555	0.676358576976623	0.640831172099267	0.651523800599409	0.747979724091197	0.304950560856349	0.680066395682625	0.821456343713639	0.736497448086453	0.76581931800044	0.438095045702366	0.783969584645462	0.777120007331972	0.502089970521185	0.679845784754002	0.841766373039977	0.800907758398869	0.498826301940433	0.794826964280331	0.498184507458574	0.69808544105851	0.759946427872859	0.861195508739952	0.504284365287788	0.789235255115923	0.759073349791795	0.669229513551401	0.758398337212499	0.715744715277435	0.565638239544468	0.490976850412249	0.826187197974956	0.804556629167036	0.729105155069742	0.646286160289648	0.707244828436747	0.770105591043303	0.507191943732694	0.369735326556522	0.736798852190169	0.561435286430016	0.660171660616974	0.707204458334765	0.203092255520466
