""	EGFR	PARD3	F2R	F2RL1	SDC4	CD9	DPP4	ADCYAP1R1	ITGB8	LRP6	ITGB5	TNFRSF1A	CADM1	CANX	AQP1	CAV1	HMMR	PTPRA	SMAP1	KCNQ5	PLXNB1	NRCAM	APLP2	ADGRV1	LPP	NOTCH4	TFRC	CD99L2	CD47	TNFRSF12A	KCNJ10	INSR	EDNRB	PILRB	PLXNB2	CHRM3	SMAD3	SDC2	ADCY1	TSPAN5	ADGRE5	PTPRS	GRIN2B	CELSR2	TNFRSF21	CXADR	ITGA3	NOTCH1	IGF2R	AR	TRAF3	CNR1	NOTCH2	ADORA1	EPHA3	ADCY9	TSPAN12	PDGFRB	IGF1R	TNFRSF14	RIPK1	ACKR3	SLC16A1	LRP8	TNFRSF10B	NOTCH3	AMFR	LRP1	ITGAV	SORT1	CD81	MCFD2	TSPAN17	FGFR2	NGFR	TNFRSF19	SIRPA	PLD2	CD44	ERAP1	ABCA1	TRADD	UNC5B	GPR37L1	LRP4	GPR37	RACK1	TLR4	RXRA	LRP5	ITGB1	NRP1	SORL1	CD63	ALK	CDH10	PTPRZ1	SDC3	TSPAN14	SCARB1	NCL	CD74
EGFR	1	0.911319394824822	0.961519466190693	0.716439273166614	0.20074760796725	0.719664629550147	0.878970732276893	0.123081645932753	0.848310869942109	0.861182178903704	0.903543208784293	0.759970451651122	0.940767449894956	0.98253731841505	-0.0342366312568293	0.398190304631564	0.834144661975514	0.960676412768847	0.922093172026795	0.738625692618379	0.863080452962357	0.919430981762234	0.976210134109079	0.156033738320941	0.858916332399368	0.855406606901146	0.893895728435343	0.91756447408451	0.819583376733639	0.569661275145229	0.618998245413156	0.533693940073358	0.814019713281546	0.808543990997037	0.859013134198857	0.883486859863275	0.826500445996189	0.775447457004775	0.871800478519587	0.94780531372984	0.899521991303203	0.920702723004925	0.888098920036814	0.815800149638179	0.927740806100698	0.912833766660636	0.695826158735354	0.87004793840549	0.819509964611498	0.872206077502373	0.880742142773169	0.653735753707365	0.929437255450268	0.840714333825859	0.891939578919429	0.839908041864416	0.888162793087568	0.486905135936517	-0.111857770991024	0.652967247943603	0.919378336078328	0.666314378796073	0.85230599306291	0.951955363761761	0.803665467236285	0.910650268389062	0.876562177728804	0.941055621763441	0.936382818978478	0.91661241019614	0.833499970182865	0.954851921779026	0.886306309816312	0.559611385936333	0.839287842682816	0.762497446393109	0.869761822537025	0.76688548088578	0.584040830659652	0.860450455007841	0.607454775221382	0.741330127009617	0.907165700639119	0.909546213785057	0.87510143802496	0.884462027786126	0.806158898339348	0.751959356978841	0.785941191786583	0.783744148872107	0.915779291358704	0.728733099799927	0.859321419624849	0.812546659350696	0.803823446742981	0.89466984440197	0.915127674576635	0.817567741292781	0.927555096380935	0.84925081755725	0.957526109840665	0.573568459575119
PARD3	0.911319394824822	1	0.887060375382517	0.707216597413965	0.322268393764932	0.647335591960382	0.866496217640745	0.110288761817068	0.785338728305858	0.810369650491363	0.809776675098776	0.819285466472898	0.926892743400213	0.923004055082628	-0.0317894174400355	0.429674913595843	0.730330210469212	0.921302091535431	0.857183607203371	0.759001669507431	0.830414968390798	0.906618936086869	0.927415680180651	0.189967984369332	0.892018970752686	0.831477883699103	0.826434412957426	0.837150266481956	0.870760415491537	0.696023064144482	0.520571348238558	0.515109330883063	0.754528931688118	0.767288321146667	0.822324752063341	0.844524738484494	0.762774704765417	0.854489248202445	0.809078432087108	0.897408146517105	0.798214525394857	0.840998050913777	0.837739313312816	0.788583679937602	0.907692069856057	0.842930770387518	0.759198688524115	0.754879855069711	0.83287048351413	0.842403110827021	0.832911296428015	0.635216567985955	0.870120866495605	0.857825809116517	0.850079335023839	0.763828521821925	0.777040047147121	0.52588953229468	-0.0393638316189827	0.77813003926366	0.921767203452836	0.647489459838449	0.818853693799542	0.887911550218431	0.810306107603365	0.84009556658073	0.845552431004071	0.870110270550606	0.896312793646841	0.882189732144066	0.82254726672442	0.909151044226136	0.863720118698508	0.513072516143837	0.742440869462741	0.720242232265012	0.825365275604346	0.735864916027388	0.714109741772469	0.864086777291234	0.628326171977106	0.755919655234963	0.82702830176351	0.790835578633117	0.808802322949009	0.839627749193058	0.792002385505416	0.734957791304214	0.7952189552462	0.7349981384913	0.865752976395782	0.809970751257719	0.810559680815856	0.833126010261359	0.830650681505007	0.80437925475434	0.865994853545497	0.726789056400328	0.884045761785297	0.813634864615576	0.899171832137228	0.633167479198571
F2R	0.961519466190693	0.887060375382517	1	0.7715062191225	0.269875693961132	0.654209931877315	0.854132169842342	0.277473247844073	0.904421976915807	0.890468871822622	0.883764945757573	0.755710461613534	0.927426738989872	0.979271658328749	0.119692599079748	0.361361422039762	0.792601613899263	0.970656162487055	0.8678397651222	0.804363252162122	0.907840175703779	0.94302732892977	0.956917297616816	0.292772179810797	0.896137602847363	0.819610432830368	0.847904451859106	0.933285342579241	0.78444358189228	0.531219214086013	0.704635008509549	0.571107752325572	0.887543443070832	0.832987738443796	0.877095861106493	0.872349602193409	0.837711506083865	0.764131067559062	0.864757691743052	0.908990542573915	0.840143902510614	0.910824041697531	0.875016670363748	0.85983769485808	0.909661249596763	0.844772940554174	0.740811478037795	0.867883939976761	0.84937990813544	0.914254539716548	0.880474730364509	0.645499903906643	0.939792488438693	0.855119990852776	0.859417717458957	0.832703094839212	0.854363845859873	0.575652508420231	-0.0350458390184927	0.648062124247905	0.909982810231701	0.711964357409743	0.807102439400561	0.926800802981504	0.77424522151746	0.868714875996033	0.904101959596445	0.947724012990372	0.948319176044765	0.948490285601273	0.797329595861926	0.932886142856074	0.830779243433713	0.667228858910086	0.787031708400662	0.789933209786985	0.887793492557251	0.793895239842596	0.608089589024235	0.895506698877137	0.670421284902759	0.672262929461974	0.879704544407313	0.873586990152121	0.894782680608165	0.905036528870414	0.72140447273777	0.789982530821003	0.756017339673391	0.802966362169777	0.880480929242387	0.718396936758621	0.903381175954101	0.755711968023488	0.803747460098622	0.901545779358581	0.932595344808574	0.869887506123165	0.90465397949576	0.819164113531874	0.920288155386413	0.570997865311574
F2RL1	0.716439273166614	0.707216597413965	0.7715062191225	1	0.480413869304067	0.480829100541543	0.620232043349789	0.502477658191103	0.731043213987324	0.665831228118897	0.686727039661841	0.742116591632915	0.753563755167436	0.740993442204931	0.396633073171309	0.337785725249275	0.538838258420732	0.782176200977152	0.635667810145099	0.748437880682012	0.765954738046244	0.763450959888932	0.742177796186386	0.43619508485656	0.771578177638993	0.60923803519191	0.575647395332671	0.762996981919633	0.670089387153412	0.503143620430738	0.670080909017117	0.429586787448807	0.78827593971847	0.661570503587446	0.740308350605209	0.67796200550044	0.770703034361709	0.753537508946094	0.63422696760698	0.677940501499034	0.531465352813549	0.648398323168457	0.58747764211508	0.759451827879497	0.718841689986073	0.586493997982449	0.724429876734345	0.607198930313113	0.676484640166542	0.761515334168311	0.676418216468729	0.532678228104001	0.771792549884531	0.749051264662777	0.598761941262637	0.595979298449887	0.58501977368968	0.584098818344025	0.165891624944577	0.599801853958706	0.729367221969086	0.740041297654711	0.602985609146817	0.698504741591705	0.662147866479948	0.634322286270468	0.796960010218564	0.732203719607983	0.763052877120699	0.796157019343612	0.688598773257353	0.728506932357088	0.634518317420023	0.632509697167445	0.554609093741201	0.607316695743195	0.747191334472561	0.72738430864576	0.70336268753633	0.726337744946406	0.649813876862712	0.551422623419932	0.715729785440221	0.584983237573272	0.753947219154834	0.785835561271022	0.536106380274524	0.733013497371252	0.591603701477029	0.631865995488611	0.669144344793043	0.626859659717557	0.772606334507666	0.600878177558994	0.672318346545664	0.608533500860255	0.710000896713803	0.723787115041219	0.697572692444728	0.619429013100344	0.663651504768247	0.576495068418559
SDC4	0.20074760796725	0.322268393764932	0.269875693961132	0.480413869304067	1	0.20089105963477	0.193483306036714	0.470819736649238	0.315019475886021	0.265867577017751	0.138883915067518	0.496000347820347	0.306883667147092	0.274353618754687	0.543932654872825	0.41253176645138	0.118358301459597	0.337121627011558	0.184877355612213	0.41058584711561	0.331569073865477	0.356990473055754	0.274095414652351	0.364292590195903	0.422784929681032	0.218001737252961	0.181370782130056	0.280442940290995	0.3469146664247	0.354122160948034	0.289687070897773	0.203453217995013	0.367410482171765	0.327403061863538	0.412899982319479	0.323615370692174	0.369681244689349	0.498222755278335	0.240023441095706	0.206067683132643	0.0538429716821794	0.17586576684978	0.143687780179743	0.443355458970471	0.308650146309412	0.156687057963215	0.49449579771806	0.130410343258362	0.327048814375771	0.353614193527175	0.205925761638973	0.376045181896391	0.349250875777751	0.406698773496331	0.205100072765647	0.161662443172638	0.0567848487466026	0.418926618847195	0.522015530572166	0.363366824954906	0.286961232106795	0.380663183860095	0.372361517396309	0.223853636194252	0.315864802560325	0.283670256307355	0.497524411384259	0.289789754151254	0.329531500630884	0.386613435672198	0.296205294192303	0.276947779266821	0.202066795722318	0.336953235683778	0.15942702088085	0.281385000172769	0.377554040409729	0.388559717129254	0.66845869135012	0.360672157661889	0.54892375742723	0.235749781877687	0.319813347064401	0.0730863316086651	0.352217457914178	0.37765636050235	0.19696851349266	0.433910380372884	0.36884220876231	0.282923820572662	0.232524238165046	0.449446783182315	0.422354235915916	0.246918810548618	0.369693193644247	0.151033460558729	0.275692033236013	0.334700339206547	0.239329026989163	0.346744130080556	0.194235317068385	0.327873941426176
CD9	0.719664629550147	0.647335591960382	0.654209931877315	0.480829100541543	0.20089105963477	1	0.629771060042442	-0.086852661359915	0.399841471965929	0.456722694376321	0.724681578684098	0.713361228989121	0.73868666104988	0.696837925938457	-0.182905199290632	0.739654035320744	0.573982872579181	0.677287031486422	0.862691516242947	0.389893268323041	0.509599716256716	0.563745541355743	0.726584008419726	-0.158892983943018	0.502586818285046	0.720138353736007	0.823672136320635	0.603302996531787	0.69277202286257	0.595492866269856	0.250520251613034	0.166651652430846	0.486460325708387	0.370634858241027	0.503045313393649	0.629800846599534	0.58019138202977	0.659738890359445	0.646113861454172	0.804252880258653	0.779215322827066	0.644079899566142	0.567178473634777	0.453697528976375	0.739946575485245	0.722263181859206	0.457814535711989	0.447148726639741	0.42819681061997	0.524751353619368	0.485758121707629	0.678836783405706	0.615403992479861	0.644438372051279	0.589100923608216	0.504411177799085	0.725908656531033	0.0990771304364278	-0.0630062096196059	0.512211451231922	0.643542025822826	0.471269880243978	0.797129423427857	0.648419535929296	0.645283684651429	0.74259584987825	0.600093645915961	0.637113429418153	0.650331878920209	0.545410606798553	0.844711750272169	0.789552126101141	0.810659486218707	0.197412901207652	0.733689199089889	0.439232080558747	0.546929102495999	0.427241815370377	0.513204061805261	0.465598574371057	0.316961569748085	0.836490753577649	0.665624989949864	0.706878318652722	0.496896301631095	0.610712337404237	0.874560254063857	0.463016388761062	0.577732428197289	0.492651441081931	0.753640471920383	0.585987221877073	0.50376599012629	0.820469005423614	0.520266746868077	0.591853970182797	0.607013464935671	0.430864425179916	0.626318970057969	0.581659456139314	0.754886740971569	0.326490109164892
DPP4	0.878970732276893	0.866496217640745	0.854132169842342	0.620232043349789	0.193483306036714	0.629771060042442	1	-0.0436369236569108	0.726032514331633	0.743998969168942	0.748880961339327	0.720772629176658	0.873575491282939	0.887328388987132	-0.147772955938693	0.39465518361798	0.734779966175852	0.857491198952677	0.834205219796014	0.708315499546481	0.704852568864301	0.841194919502121	0.881791595416983	0.00498667271289159	0.817638638884054	0.802811765333635	0.806317426928804	0.776332402596366	0.832581337630127	0.661557775618369	0.401085661299839	0.443113252314163	0.649387751497481	0.713485392612187	0.729821243445515	0.756887867757945	0.674642253595212	0.751011075979024	0.781488988173277	0.851065183643451	0.827441214885957	0.811045939607006	0.858495181651583	0.671845480197062	0.853817653958539	0.846435766969113	0.651486400544407	0.741827963611732	0.769186621269536	0.775367937115223	0.795683301916458	0.584477762704539	0.825915172989894	0.748103716530284	0.827477935952843	0.74096656509663	0.77119833035346	0.345379052374847	-0.108736327927088	0.711321530857301	0.85506951143286	0.618568803224244	0.774260310140386	0.845285934693945	0.763314936353933	0.770682415037998	0.753719548798473	0.780428695800791	0.807184556446902	0.802578438443858	0.747341583131202	0.848574751281366	0.808469660949107	0.425480847220597	0.705056423884761	0.681284387375242	0.72712373305037	0.658062581413736	0.618288042031617	0.818578512723681	0.509447895251606	0.71541530345718	0.764482538304533	0.752410914725687	0.723481959578636	0.800814453810846	0.764264226721501	0.6427217493478	0.714947361164326	0.639796101389688	0.865021020055272	0.742819345782733	0.732851107815162	0.791768757969339	0.723750949288732	0.781510529191609	0.80105340536223	0.661352800037145	0.831706032880255	0.717881006005934	0.880038909922555	0.536275839153698
ADCYAP1R1	0.123081645932753	0.110288761817068	0.277473247844073	0.502477658191103	0.470819736649238	-0.086852661359915	-0.0436369236569108	1	0.453464429850286	0.32492024948953	0.249438915659518	0.175758878387697	0.121322335927893	0.185760100019346	0.877971753006383	-0.141286670977764	-0.0359599868753494	0.265991578377278	-0.0220786275197093	0.448772815576356	0.492871731794002	0.282064022650482	0.122983678388014	0.842612727767062	0.271877946579874	0.0297974201154324	-0.0503392403332652	0.311787347832857	-0.024985601976969	-0.200450593120577	0.710861721444346	0.216355464166097	0.589439721912941	0.273107895428116	0.356381493002312	0.138712867325662	0.387045631198172	0.174957152809418	0.183708106211729	0.0758296528240112	-0.151880826623183	0.129233892409454	-0.00168906523249822	0.521356690399829	0.0637955360815894	-0.0749444821864182	0.323666159559535	0.227003565967519	0.247752990507458	0.381592675733639	0.159472828652965	0.130924942066437	0.282351677598893	0.294819084895177	0.0259413576697648	0.166776183628006	0.0709315040358705	0.622433923628958	0.384949286324597	-0.0234262518540355	0.115063468196207	0.379087641017474	0.0244653297408028	0.135036371890796	-0.00531543961652439	0.113811784773013	0.40884893181546	0.294276657506293	0.317123695449835	0.384982000592038	0.106231872726471	0.157123699490886	-0.0341838469930417	0.687160144606021	0.0846278578906336	0.215437538343775	0.451055384353948	0.436993460246114	0.206786511815826	0.249198961494368	0.442455062822061	-0.0987683519946439	0.185517842177171	0.139931189621042	0.39592306509329	0.311047038026278	-0.177791544950353	0.401251499678664	0.142366441871254	0.37380138146676	-0.0156210147909503	0.0148422436091058	0.403461667755938	-0.123693192706339	0.181924407334919	0.220939333876907	0.301324764387833	0.467335075356961	0.102387432622338	0.174371114263444	0.0172256754911171	0.12930868480162
ITGB8	0.848310869942109	0.785338728305858	0.904421976915807	0.731043213987324	0.315019475886021	0.399841471965929	0.726032514331633	0.453464429850286	1	0.945309814083908	0.770738909010505	0.560536023872722	0.779806725114854	0.888115129700459	0.27973413455145	0.207187217468488	0.680117142018129	0.896291991698421	0.655432163396769	0.768063362895077	0.903225412444105	0.934091250890154	0.833161163305508	0.541496935828021	0.881614945515947	0.644512067383704	0.695415282156889	0.881365278122997	0.585911756909146	0.283031991456057	0.841821536678745	0.648148316570626	0.922802843298382	0.885504828470474	0.883804433116486	0.8441190966588	0.862046241450289	0.610841077083791	0.774681840433594	0.734631909025588	0.64110801792474	0.836499625332744	0.832008890810812	0.919653005147319	0.761785361707109	0.701062945384743	0.675438404373852	0.884227805430342	0.859937287074465	0.910764771662274	0.855666607013978	0.612213892172936	0.900162777155194	0.769918362844389	0.831559375679403	0.832255053956284	0.728578401379114	0.760365401738454	0.179973407985278	0.45690743360298	0.792588822826481	0.610304079480383	0.71978695532768	0.856327920325894	0.658953820433217	0.752241198497036	0.876472128080868	0.909372892540503	0.917819199137532	0.936688647339737	0.546764266173533	0.775539663292824	0.605852383719674	0.813747231469249	0.636494205728064	0.859780132957694	0.88163799067969	0.83769929270603	0.482888498195645	0.857472500741876	0.798075006764546	0.391083901514119	0.79166781777207	0.750961372578418	0.943254731523589	0.830250847683077	0.440991518538972	0.77815405750729	0.714150510552995	0.768651536753599	0.727814273028761	0.616330634004211	0.935613479187797	0.484675301465703	0.752581794853248	0.873573495075904	0.930219767910874	0.931330632626942	0.818415929902611	0.776664188590778	0.76757676068574	0.504604743648217
LRP6	0.861182178903704	0.810369650491363	0.890468871822622	0.665831228118897	0.265867577017751	0.456722694376321	0.743998969168942	0.32492024948953	0.945309814083908	1	0.784021039552691	0.552732550937462	0.788160463178729	0.89056380981403	0.1181917364764	0.256510916300358	0.701396842323079	0.889802736149841	0.69357346017543	0.709989328063585	0.855156981590829	0.915600905355659	0.841755827001247	0.444418459984898	0.871269840718578	0.6659173171031	0.751926905899651	0.8468916785074	0.602942093329138	0.313413076445593	0.762845587696051	0.689988250247324	0.854002818750038	0.855087682580574	0.859847682912266	0.860234215242033	0.829583753804062	0.607471733157166	0.810241323270484	0.769358163659969	0.69352549667064	0.870421618158593	0.85223543111517	0.869751363012788	0.766916103037818	0.734448666097149	0.611576315519123	0.873475121844566	0.86452774367957	0.875350383932323	0.853082232600261	0.616962674872323	0.878356033184454	0.746389179733929	0.847481824797921	0.83078997484083	0.743157552833037	0.705401846762119	0.151012866451153	0.464837998714979	0.808232006485604	0.5453068809841	0.767019442267057	0.88257052713595	0.66415584837643	0.765587115781888	0.852835767545267	0.904521796345101	0.907971335392643	0.906653426929035	0.56628898819524	0.793850964433958	0.640865494867778	0.743856241221734	0.696421424736873	0.829456850174669	0.845321822233247	0.79678373975107	0.462856645533228	0.830563348648987	0.76843189285564	0.4310539575246	0.816974358671098	0.77598892333298	0.922779942377489	0.785162542273889	0.50681116524992	0.718228964546932	0.754694011326635	0.769342393062872	0.768317162331799	0.6360065602533	0.914203651807024	0.52948420622913	0.782680313100306	0.894369825438747	0.933501399229859	0.871470549061143	0.851804972443403	0.802237907296656	0.804347365533157	0.505971048899401
