""	CCR1	SIGLEC10	FPR1	LILRB1	TFRC	C5AR1	ITGB2	KCNQ3	TREM2	VSIR	INSR	CD74	AXL	SORL1	TSPAN14	ITGAM	TNFRSF1A	ADRB2	CD81	PILRA	ITGB1	CD4	APLP2	ADGRE2	IL6R	CD33	TNFRSF1B	C3AR1	P2RY12	PLAUR	ITGAX	SLC1A5	ENG	GPNMB	PLXNB2	TLR2	LILRA4	CD163	TREM1	TLR4	HAVCR2	LAIR1	ADCY7	SIRPA	ABCA1	PTGER4	LRP1	RACK1	CXCR4	PTPRC	CD9	CANX	SMAP1	LPP	SORT1	TLR7	CD46	CD69	PTPRA	CD63	ITGAV	C1QBP	CD47
CCR1	1	0.845107777949297	0.855403516447296	0.830459693835838	0.874167124580078	0.833650662390677	0.918317996897404	0.799509335508343	0.879884739725551	0.601064666214434	0.334888625204328	0.818371308894993	0.805470279196563	0.73400872409731	0.775021098854277	0.788213943680917	0.847700472685922	0.285747067478437	0.943860823116628	0.805565148730249	0.87836569607631	0.889150476114869	0.905187549628836	0.659521277782717	0.748536478962163	0.60239673743006	0.884435620556677	0.766470181238469	0.135999935535238	0.78474004400115	0.828402721254522	0.606216411983391	0.83257853932505	0.817443336923785	0.795274750511646	0.605339647010847	0.715152475110654	0.91414083710108	0.684662928770052	0.622688447270647	0.836749441971109	0.894113318351799	0.76687500701815	0.894961554182395	0.884427371667929	0.869681429196385	0.901738155274367	0.809701063714302	0.396935350647253	0.704652322219988	0.804529165972353	0.909398949234066	0.644225717881983	0.80925568761753	0.699807994373627	0.687998686645495	0.695011823928177	0.746628405113289	0.701192418685332	0.875372339075725	0.899729496000535	0.787017436744588	0.618731079032211
SIGLEC10	0.845107777949297	1	0.843436764866537	0.722283699139072	0.876042081816739	0.795063711538239	0.874671699021883	0.782248901699501	0.844782141109197	0.589034252568054	0.265113076084885	0.805476572390886	0.752206792577613	0.67088416014106	0.740585553868775	0.785539968951873	0.839007822858935	0.219491758607077	0.856265775955137	0.740162219017161	0.826288976788189	0.844046524545686	0.871533390907374	0.655528836411006	0.719798207613376	0.610611425701713	0.82474718070965	0.73550596478856	0.0943835762443135	0.846559654973309	0.773633576226381	0.496720136884249	0.770600223841222	0.730158345259684	0.774314859288818	0.607169450244153	0.561321236054884	0.862652970479646	0.656466315728301	0.661435740293913	0.835046172628547	0.830340851412544	0.72533966369976	0.81883063896916	0.790601596537163	0.80246976443799	0.859417004443934	0.72177817573347	0.307467424721003	0.6815584952198	0.736529787229977	0.862061957384389	0.61087464827434	0.74556002109436	0.618667343757903	0.628015041643442	0.662088171254412	0.732519565116591	0.703651914983881	0.887812148398338	0.893707931022326	0.738145994201818	0.63757454521444
FPR1	0.855403516447296	0.843436764866537	1	0.843174291279854	0.831795712613523	0.876824300010662	0.887193658020277	0.809545617286674	0.880465887719129	0.664905714309429	0.423779054621139	0.889649909982978	0.845938235665185	0.78578914715651	0.838910009828401	0.815695761182007	0.863745443790411	0.225804813519744	0.871712261962119	0.798548149003064	0.865199888829794	0.878336144905568	0.845544847121437	0.780980417833311	0.805851500451769	0.679651294138566	0.849497507388109	0.799094746917285	0.194525398652946	0.858116804063192	0.867937456649308	0.70561793490565	0.817898174023153	0.675352530049103	0.827211488451478	0.661453730413797	0.665123915468767	0.811450389731762	0.819831010198721	0.597601152257605	0.865682924089168	0.874346267951518	0.773290029954699	0.836798223499227	0.81342956701801	0.881862762409208	0.871486062088391	0.815898574087163	0.452920055610045	0.830344193618111	0.823058263284074	0.825823519617105	0.634330794120224	0.804653276480093	0.729211496940454	0.75573226659451	0.708518262907172	0.846645492628406	0.674537146942541	0.839214660539169	0.892930606064713	0.806985294086745	0.685653125787628
LILRB1	0.830459693835838	0.722283699139072	0.843174291279854	1	0.725344650582721	0.771406184140524	0.841286380648603	0.768482795740523	0.831939424998902	0.650817994568716	0.424630590313076	0.827268913044004	0.812384547110665	0.795423239236408	0.751264157596348	0.782085771825288	0.780297308325406	0.303233857100661	0.842985023208685	0.758839992790891	0.795271897576018	0.840257919089663	0.77394530427105	0.662732322001903	0.768458176158315	0.609552000421911	0.805509860547926	0.783128289777871	0.230089448195943	0.715909546291709	0.826734691076348	0.683890464616444	0.763061948551542	0.676727061991319	0.751168286444578	0.600012354430202	0.735942051321751	0.765185207178836	0.694058844887415	0.560793114621947	0.792472122766783	0.863890481830998	0.689138250857811	0.805949013551575	0.7919087215423	0.814872371579524	0.823541166250636	0.789528446650704	0.441767335000872	0.74987405355134	0.783789070231267	0.782959384072259	0.597654772435167	0.78272460778678	0.737530036643114	0.700435506193341	0.649142310698549	0.753451180818518	0.617839028572669	0.77443174494293	0.800436146979323	0.737401928965514	0.60514583333467
TFRC	0.874167124580078	0.876042081816739	0.831795712613523	0.725344650582721	1	0.859405285655517	0.829787611341443	0.747848548333201	0.843700255306236	0.629799542108945	0.340782749347266	0.842991344330578	0.821279342993628	0.724772468706346	0.838315650306897	0.732622149042053	0.846565747903755	0.204096148407825	0.886805647341195	0.822854846758211	0.849463273067867	0.855558529672206	0.843305494205037	0.773014342931835	0.730932950100113	0.673329401259368	0.840420996906092	0.734988681591441	0.0804457328328988	0.885769056245137	0.797842292603506	0.58610517866431	0.702440140117483	0.665971170765744	0.793913253647417	0.658147073741991	0.65412065544547	0.87170379872753	0.735016476823882	0.682432971476231	0.848275851959087	0.824012194478792	0.754377469843536	0.840273770060355	0.783823153562001	0.834316457316472	0.89689282661193	0.773019483935487	0.351755764206625	0.741051787025213	0.770506167332092	0.877082159272939	0.656300007376687	0.784830327377224	0.684623840994186	0.676179300946516	0.690039670007097	0.830056249768735	0.709318028571798	0.829288181577565	0.935727325366454	0.759285757753393	0.611874365945799
C5AR1	0.833650662390677	0.795063711538239	0.876824300010662	0.771406184140524	0.859405285655517	1	0.828129386544266	0.740321199674268	0.806207934220684	0.586536761724859	0.429698149150924	0.819609095530235	0.780730571530885	0.709062794022874	0.831644397056584	0.774921752513727	0.844428527536635	0.123836254460963	0.863480402440673	0.782681860299473	0.832730175825972	0.880426641859654	0.856197257941626	0.776611357015335	0.759980261667471	0.648062559715886	0.866963995536493	0.74448438992448	0.119945142786339	0.920161867821288	0.809189538958867	0.674749380561678	0.782829852848712	0.722299788183093	0.821364553086335	0.629084920058839	0.597366666580778	0.847690012309055	0.862419745350785	0.59198073416163	0.806390069961651	0.845982343634715	0.735660481193822	0.84936375777137	0.860705400176976	0.873242291947621	0.870456873619935	0.783495201772972	0.450422731684247	0.774497186131836	0.761653884198773	0.807460555480319	0.590549669650756	0.778410067597928	0.676542669618583	0.68601393095152	0.705297456155083	0.856494173050249	0.596400792650291	0.792768143689593	0.875827751435386	0.760600136775706	0.687938061227016
ITGB2	0.918317996897404	0.874671699021883	0.887193658020277	0.841286380648603	0.829787611341443	0.828129386544266	1	0.8132214202797	0.941166165871955	0.589627066853566	0.298061067754353	0.867263041895689	0.829103546149758	0.730638076116947	0.732945495616478	0.834585887348545	0.890306459963555	0.250349976069903	0.951311918337593	0.783502682993329	0.914708648717172	0.926185607023295	0.922384189981005	0.669042180403926	0.72710387851341	0.664605019730496	0.879590876055855	0.776255735467647	0.152575376154402	0.809585260705072	0.827872320182133	0.591424723245549	0.890415962951207	0.844187615210702	0.806517425338322	0.585255845516879	0.692277510337154	0.925205702634061	0.670351718791536	0.601710451785501	0.850515594414044	0.922162223801056	0.751568764219512	0.906171465578422	0.88618038920014	0.843131799155262	0.907583948116513	0.858310088525443	0.308245253945943	0.705082280133652	0.829472474954674	0.918689809383561	0.667342939180667	0.809545968015203	0.683407502509999	0.662225206474203	0.683511410085383	0.756039020965827	0.67121277610265	0.943586214897723	0.899187225583815	0.82741137081441	0.639567716876791
KCNQ3	0.799509335508343	0.782248901699501	0.809545617286674	0.768482795740523	0.747848548333201	0.740321199674268	0.8132214202797	1	0.775318901697801	0.702807042829914	0.357279513906356	0.797150437309269	0.745677215356628	0.758623119593652	0.713138768646263	0.755610479504315	0.787277025025671	0.361510735263866	0.797265439973179	0.752321747946418	0.747140443866281	0.785117598820457	0.778022640614588	0.621361430459919	0.717224712562168	0.625582109152247	0.785495266906886	0.749323255782273	0.275117270556221	0.729752753044116	0.756955873247492	0.594020968349963	0.696273182193807	0.626646625739806	0.755225419185831	0.629543607907575	0.640725097006519	0.74070145401623	0.639177445366186	0.638928962925462	0.757324805896768	0.781474582887791	0.742372052248315	0.78155547979716	0.718730782196482	0.790995689364854	0.787371649413924	0.726383990360574	0.429312928310153	0.730473205967544	0.710632276350617	0.763778434334107	0.50935382084066	0.736486910566574	0.724495461524414	0.722908914257032	0.642533384005769	0.699786483400605	0.624619088155107	0.739338164578186	0.79441802644029	0.683423632638228	0.626168078283715
TREM2	0.879884739725551	0.844782141109197	0.880465887719129	0.831939424998902	0.843700255306236	0.806207934220684	0.941166165871955	0.775318901697801	1	0.618780944806855	0.281589930036146	0.931436439286413	0.91226729061884	0.780832249429129	0.784985327019296	0.779331756065114	0.86919475222191	0.172180766035842	0.937887485223063	0.811882686672661	0.872617103137124	0.890164982531366	0.856971365470327	0.739831039227324	0.725304705820285	0.759054130060846	0.820719425490036	0.800452752714914	0.160405159538921	0.799760447816983	0.837493392801933	0.633565050474202	0.801775541305467	0.733094717210627	0.774524022234468	0.561559331382064	0.758573391422666	0.864598724677503	0.674679227868225	0.583042675474061	0.844357883100586	0.903638360187617	0.72367288716198	0.865864810417879	0.79795456409126	0.812702006409046	0.885243176234836	0.898325389803654	0.255648800467338	0.741337807188026	0.883360071885401	0.893412144658468	0.67938521964427	0.814645142770229	0.720745228581071	0.700865112290086	0.687993363363188	0.816926421716513	0.641754327655904	0.920339808861358	0.89564622506965	0.840999640079326	0.602673267509604
VSIR	0.601064666214434	0.589034252568054	0.664905714309429	0.650817994568716	0.629799542108945	0.586536761724859	0.589627066853566	0.702807042829914	0.618780944806855	1	0.501672331085648	0.791639351427439	0.738972769860918	0.80588708049716	0.751620449600738	0.643692805087757	0.702484522177374	0.508029190980624	0.599482132534874	0.782082790948723	0.572667450864351	0.66460077769731	0.517336683254571	0.631767378629011	0.606312462354811	0.667709300028409	0.581619675116044	0.758534804670988	0.48366246283799	0.567691803042321	0.643460737968317	0.693247144287798	0.436307933535324	0.265914275887723	0.617605083337643	0.760803916232773	0.708641478213821	0.48864913630326	0.614800511576626	0.597977748247456	0.717478778345011	0.666430935524042	0.665504314512811	0.600007822827274	0.478750904323705	0.636398089112901	0.639308899113943	0.6556655367896	0.549011760987534	0.818485156572869	0.500261277872721	0.513779237495432	0.522354052922419	0.691030279222607	0.764289445766424	0.73717346672205	0.616864959059048	0.672469450131958	0.515029779070567	0.461924170563357	0.616191657746595	0.552831475858228	0.492687885807285
