""	GPR171	CD2	CD3D	CXCR4	PTPRC	CD69	PTGER2	CD44	ITGA4	CD8A	CD8B	CD74	CD3G	TNFRSF1B	SORL1	CLEC2D	KLRD1	CD247	KLRB1	CD6	RPSA	TNFRSF14	NCL	KLRC1	JAML	F2R	ACTR2	LY96	SLC16A7	CD63	S1PR4	ERAP1	CD96	CXCR3	NOTCH2	CD4	CD163	TRADD	TSPAN14	FAS	RXRA	PLXNA3	DIP2A	CD47	NOTCH1	ITGB1	LAMP1	TNFRSF25	TIGIT	CD46	TSPAN17	PTPRA	CD226	SDC3	PTPRZ1	VSIR	ATP5F1B	TREM2	RACK1	PDGFRA	CD81	CANX	APLP2	PTGER4	HLA.DPB1	SMAP1	TNFRSF1A
GPR171	1	0.959095702222732	0.913991300040026	0.796043690093938	0.942171369777479	0.76615454753671	0.761201223595438	0.848125866075178	0.842928276670627	0.681362499215409	0.637610666449151	-0.143422645457136	0.969197098251012	0.605043093219974	0.174976622381985	0.888511157256456	0.889979786993149	0.784264450700245	0.868095132762249	0.823671975298449	0.534510684481696	0.863388511876526	-0.547114479384404	0.778227639867331	0.684418906447433	0.181756356535745	0.129695804361174	-0.344984732008611	0.0111353190991864	-0.809893214104891	0.850430372130926	-0.224872627283934	0.634634403444643	0.657458409611508	-0.584592659513023	0.0822911147592557	-0.274722504879196	0.49767949252491	0.0474515067501223	-0.0645674242535886	-0.814517046761521	-0.788423763440923	-0.593840099472152	-0.681071260958177	-0.68071824975825	-0.597033967174931	-0.78190570798145	0.614803876251986	0.629767833362358	-0.819215574445573	-0.153600493681516	-0.65848340324742	0.0961180846036751	-0.731899642785676	-0.626573787768648	-0.113828611977665	-0.677755677619857	-0.179958593195576	-0.515768305998521	-0.712088577117678	-0.803731099108731	-0.718229305530229	-0.833268726509032	0.886034463494336	-0.176998656909046	-0.646160418536136	-0.86440673830684
CD2	0.959095702222732	1	0.971589660887633	0.884380140768092	0.960437819923909	0.874478039614151	0.884382487086738	0.903538904502134	0.822983481672839	0.747155585054899	0.493971598274637	-0.109951769241427	0.988399239452434	0.516754277954533	0.268393361210185	0.943808251674639	0.912662298674601	0.763638295673575	0.958659686809079	0.938407479145776	0.57336042704409	0.932842804903838	-0.60391808700557	0.847719631393498	0.663505509779345	0.0985198222635658	0.0648572294837571	-0.265894721360886	0.0324197832483432	-0.868018525950526	0.914557638164458	-0.0961753901181734	0.765701983586001	0.691335652984581	-0.638010874572251	0.0853216071430118	-0.278781102625745	0.6814791211771	0.219801682553144	-0.022402084446949	-0.830143377826793	-0.789453616062674	-0.64761366011217	-0.712358805709151	-0.72386471529339	-0.650339578516855	-0.812894813940777	0.70499666172741	0.621657245503904	-0.863183631021481	-0.0579785498286381	-0.714766616946922	0.215386240363015	-0.790791065029874	-0.703780898061777	-0.0686544092673794	-0.72564623573296	-0.118603725775637	-0.533652133268739	-0.782901619362288	-0.858877137189631	-0.742254993955513	-0.87535047234863	0.961471911376039	-0.140260769233035	-0.741345957013423	-0.938529051907814
CD3D	0.913991300040026	0.971589660887633	1	0.880994992172601	0.887686061448387	0.917569961481182	0.940928519964307	0.902729124009968	0.710038846061849	0.77679669938494	0.328514110296583	-0.105856947252686	0.966379334216396	0.431406807240046	0.220598917964853	0.902385640599176	0.939820176376454	0.660754421657989	0.93759953237727	0.950029921086787	0.488636639851624	0.891195039288977	-0.617233792865238	0.879373872893836	0.678231698629822	-0.106014959557673	-0.0162882067527733	-0.260640752063173	-0.0277244531689585	-0.867843058974172	0.963094837007189	-0.0185640839856156	0.878940150757637	0.817841823001227	-0.618086153257611	0.0551726808539597	-0.263794648936221	0.71604244363549	0.38725322303602	-0.133850008765404	-0.838619717787676	-0.754441471892319	-0.694804805960154	-0.66848602425834	-0.673871346401435	-0.702955355364367	-0.753565171880745	0.585977964565137	0.463247238024222	-0.834624727129949	0.0691740568878152	-0.759896612342268	0.323281691133709	-0.801246088300702	-0.728693720203848	0.0366027626538131	-0.716965041373465	-0.109790706035511	-0.563476500354675	-0.786086077180801	-0.868932566038469	-0.735437869180603	-0.858485134024462	0.961906396339254	-0.151162227353162	-0.769625755281367	-0.942780488993295
CXCR4	0.796043690093938	0.884380140768092	0.880994992172601	1	0.880394146130704	0.967290667567955	0.910974507128658	0.956909340761157	0.813313470725206	0.919728659289049	0.338443587363333	0.258863806071781	0.890436375120078	0.580009602747807	0.589220478572146	0.801914244975943	0.754355649994685	0.803252351014122	0.94311665364872	0.923534653055747	0.412734231981706	0.787819507515269	-0.771410246237979	0.737983600053491	0.793940602647141	-0.0916887974553637	0.119466041313803	0.140787390871625	-0.0448524331412653	-0.86296477985779	0.814474010328661	0.0732407689892113	0.790034723428273	0.678877980024483	-0.853283050138961	0.377176855856802	0.0424193425558378	0.832163914878503	0.273857865435385	0.306103857236525	-0.877617640174131	-0.836817825809834	-0.703743178789675	-0.85156037854452	-0.80833249730456	-0.779219305806022	-0.708122428166236	0.509851085661653	0.65227357771764	-0.893362812113353	-0.253657369480491	-0.855336561508024	0.558480632622998	-0.880223530812551	-0.838061966540121	0.288727134644257	-0.746382758058277	0.278182972028479	-0.647042647179448	-0.89185788195244	-0.767211899981687	-0.793731360426187	-0.865482746920372	0.936487343690979	0.246667214562841	-0.858010070224966	-0.913192047648575
PTPRC	0.942171369777479	0.960437819923909	0.887686061448387	0.880394146130704	1	0.82383387750628	0.79106526646138	0.891397295412366	0.926033121963861	0.743002215147971	0.650807919830842	0.0123288463560366	0.960355039975214	0.633014902069223	0.393404686456574	0.912892874422759	0.829234856443518	0.878776915853968	0.930923281036346	0.874442709105183	0.597286699119543	0.909380242991197	-0.617701551396267	0.766492957908118	0.688469140986398	0.258594524946337	0.198607206157564	-0.142509633596218	0.0903757145031695	-0.815385813289237	0.795150542312204	-0.138762348582809	0.61634151865647	0.561367172418683	-0.701400271883586	0.227435061447096	-0.165316746064079	0.639147380466047	0.0233783528143401	0.143396374711953	-0.8281217956691	-0.82882251554265	-0.590691480857704	-0.769652363026983	-0.774298578820496	-0.596386437125908	-0.79590076999208	0.709279326645794	0.783157358543744	-0.867848363599604	-0.255903319658376	-0.679404395964908	0.196068409896271	-0.770655248842671	-0.690315793539982	-0.0584531133929461	-0.705366336269377	-0.00276869278187555	-0.509857686147997	-0.776279845386151	-0.771149472708175	-0.733268296606448	-0.852402433264618	0.919727369778725	-0.0117756016127667	-0.699806576596427	-0.881812139847299
CD69	0.76615454753671	0.874478039614151	0.917569961481182	0.967290667567955	0.82383387750628	1	0.958931151484193	0.92727454356132	0.701638882996666	0.906324121924471	0.200127415730305	0.206207657186657	0.884021733107861	0.459578338418828	0.500201489523791	0.805555340680995	0.798772068512385	0.694379282742972	0.921390121522427	0.944351219654483	0.355602978897284	0.774566404903815	-0.756444365641678	0.778848451975196	0.735424510160858	-0.267597008576577	0.00823575707973153	0.0604110382922572	-0.10645304457617	-0.874769143875829	0.877562281424684	0.104043569692516	0.896674973956472	0.793933967712025	-0.784573133076835	0.300593759599588	0.0128123171550481	0.841764529215959	0.413993493822896	0.133384369115051	-0.877738272987988	-0.793911323720396	-0.736071966900692	-0.787066467592336	-0.749033025437148	-0.806410124625196	-0.676567012378348	0.456581023349936	0.491167734587776	-0.852900264444618	-0.0829207405000028	-0.870217012247218	0.597414250267139	-0.874925319620728	-0.836858085209766	0.320604306135088	-0.746728397747365	0.223039094848359	-0.665909108736607	-0.883160775170901	-0.790777475916209	-0.788989151328249	-0.856688703000344	0.944371147014697	0.165448398602024	-0.875645530991272	-0.919816144928354
PTGER2	0.761201223595438	0.884382487086738	0.940928519964307	0.910974507128658	0.79106526646138	0.958931151484193	1	0.911382825344184	0.605845467865163	0.791610218725976	0.0795514222647025	-0.0231158652673783	0.868088558732601	0.290232979460106	0.310289096927491	0.820264488744795	0.827467880895863	0.55639314021845	0.931703981405143	0.974563636379719	0.442134810170699	0.830325863702169	-0.638243792785097	0.827309989594084	0.648915541383804	-0.26379137232422	-0.0733637317281947	-0.0964262010665468	-0.0534737615674442	-0.843458094916378	0.932631571928897	0.147453863729782	0.954013426766564	0.776873863762104	-0.6580856257295	0.0606896355265594	-0.22101980453637	0.868290596230785	0.533301234709676	-0.0304943459289764	-0.793518662341532	-0.688208034275609	-0.726843547730951	-0.655836186318059	-0.657933484344519	-0.732936451758216	-0.710213620312471	0.553918598759761	0.367706306094869	-0.826447272809924	0.124747784329922	-0.785614214914575	0.460085363359052	-0.802801117304421	-0.760382569534597	0.143510987624463	-0.68973866745731	0.000923437995705615	-0.553045659455635	-0.793293252457153	-0.844995639636769	-0.701804657074544	-0.821035348172121	0.929425490947994	-0.0479867241294375	-0.807179753947992	-0.93855003520744
CD44	0.848125866075178	0.903538904502134	0.902729124009968	0.956909340761157	0.891397295412366	0.92727454356132	0.911382825344184	1	0.803348855974455	0.837292031440543	0.364476134498968	0.1326630501992	0.909332240839847	0.57071366693293	0.464727051024236	0.811625742538012	0.79408895431951	0.779033661313238	0.945286501331838	0.920840300880006	0.549530346801227	0.81337666290385	-0.640743020254654	0.752439979637118	0.819912934661523	-0.0181733966583459	0.226202086454243	0.0542699466185202	0.0592877462989332	-0.786424111055229	0.84778007915288	0.15426471824573	0.785608413892981	0.681566399692697	-0.746543732827144	0.273346857697354	-0.0768244341192936	0.816043220323282	0.307886843074276	0.192060694592085	-0.829811474046679	-0.781672480117512	-0.612094305767386	-0.752621698205626	-0.723609505145955	-0.660036149402015	-0.672046192000319	0.531652237712777	0.628954304136219	-0.854828512415589	-0.14983913628322	-0.771380703292956	0.473917679082644	-0.792479433771914	-0.742424967328429	0.178386301898186	-0.645370722917508	0.13440525666243	-0.509578080986304	-0.790866516538101	-0.741613297447651	-0.696169517691908	-0.795660400518392	0.933745089560077	0.13867488701712	-0.737290356736358	-0.890694534507422
ITGA4	0.842928276670627	0.822983481672839	0.710038846061849	0.813313470725206	0.926033121963861	0.701638882996666	0.605845467865163	0.803348855974455	1	0.749855934896069	0.763776250552933	0.18466438554462	0.847854025491831	0.721221786374166	0.531801540587225	0.802001970965789	0.653916238292259	0.950281784168528	0.796755296938544	0.712046381158577	0.566289254250804	0.739635759274205	-0.533249050802083	0.571831638515583	0.710720060582555	0.395145034346301	0.400801391995506	-0.00865121833553243	0.0602261195960338	-0.700413556970097	0.573408876010585	-0.150561841153645	0.383793171085402	0.355961045881783	-0.675300386806852	0.379147927701068	0.00583636098813986	0.515711436316391	-0.217783893792245	0.414191318002355	-0.750182798916406	-0.832284755396817	-0.487894760297998	-0.744858801144937	-0.681448200667986	-0.523409043605609	-0.65434169703374	0.594067277883388	0.908882040465108	-0.789985481939956	-0.458106644655387	-0.574391462338637	0.177229819490285	-0.647267495798914	-0.553303495579687	0.0075540069584873	-0.563189267679638	0.157789201561367	-0.481062825914726	-0.677788287016396	-0.571770601121372	-0.694232848141946	-0.732224934332795	0.774463783517668	0.198741722447733	-0.583335745809547	-0.736663042221699
CD8A	0.681362499215409	0.747155585054899	0.77679669938494	0.919728659289049	0.743002215147971	0.906324121924471	0.791610218725976	0.837292031440543	0.749855934896069	1	0.316986650197418	0.415655685396727	0.792815027787888	0.593232457647837	0.627840438932731	0.686745515183993	0.703152177271575	0.783649575517802	0.774115370024559	0.778661186228061	0.224777905285842	0.574919856237699	-0.747435216648714	0.675909704718999	0.821869174942536	-0.225087452876208	0.180526147513508	0.201363018046827	-0.183781302407671	-0.794240283703432	0.68561451707896	0.0699797656660836	0.714300818079622	0.700948934501848	-0.805176374292672	0.502399991029872	0.24441033587205	0.682974489848687	0.214973339240943	0.358632948384198	-0.862321003278382	-0.843827541536183	-0.68540281126756	-0.797912999311943	-0.67533930227632	-0.815869696386912	-0.509976820162526	0.224683370804657	0.585523955630225	-0.802676237242164	-0.279212835124229	-0.838338357326766	0.667344424371994	-0.812195421523275	-0.762455382594061	0.486715227616797	-0.654168583640004	0.428381784477417	-0.725214327291949	-0.834842717097844	-0.61627463783745	-0.797428387873602	-0.764649796771108	0.814386581830299	0.39233676853097	-0.813466105198362	-0.792591025275965
