""	EGFR	THY1	LRP4	LRP6	SDC3	LRP1	ITGB8	GPR37L1	LDLR	SCARB1	NRCAM	C1QBP	ITGAV	SORT1	IGF1R	SDC2	ADORA1	GPR37	IL1RAPL1	VLDLR	EDNRB	ADCY1	CHL1	CNR1	LRP8	CD47	AR	CD44	ABCA1	INSR	CD82	RIPK1	CD81	CD46	CD9	TNFRSF1A	PTPRK	ITGA3	TYRO3	TSPAN5	NOTCH4	TNFRSF12A	CANX	CHRM3	ERBB3	NOTCH1	ITGA6	FGFR1	LPP	ITGB1	RAMP1	CADM1	MRC2	ATP5F1B	F2R	S1PR3	FZD3	NOTCH2	ADGRG1	LINGO1	SORL1	RXRA	CD99L2	TFRC	KLRC2	LIFR	MCAM	ADGRV1	ANTXR1	TLR4	ADCY9	CELSR2	AMFR	NRP1	VANGL2	PLXNB2	CALCRL	PTK7	RAMP2	TNFRSF21	TNFRSF19	CD68	APLP2	NGFR	NCSTN	RYK	PDGFRA	ITGA5	GPC1	PLXNB1	SLC1A5	KCNJ10	CNTNAP1	ACKR3	SMAD3	TSPAN12	MCFD2	CDH11	FZD1	SMAP1	MYLK	KCND2	S1PR2	PTPRS	TGFBR3	SDC4	TSPAN17	NT5E	GPC4	ITGA2	IL17RC	PLXNA2	IGF2R	SLC16A1	PLSCR4	SEMA4C	DAG1	DPP4	PTPRA	CD63	DCC	PLXNA1	MERTK	APLP1	PILRB	RACK1	EPHB3	PLXNA3	ROBO2	TMEM67	AXL	SLC16A7	GPNMB	ADGRE5	STX4	TNFRSF10B	JMJD6	STX3	PTPRJ	SIRPA	ERAP1	NRP2	LAMP1	RPSA	LRP10	TSPAN14	CDH10	HLA.DPB1	PTPRZ1	CD74	NCL
EGFR	1	0.906972086068331	0.852433378700519	0.909641310216104	0.845369599849346	0.902638476025981	0.947928961064482	0.768487269873785	0.930784179680891	0.713371458722998	0.916024023871736	0.926326720580609	0.930802342822863	0.893973633010466	0.598665413440801	0.886276895335989	0.889312959713873	0.865799414094638	0.702269372139261	0.621542006842092	0.803108233991948	0.903494661919195	0.913384460719043	0.680128143895937	0.925912170589112	0.934427412856654	0.922991610007359	0.390115372219228	0.60246527241412	0.607081438321516	0.903535581115151	0.923881433912746	0.906715258736068	0.885180181112289	0.859718706947001	0.823181388201262	0.831303435831018	0.914207095031694	0.866494966093498	0.956208486199489	0.619954624313554	0.648960925899301	0.962657053329845	0.970056217785307	0.806669027365405	0.869212977244268	0.745165083475381	0.974880674243396	0.934818431165899	0.89415782289135	0.81357471190141	0.919457967787897	0.661335297289454	0.929239221337769	0.850649475235174	0.4216127590887	0.920859803825062	0.916281965576182	0.846731532059599	0.84065031764246	0.683727877076764	0.855433682341012	0.915235320547143	0.918971837577074	0.863543095908394	0.8777586718131	0.779281800385561	0.631190731153971	0.940749635601694	0.876200986947638	0.924946391463475	0.936582328488383	0.920549782296247	0.716897502746759	0.83272709214462	0.890992923301953	0.767729207412686	0.935298153350131	0.869393657891351	0.941708971803012	0.934500253272381	0.414652436580899	0.944884779219455	0.620146679059686	0.913092297862497	0.947313298049284	0.82957691820123	0.767386467062251	0.78261935502023	0.78811376317611	0.382043485823113	0.722118822113439	0.767463682174272	0.820894491715658	0.712359449420005	0.88988791452373	0.92196607974693	0.844230914601674	0.779714149330169	0.938952911346275	0.209559410425994	0.854445446308871	0.882687049044848	0.852552079714999	0.809596368591522	0.557830835567497	0.890419713299421	0.800731712102409	0.707677748535765	0.693698129312365	0.915378518401237	0.685944801674854	0.86042794451908	0.651782797601115	0.670991956198799	0.821519089626511	0.933732019989147	0.729040121792226	0.942120939175824	0.915128049691354	0.830287212895956	0.862013611570882	0.828424888444656	0.879240145525271	0.922537227702457	0.838990476766474	0.909939313431508	0.855662164373299	0.900880187070493	0.926443026675316	0.766918600523643	0.890304951887647	0.517030162146478	0.877456751351169	0.815838887744252	0.661150617988789	0.705887678374632	0.386993328702559	0.840527894151917	0.756774026142223	0.847875874283763	0.715897464104787	0.909805508447681	0.871092172391431	0.900002619286212	0.731255544682112	0.819506267996605	0.559462236914296	0.879688835041565	0.46342161674745	0.965838647534423
THY1	0.906972086068331	1	0.898617164702861	0.871392787046206	0.900856535270922	0.946650129383975	0.938805799768671	0.870704347338979	0.8693549428119	0.535655231183605	0.892300523262268	0.918902992207606	0.92271715042156	0.872234053743668	0.437814838043097	0.793005652212043	0.91081850752929	0.915453186400106	0.744352080716955	0.410671008470949	0.824716481067482	0.958299653875925	0.894491325176417	0.729331633611942	0.944646294850338	0.863259766781381	0.902115136292589	0.173185991374783	0.47294119097125	0.637362242816452	0.962532449046271	0.861442327700838	0.942942407436619	0.794364769916074	0.800907163987889	0.730533125331916	0.825089166990744	0.805787938983025	0.93781984364683	0.915635727531507	0.563788894060775	0.473766975844096	0.869907128650448	0.910477282092645	0.900199842203184	0.891535810614523	0.788031556603165	0.89083431344207	0.846691315365061	0.786786926929675	0.919785473149045	0.909579600707965	0.657108276441396	0.902941767269144	0.778935654148376	0.150879772443123	0.882053536381523	0.894294585953634	0.916609274190422	0.945848650874739	0.650368365533818	0.73574333974677	0.90209363327573	0.785725557001697	0.911140162238903	0.899954931359307	0.814134810794613	0.631773627673464	0.936591478585101	0.779056719352466	0.865337611770364	0.93202623177146	0.883590089203044	0.537582806016602	0.883520023719684	0.771970471428685	0.755814314151433	0.861781010348056	0.867511264460288	0.965144399631497	0.869999293201318	0.187849471641612	0.888748021578738	0.692470589037039	0.849293650232042	0.885161281673675	0.888664033516433	0.624706082745463	0.643047199915378	0.814291289604104	0.145461288059343	0.795368829953333	0.77326533025719	0.92071107312657	0.682682462971876	0.880265253819861	0.845680473067191	0.817730101103324	0.670509466795476	0.925586960643869	-0.062770207298788	0.901132116759166	0.887981990501429	0.847874510471448	0.720229624841653	0.320423541170687	0.846748732000363	0.828768277636188	0.718276411430225	0.702771810393154	0.903449798221709	0.729287650337809	0.832836726865217	0.424757900574318	0.758349165013121	0.743967904445797	0.959573893847349	0.545759288618203	0.945643341822685	0.848020405090464	0.892653308344917	0.722001417357685	0.758188612419052	0.918933845638139	0.868478441041453	0.724929450941461	0.869611818835427	0.741134052551386	0.941546907616922	0.914656975065389	0.773957029457271	0.888428277845513	0.311181508728413	0.911108539829634	0.655103509907421	0.446495360659592	0.544153820317551	0.310213425148463	0.790610145630782	0.791171213107847	0.841341103493998	0.650482256574155	0.921526039741277	0.802038882275401	0.831325435571149	0.730536997389609	0.879374936209781	0.500151952603981	0.928398184096109	0.435514162703045	0.935443885361886
LRP4	0.852433378700519	0.898617164702861	1	0.919442806873063	0.954379628259062	0.973432717992728	0.931680529461332	0.951040914963354	0.836818713620292	0.442485041671062	0.89329045346765	0.760205561892035	0.92614920993503	0.905561024556467	0.461995338382122	0.677405612561054	0.911039703557507	0.910638279716396	0.918836409384248	0.363036957958969	0.862259208221001	0.877872821426234	0.885047223780857	0.702002137268845	0.900357146209825	0.810513069020998	0.885208476988234	0.115074991837879	0.449931981234412	0.775061547968332	0.902930912662153	0.82517901255983	0.909652452858062	0.839131155389262	0.721155176491853	0.638067291735111	0.913885161571011	0.735097146448042	0.953814166018072	0.804493275440756	0.61921056735137	0.348027667333617	0.813628956066824	0.872227366950003	0.93611123061516	0.951953487512934	0.888718256357763	0.813277197329335	0.854506292714317	0.743415490519906	0.895067476849191	0.903998015707479	0.671698568685073	0.761836262803215	0.763132268184018	0.0583721112557764	0.876595794897283	0.894454136299143	0.977578669968549	0.937718984474984	0.689495599422917	0.698987964417358	0.819258983464315	0.685178795779306	0.951894329962147	0.948544313206579	0.823642907126343	0.703400557525793	0.916472106005784	0.783371965651051	0.861981471163862	0.944035252650023	0.790366723759894	0.473739739499983	0.936373442253	0.715426067973372	0.873807362773067	0.826483515652365	0.786971278092285	0.891553175272043	0.829788215028458	0.120255925384516	0.850097424642099	0.736945825400304	0.82195749433213	0.86316848874597	0.966138497614244	0.597768992951272	0.503657547789175	0.882289586853144	0.0716239218841519	0.904422577907091	0.777165656101964	0.835105577383523	0.706435566513103	0.899985487185603	0.773229535836948	0.799398689121607	0.621211480561815	0.866109606164834	-0.0952963226911506	0.939867119044161	0.846115443783382	0.917701283535191	0.667163675347517	0.192658578564654	0.796775487533541	0.889935659359883	0.699519190225586	0.750966684184598	0.882343460187859	0.835970358229735	0.86715472854667	0.31874890713769	0.817228979325979	0.780227112689176	0.927261803189045	0.404102241083588	0.915060546352716	0.72543904378651	0.924869708059222	0.637550410346147	0.80263953644723	0.930009840179878	0.903585527760226	0.562720959905803	0.856873859017239	0.654340546124078	0.959640582857933	0.903594866767721	0.788904168736829	0.900908638172786	0.302856389012972	0.882042215481201	0.595178749503327	0.326065382324778	0.434763233693785	0.413165511727322	0.792465818366027	0.836074915572286	0.874126367360436	0.721429938056205	0.920454528012591	0.602926480787072	0.791140281319198	0.802184779689525	0.939584925577038	0.490980953519735	0.98314222836286	0.476369913119928	0.84115620774212
LRP6	0.909641310216104	0.871392787046206	0.919442806873063	1	0.895952323890858	0.938606208180205	0.951278245190481	0.816068686553258	0.878547491061489	0.60071665518819	0.934474065332075	0.807290863045143	0.927236245359142	0.925899659414036	0.641731227224754	0.763721367423789	0.883625356014942	0.892572949514019	0.827367126231563	0.580441170401328	0.813558169894435	0.858867257839372	0.927248222287574	0.739048442347539	0.886857001241596	0.898540898046975	0.915662160397627	0.364182971006689	0.629201478453932	0.78526676458253	0.871055372487124	0.894196085820957	0.890731375695351	0.930104809594545	0.794617082771158	0.777371893778023	0.925926152933115	0.84220008435787	0.903307914895286	0.853692516628687	0.721351033094758	0.529802677389898	0.899782355362883	0.920464825606545	0.875327529015045	0.937210043355473	0.832139545516764	0.905329854555687	0.938073735546726	0.85918886009719	0.797639972687072	0.930986668337735	0.735052140533303	0.798193830052112	0.820438695181954	0.276912284704082	0.930616609150073	0.918423684317246	0.90688219389397	0.853056515419559	0.741366348907952	0.811520195127214	0.862557335470441	0.811259450646979	0.89299105375141	0.922953277285855	0.820417076983709	0.651768842215236	0.946540148761354	0.866558746491603	0.906658161153723	0.951116263641482	0.865576285946812	0.63591326960713	0.906558479991635	0.816855797880213	0.86643117202869	0.886804728608326	0.841169807201981	0.889450858522187	0.889227178082493	0.328115149705225	0.90958666691435	0.621089515957551	0.892436938619184	0.940129826915893	0.878022200512912	0.754083103767222	0.647993974741607	0.840288159882675	0.318355891370104	0.808793336649275	0.843268566235807	0.770432038952138	0.796227359692224	0.895850417541861	0.857937188421396	0.897563000138046	0.735697615931691	0.897595285737234	0.129494955691422	0.862663637077977	0.842639259022159	0.931994866451554	0.752062876701184	0.412812855512531	0.86772335805313	0.813180594222891	0.742019381329084	0.796036838430806	0.915579348288497	0.78445432517743	0.914293457669365	0.515414194218801	0.752132314366716	0.829270648141172	0.907578492142247	0.55559465454072	0.923401979205388	0.808033500213309	0.887074627909907	0.761033514491936	0.82230838429481	0.892600790029763	0.94526694593791	0.690498558483913	0.883568885762342	0.799143213681325	0.937918382822408	0.932103683297094	0.774898480700411	0.93005556492594	0.523333317821886	0.877828724573315	0.751209759334178	0.546782336750913	0.620317341019662	0.525234674101596	0.849682587914587	0.776929717249732	0.907767562716311	0.797761893910829	0.946787367023091	0.702388107876579	0.888335802739301	0.806697354794927	0.86856119583904	0.551607331520913	0.932206497908096	0.506703601611112	0.90022132292991
SDC3	0.845369599849346	0.900856535270922	0.954379628259062	0.895952323890858	1	0.959484656967046	0.930018102487519	0.957075173731741	0.866559444571724	0.513691905620413	0.927379889110612	0.799836760978715	0.960634512348166	0.929388601455855	0.465708985296686	0.777982275689404	0.959155916204725	0.941008720910253	0.859613905061815	0.376638685268993	0.954384285166695	0.85713175572926	0.928562066744148	0.775707380850762	0.888335872434212	0.846648349154763	0.91219559886055	0.15124488993459	0.512635121649162	0.770200117480569	0.864718704665033	0.806346208247368	0.95891420892153	0.829918046198388	0.764591073168594	0.686779704183453	0.873927524042971	0.753109010750838	0.940609871308805	0.843113866950235	0.638027276916569	0.365544680596835	0.846759334090471	0.862200915976412	0.92465267881363	0.962076734954559	0.945884429454473	0.828213517058289	0.859290571797482	0.767399610708633	0.948160972535393	0.932945725542714	0.740710779014948	0.811006014208822	0.83635655452351	0.0931779470585724	0.889824872520669	0.933899012149256	0.978288953059227	0.896150459302531	0.786150989122367	0.755152400905871	0.866853072804588	0.691980736554465	0.894267598107982	0.984807628463599	0.851077146394325	0.840200974076952	0.929981273241849	0.837110628407362	0.862885345276913	0.95654300991678	0.84382296573194	0.506516166977236	0.930459934615063	0.775400838557446	0.915271886965263	0.859298799755129	0.792000996863055	0.916043917560048	0.854029808616775	0.158831058768411	0.892623554729904	0.858770744966446	0.8512298981827	0.860795189989768	0.903233362881966	0.62434397502555	0.553556361811231	0.936440687755563	0.100496924262446	0.935771901691454	0.759385941582287	0.837228605546419	0.729876586459329	0.858329370068345	0.807037702795805	0.805348696880313	0.680768362152955	0.890737634787822	-0.0441270141251382	0.934890501752328	0.838736359394923	0.862830562251919	0.767762396060101	0.247349488589373	0.816418547818717	0.937522956244418	0.71566975633352	0.737208038554642	0.90121816193991	0.848061504040654	0.880599023490371	0.365486450652925	0.878443792912703	0.831537965681309	0.95772844925447	0.475844909802423	0.947253095692671	0.764079007156484	0.913472277363147	0.640614874373251	0.877274543052183	0.949583749634529	0.893866373293379	0.618329546686204	0.902870175391396	0.696570322073665	0.963974427836371	0.905360905741503	0.859060527222388	0.865229594410546	0.312893489117743	0.854525424530795	0.614705173612888	0.363907235795493	0.458717481666653	0.394423660289179	0.791995239917186	0.942114867289682	0.902801451419049	0.812649319245418	0.935653094258127	0.666171488101703	0.847125155788732	0.848406090534069	0.925277979686605	0.522007768780601	0.975477937560276	0.500972073646478	0.850982564649785
LRP1	0.902638476025981	0.946650129383975	0.973432717992728	0.938606208180205	0.959484656967046	1	0.966402257363009	0.929225618295605	0.879822479306262	0.551907690722208	0.930750587335719	0.839972807288401	0.948868718118402	0.926651874142485	0.535455374941267	0.755253363196871	0.933324166136434	0.934494819273295	0.873453516069498	0.434169566790083	0.864958799457139	0.932889111988396	0.921758820811039	0.755528732543032	0.930972322759264	0.880119868306942	0.915760450880329	0.207135112740518	0.537118712933635	0.760546698272722	0.937911471999418	0.873471003201899	0.9479471720083	0.874210896161246	0.806291974800426	0.734658225197801	0.900884403943441	0.815903865050531	0.954534483563386	0.862958325185453	0.635696874844469	0.446767363323561	0.873857768960147	0.912119416703426	0.95395838446422	0.951573552683484	0.875721087096666	0.880313836473538	0.894699280161977	0.80324603120962	0.91041403475053	0.941054759825004	0.732433147748714	0.832321147423856	0.812199051872707	0.156339269363579	0.920446780724939	0.933070085872703	0.977403764992305	0.951607458345357	0.748520371186325	0.763183175661551	0.884660702581135	0.75627999822592	0.95126652404534	0.958808500122499	0.838466969596937	0.691712113947387	0.950546521333433	0.814822588639311	0.899698284427803	0.973887825013147	0.871963467238061	0.55909656776165	0.948881072657379	0.792567979991144	0.860535753202944	0.877028643775951	0.850472924688205	0.945917120939538	0.883783140842407	0.208737447903658	0.902600286089232	0.723017178236153	0.886301396308835	0.915347133159777	0.93995371043991	0.67786317581645	0.612660768116459	0.892769391324843	0.179140305172672	0.874628294036095	0.82145583710208	0.871218622202727	0.732628488591899	0.900442383839624	0.837679153681751	0.854314121456002	0.703818416439031	0.918971961828976	-0.0338054037563058	0.929641469514437	0.886710545766109	0.913021626939246	0.733570951193105	0.302108340030012	0.850067486757892	0.874849967415883	0.764935015800215	0.775898972027192	0.929173459373582	0.809480400076029	0.904076458805277	0.426074398892037	0.825315249059772	0.811336709233777	0.962746089903934	0.530667281506587	0.956421678676211	0.80496252679985	0.934283063762739	0.716613466468702	0.814849302876605	0.940418990238636	0.926613468805556	0.6610879693791	0.901307381300191	0.754421076247207	0.979295844035128	0.93983446430047	0.829272037251212	0.943976875251938	0.391804368617686	0.925715583193849	0.668250746707559	0.43001838462779	0.508273055941699	0.447125985312788	0.842374365442036	0.844249657917531	0.897725900671838	0.746396235927308	0.952961666620642	0.69536366630746	0.852965940962604	0.8182026063471	0.941670701748096	0.508735272293071	0.980943665801325	0.477825388306499	0.897761246454204
ITGB8	0.947928961064482	0.938805799768671	0.931680529461332	0.951278245190481	0.930018102487519	0.966402257363009	1	0.853412568105764	0.908356165640916	0.636724557333833	0.973313061403767	0.885356315857335	0.970604583863268	0.949590560453123	0.613391954193823	0.834667904576512	0.926102655749496	0.930115011529466	0.817673537430942	0.531636983615775	0.857221393743808	0.914690322769596	0.95933689694556	0.790230371477111	0.938572710157237	0.930727002070074	0.965072759932494	0.34550235105178	0.635467048379934	0.731347335428786	0.912764237663077	0.939086020730638	0.94765754442947	0.915299455158861	0.83489515381995	0.81806050467892	0.89743504823605	0.885995682619742	0.926417866884335	0.921528598912975	0.649002558179066	0.549173811961539	0.935454627828225	0.952203905981488	0.91251804194666	0.939584586420464	0.849639016385488	0.941557834235851	0.953233387036021	0.876919905939288	0.871880873798083	0.971272049627738	0.778556273611523	0.880535454100169	0.885285471696831	0.296909249697724	0.954532911952294	0.944326860782529	0.92635872033813	0.892795465649581	0.770026667117366	0.824098721713713	0.915650226831922	0.82959404845314	0.917682316760845	0.944637772436382	0.864154566320749	0.683171029581577	0.974686434142473	0.86590516822904	0.929639451061198	0.979383840098257	0.925623033774744	0.672523336543722	0.926667386841405	0.855227536572374	0.86688643266504	0.939151351722215	0.890531034917842	0.967920682180597	0.926439216635714	0.319725122101792	0.950755133297832	0.673596086657938	0.938350154562587	0.951903633293545	0.881469425631549	0.750964610253868	0.726062783765674	0.877195753408348	0.301895790404432	0.808949476496278	0.853852396397979	0.849414151774247	0.765422979210185	0.936240738112684	0.909371608155088	0.900007783751091	0.762553084847983	0.949738903511384	0.0761265054629303	0.897086610667523	0.896590511302266	0.908217690570179	0.783350956485757	0.443232831202159	0.894233170191758	0.839356440287947	0.805823483414947	0.812887212193294	0.958847998970566	0.782527158431545	0.921585976216415	0.553426807628457	0.798893647694119	0.845145881093922	0.970672911860847	0.638260261418642	0.972342072422692	0.867403271960111	0.888881148469801	0.797462918122049	0.837532450769996	0.919655904196385	0.942131116136501	0.752385306348644	0.930686790469788	0.819768072302228	0.976881963614341	0.971160444667044	0.841158066754674	0.943329247541887	0.471798717212523	0.916548317515408	0.758279000728925	0.539644372872484	0.616870239682021	0.426959348006832	0.878741150176365	0.815654492688102	0.919736290838677	0.797003721287399	0.963904057225179	0.774886377837331	0.916952976823037	0.803770000671856	0.919060868489145	0.56549942886212	0.95554234346831	0.506310012127513	0.950505242445237
GPR37L1	0.768487269873785	0.870704347338979	0.951040914963354	0.816068686553258	0.957075173731741	0.929225618295605	0.853412568105764	1	0.787849512245712	0.344470139206837	0.812849690178824	0.720703645004964	0.886634275497254	0.837380237537487	0.286541884765638	0.637844707784115	0.900754086867037	0.879362165930055	0.877381850836622	0.192947562056939	0.898841630364058	0.841738654278973	0.81904985811585	0.628763922631316	0.855988885050707	0.728453598638661	0.818481690407791	-0.0739015546350234	0.29373416617347	0.707850429407175	0.868198595712952	0.711234104250429	0.894596105703979	0.712682771208257	0.651709050264803	0.50968454708831	0.825642418590457	0.620758252557141	0.922231236930723	0.749912123006997	0.586280876041255	0.215450174496974	0.731237383031531	0.789557674841928	0.907633801565053	0.915732770485451	0.900160186002586	0.717799947014726	0.735271401738731	0.634265793515507	0.942102948489923	0.83078882130868	0.576672010589977	0.730949663838654	0.694852768864972	-0.0854189805806766	0.781617656887751	0.839328266993318	0.971774272905938	0.924533156080516	0.645818464341921	0.598449075016246	0.756754188964673	0.586545686919989	0.910120147220051	0.927423430598529	0.791317026552791	0.784470735813823	0.845992522105783	0.721888986201284	0.782013268184442	0.88949831188311	0.730863503311133	0.33576583404524	0.877825181640801	0.637123809070269	0.849239787888999	0.740691143006133	0.706520611755313	0.853442875730488	0.738870285773169	-0.00320330668034156	0.781500932641566	0.855129873824887	0.72952480555555	0.762163302106812	0.931506610356958	0.475031248539486	0.385289766897338	0.873836122525498	-0.0747222848842161	0.947117546196169	0.64684475677902	0.832088645581811	0.591738427995082	0.802140238136259	0.680257841664974	0.668235523799472	0.523345549900288	0.809820471606951	-0.214097271694251	0.942071819265045	0.796961123458368	0.817349447770622	0.63753224394306	0.0543804478894484	0.718623983464609	0.928397932743269	0.606631048556458	0.627104822926726	0.807984685462958	0.841745003916503	0.778654267608821	0.179530758500402	0.818108793987887	0.707491279080148	0.900147033132434	0.315556433232811	0.873712546670919	0.652048800383026	0.912237824989062	0.509777283394217	0.795223617861614	0.919703383779825	0.823718636059442	0.48101955709944	0.808352232411929	0.539099299784631	0.913341703322686	0.822095269158147	0.759430803403753	0.81605166903006	0.147363856728577	0.805865295057138	0.473283254342408	0.19980058919869	0.301058704150933	0.321482786891869	0.699917527027904	0.892351057574964	0.805629034515412	0.670184944565853	0.853731543255453	0.554546916874228	0.69569152829457	0.776411145940317	0.912969309194342	0.45378828698118	0.953728934075869	0.450210663633194	0.766675924884595
LDLR	0.930784179680891	0.8693549428119	0.836818713620292	0.878547491061489	0.866559444571724	0.879822479306262	0.908356165640916	0.787849512245712	1	0.695754761253775	0.912700955960522	0.914795712640685	0.908277713830349	0.879963033334293	0.568226200710804	0.882504881102174	0.88542882792634	0.835889798503604	0.70919446286461	0.623281345038491	0.841470194887032	0.843727540887765	0.896858419078492	0.647654511380516	0.894521483292728	0.923088077082722	0.912154519444572	0.37924407463293	0.580588581345776	0.622295506922181	0.864584704673345	0.854727415028284	0.92105267805752	0.847222270661275	0.870957460882179	0.812043561756947	0.835617648425155	0.867902769916027	0.872981051319604	0.940803842754199	0.602221242358418	0.657624136849083	0.950959520081685	0.937336493564138	0.774329375079537	0.852981047080811	0.792501927785804	0.940122208607077	0.911410875222708	0.885850524425599	0.831060424175526	0.906671709837382	0.64056124745634	0.926541570225207	0.860685748461069	0.397122412231304	0.921176074890134	0.921748477748356	0.839987830213751	0.807244124531254	0.669907322563679	0.890641016927257	0.868656771736649	0.871174058510188	0.84251244348202	0.880389493423447	0.74876141317684	0.713405265420553	0.917295413836002	0.889462717298193	0.870963268951961	0.916283439579855	0.861515991737241	0.659328097147619	0.801496066798739	0.869852258373274	0.814305439571596	0.919740185235662	0.884732066753334	0.883615915609665	0.890721741752526	0.411403537252871	0.938296231606657	0.670857928453179	0.870887205938334	0.943093884796498	0.804840736732998	0.75502818835019	0.754155962860006	0.788410937013548	0.364023142338661	0.776354340385892	0.690187564679988	0.775346256611286	0.737160204876695	0.874871042052639	0.907394271724857	0.805236306427412	0.783214140420724	0.956271603458574	0.243975221956955	0.832798531244365	0.864094222426555	0.860134781305469	0.802364613211313	0.541716476557934	0.806385728225717	0.83867106950815	0.650091093101238	0.679301050874278	0.909006057548246	0.702912725096104	0.82886903656666	0.622218452780563	0.705438703818593	0.846885350279648	0.90851923097571	0.686625047037973	0.93718754850851	0.913785050664576	0.833191430734835	0.817917131253098	0.874037121959911	0.893889023501719	0.879767907669469	0.834866183213965	0.904772725243116	0.825416496706345	0.890881395311891	0.888676834535566	0.7805102593902	0.829824887799327	0.49287076418147	0.844506539898124	0.840191109423729	0.654957031367489	0.705308094065323	0.351447426057834	0.847439136697697	0.80983700519885	0.858191931521778	0.761275630145684	0.895331090328188	0.863718181946624	0.903470840826124	0.752206643935424	0.817301775190871	0.542611058420464	0.873663367157878	0.444338876349842	0.941568059551721
SCARB1	0.713371458722998	0.535655231183605	0.442485041671062	0.60071665518819	0.513691905620413	0.551907690722208	0.636724557333833	0.344470139206837	0.695754761253775	1	0.695514846961981	0.729177723053784	0.622360669119722	0.672868205904278	0.819549999080959	0.818260800018751	0.57738938247949	0.522012270644692	0.34781184397997	0.772271250337455	0.515562716105221	0.517337843449516	0.660489795598714	0.597037413963073	0.542962436728094	0.814129775124313	0.635235475761197	0.779512025113279	0.828992780373879	0.428778447773605	0.47423761038959	0.702430037948234	0.654116935736717	0.741120518010033	0.875562464726045	0.875991536727563	0.513385996827883	0.847157455184762	0.441933797536113	0.684762302073477	0.406967720168008	0.835172071592331	0.808473066052739	0.674575252233557	0.454285236203046	0.489535336717652	0.459966688982072	0.784359707617039	0.770181391494222	0.78608039182159	0.484796861927875	0.696006996396508	0.669629930941931	0.732692352680292	0.791205888052628	0.824213502229442	0.743789725418734	0.713348967562486	0.462682719696361	0.395158745582495	0.624658298863744	0.845202522074624	0.638821759864277	0.771480149753672	0.428989888161568	0.566435870961193	0.502447245750043	0.407676773906322	0.643320894787566	0.694433068591847	0.660260139266353	0.616584695343985	0.76785693428993	0.856332977943942	0.509867602996895	0.855483173231134	0.55391890158919	0.788116096044117	0.696168194747789	0.614230485797228	0.759328783092	0.676521473912436	0.774703741487643	0.348865989536021	0.808473176601867	0.74542087328504	0.333965484492665	0.848050101267093	0.857240177461442	0.536152929257775	0.79162401067688	0.314141065347625	0.623502585108765	0.462863812874381	0.569949758500282	0.545083488829176	0.833846047157718	0.703052156554892	0.885324513584607	0.732094097150608	0.700742742815992	0.425717186897286	0.638779656106578	0.507099940349914	0.822614029471643	0.880926472776376	0.662263491134423	0.464151257696092	0.635749919568487	0.587238803613402	0.691307773916233	0.337176772709699	0.682951908590429	0.939867976527977	0.518257032404434	0.744100964503225	0.604031142249967	0.894600475941966	0.673709981479377	0.806445883796277	0.441548600162823	0.781458426909202	0.581904878039743	0.53711154892805	0.599312565557251	0.893401682681914	0.708390119911636	0.838433518774116	0.570570355373461	0.620737408258749	0.719525045748302	0.586581322840212	0.768190744623024	0.568390349454697	0.854911496219257	0.830227305175966	0.783061717419264	0.492529719111516	0.628807556719978	0.528428477480016	0.667261812068707	0.667160359639822	0.633683291971311	0.764922009576381	0.780136637163785	0.531830433136469	0.460326051974296	0.342073328702028	0.47143569074274	0.217901881028157	0.691340736107751
