""	GPR37L1	EGFR	FGFR3	LRP1	MRC2	C1QBP	THY1	CD47	TFRC	ITGB8	LRP4	LRP5	LRP6	VLDLR	TNFRSF12A	SDC3	SORT1	CD9	CNR1	ADORA1	ABCA1	IGF1R	EDNRB	ERBB2	TYRO3	LPP	CHL1	CD82	FZD3	RIPK1	LRP8	NRCAM	F2R	NOTCH1	CD81	TNFRSF1A	CAV1	CD46	ITGB1	CADM1	TSPAN5	ITGA3	TSPAN12	CELSR2	PTPRS	ATP5F1B	SCARB1	CANX	INSR	SDC1	CD44	VANGL2	RYK	CHRM3	ANTXR1	FGFR1	FZD5	SORL1	ADCY1	PTK7	NOTCH2	SMAD3	PLXNB1	TRPM3	FZD8	FZD7	KCND2	MCAM	MCFD2	FZD2	PODXL	FZD1	CD99L2	TRAF2	ITGA6	TNFRSF21	SEMA4C	TNFRSF11B	ADGRV1	KCNJ10	RGMB	ASGR1	SMAP1	SLC1A5	RAMP2	RAMP1	GPC1	PDGFRA	APLP2	PILRB	ADCYAP1R1	ATRN	EPHA4	PDCD2	MGRN1	ERBB4	ACKR3	NOTCH3	LINGO1	TNFRSF19	PRTG	PLXNA2	PLXNB2	ITGAV	GRIN2B	PLSCR1	S1PR2	TSPAN17	TNFRSF10B	LIFR	EPHB3	PTPRA	TMEM67	NCSTN	IGF2R	SLC16A1	NRP2	HMMR	ADGRE5	APLP1	PTPRJ	EPHB2	RACK1	RXRA	JMJD6	ROBO2	AMFR	CD63	STX4	LAMP1	TSPAN14	SIRPA	SDC4	PTPRZ1	RPSA	LRP10	PLAUR	GPC2	NCL	CLEC2D	HLA.DPB1	GPNMB	CD74
GPR37L1	1	0.772490383077008	0.92266907430811	0.925162428216361	0.924183185311736	0.794775738790717	0.62434459885148	0.88027845709548	0.855180818204348	0.931620598873078	0.614955269718728	0.846847037294448	0.640899314190346	0.785437835186597	0.735461942177402	0.93777967174721	0.942332238093631	0.626854371519563	0.872310844802085	0.92176349210763	0.872412066026373	0.816535761918889	0.958174035144899	0.910228248887043	0.891839718145847	0.91485205781264	0.811174630888133	0.638459024583606	0.894865082175911	0.912841500688043	0.737437764593985	0.865193231366755	0.935179877820755	0.674705661444406	0.906616360776365	0.911441196876998	0.528435102782484	0.832877179533875	0.829134198446701	0.893394064700577	0.876687933853925	0.722463602422357	0.765252356255445	0.933529922243351	0.844814233609549	0.766165095562437	0.768611603954625	0.922594676619621	0.75666543137347	0.693718292862371	0.720098588633861	0.712218462746517	0.861808587252437	0.461016740357667	0.652675456516504	0.827865908442621	0.847358624528408	0.760645016113897	0.568256205986815	0.805097236748076	0.928246090102046	0.849593876045002	0.843457534856234	0.734345079892466	0.868919972917009	0.79760636678433	0.554108066433243	0.821174217480883	0.926779628991574	0.65982050935511	0.914063713034938	0.849853188842303	0.921914534198572	0.628657174050493	0.859286008607696	0.881849776904835	0.748364919674898	0.699731613750512	0.83640329320722	0.872771946275915	0.822545273203426	0.759483514714935	0.845998332517345	0.49121912891479	0.695429147881658	0.891176792286239	0.889921561821679	0.52308825121501	0.910449717927909	0.802106952861662	0.84983602433347	0.928819214157035	0.877030429116484	0.794037717314645	0.871077986057393	0.725484611951918	0.667870261504849	0.865078787789392	0.47784304312431	0.841064235936057	0.741249455379488	0.712597220549309	0.893132212565648	0.911944399853151	0.577433080147661	0.902698230199413	0.594757566951456	0.848623052161365	0.838820822721206	0.901076229647742	0.558223044188392	0.948362483343311	0.879830136450033	0.919773410029859	0.879321147147794	0.61845495523898	0.707792737199999	0.399242537714938	0.915779171313913	0.84973762846801	0.916325847414619	0.655815170145303	0.72836256746613	0.842501571828525	0.678836596973623	0.872962998403924	0.876490314780176	0.836124459127449	0.880119873732818	0.933472784434234	0.760762021921894	0.896616441145586	0.723050533729685	0.875781212723158	0.78532011318998	0.901272457045404	0.324034379912323	0.499221236610531	0.812890543081578	0.657890683253814	0.0762764295447789	0.218575865066444	0.127963510298263
EGFR	0.772490383077008	1	0.580960121574599	0.892182363174566	0.688162628116566	0.818079244312111	0.806722881793697	0.809605897442309	0.76692371147942	0.756178215458763	0.790957140470033	0.89291512932725	0.849194651335665	0.500328784176832	0.473617168198182	0.768854938404951	0.840769631956857	0.69889825367799	0.566320136736321	0.670203786994864	0.539346572405967	0.815117482489295	0.736223297958172	0.555086449331921	0.915858872179511	0.713945820035085	0.58720666852966	0.877045019727189	0.895894389795821	0.822851914178431	0.861765752403387	0.63658954663463	0.812648373653764	0.924769449280818	0.757984427420286	0.636616071436318	0.258252950734255	0.852735165822639	0.600900869582869	0.557099309480931	0.789460025414103	0.298538945013207	0.929891098616698	0.878160467400516	0.894664103027595	0.830919795129388	0.696258932432809	0.778426076127583	0.863532288388118	0.738703918313193	0.267206331192301	0.900476609559445	0.909256014853443	0.609220070614363	0.826191048451803	0.587092393561286	0.773787861008578	0.373950255722323	0.804023255703554	0.863325967641928	0.814489426077391	0.539458720205073	0.875575451049584	0.669249184851524	0.535687371951403	0.361048220228121	0.8186126770837	0.814515302776569	0.726750228470364	0.827575253952712	0.558273877531258	0.68295917810119	0.707653901434416	0.816206212249688	0.497457039989531	0.755177761750567	0.877365337053146	0.847683794060897	0.714532402917719	0.857999563732086	0.824934984949793	0.787144899811449	0.900667517213023	0.71114681998709	0.819183572661696	0.611806285242828	0.560711525622188	0.852945563185999	0.721199280342947	0.863795578059744	0.625899179185232	0.791185621124927	0.591887341174677	0.853134712369699	0.855148507111209	0.663737733889024	0.890602326519546	0.843083688096947	0.780039326978548	0.742160844845643	0.856245787848084	0.877051131922487	0.681060907187693	0.684798300642358	0.712096021524116	0.761672013164822	0.830887548802463	0.801665955351712	0.781088292000485	0.586747132039839	0.841807292434797	0.882261173697025	0.84893858028139	0.752544835144392	0.724569090053287	0.703758232734344	0.311430208679946	0.703963398539673	0.721492685893398	0.551683408039403	0.780839873101642	0.842203253318077	0.758632294603095	0.863742252344201	0.740357581594869	0.832711100744684	0.714901476719937	0.674339676848655	0.767971319080549	0.706488940277688	0.847287613391158	0.558745256064184	0.43291840096016	0.896376089972873	0.829175458280864	0.575766145608964	0.323539324628731	0.813031730955882	0.932235750578488	0.845745735396588	0.00991133634903307	0.119768618502098	0.0525070068914355
FGFR3	0.92266907430811	0.580960121574599	1	0.795840592677769	0.89567617020592	0.61686862106807	0.401510391740052	0.77759876805464	0.759715034544834	0.903820699105567	0.467510935189117	0.681306514964722	0.454902507311045	0.793840819561233	0.698671156437362	0.872142786428884	0.852269413314074	0.45428748924685	0.911071002086765	0.883725556072611	0.912428335413551	0.716244093248191	0.922892213863234	0.941613528146328	0.723132921831681	0.895605031987996	0.779550736288977	0.393503950917018	0.781361061722785	0.834382199582879	0.591507605568399	0.870885846533052	0.858412591437903	0.440781728284603	0.811116480565716	0.89418089904557	0.570285759397739	0.71198300356379	0.81287159560924	0.929907592684506	0.769795541203967	0.81484181970596	0.549791338281664	0.806154694599741	0.694184722091641	0.582065622028849	0.641297488104729	0.851071498616471	0.600767287212744	0.514970382944427	0.841101533584966	0.528769766697549	0.715879444002239	0.282690598462303	0.476223480292315	0.837073640344082	0.748559139551782	0.837090495631366	0.354865147342121	0.634397114810879	0.860583855823629	0.856998166209964	0.691213052804516	0.688390251457508	0.916573508666886	0.902686024815813	0.327059637205081	0.725410898338873	0.885995272616644	0.450951132273226	0.938283022136129	0.782378806295206	0.891831444404031	0.42376404847118	0.920500288015388	0.804248828246395	0.573363156925554	0.521354578471181	0.771046828997334	0.754466917071576	0.686217557011887	0.59257960540722	0.682013238297868	0.287341380663267	0.493031025034845	0.867090080910614	0.895818765954726	0.267382286407291	0.86205956320924	0.693368643133939	0.819695386511477	0.869375194254106	0.893017642334299	0.61021519232057	0.752200049367432	0.654008275710738	0.464612512036552	0.726246713127443	0.219827235811191	0.757434220942328	0.592843308561782	0.526118270376739	0.849054988818163	0.893198285932757	0.408180399813044	0.852961590851438	0.354631748413376	0.744325616263003	0.730766730559651	0.939579915404966	0.33234694620961	0.844820866923778	0.772699888546551	0.852272995371406	0.835525111278849	0.46354823904575	0.813957129383413	0.217820267956987	0.835670873497258	0.838993585043153	0.862977146297358	0.444384987424902	0.553431159626327	0.712000774435064	0.506300772308565	0.794503971030313	0.804354624084531	0.745939762239093	0.791850082840539	0.885860252250651	0.588105203656344	0.919268478651434	0.753228164601208	0.753058648671323	0.5996013011936	0.928923417535072	0.253640467820314	0.269595093435907	0.633849090622573	0.490042794853408	0.0949761682702684	0.227098417738732	0.145917658188992
LRP1	0.925162428216361	0.892182363174566	0.795840592677769	1	0.889319454433984	0.818554397768432	0.757312355753337	0.877634083650615	0.885736277899447	0.914069802755673	0.759588896543304	0.923699261112585	0.827562522648909	0.739494285601087	0.643330532872458	0.918357739784027	0.945796981081952	0.725764363555817	0.80173391306454	0.844903398121063	0.777362240811798	0.909753250797403	0.885845810383079	0.773473187528867	0.943336314196463	0.882671352663399	0.785988459409588	0.787899296423068	0.961168628723203	0.914458660281194	0.863835602938158	0.81812731010357	0.899367810004007	0.849671264060449	0.875704438826488	0.81837450344119	0.475386727826913	0.935115853585302	0.78255537660639	0.764627404508183	0.87174578449239	0.555618303260073	0.864571332518561	0.964755222530015	0.927109824758926	0.813493779658229	0.824498975909104	0.923873143651905	0.869253473307153	0.711574245990494	0.514846611343522	0.861461647377011	0.94898812517302	0.660370910848254	0.81799173422001	0.773976554622887	0.865172543091859	0.628015962350136	0.717930415457214	0.895349436955393	0.913534955615614	0.718775831016657	0.933627670986624	0.72956482985158	0.76869852604754	0.617987929221766	0.752966357467985	0.850226144936196	0.865094840227448	0.757748587492222	0.784200897849816	0.789178648229797	0.861444117265122	0.741774417407117	0.727421606714957	0.887875975956941	0.873819435056961	0.782030304618519	0.859694544011962	0.940068477419408	0.932417577468569	0.860745562694281	0.91297863141921	0.652924777551244	0.765311914772638	0.756985575745941	0.766094299986984	0.744359242225418	0.876713291134264	0.88375732934053	0.781804586963242	0.936563831320108	0.751852572762351	0.843068603827926	0.944008814279876	0.778219525612174	0.802291482033771	0.897171723410834	0.70421235121764	0.835975091544819	0.865727016414768	0.867400925760719	0.845491866909655	0.848647545953082	0.712840180818322	0.845868925150617	0.765445614880751	0.858776063514081	0.867908570608717	0.806462932518574	0.745330881512499	0.963051802262079	0.925002961557259	0.890748140802497	0.886989028430566	0.757134210925525	0.533039989416595	0.535621737283861	0.85709427624311	0.73969589490852	0.907574363521241	0.813978421497827	0.778137313528918	0.92109624867711	0.781919692278946	0.894615325749279	0.855582926109063	0.780049806825116	0.878526207232799	0.858169551862321	0.871955116205007	0.782245771214376	0.633901147576473	0.958168501103068	0.824115336899693	0.778379792117907	0.411649357051828	0.705717481367668	0.909506780942816	0.81329538004567	0.111559366430287	0.242833597605327	0.165867266435061
MRC2	0.924183185311736	0.688162628116566	0.89567617020592	0.889319454433984	1	0.740168694115676	0.504046687566247	0.882819779867136	0.885824204251274	0.930413382997642	0.523269342821879	0.803645217703788	0.576159699236985	0.901567362497109	0.802526802378733	0.949672620292968	0.932456689947582	0.692858945883569	0.924916376528516	0.941853294099199	0.89992662832482	0.823385325865965	0.926562210750686	0.895654898080391	0.838667405225619	0.936205537390334	0.903766323769238	0.496092659937247	0.868285255767931	0.88633975751153	0.696995961113478	0.846106613099192	0.881143991021806	0.62670147988687	0.865910780446525	0.916532253000406	0.626633388545552	0.824017823019993	0.881128251325974	0.901825706880023	0.894482024013593	0.763908377666416	0.671366299909945	0.896218299082044	0.816946876132806	0.722383414741537	0.779978030205587	0.955340939338738	0.687652006162068	0.645352624223679	0.712368526685124	0.655031265745205	0.847210517423209	0.570520995081443	0.545434384030303	0.854809465730718	0.888329151892117	0.789199303771007	0.529197206585788	0.816937837331851	0.920267963460029	0.81521981041804	0.765091793390882	0.761333797160903	0.924542260177455	0.829957636896048	0.428254678770306	0.804855144914987	0.90529516066184	0.62896372824602	0.928131519816047	0.818463031534397	0.900495835504529	0.607078540840551	0.883913661207638	0.802523376453884	0.719617309056652	0.627220153485317	0.824901619653594	0.808065398606676	0.825613624480996	0.70974468485124	0.814298837555829	0.534075666256259	0.623131826525845	0.833785031910381	0.906972112073566	0.449721772307898	0.93617471258075	0.780614765364222	0.817308954116681	0.927465264026156	0.862178650281543	0.732054136100885	0.854759277832452	0.658333049344288	0.601368487742592	0.882866285300641	0.432887614242668	0.886305840949319	0.714593229201381	0.680537540941918	0.910360479387393	0.871727430961956	0.603023762507984	0.860829755696734	0.535005460982194	0.834200592681473	0.784037169768791	0.921535584200897	0.46570395077102	0.915369617700667	0.877321872902819	0.913989231516995	0.886203083167499	0.733754020440207	0.71370575053624	0.396499202254824	0.852258371399464	0.833019496659458	0.89631576337235	0.677674084310228	0.729509641006732	0.832494586785071	0.735841135170701	0.858083117235795	0.898807943966043	0.851809124171301	0.88030141429696	0.919894087896882	0.75211814037518	0.887650243986328	0.809079314077011	0.823950281413308	0.727293719227242	0.895652291716685	0.338027040900845	0.403103102117597	0.773341202828378	0.604014202239259	0.0857008074751935	0.227241385151729	0.139389982084794
C1QBP	0.794775738790717	0.818079244312111	0.61686862106807	0.818554397768432	0.740168694115676	1	0.799392912933557	0.902967954182196	0.81447038164253	0.690749306859514	0.531306908350079	0.846018364825996	0.63197302416449	0.629790050876815	0.766236134846348	0.756361208618399	0.822002617789893	0.854907103294049	0.586271976488635	0.781814010830956	0.613811127148313	0.702958783430004	0.739443338668901	0.657134840549094	0.888235840405611	0.733365452484862	0.644201412071597	0.77372342713079	0.778296906929503	0.813275497646327	0.737734003119084	0.65401835463306	0.858315219937066	0.803327033527352	0.915191172408086	0.790252879243183	0.474895474956996	0.734227584350022	0.747661951891174	0.679716658873068	0.872416453604641	0.498931739139297	0.854289380503964	0.839487586433598	0.828581017425113	0.981621150141336	0.816916294384228	0.816254446892487	0.736715376550267	0.839658886835482	0.441895732312773	0.760301853181124	0.867768419749215	0.545972854578997	0.630996815487141	0.636531396596939	0.770055857272396	0.522126036451463	0.657099216853633	0.838274388492732	0.820200038887072	0.65692205290346	0.776276213399564	0.65396122427344	0.626473140755877	0.488373700409061	0.5667879498127	0.801106273532243	0.837026405089609	0.799147122947613	0.684625026421874	0.750621875663617	0.761050736734398	0.863200842158603	0.541635507098076	0.719021031335829	0.820193075221722	0.81427693900289	0.547504461254018	0.739018309541762	0.734202671850591	0.770689642253427	0.938780433903533	0.762741559810338	0.920816204595273	0.78728409295935	0.740451367830433	0.648092007368203	0.819745694825313	0.749943312740532	0.615539206529381	0.741892411341964	0.720125033136623	0.974064896677019	0.813557934913356	0.442892730837547	0.824114115996839	0.861984016094966	0.677467679304542	0.771957465556049	0.710592150079739	0.742038386392054	0.779532329295926	0.726550920958012	0.585541783881459	0.800361209624035	0.794612684831384	0.897814915547084	0.828767469405011	0.607823046917305	0.691913065815004	0.852127338307651	0.792687818297446	0.844218177312348	0.735585281235221	0.733871299109276	0.487048910595074	0.618773397839072	0.855786219710359	0.720513722561648	0.744799733110324	0.791971747773674	0.969564617592347	0.818063583264703	0.877025809493221	0.693392327021034	0.804266472033542	0.906852863334929	0.873262421586886	0.844894491253858	0.855266225638043	0.64283726957988	0.616790380864692	0.713281617767386	0.990501006383038	0.69988169408347	0.379474415911264	0.669167909316441	0.903008057837873	0.623140164173376	0.0742987563803599	0.198037865243501	0.105385871959848
THY1	0.62434459885148	0.806722881793697	0.401510391740052	0.757312355753337	0.504046687566247	0.799392912933557	1	0.667066168418224	0.614080439097158	0.55092986356996	0.685506285784111	0.800475154824894	0.823909977232542	0.43429465360871	0.428930640492254	0.540125852311048	0.655861582687548	0.689661500384198	0.35439232890067	0.515663650500153	0.421134696633635	0.705544128871674	0.520498030253686	0.38499137846181	0.780979078966401	0.55639510796237	0.395163704448922	0.911013246668111	0.697593858166268	0.635732740476497	0.799093844554106	0.57710009394555	0.681714717770844	0.872305133895156	0.685638068297468	0.508429197316266	0.32782736564205	0.714839427799246	0.513116547858693	0.408009255381225	0.623690843283062	0.246747727233305	0.811736225484155	0.738587838390179	0.750294721850833	0.794093443946796	0.695679371767106	0.632903563913599	0.810450531416657	0.712494935409608	0.19734130575581	0.822523232309487	0.78832545481772	0.582147307552801	0.845508231039673	0.502025772167984	0.529710317640754	0.247048678729748	0.689646145508766	0.733435138748652	0.623515155502443	0.443110710934529	0.846091065089638	0.349384545823021	0.369443268122215	0.209706648346679	0.835122181179883	0.697299510801668	0.620237966084039	0.699715648685192	0.402391836716477	0.574616868654313	0.581179570424565	0.777092543248893	0.258510295858371	0.684995153645612	0.796508592608001	0.688978974364938	0.495397687919141	0.757056429239237	0.73414215848612	0.781532071570872	0.803127311100407	0.705116187487537	0.765230750135179	0.475626107213436	0.442387738643536	0.841392961657582	0.577850919852583	0.707165891153817	0.403934708735912	0.632123948844101	0.459674310044505	0.817008825563612	0.761011386007235	0.510740212902778	0.782651872636552	0.668599464123798	0.874025035942974	0.509192961151121	0.743581470504081	0.828900600193398	0.54327569845775	0.578321544520666	0.567597777479212	0.576760230084876	0.887205122297113	0.730730339282933	0.774135532701563	0.387737576903374	0.828130108675681	0.682316692747703	0.668911548842827	0.64508396248663	0.61958952611337	0.626151670433333	0.248955294100628	0.568925988964326	0.680618209906223	0.517629191023213	0.570221403016188	0.763721634673248	0.751334056326543	0.768985448969379	0.726529880803141	0.528733851380516	0.597064272683441	0.56023903629929	0.66681881962963	0.587425417893737	0.741661099048969	0.399602177188417	0.364834571386585	0.720168925334485	0.821119711219761	0.445410243652168	0.28305686112238	0.87902293962258	0.818943609632103	0.707592756649252	0.0146220913279994	0.097044814586027	0.047931233323948
CD47	0.88027845709548	0.809605897442309	0.77759876805464	0.877634083650615	0.882819779867136	0.902967954182196	0.667066168418224	1	0.849310878725398	0.84065283367405	0.553616676191333	0.835856334453139	0.624807732125505	0.77500000641234	0.849796335314908	0.855134472866147	0.935404740823383	0.812733931126669	0.774139822480468	0.863063450555507	0.804822341906215	0.814666927547646	0.856726421366156	0.829592556580065	0.895722854719643	0.886572957114988	0.748079468585946	0.678835497738909	0.863517509540065	0.923025082912672	0.767517661656961	0.811714117309887	0.935188905420487	0.746258769531859	0.940697067320236	0.921599657877239	0.593327949942869	0.810733533032371	0.878339589678553	0.857132488238946	0.970478732779575	0.690985631698406	0.788269484651609	0.899250260857731	0.872558280927709	0.909219330962212	0.837208388722932	0.938562312163085	0.737679548696544	0.79839713475384	0.641884746308187	0.758438401815192	0.90387348156168	0.521983449933322	0.597823588862858	0.822480103911472	0.859514004368267	0.721124944552661	0.648065081538153	0.863683622409668	0.941886793817026	0.809589388437943	0.785553283718234	0.720487807765346	0.805716984749861	0.716745522551292	0.497189513966267	0.847261982975747	0.934782162107689	0.780067173327826	0.819240238371743	0.866903660890601	0.880319069690316	0.813155682908831	0.730845807436783	0.778741321663209	0.8023872268294	0.719131348932144	0.680176412120658	0.794414521823329	0.775931701585012	0.741152838517056	0.942312246718039	0.647029292311408	0.816679106000686	0.880096638942021	0.887552599295819	0.547676650735543	0.951805133273005	0.86013806565316	0.731391406148958	0.85837457276873	0.843445153572402	0.900650168680985	0.883330151232097	0.59414947830218	0.72615346653888	0.915290799895786	0.528124057067342	0.87710398100634	0.722361587198644	0.718147681768854	0.92394322836058	0.857985446069755	0.533379441963169	0.908927428199723	0.663119119166229	0.923976998349093	0.850622856544669	0.818007650884141	0.581019634375112	0.938640380614148	0.872409574894122	0.943909298817832	0.842297602383191	0.766301515850235	0.663415006199875	0.65140834567903	0.886190160052187	0.853885380984939	0.846476131241689	0.785926596194264	0.888391390875704	0.859242150950385	0.84575285122893	0.798394927219113	0.909327532855142	0.931488643978838	0.92607145620517	0.94209956786592	0.843651623951829	0.819486780021284	0.792626863813481	0.797969440307224	0.901498251603925	0.851665724085122	0.37102215924221	0.537573500232369	0.895959524317955	0.658031182041945	0.110546771172683	0.253741060730927	0.15711397033596
TFRC	0.855180818204348	0.76692371147942	0.759715034544834	0.885736277899447	0.885824204251274	0.81447038164253	0.614080439097158	0.849310878725398	1	0.849132830186157	0.584599990097858	0.829377118387976	0.636655912651371	0.792974970781827	0.731193616251847	0.885059941351418	0.85800835765795	0.811476400753534	0.826018523306669	0.855767959936745	0.737578074837856	0.782560827425347	0.854530109581915	0.772579344036704	0.861595098420498	0.835187193519009	0.878018169942355	0.592769203825966	0.861620749154544	0.841989494293749	0.704474404153581	0.711432044176031	0.832498955879698	0.705849322233094	0.851622695113388	0.814924408712091	0.543098723071064	0.849477005031662	0.792814132090139	0.742189502760706	0.864808105418811	0.559409771328259	0.798564403287842	0.872603524569149	0.829096518985562	0.788611662009571	0.773501762007531	0.90121677027184	0.721714002937533	0.630882852831054	0.487260429479265	0.71818101733145	0.885651208984398	0.706958021031675	0.60099181035603	0.713082196149216	0.905695876130678	0.611459735351393	0.591367495078378	0.847024339664063	0.849049301260559	0.66242515349824	0.769117960317525	0.796745278865907	0.790174048330347	0.609968004473478	0.534110872609942	0.753249927029562	0.825630639333305	0.657510634955939	0.800174341592546	0.69984550013009	0.781599336721382	0.657440176197359	0.740364234249631	0.75906818026074	0.770314337365582	0.782416167472583	0.74405213030138	0.770484048773784	0.849819147451028	0.760828947481009	0.860543295901158	0.664712763728868	0.75074824462374	0.744782046409719	0.781756346226458	0.608193613093203	0.856565972188928	0.714147521642505	0.746150805327341	0.866998613538083	0.739919666994947	0.80392914828677	0.842412409282157	0.582192607066148	0.739196502190295	0.875682812783253	0.599752875228642	0.858717933147029	0.769261406602868	0.748144717830916	0.799478424314994	0.755171804024421	0.716235898266418	0.773265133698975	0.673230535433263	0.803218029187941	0.751238000702432	0.764302259433275	0.578795307924615	0.894672474600605	0.873801160806735	0.836414291667078	0.807391366699666	0.831150647113063	0.505447616854621	0.400368192609261	0.807740900624786	0.674257910736603	0.855842977544623	0.715510808037031	0.816653377520918	0.824866499667947	0.820427386348681	0.846653903895893	0.818238824358189	0.847207405755353	0.883617306880724	0.835256852151405	0.794704862509596	0.73808272513471	0.653574684836259	0.824180454985212	0.809298514999867	0.754997114881826	0.424761479877937	0.533287779435117	0.836436999298357	0.632772897462282	0.0882595059701531	0.209384569963372	0.128986939998749
ITGB8	0.931620598873078	0.756178215458763	0.903820699105567	0.914069802755673	0.930413382997642	0.690749306859514	0.55092986356996	0.84065283367405	0.849132830186157	1	0.656725978930058	0.80004836897561	0.700576646218829	0.825897531092863	0.679649430566912	0.907702166816114	0.931046285501252	0.587088288240282	0.923956343753232	0.870845901016966	0.894255480194538	0.889776446036597	0.941433239014349	0.868833145184057	0.841156698388602	0.959547785641717	0.828094460315358	0.586367784902965	0.934593063091575	0.921045963937297	0.769193064564539	0.914345174865084	0.888174968974191	0.651070587591018	0.825222767733378	0.862794588379507	0.573416463343713	0.892326355010808	0.847990125056137	0.874049163705688	0.856053381996449	0.727207686905883	0.699521601325177	0.900078983167708	0.856097080976445	0.666833342989262	0.731163177241462	0.93591874495889	0.753414155371457	0.582044696434555	0.697863517878382	0.72585192267334	0.865781972066039	0.551636340857375	0.680436958358072	0.863989815862294	0.84124515964964	0.745916296275197	0.554905609473449	0.780190205974088	0.922091764010837	0.788310933916415	0.834582981012855	0.756341796574407	0.871892326543745	0.797893894918127	0.561081162315608	0.797067846309851	0.894450576192487	0.593287870298707	0.88042985711441	0.805703311455093	0.899677982551346	0.546658645573602	0.853202646311105	0.890550464869381	0.72550228843745	0.651556091151405	0.88455054141611	0.880680865844123	0.858083012995627	0.749528637667353	0.813281624917727	0.454159206785384	0.591185206331632	0.803980287040823	0.843770412388302	0.518892780486671	0.904517063699277	0.822126146308149	0.781070244212287	0.956607337294873	0.870859402734988	0.70170898713582	0.894021813000413	0.784447233639397	0.614898840865906	0.817877364975758	0.455318868487912	0.815536819976961	0.782649163825272	0.728578595324378	0.869606759810355	0.905402238216676	0.609361352136212	0.856112062107005	0.528666344125028	0.812501633757623	0.824434030013803	0.92913633143569	0.504409578939675	0.93233709665451	0.893892723710326	0.873542059709815	0.899099622178714	0.656022458407632	0.71232227507307	0.380937430127743	0.851361030911796	0.790304491246555	0.918055311048034	0.650018051855178	0.642178376420048	0.852203320336632	0.656612775366676	0.905018693764517	0.836169561576431	0.755376345996717	0.842606920199654	0.884175050055372	0.713895294952807	0.858742460236288	0.740721207685456	0.920367003962228	0.681253280462995	0.877706236441063	0.301119290043938	0.495489169777777	0.807954429862786	0.715117141557864	0.0594978710728566	0.188747006265255	0.11644507075581
