""	SIGLEC10	CCR1	TFRC	CD163	CD40	CCRL2	TREM2	TMIGD3	LILRB1	THBD	HAVCR2	GPNMB	LILRB2	CD86	CXCR4	STAB1	ITGB2	TLR2	SIGLEC1	C5AR1	AXL	SIRPA	CD4	TNFRSF1A	TLR4	PECAM1	TSPAN14	ITGAM	ADRB2	ADORA3	KCNQ3	VSIR	PILRA	IL6R	CD74	ITGB5	NECTIN2	FPR1	CD81	HLA.DPB1	APLP2	RACK1	RHBDF2	CD44	TNFRSF1B	ENG	CANX	SORL1	TNFRSF14	ADCY7	IGF2R	ADGRE2	UNC5B	TLR7	FPR3	PLXNB2	TRPM2	CXADR	CD47	ALOX5	NOTCH2	RXRA	CD9	TLR1	TREM1	ITGAV	LRP1	MCFD2	CADM1	ITGA5	ITGB1	PTPRC	SORT1	CD33	CD93	SDC2	SMAP1	SCARB1	ATP5F1B	PTGER4	ABCA1	LPP	CD63	TRADD	CD69	SLC1A5	PTPRA	EDNRB	ITGA6	SIGIRR	CD82	C1QBP	SDC3	ITGA4
SIGLEC10	1	0.808481109480549	0.277722251327208	0.86749801571226	0.77162009631703	0.0239547836244906	0.726493011601585	0.181041332093255	0.899259167518353	0.687740191280246	0.542548356487432	0.389032554023219	0.701400925335982	0.759851439999463	-0.195751330577761	0.854002958424226	0.834629836283414	0.785238663201234	0.779873114377619	0.702837064634327	0.486301580415057	0.512366136374164	0.881924318763934	0.800612362496813	0.50440138120921	0.123708445165072	0.435873621959279	0.730194424383863	0.324531958027811	0.867806873602511	0.237668666148431	0.293882450643014	0.56595690168782	0.591769292512388	0.613088163875465	0.840177462220993	0.714456124661956	0.81628059377785	0.839305467822357	0.246138679529999	0.824477671006373	0.625884395649224	0.06917649478163	0.738171691222539	0.648802618880563	0.882078623751631	0.83496923257281	0.0388492330791072	0.689855887630486	0.546657131456954	0.642516967966174	0.196224009599369	0.444584131201716	0.35337982268152	0.65638721807396	0.731398486078412	0.615844660253566	0.756614032613081	0.805130641487048	0.864090993718703	0.408441372235872	0.642592102372531	0.372968362578013	0.626588943831185	0.116308411050362	0.497284062999357	0.706237727164945	0.741533354456939	0.550224562068413	0.612534296077647	0.610092817988224	0.777666398827149	0.322577643258319	0.858246039043986	0.853231138012635	0.152676190357553	0.753279076134931	0.278539977269228	0.648186721738658	0.469025163848676	0.440896364906266	0.502210794464847	0.807579801184525	0.768382168175475	0.116078976337436	0.731279347254395	0.297703267368246	0.597900947988579	0.303576685171115	0.401119485866794	0.551982092866128	0.667388112405123	0.457561916886118	0.742557865728097
CCR1	0.808481109480549	1	0.283684109397292	0.930661250755178	0.693651096510314	0.116303556249224	0.600186574433588	0.380052588148001	0.707635348866909	0.850052171342408	0.345118259066414	0.660863174802397	0.718229090922141	0.520866413627172	-0.418744018576994	0.87884498315577	0.736545897223732	0.739939882024939	0.824764187563367	0.828099041052704	0.330479131843355	0.638517414751032	0.763244619746667	0.760695437384129	0.729966424893122	-0.115739018611836	0.483049477916686	0.89189454980405	0.269044102458662	0.853253050403937	-0.0294192243452112	-0.102892637801301	0.588644704449094	0.5605698024997	0.300404612839301	0.857411137781289	0.666384596528946	0.569790151726422	0.816814662817546	-0.0362673347838354	0.832323765377683	0.351297775010402	-0.108264926372419	0.842303147898123	0.441849608779566	0.861653837736031	0.787725106583121	-0.0454483350257049	0.708890012041238	0.419648416848684	0.756520865463671	-0.109402979710806	0.368783907164663	0.351980236959115	0.866466433597667	0.73332318270654	0.560883716896916	0.672500310765068	0.73939700508137	0.799453993639461	0.499722625774678	0.69621535651827	0.368805467868348	0.477213347541139	0.284821698183771	0.394377874985923	0.791818477716323	0.707898971655692	0.282251200722762	0.679653631638568	0.611568938307796	0.443456777737826	0.304888704058608	0.751124395429716	0.831778591868078	0.318977722232136	0.550540042615977	0.221899342607908	0.480270315873126	0.218598400291866	0.659637363625877	0.39803930400105	0.744462940659726	0.643375613966836	-0.170479938662901	0.608608628921736	0.230010109304771	0.539855453390405	0.106451623395658	0.173495482448049	0.761176941900901	0.515523366106119	0.549293910785604	0.538864663584943
TFRC	0.277722251327208	0.283684109397292	1	0.191566286120439	0.129658246844971	0.737586433216109	0.57257942446012	0.785392242153493	0.268588953010676	-0.00104799261235867	0.753854312945876	0.328097840103022	-0.0902652922340728	0.0951286373625813	-0.130828311779455	0.25254683065031	0.41543552076182	0.237072571512803	-0.0287013302774516	0.259483913127959	0.508832022606814	0.656097731860276	0.344034378993057	0.269388813202321	0.0723351409730877	-0.197165795172406	0.696953967251595	0.113915718139423	0.668001879472604	0.323300594222211	-0.0711399383157597	0.0391628926717103	0.497806529202825	0.686269494732084	-0.121708757343581	0.146173529984076	0.18706161594982	0.416305702615576	0.517392421120974	-0.449341537760414	0.339258492783351	-0.0367545110371449	0.741934595546738	0.115771439212318	0.121131863362646	0.316962568913512	0.15331904163379	0.78448969451457	-0.0104566387843854	0.125521909852991	0.228280465465385	0.442849958213359	0.651910167342176	0.518393754086373	0.188880980933834	0.176296242823498	0.402294459287515	0.277991120945324	0.047458725074167	0.239943879091548	-0.0148737013088748	0.384525519290188	0.167373043274574	0.392638946889139	-0.106219723586933	0.726933305672983	0.471456247223535	0.195335527282629	-0.0686563281134847	0.208570451108957	0.380627652322197	0.216929143254679	0.474560323570226	0.215448904894962	-0.00852786582901314	0.304002676753605	0.0376938010427415	0.512451756803049	-0.000329658315978199	0.301538151717647	0.47086915615255	0.232883918660875	0.132975870150594	0.0216179357593502	0.305624557835286	0.329313554901682	0.217912212398632	0.112973438730751	0.403447011903613	-0.286752044679543	0.138868036685059	0.073850724456426	0.296957213260101	-0.187538285325588
CD163	0.86749801571226	0.930661250755178	0.191566286120439	1	0.67025644480669	-0.073056904488857	0.620443292308479	0.216044297452823	0.77430397084672	0.838321321362441	0.296508747102205	0.563796060199226	0.814937545756011	0.595392932947655	-0.366119659538501	0.966200233295292	0.760322055563809	0.816304558106014	0.915138813462586	0.841574388568673	0.331089478751567	0.579586849205225	0.830148617633291	0.784522734548633	0.746416763816712	-0.0589377644962651	0.421599143928994	0.874792030720211	0.148562246583108	0.879232105292509	0.0693079055038936	0.0170950618118252	0.555832462717338	0.502300111009575	0.441952587625025	0.923901866542875	0.68480570442698	0.646377369093532	0.820163623617464	0.105252318919195	0.849227844444794	0.428616869917052	-0.155218052018244	0.845636047780986	0.542235482893728	0.890563105454868	0.829173405526439	-0.148399815504256	0.745401893197289	0.514876860241703	0.704270887743918	-0.0230841669006226	0.335202884508727	0.286642962069389	0.882756288296913	0.725435523205409	0.65916611157052	0.688386023144506	0.766097418395104	0.863876982830012	0.476633480024574	0.664243198075343	0.383539309598978	0.465886108624574	0.197124535718372	0.367350960417765	0.761547126189443	0.714804437628688	0.40166585078866	0.62538869760254	0.58220928939953	0.53333855478046	0.259914555108238	0.822544745834303	0.916009305939715	0.217085500543152	0.64477670962391	0.265408051851697	0.524232504142605	0.217360849439035	0.57645718222674	0.417338290777097	0.778526470299942	0.693064566127402	-0.210879448917796	0.599326049691249	0.209812319453373	0.571245841922177	0.082009417040273	0.226177766522872	0.694527977737907	0.548774460294661	0.563578307553644	0.682292779161783
CD40	0.77162009631703	0.693651096510314	0.129658246844971	0.67025644480669	1	0.0163123431959128	0.469436914652815	0.12339718271412	0.619581357067101	0.686352921184955	0.371540776352439	0.47855370032751	0.52865590213371	0.610874325557335	-0.134509872429951	0.59164786737621	0.650330341685906	0.584477013339939	0.666905598805123	0.540715778123261	0.261525025097428	0.390381782412987	0.679315297942528	0.639892555597115	0.407197844076697	0.190848474848549	0.26896547977691	0.655075947650236	0.275259800380898	0.645596355189122	0.121992508799443	0.0747754916569115	0.503766162320099	0.567457533462359	0.407799882805417	0.657778202126507	0.71486997974137	0.519375530353232	0.63827222691398	0.226266309128777	0.67901625198795	0.526959731443808	-0.129305394886742	0.67499729350125	0.376615586988898	0.752766656708167	0.724401852171771	-0.0811593849370254	0.70435984270086	0.323363889132548	0.708255290671701	-0.0438724694613531	0.239759852435661	0.146019873242063	0.45212412633646	0.634707529474526	0.297594867847438	0.506399219261178	0.746200757550187	0.669796281615562	0.349756085808746	0.568041519222567	0.330178731991982	0.569478964251415	0.207111190351286	0.27327477473623	0.580065196543069	0.691949648840032	0.410840330202292	0.64269234055283	0.554896061535072	0.588509999503445	0.241928108889548	0.67487931096004	0.664175907507894	0.273020252905764	0.688819445264971	0.129643396560237	0.664506765785276	0.35521516825241	0.406887932341886	0.445928031858489	0.74885822992291	0.658717129452794	0.012135164018405	0.721683717037445	0.281513792156912	0.543267805537086	0.237776289954852	0.454733422905544	0.565564784057384	0.681266890976566	0.29602828556284	0.607015881076685
CCRL2	0.0239547836244906	0.116303556249224	0.737586433216109	-0.073056904488857	0.0163123431959128	1	0.358544801788473	0.768191458242504	0.0482803640056092	-0.0270450876229977	0.592072818174726	0.342732087281418	-0.259084936093811	-0.062025582481109	-0.0299429971791626	-0.0725971993639905	0.237585743780194	-0.0325917689574555	-0.262614840734822	0.196974006931292	0.406474194353268	0.506282608166787	0.0753910061094333	0.0586905646708323	-0.0185564943716151	-0.175275396182144	0.58891563209914	-0.0255315182532288	0.612656690163119	0.128509682302151	-0.130469940196328	-0.0878044205351208	0.428677081526406	0.565016918728639	-0.29210367043037	-0.104139305844342	-0.0165342353441945	0.186550355545472	0.281270194653702	-0.468392000975228	0.137991241052845	-0.122518201111968	0.566104512876751	0.0238097447565092	0.0500756756521327	0.0855952672443275	-0.00826865265840179	0.696767990582856	-0.107114461365808	-0.0542886080718281	0.106315371054643	0.294548890346633	0.488826389284927	0.435728682027436	-0.0422919077024462	0.00963414637580634	0.128117504010914	0.0561150833885186	-0.073509357930168	-0.00151295702762256	0.00172991094582643	0.280484794118708	0.0899624251697882	0.28173554044714	0.0972521930737745	0.529305967040259	0.269081987620915	0.0497378082223145	-0.221569144101551	0.155764445857821	0.282335693269138	-0.00284707250590758	0.376456190032724	-0.0249495234193342	-0.20521736370034	0.389895512553755	-0.166241776498582	0.455643791586073	-0.139510936398894	0.244172537884218	0.404213601593468	0.0648741743111178	-0.0372285318676096	-0.136381989175113	0.315023179935795	0.234999811208481	0.0996556699996944	-0.0650325960804178	0.29273365877436	-0.302308864537625	0.0980636054280577	-0.0755247515218975	0.0451330131816014	-0.386631131541187
TREM2	0.726493011601585	0.600186574433588	0.57257942446012	0.620443292308479	0.469436914652815	0.358544801788473	1	0.50679143119872	0.78479042921004	0.37180931535451	0.778964329381877	0.359848351395464	0.369733696497705	0.62083037056662	-0.0657620807564151	0.641113924672183	0.857590940506407	0.628247426676115	0.415441095878612	0.544346169929061	0.793159727064889	0.705458238502939	0.791867956392106	0.713470395537948	0.335362597357133	-0.00476716392364902	0.69791716105693	0.432914380110446	0.521781748579198	0.800803395561237	0.384977053419628	0.43979225692567	0.61265139905294	0.629868197114142	0.528303071606292	0.606375511326658	0.479655959559096	0.873010704380053	0.799095296926805	0.122783161458833	0.684213521676334	0.545726967969797	0.443237833668663	0.468585623016584	0.652039466306494	0.72118007616084	0.608880356989674	0.463115589653778	0.387035234811855	0.571798526354807	0.420790395132896	0.407398305525541	0.6920846415849	0.554701365316343	0.445330561338727	0.597064596323621	0.660146416691431	0.690539853845046	0.538330819189125	0.631100722909638	0.299557884876225	0.515250624859712	0.456250445115556	0.688704185454551	-0.0149084569962303	0.777081182721229	0.671351153289098	0.494366937560009	0.469909361420767	0.46464849183664	0.656888955235206	0.659315243740693	0.450813312224187	0.755239508903054	0.5519664725567	0.150958631203498	0.491732710540193	0.559237269027585	0.428143219104511	0.52729080900966	0.470633693987182	0.46280730739772	0.606841896287402	0.470080502117988	0.33235226274276	0.6104061282412	0.295448511586919	0.337505611902648	0.540934563683874	0.260223015424217	0.356888372718543	0.473953870674025	0.36392397590594	0.441634894442201
TMIGD3	0.181041332093255	0.380052588148001	0.785392242153493	0.216044297452823	0.12339718271412	0.768191458242504	0.50679143119872	1	0.174550408150056	0.137030546945052	0.538558014446061	0.599627883052126	-0.0547703308012426	-0.028082351748177	-0.266371398738467	0.235324594052569	0.367493877595818	0.185257332236049	-0.0013035619426606	0.321087513317623	0.472818932418571	0.660819642201838	0.228553562211149	0.20259695352735	0.193865907898512	-0.257886060632459	0.627918546514199	0.210433278903275	0.58632481329703	0.347833452709278	-0.260237328261669	-0.222743030206799	0.537823010541538	0.613227601167855	-0.304736968275028	0.158174773325039	0.138282414071417	0.243988662638185	0.476911164604159	-0.596559750514164	0.351568689229004	-0.167956697943108	0.42560636631473	0.200783904731795	-0.027305975270896	0.294045495446137	0.14086719316472	0.580785045772496	0.023199708485368	-0.0295904443009352	0.295395729508904	0.0577398735988636	0.481220450235809	0.568390976143975	0.284443049453554	0.168003171051789	0.336520965963683	0.219111465755268	0.0426701952667027	0.193591492490335	0.136782390729191	0.305127865745536	0.142944810095341	0.286387594090543	0.10526378235862	0.647788740543358	0.493294264939322	0.188887096396673	-0.193666806982456	0.243538552599108	0.413194481875532	-0.0142583765107754	0.36228636476727	0.205106808419705	-0.00535779891163658	0.394759132540886	-0.132802830292314	0.452984710643521	-0.0758341422267974	0.113711046969223	0.661831084178896	0.0863927055152149	0.140805301828555	0.0778748320138715	0.0674453096077004	0.266206232667956	0.104266145737285	0.0121638668855921	0.255381542137698	-0.344221402785108	0.303169600750256	0.014891765168719	0.251286301222302	-0.318027177016594
LILRB1	0.899259167518353	0.707635348866909	0.268588953010676	0.77430397084672	0.619581357067101	0.0482803640056092	0.78479042921004	0.174550408150056	1	0.599462510153168	0.550166420919719	0.263205346065958	0.627482074160809	0.750699868451205	-0.134968066898913	0.776748305852552	0.829473540244893	0.732956657475038	0.649944712248092	0.673147004745142	0.570849178157142	0.511197494601169	0.885264242560374	0.79804741661086	0.45742991980703	0.132336697221741	0.500429097105236	0.636660639685511	0.349079632682387	0.824355113126198	0.390143193747033	0.452953685398128	0.493028139533052	0.529591651956169	0.695916858235624	0.788291279367152	0.631233108886504	0.870253925755011	0.79997144797283	0.31558433944072	0.77201820804404	0.704339118174511	0.187980968516014	0.658856712467708	0.748605781665515	0.807128012767937	0.775690494168458	0.121995552914149	0.567100664678231	0.653400944892726	0.541587074581041	0.290043360995422	0.513107816543045	0.393412683096527	0.601112909572716	0.732800949475502	0.615834079536224	0.776150448434637	0.755700166789301	0.803957329253393	0.434097883762986	0.558626330317892	0.435151025436665	0.627077620360884	0.131403389991956	0.562046045504657	0.666121456976332	0.640941057355147	0.583342649164791	0.570343003764555	0.624825602932409	0.777189747041125	0.359428066617391	0.860984177889112	0.808622222514489	0.119806640613579	0.708163535569055	0.336060771804655	0.623961366444558	0.490386394183595	0.365778871712397	0.548956561681674	0.74904496339697	0.70650779672104	0.208369380122508	0.653417077769489	0.325278454457645	0.5206172312248	0.386429029827909	0.421785360398879	0.457656095187273	0.649356708456125	0.408835831234733	0.730751300308521
THBD	0.687740191280246	0.850052171342408	-0.00104799261235867	0.838321321362441	0.686352921184955	-0.0270450876229977	0.37180931535451	0.137030546945052	0.599462510153168	1	0.0709758347295833	0.61517912330594	0.786705905979791	0.407078139456692	-0.391502572367617	0.751857867137879	0.606343906267385	0.596504720049056	0.804254786030468	0.847421854285945	0.0534403194338717	0.471065564628818	0.636026178962695	0.624060968442799	0.690393821382638	-0.104325676075188	0.251408757973447	0.90926401492377	0.0726222644652566	0.678895478101207	-0.0442022782208991	-0.209626563980634	0.404947135412867	0.440732815676009	0.208007645272191	0.79898615140596	0.61396802006219	0.41644239618734	0.644509501110291	0.00359263521944241	0.790040002487444	0.33641851283617	-0.401076997205325	0.914694555301585	0.407597405675922	0.744187229623883	0.796687614790374	-0.314733262030589	0.727826146506696	0.331486515525016	0.773845930743029	-0.260078897102873	0.0875979509789399	0.0831274724906299	0.752731086323895	0.699032882273019	0.396625449445553	0.490073799529013	0.746378742228509	0.770665006784329	0.529939304001024	0.648590573492201	0.359788293035191	0.375778753356357	0.528404158150625	0.156254443088735	0.662722884271304	0.710103250989953	0.253637129185458	0.711881243390874	0.530684645771474	0.331513281851831	0.213674834349504	0.659642892752504	0.819072909810879	0.39263789407824	0.600922856698856	0.0722833403369481	0.511464053292358	0.0540705298387645	0.54102719987368	0.364073865798698	0.721047640417463	0.603165178749447	-0.318730309663931	0.524011579853158	0.164969314857422	0.567437918840662	-0.067413518653727	0.219753215570499	0.789055795798594	0.53579115388115	0.443257930596157	0.575550841341925
