""	CXCR3	CD3D	KLRB1	CD3G	CD2	KLRD1	CD8A	CD247	KLRC1	CD8B	KLRK1	CXCR4	CD69	FAS	SMAP1	CD27	PTPRC	TNFRSF1A	HAVCR2	CD44	TNFRSF14	HMMR	ADGRE5	TFRC	SELL	LPP	SLC16A7	PTPRA	ITGB1	SIRPG	CD47	ADCY7	TRADD	TNFRSF1B	TSPAN14	ITGA4	RACK1	CLEC2D	CANX	PILRB	PLXNB2	RPSA	S1PR4	CD4	VSIR	ITGB2	IFITM1	RXRA	CD6	PTGER4	ITGAM	SLC1A5	JMJD6	CD9	ENG	RHBDF2	CD163	SIGIRR	ADORA3	APLP2	TREM1	GPNMB	PTGER2	CD81	CD68	HLA.DPB1	ITGAX	SORL1	CD74	C1QBP	PLAUR	CD46	ABCA1	LRP1	CD63	TSPAN5	MCFD2	TREM2	FPR3	LAMP1	C3AR1	CD93	STAB1	NRP1	NRP2	LRP10
CXCR3	1	0.856271717289931	0.559985317742221	0.843453887338009	0.88922458213089	0.658513430485689	0.812349684850976	0.566865121290539	0.570256918707415	0.79866256140942	0.716343016419014	0.773918162940399	0.72991645499732	0.723714817058063	0.042088338632175	0.871702666416606	0.670039961826202	-0.560638150138451	-0.272346388139865	-0.34989611032784	0.0585069986263292	0.276299775463468	0.675131492927365	-0.327300733170167	0.737393855518554	-0.112012770422736	0.534228558359734	0.0275915759053855	-0.065217823298388	0.633681822126577	0.329938565126113	-0.0258295307055016	0.728324983883569	0.354988635314478	0.224439204217663	-0.210917322066519	-0.0111584531143685	0.736954868055826	-0.559890485358263	0.332922462635597	-0.622955136585689	0.176611460920776	0.810138856203583	-0.498268321944461	-0.2904505659101	-0.502710597196901	0.890915373365486	-0.401621256514608	0.71334269636215	0.511436062014572	-0.595496412930477	0.315892170686844	-0.0424287665101021	-0.507727073302364	-0.581890002217326	-0.530610296753723	-0.65712462914355	0.537517940956688	-0.478964382236348	-0.661600773163576	-0.68033127166726	-0.683901042264302	0.683405466590186	-0.487805731357334	-0.650484415556219	-0.306006020512072	-0.673265812670039	-0.401831919930852	-0.374634599803988	-0.122007251691093	-0.630923660668117	-0.293894291665228	-0.730763585690032	-0.702143988831683	-0.369103766324067	0.383252208567046	-0.473290492270194	-0.5003335846783	-0.672586388679881	-0.468879407060869	-0.595392580908791	-0.559360481077982	-0.546170522886463	-0.665942715494604	-0.655893197427955	-0.344727708147547
CD3D	0.856271717289931	1	0.466460852499153	0.988698609809223	0.987242444380352	0.446635492855495	0.943249909832692	0.546630252216768	0.381186415317468	0.922974398670424	0.624575294363682	0.89765198059376	0.803910027804057	0.896973379332279	0.174168887196737	0.9303057818614	0.782725195019455	-0.502905706735957	-0.263974004216385	-0.283995507160494	0.0849720703052653	0.470923108888335	0.748087766523785	-0.282779989949983	0.769256067846799	-0.131024560076383	0.478916242972621	0.0756636358585091	0.00240696876943421	0.66144944646761	0.466527554486351	-0.0501899368149788	0.856356466321368	0.505429211838331	0.300988801174479	-0.097740231966639	0.0186428701417047	0.869808378416208	-0.488522950438145	0.313073651861047	-0.589957122377361	0.217676510324174	0.933727719262592	-0.463682683941206	-0.219528636353273	-0.426238909090797	0.892508553301432	-0.414032065741773	0.884129076735324	0.615299894858739	-0.567750024346018	0.395544049942664	0.0496738924454924	-0.540694163530325	-0.532286863363813	-0.49346903020647	-0.616823456413187	0.725866383215804	-0.422941361645161	-0.599584792258842	-0.637107936723947	-0.659913303135831	0.568216386013869	-0.420147189621373	-0.625612341697632	-0.272342579021198	-0.70735192438148	-0.359861451327663	-0.329411374574255	-0.0915524248391351	-0.584589181303365	-0.319864595023643	-0.711046089131761	-0.671811441234389	-0.300889464452436	0.330855111610047	-0.454533547046611	-0.453591431205951	-0.631249443424221	-0.405798294168513	-0.537841060212506	-0.524342238382242	-0.500647871186733	-0.640450352196109	-0.613563283876714	-0.305631241450494
KLRB1	0.559985317742221	0.466460852499153	1	0.386568757645255	0.468629105642213	0.587079370978121	0.366742089715131	0.941133174047644	0.879121997324768	0.524858106361575	0.897572341504876	0.56878628117559	0.8516188300471	0.362185277327819	0.203933554829256	0.342794626265885	0.58875280865286	-0.453703373623657	-0.139795759184717	-0.451377367076927	-0.0537088898890918	-0.0170182233674947	0.605871714854079	-0.345001715523636	0.522912069251969	-0.0229789467657942	0.881078827330365	0.104941951067602	-0.117690138373653	0.910918927735886	0.205677828564313	-0.169899127072454	0.414264222395948	0.369605678277667	0.54864722327814	-0.246136402110745	0.228578783157834	0.17913005536946	-0.443930369792673	0.384035988143298	-0.522387732309523	0.472816705945504	0.442538919299564	-0.596997820204878	-0.0863186987292484	-0.522685250098033	0.755018083185817	-0.153010371332339	0.434875162899462	0.291896463494049	-0.539025921855261	0.356911179674321	-0.275649915725365	-0.443532532020779	-0.534363834674709	-0.506784181203935	-0.593686773397355	0.332579845723939	-0.461098680062557	-0.598390331270901	-0.599860683641008	-0.596261753409268	0.918229391836311	-0.405805645800146	-0.575228911514584	-0.348495511372623	-0.493653669617954	-0.436341087610627	-0.393169112828014	0.108709001488022	-0.557527155508684	-0.131562103975076	-0.636392400814569	-0.619369295649383	-0.156570459232002	0.676936598662509	-0.433963663049353	-0.474574409700597	-0.592279296057332	-0.426729674590504	-0.530413938852036	-0.501176724375689	-0.490667839450074	-0.571396791043773	-0.617302097545617	-0.375452502667333
CD3G	0.843453887338009	0.988698609809223	0.386568757645255	1	0.979244971111971	0.420002074126529	0.947517220680927	0.486876537310715	0.324828966606303	0.911089538498628	0.572768248936558	0.87220711173253	0.746573374808695	0.890369809686663	0.168212738325539	0.935259681437324	0.762581786698348	-0.472655776852427	-0.262347786230577	-0.260700468450071	0.0929163769774483	0.484850097972023	0.721675520512056	-0.256707558398755	0.73365779859499	-0.123240070065761	0.411972951939983	0.0956912386536437	0.0269837309392659	0.599440056832998	0.460507739469899	-0.0240027433369154	0.837865308514137	0.483371721625667	0.249081540704028	-0.0779268621314157	-0.00935629460020133	0.883489436857893	-0.465331803764519	0.299230715131846	-0.563337853508558	0.168596068830934	0.928594841507637	-0.419436660921613	-0.22243770210402	-0.39346668517683	0.863450701943153	-0.425552843184272	0.872071471509045	0.618569032787419	-0.536567721106528	0.365979524139021	0.119303838757814	-0.50334945612109	-0.497399043786488	-0.454892312035515	-0.57771962594726	0.726727727122085	-0.39087867074761	-0.562564024725247	-0.617540141679038	-0.637420591192326	0.488986749058879	-0.39187207596314	-0.604617528543402	-0.241954937094255	-0.691079290586452	-0.325410616383117	-0.294366945104256	-0.107693560569368	-0.555949017742311	-0.299704306935976	-0.681879278749106	-0.630762559426388	-0.295771311772376	0.291706270908362	-0.42037304275381	-0.419727201500193	-0.597103132748175	-0.376429001682375	-0.501853282354971	-0.489313030615961	-0.464389460800299	-0.607056747389576	-0.573243718996464	-0.255381355218241
CD2	0.88922458213089	0.987242444380352	0.468629105642213	0.979244971111971	1	0.522210366414045	0.926316566511745	0.54317243863334	0.420047257014842	0.891899973118169	0.654507039601718	0.881847120239378	0.786901866645686	0.874958448231667	0.143315715650687	0.955849151121667	0.770014746990174	-0.522370285403341	-0.275789378137901	-0.299735067440585	0.0849875791085576	0.455613621127508	0.755285807714579	-0.299036087576526	0.734400859116828	-0.116301599582927	0.461817649306158	0.0733058705636746	-0.00234728215593953	0.656031936530039	0.451531054271002	-0.0581845240636748	0.832077524985497	0.499573153762429	0.282453330789227	-0.130119599373663	-0.0106838565280168	0.883212431067918	-0.511560497260561	0.306982835588559	-0.610937656155631	0.191801414988349	0.932339396805648	-0.47697941577218	-0.246071683755511	-0.441926173661127	0.901807535218783	-0.425714249538021	0.859954048955705	0.592238092337738	-0.573792905666936	0.395890908959637	0.028857131744205	-0.535477103610441	-0.544578260501504	-0.517460296030298	-0.62844572254529	0.70717777211812	-0.440644678106174	-0.616600842076491	-0.651797093433575	-0.666607853040925	0.569686387725486	-0.439430607478335	-0.63557185851368	-0.291783796538127	-0.703994887325104	-0.38752234777936	-0.347616517227399	-0.113221463690593	-0.600312930174768	-0.331511961626959	-0.720693722476788	-0.681543734211611	-0.318499045583842	0.330263893506457	-0.456126823564917	-0.468395181518975	-0.645325829517397	-0.411210114009242	-0.556419199742585	-0.53925669613565	-0.514862314629272	-0.652517894915163	-0.626639790369491	-0.328364953016747
KLRD1	0.658513430485689	0.446635492855495	0.587079370978121	0.420002074126529	0.522210366414045	1	0.483870753688834	0.577296300675087	0.840168414159462	0.485679184132063	0.824005655350307	0.395182282196898	0.497703424085802	0.275288989154475	0.00487916056727502	0.464009574314163	0.376170241743331	-0.423824039372106	-0.0863333371619311	-0.37486792354004	-0.115151842272445	0.143153210210998	0.577335410055634	-0.385794291887901	0.228288149861673	-0.0476636367658326	0.571362689098821	0.0637598308651639	-0.0506941025738987	0.494873116359143	0.0876205089240492	0.0371138891870905	0.254310320178098	0.093046084007097	0.14417898421299	-0.24137805326293	-0.131009597614563	0.335279049365712	-0.470845179449793	0.446824399600665	-0.479233638784867	0.0564005828229481	0.424612592777113	-0.475970438286806	-0.289888498066555	-0.419247443145452	0.651324266450207	-0.239093630613728	0.33948397187979	0.124759059338794	-0.404494860098225	0.294120386060952	0.0499971642190476	-0.262199498554217	-0.436079071360065	-0.451104161941028	-0.485142484488235	0.294083290818659	-0.38948084537081	-0.503758122852399	-0.521377629850766	-0.510711747459964	0.634685395060132	-0.370266401777391	-0.514035860332576	-0.327927627016471	-0.372608321101461	-0.400473516789839	-0.338938530905819	-0.0714914661008172	-0.49705382984994	-0.215114010257224	-0.537530440991188	-0.522483371081996	-0.230837553229788	0.302036560629265	-0.498299734217135	-0.381808315127679	-0.502646517690254	-0.367985605884265	-0.462772921771759	-0.444058206723311	-0.40767582265383	-0.505251586400784	-0.495594647943804	-0.321770201132905
CD8A	0.812349684850976	0.943249909832692	0.366742089715131	0.947517220680927	0.926316566511745	0.483870753688834	1	0.450475253223268	0.352885100868569	0.925040520949974	0.589710141324004	0.788620303811498	0.691965108571678	0.812932068855579	0.105095382473748	0.871694141429087	0.687474824295468	-0.483027965220651	-0.236590708759609	-0.268080730484543	0.0455966655687279	0.449056927729153	0.674728530884968	-0.320898049720632	0.695805260316537	-0.189664350135795	0.441873378142753	0.0315164944886649	-0.0153177916260686	0.557575200182438	0.362612893930838	0.0256132309243324	0.755687427083681	0.329872359086524	0.181118831630116	-0.107538386354182	-0.0687317603309014	0.799902460144202	-0.48691978806613	0.338822146531192	-0.548750400500564	0.114170619239958	0.841389823154623	-0.435321886388085	-0.257292928786713	-0.400202248338697	0.82931066167187	-0.428285523880161	0.798045665210832	0.563396255236628	-0.537538171563616	0.333711265066787	0.195798581004027	-0.51169050370204	-0.493313509917691	-0.463225997082246	-0.572236550688014	0.666862113694331	-0.384868849559008	-0.560344820345018	-0.595951663403724	-0.620102687495784	0.499948882588859	-0.393744237803872	-0.592062738221623	-0.260737160364041	-0.668348011594993	-0.323449099310308	-0.3121162282657	-0.124344484987636	-0.553085008692354	-0.329770674336097	-0.666259935930114	-0.633913583698654	-0.320927314702606	0.207664503733389	-0.478654492619943	-0.417266763226348	-0.587435495409413	-0.394137832250867	-0.502440275537383	-0.491809889994446	-0.457917066185798	-0.605053818242818	-0.575871325338226	-0.272271930007373
CD247	0.566865121290539	0.546630252216768	0.941133174047644	0.486876537310715	0.54317243863334	0.577296300675087	0.450475253223268	1	0.872512077281984	0.590937076162891	0.912947958866208	0.639733602086803	0.875542553737871	0.422158302271718	0.282814644944778	0.412068181955964	0.663783317875929	-0.458532212089347	-0.16589507951973	-0.488806859751873	-0.0643239936633534	0.112733291861728	0.671712682229464	-0.380830899121	0.456957971124444	-0.101261284613431	0.829951540489996	0.167334346036397	-0.106910206199493	0.926820425954802	0.240745138758227	-0.194313515965903	0.431931580444614	0.407992701375197	0.534247224737602	-0.219531856933416	0.201217582017111	0.277772509157321	-0.455129101095943	0.341176772179252	-0.527313988942064	0.451287647383625	0.546399489977399	-0.600767608763286	-0.0876220393932688	-0.516802299095763	0.780421396130971	-0.22019086687139	0.473237592421068	0.33397666184762	-0.555193150441267	0.423934187438158	-0.152714325298497	-0.483340502389096	-0.539322509227225	-0.563620122233266	-0.610949548968791	0.416090751853254	-0.45786605710044	-0.602104994838359	-0.612577476358625	-0.625869272156461	0.791943414152041	-0.400267798318555	-0.598685732111852	-0.338448029822493	-0.546598766836644	-0.455281728745413	-0.378625280553246	0.113437638804745	-0.571596603529922	-0.183276182444304	-0.673047559790362	-0.647075856125053	-0.137882422794712	0.592654215965951	-0.45250140394535	-0.476293319716721	-0.606767400608429	-0.401917134300689	-0.534970472110929	-0.505736513925874	-0.491350779038925	-0.599066284668228	-0.63584062620435	-0.344909501202331
KLRC1	0.570256918707415	0.381186415317468	0.879121997324768	0.324828966606303	0.420047257014842	0.840168414159462	0.352885100868569	0.872512077281984	1	0.467093698206708	0.930853288070099	0.41820160729604	0.681865293882584	0.221071786702535	0.128065961676282	0.320161350550642	0.463627199574949	-0.448175621520325	-0.105454808737053	-0.480563520396532	-0.13431790665788	0.00967362966509699	0.560935302991111	-0.423578058429451	0.307518640756504	-0.0780282983066284	0.801645597471758	0.100276768470762	-0.111671081988605	0.73602689513017	0.073670068235529	-0.0889817268300649	0.239397600436944	0.170035572819449	0.356811759061295	-0.274768408827606	0.0632119202780329	0.148070154412484	-0.46769451018443	0.409843869278551	-0.493718034367861	0.288584176094671	0.382068726017953	-0.574352250503201	-0.173633696815755	-0.501374872038208	0.696053300313153	-0.169795498420149	0.274077078885881	0.167191644151139	-0.481827839551694	0.347659942844489	-0.111175922303011	-0.357715066349021	-0.497561329031526	-0.529736286218239	-0.555247500994283	0.244874564279508	-0.435443467360867	-0.566189579984002	-0.566307927640059	-0.56566053266723	0.803396167312776	-0.392504565686566	-0.554002969815917	-0.356983488015114	-0.427203195715846	-0.444920275555084	-0.383241330818589	0.0532677960347639	-0.537842465996193	-0.184229111955181	-0.601207170127195	-0.585768495231085	-0.167882117126484	0.491595770000321	-0.498917974330439	-0.44140305549923	-0.552050858213669	-0.407398035680557	-0.510534939933275	-0.473984440443457	-0.452399496140141	-0.555854666038102	-0.582843736260882	-0.348352473390184
CD8B	0.79866256140942	0.922974398670424	0.524858106361575	0.911089538498628	0.891899973118169	0.485679184132063	0.925040520949974	0.590937076162891	0.467093698206708	1	0.679419809479229	0.801537976975573	0.779178680054765	0.761813403817793	0.086754858255493	0.802402966788088	0.687971567125529	-0.55307103709626	-0.28524090967123	-0.37262222361646	-0.0178537945241064	0.30755739397877	0.661711969202919	-0.409206930488775	0.806385984490428	-0.225428372142221	0.580966027588983	-0.0411177995379659	-0.0946858503450558	0.647941115819846	0.29114367123478	-0.0942558229354415	0.740026524606878	0.348654901093691	0.228576405983896	-0.184410940808485	-0.0430591630174988	0.668160562054611	-0.561031307042059	0.307756540788857	-0.618530596582128	0.160795507413092	0.807359429872529	-0.532503921834551	-0.278127660869919	-0.503423791615029	0.856894403699283	-0.433404424770014	0.758981236709165	0.56496431305572	-0.633054542676603	0.268095278433018	0.0574378010257194	-0.595618587400636	-0.58133494762709	-0.519721132232453	-0.651821319389838	0.600139129968081	-0.474850871976742	-0.654029018906789	-0.67892020567736	-0.676231468595038	0.647646560104434	-0.476771282997806	-0.649186312699428	-0.333768175715418	-0.709714755745782	-0.42582495686402	-0.397810136321022	-0.150700087548932	-0.633298720637071	-0.369899741754464	-0.722526979287573	-0.700067501794588	-0.382472120033344	0.288573147738252	-0.583833983240606	-0.504476745897674	-0.656817909374295	-0.464182569587206	-0.588048948550122	-0.553081354775371	-0.523111338397877	-0.673994275162232	-0.663147012563972	-0.352573998845967
