""	CXCR4	CD69	CD2	PTGER2	NCL	RPSA	LRP10	CD3D	CD3G	ITGA1	ITGA4	NOTCH2	CLEC2D	PTPRA	TIGIT	LAG3	SLC16A7	CD47	PLXNB2	CRTAM	CD247	CD44	TRAF2	ITGB1	SORL1	KLRB1	LAMP1	KLRC1	GPR171	CD96	FAS	CD46	SIRPG	MCFD2	KLRD1	TLR1	LRP1	PILRB	ACTR2	CCR5	CCR2	NCSTN	DIP2A	DPP4	CD8A	IFITM1	ITGAM	PTPRC	BMPR2	TSPAN14	ITGB2	ENG	IL2RG	RACK1	TLR4	TSPAN5	HAVCR2	APLP2	NCR3	CD74	CD8B	FPR3	KLRC2	ADCY7	CD81	CD63	MERTK	TRADD	NRP1	KLRK1	AMFR	ITGAV	ITGB5	NECTIN2	TGFBR2	VSIR	JAML	CXCR3	IGF2R	S1PR4	SIGLEC9	CCR1	CD226	CD6	LSR	PLAUR	TNFRSF14	LY96	RXRA	TNFRSF25	NRP2	PTGER4	SPN	SIRPA	PTPRJ	TNFRSF1B	ABCA1	CADM1	STX4	C5AR1	RYK	GPNMB	PLXDC2	SIGIRR	APP	TFRC	CTLA4	SMAP1	JMJD6	ATP5F1B	CD163	C1QBP	ITGAX	KLRF1	CD82	STAB1	ITGAL	HLA.DPB1	SLC1A5	TREM1	TREM2	CD28	CD4	TNFRSF1A	LPP	CD9	C3AR1	CANX	CD68	LAIR1
CXCR4	1	0.892327056071457	0.88101735736139	0.829356992107539	-0.0750977561398359	0.376236757423551	-0.148347419313275	0.868002591049594	0.832946303975002	0.801522749171011	0.112152383411331	-0.431542354180038	0.892934494999425	-0.265024784501876	0.856997803070778	0.723819217328078	0.585360903798414	-0.0454017177858503	-0.438557892511028	0.844822935136492	0.787876379639843	-0.231419010294123	0.126511304426518	-0.213888892787804	-0.288228591077991	0.687627333508478	-0.49356454944695	0.661195923910338	0.822312936098942	0.841363639762972	0.743875544349788	-0.197431668264944	0.830983573489302	-0.170023115553257	0.807080190936465	-0.40659531834688	-0.562414393909275	0.0866668263967099	-0.153770109793131	0.709002369097939	0.660772296756755	-0.51384094926199	-0.28724447838229	0.694966526680364	0.830323002270278	0.808525923462859	-0.404598790683582	0.841243387351381	-0.373629064914608	0.126651256645954	-0.235680728424239	-0.373168739850752	0.871405034922715	0.104329636335197	-0.611278978281911	0.197110753638498	-0.235011138960273	-0.528606013908792	0.698393356114007	-0.150479125444918	0.831034408414188	-0.465274932600728	0.680157236053105	-0.133528555772104	-0.373984643334468	-0.514932202470642	-0.44850240060938	0.341301693917408	-0.496858333742752	0.875824971517636	-0.649198659611227	-0.530129291781157	-0.557750652929388	-0.480950273395601	-0.00273073992650703	-0.0179582918734768	0.76427329397442	0.827420534360091	-0.621639355691904	0.859799544007952	-0.334221613899391	-0.538396609940121	0.698495279423999	0.807850526656626	0.742787209134631	-0.35886590090545	0.153396104165609	-0.472428033660193	-0.274263344146613	0.810270500617257	-0.6353627445869	0.692209737380666	0.858438100139852	-0.407694805780234	-0.386163719885292	0.111996313684192	-0.704681611542016	-0.610846351612243	-0.430191921063718	-0.380670105424239	-0.137949732278193	-0.583146664032597	-0.340555604771037	0.790198403323671	-0.596888837994717	-0.262600009559471	0.758983475281533	0.251011787113594	-0.200974795374038	-0.152973053024459	-0.426871108118083	0.0720047582735546	-0.171097483027979	0.46770920157072	-0.360917849568708	-0.361981255709891	0.174946129343255	-0.0668049862523943	0.109691088544861	-0.453229882993057	-0.283936856634519	0.0465758671321812	-0.260376703794829	-0.555365045752299	-0.210606815748844	-0.618976530036176	-0.360108574660633	-0.57665533558871	-0.501718096406971	-0.258406574824333
CD69	0.892327056071457	1	0.93181218727329	0.938255218808322	-0.0872964437739466	0.415125321034277	-0.226687782476736	0.898928627643269	0.858713133527617	0.856182953525759	-0.0475771039155124	-0.380264118822673	0.856163431263469	-0.184230113734654	0.86547066666605	0.762376283304987	0.749998780173891	0.0965382706938706	-0.598883550599399	0.880282051411977	0.953569377459593	-0.405861940097788	0.270689739278259	-0.363724584096619	-0.474624133048047	0.853795459360695	-0.64949675071869	0.88906191930492	0.873963185078114	0.960251132213055	0.577510034432598	-0.332940619356281	0.937508681479634	-0.219325974491523	0.865146009738873	-0.562641822581376	-0.737832733076474	0.058495770767386	-0.266793006202061	0.62146593746721	0.457887196840387	-0.613643396352236	-0.408007084686805	0.79250521387191	0.918077144095831	0.949282016962515	-0.592488058901064	0.767299418770421	-0.527244330737575	-0.0364773752723128	-0.410693694195759	-0.524526894011715	0.974230509167264	0.00452246186056286	-0.73174759629989	0.420095053500266	-0.402797167844038	-0.670252016184651	0.846359085914421	-0.334935528735497	0.838899728860843	-0.616263721082824	0.806121730103344	-0.27351778853012	-0.516096685735226	-0.504670788311151	-0.623570252330789	0.121390187892211	-0.668871080909563	0.931838396082159	-0.772746752208946	-0.590762017135106	-0.713327983095664	-0.598652381686069	-0.205652347347328	-0.219645134227558	0.685789479221512	0.937678258227507	-0.811774564664317	0.927682796716813	-0.451175624429793	-0.698362129526804	0.737608921622333	0.95045352078591	0.774274877664885	-0.532443208041939	-0.0859365749092515	-0.632869583941866	-0.332621401807348	0.847832562727702	-0.71343053903848	0.489781951836844	0.939652465814881	-0.584172786668998	-0.509789682215157	-0.191104146781636	-0.866947242516427	-0.717513656928236	-0.573299871523252	-0.638577251730691	-0.128025925742293	-0.77457185566881	-0.530101666557991	0.740069637624621	-0.523117581909483	-0.483285212059176	0.715121139620601	0.146202054681559	-0.272019520670208	-0.0928178917649278	-0.605457508799929	0.109787548027843	-0.450223742709075	0.659441734506718	-0.268318775464976	-0.508466342038411	-0.0384968508045295	-0.282490812276507	0.0632034712067688	-0.634877462993085	-0.456918574115241	-0.156804811580229	-0.44521156687037	-0.621751667353563	-0.189530620132172	-0.702693805761698	-0.551171429467054	-0.653294380506493	-0.686472183606362	-0.440827126694945
CD2	0.88101735736139	0.93181218727329	1	0.957261568073571	-0.336516912428936	0.191762644675384	-0.375028774544228	0.969643402560049	0.944934994624667	0.884533931188034	-0.247648149009649	-0.475102105253624	0.876872010142825	-0.272642436242921	0.965144898664587	0.807509026007707	0.760567205987223	-0.0534411805573482	-0.740332883512929	0.913029728703809	0.918465611794333	-0.579875790909083	0.000984590705834849	-0.567239348265127	-0.598147364205891	0.841988458831199	-0.795791332161018	0.779935986122372	0.946510354113611	0.974071623092374	0.661077503842338	-0.497042033801892	0.96843253306701	-0.448518242384858	0.932654261635707	-0.714177221219189	-0.810252554464183	0.0772407009193692	-0.494606505986584	0.625983122311479	0.514392616377793	-0.774066460303103	-0.452764072162613	0.873161264414574	0.97633148757891	0.965479362577414	-0.737717441067229	0.609084386038435	-0.593424045076244	-0.18563989428604	-0.606437652335116	-0.691183968425282	0.942284251443987	-0.193034585637549	-0.85869761154048	0.428318085654952	-0.589401432948059	-0.815507174916323	0.854446325557421	-0.540404440955614	0.915296584351167	-0.776335298330544	0.688310521609444	-0.486139224643646	-0.693524321283176	-0.678595389164357	-0.741644798812294	-0.01485151996102	-0.796956217358039	0.970332095361597	-0.868000910833583	-0.646423390951539	-0.820273844291642	-0.787428657648812	-0.373411831577681	-0.4205372619626	0.720582262992309	0.96170897538136	-0.851116100405962	0.929054949107282	-0.661695801588375	-0.823950429295342	0.750889413238463	0.936387119585064	0.840132042341323	-0.713335890350688	-0.147934468029262	-0.791044206518444	-0.540090542757919	0.930645889317518	-0.820668771679424	0.353980144894892	0.811326190101402	-0.736211267267722	-0.676333308584745	-0.286849825009075	-0.885154848113354	-0.789890623400051	-0.714308741705194	-0.690389154809913	-0.294765887718801	-0.800626581459393	-0.690623346997712	0.594715973072663	-0.537897214626667	-0.54638234203344	0.813080272677382	-0.0690502753865474	-0.371760903882552	-0.350645907513878	-0.747407873557736	-0.143455275334407	-0.464758540037471	0.627008829584772	-0.351326337478309	-0.67087507711468	-0.120108149212453	-0.457926701285014	-0.203530453073432	-0.771236911307729	-0.64465539626559	-0.224789620311496	-0.61218295879144	-0.795430471543904	-0.320908941318472	-0.781388787580413	-0.710651855195038	-0.796916360893593	-0.798184982568471	-0.626512259530628
PTGER2	0.829356992107539	0.938255218808322	0.957261568073571	1	-0.27251651638769	0.300119889416824	-0.292993983505287	0.879229276081797	0.838102546161883	0.800541700972573	-0.241690962443128	-0.443746149051605	0.7712322319934	-0.254741622054907	0.891549560766125	0.668843971069946	0.824138896012236	-0.0262818411920878	-0.722318832504575	0.926837825421649	0.945331436210756	-0.587154640350744	0.09522259783212	-0.553013583594239	-0.564877923144556	0.942969090680663	-0.771479249275706	0.836935914187513	0.848940710485042	0.969217212293877	0.534516693543765	-0.452394719888814	0.98393098610067	-0.384637530238675	0.897957537527586	-0.668837444337104	-0.81354330045649	0.05217626363472	-0.461253148255196	0.50128927825201	0.468936260713267	-0.768093764445417	-0.467329430565195	0.80359901042534	0.919650456296115	0.955281328073555	-0.715160599883903	0.57983852949252	-0.60343717621653	-0.150012575668665	-0.587811920239185	-0.661472105381395	0.963045981723016	-0.0967369822453175	-0.84018755398307	0.449749765180156	-0.572517389353256	-0.799096108467545	0.93934824468824	-0.516737119511807	0.800761359816032	-0.754495730914442	0.812376279013002	-0.484912766132113	-0.667557574857989	-0.638344507672744	-0.73192512165211	-0.103960182152108	-0.784940090615476	0.926910011401159	-0.840631720537966	-0.648655604630473	-0.810833634162909	-0.748036649513731	-0.355383634620174	-0.417717077938853	0.722722602681495	0.987881349904662	-0.845298590777236	0.864878784993507	-0.622926636021518	-0.779675550068859	0.830704349565685	0.903898347859585	0.848806538317508	-0.688112910829482	-0.132767122662586	-0.758555499158292	-0.449934167473234	0.857823485236934	-0.800204399727508	0.320479367039432	0.818779472519535	-0.716613577085099	-0.650101339179082	-0.379989618448723	-0.875495681085485	-0.789812047183704	-0.693292119019633	-0.700782601035433	-0.245897598334091	-0.79357372471252	-0.678022005127479	0.579134575996821	-0.520979828468931	-0.586842802810936	0.734161878917182	0.0236259421504147	-0.428901757597421	-0.310236881584787	-0.734841556039268	-0.0488567987570217	-0.457656734442683	0.730267155303474	-0.312438593361004	-0.651260830266052	-0.282949972881637	-0.435980925712013	-0.170493627411843	-0.755848137267077	-0.633359985071023	-0.243930597615671	-0.59464437585908	-0.752829005026389	-0.211094942811697	-0.770452485252626	-0.694623023631373	-0.757812667266213	-0.786178480067953	-0.605545162398587
NCL	-0.0750977561398359	-0.0872964437739466	-0.336516912428936	-0.27251651638769	1	0.776891540612482	0.669528755238364	-0.357210902043961	-0.385659950262312	-0.296180640519041	0.870660150035196	0.45117592460652	-0.177100815720536	0.450272600608074	-0.381724705957352	-0.319576483898691	-0.00192909673609822	0.582497259466827	0.728364046117558	-0.20543363310884	-0.208862896398689	0.762293943162436	0.726332646125269	0.801640046530872	0.675986383384759	-0.195845701356513	0.667224099395383	-0.0882183102835476	-0.351783693080489	-0.268259999258707	-0.125723573521277	0.72587133099644	-0.27392588893451	0.891048799564742	-0.413396992512048	0.702995102066162	0.473807418056172	0.17499043912868	0.896511441880173	-0.0803084034841906	0.0945287994764059	0.771735854652815	0.480821775832718	-0.413570885991769	-0.374350006384061	-0.302670003155609	0.623847015431554	0.376821000490591	0.493927872064998	0.523784925575174	0.762294799366644	0.762044748802509	-0.149663789295061	0.844069822830516	0.583970617445076	-0.0901104888254768	0.745709985313932	0.676461115827068	-0.241960203722379	0.76550564848759	-0.368790087387853	0.636923571547387	0.088577416158715	0.786282429027602	0.742527224930376	0.736043228214249	0.558339998941434	0.532417669164962	0.633846563110104	-0.31064527506281	0.496484136483233	0.461813863918142	0.510272805640187	0.713477633164417	0.662184729409653	0.765611670388844	-0.0109620953819631	-0.292395152586911	0.416698228824013	-0.198280092482795	0.817604237594097	0.486900215178382	-0.108110284871473	-0.264033658185373	-0.187205399710154	0.700484500923493	0.332417671603896	0.617383995860583	0.755376638201984	-0.322627822556726	0.557504726616795	0.508090111210359	0.167466634665877	0.665403663146678	0.73686137395504	0.428488925307368	0.263241145331996	0.470669527378327	0.637891125994919	0.366695336911944	0.789494880164785	0.184437723377313	0.674856557438291	0.364935493187957	0.314794212799649	0.453311102554899	-0.31454636112673	0.708970328471952	0.527193084359432	0.932312904565337	0.639736535058543	0.941983512856232	0.245674780897019	-0.175961918038603	0.388357714643097	0.691625670800101	0.351149587603587	0.708824105620202	0.919186401821984	0.581989533390894	0.723267331553255	0.234613644098569	0.728102427584152	0.727008987695096	0.574122268516294	0.460679725914458	0.665284814327335	0.744268828440682	0.484773946977162	0.731081954622595
RPSA	0.376236757423551	0.415125321034277	0.191762644675384	0.300119889416824	0.776891540612482	1	0.499806940047011	0.0890662919597907	0.0473019116081682	0.0747936103302409	0.679826632721787	0.104986643012622	0.185865236085188	0.196116409220927	0.105680862088625	-0.0401440686396922	0.493325467834016	0.440443994187434	0.259690342190574	0.355742655618063	0.313332203657275	0.452460620642501	0.726838194400368	0.398347614517981	0.297174060868875	0.387553382830829	0.220526948381028	0.366111416145262	0.065245385369032	0.276566368473767	0.158569077978086	0.465768517809541	0.296001229881526	0.623630006789443	0.0292188230814967	0.27972556124345	-0.0321986562693142	0.133431517367198	0.578824520196797	0.0982679345302062	0.454337497344157	0.283376748315167	0.116744517814531	-0.0431693279437027	0.101780352829175	0.222899463887815	0.197507625572297	0.656710626072619	0.0608194393768079	0.380664512627052	0.406216944813882	0.351691838714029	0.398477175455682	0.880882652003209	0.0584029114967592	0.104843034323555	0.375923246786622	0.167985223670589	0.3274805180411	0.42890363936629	0.0431944239104843	0.194588572460984	0.611585743255775	0.42766994372781	0.294850300200179	0.313138258854871	0.0798788781721216	0.420097284860393	0.145205864176855	0.14343233674215	0.0113416882310095	-0.00757659118326799	0.0282437593991797	0.306972134122805	0.410919809209746	0.521907010577453	0.478495586419757	0.278573963171559	-0.0552316652549057	0.209704470271239	0.417952331501184	0.0671033514158461	0.428407744003813	0.209939831541011	0.339339905658999	0.301282690308084	0.38951453611707	0.218686239025568	0.558549805438626	0.147321481531549	0.032277525889512	0.641811727789066	0.594696128397357	0.228182359982328	0.314031132473717	0.14630016544008	-0.185653869750043	-0.0255994377933069	0.173029638360997	-0.0511526781046783	0.575426428888013	-0.18610059938046	0.23790869805918	0.677315920705885	-0.0365558848756554	0.0215232813344133	0.102874458203952	0.798341421511667	0.228985011141561	0.682569590129372	0.169125417862702	0.893974863956938	0.0207221307337886	0.276928122687251	0.116609591374362	0.231331774149416	0.0664601847522595	0.443968843390799	0.77664151198131	0.192233627924524	0.306064458852843	-0.0497432102448121	0.363143534953547	0.245701181306876	0.390231156585137	-0.0303015336968223	0.223948134836075	0.285055521572245	0.0729771719639435	0.343872930912617
LRP10	-0.148347419313275	-0.226687782476736	-0.375028774544228	-0.292993983505287	0.669528755238364	0.499806940047011	1	-0.445435060711478	-0.495311919658615	-0.440931320308974	0.519987304396154	0.560379629236852	-0.288963391800768	0.583398702571086	-0.456244835598084	-0.476727008588164	0.0250697753222113	0.544531195449048	0.659241426028537	-0.199285323827608	-0.259472409427478	0.69680913620369	0.477229116771015	0.719574329336341	0.849460079078153	-0.120008005841885	0.655045010913243	-0.190844369690356	-0.469960502071013	-0.319860949612738	-0.0457714189058919	0.830333734145253	-0.301663471480104	0.828576548970401	-0.525678517540244	0.615275755345111	0.68325400891197	0.423906697687192	0.636816772381337	-0.130247698580067	-0.0558425118478014	0.645711238841286	0.776406177508438	-0.477592390084118	-0.459033817396557	-0.363751535463521	0.599233085163458	0.123715409167585	0.793265985849849	0.722855410664944	0.593308265499295	0.611081431152174	-0.214928754060977	0.701273304957038	0.665270798684593	0.124784595391979	0.63378645504652	0.687874220051697	-0.14749332967705	0.695965117602424	-0.480663172098429	0.583571832636949	0.0519833885037783	0.530358801036928	0.722026282868349	0.725875853962576	0.614814340948129	0.419374141340332	0.595727898328226	-0.395446716021855	0.655982893556718	0.690986076600997	0.524186029905686	0.66185091190943	0.651104165778226	0.63878752429168	-0.117420887711662	-0.298371955220709	0.538840476164824	-0.335195296525154	0.580628293460709	0.538142556808523	-0.0191928431033766	-0.388048744893445	-0.0236993632208232	0.635073798615307	0.454101552035791	0.604773040912287	0.616903652334759	-0.269213375496497	0.680239514410268	0.349682854324214	-0.0681332790144345	0.650743045385013	0.619215496577284	0.467403003706332	0.535369052582845	0.704627158833229	0.744499122130265	0.613529902190133	0.726516787883299	0.383096716193288	0.676570610860228	0.168568310333895	0.473309583163951	0.710904695113335	-0.316525591838973	0.692044766102642	0.470791891060963	0.579505444103593	0.621111188716999	0.54696007055906	0.580811741283173	-0.138803895581128	0.666270611504953	0.626881642157494	0.126424438366833	0.724469599749245	0.543525335264673	0.527607665970514	0.655910600254841	0.458162727972038	0.656114484139599	0.747707790655423	0.839771313377866	0.692774181943056	0.631756911667796	0.745976616501131	0.521531924191259	0.65776255806238
CD3D	0.868002591049594	0.898928627643269	0.969643402560049	0.879229276081797	-0.357210902043961	0.0890662919597907	-0.445435060711478	1	0.982932086081353	0.938937497317026	-0.241206496724338	-0.435028876610036	0.936013233781458	-0.262699512331802	0.964891501621491	0.912536076925354	0.642257108748931	-0.0536084440456794	-0.720023531656594	0.835939655746039	0.864439430998966	-0.547956980660815	-0.0416151798717797	-0.538118965498902	-0.610603240090336	0.709600281843632	-0.777354383047298	0.730521636677618	0.985892028199568	0.935736543320747	0.689139406502861	-0.520631097244727	0.897873314334114	-0.473608879436601	0.940335580385432	-0.700919713336825	-0.770768975711295	0.0904486190078322	-0.487014512243111	0.695132978729413	0.471377731502572	-0.731940329037864	-0.414653102060512	0.90096022117505	0.983538925004185	0.935197350311321	-0.719561818410653	0.602502250261444	-0.56106817562458	-0.199618319782943	-0.584615316989968	-0.681193637786079	0.883502693134668	-0.285899811080924	-0.813249589860919	0.407655076323062	-0.578954147230399	-0.774844665682793	0.741240991839109	-0.538672133138056	0.963714670768966	-0.753264776680335	0.546657674406469	-0.444596234590009	-0.67716843833943	-0.655566518842354	-0.711924476774827	0.0253109339429978	-0.7670092603675	0.972627325852025	-0.841693724847526	-0.600455107653257	-0.786424322502904	-0.775648620867881	-0.367940482418895	-0.407592290900712	0.635436355960568	0.890486428522728	-0.822381826303307	0.949604265983594	-0.647091750876804	-0.809765631447169	0.608886021630159	0.942393327340163	0.73410245174907	-0.698858053458314	-0.191417660819187	-0.777736033396723	-0.594508926534418	0.914492461775752	-0.783252219313756	0.353272458101923	0.783145429753259	-0.719048287796301	-0.653279751058081	-0.205811251854885	-0.8628357744035	-0.753689966838748	-0.69102205127727	-0.66464036267381	-0.305493660374225	-0.776893482951941	-0.671110394283122	0.588336758957858	-0.52167374378031	-0.495417314940938	0.819231985503078	-0.169255352820487	-0.285944218588726	-0.334356216797995	-0.717824200272391	-0.201529994561089	-0.482466128165736	0.530545855452198	-0.338974551763917	-0.646407407839132	0.0234046160972599	-0.475222313183319	-0.197676845353217	-0.753795099883679	-0.617692400507646	-0.171353096044109	-0.606168789429194	-0.770504395966826	-0.386202672849991	-0.749427143755799	-0.687638214093598	-0.784518101081224	-0.772716331443317	-0.613094556164023
CD3G	0.832946303975002	0.858713133527617	0.944934994624667	0.838102546161883	-0.385659950262312	0.0473019116081682	-0.495311919658615	0.982932086081353	1	0.897438356587498	-0.243344820154008	-0.467025329654446	0.937434049668608	-0.297037204368541	0.965988714558391	0.913811725951628	0.617070626027389	-0.0967796722856543	-0.734171679493382	0.827976221828978	0.800884822075689	-0.554101572577812	-0.0897159862491565	-0.579922792540038	-0.629112079777841	0.644254368490969	-0.788279717002148	0.654425327715128	0.965603461471162	0.904210390791437	0.731382294277958	-0.573460914854216	0.855803083697918	-0.514257693460076	0.904842980053063	-0.720568757810644	-0.787856225329713	0.0876341043918675	-0.506669432773969	0.632040680558925	0.520819211512287	-0.739629647606067	-0.467262183333281	0.896157303147302	0.958101412901623	0.901553312999028	-0.737798683455772	0.569572020745486	-0.596143417048614	-0.290622925142776	-0.602027086279153	-0.696518512231048	0.824134646326103	-0.320613863648469	-0.827379093547068	0.383315662297466	-0.599818435527818	-0.792595385301052	0.695100111264417	-0.565000259706933	0.988423496837048	-0.760230241908323	0.489389915721765	-0.46853981657669	-0.705618006094342	-0.683250027667995	-0.72768161135544	0.0262432451544391	-0.768849730770011	0.937095269234283	-0.853790427080793	-0.622125070142609	-0.794029803194171	-0.778005465156365	-0.428990426115465	-0.412497846480073	0.663777807490602	0.838811641521466	-0.805593956569677	0.901728086406929	-0.658468525204853	-0.819891837706235	0.573392705486869	0.911345707003938	0.702386802209073	-0.711371752750132	-0.200557021848896	-0.786423188404076	-0.618057109898691	0.921481704551226	-0.802260755937364	0.337363618782908	0.758425308920995	-0.741881037925626	-0.670317166304829	-0.219651623634772	-0.861465622029261	-0.764217936970456	-0.719859913312839	-0.68948761404358	-0.357604945659968	-0.777433154974094	-0.690602282141191	0.551072260067714	-0.520049087631753	-0.540941201740019	0.86679139842053	-0.2132256771652	-0.306292621366515	-0.355185552969106	-0.734120185504776	-0.227465169286833	-0.513968023482746	0.417210467543186	-0.387225847446173	-0.667331147379379	0.0454551592270796	-0.50722234370215	-0.237667240139229	-0.756177482692419	-0.641626255234526	-0.225409548774742	-0.623849138504511	-0.781929521498073	-0.462843572842456	-0.773507509510825	-0.703844821537708	-0.797441745692134	-0.77938591839931	-0.625409795309081
ITGA1	0.801522749171011	0.856182953525759	0.884533931188034	0.800541700972573	-0.296180640519041	0.0747936103302409	-0.440931320308974	0.938937497317026	0.897438356587498	1	-0.239462972626569	-0.2663890161682	0.851922392572274	-0.160192815869612	0.850728518933695	0.91714448896588	0.523287777294611	0.0347982747721714	-0.654953039766062	0.675265758628127	0.845687118595137	-0.461298339912247	0.107809964518659	-0.454108099944055	-0.592551809527636	0.631691320637563	-0.724546881046302	0.782214551540411	0.94934843774565	0.853678754108388	0.530891360541241	-0.441777608990773	0.803782316546519	-0.395878098309543	0.932979664724088	-0.636180855459206	-0.689767535646098	0.0776756284284332	-0.43204085366191	0.740289487760625	0.30999473817893	-0.643077630155968	-0.335094821936364	0.8703912552219	0.936656234435957	0.87806726774928	-0.669687773646169	0.573953280680363	-0.493606220125464	-0.135220589552061	-0.528476636700432	-0.622988554247525	0.829500486076065	-0.287789548373032	-0.720041905576217	0.421234224131297	-0.536272238936595	-0.682689976246078	0.622296919066165	-0.491667532088199	0.88160538486841	-0.700119775545446	0.480419162993039	-0.367221079677846	-0.607741140935933	-0.521454273771137	-0.660599298518769	0.0541873367931572	-0.717404939595485	0.937655049383065	-0.764150096767082	-0.511778747347093	-0.730636782760419	-0.69011872924101	-0.313159426180547	-0.382567328229315	0.45834002889949	0.828285242136859	-0.794054225659332	0.949795975152834	-0.582301066122156	-0.747527392623919	0.440957501656588	0.918724320757385	0.55829410322577	-0.643231742569706	-0.234839862740812	-0.705131507487279	-0.567149629319582	0.791783958533418	-0.680644917679866	0.255805335793412	0.7250741707332	-0.655760200595241	-0.579668924572935	-0.192529741330122	-0.797627339969725	-0.645013858595856	-0.619794309377995	-0.632079065135797	-0.210516293638601	-0.724567900139224	-0.61082585760323	0.563178936590342	-0.433549286697818	-0.456716566735627	0.619370774197114	-0.194820339143247	-0.143298200457586	-0.218985230699126	-0.657519101124923	-0.165835647640535	-0.52989733737971	0.560400756874364	-0.222829862823837	-0.595287963215339	0.108967372829539	-0.450394569715351	-0.138362202767332	-0.694452354134907	-0.555799119436317	-0.18667556696143	-0.575967601372161	-0.6722466830267	-0.317495957801342	-0.650713954895556	-0.627059826819143	-0.686654690546897	-0.717011876353106	-0.567061131522205
