""	PTPRZ1	EGFR	NRCAM	PTPRD	PTPRS	SDC3	GPC1	EPHB1	NOTCH1	NLGN1	NLGN2	NLGN3	NOTCH3	CDH2	NOTCH2	PTPRA	NRXN1	NRXN2	NCL	LINGO1	TSPAN12	PTPRF	LRRTM2	LRP1	APLP1	PDGFRA	BCAM	SLC16A1	RPSA	SDC1	ITGA7	TNFRSF12A	SDC4	NCAM2	PLXNA2	ROBO1	GPC2	FGFR1	ADORA1	CNTN1	ADCY1	LRP6	PLXNB2	APP	LRP4	TNFRSF21	LIFR	DDR1	EPHA4	IGDCC4	TYRO3	DAG1	PLXNA1	ACKR3	VLDLR	CD63	PLXNA3	ROBO2	APLP2	FLRT3	NCSTN	NEO1	LRP10	MCAM	CELSR3	FGFR3	TRAF2	FGFRL1	BMPR2	TNFRSF19	EPHB2	ITGA2	ADAM23	S1PR2	RXRA	CD47	EPHB3	EPHB4	INSR	GRIN2B	CD46	ADCYAP1R1	FZD5	FZD3	ATP1A3	ERBB2	ADAM22	ITGA6	CD44	HMMR	CADM1	ITGB1	F3	TSPAN5	NT5E	DCBLD2	LAMP1	ABCA1	ITGA3	ACTR2	CAV1	PVR	CHRM3	PRTG	NECTIN2	NRP2	SORT1	LRRN3	TNFRSF11B	DSCAM	ANTXR1	SMAP1	ATP5F1B	EDNRB	MCFD2	TMEM67	ITGAV	CHL1	BMPR1A	AMFR	THY1	ASGR1	SMAD3	ACVR1B	LRP8	CNR1	IL17RC	DIP2A	IGF1R	ERBB4	F2R	LRP5	GPR37L1	SIRPA	TSPAN17	CD99L2	STX4	JMJD6	TFRC	PILRB	RACK1	CD81	IGF2R	CLEC2D	SORL1	SCARB1	ITGB8	CANX	PLAUR	TNFRSF1A	TSPAN14	LPP	CD74	C1QBP	GPNMB	RIPK1
PTPRZ1	1	0.896376089972873	0.804220261978563	0.498233174196788	0.92149391350786	0.864406236665935	0.669835647924696	0.634683285923155	0.834238283909291	0.908522704128932	0.89417896220422	0.920590416553713	0.834999779513765	0.846454485872433	0.869089760613483	0.930595626883948	0.915021333462852	0.813557527451985	0.889517386893241	0.685092570505379	0.845675650913671	0.653545609441196	0.91608536431139	0.958168501103068	0.641644564352625	0.771636444238311	0.741053373767293	0.696526698281767	0.715046153622239	0.627732657464022	0.795582965349848	0.507390666333323	0.541085347368527	0.781117586535031	0.864259392427976	0.908879173457709	0.721424252535777	0.733845811773146	0.762552489504341	0.565393774962684	0.729447196391302	0.878561162284965	0.759617012032061	0.836116141812018	0.819327919049626	0.865390714496077	0.780253991573518	0.889513512954283	0.698039077923555	0.865293441666344	0.894532890662604	0.876394347824332	0.869813480137571	0.775094634312929	0.667699797116749	0.656395890310033	0.775910178884371	0.913243314191645	0.79927953151122	0.703276459775736	0.799272715864497	0.908903490695505	0.706469270985851	0.808243020203803	0.832093060831615	0.753058648671323	0.655451317582618	0.683542090281499	0.892541390807427	0.769039311079764	0.767486862770448	0.659837793938475	0.963905412358069	0.714083428765899	0.884399931419902	0.797969440307224	0.731899613442294	0.739745625155163	0.861490658514356	0.715064810489421	0.948283193091775	0.730046264760535	0.827705939992609	0.966217756952307	0.649313706242065	0.704575227973841	0.838309317509487	0.69283307401778	0.448063616905973	0.517492381155105	0.697780554266491	0.694088581134458	0.633904857594899	0.797801913724686	0.854231535019422	0.70098939051769	0.769930962005811	0.725749117036625	0.475534299879706	0.878473922738138	0.378194359529163	0.820341580616632	0.642566157134767	0.891287799111993	0.711924714293643	0.466088738604677	0.909031040590322	0.642170407481526	0.757994869691104	0.736823170517087	0.850577672690318	0.855652050474467	0.710314420606469	0.860059035802344	0.790641360288595	0.909823034205577	0.801087190927298	0.729529300947434	0.874520720363205	0.761215586313864	0.720168925334485	0.816094950378549	0.646912642835346	0.854256084312348	0.86150709489572	0.774744443817948	0.703467004578838	0.895939369020298	0.912047145402239	0.848738737194177	0.837285324199306	0.881843400212192	0.875781212723158	0.709825353407212	0.786241375734703	0.805509188896093	0.789891868352284	0.683074245945791	0.824180454985212	0.870388586450081	0.651428442879698	0.767780435839898	0.828234731416361	0.867688384978098	0.531534019423187	0.711447627954435	0.920367003962228	0.86898023841424	0.309301145010361	0.719862190522108	0.781320604540323	0.850122114595401	0.073085327699879	0.713281617767386	0.135949211853619	0.882695856092898
EGFR	0.896376089972873	1	0.63658954663463	0.452959324268459	0.894664103027595	0.768854938404951	0.560711525622188	0.615366713423009	0.924769449280818	0.804018454623229	0.857961649781987	0.916040907123299	0.843083688096947	0.758161439407343	0.814489426077391	0.882261173697025	0.764298059521534	0.770367287309927	0.932235750578488	0.780039326978548	0.929891098616698	0.494613324142377	0.798014054131687	0.892182363174566	0.551683408039403	0.852945563185999	0.725520712062008	0.703758232734344	0.829175458280864	0.738703918313193	0.695402440537668	0.473617168198182	0.43291840096016	0.827501372275196	0.877051131922487	0.784631375031449	0.813031730955882	0.587092393561286	0.670203786994864	0.561687593807507	0.804023255703554	0.849194651335665	0.681060907187693	0.690881703956747	0.790957140470033	0.755177761750567	0.586747132039839	0.780895634925238	0.591887341174677	0.699581796617326	0.915858872179511	0.789144811591615	0.753907177353455	0.890602326519546	0.500328784176832	0.674339676848655	0.665905378709193	0.832711100744684	0.721199280342947	0.825142617167083	0.752544835144392	0.820176685149015	0.575766145608964	0.814515302776569	0.826788072799091	0.580960121574599	0.816206212249688	0.67664673696325	0.794491101068677	0.742160844845643	0.842203253318077	0.487744498066112	0.871091128150799	0.830887548802463	0.863742252344201	0.809605897442309	0.841807292434797	0.846570808810832	0.863532288388118	0.712096021524116	0.852735165822639	0.625899179185232	0.773787861008578	0.895894389795821	0.73330069796414	0.555086449331921	0.876695477422906	0.497457039989531	0.267206331192301	0.703963398539673	0.557099309480931	0.600900869582869	0.473148707851366	0.789460025414103	0.883537915282554	0.580295382229478	0.706488940277688	0.539346572405967	0.298538945013207	0.849645435830303	0.258252950734255	0.826126522280902	0.609220070614363	0.856245787848084	0.666934268365372	0.311430208679946	0.840769631956857	0.493414823092432	0.847683794060897	0.821175387696842	0.826191048451803	0.900667517213023	0.830919795129388	0.736223297958172	0.726750228470364	0.84893858028139	0.684798300642358	0.58720666852966	0.821501980442625	0.714901476719937	0.806722881793697	0.787144899811449	0.539458720205073	0.831082159373361	0.861765752403387	0.566320136736321	0.603922516288387	0.900364569635812	0.815117482489295	0.663737733889024	0.812648373653764	0.89291512932725	0.772490383077008	0.558745256064184	0.801665955351712	0.707653901434416	0.767971319080549	0.740357581594869	0.76692371147942	0.863795578059744	0.758632294603095	0.757984427420286	0.724569090053287	0.845745735396588	0.373950255722323	0.696258932432809	0.756178215458763	0.778426076127583	0.323539324628731	0.636616071436318	0.847287613391158	0.713945820035085	0.0525070068914355	0.818079244312111	0.119768618502098	0.822851914178431
NRCAM	0.804220261978563	0.63658954663463	1	0.340182915549128	0.77244515250599	0.762937586217629	0.878478457975157	0.485901331792669	0.556291782448649	0.946627834129146	0.749231273093423	0.749080815270173	0.70773738703303	0.926389234798751	0.872989898112876	0.837420012433275	0.839954232388902	0.566453815636479	0.727110287420508	0.368228848656354	0.552963695920697	0.836908832245511	0.912496671777596	0.81812731010357	0.890373766974007	0.399376735031358	0.735160717276066	0.559615189659937	0.656513398435369	0.577234065967299	0.843455066122425	0.721830493916285	0.849057282101424	0.421957880035647	0.631729783194206	0.764870597205441	0.444052195810183	0.948533703250408	0.793317967826217	0.355133197372492	0.435841599563951	0.639639651812264	0.884688405077616	0.973606617235826	0.553137547611631	0.883032250503769	0.911439294717315	0.918984785118489	0.902725740472407	0.821786417038841	0.73947803624724	0.887671134503893	0.860618331489851	0.46205782608666	0.824377711376959	0.717403927125565	0.854884768214649	0.718986662564207	0.900068792221671	0.37009305665003	0.873588241353391	0.896984796325639	0.915874377026162	0.77166760091742	0.694658589359426	0.870885846533052	0.495777660001815	0.667499081252807	0.924024540828985	0.682494490399278	0.553716692774322	0.892778415673622	0.772146866401333	0.453882988332143	0.805810516492629	0.811714117309887	0.386295694508067	0.533646107713558	0.692598926855435	0.369715187032489	0.790489563749148	0.684192806147183	0.667223368192567	0.819914364189624	0.443537493123233	0.862434299450952	0.559076368404286	0.775349383732853	0.840273215580831	0.349309710240507	0.905843724208096	0.892221244952036	0.881672221369887	0.810788121762941	0.619401571016652	0.916020144232048	0.889617414996633	0.944233251076263	0.852187930174343	0.852144825039666	0.718927000496646	0.819925643069827	0.404488362042852	0.665549086568253	0.829352286949956	0.8629211116971	0.858270346965553	0.918756479808461	0.479366386442541	0.422212074862133	0.647423770791753	0.749417406807225	0.63037973702571	0.833939956841622	0.919724027318786	0.781054454709616	0.944505087177492	0.662182647614078	0.872174193891585	0.832624494650935	0.57710009394555	0.687676481525376	0.875564590906877	0.793853576942076	0.741570083727057	0.837285206795067	0.851744754520043	0.736318643858843	0.843966223079865	0.712333254934337	0.880916328238184	0.706596192833115	0.865193231366755	0.871937755600423	0.81506809855207	0.914987898710098	0.806998522444213	0.608272783175099	0.711432044176031	0.79507627585562	0.611657536135417	0.810996214524711	0.891471027561713	0.621826817884783	0.818932966231842	0.737966972121741	0.914345174865084	0.8934794352992	0.2616603537012	0.8773547735201	0.624245514884672	0.9446483595722	0.1567168131247	0.65401835463306	0.22790981114774	0.86363071317575
PTPRD	0.498233174196788	0.452959324268459	0.340182915549128	1	0.484725721443986	0.296367876177656	0.188765019964082	0.483107821463354	0.556044346239217	0.385888171148944	0.530863823136154	0.365802697952105	0.428356489817223	0.342330410126516	0.345637794621796	0.387780283764566	0.44026128956494	0.606863187523939	0.483323681022877	0.646363971936134	0.390989429031593	0.463689314077846	0.358195367406925	0.472440428002079	0.231218608261877	0.576457479260268	0.277468636347793	0.731974029843899	0.33153080682813	0.298148809996296	0.309928459655549	0.247805729416171	0.305139450011885	0.597260541804046	0.59737769736599	0.625133593413377	0.544022495494333	0.411499971808856	0.18730195794704	0.510109073674548	0.522916357966526	0.630048607965043	0.339071492859015	0.331914740335497	0.533789763635695	0.349253284490824	0.264890863389616	0.323506450296867	0.139173394892578	0.352894666122833	0.414636425702077	0.361341020447894	0.49945903901495	0.392531317850665	0.441783269548385	0.215151587392381	0.478035004596078	0.32870681760844	0.361280917307072	0.438442443985096	0.353028003008345	0.35567688474377	0.159609690348719	0.304107817552906	0.546569372890129	0.106067392640567	0.436967965349605	0.298943247121563	0.431582607005351	0.367924644143394	0.617177835456459	0.0881785588935039	0.469408610566123	0.522703748162432	0.545766884606961	0.375382087712507	0.446225920039058	0.400977860527223	0.513899652760701	0.455715914681384	0.56494933795886	0.190351875684267	0.414611367384865	0.485637221217248	0.51460569998505	0.145597659777109	0.54110431242814	0.0915965563575717	-0.0323593796443633	0.407751526644708	0.166886694356423	0.364762217306505	0.0785699811528458	0.43805757542543	0.414257760610564	0.431404754185316	0.251123824926563	0.287024599946963	0.105513355341658	0.438531615142208	0.40753739193119	0.448719015572472	0.76550119280307	0.531664952544899	0.24864585171207	0.0129585246913438	0.387444929915796	0.100792064690102	0.265989666879654	0.56833921375641	0.539368761675806	0.473040676809002	0.323336957418499	0.209586064152454	0.275914629416563	0.433222684657088	0.251469361608484	0.355122216687197	0.368788583144886	0.396530007550241	0.469871937972746	0.527481303759016	0.175452475189287	0.569752368761951	0.528023771971978	0.306802008547735	0.117093460483003	0.574575804625171	0.623807084800692	0.431308303955814	0.293521601878267	0.413242844133323	0.243570564276133	0.15927852109695	0.328251297491415	0.265249067085013	0.335285109546057	0.559307000666583	0.426756575788289	0.471067380716996	0.381907257930917	0.267024808940949	0.38544936776595	0.531481618338974	0.0876442200188697	0.433385920178131	0.375449497422051	0.472943776511034	0.181145697881548	0.235652388836824	0.415794396191703	0.376948926084082	-0.00243451637759181	0.288851297925352	0.000591939999789401	0.356310701370174
PTPRS	0.92149391350786	0.894664103027595	0.77244515250599	0.484725721443986	1	0.845821036069519	0.714479851930627	0.55421267494125	0.863940891254755	0.875057589006021	0.868643548836629	0.913139672492092	0.871111311597628	0.858728473629428	0.891330870440047	0.924720080272091	0.82865818157338	0.738155873447728	0.925895005422154	0.703342176577133	0.859002434547893	0.668291230006056	0.880027409376389	0.927109824758926	0.696155253355072	0.753662298971273	0.812937060948916	0.740460949492702	0.82187681304139	0.705449012044062	0.808645470524064	0.622974751177382	0.591785784710206	0.738164316915173	0.848224913050493	0.878438621495417	0.741380939698099	0.723844552384178	0.781152095440275	0.482404431493877	0.715405673868195	0.833253997456708	0.796881246014159	0.812092636616405	0.73923884027537	0.810266785558397	0.735561029204356	0.862982681346414	0.718945208502285	0.801941888757479	0.906410003302971	0.8736264760158	0.865211042882224	0.812163416665233	0.671312755717059	0.766597301987177	0.78477782018668	0.850000936177603	0.836161136075036	0.742690094723994	0.840956017692228	0.880342066094136	0.718280204838532	0.844381336812218	0.795849551213018	0.694184722091641	0.762641614429849	0.755293844032649	0.890521417118355	0.80727691177042	0.820320837680268	0.614141207807171	0.878702190570857	0.748163725653667	0.875635153496084	0.872558280927709	0.731888182301945	0.811305367676563	0.815671313099476	0.689682472259021	0.90054532809619	0.686960730556878	0.828591883245601	0.928144441562142	0.641871036136698	0.69736965919634	0.800171892703102	0.644811526489805	0.451141894975863	0.646622175031289	0.7141077481122	0.728017656799035	0.635070568014272	0.852841640621067	0.843634682116542	0.71863998258808	0.815822394728963	0.708223017409273	0.495736856797778	0.91828169183433	0.418995748337871	0.868109657021824	0.642274089587226	0.857308042820281	0.789528076364805	0.478477421576865	0.910293397151744	0.637696559016727	0.796403618924346	0.718280220714854	0.790284736969089	0.915989031218358	0.843878942298566	0.829465406773059	0.830013726543355	0.902330164385801	0.785425361760039	0.713884633664623	0.872025522909816	0.805303026887536	0.750294721850833	0.812049267959891	0.656870732758589	0.876399626010941	0.850862365777875	0.721601171507379	0.726262065225013	0.89151265925521	0.874079551493358	0.740073549609851	0.866193878847594	0.883908048769181	0.844814233609549	0.690985434173242	0.868826280050671	0.817611992525901	0.85127769904948	0.793918335110932	0.829096518985562	0.889270395387694	0.784352387162106	0.832786643396853	0.811042694465731	0.820824634787871	0.532312136041636	0.76764396085644	0.856097080976445	0.879343122049487	0.316671464389571	0.766402612516485	0.828983947044574	0.826561109513837	0.0720373325340785	0.828581017425113	0.150985350054559	0.880224583659251
SDC3	0.864406236665935	0.768854938404951	0.762937586217629	0.296367876177656	0.845821036069519	1	0.831417218466804	0.337583947333527	0.701036154297336	0.832238377345784	0.768501334719473	0.902729546375012	0.893787396505235	0.890689539760377	0.904368420465628	0.932431798013755	0.767372246085131	0.54369749292184	0.796204545435773	0.510637396380179	0.754796432153956	0.778994882922505	0.850042768373955	0.918357739784027	0.745505527949905	0.54290957531269	0.893862352242683	0.687510504046813	0.737887308294373	0.642095611418494	0.925174945788283	0.703652136677051	0.6641660313858	0.487508349230742	0.722694261066574	0.860952862489388	0.488219489970355	0.740613593556918	0.936493230574394	0.193684418383481	0.582913120086337	0.622391523731167	0.851097738375765	0.834072622409075	0.615088373735316	0.804476283693936	0.863725761671683	0.909425830464373	0.784485391663264	0.859590462578635	0.880846198216058	0.933078179012804	0.869881611225953	0.712408562470967	0.791463863902684	0.825687588342547	0.845946913100066	0.911905323758869	0.870679301407603	0.613888605399696	0.879491214923192	0.88243342315311	0.825685105870642	0.817471493681734	0.668798406298332	0.872142786428884	0.637684100652374	0.864525768791781	0.892458304766068	0.90089195643151	0.711553967204766	0.734250962961453	0.812802416979577	0.597624468467419	0.829019340004469	0.855134472866147	0.592172342228006	0.799634706717609	0.726427786393569	0.68565705343989	0.823050647855381	0.846712250237748	0.901787849246768	0.899615848312468	0.385576943569097	0.853412015124395	0.61022581712177	0.860725103506669	0.590966681867553	0.426946756680416	0.822943452267018	0.769590757729325	0.78553200557769	0.85764299512053	0.799119424867399	0.743972799238166	0.869688287366659	0.803128970430411	0.618892707070263	0.886103421009941	0.457759179145052	0.841083465497992	0.555432655794531	0.754296999927077	0.840196069673083	0.580923974304842	0.931379898125996	0.705308649049755	0.723556342020217	0.484702410877899	0.613589639167747	0.822831982433635	0.746285141142071	0.931431559754255	0.854314738721404	0.886983484019961	0.811009746627158	0.894598590092091	0.877167946061772	0.858314518505832	0.540125852311048	0.725233538234842	0.736772176029892	0.775859767833516	0.722223900104286	0.879657218562409	0.844355361602857	0.758030957973825	0.801214780354815	0.698588299801881	0.869757063145543	0.853732752535919	0.93777967174721	0.830097820925652	0.822571793071717	0.858988218294852	0.853777823097277	0.704244759951533	0.885059941351418	0.790567386943808	0.720100423026791	0.846374923410421	0.835975929494153	0.650259131045982	0.678711046074044	0.737305302615785	0.907702166816114	0.909710272017956	0.329427979883589	0.85923412732115	0.788918780351223	0.872699273180441	0.0928434348982642	0.756361208618399	0.185917592890671	0.875955221329469
GPC1	0.669835647924696	0.560711525622188	0.878478457975157	0.188765019964082	0.714479851930627	0.831417218466804	1	0.180264337643092	0.457784094158005	0.829729580337167	0.600853648298593	0.738148888645486	0.781084304542982	0.934351871037172	0.887554752583108	0.840020650494193	0.648686730395754	0.3105626837628	0.677147007151405	0.241211043391554	0.535818508857186	0.907925718352798	0.804208538330664	0.766094299986984	0.949883737707157	0.242171411689031	0.893641055814565	0.598875116490835	0.730615374423856	0.633845383314495	0.936080410429365	0.91688796754644	0.912801033654975	0.208719135496577	0.50120809406698	0.698549291380945	0.247310644474135	0.897129901283626	0.898649221540106	0.0226738409082749	0.360944372953567	0.398473774163937	0.940846536196561	0.912602480012037	0.363482122673754	0.755727555710503	0.915250197484344	0.895186442279814	0.932676446046464	0.741122068843424	0.739313897284972	0.909529866560481	0.823876826727656	0.454167009586192	0.861435885722422	0.902118485410354	0.866730111895769	0.70295254533721	0.948928992675341	0.346981212138597	0.92538237787768	0.853650657059847	0.965488450396482	0.745013736755632	0.539485891152775	0.895818765954726	0.541158591569385	0.827184477578904	0.868905997831555	0.807940865392384	0.526154433183263	0.874423604260483	0.595987674893681	0.384760249298258	0.725910929590068	0.887552599295819	0.286788281289457	0.630856306477349	0.548093973889543	0.351996268084823	0.671887655971249	0.759050615681108	0.754558001296006	0.742444436412532	0.210480895794306	0.954998211029787	0.394391137747453	0.84719190623884	0.883447935923487	0.348341200002229	0.970483120894423	0.924470410049323	0.95822386463254	0.883660937167038	0.602173747436878	0.901080743299956	0.960531960386582	0.933023183694594	0.912966342233425	0.847534727250864	0.742094816013821	0.824738357226257	0.346761479079738	0.529352911000453	0.944916127782174	0.875320848917085	0.859046899160207	0.913354283237284	0.505875708289543	0.238990008862518	0.407411803185282	0.75603408749091	0.722153184887547	0.866157049715038	0.946708593249935	0.758506265170328	0.903490467820136	0.770571201599775	0.848992609928949	0.900314136469569	0.442387738643536	0.603547660163757	0.919728544383521	0.703364879107814	0.593766079693479	0.864430738894204	0.940477962680684	0.612116612196527	0.699050296845737	0.535747647349236	0.899733262378502	0.679709102906052	0.889921561821679	0.924820908638339	0.835162768386132	0.912786091820077	0.87327729099132	0.66862447674104	0.781756346226458	0.708070861938921	0.731183744203201	0.894325820785467	0.829913537733019	0.437838932608984	0.877531514106684	0.750274490762799	0.843770412388302	0.905318179474749	0.290544581849517	0.981209689523966	0.643911789042395	0.904676597438734	0.149963842492236	0.740451367830433	0.253938431070646	0.84964103738206
EPHB1	0.634683285923155	0.615366713423009	0.485901331792669	0.483107821463354	0.55421267494125	0.337583947333527	0.180264337643092	1	0.689501752639785	0.582711227890678	0.777865851857191	0.514684063056956	0.37218840373745	0.375262974641793	0.378190375641388	0.45581532251502	0.634868160185314	0.826840304029346	0.558583311111332	0.748904080277948	0.551466530762685	0.207461876494858	0.516272066813351	0.598731144038757	0.291080198090101	0.737559561691937	0.267638063913561	0.366978395675644	0.463101280364846	0.361011606972949	0.246304472811873	0.0886919746307983	0.132423635718114	0.775023822075101	0.706333700117139	0.494487346904874	0.811338077653464	0.362279008352843	0.23501222366751	0.866074781869	0.513748932117253	0.826988505605925	0.304849731157598	0.420290843764285	0.720674385260106	0.652061876580965	0.249800611656546	0.484559517643678	0.239023946209125	0.491123363303991	0.546790562988101	0.402935673486709	0.487778113843021	0.537948350074893	0.236227856973339	0.185626648457228	0.377849175234772	0.391371337339682	0.317732733394766	0.55451769346227	0.381894351926541	0.487384029621036	0.243269981357541	0.472100307736585	0.740168347893632	0.260016223422661	0.42107527113272	0.259721085511573	0.508300401328403	0.22005514852238	0.54419458534838	0.22448331139314	0.678442411867514	0.677273369850209	0.626987442704297	0.344332438778521	0.698880564960011	0.350524883260282	0.71228226601342	0.427793476709139	0.60177683579805	0.250858995490699	0.274790197724896	0.571125625583618	0.871086456172237	0.190026330439125	0.691588473843926	0.101445474758107	0.0574910764220587	0.303320016779386	0.189802277530006	0.282213277371247	0.10870116903811	0.329277620558334	0.579776762250383	0.319752279294771	0.309923176612092	0.282193033403381	0.0741791838640828	0.466593037902994	0.179195601929934	0.522030972671591	0.477995554331667	0.640958758156223	0.289305716996658	0.101535882167416	0.429602201867817	0.234687498443711	0.4403437762201	0.822657785649302	0.871315120495694	0.518781551489495	0.424943870006853	0.310480470908853	0.363852940798016	0.45025800726706	0.411498466797354	0.188703138126655	0.469064410554502	0.348191044031242	0.777185663241953	0.673707029771079	0.236534463086782	0.563430140592657	0.717434632796534	0.238452776247919	0.240209982197229	0.661008047872373	0.623782386398652	0.55267476135809	0.441653612756075	0.570009846221706	0.428597315189042	0.213978163716936	0.458590714771083	0.3772753302589	0.364203052366611	0.398895969641485	0.360732727086554	0.561456339951534	0.372098724612576	0.381521315212148	0.472432607121839	0.678368273612333	0.091177450163351	0.473268191461526	0.44076287971047	0.401986158781194	0.190967696719372	0.239726937794058	0.506431398716288	0.397218301738077	0.0457232727803936	0.427913380286688	0.0511654275874132	0.421116316950001
NOTCH1	0.834238283909291	0.924769449280818	0.556291782448649	0.556044346239217	0.863940891254755	0.701036154297336	0.457784094158005	0.689501752639785	1	0.723193658849652	0.886165068821892	0.852663098724414	0.816127362379093	0.664834843257876	0.716679336513066	0.793391593040019	0.715280209308409	0.813086816704841	0.909067752648501	0.894700266498794	0.898788378240996	0.451954842584163	0.711270942314756	0.849671264060449	0.474793192273808	0.910700692419064	0.657496031315733	0.738533516381882	0.813228320567701	0.748318084975236	0.601342395646115	0.417187689799043	0.36166144489727	0.873737907588654	0.911619137801937	0.756182149703624	0.885870584399367	0.502556758840909	0.598087556513351	0.657269003601888	0.846209987594745	0.887701589581885	0.6129056288582	0.587027532568241	0.76769684629309	0.7000803686486	0.468208810158899	0.690690403891428	0.461830336665949	0.61733842553444	0.881308123668898	0.71801998277037	0.723518807761698	0.889791844868664	0.476099728564364	0.603575308169609	0.615219485301061	0.712882729498554	0.640654022260128	0.863046000111754	0.686708381301374	0.729170291103211	0.450378446916951	0.767841753748461	0.842505381161637	0.440781728284603	0.850453774115825	0.661499002666937	0.738305369755312	0.666076257255273	0.923584757668494	0.346870438026563	0.820839479985502	0.905114306397953	0.853859147430748	0.746258769531859	0.904010168815724	0.828488346961082	0.865717460022945	0.720954168419036	0.813658542099816	0.514538009398453	0.717180176527621	0.82387981667572	0.827876699023578	0.419404102425406	0.877340964860581	0.374363067690143	0.131574690417368	0.712766718624829	0.432247209461932	0.523345391421979	0.330013243826456	0.722424607877352	0.855785247167827	0.522441399104983	0.616645257313946	0.440965974814161	0.185476168767236	0.806566153468507	0.221490995180039	0.812432396540696	0.691073895775649	0.856280961803969	0.585944157578042	0.183958390998756	0.776880085269552	0.354137946410385	0.800897376445396	0.8857264371489	0.861201591008421	0.870743569987795	0.818895199881585	0.611139847217028	0.631709574481104	0.793112289490124	0.577224892525776	0.539084762838342	0.758760210448326	0.652602861659144	0.872305133895156	0.783829694582628	0.430984446242044	0.802880915923613	0.872447830190717	0.456577548571574	0.4918309308596	0.9103693099477	0.796068334209276	0.613715931665467	0.711894553196314	0.889319966807615	0.674705661444406	0.445850279560954	0.762178977048455	0.621171259678297	0.683848135669211	0.768333967349577	0.705849322233094	0.821251140168809	0.761159430354471	0.684940820049525	0.676152578346492	0.84294499722331	0.262117444062192	0.720087705265054	0.651070587591018	0.71841402121946	0.31055797853672	0.53349947158587	0.850747988317476	0.623242868368843	0.0385797498582698	0.803327033527352	0.0981756212196229	0.727367295799794
NLGN1	0.908522704128932	0.804018454623229	0.946627834129146	0.385888171148944	0.875057589006021	0.832238377345784	0.829729580337167	0.582711227890678	0.723193658849652	1	0.851966929900176	0.872208916071885	0.803952362738934	0.939967720364129	0.924919954895183	0.924105937643838	0.902004815824958	0.698393527396791	0.846928926954865	0.529261537433193	0.727088508945284	0.768813850560927	0.95419051264197	0.912860713882345	0.846012868174389	0.580230908685168	0.782259157648105	0.623112611899953	0.753387964664075	0.675418734389119	0.862493076179373	0.674110599870549	0.752826737346617	0.604013528868865	0.778986746391895	0.842769669128451	0.605620466053805	0.895795345683233	0.808448205387899	0.454528279458847	0.605042328626034	0.760018090591971	0.879602704564671	0.957328614871318	0.690132805189607	0.920484921992314	0.877158605647411	0.953823908021572	0.867386306066531	0.857092307681739	0.858981003217699	0.92728131829995	0.888971678821737	0.639533657554307	0.765877423520443	0.746232471741818	0.843542130394898	0.827561169727705	0.9004757291417	0.545657234203817	0.898168340741634	0.95208095407713	0.87349751978316	0.836958281490862	0.805556443475292	0.846297232938767	0.637251613252931	0.707904806885457	0.95169091261148	0.750086286093688	0.697048214382055	0.832283177463582	0.873711999386882	0.606525906276854	0.893427058094376	0.864458226182412	0.580760307838805	0.678763100819452	0.811500263703319	0.526910004859319	0.874924880342733	0.731634429909414	0.75947036166499	0.918083658463173	0.587688415734537	0.829374943185579	0.720165849444442	0.755586137581581	0.709191332615147	0.495402350409514	0.862858224269821	0.850757449319394	0.814949768367762	0.862428573906773	0.753780064531586	0.856543505454407	0.89516610843652	0.87689725937553	0.723194611345029	0.914180047650041	0.584632972471876	0.875635235386528	0.488493196783241	0.777941747962032	0.830109491087763	0.735282476712682	0.926122474021357	0.854481226500866	0.635162505548128	0.594729539670719	0.765235267237212	0.855282280621735	0.738619934818841	0.883794254569579	0.914346048482882	0.858788528717825	0.933562554969692	0.69244564260945	0.919482532941646	0.84864841970819	0.689125356263637	0.792443219746086	0.828797335377269	0.859031820504311	0.838606397258615	0.814153139313044	0.835087577894683	0.849348399771372	0.901677911246367	0.779611545052537	0.923283013046701	0.822667545631354	0.914811552955684	0.838897159985514	0.865021972744542	0.915386558409065	0.84831271720946	0.672567470979866	0.770268283760888	0.89119511330792	0.688843562347909	0.855420158761288	0.895755520462551	0.752578250858634	0.733874938045408	0.783545431840218	0.937328678926375	0.913926847044976	0.305371854602733	0.859810654570176	0.753929831281914	0.941874195289945	0.136963126994342	0.751303652880302	0.212970449517352	0.917688053314378
