""	C3AR1	ITGAX	TREM2	CD4	ABCA1	SORL1	VSIR	CD93	CD33	CCR1	MERTK	ITGB2	CXCR4	SORT1	TNFRSF1B	PTPRC	LRP1	HAVCR2	AXL	TNFRSF1A	PTGER4	TLR4	PILRA	PLXDC2	ITGAM	C5AR1	LAIR1	HLA.DPB1	ITGAV	STAB1	ADRB2	SIGIRR	SDC2	SDC3	ITGB1	LILRB1	NRP2	TLR1	CD81	CD63	CD9	ALOX5	FPR1	P2RY12	NRP1	ITGB5	GPNMB	TSPAN14	TLR6	TLR7	TFRC	SLC1A5	MRC2	RIPK1	IL18BP	TLR2	SIRPA	ENG	ADORA3	LPP	TMIGD3	CD74	ST14	SCARB1	INSR	CD46	PLAUR	ADCY7	FPR3	UNC5B	RHBDF2	CSF3R	CD47	HLA.DPA1	IL6R	CSF2RA	GPR84	C1QBP	CD163	TRPM2	SEMA4C	APLP2	ADGRE2	CD82	TNFRSF12A	NOTCH4	SCARF1	ITGA9	TNFRSF21	RACK1	CD69	TNFRSF14	CANX	PLXDC1	RXRA	PTPRJ	IGF2R	TRADD	NOTCH1	LAMP1	PECAM1	PLXNB2	STX3	CD40	TNFRSF13C	FGFR1	TREM1	KCNQ1	ITGAL	TNFRSF10D	JMJD6	STX4	NCSTN	RAMP1	SPN	LRP10	MCFD2	ATP5F1B	KCNQ3	ADGRE5	SIGLEC10	SMAP1	RPSA	SLC16A1	CCRL2	PTPRA	ERAP1	CADM1	THY1	BMPR2	NCL	PTPRZ1
C3AR1	1	0.867395243323335	0.864590034632268	0.860486211413687	0.909806354318063	0.863711105353664	0.901676629079613	0.833559627205949	0.792117825120181	0.84725634883431	0.922963957106663	0.834879181641229	0.926493259815261	0.880508626990379	0.960330870131595	0.887028109441904	0.727164941829203	0.927803981967049	0.895870992669507	0.817645475919657	0.900581594366333	0.795177729937335	0.898669126736082	0.946313340300256	0.851797647908748	0.913464853405461	0.824378764149769	0.535252834704257	0.742397724250007	0.812869012970577	0.842799091678122	0.790172301479353	0.916181202648346	0.620961686186508	0.767289220024353	0.867619672946874	0.892322492594598	0.806416664133399	0.826053612192858	0.785582999507646	0.709448973410404	0.872353246386796	0.95591251052012	0.899579093507392	0.412404885588907	0.841429213938495	0.435346196541954	0.933088600164865	0.820028576621854	0.870210677424248	0.811528586708251	0.95745684958239	0.794253049022385	0.887964144211854	0.772046194621965	0.898730128090075	0.851480515750135	0.888642124825023	0.852311236166962	0.726564824743408	0.890547272810775	0.701106863774726	0.753320683683851	0.69365578611369	0.591535428759247	0.634935940336698	0.866577692045909	0.762740574684305	0.789748382275019	0.850519697355565	0.94053626329053	0.917940754475758	0.618764502202691	0.558430819717607	0.946722877210426	0.942024042730658	0.847146738834783	0.64111447118876	0.51221781881328	0.815506092228409	0.492075412781967	0.840186551562011	0.837287345550355	0.640953289065091	0.84572954522881	0.681222297739544	0.874514883506747	0.52969661081527	0.525157960615464	0.763453017814974	0.812437150899623	0.826368114251842	0.738865628266166	0.639738391511523	0.834752444807114	0.898040419341546	0.554195052986566	0.676957668753429	0.279075956485775	0.835184977810389	0.741270004976616	0.756270414192338	0.778075802084419	0.848321365898345	0.732434713210417	0.751098199148062	0.786974460809626	0.819708577826434	0.697321063756379	0.679059478265435	0.899635916243928	0.861048068785251	0.718560271839129	0.541231194204122	0.5632576414052	0.835039857791995	0.729586417734498	0.741336270656254	0.667024691981436	0.806892865842724	0.923361740800122	0.592471910824228	0.631097226314304	0.592859518202487	0.91106253749398	0.470986144195526	0.638859644203396	0.0857885525225096	-0.0717399575065171	0.58905766675848	0.703517086349313	-0.0352069494026203
ITGAX	0.867395243323335	1	0.835878546076776	0.829525984393969	0.954942456321292	0.817185106220289	0.758097236337237	0.715030612334714	0.717186565680396	0.698581225668137	0.877411007947574	0.820154216011405	0.876707841704093	0.858107174198193	0.846641179411732	0.887732020159364	0.755537771484649	0.916805220248591	0.846812730740967	0.736589888446553	0.945685286566991	0.852784775157109	0.849853094692642	0.910612857498971	0.786082501035561	0.865928170859279	0.808968008788051	0.567271926092021	0.774567867237428	0.651448112617967	0.82994186948208	0.61749846015798	0.858325205514103	0.670790437604668	0.849873978084831	0.805263879033745	0.889128588839839	0.864752685372037	0.818913230946751	0.808141420046651	0.798214061695862	0.818202130544188	0.829488609416691	0.794609337676789	0.4073048451637	0.772741385562321	0.584640659296105	0.915042101592116	0.789162233111098	0.728860106345543	0.950657875128114	0.857573421824935	0.81876448726855	0.915324173081409	0.710742088047058	0.871207846489681	0.861026680537118	0.878276829372132	0.733424347720986	0.851694132815493	0.72134475964772	0.718169420868594	0.696042852329817	0.751382503949096	0.720850308196567	0.789794896974047	0.880414264361965	0.608096891334064	0.820357775905577	0.777332242676986	0.823740995633617	0.897396225604427	0.722944135563537	0.576989474159724	0.9257224268905	0.821553546495418	0.736906791767889	0.660378019865674	0.633421484196258	0.78862680974866	0.635468841055227	0.90481631432981	0.904424291223251	0.628902250446397	0.810445049977415	0.734650557711572	0.751410242694258	0.486648197524254	0.602437258803741	0.747273054244276	0.8512203721436	0.879910120849286	0.79023475735243	0.452904779582643	0.814342187568511	0.846949670941052	0.775363030235924	0.747266204895676	0.396156996952713	0.823611348162644	0.703616651367025	0.867241068527278	0.782138257385839	0.722082234693387	0.648113765941225	0.870138254773942	0.744918100437724	0.624959139030744	0.602942786093008	0.749065807396788	0.846510273782377	0.921868696336035	0.770627047027506	0.651618902388686	0.75550182088307	0.744904736148494	0.715144279464306	0.743438903304263	0.713859658463621	0.775306102198692	0.862849570477045	0.695024895021715	0.649970738095633	0.625977539942456	0.901488796399957	0.516777889898959	0.806769075843091	0.267278002073595	0.0637351106643836	0.641827481951646	0.803410247402595	0.111920013896687
TREM2	0.864590034632268	0.835878546076776	1	0.915608048365151	0.847821901746129	0.84399760445349	0.847971280387803	0.816518005348909	0.92071701304328	0.691700156213194	0.775786359751287	0.95912244368215	0.767065056948478	0.732186975794653	0.781454794031286	0.923239003541906	0.822503461704483	0.930526558901597	0.926538408755753	0.88562764887991	0.839803999070296	0.805728076227635	0.956547164355416	0.936503218830799	0.787221433734638	0.722835359849896	0.914224666084885	0.733246296678017	0.77743878222869	0.754845215166561	0.762736828899161	0.832310575504384	0.837634737286339	0.706514719894846	0.931728305444044	0.9281198401733	0.746832717085709	0.863964938620475	0.958353430983963	0.938602509438099	0.899121576969391	0.80953598446632	0.801708682052132	0.815858235862704	0.628082525926395	0.91967263792782	0.673053067913295	0.90597947108129	0.791240464888721	0.780309733353214	0.743297370730027	0.827289610999037	0.929254944914708	0.857258495223567	0.887592083704357	0.824043107941223	0.941623408335505	0.862357261443936	0.855446498095441	0.854590406638398	0.856058481514804	0.846833307132796	0.73287679722148	0.808878617737244	0.625910900678149	0.754249304895789	0.711367549217957	0.80363406267115	0.899585553459065	0.824575372215664	0.793251515124181	0.799614425291694	0.707029012730329	0.764451906690355	0.828056119197588	0.805946590717541	0.678846273770649	0.786031370937766	0.675301093512954	0.618815511505159	0.410690891819455	0.857391146637582	0.869613954574598	0.849193703915879	0.682086725676977	0.818005793090587	0.710147511942358	0.627270423107652	0.560304279714626	0.904365809850561	0.658043901728354	0.89250757325326	0.847453276336789	0.734268778354267	0.868045664756332	0.856002151260328	0.6621837625289	0.860758093534951	0.27882468059772	0.936458949300331	0.854791169498066	0.852860247575534	0.736226512890321	0.780068344459152	0.73749987981736	0.758898629909894	0.518806686978699	0.732346600196063	0.763476530843001	0.502837521482094	0.728482462431588	0.778753766774678	0.865199100670919	0.626759626503697	0.768561375473741	0.927327065297306	0.853490078983398	0.83792375572848	0.797393283841004	0.786395191886634	0.931248168299293	0.722448827093283	0.78899014605275	0.526364275853054	0.734502430532278	0.520228792838451	0.675296343302851	0.241395720070418	0.025754684260096	0.686117787263378	0.68942904036029	0.043759574380495
CD4	0.860486211413687	0.829525984393969	0.915608048365151	1	0.868218365118034	0.917997144460453	0.911563818312076	0.899227868501846	0.918451808013763	0.748852541679541	0.849544559740414	0.913929497581354	0.786796320327337	0.797469556288467	0.800595803405255	0.920301693650044	0.826637049125077	0.928420376673786	0.967959621502049	0.921563813750929	0.835100189720912	0.859176418388852	0.934975291078232	0.928188900595538	0.81073788676156	0.732587318097509	0.934112738305906	0.714271631608522	0.756741192562218	0.822620341028293	0.793787250822211	0.795920957637368	0.807646595051133	0.675539133651256	0.89317826193311	0.902955252093362	0.756984938801385	0.864283846162903	0.915786914019882	0.852083217330091	0.782416461920425	0.787430847461003	0.822191470317046	0.837464974152488	0.698596832141199	0.899557962032256	0.577100158969255	0.886534922720121	0.801963846434035	0.821774113279506	0.719708282839113	0.832752448804718	0.869448997779379	0.835687711534598	0.852510164360595	0.83904153271818	0.914638597540545	0.879761160572236	0.891159011390112	0.857254167308623	0.824199796790787	0.846200801096515	0.798879015914527	0.730432218955042	0.629080093240711	0.713093357243562	0.708381621044417	0.810592351511304	0.895698562208696	0.799982504228164	0.811651616310832	0.817905555830957	0.674951367156637	0.760547453683262	0.814683479663546	0.825638490641989	0.683101832889983	0.743994324894559	0.646880091480554	0.671078956567495	0.500558980480078	0.854789095092907	0.899818280342877	0.802560910060839	0.659545196254646	0.83058092154017	0.77784757606537	0.730247839306376	0.513389886393778	0.877607033531707	0.656409271174231	0.855194981690805	0.835113765632127	0.728343182684525	0.866423193162614	0.876972044303247	0.601381772353963	0.788183258893214	0.249161865579093	0.899519489820003	0.836720988086858	0.868766361298279	0.837412504681543	0.754226636534785	0.861829703452391	0.692576625521505	0.560768001730883	0.728012212992989	0.821938283227813	0.577338390068698	0.743515536815612	0.765761733914956	0.828558547972894	0.541793937691591	0.731109940508236	0.919318429937817	0.803019380275866	0.79626481665979	0.784605388541105	0.819120542872469	0.952529497341767	0.670402379831466	0.753649051541063	0.449607289199969	0.753831808611861	0.501039500183714	0.69887397610838	0.192502122285121	-0.0231766759834813	0.638778113187444	0.67582412242284	0.00696029323252339
ABCA1	0.909806354318063	0.954942456321292	0.847821901746129	0.868218365118034	1	0.855398132942432	0.827598918572494	0.810358700191239	0.73650807731661	0.761052389644231	0.92993199963266	0.833501587001445	0.903244676011936	0.890075229138425	0.911607835575767	0.913085154088408	0.790332083182319	0.944376061930116	0.878899497561626	0.818707367513927	0.962904571343143	0.866758578442668	0.876081125676456	0.950827260127022	0.816473908060256	0.90146624778139	0.870580800910947	0.579210268093752	0.829632801074622	0.749621750113431	0.886532097086472	0.685831199608763	0.869126187082782	0.698235812846531	0.843665017660177	0.859370009154625	0.920883874692341	0.904583849256015	0.846403367479647	0.802390577050087	0.75264872339871	0.841534879044582	0.881587253428394	0.888025830806146	0.478673198067765	0.849638728291476	0.540039103261596	0.931246402521898	0.863946098848335	0.800302833559677	0.904132405514597	0.862851027457596	0.842868058635791	0.931406918519065	0.764495111341568	0.93851611706495	0.903507021946269	0.914817494350484	0.803093889682749	0.837715895039096	0.791434787650049	0.743920504771779	0.716264598119457	0.778178210961648	0.726065995407958	0.782451833490642	0.902265484984057	0.707822994480734	0.840303079193964	0.813225385585387	0.866971007159157	0.932429646749159	0.73556151399305	0.600099668164433	0.934849763699289	0.880260123015957	0.798863895803727	0.682893185793658	0.625527103654964	0.83869178575283	0.697271678229894	0.919556920540177	0.923205128661707	0.68972159225669	0.843160684424548	0.736568754157157	0.814137412201566	0.559909759387051	0.61493229319036	0.76752596397486	0.855392923367211	0.875675747661462	0.815318697556251	0.539782118643791	0.851119069525022	0.891287290168714	0.73343025883051	0.724914369424592	0.394634500968983	0.858401869259427	0.757245450447312	0.861600013258597	0.832024267114684	0.806533823488678	0.70055353570046	0.839274607282992	0.769745562159445	0.677968608656343	0.640516528625672	0.733071716996197	0.869342052071748	0.937182762698441	0.772819840278673	0.624841693445505	0.705197822621381	0.812917259835769	0.733525838380067	0.767946695580475	0.782199613944328	0.811604247015568	0.910821378022913	0.691177228296465	0.671096641374002	0.640765012108136	0.917344630557056	0.524855577497173	0.804363265554044	0.245915271500782	0.0463724809991495	0.679347070082282	0.816913221072498	0.090710439673572
SORL1	0.863711105353664	0.817185106220289	0.84399760445349	0.917997144460453	0.855398132942432	1	0.909328217654234	0.890452766044298	0.814218971727625	0.723953915187822	0.881609485725517	0.83879850825461	0.818009320354665	0.874987604579318	0.866303474297146	0.845390297055758	0.77686569011211	0.869985200085624	0.941857849158162	0.85319117045322	0.811458273176667	0.750303182757337	0.878827909393804	0.919775613909943	0.88572654280375	0.83547295931597	0.845787872708151	0.505389600922018	0.740261807377776	0.846499173138193	0.782294863799657	0.740304172320716	0.849594551189302	0.586967239245244	0.775784119109292	0.860574113611898	0.842363286169322	0.867283120789654	0.814769639539555	0.726200850801015	0.631388703673803	0.76275663285951	0.876578623823558	0.874933011559541	0.564007019747987	0.840396382771381	0.371024523329309	0.876292243240554	0.812148801110608	0.774246103143192	0.695633523631297	0.826232480693796	0.820818226552799	0.82237013631913	0.734684175882717	0.893698767300398	0.853050439630571	0.882836159176445	0.900493799213536	0.744169479315133	0.88158775284951	0.681670870388438	0.772380222936251	0.642149804732567	0.562696548967404	0.607695435272005	0.786202271838839	0.783262056510769	0.761912370771621	0.791125849935354	0.873117917791435	0.82904930061266	0.579983043187418	0.558131394499101	0.820390575988202	0.904201613754057	0.784217286616146	0.654543555547549	0.458295983279339	0.80882506928989	0.479241873238985	0.806938709832086	0.826582363475209	0.668939631510379	0.75960734566921	0.77787443594404	0.813245634970621	0.698868055469012	0.49164097108562	0.761669133565274	0.697169349217979	0.7812343248225	0.755593584708436	0.578782669541106	0.848736487321988	0.890615845589327	0.469653224572404	0.719713835888901	0.240961713183812	0.83275837865004	0.736200001547653	0.812805841979351	0.900691777502133	0.776659984343295	0.876480059198634	0.680460073069358	0.70699296342171	0.762096615256585	0.839033514209788	0.589251555582845	0.816961127808981	0.72734843726557	0.72816857878493	0.519194199156477	0.581209347819996	0.842011636906235	0.730177164090639	0.715340901403619	0.73406208901513	0.819643446776454	0.941378222149758	0.53399030190815	0.637805822839562	0.462586637073084	0.771895771858831	0.448816533204042	0.596800699113199	0.0839803933305046	-0.0627191443167313	0.576435161466771	0.664057548481269	-0.0378707734429155
VSIR	0.901676629079613	0.758097236337237	0.847971280387803	0.911563818312076	0.827598918572494	0.909328217654234	1	0.908278153962103	0.866230322757322	0.844957078003275	0.898882460259247	0.84643253119071	0.853060658026933	0.860822524138991	0.890349405247995	0.875502912741865	0.743197248937578	0.882389826836634	0.933888475218229	0.92725126572822	0.78272633744828	0.794701949000408	0.867038655663534	0.901517165446039	0.820348754416695	0.789749262346427	0.882297583765271	0.581630630426933	0.698595809624757	0.904999772729294	0.793453069198967	0.827716830472245	0.811401913705184	0.616499828285472	0.753178467515422	0.898942667110431	0.787877111386257	0.845438728777477	0.828493079415435	0.750174271882624	0.642863123749386	0.757795768216873	0.917574584783771	0.86378442332357	0.621749058143677	0.872588798235238	0.389482140098627	0.861161040313749	0.839427480750049	0.886199163383902	0.627921954777141	0.883135630556445	0.805496742267331	0.811153286790711	0.825284091988748	0.868382314705763	0.86710829127542	0.863484370911438	0.955756630834337	0.739702068589279	0.888354820879921	0.744013398508832	0.819795412520979	0.662366717707843	0.53957253091152	0.569768259302103	0.714849360308145	0.877826442381624	0.799658198992549	0.805895706720902	0.891620922999394	0.852871487446236	0.556675619544315	0.640541204866298	0.811926285492664	0.908844844443671	0.739186574601773	0.648485751011727	0.495928645122908	0.773591970236854	0.472713602770929	0.773427672909551	0.820582031742204	0.727903381766547	0.676286071399793	0.733337629844209	0.848498010955249	0.705197926460688	0.434492963421649	0.790050053231611	0.643981262619696	0.799184469232363	0.730212659552195	0.745355781356094	0.844702687558899	0.865436753196292	0.425091035713796	0.650929168279753	0.173895631990948	0.845784296975913	0.803103121416918	0.775794037024904	0.824608744703672	0.748156403434628	0.870704526794134	0.588888905107359	0.647583454939982	0.864843703922898	0.800605772425804	0.600966553745309	0.797090700758986	0.70171726866663	0.742657727898755	0.461689935032505	0.566758930282369	0.900732174432164	0.747156194721547	0.723780651827291	0.695679880487754	0.738344383267401	0.937668535630338	0.518949261525322	0.651443299400186	0.472946950782211	0.755134256957036	0.46088334666132	0.558532566175892	0.0408122747310063	-0.115615184590749	0.561248881018949	0.588785633594613	-0.0911199717059849
CD93	0.833559627205949	0.715030612334714	0.816518005348909	0.899227868501846	0.810358700191239	0.890452766044298	0.908278153962103	1	0.806856690331641	0.767798702102589	0.85835249372488	0.786581174423948	0.760899110000934	0.79026491757667	0.84623369898693	0.817511133911603	0.73290898233327	0.867213747143961	0.890104418454492	0.893361303985524	0.752697954274383	0.758745419466225	0.827236032360681	0.889675027282982	0.785804436174321	0.762409518968219	0.835324025362833	0.519377178646385	0.739310914114126	0.928850297389401	0.801755504027399	0.772485363591119	0.804202204102417	0.596953540573202	0.747196884494666	0.857663966841177	0.770280219107557	0.828067855138145	0.793215424069346	0.688352518717777	0.580932442728733	0.742013110816597	0.837143366573005	0.895678671163291	0.708870689686149	0.839019266553324	0.325291010527995	0.803266668077157	0.824916253057236	0.830187407925944	0.613105238674388	0.769710991941404	0.809541202500893	0.737340353467076	0.782487708448144	0.88021352204341	0.844666142264763	0.852363615532774	0.881662913739713	0.700704801542945	0.850460195506328	0.685620481833884	0.731385290343414	0.647655870834605	0.516723957338403	0.593095838582376	0.70827876550791	0.90246165486268	0.765699127940012	0.840640669043345	0.848964868940109	0.806935746843934	0.595999192783373	0.586179107033392	0.789880933258249	0.867820249527539	0.745478563834425	0.650256830144306	0.461438756230248	0.725868613677447	0.539833841872186	0.774134904470628	0.823979488477795	0.709351155379208	0.705372453672722	0.76497587944417	0.854248915561283	0.757472623882731	0.482921888782627	0.749452410103392	0.642217988040738	0.724407301289087	0.728106780988837	0.737907689827824	0.852509357072738	0.894164824401686	0.41415549918391	0.640047858044012	0.215741890778859	0.815794389698275	0.739483278438608	0.79133315958199	0.812605375833673	0.793447039182672	0.812969286696963	0.613131810134646	0.633261024657966	0.739688179995849	0.778849768828611	0.574855127926283	0.745361549287173	0.694107058292903	0.668162385934679	0.483951723571618	0.508987949571989	0.858756792232516	0.738784037715264	0.710246135445744	0.76405566187926	0.794669713048628	0.903708149668886	0.519687251699094	0.636495884484389	0.452136622141475	0.729395816534452	0.43358822311041	0.594385246224591	0.0947795090762484	-0.0698848326026301	0.599181596452599	0.621390847393617	-0.0369997123193599
CD33	0.792117825120181	0.717186565680396	0.92071701304328	0.918451808013763	0.73650807731661	0.814218971727625	0.866230322757322	0.806856690331641	1	0.682488060958459	0.705033024949281	0.897809010661131	0.671802313180334	0.671478238699615	0.695093032143593	0.845452982924686	0.772314645103756	0.86284836338921	0.916578126694491	0.889497247824359	0.695660078100233	0.756960321167026	0.880459196700864	0.852274849497885	0.758818360355787	0.602821151759163	0.853905122279439	0.680322787567829	0.680118719984096	0.776701453592772	0.644355033365496	0.811523152065378	0.731704504659851	0.606144639949986	0.85386019021782	0.890844049909613	0.609028900647853	0.768187182066707	0.87802615551541	0.857132742808433	0.797141863355983	0.689064507961413	0.756857957837479	0.738034827573468	0.678763004235078	0.89799174878822	0.571497409445632	0.800733312017658	0.681646430133064	0.796285969464822	0.601964400874125	0.784075667499499	0.813660042532712	0.734014611925758	0.824051808627963	0.708384263879612	0.870381465181704	0.786256184849021	0.8725951122102	0.808319277312572	0.80066907664191	0.793649465858104	0.682502716078487	0.712749215949616	0.511726341013691	0.63296103993779	0.558242921221706	0.780320538117093	0.832694616866031	0.775808578416316	0.718223261307575	0.700948937311684	0.585151874035363	0.729367201676867	0.731483504883753	0.732927591984217	0.55928001971152	0.721360743464071	0.581400867417066	0.535342557708024	0.333129313643462	0.754212081019662	0.814814717284261	0.789971360495663	0.53713053804877	0.767038182853602	0.682737424368211	0.682003922494835	0.43855143179067	0.85288622992769	0.517521273838637	0.793738513426727	0.768100855431698	0.779270766803866	0.783868421402215	0.795218221338575	0.519260889703694	0.793565626998636	0.155831182924898	0.876674010545525	0.801927630658491	0.808204822290055	0.676468939957597	0.67254639438664	0.779640020271559	0.611579979850012	0.40308958235136	0.745150639395537	0.812251688169498	0.442704362904486	0.629070640083006	0.644624861791564	0.80555619078525	0.507360897626682	0.705848368247451	0.898322917395246	0.808078200915797	0.751236113102735	0.702088408540568	0.717384928912612	0.896710192703129	0.584043368819304	0.722896423532573	0.379355507661671	0.625845130842276	0.456973857799969	0.601382963263861	0.147697961185479	-0.052630806157061	0.569076274167477	0.543650658910519	-0.0367785563031929
CCR1	0.84725634883431	0.698581225668137	0.691700156213194	0.748852541679541	0.761052389644231	0.723953915187822	0.844957078003275	0.767798702102589	0.682488060958459	1	0.856193167163837	0.689042976794903	0.838086000176444	0.828511323351113	0.846784784117556	0.794548432545395	0.587952580492279	0.77632470903728	0.744164518596689	0.747974451132779	0.739218797173231	0.767532476989584	0.721594407927754	0.797427451865705	0.642520561330147	0.723355275843348	0.721670891663146	0.500874546857249	0.556330189473373	0.756680696714922	0.820082168415284	0.657211011932301	0.718368183958363	0.570284904951686	0.592908046765075	0.759360219941773	0.733414090985478	0.685792552706193	0.69067954136511	0.637074305483635	0.559654137668244	0.751527368634424	0.826469836687812	0.727315776904716	0.457758591441764	0.696659146282545	0.376649499641944	0.768556099120372	0.690331087022355	0.818945104159627	0.630351765264989	0.87332861028747	0.619864854737538	0.728770559212581	0.736566374910268	0.754102557527344	0.731872653339409	0.696331712743609	0.762457815445118	0.641208827311713	0.711796237650795	0.646581274704329	0.756755150996254	0.51897355510062	0.544657890371255	0.52706385954625	0.680291948251827	0.688114050954224	0.700174705139131	0.727431770146512	0.827025414461139	0.843803958576157	0.51210967297701	0.540894597570542	0.75471675176596	0.803841267858675	0.655315610755077	0.503199745095763	0.498687673777551	0.718898953254094	0.502002808646628	0.704563743372833	0.677121156837683	0.611618184582364	0.604166347146272	0.450454477665975	0.803799261595235	0.556950172752483	0.361341791681433	0.632719413027158	0.609103163264676	0.731279110794176	0.61675273172428	0.641660259341597	0.711714495643944	0.744943629060363	0.455957399240628	0.546531363321738	0.171435761415814	0.67673457511496	0.666853234128626	0.638736364066326	0.7314975441176	0.633333582528223	0.721462081503132	0.516405464520037	0.693920078555243	0.780377537664444	0.627899676117524	0.66779372337205	0.770411868713983	0.696799266101142	0.563419003472821	0.415292701435656	0.428621706664312	0.707700790373376	0.585869880420568	0.626368322194872	0.554509028970181	0.545068343291879	0.80821898786302	0.462235143757697	0.509662779583855	0.472089367807944	0.774366910059647	0.424927444772465	0.571224209109847	0.0192036093108622	-0.120864174026534	0.470486375313968	0.539887894590967	-0.0757508630199046
